Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution provide secure bicycle storage (not including office space), shower ...",A brief description of the facilities for bicycle commuters,Does the institution provide short-term bicycle parking (e.g. racks) within 50 ft (15 m) of all ...,A brief description of the bicycle parking and storage facilities,Does the institution have a “complete streets” or bicycle accommodation policy (or adhere to a ...,A brief description of the bicycle/pedestrian policy and/or network,Does the institution have a bicycle-sharing program or participate in a local bicycle-sharing ...,A brief description of the bicycle sharing program,Is the institution certified as a Bicycle Friendly University by the League of American Bicyclists ...,"A brief description of the certification, including date certified and level",Does the institution offer free or reduced price transit passes and/or operate a free campus ...,"A brief description of the mass transit program(s), including availability, participation levels, ...",Does the institution offer a guaranteed return trip (GRT) program to regular users of alternative ...,A brief description of the GRT program,Does the institution participate in a car/vanpool or ride sharing program and/or offer reduced ...,A brief description of the carpool/vanpool program,"Does the institution participate in a car sharing program, such as a commercial car-sharing ...",A brief description of the car sharing program,Does the institution have one or more Level 2 or Level 3 electric vehicle recharging stations that ...,A brief description of the electric vehicle recharging stations,Does the institution offer a telecommuting program for employees as a matter of policy or as ...,A brief description of the telecommuting program,Does the institution offer a condensed work week option for employees as a matter of policy or as ...,A brief description of the condensed work week program,Does the institution have incentives or programs to encourage employees to live close to campus?,A brief description of the incentives or programs to encourage employees to live close to campus,Does the institution have other incentives or programs to encourage more sustainable modes of ...,A brief description of other sustainable transportation initiatives and programs,The website URL where information about the institution’s sustainable transportation program(s) is ...,Public Notes
Haverford College,2016-03-02,2016-03-02 12:02:14,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Lilly Lavner, Director of Student Activities and Leadership, contributed to this section.
"
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:52,sustainability@hws.edu,2.0,Pursuing,True,"The Bristol Field House and Winn-Seeley Gymnasium have all the necessary facilities for convenient bicycle commuting. In addition, the Gearan Center for the Performing Arts is bike commuter friendly as per LEED specifications.",--,"Bicycle racks are located conveniently throughout campus near offices, classrooms, and residential buildings. Some long-term bicycle storage is located in basement areas and near entryways.",--,,True,"The Colleges maintain a fleet of approximately 40 bikes as part of the Yellow Bike program, managed by the Office of Sustainability and now in its eighth year. The bikes are offered to students for an entire semester in exchange for a deposit. Students receive their deposit back when the bike is returned in good condition. The Yellow Bike Program also offers helmets and bike locks for rental.",--,,True,"The Colleges have a free shuttle service that has a number of stops both on campus and in the surrounding community (shopping, events, and dining areas). This service is used predominately by students.

At request from employees, the Colleges have partnered with the Rochester Genesee Regional Transportation Authority (also known as the Regional Transit Service [RTS]) to provide employees a discounted public transportation option from the nearby cities of Canandaigua (approx. 12 miles) and Rochester (approx. 33 miles). Although they make up a small percentage of total employees, several employees utilize this service that would otherwise be driving vehicles, most likely single occupancy. The Rochester Genesee Regional Transportation Authority oversees public transportation in Monroe, Genesee, Livingston, Ontario, Orleans, Seneca, Wayne and Wyoming counties. ",--,,True,"At request from employees, the Colleges have partnered with the Rochester Genesee Regional Transportation Authority (also known as the Regional Transit Service [RTS]) to provide employees a discounted public transportation option from the nearby cities of Canandaigua (approx. 12 miles) and Rochester (approx. 33 miles). Although they make up a small percentage of total employees, several employees utilize this service that would otherwise be driving vehicles, most likely single occupancy. The Rochester Genesee Regional Transportation Authority oversees public transportation in Monroe, Genesee, Livingston, Ontario, Orleans, Seneca, Wayne and Wyoming counties. ",True,"The Colleges host two Zipcars and actively promote the service to students, faculty, and staff.",True,"In April 2014, the Colleges installed a Leviton evr-green Dual Port Level 2 Charging Station that can charge two vehicles simultaneously.",--,"The Colleges offer telecommuting on an as needed basis and by permission from senior staff supervisor overseeing the department. Several departments/institutions on campus have taken advantage of this opportunity, including the Finger Lakes Institute staff.",--,A number of employees are 10-month and are only required to be on campus during the academic year.,--,The Colleges are currently working with the City of Geneva to explore employee incentivizes to live closer to campus.,--,,--,--
Indiana State University,2016-03-29,2016-03-29 10:18:32,caroline.savage@indstate.edu,2.0,Pursuing,--,"The ISU Recreation Center, Institute for Community Sustainability, and Residence Life are all looking into bike sharing programs.  We are most restricted in providing indoor bike storage. Currently the Recreation Center, Health and Human Services Department, and College of Business have showers available to commuters.",True,"Short-term bicycle parking, primarily in the form of racks, are provided at all occupied, non-residential buildings on campus. ",--,,--,,--,,True,"The Terre Haute bus system has its main hub on campus in the Multi-Modal Parking Garage.  All faculty, staff, and students have free ridership on the this bus system.  We also provide regular transportation from University Apartments (Family and graduate student housing) on a regular schedule.",--,,--,,True,"ISU launched a partnership with Enterprise to provide affordable, on-demand transportation to the campus community in the form of a Car Share. We hope to reduce the total number of vehicle miles driven by our campus community by encouraging students not to own a car while on campus, all while facilitating their ability to quickly and conveniently run errands and appear at job interviews. 
http://unboundedpossibilities.com/institute-for-community-sustainability/campus/transportation.aspx",--,,--,"This option is at the discretion of the employee's supervisor and is not accessible to all employees, due to the nature of certain job requirements.",True,All university staff are allowed to work a four day work week by extending the hours during those four days.  It is the option of the employee to work on that system.  This program is only available during the summer and is still at the discretion of the supervisor.,--,,--,,http://www2.indstate.edu/parking/services.htm,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:44:03,brownwm@indiana.edu,2.0,Pursuing,True,"The Union Street Center residence hall provides outdoor covered bicycle lockers, as does Briscoe Quadrangle, and a number of other student residence centers. In addition, bike parking is allowed in residence hall rooms. The Union Street Center also has secure bicycle storage lockers, for a fee.  Shower facilities are located in the School of Public Health locker rooms and in the Student Recreational Sports Center (SRSC) locker rooms. There are bicycle racks at these locations. The Cyberinfrastructure Building (CIB) has a secure bicycle storage room and adjacent shower facilities.",True,"There are bicycle racks outside all academic buildings on campus, and available at all residence halls. A map of all bicycle racks on campus can be found at: http://apps3.indiana.edu/PARK_Warehouse_V1_ParkingMaps/lnkBikeRacks.aspx",True,"In 2009, the Bloomington/Monroe County Metropolitan Planning Organization (BMCMPO) formally adopted a Complete Streets Policy, of which Indiana University Bloomington is a participant, that states, in part:

""The Complete Streets Policy shall apply to all of the following: 
1) New construction and reconstruction (excluding resurfacing activities that do 
not alter the current/existing geometric designs of a roadway) of local roadways that will use Federal funds through the BMCMPO for any phase of project implementation including planning, design, right-of-way acquisition, construction, or construction engineering. 
2) Local roadway projects included in the TIP after the adoption of the Complete Streets Policy AND are not past the Preliminary Field Check Phase or more than 30% complete with design at the time this policy is adopted. 
3) Local roadway projects where the BMCMPO has the programming authority 
to allocate Federal funding. 

Requirements
1) Roadway projects shall accommodate all users of the transportation system, including pedestrians, bicyclists, users of mass transit, people with disabilities, the elderly, motorists, freight providers, emergency responders, and adjacent land users.  
2) Roadway projects shall make use of the latest and best design standards, policies, and guidelines. The Local Public Agency (LPA) shall also retain the justification and design decision authority over its projects.
3) Complete Streets solutions shall be developed to fit within the context(s) of the community and those solutions shall be flexible so that the needs of the corridor can be met. 
4) Roadway projects shall utilize performance standards with measurable outcomes. 
5) Roadway projects shall identify anticipated phases and key milestones of project development. 
6) The LPA shall identify a public participation process including benchmark goals to attain as part of their public participation process. 
7) The LPA shall maintain open lines of communication with key party/agency/interest groups and shall identify and maintain a key stakeholder list.""

For more information: http://www.smartgrowthamerica.org/documents/cs/policy/cs-in-bmcmpo-policy.pdf",True,"Crimson Cruisers is a bike library pilot program created to make bicycling accessible to the students, faculty, and staff of Indiana University. Crimson Cruisers works like checking out a book at your local library; all you'll need is an IUB ID to take home a bike along with a helmet, lights, lock, and bell to meet local and state laws. We're currently in our pilot stage ironing out operational details and gauging campus interest; 12 individuals are selected each semester as Crimson Cruiser ambassadors.",True,"Bronze Certified in March 2011.
In August 2015, Indiana University Bloomington submitted materials for review with the aim of renewing our status as a Bicycle Friendly University. The application is currently under review by the League of American Bicyclists.",True,"A strong, collaborative relationship exists between IU and Bloomington Transit. This relationship allows for universal bus access for all students, faculty, and staff for both the IU Campus Bus as well as Bloomington Transit.

Bloomington Transit offers a number of routes to and from IU’s campus. By showing school ID, students, faculty, and staff can ride for free. Anyone can ride IU Campus Buses for free, no ID required.",True,"1.) IU offers an Emergency Ride Home (ERH) program. When unpredictable circumstances arise, the program allows for a free taxi service home for all IU employees enrolled in the Carpool or Vanpool Program. An individual may use this service three times per semester (up to six times per academic year). The ERH program is available Monday through Friday from 7 a.m. - 9 p.m.

2.) Safety Escort is a service available to all IU Bloomington students and staff as an alternative to walking alone at night. Safety Escort is funded through IU Parking Services so there is no cost to receive a ride. The service runs seven days a week from 8 p.m.–1:45 a.m. Safety Escort is available when IU is in session and is generally not available during IU breaks and major holidays.",True,"Full time employees may enroll a carpool of two of more members into the Carpool Program. Each member of the carpool must register with Parking Operations in order to enjoy the privileges of a Carpool parking permit. Members will be assigned one Carpool permit to share. Employees find their own carpool partners and fill out the Carpool Registration Form. For individuals seeking carpool partners, IU recommends the University Zimride landing page at www.zimride.com/iub.

Each Carpool member receives ten one-day parking permits per year for those occasions when it is necessary to drive to work. While Carpool groups are assigned one shared permit, individual participants will also be issued an Evening permit, valid from 5 p.m. - 7 a.m. Each carpool member is eligible for the Emergency Ride Home (ERH) program for unplanned or emergency situations. Finally, carpool members in a pool of three or more members may select a convenient parking lot or parking garage, and Parking Operations will assign a specific reserved parking space for the exclusive use of the Carpool members.",True,"Since 2010, the Zipcar program has offers Hoosiers convenient, cost-effective alternative to owning a car or bringing one to campus. The service helps the university manage the increasing demand for parking and associated congestion while offering students a convenient, economical and environmentally friendly alternative to owning a car. Hybrid, fuel-efficient Zipcars are available for use 24 hours a day, seven days a week. The number of vehicles available for carshare, as well as the number of campus locations, has increased steadily over time as the service has proven successful.

The Indiana University Student Association also launched a Zimride program. The Zimride platform connects IU community members through an easy to use private network that will reduce campus traffic, parking difficulties, and provide substantial cost-savings for the community. Starting April 20, 2010, all IU Bloomington students, faculty and staff can access the IU Zimride system for free at http://www.zimride.com/iub. This program now has over 2000 subscribers.",--,"The City of Bloomington has installed car charging stations around town that are available for use by students or faculty, but the University itself does not have any charging stations at this time.",True,"University polices allow for alternative work arrangements in which Staff employees work full time, but in different configurations of hours. Such arrangements are not only acceptable, but a potentially positive way to meet the childcare, family care, and other personal needs of employees while still permitting departments to operate in an efficient manner. In addition, departments that experience limitations of physical space or equipment may find this type of scheduling to their advantage.",True,"University polices allow for alternative work arrangements in which Staff employees work full time, but in different configurations of hours. Such arrangements are not only acceptable, but a potentially positive way to meet the childcare, family care, and other personal needs of employees while still permitting departments to operate in an efficient manner. In addition, departments that experience limitations of physical space or equipment may find this type of scheduling to their advantage.

Alternate work schedule- Employees work hours different from the standard scheduled hours of the operating unit such as a condensed work week (e.g., four, ten-hour days) on a fixed, regular basis.",--,,True,"In the IU Transportation Demand Management report, we developed a number of plans to increase alternative transportation use, such as the promotion of the Hoosier Commuter Club, which incentivizes staff and faculty to forego a parking pass, a plan to raise the cost of parking prices 5% per year for 10 years, and a number of  other initiatives.",http://sustain.indiana.edu/topics/transportation/index.php,Also see http://parking.indiana.edu/parking_operations/alt_transportation.aspx.
Juniata College,2016-03-23,2016-03-23 08:09:41,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:26,mknowle1@kent.edu,2.0,Pursuing,--,,True,Bike racks are located near entrances of academic and administrative buildings around campus.  Residence Halls have indoor secure bike parking.,True,"Kent State University has a continuous network of shared use (bicycle and pedestrian) paths throughout campus, which connect to multiple transit stops.",True,"Flashfleet is a next-generation bike sharing program open to students, faculty, staff and the community.  There are currently 60 bikes at 8 locations, including one off-campus in downtown Kent.  This generation of the Flashfleet program launched in Fall of 2015.

http://www.kent.edu/recservices/flashfleet",--,,True,"Students, faculty and staff can ride the PARTA busses for free on campus and in Portage County, and at discounted fares to Akron ($1) and Cleveland ($5).",--,,--,,True,The Kent campus has six Zipcars.  There are also two Zipcars at off campus housing in Kent.,True,A Level 2 EV Charging station is located at a metered space in the Heer Hall parking lot and is available to all commuters.,--,,--,,--,,--,,http://www.kent.edu/sustainability/transportation,--
Knox College,2016-03-23,2016-03-23 08:31:08,sustainability@knox.edu,2.0,Pursuing,True,"At the E. & L. Andrew Fitness Center on campus, we have covered and secure bike parking with a security camera. Inside, there are lockers and shower facilities available to all student, faculty, and staff bicycle commuters.",True,Bicycle racks are provided at nearly all campus buildings.  Three long-term storage sites exist on campus.,--,N/A,True,"Knox College has two parallel bike share programs. The long-term bike share has roughly 60 bikes in its fleet, all donated or acquired over the years and fixed up for students and staff to use on a term loan. The short-term program has 4 bicycles which are checked out by the hour or up to two days, through the Student Union equipment check out desk. Both programs are free and have significantly increased bike ridership at Knox.",--,N/A,--,N/A,--,N/A,--,N/A,True,"The College hosts a UHaul Car Share vehicle, which is available to all community members to borrow for an hourly fee.",True,"Two parking spaces with charging ports are available for electric vehicles.  One is used for a campus owned club vehicle, and the other is available for public use.",True,Four employees currently telecommute for the majority of their work at Knox.  Knox has no formal policy regarding telecommuting.,True,A few individuals are working reduced work weeks.,--,N/A,True,The ride sharing forum encourages carpooling on regular or occasional trips.  Information is available here:  https://my.knox.edu/ICS/Student_Services/Ride_Share__Carpool.jnz,--,--
Lehigh University,2016-02-29,2016-02-29 00:26:24,sustainability@lehigh.edu,2.0,Pursuing,--,"We provide Bike Racks in several locations on the campus - There is not a designated facility for showers, however, the use of the gym, where locker and shower facilities are available, is an option.",True,We do provide bike racks outside most of our academic and administrative buildings. There is also bike racks installed outside most of our residential housing units. ,--,"We do not have a ""complete streets"" or bicycle accommodation policy, however, we work in comjunction with the City of Bethlehem with their bicycle regulations.  The City of Bethlehem Bicycle regulations 951.06 which outlines that bicycles must be parked in bike racks and not operate on sidewalks in pedestrian malls. ",True,Zagster was introduced in the fall and we have had participation in this program. This bike-sharing program will allow anyone with a Lehigh ID to share the use of one of 10 cruiser-style bikes for a $15 yearly fee. ,--,"We are not certified, however, we are in the process of research and analysis to potentially be certified within the next year. ",True,"Lehigh University operates free on campus bus shuttles to get faculty, staff and students to/from the three campuses:  Mountaintop, Saucon Village & Goodman campuses.   There is also a late night shuttle intended to transport students to/from on and near by off campus locations.  ",--,N/A,True,"Zimride was implemented last spring. Students, faculty and staff can sign up for Zimride by Enterprise with their Lehigh username and password. Users can set up a profile, which can be linked to their Facebook profile, and then search for open seats or post asking for a ride to a destination.",True,"We currently use the Enterprise Car Share program.  It is available to faculty, staff and students for personal use.",--,N/A,--,N/A,True,"The University has a  ""Flex Time"" scheduling.  ""A ""Flexible Time"" schedule means a work schedule which includes designated hours during which an employee may, with the approval of the supervisor and under work unit plans approved by the department head, elect an alternative time of arrival and departure from work. It may also include
required days or hours during which an employee subject to the work schedule must be present for work.
Working hours must be balanced to meet the operating needs of the department and, if  possible, an employee's own personal preferences as to work hours.
The University makes flextime available to employees. Supervisors and department heads are encouraged to approve flextime schedules if effective and efficient operations are ensured. Supervisors and managers do not have to approve any proposed schedule that will interfere with the services offered or the work to be performed within the unit, department, or University"" ",True,"Lehigh University has the ""Home Buying Initiative for South Side Bethlehem"".  There are 3 loan plans available - a choice between 2 forgivable loan plans for the purchase of a primary residence within the programs' geographic boundaries plus 1 curb appeal"" deferred payment loan for exterior home improvements.  This program is available to eligible staff members working at least 75% of a full-time schedule.",--,N/A,http://financeadmin.lehigh.edu/parking,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:15,advorak@lclark.edu,2.0,Pursuing,True,"Law School, Howard Hall, Rogers, JR Howard, Pamplin",True,"Bike facilities are located throughout the institution including, covered, uncovered, locked, etc. All residence halls include long-term storage.",True,"The institution's academic core is maintained as pedestrian and bicycle corridors with access provided to service vehicles only. The network expands into the residential areas, however some vehicle traffic is also incorporated.",--,"A student-run bike sharing program has been funded through by students, but is not actively maintained. ",--,,True,"Shuttle runs seven days a week and is free to all employees and students. We currently offer a 50% subsidy on transit passes for faculty, staff and students. ",True,'Safe ride home' program is available to the campus community through cooperation with outside agencies.,True,The institution participates in an internal and external carpool matching programs and offers reduced parking fee for carpoolers.,True,ZipCar ,True,One electric vehicle charging station is available to the campus community and visitors.,True,"Some employees are able to telecommute, however this program is job/department dependent.",True,Some employees work four-day work weeks.,True,College owned homes are made available for rent or purchase by staff/faculty.,True,"Bike Commute Challenge, Sustainability Incentives Program",--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:03:26,ian.mckeown@lmu.edu,2.0,Pursuing,True,"Loyola Marymount University encourages staff and students to use ways of transportation with zero emissions. For example throughout the campus there are numerous places to park, and lock up your bicycle with racks. Another way the university promotes commuting on a bicycle is the facilities that we offer. Loyola offers multiple places on campus such as the gym for commuters to lock up your bike, then come inside to shower, change, and prepare for work or class. Staff and Faculty can sign-up to get free access to showers if they commute by bicycle. Additionally we offer an alternative transport program that offers free parking for weather days etc for bicycle commuters. Additionally we recently installed numerous (6) strategically placed bike pump and repair stands around campus as a service to bicycle commuters and bike users on campus. ",--,"There are a great deal of bike racks accessible to most buildings. Bike parking is a priority. Students can bring bikes into rooms if needed. Racks are available at almost every building location on traffic, in particular those that are heavily traveled. These racks are strategically placed to serve commuters and residents alike. ",True,"Yes lmu has over 2.1 miles of bike lanes on campus to access all buildings. Additionally these lanes link with racks, repair stands, and transit locations on campus. Additionally, there are .5 miles of safety dismount zones for bicyclists, skateboarders, etc. to ensure safe walking for pedestrians on major campus walk paths. In the future the bicycle task force on campus seeks to improve and adopt further policies to include bicycling through a campus bicycling master plan. Additionally, within the master plans there are specific requirements for bike lanes to be preserved. Furthermore The Los Angeles County Metropolitan Transportation Authority plan, adopted last October, tied for 10th place in the rankings by Smart Growth America’s National Complete Streets Coalition, which looked at more than 70 policies passed nationwide last year. Loyola Marymount University is located within Los Angeles. ",True,"Student government and business services were able to secure a donation of 11 bikes from coca cola. These bikes are used as a bike share system that will be run by student government and business services. This pilot program is the start of our bike share program that will expand in the future. LMU is also currently working on establishing a bike shop on campus that will offer repairs, parts, accesories, hold workshops, and be a social gathering place. This bike resource on campus will also help manage and expand the bike share program. ",True,"LMU received a honorable  mention certification as a bicycle friendly on October 22nd 2014, it was our first time participating in this program. We are currently seeking a much higher ranking and bicycling is one of the top priorities of the sustainability office and many programs are currently being implemented.   ",True,"Big Blue Bus Passes Available- Parking and Transportation is now selling Big Blue Bus Passes at the Parking Office in University Hall Ste. 1766.  13 Ride Pass - 13 rides for $12 30 Day Pass is $60 and is valid for 30 consecutive days starting from the first tap/use.

The Alternative Transportation Incentive Program’s (ATIP) intention is to reduce the number of vehicles on the road and on campus while also reducing carbon emissions along with other toxic byproducts created by fuel dependent vehicles. The Department of Parking and Transportation acknowledges that there may be circumstances in which individuals who typically commute using alternate forms of transportation are required to drive a vehicle and park on-campus. Parking and Transportation shall provide limited free parking each semester/term to community members who utilize ATIP and therefore pledge not to commute on a regular basis as a driver of a single occupancy vehicle (SOV). 

The Lion Express is a free shuttle service offered to Loyola Marymount University students. Minivan shuttles allow LMU students without a car a chance to get off campus and enjoy some of the activities, restaurants, shops and services in the local area. The shuttle operates like a bus system, running a set schedule to popular destinations close to Loyola Marymount, including: Venice Beach, Santa Monica 3rd Street Promenade, Westfield Mall and many more! The Lion Express also offers shuttle service to LAX for students who are traveling and offers extended schedule hours around student breaks. Reservations are required any time you would like Lion Express to take you to a destination or pick you up from one.

LMU Shuttle provides transportation to the Metro Green Line Station at Aviation and Imperial Hwy. LMU shares the Beach Cities bus dock. On campus drop off/pick up at University Hall Flagpoles and Alumni Mall Flagpoles. Track the shuttle location with our Real-Time Shuttle Tracker.This service is provided free of charge and available to all affiliates, students, and employees with a valid One Card. 

",True,"Participants in LMU vanpools are enrolled in the GRH (Guaranteed Ride Home) program.  The GRH program ensures that you’ll be able to get home in case of an emergency or unscheduled overtime.

One of the most common concerns shared by commuters is being stranded without access to a car. The Regional GRH program helps alleviate this concern by providing employees who commute to work in LMU vanpools with a reimbursed ride home in the event of a valid emergency. This is a version of “commuter insurance” for people who partipate in LMU vanpools. The Regional GRH program allows you to choose the most efficient means to get where you need to go during a qualified emergency. If you are without your car and experience an emergency, the GRH program will reimburse your ride, whether you choose a one-way taxi ride, one-day car rental, or transit ticket (public bus or Metrolink).",True,"-	Loyola Marymount University has implemented a carpool matching program with the faculty and staff. The Human Resource’s Counselor has sent out a carpool questionnaire to faculty and staff and if interested, they have the opportunity to submit their completed questionnaire back to the office, where they  match up individuals who live in the same general zip codes areas and have similar work schedules. After, an email is sent out to all compatible respondents who can contact each other and set up their own carpools. 
Partnering with vRide, LMU offers a rideshare service which helps individuals with a long commute more enjoyable. While the details of the arrangement are up to the individuals of each group, vRide offers a simple and effective way to filter through hundreds of other commuters just like you looking to save money, time and the environment. Once a member of the vRide network you can either create your own carpool or request to join an existing carpool or vanpool.

When your carpool grows to a certain size vRide will reach out the group contact and ask if the members would be interested in forming a vanpool, which saves even more money and time for members, all while covered by vRide's vehicle insurance policy. vRide conducts background checks, offers emergency rides home and provides all regular maintenance for the van. ",True,"LMU encourages students, faculty, and staff to participate in car sharing through the ZipCar program. Currently the university has contracted seven vehicles from ZipCar for our campus location.  Loyola Marymount University students, faculty, and staff can join Zipcar for $25. Receive up to $35 worth of driving credits the first month you sign up!",True,"LMU recently installed 15 Electric Vehicle (EV) Charging Stations on campus. If you need to charge your EV, you have many options on the LMU campus. There are 8 chargers in Lot A, 2 in the Seaver Lot, and 5 in University Hall. These blink chargers  are level 2. 
",True,"LMU currently administers a pilot program for telecommuting. The Information Technology Services department has worked under this program for a few years now. Below is a brief description about the program. 

LMU considers telecommuting to be a viable work option in certain circumstances which, when properly implemented and administered, benefit both the University and the telecommuter.  Telecommuting does not change the basic terms and conditions of employment with the University.  All University employees, including telecommuters, are subject to the University’s employment policies and procedures.

DEFINITIONS:           
            
“Telecommuting” is the substitution of telecommunication technologies, including, but not limited to, telephones, facsimile machines, computers, electronic mail, and modems for travel to the University’s offices.   Telecommuting is not a right, but rather, a privilege which may be granted at management’s sole discretion to high performing individuals whose duties are suited to such an arrangement.  Telecommuting is voluntary.  Employees will not be required to telecommute.

“Telecommuters” are employees who work for the University from a home, or other remote office, for some part of the regularly scheduled workweek.",True,"Some Loyola Marymount University Employees have adopted a condensed work week. For example, Public Safety employees changed to 4/10 shifts. This means that each employee will work 10 hours shifts for only four days of the week, eliminating one commuting day per week. ",True,"Loyola Marymount University does have a program that encourages and facilitates its employees to live close to campus. LMU's Rental Assistance Program partially subsidizes rent with the faculty member contributing 25% of gross monthly household income. Size of household determines degree of assistance. Security deposit advances are also available. All rental units are located within a ten-mile radius of campus, keeping them within the local community. LMU also owns houses in the immediate neighborhood where 13 faculty and staff live within one mile from campus. Many of these employees walk or bike to work.",--,,http://admin.lmu.edu/parking/services/transportationalternatives/,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:39,adurnbaugh@luc.edu,2.0,Pursuing,True,"The University has constructed a ""bike corral"" located in the main parking structure on campus. This facility is a fenced in area that is secured with a camera which is monitored at Campus Safety. In addition, entry to the corral can only be made by using the Loyola identification card.  Showers are available in BVM hall for staff/faculty.  Students may utilize Halas.  We had lockers but they weren't being used so we re-purposed them.",True,There are short-term and long-term bike parking available to all visitors and members of the Loyola community.  Some residence halls may not have long-term bike storage but adjacent buildings do.,True,We are well connected to bike network infrastructure on both Lakeside Campuses.,True,"At Loyola, we have two bike sharing options.   The city-wide system is Divvy. Students and Employees can get reduced membership and thousands of bikes are available at hundreds of locations.  On the Lake Shore Campus, the student-run business, ChainLinks has more traditional bike rentals available. This program is provided in cooperation between Loyola Unified Student Government Association, Loyola Bike Club, Campus Safety, and Loyola Facilities. A fleet of approximately 45 bicycles is currently available to all members of the Loyola community. Nearly every bike is checked out on a daily basis during the school year.",--,,True,"Loyola University worked with the City of Chicago Transit Authority in order to provide all full-time students with a ""U-Pass"" which is included in the cost of tuition. The U-Pass gives students unlimited use of the CTA busses and trains and offers an unparalleled opportunity to take advantage of everything Chicago has to offer. No cash is needed. The U-Pass serves our students with a connection to shopping, sports events, social activities, art and entertainment centers, and anything else that grabs your attention.",--,,--,"Loyola does not currently have a carpool matching program, particularly due to the difficulty of parking in the urban location. The University provides substantial alternative options such as public transportation, campus shuttles, and car-sharing partnerships. ",True,"Loyola encourages all members of the university to use alternative methods of transportation such as public transit, but the school also offers a Car Sharing Program for those who absolutely must drive around campus. Loyola partners with I-GO, a Chicago-based non-profit car sharing company dedicated to reducing congestion and improving mobility. Users can reserve a car online or by phone, drive to see friends, to run errands, or just to get away from campus. Drivers pay by the hour and the mile, while I-GO covers gas, insurance and maintenance. ",True,There are two Level 2 charging stations in the Fordham parking garage at Lake Shore Campus and many non-Loyola charging stations available near the Water Tower Campus.,True,Loyola University promotes the use the telecommuting when other transportation options are over-burdensome or not feasible. ,True,"Loyola has a Flexible Work Schedule Policy that encourages and authorizes individual departments to implement flexible work schedules to meet business needs.  In addition, departments may adjust the work schedules of individual employees to meet personal, home or family needs while preserving the hours defined by the position's FTE and maintaining quality service. Change in scheduled hours may be requested by an employee or designated by a department.  Since there is no change in total hours worked, flex-time will not affect pay or benefit level.
",True,"Loyola’s University Assisted Housing Program (UAH program) is designed to encourage home ownership in the city of Chicago, near the Lake Shore and Water Tower campuses, by assisting our eligible faculty and staff members with closing costs and down payment assistance for the purchase of a home or condominium as a primary residence. ",True,"Multiple times a year, alternative transportation options are promoted to target audiences.  Transportation options have been included in all new student and new employee orientation materials.",http://luc.edu/campustransportation/generalinformation/alternativetransportation/,"Other information on sust. transportation topics is found here:  http://www.luc.edu/sustainability/campus/focus_areas/transport/
"
