Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total percentage of the institution’s employees that use more sustainable commuting options,The percentage of the institution's employees that use each of the following modes as their primary ...,The percentage of institution’s employees who commute with only the driver in the vehicle ...,"The percentage of institution’s employees who walk, bicycle, or use other non-motorized means as ...",The percentage of institution’s employees who vanpool or carpool as their primary method of ...,The percentage of institution’s employees who take a campus shuttle or public transportation as ...,"The percentage of institution's employees who use a motorcycle, scooter, or moped as their primary ...",The percentage of institution's employees that telecommute for 50 percent or more of their regular ...,A brief description of the method(s) used to gather data about employee commuting,The website URL where information about sustainable transportation for employees is available,Public Notes
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:13,bk11@andrew.cmu.edu,2.0,Pursuing,14.0,**,86.0,1.0,2.0,11.0,--,--,,http://www.cmu.edu/parking/options/index.html,"These percentage data are based on a survey conducted by a Civil & Environmental Engineering professor, Cliff Davidson in 2009. 

"
Case Western Reserve University,2016-03-25,2016-03-25 15:40:42,stephanie.corbett@case.edu,2.0,Pursuing,42.96,**,57.04,4.3,--,38.67,--,--,Data was collected pertaining to how many University staff have parking permits and how many have RTA passes. These numbers were subtracted from the total number of employees to calculate non-motorized commuters ,--,"President Barbara Snyder set an FY13 University goal to benchmark and improve transportation mode shift, to encourage more walking, biking, transit ridership, carpooling, and car sharing amongst the CWRU community."
Chatham University,2016-02-17,2016-02-17 13:05:02,MWhitney@chatham.edu,2.0,Pursuing,21.0,**,79.0,1.0,--,20.0,--,--,"Total employees: 402
Permit drivers: 319

",--,--
Clark University,2016-02-24,2016-02-24 15:49:28,jisler@clarku.edu,2.0,Pursuing,14.0,**,87.0,6.0,8.0,1.0,--,--,"A student intern wrote, tested and deployed an electronic Qualitrix survey to all faculty, staff and administration with multiple questions (including conditional questions) about their commuting patterns as part of an internship to assess greener transportation options for Clark. The survey was open for 3 weeks. There was a 39% response rate.",http://www.clarku.edu/offices/campusSustainability/partners/,--
Clarkson University,2016-02-12,2016-02-12 07:37:53,sep@clarkson.edu,2.0,Pursuing,8.0,**,92.0,4.0,4.0,--,--,--,,http://www.clarkson.edu/green/takeaction/share_ride.html,"Commuting survey implemented January 2015.  Data self reported from 240 faculty and staff (~30%) (Note - data from 2010 survey showed substantially lower % as single driver suggesting that the survey sample size not sufficient and that there are significant uncertainties in these values.  A worst case was used here)
"
Coastal Carolina University,2015-11-20,2015-11-20 15:31:20,sustain@coastal.edu,2.0,Pursuing,3.0,**,--,--,--,--,--,--,A survey was drafted to ask employees about transportation options.,http://www.coastal.edu/sustain/campussustainability/transportation.html,--
Colby College,2016-01-12,2016-01-12 15:54:20,ksbright@colby.edu,2.0,Pursuing,19.68,**,71.39,10.28,7.73,--,0.32,1.4,"Using LEED EB methodology, the Office of Sustainability calculated a random and representative sampling of faculty and staff at the College. A survey was disseminated in October 2014, in order to account for weather variations appropriately, and the survey was repeatedly released to the population until a large enough portion of the representative sample responded. The survey requested responders to share their commuting habits for the week previous, outlining their commuting method both to and from work. Results were analyzed and are summarized above.",--,--
Colgate University,2016-02-28,2016-02-28 11:21:47,jpumilio@colgate.edu,2.0,Pursuing,17.0,**,83.0,9.0,7.0,--,1.0,--,"The data for this credit was taken from our annual employee commuter survey.  Out of 333 survey respondents, 277 drove alone as their primary way of commuting and 56 used alternative commuting methods.  

Out of the 333 respondents, 226 drove alone all the time and 107 used alternative transportation at times.  ",http://www.colgate.edu/distinctly-colgate/sustainability/for-faculty-and-staff,--
College of Charleston,2016-02-29,2016-02-29 16:52:58,fisherb@cofc.edu,2.0,Pursuing,51.0,**,49.0,17.0,5.0,15.0,--,--,,http://sustainability.cofc.edu/cofc-st-research/commuter-report-final.pdf,--
College of the Atlantic,2016-03-23,2016-03-23 11:15:19,ademeo@coa.edu,2.0,Pursuing,60.0,**,40.0,12.0,48.0,--,--,--,"We did survey of commuting of COA faculty and staff at the beginning of 2016. The estimates above regarding commuting are based on this survey, data regarding parking availability, shuttle ridership and analysis of an informal committee comprised of faculty, staff and students. We believe this is a good representation of modes of commuting. ",http://www.coa.edu/publicationsandpolicies.htm,http://www.coa.edu/our-community/transportation/
Colorado College,2016-02-29,2016-02-29 16:10:04,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,30.64,**,36.69,18.41,7.79,1.47,2.97,--,The Office of Sustainability issued an Employee Commute Survey to all faculty and staff. with a 35.7% response rate among all employees. Response numbers have been compared to total employees (744) in order to find percentages. ,--, 
Colorado State University,2015-12-16,2015-12-16 16:39:15,tonie.miyamoto@colostate.edu,2.0,Pursuing,30.0,**,70.0,22.0,--,2.0,1.0,5.0,"Parking and Transportation Services commissioned a Parking and Transportation Study in 2012 / 2013 to determine future parking policy and support the investment in transportation demand management to help shift commuter behavior to alternative transportation.  The representative sample study included a modal split survey distributed to students and employees while allowing for participation by the general public (visitors to campus). The percentages are a representative sample of the total employee commuting population. This survey is our most recent survey on employee transportation modes.  Following this planning effort, an annual mode split survey will be conducted every February to coincide with the academic census date for the University.  ",http://pts.colostate.edu/alternative-transportation/,--
Columbia University,2016-01-13,2016-01-13 14:27:20,as3215@columbia.edu,2.0,Pursuing,87.62,**,9.98,23.92,1.6,62.09,--,--,"The data provided was gained from the 2013 commuter survey that went to all staff, faculty and students. The survey contained questions about their commute mode. The University received a 21% response rate from the survey.",http://environment.columbia.edu/transportation-demand-management,"http://transportation.columbia.edu/
http://environment.columbia.edu/transportation-demand-management"
Connecticut College,2016-02-28,2016-02-28 16:33:08,jstoffel@conncoll.edu,2.0,Pursuing,15.0,**,85.0,2.0,8.0,5.0,--,--,Surveys were conducted of staff/faculty and commuting information is collected when people register their vehicles on campus. ,--,--
Cornell University,2016-03-18,2016-03-18 08:39:42,cma18@cornell.edu,2.0,Pursuing,43.0,**,57.0,12.0,17.0,14.0,--,--,,http://transportation.fs.cornell.edu/commuting/,--
Creighton University,2016-02-24,2016-02-24 14:08:48,mjduda@creighton.edu,2.0,Pursuing,10.5,**,89.5,6.4,0.8,2.8,0.4,0.1,A survey was conducted in Spring 2014.,http://www.creighton.edu/about/sustainability/transportation/,--
Denison University,2016-02-15,2016-02-15 15:55:38,kingje@denison.edu,2.0,Pursuing,18.3,**,81.7,13.8,3.5,--,1.0,--,The Office of Sustainability surveys faculty and staff about methods used to get to work.  Partner and spouses who travel together to work are categorized as carpooling.,--,"Denison employees live an average of 11 miles from campus.  Nearly half of all Denison employees live within 6 miles of campus.

Campus is located on top of a large hill and is the highest point in the community.  This often discourages people from biking and walking."
Dickinson College,2016-03-08,2016-03-08 10:06:46,welkerm@dickinson.edu,2.0,Pursuing,46.0,**,54.0,--,--,--,--,--,,http://www.dickinson.edu/info/20052/sustainability/2288/transportation,"On Fri Oct 5, 2012, students in Psych 340 (Rsch Mthds in Soc Psych) phoned 187 randomly selected college extensions and successfully connected with 82 employees (response rate = 44%) who answered up to a dozen questions about how they commute to work at Dickinson. The next week, a link to an online survey containing the same questions was emailed to 300 randomly selected employee email addresses; 157 (52%) replied during a 3-day period, none of whom overlapped the phone sample. Total sample (phone + online) = 239 employees. The gender (F=62%) and job category distributions (30% administrators, 28% faculty, 41% staff) of respondents were a good match to the population of employees who have individual phone extensions and/or email addresses.

Only 37/239 = 15.5% of respondents had NOT driven a motor vehicle to work in the past 5 days, and biked, walked, or both to work; none of these reported using public transportation. 

Of the 202/239=84.5% who drove to work in the past 5 days, only 13 (6.4%) shared a ride with at least one other person. Of this small number, fewer than half rideshared all 5 days. None of those in the samples reported commuting via motorcycle, scooter, etc.

Usable vehicle make/model/year info was obtained from 195 of the 202 driving commuters and the corresponding MPG and CO2 was calculated using EPA vehicle averages. The mean MPG of the vehicles was 22.6 (sd=6.98), median = 21 MPG.  The mean annual CO2 emission for the vehicles was 6.9 US tons (sd=1.62), with a median of 7 tons. 

In November 2013, another commuting survey was conducted.  A solicitation and survey link was sent to 400 randomly chosen faculty and staff (FAS) email addresses. There were 188 respondents (47% response rate; 64% F), almost equally divided among administrators, faculty, and staff. Staff outnumber both Administrators and Faculty in the college employee population, so the sample under-represented Staff members.

185 respondents said they actually had been to campus during the preceding five working days. They replied to this multi-item checklist of methods for getting to work, as shown below:
In the past five working days, how did you commute from home to Dickinson? Choose all that apply: 
•	I biked. 
•	I drove my personal vehicle, with no other passengers 
•	I drove my personal vehicle, with at least one other passengers. 
•	I rode a bus. 
•	I rode with a Dickinson employee 
•	I rode with someone who is not a Dickinson employee 
•	I walked. 
•	Other (please specify): (8) ____________________


Respondents were allowed to check more than one method of commuting. Nonetheless, over half (n=100; 54%) chose only the response, I drove my personal vehicle with no other passengers. A substantial minority (n=69; 37%) reported having bicycled, taken a bus, or walked to work at least once during the previous five working days; many of these had also driven at least once. Ridesharing -- either as driver or passenger -- was rare; only 26 employees  (14%) checked any of the ridesharing options. 

A more accurate transportation survey is being developed and will be administered this spring."
Drew University,2016-03-25,2016-03-25 16:12:05,swald@drew.edu,2.0,Pursuing,13.0,**,87.0,9.0,--,4.0,--,--,,--,--
Duke University,2016-02-26,2016-02-26 14:18:04,tavey.mcdaniel@duke.edu,2.0,Pursuing,21.0,**,79.0,6.0,7.0,6.0,--,2.0,"Duke conducts a bi-annual survey with the regional planning agency (Triangle J Council of Governments). In alternate years, Duke distributes the same survey to commuters to capture information during off years. This information was obtained from these survey efforts.",http://sustainability.duke.edu/campus_initiatives/transportation/,"The STARS submission form would not allow us to include percentage numbers for the above fields, which did not up to 100%.  As a result, some percentage points were added to the above fields, so that the fields added up to 100%.  The true percentage outcomes from the university-wide survey were as follows:
-  The percentage (0-100) of institution's employees that use more sustainable commuting options = 29%
-  The percentage (0-100) of institution’s employees who commute with only the driver in the vehicle (excluding motorcycles and scooters) as their primary method of transportation = 68%
-  The percentage (0-100) of institution’s employees who walk, bicycle, or use other non-motorized means as their primary method of transportation. Please note that this may include on-campus residents = 10 %
-  The percentage (0-100) of institution’s employees who vanpool or carpool as their primary method of transportation = 10%
-  The percentage (0-100) of institution’s employees who take a campus shuttle or public transportation as their primary method of transportation = 9%
"
Earlham College,2016-03-03,2016-03-03 10:49:57,butchli@earlham.edu,2.0,Pursuing,23.0,**,77.0,21.0,2.0,--,--,--,The above statistics were drawn from a survey of all college employees about commuting on 1/25/2013. The survey garnered 184 responses (58.4% of all employees- there are 315 college employees). ,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:22,stoddardl@easternct.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--
Elon University,2016-01-14,2016-01-14 09:32:53,edurr@elon.edu,2.0,Pursuing,9.4,**,90.6,--,--,--,--,--,"A commuter habit survey is conducted on a bi-annual basis. All students, faculty and staff receive the survey via email. Paper surveys are made available to departments with employees who do not regularly access email. ",http://www.elon.edu/e-web/bft/sustainability/ci-transport.xhtml,This information is based on the fall 2014 commuter habit survey results and represents primary method of transportation.
Emory University,2016-02-29,2016-02-29 16:26:37,ciannat.howett@emory.edu,2.0,Pursuing,54.0,**,46.0,1.0,4.0,51.0,--,--,Commuting information is gathered utilizing data from transit pass purchases combined with an annual all-campus commuting survey.,http://transportation.emory.edu/transportation/index.html,"Data reported for 2013-2014 fiscal year. 

Because Emory’s Transportation & Parking Office did not have access to exact figures for some of these categories, the following methodology was used in our calculations:
The drive alone category simply includes any employee who purchased a parking permit (46%), while the van/carpool includes all employees registered as such (4%). The non-motorized category includes employees registered as walkers/bikers and the Occasional Use parkers (1%) who, according to the Transportation & Parking office, tend to be employees that drive in inclement weather, but walk/bike as their primary mode of transportation. The public transportation category includes employees registered for Park & Ride or MARTA passes, and we made the assumption that the remaining unaccounted for employees use some form of public transportation. All parking on campus is by permit only, so if an employee does not have a permit, they are using another more sustainable commute mode than SOV."
Endicott College,2016-03-01,2016-03-01 10:10:07,screight@endicott.edu,2.0,Pursuing,5.0,**,95.0,2.0,2.0,--,1.0,--,,--,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:22,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 16:00:36,kehilimire@fortlewis.edu,2.0,Pursuing,21.0,**,79.0,9.0,10.0,2.0,--,--,"An email-based survey was launched in FY15 in order to collect commuter data for a GHG inventory. The respondents included 89 faculty members, 136 staff members, and 91 students.  The survey collected the following information for each respondent:
1. Role
2. Weeks/year commuting
3. Trips/week
4. Percentage of time:
- bike
- walk
- drive alone
- carpool
- bus
5. Fuel efficiency of vehicle
6. How far is campus from home?


We assigned each respondent to the mode most frequently used.   In the case of a tie (i.e. an individual drives alone 50% of the time, walks 50% of the time)- that individual was assigned to the ""more sustainable"" category.



",--,--
Furman University,2016-02-22,2016-02-22 13:43:07,yancey.fouche@furman.edu,2.0,Pursuing,10.3,**,89.7,8.4,1.9,--,--,--,Each participant was asked where they live (for students they were asked which area of campus as we are a residential campus with 98% of the student body living on campus.  The faculty and staff were asked how far their residence is from campus.  Each participant was asked how trips by mode of transportation were made at each distance in a typical week.  Averages were compiled from this data to create an average for each mode of transportation.,--,--
George Washington University,2016-02-29,2016-02-29 13:04:30,shannonross@gwu.edu,2.0,Pursuing,70.8,**,29.2,11.4,6.1,44.6,0.1,8.5,"GW conducted a commuting survey in February 2016.  The survey was designed to help learn more about commuting behavior and patterns of the GW community.  Random samples of students and of employees (faculty and staff) were selected to participate.  Employees included in the sample were from Foggy Bottom Campus, Mount Vernon Campus, and Virginia Science Technology Campus. The survey closed after two weeks of distribution, near the end of February 2016. The survey was distributed electronically to 1,297 employees and 1,298 students. A total of 718 faculty and staff responded, while 309 students responded, which provided response rates of 55% and 24%, respectively. 

Primary transportation was considered the mode of transportation that was used to travel the greatest distance (mileage) to and from campus. For employees, telecommuting 50% or more was determined using a formula. If an employee had a benefit category of Full Time Regular Employee and commuted 2 days or less, then they were considered a teleworker who telecommuted for 50% or more of their regular work hours. If an employee had a benefit category of Part Time Regular Employee, Affordable Care Act, or Not Eligible for Benefits and commuted 1 day or less, then they were considered a teleworker who telecommuted for 50% or more of their regular work hours. 

The commuting data do not include student travel to/from campus at the beginning/end of each semester. STARS data are based on this 2016 survey. Numbers extrapolated were determined to the best of our understanding of the data being requested.  ",http://transportation.gwu.edu/transportation-services,"""More sustainable commuting options"" interpreted as all means of transportation other than commuting to campus via single occupancy vehicle.


"
Georgia College & State University,2016-03-25,2016-03-25 19:09:41,doug.oetter@gcsu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:24,simonj@gonzaga.edu,2.0,Pursuing,19.0,**,81.0,60.0,25.0,15.0,--,--,Washington State’s Commute Trip Reduction (CTR) data collection.,http://www.gonzaga.edu/campus-resources/Offices-and-Services-A-Z/Human-Resources/Benefits/Work-Life/CommuteTripReduction.asp,--
Green Mountain College,2016-03-21,2016-03-21 15:55:23,ihrker@greenmtn.edu,2.0,Pursuing,46.91,**,53.09,30.86,16.05,--,--,--,"The sustainability office conducted a transportation survey in the spring of 2015 that asked a number of questions, including primary mode of transportation for commuting to campus. The survey was designed by the director of sustainability (a former transportation research scholar from University of Vermont's Transportation Center) with input from the director of student involvement and a special
focus group dedicated to carpooling. The response rate was 41%. Surveys were emailed to the population and survey responses were also collected in person aided by work study students with laptops sitting in the high traffic area of the student center during lunch time. Participation was incentivized by participants being entered into a raffle to win a $25 gift certificate to a local business. ",http://www.greenmtn.edu/sustainability/sustainability-on-campus/transportation/,Performance year is FY 2015.
Guilford College,2016-03-08,2016-03-08 08:08:37,corrybc@guilford.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--
Hampshire College,2016-03-23,2016-03-23 09:58:50,bhooker@hampshire.edu,2.0,Pursuing,8.4,**,91.6,2.0,4.6,1.8,--,--,"Assuming 100% commuting by faculty and staff, this mode mix reflects a 130 faculty and 261 staff commuting population. The 2013 commuting data was gathered through the Sightlines Commuting Survey that was deployed to the campus community in November 2013. 83% of respondents were staff and 14.8% of respondents were faculty.",--,"The survey used is out of date, but there have been no significant changes to influencing factors so we believe the numbers to be reasonably accurate.  

FY15 data indicates faculty commuted a total of 459,000 miles.  

FY15 data indicates staff commuted a total of 1,527,000 miles.  "
Harvard University,2016-02-29,2016-02-29 16:59:03,colin_durrant@harvard.edu,2.0,Pursuing,83.0,**,17.0,43.0,4.0,33.0,--,3.0,Stratified random sample survey,http://www.commuterchoice.harvard.edu/,"Note the data above covers employee and graduate student commute data for Harvard's primary Cambridge and Allston campuses for 2015 

Commuting data for the Longwood Medical Area (Harvard Medical School and TH Chan School of Public Health) in 2014 (last year surveyed):
Drive alone - 15%
Public transit - 53%
Bicycle and walk - 24%
Carpool - 4%
Telecommute - 4%"
Haverford College,2016-03-02,2016-03-02 12:02:09,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:48,sustainability@hws.edu,2.0,Pursuing,23.0,**,77.0,23.0,--,--,--,--,"The Office of Sustainability conducted a faculty and staff transportation/commute in fall 2015. Results show that 38% (n=273) of faculty and staff completed the survey out of 725 faculty and staff (headcount). Of the 273 respondents, 23% indicated they walked or bicycled more than half of work days in a year. Thus, walking or bicycling to and from campus was their primary means of transportation. 

Additionally, several faculty and staff vanpool, carpool, motorcycle, scooter, moped, and/or telecommute, but that data is not included in this analysis. As a result, the 23% is a low estimate.",http://www.hws.edu/about/green/campus_sustainability.aspx#transportation,--
