Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Title or keywords related to the innovative policy, practice, program, or outcome","A brief description of the innovative policy, practice, program, or outcome ",A brief description of any positive measurable outcomes associated with the innovation (if not ...,Provide affirmation that the following statements are true:,A letter of affirmation from an individual with relevant expertise,"The innovation describes a new, extraordinary, unique, ground-breaking, or uncommon outcome, policy ...","The innovation (program, policy, or outcome) is not already covered by an existing STARS credit or ...",Which of the following STARS subcategories does the innovation most closely relate to? (Select all ...,"The innovative practice, policy, program, or outcome occurred within the past three years",Other topic(s) that the innovation relates to that are not listed above,The website URL where information about the innovation is available ,"The institution has not previously received a STARS innovation credit for this specific practice, ...",Does the innovation relate to Curriculum?,Does the innovation relate to Research?,Does the innovation relate to Campus Engagement?,Does the innovation relate to Public Engagement?,Does the innovation relate to Air & Climate?,Does the innovation relate to Buildings?,Does the innovation relate to Dining Services?,Does the innovation relate to Energy?,Does the innovation relate to Grounds?,Does the innovation relate to Purchasing?,Does the innovation relate to Transportation?,Does the innovation relate to Waste?,Does the innovation relate to Water?,"Does the innovation relate to Coordination, Planning & Governance?",Does the innovation relate to Diversity & Affordability?,"Does the innovation relate to Health, Wellbeing & Work?",Does the innovation relate to Investment?,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:12,mary.lucus@belmont.edu,2.0,Pursuing,Health Academy Summer Camp,"This week-long day camp will allow students to explore the different careers available in the health sciences fields and expose them to issues healthcare professionals deal with on a daily basis. Students will explore a real-world example of how different health professionals (pharmacy, physical therapy, nursing, occupational therapy, social work) collaborate and work inter-professionally to take care of a patient","This initiative was launched in 2016, so there are as of now no measurable outcomes.  Success measures will include meeting camp attendance goals and how well the following objectives are met:
1.	To provide a summer Pharmacy and Health Sciences program for Belmont University
2.	To expose middle school students to both Belmont University and the different health professional programs available 
3.	To allow students to explore the different careers available in the health sciences fields
4.	To increase awareness of Belmont University within middle schools in the Nashville area 
5.	To recruit area middle school students to Belmont University 
",**,http://stars.aashe.org/media/secure/494/6/582/3264/Innovation%201%20Belmont%20Health%20Academy%20Summer%20Camp%20revised.docx,True,True,**,True,--,http://www.belmont.edu/summer-camps/,True,True,True,True,True,--,--,--,--,--,--,--,--,--,--,True,--,--,--
Beloit College,2016-03-23,2016-03-23 13:45:53,chapmanlr@beloit.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bentley University,2016-03-25,2016-03-25 15:58:59,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:22,paulyj@berea.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Binghamton University,2016-03-20,2016-03-20 17:32:39,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:41:59,carlberg@bu.edu,2.0,Pursuing,Climate Ready BU,"In 2015 the University initiated Climate Ready BU in order to assess the potential impacts of climate change and explore strategies to prepare the campus. Specifically, this study examined how sea level rise, increased temperatures, and more intense storms will impact Boston University and the City of Boston. The team included a working group of University stakeholders as well as a research team comprised of sustainability@BU staff, emergency planning staff, GIS graduate interns, and climate research faculty. 
This study was unique because it identified a previously unknown area where water could enter the city and reach Boston University at only 4.2 feet above the Mean Higher High Water level. Prior to this report, it was thought that the lowest point at which water would reach the University was by surpassing the Charles River Dam at 6.8 feet. This research has been disseminated to both University and City of Boston stakeholders to ensure those who would be impacted are able to coordinate their efforts and make informed decisions.",,**,http://stars.aashe.org/media/secure/405/6/582/3264/IN-1%20Climate%20Ready%20BU%2016-02-16_1.pdf,True,True,**,True,--,http://www.bu.edu/sustainability/climate-ready-in-higher-ed/,True,--,True,--,True,True,--,--,--,--,--,--,--,--,--,--,--,--,--
Bowdoin College,2016-02-25,2016-02-25 17:00:58,cpayson@bowdoin.edu,2.0,Pursuing,Solar PV Project,"In 2014, Bowdoin College and SolarCity installed a 1.2MW solar energy system that spans four rooftops and three acres of ground-mounted panels on College-owned property at the former Brunswick Naval Air Station. The 1.2 megawatt complex includes approximately 4,420 solar panels at the four major installations: the rooftop systems on Farley Field House, Sidney J. Watson Arena and Greason Pool, a 12-kW system on the new residence hall at 52 Harpswell Road, and a 654-kW ground-mount installation on the three acres owned by the college at the former Navy base.  SolarCity owns the installations which they designed, constructed, and maintain; and Bowdoin purchases all the power produced by the system at a fixed rate. More than six times the size of the next largest existing solar installation in Maine at the time of construction, this system provides approximately 8 percent of the College’s electricity. 

The installation is one of several efforts to support renewable energy production on campus. It also provides meaningful educational opportunities for students and faculty focused on alternative energy.  In addition to providing faculty members access to raw production and usage data for their coursework, the College has provided numerous educational tours of the solar systems and has made live electricity production meters for each location publicly available on Bowdoin’s sustainability website.  
",,**,http://stars.aashe.org/media/secure/223/6/582/3264/solar_innovation.pdf,True,True,**,True,--,--,True,True,--,--,True,--,--,--,True,--,--,--,--,--,--,--,--,--,--
Brown University,2016-03-23,2016-03-23 07:26:54,Ginger_Gritzo@Brown.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:29,gvalenti@bryant.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:26,delmogaz@bucknell.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:48,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:38,dan.wakelee@csuci.edu,2.0,Pursuing,Portable Solar Light Poles,"In 2014, CI worked with Greenshine, a solar company, to provide portable light to dark areas on campus without connecting to the electricity grid. In 2015, five portable solar light poles arrived on campus, the poles are currently being used in our newest, unfinished north parking lot.  When this parking lot is finished with permanent lighting, the solar poles can be partially dismantled and relocated to a new area in need of a light source. This lighting does not need a permanent connection to electricity and is a renewable energy source from solar radiation from the sun. Here, in Southern California, solar energy is virtually unlimited daily no matter the season, so the utilization of more and more solar energy is a goal CI is striving for. These five light poles are a start to a new generation of energy efficient, renewable, and portable lighting for safety and function on campus. ","Before the use of the solar light poles, a diesel generator was used to provide lighting for safety in the ""overflow"" parking lot that is located in a relatively remote and naturally dark area of campus. The diesel generator was loud, smelly, and inefficient. Now that the solar poles light this area, safety is not a concern because the area is adequately lit year-round without the noise and exhaust smells. This also lowers our greenhouse gas emissions by using less electricity, and producing less carbon emissions from the former diesel generator. ",**,http://stars.aashe.org/media/secure/207/6/582/3264/Solar%20Light%20Poles%20Affirmation%20Letter%20(2).pdf,True,True,**,True,--,--,True,--,--,True,--,True,--,--,True,True,True,--,--,--,--,--,--,--,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:21,mmoscol@fullerton.edu,2.0,Pursuing,Environmental Health and Safety's Hazardous Materials Management Program,"The Environmental Health and Safety Office has developed the Hazardous Materials Management Program to help ensure the proper storage, handling, and disposal of chemical, medical and radioactive materials on campus.  It also ensures protection of University personnel from the hazards associated with hazardous materials and waste.  

For more information, please visit:  http://riskmanagement.fullerton.edu/laboratorysafety/HazardousWaste.asp ","An important benefit of waste minimization is that it reduces the ever increasing disposal costs, especially with the current and anticipated changes to state and federal regulations.  ",**,http://stars.aashe.org/media/secure/60/6/582/3264/Innovation_%20Haz-MatTraining(2015)_3.pdf,True,True,**,True,--,--,True,True,--,True,--,--,--,--,--,--,--,--,True,--,--,--,True,--,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:26,austin.eriksson@csun.edu,2.0,Pursuing,Integrating Waste Diversion & Organic Garden into a Learning Outcome,"About the Garden

The CSUN food garden was established to educate students about sustainable food gardening techniques and healthy food choices, to promote direct community involvement and provide service-learning opportunities. A food garden working group was started in July 2009. The group met with campus leaders and students to develop the CSUN food garden. The garden is currently managed by Dr. Mario Giraldo. A student assistant helps to maintain the garden with dedicated volunteer students. With over 400 square feet of raised beds, more than a dozen fruit trees, and low-water irrigation, all built and planted by student, faculty, and staff volunteers the garden has grown tremendously and continues to thrive. 

About the Compost Program

The CSUN compost program was established to reduce campus food waste and to educate students on how food waste can be turned into compost, which can then be used to grow new food. Composting began on a small scale alongside the Food Garden using green waste and small containers. In 2013 the compost program was relocated to its current. The compost facility began with seven compost boxes that were built using recycled pallets, and has grown to include 17 compost beds. The program consists of food waste pick-ups that are done three times a week to various food locations on campus. The waste is then transported to the compost facility to be sorted and put in a compost bed until ready to be used in the food garden.","2013: Goal 2.8 tons/ 8 tons actual pre consumer waste diverted
2014: Goal 4 tons/ 17 tons actual pre consumer waste diverted
2015: Goal 8 tons/ on track, all signs are point to being close to the 2014 year",**,http://stars.aashe.org/media/secure/830/6/582/3264/Award%20notice.pdf,True,True,**,True,--,http://www.calstate.edu/cpdc/sustainability/awards/,True,True,True,True,--,--,--,--,--,True,--,--,True,--,--,--,--,--,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:05,kristina.cullen@csus.edu,2.0,Pursuing,Sustainable Technology Optimization Research Center (STORC) ,"The Sustainable Technology Optimization Research Center (STORC) is a highly collaborative teaching and learning model.  It encourages innovation and teamwork among administration, faculty and student populations from multiple educational disciplines, representing various campus interests, by promoting, supporting, and housing ongoing sustainable technology research projects within a common functional space.

Because numerous research projects coexist within the same functional footprint, knowledge of various technologies is easily acquired and transferred.  Those working on STORC-related research projects quickly recognize how dissimilar technologies might be configured to contribute to the enhanced performance of other technologies.  As a practical living laboratory and a multi-disciplinary center for learning, STORC synergistically enhances research outcomes and student learning experiences.

Interdisciplinary participation in STORC includes professors and students from Natural Science and Mathematics, Engineering and Computer Science, Social Science and Interdisciplinary Studies, and from various administrative offices such as Environmental Health and Safety, Risk Management, and Facilities Management.

STORC is an example of Sac State’s ingenuity in furthering research and education, and is redefining traditional models of knowledge acquisition and transfer, and exemplifies every aspect of high-quality leadership that Sacramento State strives to instill in its faculty, staff and students.

Vision:

To be an international resource for practical, scalable, and financially viable solutions in the area of sustainable technologies that are suitable for private and/or public sector operations related to the management of energy, food, water and waste.","At present, more than five sustainable projects are in various stages of operation at STORC. Sustainable projects in operation, in various stages of construction, or under consideration include:
•	Wind Aerators: Wind aerators can be used to oxygenate agricultural ponds. These can be constructed using a variety of techniques. Items needed to build such systems are plentiful (e.g., waste drums, small vehicle axles, diaphragm pumps, etc.). As simple as this seems, the big challenge is in creating a system that actually addresses real-world O2 demands in agriculture and aquaculture operations.
•	Solar Space Heaters: Building solar space heaters for homes/out-buildings, using air and/or water and passive heat transfer techniques is an idea gaining momentum with DIYers. Old car radiators can be used for heat transfer once the water has been sufficiently heated by the sun. Also, old, tempered glass such as shower doors, are easily obtainable, and can be used to trap and amplify solar energy.
•	Hydroponic Gardening Systems: This is a very fascinating concept, and an amazingly efficient crop production concept when combined with aquaculture and photo-electric systems.
•	Water Filtering Systems: A properly designed, passive system using 55 gallon drums can filter contaminated water very efficiently and inexpensively.
•	Electric Power Generation Systems: Constructing small solar arrays for running well and pond pumps on remote properties.
•	Electricity Producing Wind Turbines: Vertical axis or traditional propeller driven wind turbines can be constructed using materials that are readily available for little or no cost.


",**,http://stars.aashe.org/media/secure/760/6/582/3264/STORC%20innovation.pdf,True,True,**,True,--,http://www.csus.edu/storc/,True,--,True,True,True,--,--,--,--,--,--,--,True,True,--,--,--,--,--
Calvin College,2016-03-11,2016-03-11 14:31:09,bhaney@calvin.edu,2.0,Pursuing,Green Revolving Fund,"The Calvin Energy Recovery Fund (CERF) is a Green Revolving Fund that improves energy efficiency and reduces carbon dioxide emissions on campus. The energy savings from CERF projects are routed back into the fund for five years after project payoff, thereby growing the fund to support future projects.","CERF has saved over 1,000,000 kW-hr of energy, over 800 metric tonnes of CO2 emissions, and over $100,000 since inception (2009).",**,http://stars.aashe.org/media/secure/867/6/582/3264/CERF_Affirmation_Yarbrough.pdf,True,True,**,True,Finance,http://www.calvin.edu/support/energy/,True,--,--,--,--,True,True,--,True,--,--,--,--,True,--,--,--,--,--
Carleton College,2016-02-26,2016-02-26 11:19:24,mlarson@carleton.edu,2.0,Pursuing,Greater Northfield Sustainability Collaborative,"Carleton staff, faculty and students are part of the Greater Northfield Sustainability Collaborative, a group formed in fall of 2013 that brings together representatives from Carleton College, St. Olaf College, the City of Northfield and community groups for the purpose of facilitating and publicizing local sustainability events and projects.    The group helped facilitate a 2014 Northfield Area Climate Summit which attracted over 700 participants to St. Olaf college for a day of sustainability presentations, discussions, exhibits and action planning.","The GNSC received a $3,000 grant from the MN Clean Energy Resource Teams (CERTS) to expand our website to include a filterable, serachable database of local sustainability initiatives, research and projects.  This serves as a repository for both college and community efforts and aims to build collective impact on common sustainability issues within the entire region.",**,http://stars.aashe.org/media/secure/541/6/582/3264/CarletonCollegeInnovation_GNSC.pdf,True,True,**,True,--,http://northfieldsustainability.org/,--,--,--,--,True,--,--,--,True,--,--,True,True,True,--,--,--,--,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:03,bk11@andrew.cmu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Case Western Reserve University,2016-03-25,2016-03-25 15:39:39,stephanie.corbett@case.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"The program was partially funded through a kickstarter campaign:  information regarding the kickstarter campaign available here: https://www.kickstarter.com/projects/cwrufarm/farm-to-food-desert

Letter of Affirmation not available as of 3/20/14 - will be added when available. "
Chatham University,2016-02-17,2016-02-17 13:04:51,MWhitney@chatham.edu,2.0,Pursuing,EARTH University/Chatham University Master's Programs Partnership & Articulation Agreement,"In July 2013, Chatham University announced a new exclusive partnership with EARTH University, an innovative international institution located in the heart of a tropical rainforest in Costa Rica. Chatham University's Falk School of Sustainability (Falk School) has designed one-year Master of Sustainability (MSUS) and Master of Arts in Food Studies (MAFS) programs exclusively for EARTH University graduates. Chatham and EARTH University share foundational principles: ethical values, entrepreneurialism, and a commitment to addressing environmental, social, and economic issues. EARTH doesn’t offer a Master’s degree, but the intensity of their undergraduate program – 200 credits instead of the 120 common in the U.S. – means that EARTH students finish with the equivalent of a year of graduate education under their belts. 

During the first two weeks of August 2015, Chatham offered undergraduate and graduate students from the Falk School of Sustainability a two-week field experience course, FST 602: Global Agriculture, at EARTH University taught by Professors Nadine Lehrer and John Taylor. The following list is the outline of the course learning objectives:
-Address both historically-specific and globally socio-political questions surrounding tropical agriculture, ecosystem services, sustainability, food production, and international development
-Examine the opportunities and challenges to sustainable development, environmental conservation, and agricultural production in Costa Rica
-Analyze the implications of and the relationships between the typically bifurcated agricultural system (commodity export production on one hand and smallholder subsistence oriented farming on the other) of much of Latin American and the global South more broadly
-Develop a comparative understanding of agricultural production in a tropical ecosystem","In Fall 2014, EARTH student Arely Quirós Alpízar came to the Falk School for an internship, working closely with Allen Matthews, Director of Sustainable Agriculture. Arely worked on the farms at Eden Hall, showing colleagues how to trap microbes that digest biodegradable
substances and hasten their reproduction. 

For the first two weeks of August 2015, nine Chatham students and two faculty members visited EARTH University for the first-ever Global Agriculture Class. The students and faculty contributed blog posts during their class time, which can be found here: https://earthtochatham.wordpress.com/
",**,http://stars.aashe.org/media/secure/378/6/582/3264/STAR%20support%20letter.docx,True,True,**,True,--,https://earthtochatham.wordpress.com/,True,True,True,True,True,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Clark University,2016-02-24,2016-02-24 15:49:14,jisler@clarku.edu,2.0,Pursuing,Foam Recycling,"We collect and recycle foam: styrofoam, packing foam, containers, cellular foam; pretty much all of it except the soft kind like in mattress pads. The Recycling Crew collects all types of foam across campus with the co-mingle and sorts it out, bags it and collects a truckload every two months. Certain locations, due to their volume, have designated gaylord boxes for foam collection. Members of the Crew were concerned by all the styrofoam going to landfill, especially the volume coming from ITS' new computers, and researched an alternative. They discovered ReFoamIt, a small local company, created an internal management practice and an awareness campaign including contacting large foam producers on campus (Biology, Chemistry, Dining Services, electrical, Information Technology, Bookstore), and successfully petitioned Physical Plant to pay for ReFoamIt's service as part of waste management.","We recycle a box-truck load of foam approximately every two months, reducing that volume from the incinerator and landfill.",**,http://stars.aashe.org/media/secure/503/6/582/3264/Letter%20about%20Clark%20recycling%20their%20foam.doc,True,True,**,True,--,--,True,--,--,--,--,--,--,--,--,--,--,--,True,--,--,--,--,--,"The questions are worded so that it is hard to determine if a yes or no is appropriate. Double negatives abound! For example; ""Yes, we have not previously received a credit"" is the answer you probably want, but ""No, we have not previously received a credit"" is grammatically correct. So I hope that I have answered the correct way for your understanding!"
Clarkson University,2016-02-12,2016-02-12 07:37:43,sep@clarkson.edu,2.0,Pursuing,Integrating education in agroforestry carbon offset programs,"This project integrates a university and community partnership in Uganda with research completed as an MS thesis, education and service learning and efforts. It is designed to see if microfinance groups are an effective network for implementing agroforestry carbon sequestration. The involved MS thesis has begun a dialogue toward changing policies for acceptable carbon offsets for higher education. 
Partnering with the Mbarara University of Science and Technology in southwestern Uganda, the Clarkson School of Business is working on a long term microfinance study. Embedded within that study the Institute for a Sustainable Environment has initiated a carbon sequestration scheme where women in the microfinance groups are given training and an economic incentive to practice agroforestry. Student interns and researchers from Clarkson and MUST are responsible for collecting data on the project. 

The concept of valuing this type of program for its educational value and potential for carbon off sets was the focus of Alex French's MS thesis.  The results of that work have grown into an AASHE and Second Nature dialogue about rules for claiming carbon offsets for GHG inventories.  These type of educational project have real value to students and carbon sequestration, yet rarely the budget for 3rd party verification.  Alex is participating in that on-going dialogue ad is using our own experiences and successes as part of the justification for looking somewhat more broadly at the role of student centered projects when we value carbon sequestration from non-verified projects.","This is an experimental structure for forest carbon being developed by the Clarkson University School of Business. Microfinance networks exist all over the developing world. This project is working to demonstrate how cost effective carbon sequestration can be by utilizing these existing financial networks to both mitigate climate change and encourage communities to adapt to climate change. This project is also unique in that it provides interesting educational and research opportunities for our institution. 
Some of the quantifiable successs include:
•	Successfully established 3 tree nurseries
•	One of the nurseries is a group of Catholic students 
•	Roughly 1,000 trees and shrubs have survived over 21 farms
•	2 rainwater catchment systems have been installed
•	Farmers have expressed more interest moving forward and have requested specific species such as mango and grevillea (for timber)
•	4 Agroforestry trainings carried out
•	Land donated by Our Lady of Good Council nuns for agroforestry demonstration site
o	Significant amount of land
o	Fence has been built for initial planting area
o	Opportunity to restore a degraded mountain, experiment with new biodiesel industry, and offset (very possibly all of) Clarkson University emissions.
",**,http://stars.aashe.org/media/secure/398/6/582/3264/Carbon%20AASHE%20Innovation%20Credit.pdf,True,True,**,True,--,http://www.clarkson.edu/news/2014/news-release_2014-09-18-2.html,True,True,True,True,True,True,--,--,--,--,--,--,--,--,--,--,--,--,"See also:
http://www.clarkson.edu/digital/mag2015/files/assets/basic-html/page8.html"
