Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an institution-wide stated preference to purchase office paper that has ...,"A copy of the paper purchasing policy, directive or guidelines","The paper purchasing policy, directive or guidelines","A brief description of steps the institution has taken to ensure that the purchasing policy, ...",Does the institution wish to pursue Part 2 of this credit (expenditures on office paper)?,"Expenditures on office paper with the following levels of post-consumer recycled, agricultural ...","Expenditures on 10-29 percent post-consumer recycled, agricultural residue, and/or FSC certified ...","Expenditures on 30-49 percent post-consumer recycled, agricultural residue, and/or FSC certified ...","Expenditures on 50-69 percent post-consumer recycled, agricultural residue, and/or FSC certified ...",Expenditures on 70-89 percent post-consumer recycled and/or agricultural residue content and/or FSC ...,Expenditures on 90-100 percent post-consumer recycled and/or agricultural residue content and/or ...,Total expenditures on office paper ,"The website URL where information about the paper purchasing policy, directive, or guidelines is ...",Public Notes
Brown University,2016-03-23,2016-03-23 07:27:58,Ginger_Gritzo@Brown.edu,2.0,Pursuing,True,,"Brown University encourages departments/schools to consider the use of products and services that impact the environment less than competing products. Consideration should be given to factors such as:

Energy Efficiency.  Purchase equipment that is Energy Star-rated (or, if there is no Energy Star rating, equipment that is highly energy efficient).  Energy Star is a program helping businesses and individuals protect the environment through superior energy efficiency.
Shipping Materials.  Purchase products that are shipped in containers that are returnable or reusable and made from recycled content (i.e. cardboard boxes).  Also request bulk packaging when multiple items are ordered for delivery at the same time.
Recycled Content.  Purchase products made with recycled content suitable for the intended use.  Look for a high percentage of post-consumer content.  ‘Post-Consumer’ is material that has served its intended purpose and has been discarded for disposal or recovery by a business or consumer.  Other recycled content includes post industrial wastes which are by-products of a manufacturing process that would normally not be reused in the process.
Other.  Environmental performance of the supplier and/or producer should also be considered, such as waste prevention, waste reduction, pollution prevention, clean air and water programs, re-use of materials, minimization of scrap material, and any other green factory initiatives, etc.  The University strongly desires to minimize the amount of waste sent to landfills.  Both the product purchased and the packaging materials associated with it should be minimized to prevent waste as much as possible.
Responsibilities 
University Departments.  University Departments are responsible to make best value decisions regarding environmentally friendly goods and services.",Managers are aware of the purchasing policy and are required to approve all purchases. The E&E Office conducts outreach to departments to make environmentally conscious purchasing decisions.,--,**,--,--,--,--,--,--,http://brown.edu/about/administration/policies/node/253,--
Bryant University,2015-08-19,2015-08-19 14:50:39,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:36,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:58,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:49,dan.wakelee@csuci.edu,2.0,Pursuing,True,,"The CSU Buy Recycle Handbook was produced to assist the CSU campuses and administrative offices with the requirements for purchasing recycled-content products. It contains ""desk instructions"" to assist the campus Buy Recycle Coordinators with performing their Buy Recycle duties. The handbook contains procedural guidelines as well as policy requirements. Policy requirements are also contained in the procurement policy manual and in the event of an inconsistency; campuses should follow the policy manual. Procedural guidelines are provided to campuses for use as a model only and may be modified to be consistent with campus procedures and requirements. ","California State University Channel Islands (CI) follows The State Agency Buy Recycled Campaign (SABRC), which encourages campuses to comply with the Buy Recycle Campaign requirements by developing procedures that ensure the purchase of goods that contain recycle content or that may be recycled or reused when discarded. 
",True,**,--,21603.23,--,--,--,46631.27,http://www.calstate.edu/CSP/recycle/info.shtml,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:31,mmoscol@fullerton.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/60/6/508/3793/Recyled%20Handbook%20Jan%202015.pdf,,"It is the CSU’s policy to promote environmentally responsible procurement practices. Campuses are encouraged to comply with the Buy Recycled Campaign requirements by developing procedures that ensure the purchase of goods that contain recycled content or that may be recycled or reused when discarded. The detailed requirements for the CSU Buy Recycled Campaign are contained in the CSU Buy Recycled Handbook. The Buy Recycled Handbook, Buy Recycled certification forms, Buy Recycled report forms and a list of qualified vendors can be found at CSU’s Buy Recycled website: http://www.calstate.edu/Csp/recycle/recycle.shtml . 

Campus responsibilities: 
1. Purchase Recycled Content Products (RCP) instead of non-Recycled Content Products (RCP) if fitness and quality are equal and the RCP is available at no more than the total cost of the non-RCP. However, campus procurement officers shall allow a price preference for recycled paper and tire derived products. 
2. Require all contractors to certify the recycled content of all RCP purchased. For all products, contractors shall be required to certify in writing the minimum percentage, if not the exact percentage, of post-consumer material in the materials, goods, (or supplies) provided or used. This certification shall be furnished under penalty of perjury. 
3. Attain the RCP procurement mandates. Campus procurement offices shall strive to meet or exceed the legislative goals and timetables prescribed by the California legislature for the acquisition of recycled products. 
4. Submit Buy Recycled procurement reports annually. Campus shall submit to the Office of the Chancellor Buy Recycled reports in accordance with due dates specified at: http://www.calstate.edu/CSP/reports.shtml . 
5. Establish purchasing practices that ensure the purchase of materials, goods, and supplies that may be recycled or reused when discarded. 
6. Special provision added to PO's for products listed under any one of the 11 established recycled categories generating a Recycled Certification Form to the vendor, with 100% follow up. ",True,**,--,344457.81,--,--,--,601361.84,http://www.calstate.edu/CSP/index.shtml,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:36,austin.eriksson@csun.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/830/6/508/3793/CSUN%20Environmentally%20Preferable%20Purchasing%20Policy-%20Final%20Revisons%204.14.15.pdf,"The CSU Sustainability Policy & the Integrated CSU Administrative Manual (ICSUAM) establishes Environmentally Preferred Purchasing and Use practices that are applicable to all California State Universities. California State University, Northridge (CSUN), including, but not limited to, all auxiliary and enterprise operations, is committed to implementing Environmentally Preferred Purchasing and Use practices that meet or exceed CSU’s goals, working within the University’s budgetary, regulatory and programmatic constraints. CSUN's paper purchasing guidelines lie within our Environmentally Preferable Purchasing Policy. Below is the brief section that outlines our paper purchasing guidelines.

Paper
- Virgin paper, paper with no recycled content, should not be purchased.
- At minimum, 30%-50% post-consumer waste and recycled content paper should be used for routine office tasks.
","Responsibility: 
The Associate Vice President of Financial Services and Vice President of Administration and Finance are responsible for collaboratively overseeing the implementation of these practices.

This policy has been posted to the university's website and has been distributed across the campus.",True,**,--,46272.0,10340.0,--,1666.0,107636.0,--,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:15,kristina.cullen@csus.edu,2.0,Pursuing,True,,http://www.csus.edu/aba/Procurement/buy-recycled.html ,All office paper must meet the recycle content of 30% post-consumer.,True,**,--,150000.0,--,--,--,176608.0,http://www.csus.edu/aba/Procurement/buy-recycled.html,--
Calvin College,2016-03-11,2016-03-11 14:31:19,bhaney@calvin.edu,2.0,Pursuing,--,,,,--,**,--,--,--,--,--,--,--,--
Carleton College,2016-02-26,2016-02-26 11:19:34,mlarson@carleton.edu,2.0,Pursuing,--,,,,--,**,--,--,--,--,--,30326.5,https://apps.carleton.edu/sustainability/campus/procurement/officesupplies/,"Carleton College does not have a directive to purchase recycled paper since recycled content office paper jams the printers. A significant portion of our office paper purchases are eucalyptus, a rapidly renewable material that is Forest-Stewardship Council certified.  We do not have a breakdown of total purchases based on FSC certification. "
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:13,bk11@andrew.cmu.edu,2.0,Pursuing,True,,"POLICY TITLE: Carnegie Mellon University Recycling Policy 

DATE OF ISSUANCE: This policy was originally issued to campus on 10/5/90 as a presidential policy memo, Recycling Policy for Carnegie Mellon. 

ACCOUNTABLE DEPARTMENTS/UNITS: Questions on policy content should be directed to Barbara Kviz, Environmental Coordinator, Facilities Management Services, x8-7858 or  

ABSTRACT: Describes the university's recycling program and waste reduction efforts. 

RELATED INFORMATION: Carnegie Mellon Recycling and Environmental Practices 
Policy for Carnegie Mellon

This is to announce the adoption of the following Recycling Policy for the university. 

Carnegie Mellon University is committed to recycling the materials it uses and to minimizing non-hazardous waste. It is the responsibility of every member of the campus community to support these efforts that will protect our environment by conserving resources and preserving rapidly diminishing landfill space. The implementation of a campus-wide recycling program is the first step toward developing a comprehensive environmental policy for Carnegie Mellon. Recycling is just one part of a much larger program of activities through which Carnegie Mellon will take an increasingly active role to further understanding and preservation of our environment in the years to come. 

Facilities Management Services is responsible for the implementation of Carnegie Mellon's recycling program. The Environmental Coordinator in this department will be responsible for the management of the recycling program and coordination of waste reduction efforts on campus. Each department will designate, in writing, an official Recycling Liaison who will coordinate departmental recycling efforts with the Carnegie Mellon Environmental Coordinator. 

The entire campus community is expected to actively participate in Carnegie Mellon's Recycling Program and waste reduction efforts. This involves three distinct activities. 
1.Recycling of paper, cardboard and beverage cans (aluminum and bimetal). 
2.Source Reduction: This includes but is not limited to making double-sided copies, increased use of electronic mail instead of memos, reuse/resale of surplus furniture, etc. 
3.Purchasing products made from recycled materials. The long-term success of recycling programs in this country depends on the creation of markets for recycled materials. All departments should purchase recycled products wherever economically feasible. 

Recycling programs already functioning on campus are encouraged to continue and expand provided that they do not hinder the campus-wide recycling program. Individuals responsible for such programs must provide recycling volume data to the Carnegie Mellon University Environmental Coordinator to permit the university to comply with Pennsylvania Act 101 (Pennsylvania Municipal Waste Planning, Recycling and Waste Reduction Act 101 of 1988). 
","Carnegie Mellon University purchases 30%-recycled paper for our large campus wide paper purchase.  However, the University cannot limit its purchases to only recycled paper due some of the printers requiring virgin paper.

All purchasing at the University is decentralized, so the paper purchasing expenditures provided from our central warehouse is for the majority of paper purchased on campus, but not all of the paper purchased.",True,**,--,56061.0,--,--,1550.0,191179.0,http://www.cmu.edu/environment/,"The Recycling Policy includes a section to purchase recycled content materials.
http://www.cmu.edu/policies/documents/Recycle.html
"
Case Western Reserve University,2016-03-25,2016-03-25 15:40:41,stephanie.corbett@case.edu,2.0,Pursuing,--,,,,True,**,--,35436.27,891.04,24469.16,1074.46,162053.84,--,Expenditures provided by Office Depot
Chatham University,2016-02-17,2016-02-17 13:05:02,MWhitney@chatham.edu,2.0,Pursuing,True,,"Paper orders must be done online or through the copy center.  The default selection for all papers is minimum 30% recycled content.  If a request for specialty paper is made and justified, the preferred selection is to find an FSC paper that qualifies.
","On the Shadyside and Eden Hall campuses, paper is to be purchased directly from Office Depot online, where the University has negotiated a preferred selection of 30% recycled paper. For printing at Eastside campus, 30% recycled content paper is purchased and stocked by Ikon Copy Center and passed on to departments in the per print copier charges.
",True,**,8255.52,8888.57,--,--,--,18008.37,http://my.chatham.edu/documents/getdeptdocs.cfm?DeptID=2&DisplayName=Business%20Office,--
Clark University,2016-02-24,2016-02-24 15:49:28,jisler@clarku.edu,2.0,Pursuing,True,,"The University has negotiated, either directly or through group purchasing organizations, contracts for the purchase of various products and services including the following:

    Office Supplies/Paper
    Bottled Water
    Copiers/Multifunction Devices
    Transportation
    Car Rental

Unless there are unique circumstances or you are able to find cheaper prices elsewhere, every effort should be made to purchase goods or services from these vendors. If you are able to secure cheaper pricing than is available through Clark or group purchasing organization contracts, please share that information with the Business Manager.

In support of the University's sustainability efforts, 30% recycled copy/printing paper should be used whenever possible. Special pricing on this paper (Boise ASPEN 30% Recycled Multi-Use Paper) is availabe through Clark's preferred office supply vendor, WB Mason. Please see item number CAS054901.","Since we do not centralize purchasing of paper, we cannot enforce policy. However, we have negotiated preferential pricing with a preferred vendor to supply  at minimum 30% post-consumer recycled  office paper , indicated that as a preference on the purchasing portal, and the Purchasing Committee has sent an email encouraging the practice. Furthermore, since the complete transition in 2014 to SmartBuy Plus, an on-line purchasing platform that all departmental buyers are required to use, and which includes 'preferred vendors' that incentivize purchase of 30% or more recycled content copy paper, we have seen a significant increase in recycled content paper being used on campus.",--,**,--,--,--,--,--,--,https://www.clarku.edu/offices/business/purchasing/purchasingpolicy.cfm,--
Clarkson University,2016-02-12,2016-02-12 07:37:53,sep@clarkson.edu,2.0,Pursuing,True,,All basic copy paper will be made of 100% recycled content,"Purchasing of copy paper is centralized by the staff with this directive (individual departments do not directly order copy paper).
",True,**,--,--,--,--,33000.0,33000.0,--,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:20,sustain@coastal.edu,2.0,Pursuing,True,,"All purchasing of paper at Coastal Carolina University is done through state purchasing (Forms & Supply), which has required the product to meet certain levels of recycled content. This also allows the purchaser to choose FSC certified papers.",All  purchases of goods and services shall be governed by the laws of the State of  South Carolina.,--,**,--,--,--,--,--,--,http://www.coastal.edu/procurement/contracts/index.html,--
Colby College,2016-01-12,2016-01-12 15:54:20,ksbright@colby.edu,2.0,Pursuing,True,,"The College purchases only 100% post consumer content paper, specifically Boise ASPEN 100. This paper is FSC certified and 100% FDL (Fiber Diverter from Landfills).","The Assistant of Administrative Financial Services, Kelly Pinney-Michaud purchases all of the College's paper and only buys Aspen 100 paper.",True,**,--,--,--,--,38538.0,38538.0,http://www.colby.edu/administration_cs/financialservices/afs/purchasing/green-purchasing.cfm,--
Colgate University,2016-02-28,2016-02-28 11:21:47,jpumilio@colgate.edu,2.0,Pursuing,True,,"We worked out an agreement with our vendor, W.B. Mason, to offer only recycled paper options to our employees.  ","We established the goal that Colgate would no longer purchase non-recycled paper by 2012 in our 2011 Sustainability and Climate Action Plan.  That goal was met and 2012 was the first year in our history where only recycled content paper was purchased and used on campus.  Additionally, since 2009, Colgate has been able to reduce our campus-wide consumption of paper by 71 percent through print-release stations, default double-sided printing, digital applications, and increased awareness.",True,**,--,25794.0,5436.0,--,23376.0,54616.0,https://sites.google.com/a/colgate.edu/2011-2015-sustainability-and-climate-action-plan/procurement-and-purchasing-policies,--
College of Charleston,2016-02-29,2016-02-29 16:52:58,fisherb@cofc.edu,2.0,Pursuing,True,,The College offers paper purchasing from our central stores facility that is housed in the Procurement Department.  They have committed to purchasing at a minimum 30% recycled content for all paper purchased through central stores.,All paper purchased are supposed to go through central stores.,True,**,--,77405.0,--,--,--,96933.0,http://sustainability.cofc.edu/initiatives/campus-wide-efforts.php#procurement,--
College of the Atlantic,2016-03-23,2016-03-23 11:15:19,ademeo@coa.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/477/6/508/3793/COA%20wood%20and%20paper%20procurement%20policy%202001.pdf,,"All printer and photocopier paper is purchased by our purchasing manager, who ensures compliance with our post-consumer policy. All stationery is purchased by our Director of Creative Services and is 100% post-consumer, FSC certified. ",True,**,--,432.86,--,--,5635.92,6068.78,http://coa.edu/publicationsandpolicies.htm,"A small quantity of paper purchased by the college is not 100% post-consumer, as detailed in the numbers above. These are specialty papers used by our graphic designers when they are unable to find post-consumer paper that meets their project specifications.

The paper expenditures detailed above are from academic year 2014-2015. "
Colorado College,2016-02-29,2016-02-29 16:10:04,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,True,,"CC’s Sustainable Purchasing Guidelines establish an intent to “eliminate virgin paper by purchasing only recycled content paper when possible.” The Managed Print Services program has set and established a requirement of purchasing recycled paper, and currently operates at 90% purchased recycled paper. The MPS program tries to supply as much of the campus as possible. Additionally, the print shop uses paper that is 30-100% post-consumer recycled content (at least 30%). In the purchasing MPS policy it only states that recycled content is preferred. Yet on the MPS order form 30% is the only option for departments to order.  If we ever increase to 50%, the order form options will be adjusted accordingly.

https://www.coloradocollege.edu/offices/its/major-projects/managed-print/
https://www.coloradocollege.edu/basics/welcome/leadership/policies/procurement-and-purchasing",The 30% recycle content is the only option given for parties purchasing paper at the college.,--,**,--,--,--,--,--,37737.04,http://www.coloradocollege.edu/offices/facilities/energy-management/sustainable-purchasing-guidelines.dot,"https://www.coloradocollege.edu/offices/its/major-projects/managed-print/

https://www.coloradocollege.edu/offices/its/major-projects/managed-print/sustainability-council-support.dot

https://www.coloradocollege.edu/offices/its/documents/mpspaperorderingguide.pdf

https://www.coloradocollege.edu/offices/its/major-projects/managed-print/energy-savings-details.dot"
Colorado State University,2015-12-16,2015-12-16 16:39:14,tonie.miyamoto@colostate.edu,2.0,Pursuing,True,,"Office paper is a large consumption item for the university with millions of sheets consumed each year. Prior to instituting a University-wide policy mandating only >30% recycled paper purchasing across campus, the Associated Students of CSU recommended to the President that the university adopt 30% post-consumer waste (PCW) office paper as the standard paper. In an effort to comply with the recommendation, Procurement Services studied the use of this paper in several areas on campus and the feedback received found virtually no discernible difference in performance over regular #4 bond paper for the typical application. 30% PCW office paper is available through the University’s Strategic Partnership with OfficeMax as well as the University Bookstore.","The E-Procurement website for ordering multi-use paper across campus limits which multi-use paper can be ordered to a minimum 30% post-consumer waste as required per the University’s Environmentally Responsible Purchasing Policy, policy ID#: 5-6010-003.",True,**,71.0,224670.0,2207.0,--,22319.0,270510.0,http://policylibrary.colostate.edu/policy.aspx?id=513,--
Columbia University,2016-01-13,2016-01-13 14:27:19,as3215@columbia.edu,2.0,Pursuing,True,,"Sustainability Directive:

Storeroom Solutions is committed to supporting environmental initiatives that reduces impact on the environment.  To this end, all purchasing personnel are directed to:

1. Identify and present to environmentally friendly materials which provide equivalent service and performance
2. Develop supply base that embraces “green”  not only in their products but also in their operation and culture
3. Provide quarterly reporting on sustainability initiatives including actual dollars spend
","Through the Staple’s University Agreement, departments at Columbia are urged to purchase 30% Recycled Paper.  To support this initiative, Staple’s has priced the recycled paper at the same price as the 100% Virgin Paper.

Purchasing receives a report from the University’s office supply vendor, which provides the majority of the photocopier paper utilized at Columbia. From this it can be determined what departments that continue to purchase non-recycled products.  Overall, 40.2% of all purchases through Staples were recycled products over the last year. 68% of all contracted paper purchased was a minimum of 30% recycled content which is an improvement from only 35% of all paper in 2009.
Columbia encourages departments to modify their procurement practice relative to papers that are environmentally favorable by:
*  On the Staple’s EWay for Columbia, the default paper option for purchase is 30% recycled paper.
*  Purchasing contacts departments appearing on the Staple’s report to encourage them to use   recycled paper.
* On the Staple’s page, within the Purchasing Guide, there is information on the front page highlighting the benefits of recycled paper.
*New employees are informed of the benefit and price advantage of purchasing recycled content paper during new employee orientation.",True,**,--,52683.37,--,526052.85,15421.92,884048.4,--,"The University has also implemented a Paper Reduction Pilot program with the Mailman School of Public Health and Columbia University Facilities and Operations, which directly impacts the amount of purchased paper.  Paper purchased is the metric used to measure success, and the goal is to reduce this number by 10% for each group, respectively. "
Connecticut College,2016-02-28,2016-02-28 16:33:07,jstoffel@conncoll.edu,2.0,Pursuing,True,,The College's policy is that all paper purchased should have 30% post consumer recycled content.,The College established a preference to purchase 30% recycled content paper.,--,**,--,--,--,--,--,--,http://www.conncoll.edu/sustainability,--
