Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have policies and programs in place to make it accessible and affordable to ...,A brief description of any policies and programs to minimize the cost of attendance for low-income ...,A brief description of any programs to equip the institution’s faculty and staff to better serve ...,A brief description of any programs to prepare students from low-income backgrounds for higher ...,A brief description of the institution's scholarships for low-income students,A brief description of any programs to guide parents of low-income students through the higher ...,A brief description of any targeted outreach to recruit students from low-income backgrounds,A brief description of other admissions policies or programs to make the institution accessible and ...,A brief description of other financial aid policies or programs to make the institution accessible ...,A brief description of other policies and programs to make the institution accessible and ...,Does the institution have policies and programs in place to support non-traditional students?,A brief description of any scholarships provided specifically for part-time students,"A brief description of any onsite child care facilities, partnerships with local facilities, and/or ...",A brief description of other policies and programs to support non-traditional students,Does the institution wish to pursue Part 2 of this credit (accessibility and affordability ...,Indicators that the institution is accessible and affordable to low-income students:,The percentage of entering students that are low-income,The graduation/success rate for low-income students,"The percentage of student financial need met, on average",The percentage of students graduating with no interest-bearing student loan debt,The percentage of students that participate in or directly benefit from the institution’s policies ...,The website URL where information about the institution's affordability and access programs is ...,Public Notes
Middlebury College,2016-03-25,2016-03-25 14:03:53,jmbyrne@middlebury.edu,2.0,Pursuing,True,"The College follows a need-blind admission policy for domestic students, which means that a student's financial status does not influence the admission decision. Middlebury makes every effort to help all candidates obtain the financial aid they need in the form of grants, loans, and work/study jobs once they are accepted. Middlebury will offer an aid package that meets 100 percent of a student’s financial need as calculated by the Student Financial Services Office. Additionally, the maximum amount of loans given to a student is based on the family’s annual income so that students do not acquire loans beyond their family’s means.","The Director for Student Services is an active member in the Center for the Comparative Study of Race and Ethnicity (CCSRE) where topics relating to financial aid and low-income students are often discussed.
 ","Along with our health insurance, book advances, computers and travel assistance programs, Middlebury is also in the process of implementing financial literacy programs (one of which targets low-income students).","Middlebury does not offer merit-based scholarships, but does meet 100% of student’s financial need as calculated by the Student Financial Services Office. Middlebury is a partner college of The Posse Foundation, a national college access and youth leadership development program that identifies, recruits and selects student leaders from public high schools and sends them in groups called Posses to some of the top colleges and universities in the country. (http://www.possefoundation.org/). Middlebury also receives funding from the Davis United World College Scholars Program to give need-based scholarships to graduates of United World College schools.",Financial Aid Operations holds one-on-one family financial aid meetings with Posse families in both New York and Chicago. ,"Middlebury is a partner college of The Posse Foundation, a national college access and youth leadership development program that identifies, recruits and selects student leaders from public high schools and sends them in groups called Posses to some of the top colleges and universities in the country. Every year, Middlebury admits 20 Posse Scholars from New York and Chicago. (http://www.possefoundation.org/). Beginning in 2015, ten students from Posse Los Angeles will be admitted to Middlebury as part of a national STEM initiative. 
(http://www.middlebury.edu/newsroom/archive/2014/node/468082)",Admission for domestic students is need blind to ensure that students from all socio-economic backgrounds are considered equally.,"Using a combination of grants, loans, and work/study jobs, the College gives aid packages that meet 100% of students’ needs as determined by the Student Financial Services Office.",,True,,,"The Student Government Association Diversity Committee provides a first generation college student peer mentoring program. For Middlebury, first generation students are considered non-traditional.",True,**,12.0,89.0,100.0,54.0,12.0,http://www.middlebury.edu/admissions/finaid,"Regarding the ""percentage of students that participate in or directly benefit from the institution’s policies and programs to support low-income and non-traditional students"" item above: at minimum it is 12% as stated though likely higher since that number is only for lower income students. Non-traditional students data was not readily available at the time of filing this report."
Mills College,2016-02-29,2016-02-29 23:53:58,ngaetjens@mills.edu,2.0,Pursuing,True,,"The college holds an annual day-long advising workshop to prepare faculty for their role as advisers, including discussion of how to assist students from low-income backgrounds. The advising page on the College's website for faculty includes resources for working with low income students.","Summer Academic Workshop

This four-week residential program, tailored for first-generation college students and students of color, provides selected students with a rigorous academic transition to college and a lasting support community. Over the four weeks, SAW students participate in approximately 68 hours of class time across four course modules (English, social justice, sociological inquiry, and mathematics), and three workshops (sociology, study skills, and writing). This is complemented by 48 hours of structured study time, interspersed with leadership development and team-building activities, introductions to key areas and resources on campus, weekly educational and social outings, athletic programs, and introductions to library and computing services available at Mills. SAW students consistently cite their participation in this program as one of the most meaningful, useful, and memorable aspects of their entire college experience.
",,,"Mills recruits, admits, and enrolls students from low-income backgrounds.  The admission staff visits high schools, college fairs, and community colleges which serve students from this population.  Over 30% of the students enrolled at Mills are first-generation to college and a significant number of students receive Cal Grants and Pell Grants.  The Summer Academic Workshop (SAW) is also a program which serves first-generation, low income students.","All students are required to submit an application, application fee, secondary school record, secondary school report, recommendations, and standardized test scores.  The application fee can be waived for students who face financial hardship. The admission evaluation process is holistic and a student's academic preparation and personal characteristics are taken into consideration.  Merit scholarships or grants are awarded to qualified students at the time of admission.  Mills exercises need blind admission for all applicants.",,,--,,,,True,**,47.0,63.0,66.0,--,--,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:18,neapple@mtholyoke.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:28:16,kprocyk@muhlenberg.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"•	Cindy Amaya Santiago, Senior Associate Director of Admission and Coordinator of Multicultural Recruitment, csantiago@muhlenberg.edu, 484-664-3245 (info on traditional students)
•	Kim Myerson, Wescoe School's Financial Aid Administrator, kmyerson@muhlenberg.edu, 484-664-3164 (info on non-traditional students)
•	Greg Mitton, Director of Financial Aid, Associate Dean of Admissions, mitton@muhlenberg.edu (data on low-income students)
"
Naropa University,2016-02-29,2016-02-29 17:16:56,acook@naropa.edu,2.0,Pursuing,True,grants for low income students list here,none,none,list here,none,Maybe?,,,,True,list,list,Marvin I. Naiman Scholarship,--,**,--,--,--,--,--,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:54,lindsay_batchelor@ncsu.edu,2.0,Pursuing,True,"NC State University’s Pack Promise program was created to assist low-income students in meeting their financial needs. Pack Promise guarantees that students will receive 100 percent of their financial aid, along with academic support for qualifying students.
More information found here: http://financialaid.ncsu.edu/pack-promise/  ","Academic Advising Services offers a Round Table Discussion on Advising Students who are Under-Resourced. Also, the Adviser Development Institute offers a workshop.

The workshop will define the many forms/types of under-resourced students and create a common framework for understanding what makes this population unique.  Qualified facilitators will discuss best practices and give concrete resources to help support our under-resourced students at NC State.  By the end of the workshop, participants will be able to:
-Describe characteristics of under-resourced college students and recognize how to identify if a student is under-resourced
-Discuss the importance of relationships for under-resourced students and will learn how understanding the “hidden rules” of college and the workplace can assistance with student persistence; and,
-Articulate campus and community resources to support students.",The Upward Bound Program is an early intervention pre-college preparatory program funded by the U.S. Department of Education and is sponsored locally by NC State University. Upward Bound seeks to identify and select high school students with a 2.5 GPA or higher who have academic potential to succeed in college.,Pack Promise meets 100 percent of the financial need for all students who qualify for federal financial aid. ,There are several programs to guide parents of low-income students. The Summer START program offers students the opportunity to complete up to eight credit hours of summer courses and prepares them for the rigors of college life. Raleigh College and Community Collaborative works to provide mentoring and educational support to low-income students in districts with low college attendance rates. NC State also has shown a continued commitment to affordability – the university is frequently cited as one of the most affordable public universities in the U.S. by U.S. News and World Report and other well-known ranking agencies.,"TRiO is a series of federal outreach and student services programs for individuals from disadvantaged backgrounds. Talent Search in TRiO programs provides hands-on counseling to thousands of middle and high school students in N.C.
More information on the resources that TRiO programs offer, visit: http://trio.dasa.ncsu.edu/  ","The university waives application fees for freshmen applicants submitting College Board, American College Test, or National Association for College Admission Counseling fee waivers.  For 2012 NC State honored 1,865 admissions application fee waivers.","The Office of Scholarships and Financial Aid web site has complete information regarding available aid programs, policies, application procedures and eligibility criteria.
www.ncsu.edu/finaid","The Office of Scholarships and Financial Aid web site has complete information regarding available aid programs, policies, application procedures and eligibility criteria.
www.ncsu.edu/finaid
",True,"Part time students, including seniors in their last semester, receive reduced federal, state and institutional scholarship and grant funding and are eligible for federal loan support if enrolled on at least a half-time basis (a minimum of 6 hours per semester for undergraduates and a minimum of 4.5 hours per semester for graduate students).","NC State’s childcare center is managed by Bright Horizons and offers infant to pre-school slots at a discounted monthly fee, for the children of full-time, benefits-eligible, faculty and staff of NC State, as well as full-time Post-docs.
There are also a number of centers that are willing to provide discounts or other child care incentives to NC State employees or students. https://www.ncsu.edu/human_resources/benefits/Childcare/
http://www.ncsu.edu/human_resources/benefits/Childcare/providersForm.php","The Office of Scholarships and Financial Aid also offers scholarships opportunities to transfer students. Consideration for various awards is given to students who are academically competitive, exhibit special talents or characteristics and demonstrate financial need. To be considered for these scholarships, simply apply for financial aid by completing the FAFSA.

New, enrolled international undergraduate students may be eligible for the Beijing Fazheng Group scholarship. The Beijing Fazheng Group Scholarship provides financial assistance to academically gifted students of the Beijing Royal School enrolled full-time in an undergraduate degree program or in the Intensive English Program (IEP).

The Office of Scholarships and Financial Aid also offers scholarships opportunities to transfer students. Consideration for various awards is given to students who are academically competitive, exhibit special talents or characteristics and demonstrate financial need. To be considered for these scholarships, simply apply for financial aid by completing the FAFSA.",True,**,15.0,52.0,78.0,57.0,52.0,http://admissions.ncsu.edu/,--
Northern Arizona University,2016-02-23,2016-02-23 18:52:16,Ellen.Vaughan@nau.edu,2.0,Pursuing,True,"There are multiple opportunities for students to minimize the cost of attendance through Office of Financial Aid and Scholarship Office.

University Grants
University Grants are need-based awards.
Resident Set-Aside and nonresident Set-Aside grants are awarded to students who are at least half time undergraduates.

Federal Supplemental Educational Opportunity Grant (FSEOG). The FSEOG Program provides need-based grants to help low-income undergraduate students finance the costs of postsecondary education. 

The Pell Grant is need-based financial aid. Pell Grant funding is guaranteed for all Pell eligible students.  Pell grants may be awarded to eligible undergraduate students who are enrolled less that full time for the term. The award amounts are pro-rated based on enrolled hours.

Federal Work-Study (FWS) is a need-based program that provides part-time jobs for undergraduate and graduate students with financial need, allowing them to earn money to help pay education expenses.","Faculty and Staff can contact the Student Support Services to connect with resources for serving students from low-income backgrounds. 


","NAU supports traditional 2 + 2 programs with community colleges and partners with every Arizona community college. One particularly developed relationship is between NAU and Coconino Community College through the CCC2NAU President's Scholarship, a fund that will support students who attend both institutions on their path toward earning a bachelor's degree. http://www.coconino.edu/news/217-ccc-and-nau-presidents-form-new-initiative-to-ensure-student-success

NAU participates in pipeline partnerships with Arizona high schools through the Upward Bound program. Upward Bound is a program designed to prepare students from low-income backgrounds for higher education.  It is a year-round program providing educational services and college preparatory assistance to Northern Arizona high school students who attend either Williams, Coconino, Hopi, or Winslow high schools. Services are provided in two components: The Portfolio program, and a Summer Residential Program. Upward Bound participants must be potential first-generation college students and/or from a family whose income falls within the federal low-income guidelines.
","Administered through Office of Financial Aid, there are many scholarships available for diverse student population targeting, for example, first generation students, single parents, and low-income students. 

The Inclusion and Multicultural Services assists in the coordination of a variety of scholarships from private donors including, the Coordinating Council for Mexican-American Affairs, and the Wilson Riles Fund.

Additional grants and scholarships: 

University Grants
University Grants are need-based awards.
Resident Set-Aside and nonresident Set-Aside grants are awarded to students who are at least half time undergraduates.

Federal Supplemental Educational Opportunity Grant (FSEOG). The FSEOG Program provides need-based grants to help low-income undergraduate students finance the costs of postsecondary education. 

The Pell Grant is need-based financial aid. Pell Grant funding is guaranteed for all Pell eligible students.  Pell grants may be awarded to eligible undergraduate students who are enrolled less that full time for the term. The award amounts are pro-rated based on enrolled hours.

Federal Work-Study (FWS) is a need-based program that provides part-time jobs for undergraduate and graduate students with financial need, allowing them to earn money to help pay education expenses.
","At NAU, parents are encouraged to participate in Upward Bound activities to support students in their secondary and postsecondary academic endeavors.

Additional resources are available through the Office of Inclusion and Multicultural Student Services; Native American Student Services, Gateway Center, and University College.
","Educational Talent Search and Educational Opportunity Centers are examples of two programs that NAU utilizes in recruiting students from low-income backgrounds.  Educational Talent Search increases educational and career awareness among middle school and high school students, enhances the number of students who complete middle and high school, encourages the number of students who continue and/or re-enter high school equivalency programs or enter post-secondary programs and vocational training, and decreases the number of dropouts and stop-outs.  Participants must be potential first-generation college students or from a low-income family. Educational Opportunity Centers main objective is to provide information and assistance to adults 19 years of age and older seeking to enter or continue a program of postsecondary education (two-year, four-year college, or vocational/technical school).  

Other resources are:

Upward Bound (described above)

Upward Bound Math and Science
Four Corners Upward Bound Math and Science Program brings high school students from the four corners region to Northern Arizona University for an intensive five-week academic summer program and continues throughout their academic years with follow up curriculum and activities.  Freshman and sophomore high school students from low-income or first-generation families are eligible for the program.  
http://nau.edu/Four-Corners-UBMS/

Nizhoni Acadamy.
The Nizhoni Academy, is a pre-college enrichment program designed to prepare Native American High School students to become successful college students. The program is comprised of an annual four-six week academic and residential program held on the campus of Northern Arizona University in Flagstaff, Arizona. The academy emphasizes rigorous STEM academic instruction, a clear understanding of the demands of college studies, and high academic competency and study skills necessary to be successful student in post-secondary education. http://nau.edu/Nizhoni-Academy/","Policies and programs are primarily offered through the Office of Admissions working closely with Office of Financial Aid

Since the fall 2010 semester, Northern Arizona University has implemented a Peer Jacks Mentoring Program.  This program will offer out-of-state freshman the opportunity to have a peer mentor who can help them find their own way out here at NAU.  Current NAU students who are hired to be mentors will be paid 9 dollars an hour for their work.  The overall goal of the program is to get freshman connected to people, departments, and other resources on campus and in the community.  These connections will help them to find their place at NAU while also becoming successful academically.  
","Northern Arizona University offers a pledge of 4 great years for 1 great rate.  Beginning with new freshman and transfer students entering the Flagstaff campus in the fall semester, students will pay the same tuition rate for 4 years.  Students awarded gift aid (grants) will have the same amount of gift aid guaranteed for 4 years.  The pledge is NAU’s commitment to help undergraduate students enrolled on the Flagstaff campus and their families plan for the cost of a 4 year college education without any surprises or guessing.
http://nau.edu/Admissions/Pledge/Our-Pledge/","The Western Undergraduate Exchange (WUE) Scholarship
Students who meet the university’s admission criteria and live in one of 14 Western states states can receive a tuition rate of 1.5 times the cost of resident tuition. All students are evaluated for eligibility during the admissions process. Eligible students, once admitted, will automatically receive the WUE tuition rate.
http://nau.edu/Admissions/Financing/Western-Undergraduate-Exchange/

Educational Aid Registration Permits (EARPs)    
The EARP is used for reduced tuition at NAU, ASU, and the U of A.  Only eligible employees, the employee's spouse, domestic partners, and the employee's dependent children qualify for this benefit. 
The Office of Student Financial Aid processes all EARPs, but the Human Resources department holds the information to eligibility, credit hour limits, fees, etc.  More information can be found at the Education Assistance web page.
http://nau.edu/FinAid/Other-Programs/For-Employees/",True,"Part-time students can participate in a variety of NAU scolarships. 
http://nau.edu/FinAid/Scholarships/

",No on-site child care facilities; Student Life administers child care vouchers for students.,"NAU offers Family Housing for full-time students.
https://nau.edu/Residence-Life/Housing-Options/Family-Housing/

University College
University College promotes an enhanced learning experience for students. Faculty, staff, and students create a challenging and supportive environment to enable a successful transition to the university and a solid foundation for continued academic success. You are automatically a part of University College when admitted to Northern Arizona University.
http://nau.edu/University-College/

The Office of Scholarships and Financial Aid offers tribal scholarships.
http://nau.edu/Finaid/Aid-Types/Scholarships/Tribal/",True,**,31.1,49.0,62.0,36.0,--,http://www4.nau.edu/pair/RetentionAndGraduation/RetentionF.asp,--
Oberlin College,2016-03-21,2016-03-21 16:09:58,bflynn@oberlin.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ohio University,2016-03-23,2016-03-23 07:58:52,goetze@ohio.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"The graduation/success rate for low-income students is from http://www.ohio.edu/instres/student/righttoknow/PELLSTAFFGRADRATES.html and is 2013 data for the six-year graduation rate for the 2007 freshmen cohort

he percentage of student financial need met, on average, is from the data submitted for the 2014-2015 submission of Common Data Set statistics for question:  Average percent of need met for any need-based aid – first-time, full-time freshman.

"
Onondaga Community College,2016-02-26,2016-02-26 16:34:09,vormwals@sunyocc.edu,2.0,Pursuing,True,"As a community college, affordability and access is a fundamental aspect of the College's mission. Onondaga makes every effort to remain affordable for all students. ",The Chief Diversity Officer provides training on how to better serve students from low-income backgrounds at the new employee orientation.,"The Educational Opportunity Program provides support to low-income students in the form of individual and academic counseling, educational and career planning, financial advisement, tutorial assistance and study skills classes, and financial assistance. More information can be found online at http://admission.sunyocc.edu/?id=2752&TierSlicer1_TSMenuTargetType=1&TierSlicer1_TSMenuID=72.
",Onondaga Community College offers many scholarships for low-income students. A complete listing can be found online at http://admission.sunyocc.edu/?id=1790.,Financial Aid training is available for parents during Open House and orientation events. ,,,,,True,Part-time students are eligible for several scholarships. For a complete listing of scholarships visit http://www.sunyocc.edu/index.aspx?menu=788&id=1790. ,"The Children’s Learning Center provides high quality, affordable and accessible child care to the children of Onondaga Community College students and serves as an exemplary teacher training site for students in the Human Services and Teacher Education Department. The Children’s Learning Center (CLC) is licensed by the NYS Office of Children and Family Services and accredited by the National Association for the Education of Young Children. ","Onondaga has a variety of programs to support non-traditional students. Onondaga offers evening, weekend, and online classes; has an Adult and Evening Services Office that assists non-traditional students; has an campus childcare facility; and a veterans affairs office. ",True,**,62.0,--,--,--,--,--,--
Oregon State University,2016-03-30,2016-03-30 14:51:28,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Statement from the OSU Provost, February 2013:

Oregon State University shares concerns with students and their parents over the importance of keeping a college education accessible and affordable. We recognize that access to post-secondary education, declining college affordability, and a high proportion of students who fail to graduate from colleges in a timely manner are critical issues for academic institutions in Oregon and nationally.

At Oregon State, we are committed to effectively address these issues in timely and on-going ways.

The university continues to build an increasingly diverse and inclusive student community. To help the state advance towards its 40-40-20 goal, the university has increased its enrollment in the past three years by 20 percent, ensuring access for qualified Oregonians. At the same time, Oregon State works hard to attract high achieving students from Oregon high schools and community colleges to ensure that we retain them in the state.  And we are committed to maintain affordability, and yet improve the quality of education we offer students, and reduce the time it takes for a student to earn a degree.

To help achieve these outcomes, Oregon State has:
•	Provided support to more than 2,800 students each year through the Bridge to Success program, which covers full tuition and fees for students in the program
•	Raised $150 million for academic scholarships through the Campaign for OSU in collaboration with the OSU Foundation.  Each year, more than 4,000 students receive donor-funded scholarships and fellowships totaling more than $7.5 million.
•	Consolidated business services and academic units to reduce administrative costs and direct as much funding as possible to the delivery of educational programs that allow on-time graduation.
"
Pennsylvania State University,2016-03-21,2016-03-21 11:48:58,mme2@psu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pittsburg State University,2016-03-24,2016-03-24 14:48:51,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:39:00,warren_biggins@pitzer.edu,2.0,Pursuing,True,"Pitzer College is committed to meeting the full demonstrated need of all admitted students; our financial aid awards do not include an unfunded gap. Our financial aid awards are composed of modest work and loan awards, and the remainder of the student’s need is met with federal, state and institutional grant assistance. Pitzer does not include unsubsidized federal loans or parent PLUS loans as part of the financial aid award, unless specifically requested by the student or parent, to ensure students are borrowing as little as necessary. All regularly admitted students receive a copy of the Federal Shopping Sheet with their financial aid award to encourage the student to compare costs at comparison schools in a uniform, and clear format.

Our use of institutional methodology collects a more comprehensive accounting of the applicant’s financial circumstances than is possible with the FAFSA application. Students are able to report both prior year and expected income, which provides household income trends that the financial aid administrator can use to better understand the family’s ability to contribute to college costs. The application also collects information about unusually high medical/dental expenses, which we take into consideration and will decrease a parent contribution when limited family resources are being directed to nondiscretionary health care costs. Further, institutional methodology accounts for a larger protection of family income for living expenses than federal methodology, and a lower family contribution towards educational costs for our highest need students.",,,"Federal Supplemental Educational Opportunity Grant (Federal/institutional Grant) – Scholarship assistance funded by Federal and Institutional contributions that are awarded to students with very high need.
Pitzer Scholarship – Need based scholarship assistance
New Resources Scholarship – Need based scholarship assistance that covers up to the full cost of tuition for students admitted through the New Resources program.
Arnoldo Rodgriguez Scholarship- Scholarship assistance for undocumented students.
Pitzker Scholarship- A $5,000 annual award granted to first year students.
MECHANISM Scholarship- Need based scholarship assistance awarded to students majoring in STEM
Rose Hills Scholarship- Need based scholarship assistance awarded to students majoring in science and math, from southern California, low income and minimum GPA of 3.5.
Yellow Ribbon Match Scholarship- Scholarship assistance for Veterans or children of Veterans who served in the military after Sept 11, 2011.
Say Yes to Education – Students who are admitted through the Say Yes program whose family income is at or below $75,000 are typically eligible to attend Pitzer College with a financial aid award that covers the full cost of tuition and fees.
",,"Through the Pitzer Pathways Initiative, Pitzer partners with community-based organizations (CBOs) across the United States that serve first-generation, disadvantaged and nontraditional age students. Beginning in the spring of 2014, all admission counselors visit CBOs in their recruitment territories to provide college admission workshops, conduct interviews and offer tutorials on essay writing. The goal is to assist these organizations’ ability to help low-income students attend some of America’s best institutions of higher learning. Each year the Admission Office visits 25+ CBO’s across the country. Pitzer partners directly with national organizations including Say Yes, I’m First, the United World College Davis Program, Chicago Scholars, LEDA Scholars, and Horatio Alger Scholars, EMERGE, and Gates Millennium Scholars Program
Pitzer hosts the Native American Summer Pipeline to College program, which brings local Native American students to campus to interact with students, learn about the college admissions process and experience college life. 
","As part of our commitment to diversity and intercultural understanding, Pitzer College hosts a Fall and Spring Diversity weekend. This program is designed specifically for high school seniors from underrepresented racial, cultural, and socioeconomic backgrounds from across the United States. Each year we fund approximately 100 students for an all-inclusive, all-expense paid trip for which round-trip transportation (air, train, bus, gas/mileage reimbursement) will be covered. Attendees are hosted by current students in the residence halls and dine on campus throughout the three-day weekend. The program provides prospective students an opportunity to experience the distinct atmosphere that sets Pitzer College apart from other colleges while interacting with current students, faculty, staff and other high school seniors considering Pitzer. ","Students who receive outside scholarship from private organizations may use the awards to replace federal need based loans, work study awards and if the student has unmet federal need, replace that need to increase the overall benefit to scholarship recipients.
Student summer earnings contributions are reduced from $1550 to $900 for students who come from households with total incomes lower than $30,000.
",,True,"New Resources Scholarship
Osher Reentry Scholarship
",,"Pitzer College established the New Resources Program in 1974 to bring the small, liberal arts college experience to students of non-traditional college age. The program was founded with the conviction that a truly diverse campus is one eager to encounter the added dimension brought by students of a range of ages as well as backgrounds and interests. New Resources students enroll in courses at Pitzer as well as the other Claremont Colleges. They may attend on full or part-time basis, and they are encouraged to plan their course loads with a realistic appraisal of their family and job commitments.",True,**,14.0,--,100.0,5.0,--,--,--
Plymouth State University,2016-02-29,2016-02-29 11:42:45,bweisenhauer@plymouth.edu,2.0,Pursuing,True,Scholarships targeted at these students have increased as part of a focused effort over the past 3 years. Aid to all students has increased over the last two years.,TRIO services supported by federal funding.,See academic support services section above.,Scholarships targeted at these students have increased as part of a focused effort over the past 3 years.,Unknown,Unknown,"This question is very unclear and the topic too broad. ""other admissions policies and programs"" is extensive.",http://www.plymouth.edu/office/financial-aid/,,True,none,PSU child care center serves student and in need populations.,Non traditional housing is available.,--,**,--,--,--,--,--,http://www.plymouth.edu/services/pass/,--
Pomona College,2016-01-11,2016-01-11 17:28:43,alexis.reyes@pomona.edu,2.0,Pursuing,True,"In Pomona College's admission policy statement, approved by the Board of Trustees, the College articulates its commitment to ""to review admissions candidates who are US citizens and permanent residents without regard to financial circumstances and to provide financial assistance to those who enroll to the extent of their demonstrated need."" Pomona College is one of only a handful of institutions in the US committed to both need-blind admissions and to meeting 100 percent of the demonstrated need of every admitted enrolling student with scholarships. There are no loans in the financial aid packages. These policies enable Pomona to choose its students solely on the basis of educational considerations such as talent, promise, and ability to contribute to the campus community while removing cost as a barrier to a first class educational opportunity. ",,"Pomona College Academy for Youth Success (PAYS) is an intensive 4-week academic summer program that serves high school students from groups traditionally under-represented in higher education – students who are first in their family to attend college, those from low income families, and those who are African American or Latino/a. The program enrolls up to 90 participants from Los Angeles and the Inland Valley. The program includes room and board M-F, and there is no cost to participants. Program participants attend small classes of approximately 15 students taught by Pomona College faculty.","Pomona College offers no merit-based scholarships at all.  All financial aid is based on family need.  Since 2008, all financial aid awards made by Pomona College have been a combination of gift aid (scholarships and grants) and student employment, without loans or accrued debt of any kind. Pomona College also has over 400 named, endowed scholarships that contribute to the College's ability to maintain a need-blind admissions policy. ","Pomona College has a Parents Council which calls the parents of every accepted student to answer any questions they may have and talk about their own experience as well as their child's. Iin recent year, the program has had enough Spanish speaking parent volunteers to call families who prefer that conversation in Spanish. There is also an annual Family Weekend. Both of these programs are aimed at all Pomona parents.  As part of the Pomona Academy for Youth Success, whose participants are often low income, College officials in admissions and financial aid meet with parents each year to discuss the processes of admissions and applying for financial aid. Pomona College financial aid staff also meet with participants of the local College Bound program to explain the process to those prospective college students and their families.","Pomona College's commitment to a diverse student body is reflected in the Admissions Policy statement: ""the College should select students for its entering classes who represent a rich cross-section of backgrounds, talents, experiences, and perspectives."" The Admissions Office seeks to respond to this call; the College reaches out to community-based organizations across the country and by targeting outreach to economically disadvantaged students.The college is a participant in Chicago site of the Posse Foundation and is a partner of the QuestBridge program. The College has also enrolled many students from other programs such as Prep for Prep, Bright Prospect, College Match (Los Angeles), One Voice (Santa Monica), the Fulfillment Fund and other similar programs. Pomona also has the MSAP (formerly Minority Student Admissions Program) for under-represented students (low-income, minority or first generation) who have the potentail for being admitted. This program includes a fly-out program on two weekends in the fall to visit the campus. ","For those with lower incomes, as reported on the application, the College will pay for their travel. For program participants who are admitted, the College will pay for low-income students to visit the campus for admitted student receptions in the spring. All admitted students receive information on admitted student receptions on campus that include the information that there are travel grants to attend these events available for low-income students.","Since 2008, financial aid awards do not include loans or other debt-related offers. ",,--,"The college enrolls very few students, if any, who meet this definition.",None,None,True,**,19.0,93.0,100.0,77.0,19.0,http://www.pomona.edu/administration/financial-aid/index.aspx,--
