Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Level of water risk for the institution’s main campus,Total water use (potable and non-potable combined):,"Total water use, performance year","Total water use, baseline year",Potable water use:,"Potable water use, performance year","Potable water use, baseline year","Figures needed to determine ""Weighted Campus Users"":","Number of residential students, performance year","Number of residential employees, performance year","Number of in-patient hospital beds, performance year","Full-time equivalent enrollment, performance year","Full-time equivalent of employees, performance year","Full-time equivalent of distance education students, performance year","Number of residential students, baseline year","Number of residential employees, baseline year","Number of in-patient hospital beds, baseline year","Full-time equivalent enrollment, baseline year","Full-time equivalent of employees, baseline year","Full-time equivalent of distance education students, baseline year",Gross floor area of building space:,"Gross floor area of building space, performance year","Gross floor area of building space, baseline year",Area of vegetated grounds:,"Area of vegetated grounds, performance year","Area of vegetated grounds, baseline year",Start and end dates of the performance year and baseline year (or three-year periods),"Start date, performance year or 3-year period","End date, performance year or 3-year period","Start date, baseline year or 3-year period","End date, baseline year or 3-year period",A brief description of when and why the water use baseline was adopted,"Water recycled/reused on campus, performance year","Recycled/reused water withdrawn from off-campus sources, performance year",A brief description of any water recovery and reuse systems employed by the institution,A brief description of any water metering and management systems employed by the institution,"A brief description of any building retrofit practices employed by the institution, e.g. to install ...","A brief description of any policies or programs employed by the institution to replace appliances, ...",A brief description of any water-efficient landscape design practices employed by the institution ...,A brief description of any weather-informed irrigation technologies employed by the institution,A brief description of other water conservation and efficiency strategies employed by the ...,The website URL where information about the institution’s water conservation and efficiency ...,Public Notes
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:02,bk11@andrew.cmu.edu,2.0,Pursuing,Low,**,198113000.0,123907000.0,**,198113000.0,123907000.0,**,3989.0,--,--,10904.0,5055.0,132.6,3744.0,--,--,8894.0,4032.0,106.5,**,6835325.0,6276822.0,**,146.0,120.0,**,2012-07-01,2013-06-30,2004-07-01,2005-06-30,FY 2005 was selected to be consistent with earlier STARS reporting,--,--,"A rainwater barrel on the solar house is used to water the 
student garden. Rain water collection systems are used at two major buildings for toilets, and at one of these buildings, for an irrigation system.

Harvested rainwater is used at Gates & Hillman and the Collaborative Innovation Center (CIC). The Gates & Hillman building currently uses a 10,000 gallon tank for harvesting and supplys 50 weeks of flushing in a year. The CIC building currently uses a 6,000 gallon tank for harvesting and is used for irrigation and flushing.","There are two major types of meters available for tracking the use of water at Carnegie Mellon. One type is meters placed by the Pittsburgh Water and Sewer Authority (PWSA), and the other is internal meters installed on campus by the University. The number of each of these meters on campus are two indicators of the level of accuracy of information for water use. Using the total number of meters on campus, a meter-to-building ratio can be calculated to indicate the amount of metering coverage there is at Carnegie Mellon. It should be noted that while the meter-to-building ratio is greater than one, this does not mean that each building has a meter. A number of buildings have more than one meter and some meters may track water flow through more than one building. 

50% of the University campus buildings have water consumption meters employed. ",Low and ultra-low urinals are used for all new construction and renovations.  Other high efficiency fixtures such as touchless faucets are also used. ,,The institution uses drought tolerant plants on many of its vegetative (green) roofs.,A web based water control irrigation system on one of the campus grounds three irrigation systems is used to automatically adjust irrigation practices.,,--,"The water consumption since 2005 appears to have significantly increased over the years when compared to the FY 2009 data, this is due to a broken meter not accounting for all of the water consumed in 2005. 

The number of on-campus residents was obtained from the CMU Factbook 2005~2006 and 2011~2012. Carnegie Mellon does not offer housing for faculty, staff, or graduate students on-campus, campus residents consists of undergraduate and special-degree students. 
"
Case Western Reserve University,2016-03-25,2016-03-25 15:39:33,stephanie.corbett@case.edu,2.0,Pursuing,Low,**,279906.0,348554.0,**,279906.0,348554.0,**,4029.0,15.0,--,9810.0,4249.0,--,3000.0,15.0,--,8449.0,5044.0,--,**,8499923.0,7747210.0,**,140.0,141.0,**,2009-07-01,2010-06-30,2009-07-01,2010-06-30,,--,--,"Underground Cistern (Alpha Phi house) - collects harvested rainwater that is then used for irrigation; diverts 1,648 cubic ft of water, annually.",For stand alone buildings standardized meters monitor building-level water consumption (25% of buildings) while older parts of campus have multiple buildings clustered onto one meter (75% of buildings).,"The University standard is to replace fixtures with highly efficient fixtures in renovations, repairs and also in LEED US GBC certified projects, generally these are Water Sense certified.",All building mechanical equipment is sought for efficiency gains as a facilities protocol and when possible condensate capture is employed.,,"The following technologies are used for weather informed irrigation: Low-flo nozzles, auto-timed irrigation, auto-rain sensors; remote satellite controlled irrigation management; Netafin drip irrigation system.  Auto-sensors monitor immediate local weather occurrences to inform operation while other technologies are employed by the grounds department based on reported weather data.",,--,--
Chatham University,2016-02-17,2016-02-17 13:04:50,MWhitney@chatham.edu,2.0,Pursuing,Low to Medium,**,16125000.0,29364000.0,**,16125000.0,29364000.0,**,448.0,12.0,--,2134.0,406.0,135.0,400.0,2.0,--,1136.0,406.0,--,**,1100000.0,984000.0,**,420.0,32.0,**,2014-01-01,2014-12-31,2005-01-01,2005-12-31,Chatham uses 2005 as the baseline year for water due to the requirements for the 2012 STARS assessment. ,--,--,Rainwater is collected in a large rain barrel at Beatty Hall and used for watering the surrounding shrub border.,,The university has installed aerators on all faucets.,Chatham always considers water efficient appliances first when replacing or upgrading.,"Chatham University is in a high rainfall area, therefore, our xeriscaping is limited. We do preference native plants adapted to the region in our plantings. The native plants are able to survive the area’s wet, high humidity and cold/thaw cycle without supplemental watering.","We do not water grass regularly and we do not have a built-in irrigation system. 
In rare times of extreme heat, we may water newly-established trees or borders, but this is done on a high-stress basis only.

In the fall, we re-seed the Shadyside upper campus quad due to summer camp damage, which does require irrigation. This is only done during this re-seeding process and not at any other time of the year. ",We utilize native plants in order to decrease the amount of watering needed.,http://www.chatham.edu/outreach/sustainability/environment.cfm,--
Clark University,2016-02-24,2016-02-24 15:49:13,jisler@clarku.edu,2.0,Pursuing,Low,**,20660508.0,36314652.0,**,20660508.0,36314652.0,**,1802.0,--,--,3315.0,702.0,--,1500.0,--,--,2905.0,563.0,--,**,1711748.0,1652587.0,**,8.0,8.0,**,2015-01-01,2015-12-31,2005-01-01,2005-12-31,,--,--,The cogen and heating plant are closed loop systems.,The city water utility meters water usage per street address; most buildings on campus have a dedicated water meter. ,"We replaced 345 toilets with low use and dual flush; we added dual flush capacity to all the rest of the toilets. All shower heads in the residential halls,gym locker rooms, and suites are low flow.",We deployed a vacuum pressure system in the chemistry labs to replace water flushing.,"As a small urban campus,most of our landscaping is mature trees and shrubs,which rely only on rainfall. More recent landscaping and replacements prioritize native, drought resistant species. We replaced all but one of the athletic fields with synthetic turf. ",Rain and soil moisture sensors are part of all irrigation zones.,,--,Clark did not track water consumption in 2005; actual usage data from 2007 is used above asproxy for the baseline year of 2005; GSF and population were roughly similar.
Clarkson University,2016-02-12,2016-02-12 07:37:41,sep@clarkson.edu,2.0,Pursuing,Low,**,38124000.0,37702000.0,**,38056000.0,37702000.0,**,2479.0,1.0,--,3711.0,747.0,147.0,2172.0,1.0,--,3095.0,567.0,50.0,**,1700033.0,1555293.0,**,421.0,421.0,**,2014-07-01,2015-06-30,2004-07-01,2005-06-30,FY2005 used as baseline year per requirement of previous STARS reporting,--,--,"Rainwater is collected from the roof and used in sinks and toilets in TAC building. 
","All buildings have water meters that are read and interpreted monthly
",All new water consuming fixtures are low-flow per building and construction standards. These are installed as needed during building renovation.,All new water consuming fixtures are low-flow per building and construction standards. These are installed as needed during building renovation.,"Our region has plentiful water; very little irrigation is needed.  Gardens and trees are selected for the rainwater resources that we have. 
","The grounds manager monitors weather closely and adjusts our irrigation to match weather conditions. 
","Clarkson strives to be a responsible steward of its water resources and to lower its consumption. The Design Team shall evaluate and integrate innovative technologies to address the challenges of harvesting, storing, reclaiming, and reusing its water resources. Design Teams may need to collaborate with and address concerns of local governing authorities in certain locations and situations. Water use in new buildings and existing building renovations shall be 30% below the Energy Policy Act of 1992 standards. Therefore, all new construction and existing building renovations shall have water efficient fixtures and products installed, such as low-flow faucets, showerheads, toilets (waterless toilets are not permitted), and appliances.  ",https://www.clarkson.edu/facilities/Engineering/environmentalstandards.pdf,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:09,sustain@coastal.edu,2.0,Pursuing,Low,**,3868000.0,34044000.0,**,38618000.0,31162000.0,**,1265.0,--,--,8870.0,1262.0,--,1246.0,--,--,7177.0,923.0,--,**,2386215.0,1831474.0,**,468.0,275.0,**,2013-01-01,2013-12-31,2007-01-01,2007-12-31,It was adopted to align with the energy performance and baseline year.,--,--,The University reuses and reclaims water for irrigation through the ponds and rain barrels in the greenhouse area. ,,All buildings are required to have low-flow water systems per LEED requirements by the state.,,Rain gardens have been installed as a part of a parking lot area. ,,,--,--
Colby College,2016-01-12,2016-01-12 15:54:08,ksbright@colby.edu,2.0,Pursuing,Low to Medium,**,34663231.2,40210236.0,**,34663231.2,40210236.0,**,1720.0,13.0,--,1820.0,721.0,--,1721.0,13.0,--,1821.0,640.0,--,**,1550212.0,1371951.0,**,620.52,621.86,**,2013-07-01,2014-06-30,2004-07-01,2005-06-30,We are using the year 2005 as a baseline in this credit because that is the earliest water data we have available.,--,--,N/A,"In the few areas where our grounds are irrigated, the system is controlled by rain sensors. This sensor measures the amount of water that falls, and any difference between the rainfall and the needs of the landscaping are met by the irrigation system.","Throughout all of our updated buildings we use low-flow shower heads, toilets, and faucets.We are beginning a wholesale replacement of all showerheads to low flow models, and are creating a plan to address toilets and faucets.",All laundry machines on campus are Energy Star certified.,We use native and naturalized species in all campus plantings.,"In the few places where our grounds are irrigated, the irrigation system is controlled by rain sensors. ","Each new construction or commercial interiors project on campus pursues LEED certification. As part of the certification process, projects typically realize a 35% water reduction in comparison to UPC 2006 code compliant water fixtures and fittings. These same guidelines are applied to any projects that are smaller in scale and don't pursue LEED certification. As much as possible, water efficient fixtures and fittings are incorporated into any building modification project.",http://www.colby.edu/green/buildings/existing-buildings/,--
Colgate University,2016-02-28,2016-02-28 11:21:35,jpumilio@colgate.edu,2.0,Pursuing,Medium to High,**,60199055.0,113726668.0,**,60199055.0,113726668.0,**,2619.0,8.0,--,2869.0,1031.0,--,2561.0,7.0,--,2811.0,946.0,--,**,2234931.0,2012751.0,**,345.0,395.0,**,2014-07-01,2015-06-30,2004-06-01,2005-05-31,Fiscal Year 2004-5 is the earliest year we have reliable data for.,--,--,We do collect stormwater run-off in rain barrels to assist with the irrigation of our 0.5 acre organic garden.,We have sub-metering for water on nearly all of our buildings connected to our main steam line and for all buildings off the main line.  ,"In 2011-12, we replaced all showerheads on campus with low-flow models.  We also installed aerated faucets and low-flow toilets in all renovations and in some cases as part of general replacement.  ","In the summer of 2013, we replaced all washers and dryers on campus with water and energy efficient models.",All plants and trees used for campus landscaping are native and do not need irrigation.,N/A,"Except for our golf course and a couple of athletic fields, we do not irrigate our grounds.  We have a proposal to construct a retention pond so that all water for our golf course will come from non-potable sources.",https://sites.google.com/a/colgate.edu/2011-2015-sustainability-and-climate-action-plan/water-conservation,--
College of Charleston,2016-02-29,2016-02-29 16:52:46,fisherb@cofc.edu,2.0,Pursuing,Low,**,117037867.0,111701162.0,**,117037867.0,111701162.0,**,3000.0,--,--,10511.73,1824.0,--,3000.0,--,--,10181.95,1983.0,--,**,3556696.0,3556696.0,**,52.0,52.0,**,2012-07-01,2013-06-30,2010-07-01,2011-06-30,FY2011 was the year we officially started to track these data.,--,--,,Most water lines have city installed water meters.,Residence Life has replace most housing shower heads with low flow models and Procurement has replaced sink faucets with low flow models in their building.,,Grounds uses many native plants to reduce watering needs and more appropriately sync needs with natural water availability. ,,The College has three water catchment systems on campus.  One is installed at the headquarters for the Grounds Department and used to water plants at their greenhouse and two are used to water on campus gardens.,--,--
College of the Atlantic,2016-03-23,2016-03-23 11:14:04,ademeo@coa.edu,2.0,Pursuing,Low,**,6800.0,7565.0,**,6800.0,7565.0,**,136.0,--,--,359.0,105.0,--,145.0,--,--,359.0,105.0,--,**,152347.0,152347.0,**,28.446,28.446,**,2014-07-01,2015-06-30,2013-01-01,2013-12-31,"The town has water records back to 2007 however several years have shown malfunctions with water meters.  2012 is the first year of complete data. 

In the past records were only available for the calendar year, but last academic year 14-15 the school was able to retrieve data that matched student enrolment. 
Although the student enrollment data is based on an academic year, averaging across the two academic years gives a reasonable approximation for the baseline.",--,--,"The Kathryn W. Davis (KWD) Student Residential Village is comprised of three separate duplex units each with three levels, with each duplex sharing a central common space.  In each duplex, grey water from showers preheats incoming cold water to reduce the amount of hot water needed to take a comfortable shower thus saving on energy use. Also, to reduce water use associated with flushing toilets the 51 bed KWD Residential Village has composting toilets on all second and third floor levels of each duplex.The Deering Common Campus Center uses composting toilets as well as low-flow water fixtures and waterless urinals. ",COA is billed by the town for water use based on water meters in every building.,All new and replacement fixtures are high efficiency/low flow.  This is the policy of the buildings and grounds department on campus. ,"The college has a Sustainable Building Policy which in itself has a Water Use section. The policy requires the following:

New building spaces must incorporate design for greywater and non-toxic rainwater collection systems whenever possible.
Water meters must be installed for all new building spaces to monitor hot and cold water use.
All water fixtures installed in a new building space must conform to the most current EPA WaterSense specific","Since its founding, COA has used mostly native species and some long-naturalized plants for its landscaping to minimize maintenance requirements. We never water the campus landscape except when watering in new plantings. We depend on natural precipitation. Plantings are mulched to conserve water. ","We do not irrigate any of our main campus landscape. We do however irrigate vegetable crops when the need arises at Beech Hill Farm. This is done primarily with drip irrigation to reduce water use.  The farm's water source consists of three high-volume, deep wells which offer an abundance or water. Drip irrigation reduces evaporation and therefore allows more water to be returned to the water table. ","The college has implemented several water conservation  and efficiency strategies such as  installing composting toilets in the Katherine Davis Village, converting to drip irrigation at the farm and eliminating trays from our cafeteria to save on hot water use. ",http://coa.edu/about/environmental-commitment/publications-policies/,--
Colorado College,2016-02-29,2016-02-29 16:09:52,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,Medium to High,**,70588162.0,92144574.0,**,44454530.0,48435593.0,**,1548.0,7.0,--,2097.0,744.0,--,1542.0,25.0,--,1978.5,626.0,--,**,2056875.0,1905096.0,**,38.0,38.0,**,2015-01-01,2015-12-31,2008-01-01,2008-12-31,,--,--,"Landscape zones are irrigated with City of Colorado Springs-supplied non-potable water, a combination of raw water from a local reservoir and treated domestic wastewater. Additionally, CC has started recovering grey water in the central heating plant to condense flu gas and recover heat. ",Every building on campus is separately metered for water use by the local utility. Primary irrigation systems are metered separately. Water metering has been put into the building automation meter for safety and to check water use. There are meters on the cooling towers at the central plant to track water use as well as Schlessman pool. ,"In general, Colorado College has phased in efficient water fixtures as older ones have retired. Fixture retrofits have included outfitting existing faucets with low-flow faucet aerators, replacing shower heads, replacing tank and flush valve toilets with low-flow models, and upgrading urinals to current standards.  In 2012, while renovating Worner Student Center and Rastall Dining Hall, the College replaced the existing dishwasher with a more efficient one and retrofitted toilets and urinals with low-flow units. Recently, the Facilities department updated the Bemis shower fixtures to be more efficient. ","The Facility Life Cycle Design Guidelines for Sustainability (2010) states that “opportunities for achieving… water reductions should be identified by design and engineering professionals in every construction or renovation project and considered for implementation based on life cycle cost savings, impact on reaching carbon neutrality, and the importance of demonstrating social responsibility by supporting the college core values and taking a leadership role in nurturing the ethic of environmental sustainability”.    ","The Colorado College Long Range Development Plan prioritizes the use of drought resistant plant material low flow irrigation techniques wherever feasible. The grounds department uses drought-tolerant xeriscape plants in many campus landscape areas, while limiting grass to activity areas and sports fields. A centralized irrigation control computer provides efficient watering for the campus, and more than 95 percent of campus is irrigated with nonpotable, reclaimed water. ","Since 2000, irrigation controls have been computer-based, with a controller clock in each zone connected to satellite clocks. Irrigation is dictated by information provided by an on-campus weather station installed in the fall of 2007 at Stewart Field. This station monitors humidity, rainfall, temperature, and wind speed. It also feeds evapotranspiration (ET) data to the irrigation computer, which sets an order and duration for watering in each zone accordingly.","The Facility Life Cycle Design Guidelines for Sustainability (2010) requires the installation of low flow water devices in all new construction projects.  Furthermore, the College captures water from its bearing cooler and uses it for its flue gas economizer.  However, because this water is not metered, it has not been included in the ""water recycled/reused on campus"" section above.  ",http://www.coloradocollege.edu/offices/facilities/energy-management/guidelines-for-sustainability.dot?host_id=e19a1071-63ad-45c4-a9b1-0f5cd4869309,--
Colorado State University,2015-12-16,2015-12-16 16:39:02,tonie.miyamoto@colostate.edu,2.0,Pursuing,Medium to High,**,368657919.0,468273685.0,**,368656435.0,468273082.0,**,6443.0,603.0,--,24888.04,6521.0,3218.0,5343.0,--,--,20752.09,3672.0,2878.0,**,10618090.0,8289985.0,**,2000.0,2000.0,**,2013-07-01,2014-06-30,1999-07-01,2000-06-30,This was a drought year for Colorado and marked the beginning of a long-term commitment at CSU to better water management and conservation. ,--,--,"Untreated raw water is used for irrigation on nearly all CSU properties.
","Water is delivered to campus through master meters.The university operates building level metering for almost all the buildings on campus. Those meters are currently read manually, but an AMI metering program is being implemented and most water meters will be converted into ""real time"" meters within the next year.	
",CSU has made 1 pint/flush urinals & 1.28 gpf toilets standard in all bathroom remodels.,Autoclaves are notorious for using lots of water to cool condensate before it is sent down the drain.  CSU has retrofit 42 autoclaves on campus w/ water saving devices that save the university 15 million gallons/year.  These features are now specified in all new autoclave installations.,"In accordance with LEED guidelines, all new construction on campus includes drought tolerant plants and active xeriscaping. Nearly all new plants on campus are water conserving.
","A local data system monitors weather patterns and irrigation systems require manual overload to conserve water during a storm. 
",,--,--
Columbia University,2016-01-13,2016-01-13 14:27:08,as3215@columbia.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Columbia's rain gardens collect water from surrounding rooftops and uses the root systems of native plants to absorb storm water and filter it from pollutants.  It also reduces the amount of water needed to water the plants in the community garden.
http://gosustainable.blogspot.com/2010/11/rain-garden-is-coming-to-russell.html 

Columbia's irrigation system:
http://facilities.columbia.edu/new-irrigation-system-sustainable-coup-scorching-summer "
Connecticut College,2016-02-28,2016-02-28 16:32:55,jstoffel@conncoll.edu,2.0,Pursuing,Low,**,39967454.0,33477560.0,**,39967454.0,33477560.0,**,1900.0,25.0,--,1906.0,725.0,--,1820.0,20.0,--,1830.0,750.0,--,**,1500000.0,1100000.0,**,630.0,630.0,**,2014-07-01,2015-06-30,2005-07-01,2006-06-30,,--,--,,The college has building level water meters on selected buildings. These meters would be sub-meters on the campus main that the college bills to tenants. ,,,"The College has a landscaping policy that states that only low or no maintenance, drought-tolerant plants may be used in on campus plantings. We try to also prioritize the use of native plants, but we first prioritize the use of drought-tolerant species.",,The College has been systematically upgrading its toilets and showerheads for efficiency purposes across campus.,--,--
Cornell University,2016-03-18,2016-03-18 08:39:30,cma18@cornell.edu,2.0,Pursuing,Medium to High,**,419261480.0,475739480.0,**,419261480.0,475739480.0,**,7344.0,505.0,469.0,20951.0,10769.0,47.0,6662.0,35.0,459.0,19053.0,12113.0,--,**,15882910.0,14346948.0,**,2108.7,1802.0,**,2014-07-01,2015-06-30,2004-07-01,2005-06-30,Start of STARS data used 2005 baseline.,50000.0,--,"Grounds has an underground 1,000 gal tank that is located in the Nursery area that captures water from our irrigation system.  We have a pumping station that fills our water trucks and hydro seeder for utilization back on campus.  The new Physical Sciences building has a grey water system that is used for irrigating their raised patio plantings situated between Physical Sciences and Rockefeller Hall.  ",All buildings metered and monthly bills sent.,Efficient shower heads installed; low flush toilets and urinals installed throughout campus;,,"Green Roofs were designed utilizing xeriscape landscaping techniques.  Current data has .9 acre of xeriscape on the endowed side, .5 acre on the statutory side and ~1.2 from campus life.  Various varieties of Sedum populate the majority. Only key athletic fields and a couple high profile lawn areas are permitted to use irrigation.",The Grounds Dept. manages 2.5 acres of irrigated turf and 1.25 acres of irrigated planting beds/rooftop gardens. Each site has a Rain Sensor that automatically measures precipitation and prevents the irrigation system from watering in rainy conditions.  The system automatically shuts off preventing over watering during a rain event.  ,"Water utility monitors water usage and losses, auditing on an on-going basis to ensure leakage is not occurring and water is not being wasted.  Cornell has a water conservation plan on file with the Department of Health.",http://www.sustainablecampus.cornell.edu/initiatives/drinking-water,"Cornell Water System Production-(water served to the City of Ithaca + water served to the Town of Ithaca)+ (water purchased from Bolton Point).

In regards to the weighted campus user data: the number of partners/family members of staff and professional students that also live on campus and consume resources were placed in the ""in-patient hospital beds"" category because there is no place in STARS 2.0 to document campus residents that are not students, employees, or in-patient hospital beds. This allows for the most honest representation of Cornell's weighted campus users."
Creighton University,2016-02-24,2016-02-24 14:08:36,mjduda@creighton.edu,2.0,Pursuing,Low to Medium,**,64782579.0,53623372.0,**,64782579.0,53623372.0,**,2426.0,10.0,--,8212.0,1920.7,845.7,2459.0,14.0,--,6840.2,2746.0,405.74,**,3397637.0,3274716.0,**,36.0,36.0,**,2014-07-01,2015-06-30,2009-07-01,2010-06-30,2010 is the year we did our first greenhouse gas calculation following our signing of the ACUPCC.,--,--,A rainbarrel is used to collect water from a large storage building and is used to water the community garden.  The greenhouse has two large barrels to collect rainwater for the plants.,We have a standard that all devices be the low flow type in all new and retro-fit installations.,"We have installed all low flow devices for shower heads  and faucets.   
","It is our standard to replace with the most efficient devices.
",,"About 20% of the irrigated area of the campus proper is controlled using a RainBird Maxicom Central Control system.  The system is associated with a campus weather station and controls the associated irrigation zones based on temperature, humidity, and other weather factors as reported by the weather station. ","We have a sprinkler control system that controls the campus irrigation system to limit the waste of green space watering.
",--,--
Denison University,2016-02-15,2016-02-15 15:55:26,kingje@denison.edu,2.0,Pursuing,Medium to High,**,40827000.0,44929000.0,**,40327000.0,44329000.0,**,2119.0,10.0,--,2151.0,671.0,--,2099.0,4.0,--,2099.0,576.0,--,**,1831650.0,1634997.0,**,835.0,835.0,**,2014-07-01,2015-06-30,2004-07-01,2005-06-30,This is the earliest date for which we have accurate data.,20000000.0,--,"Denison uses water sourced from wells, ponds, streams, and harvested rainwater for its irrigation use.  The boilers for the heating plant use non-potable well water.",Meters are on nearly all of the buildings(some share meters).  We have an end-of-the-year summary of water usage for many of the buildings.,Denison has been systematically replacing all toilets and fixtures with low flow options.  Nearly 100 percent of shower fixtures are low flow.  All sinks are fitted with low-flow aerators.  ,Denison defaults to appliance purchases that are Energy-Star and WaterSense rated/labeled.,Denison has a general landscaping plan that gives priority to native species that are adapted to living in Ohio's climate.  Generally these plants do not require extensive irrigation. ,Sensors located around campus detect moisture in the soil and will activate sprinkler and irrigation systems accordingly.,"In addition to utilizing low-flow fixtures and WaterSense products, Denison limits its use of potable water for irrigation purposes.",http://www.denison.edu/sustainability/energy_and_water.html,"Population data is reported as follows:

On-Campus residents are those that stay in university owned housing.

Non-residential/commuter full-time students, faculty, and staff members are reported from the values in the campus housing report and the FTE faculty and staff data.

Non-residential/commuter part-time students, faculty, and staff only includes part-time student data from the enrollment data.  Faculty and Staff are reported in the above section as FTE."
Dickinson College,2016-03-08,2016-03-08 10:06:34,welkerm@dickinson.edu,2.0,Pursuing,Medium to High,**,35589718.34,43165824.88,**,35589718.34,43165824.88,**,2040.0,26.0,--,2332.5,875.0,--,1912.5,26.0,--,2345.0,780.0,--,**,1958135.0,1883140.0,**,111.11,98.835,**,2014-07-01,2015-06-30,2007-07-01,2008-06-30,The baseline matches our GHG baseline,--,--,"The Center for Sustainable Living, a LEED Gold special interest residence hall, employs grey water from the showers and bathroom sinks to flush commodes.  Rain barrels also capture roof runoff to be used for the irrigation of flower and vegetable beds around the house. Rain barrels are also used at the Kaufman Hall greenhouse for irrigating the surrounding landscaping. Our Organic Farm utilizes an irrigation pond that not only captures rainfall but also runoff from the barn roof.",Basic CF metering as supplied by municipality. Read monthly with usage communicated via billing and entered in database for monitoring and reporting.,,We replaced all washers in residence halls with Energy STAR clothes washing machines and all toilet and showerhead replacements are low flow.,Our landscaping crew selects native plants that are drought-tolerant and do not rely on high inputs of water.,"We do not employ weather-informed irrigation as our plant selection is precisely chosen to negate the use of water. Essentially, we allow natural weather patterns to nurture our landscape.",,http://www.dickinson.edu/info/20052/sustainability/2287/water,"Vegetated area does not exclude paving (parking lots, roads, sidewalks, etc.) on campus.  We have not inventoried this space yet. It only excludes building footprint.




"
Drew University,2016-03-25,2016-03-25 16:10:54,swald@drew.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
