Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Do all enrolled students, regardless of type or status, have an avenue to participate in one or ...",A brief description of the mechanisms through which students have an avenue to participate in one ...,Is there at least one student representative on the institution’s governing body who was elected by ...,"A brief description of student representation on the governing body, including how the ...",Do students have a formal role in decision-making in regard to the following?,"Do students have a formal role in decision-making in regard to establishing organizational mission, ...","Do students have a formal role in decision-making in regard to establishing new policies, programs, ...",Do students have a formal role in decision-making in regard to strategic and long-term planning?,Do students have a formal role in decision-making in regard to existing or prospective physical ...,"Do students have a formal role in decision-making in regard to budgeting, staffing and financial ...",Do students have a formal role in decision-making in regard to communications processes and ...,Do students have a formal role in decision-making in regard to prioritization of programs and ...,"A brief description of the formal student role in regard to each area indicated, including examples ...","Do all staff, regardless of type or status, have an avenue to participate in one or more governance ...",A brief description of the mechanisms through which all staff have an avenue to participate in one ...,Is there at least one non-supervisory staff representative on the institution’s governing body who ...,"A brief description of non-supervisory staff representation on the governing body, including how ...",Do non-supervisory staff have a formal role in decision-making in regard to the following? ,Do non-supervisory staff have a formal role in decision-making in regard to establishing ...,Do non-supervisory staff have a formal role in decision-making in regard to establishing new ...,Do non-supervisory staff have a formal role in decision-making in regard to strategic and long-term ...,Do non-supervisory staff have a formal role in decision-making in regard to existing or prospective ...,"Do non-supervisory staff have a formal role in decision-making in regard to budgeting, staffing and ...",Do non-supervisory staff have a formal role in decision-making in regard to communications ...,Do non-supervisory staff have a formal role in decision-making in regard to prioritization of ...,"A brief description of the formal staff role in regard to each area indicated, including examples ...","Do all faculty, regardless of type or status, have an avenue to participate in one or more ...",A brief description of the mechanisms through which all faculty (including adjunct faculty) have an ...,Is there at least one teaching or research faculty representative on the institution’s governing ...,"A brief description of faculty representation on the governing body, including how the ...",Do faculty have a formal role in decision-making in regard to the following?,"Do faculty have a formal role in decision-making in regard to establishing organizational mission, ...","Do faculty have a formal role in decision-making in regard to establishing new policies, programs, ...",Do faculty have a formal role in decision-making in regard to strategic and long-term planning?,Do faculty have a formal role in decision-making in regard to existing or prospective physical ...,"Do faculty have a formal role in decision-making in regard to budgeting, staffing and financial ...",Do faculty have a formal role in decision-making in regard to communications processes and ...,Do faculty have a formal role in decision-making in regard to prioritization of programs and ...,"A brief description of the formal faculty role in regard to each area indicated, including examples ...",The website URL where information about the institution’s governance structure is available,Public Notes
College of Charleston,2016-02-29,2016-02-29 16:52:59,fisherb@cofc.edu,2.0,Pursuing,True,"SGA--Student Government Association. There are three branches to the student government association--legislative, executive and judicial. Students are elected to legislate and have dominion over executive decisions on campus, while those in judicial are appointed to participate in peer-review legal campus cases.",--,,**,--,--,--,--,--,True,--,mm,True,Faculty Senate.,--,,**,--,--,--,--,--,--,--,,True,mm,--,,**,True,True,--,--,--,--,--,mm,--,--
College of the Atlantic,2016-03-23,2016-03-23 11:15:25,ademeo@coa.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Colorado College,2016-02-29,2016-02-29 16:10:05,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,True,"Students at Colorado College have several avenues in which to participate in the College's governance bodies, with the Colorado College Student Government Association, the President's Council, and the student representative to the Board of Trustees being three of the most prominent. 

Colorado College Student Government Association, CCSGA 
The Colorado College Student Government Association is the official democratically elected student government at Colorado College. CCSGA is constitutionally chartered “as a source of support for student organizations and events, a forum for cooperative action and a voice calling for progress.” With a $268,000 budget, CCSGA manages student group recognition and funding. It also works to empower students through the student concerns committee. 

President's Council 
The President's Council is a representative body of students that serves in an advisory role to the President of Colorado College and as ambassadors for the college.  The Council meets with the President and/or various college and community leaders at least once per block.

The student representative to the Board of Trustees is elected yearly. The student speaks on behalf of the student body and participates in voting, committees, and project teams.

In addition, students serve on a variety of other governing bodies including: the Athletics Board, the Budget Committee, the Children's Center Advisory Committee, the Committee on Instruction, the Curriculum Committee, the Dean's Advisory Committee, the First Year Experience Committee, the Information Technology and Library Board, and the Student Conduct Committee. ",True,"Every year, a student representative serves on the Board of Trustees. The role of the Student Trustee is to speak on the behalf of the student body and to make the Board aware of any pressing and relevant concerns that students may have. The Student Trustee is a voting member and serves on both Standing Committees and Strategic Project Teams.  

Students interested in the position must apply, campaign, and receive one of the top three  votes from the student body. Then, the three favored candidates interview with the Board, which makes the final call on the position. ",**,True,True,True,True,True,True,True,"Establishing Organizational Mission, Vision, and/or Goals:
-Even though the Board of Trustees (including its student representative) has no formal role in the construction of the College's mission statement, it plays a crucial role in its interpretation and adherence. During all decision-making processes, the Board carefully considers how the proposed action, program, or budget will fit in with the College's stated vision and goals.  

Establishing New Policies, Programs, or Initiatives:
-On a blockly basis, the President's Council meets with college staff and administration to learn about current policies, program, and initiatives and to offer feedback and recommendations.  

Strategic and Long-Term Planning:
-During the development of the Strategic Plan, students serving on the President's Council engaged the President of the College in several conversations regarding their vision for the plan. In particular, they gave suggestions regarding the plan's recommendation to rennovate Tutt Library, voicing what they hoped to see from both the design and offered resources.  
-The Student Trustee, one of thirty-two voting members on the Board, participated in the vote to approve the College's strategic plan. Following the plan's approval, the Student Trustee had an opportunity to join his choice of the four Strategic Project Teams composed to carry out the goals outlined the plan.  The teams included (1) campaign planning, (2) library planning, (3) campus master plan/ master communications plan, and (4) environmental stewardship & innovation. 
-In addition to this, every committee created for and from the strategic plan had student members serving on it. 

Existing or Prospective Physical Resources:
-During the group's blockly meetings with college staff and administrators, the President's Council discusses how CC can revamp its current resources and introduce new ones to enhance their value and usage on campus.  
-CCSGA has proposed suggestions regarding additional study spaces on campus and the use of Honen Arena for college events.   
-Students may participate as part of the Design Review Board also.
-Additionally, the student representative to the Board of Trustees has had the opportunity to vote for or against budgets, the campus master plan, and the campus master communications plan.  

Budgeting, Staffing, and Financial Planning:
-As a voting member on the Board of Trustees, the Student Trustee can vote for or against the budgets included in Board proposals.  
-The Student Trustee has the option to participate in any of the Board's four Standing Committees: Budget and Finance, Investment, Governance, and Audit. 

Communications Processes and Transparency Practices: 
-In a conversation with CC's Chief Technology Officer, the President's Council identified several strategies for revitalizing the College's Events/Student Digest (daily emails sent out to CC students notifying them of events, activities, and programs on campus) in order to foster a stronger system for campus communication.  
-In an effort to increase communication within the CC community, CCSGA has been collaborating with college administration to develop an umbrella website that provides a centralized online location featuring the promoted events of student groups on campus.

Prioritization of Programs and Projects:
-Employing its $268,000 budget, CCSGA awards funding to student groups on campus based on its own prioritization of programs and projects. A significant portion of the funding from CCSGA comes from the student activity fee administered by the committee in charge of allocation these fees. Students have the opportunity to participate on this committee.
-The Organizing Committee, a subsection of the President's Council, attends campus events and programs and provides feedback to the President.   ",True,"Staff currently hold positions on the Curriculum Executive Committee, Staff Council, Academic Events Committee, Advancement Advisory Committee, Assessment Committee, Athletics Board, Budget Committee, Campus Design Review Board, Children's Center Advisory Committee, Committee on Instruction, Compensation Committee, Dean's Advisory Committee, Diversity and Equity Advisory Board, First-Year Experience Committee, Information Technology and Library Board, Institutional Review Board, International Studies Committee, Summer Session Committee, and the ACM Minority Concerns Committee. ",--,,**,True,True,True,True,True,True,True,Non-supervisory staff may have a formal role in college decision making through many of the governance bodies listed above.  ,True,"Faculty currently hold posisitions on the Faculty Executive Committee, Curriculum Executive Committee, Humanities Executive Committee, Natural Sciences Executive Committee, Social Sciences Committee, Academic Events Committee, Admission and Financial Aid Advisory Committee, Advancement Advisory Committee, Assessment Committee, Athletics Board, Budget Committee, Campus Design Review Board, Children's Center Advisory Committee, Colorado Springs Undergraduate Research Forum, Committee on Instruction, Compensation Committee, Dean's Advisory Committee, Diversity and Equity Advisory Board, Faculty Representative to the Cutler Board, Faculty Representative to the Investment Committee of the Board of Trustees, Faculty Research and Development Board, Faculty Secretary, First-Year Experience Committee, Information Technology and Library Board, Institutional Review Board, International Studies Committee, Summer Session Committee, and ACM Minority Concerns Committee. ",--,Non-supervisory faculty may have a formal role in college decision making through many of the governance bodies listed above.  ,**,True,True,True,True,True,True,True,"Non-supervisory faculty may a formal role in college decision making through many of the governance bodies listed above.  

The Library Action Team was developed as an initiative of the strategic plan. This action team is comprised completely of faculty and staff of the college and works alongside the library planning subcommittee of the Board of Trustees. ",https://www.coloradocollege.edu/basics/welcome/leadership/shared-governance.dot,"Information on Campus-Wide Committees: https://www.coloradocollege.edu/basics/welcome/leadership/committees/
Colorado College Student Government: http://sites.coloradocollege.edu/ccsga/
President's Council: http://www.coloradocollege.edu/offices/presidentsoffice/presidents-council.dot
Board of Trustees: http://www.coloradocollege.edu/basics/welcome/leadership/trustees/"
Colorado State University,2015-12-16,2015-12-16 16:39:16,tonie.miyamoto@colostate.edu,2.0,Pursuing,True,"Through the Associated Students of CSU (CSU's student government), students have access to all levels of the administration. ",True,"Both the President and Vice President of the CSU student government are elected by students on an annual basis. In addition, each college elects representatives to ASCSU.",**,True,True,True,True,True,True,True,"Students are able to establish organization mission, vision and goals through representation (ASCSU president) on the Board of Governors of Colorado State University. Through the same mechanism, they are also able to establish new policies, programs, or initiatives; as well as be involved with strategic and long-term planning. 

The Student Fee Review Board allows students the ability to allocate existing and prospective physical resources. The Student fee Review Board also lets students prioritize programs and projects by reviewing and voting on all student-fee funded initiatives.

Students comprise the University Facility Fee Advisory Board (UFFAB) which provides guidance and advice concerning the University Facility Fee to the Vice President of Administrative Services; to review all project proposals for allocations of the University Facility Fee; and to ensure that all allocations of the University Facility Fee will be used to provide new facilities and/or to improve current facilities that directly benefit the students of Colorado State University.

Students comprise the University Technology Fee Advisory Board (UTFAB) whose mission is to provide guidance and advice in the implementation and application of technology at Colorado State University; to review all allocation requests of the University Technology Fee; and to ensure that all allocations of the University Technology Fee will be used to provide technology that has the potential to benefit as many Colorado State University students as possible.

The CSU Open Forum and Budget Talks from the University President allows all students to be involved with budgeting, staffing, and financial planning. 
Students also participate in communications processes and transparency practices through involvement in CSU's fiscal accountability reporting.
",True,"The university has a practice of shared governance through Faculty Council, Administrative Professional Council & Classified Personnel Council.  State Classified and Administrative Professional personnel have access to participation in governmental bodies via the Classified Personnel Council and Administrative Professional Council. Faculty have access through Faculty Council.  The CSU Faculty Council is the major policy making body for academic affairs at Colorado State University and acts as the representative body for the academic faculty and performs those duties delegated to the academic faculty by acts of the legislature.",True,"Members of the Faculty Council elect for a one-year term a faculty member who is either an assistant professor or professor to serve as the faculty representative on the CSU Board of Governors.  There are 85 regular faculty voting members and 24 non-voting members.

Classified Personnel Council representatives are elected annually by all State Classified staff.  CPC can have up to 20 members and 5 alternates.

Administrative Professional Council representatives are elected annually by all Administrative Professional staff.  There are 15 representatives from all colleges, the Office of the President & VP offices.


",**,True,True,True,True,True,True,True,"1 - councils (APC, CPC), open forums faculty
2 - councils (APC, CPC), open forums faculty
3 - strategic planning process includes multiple task forces open to faculty and staff
4 - physical space planning committee, architectural review board, committee on strategic and financial planning, 
5 - faculty council, hiring council - code of conduct ""faculty and staff manual""
6 - financial planning report, budget forums, ""SPARCfest"" (strategic planning public presentations), 
7 - SPARC (strategic planning), planning commission",True,Via the Faculty Council - see description above.,True,The Faculty Council elects a member to serve as faculty representative on the Board of Governors of the CSU System,**,True,True,True,True,True,True,True,"1 - Faculty Council set policies for college and departmental organization, long-range planning, and resource allocation.
2-  Faculty Council's Committee on Strategic and Financial Planning reviews University proposals, policies, and procedures; 
3 - See 1
4 - Faculty Council Committee on University Programs evaluates proposals for centers, institutes and other units; a faculty member from each college serves as a representative on the University Physical Development Committee
5 - Committee on Strategic and Financial Planning recommends policies related to planning, budgeting, resource allocation, and faculty compensation increases
6 - Faculty Council standing committees receive and review all appropriate items from any member of the University community and furnish annual reports to the Faculty Council ",http://www.accreditation.colostate.edu/criterion05b.pdf,"http://ap.colostate.edu/index.html - Administrative Professional Council
http://cpc.colostate.edu/ - Classified Personnel Council 
http://facultycouncil.colostate.edu/ - Faculty Council
"
Columbia University,2016-01-13,2016-01-13 14:27:21,as3215@columbia.edu,2.0,Pursuing,True,"This information may be found within the academic sections of this report.  
",True,"Undergraduate and graduate students are represented on our central Sustainability Advisory Committee. Student EcoReps leaders are selected to participate. There is also an Earth Institute Student Advisory Committee.  Each school Dean identifies a student to participate on this group.
",**,True,True,True,True,--,True,True,"There are many student groups on campus that any enrolled student has the ability to join.  
Additionally, students sit on the Sustainability Advisory Committee, as well as the Dining Advisory Committee and Housing Advisory Committee, and are pivotal in making all decisions. ",True,"In the coming year we will be engaging more broadly and this will give staff the opportunity to voluntarily engage in working groups focused on key impact areas of sustainability.
",True,"The members of the Environmental Stewardship office participate in the Sustainability Advisory Committee, along with the Director of Programs from the Earth Institute.  All were nominated by their peers and/or supervisors to participate.",**,True,True,True,--,--,True,True,"Members of the Environmental Stewardship office contribute to the areas above.
",True,"The Sustainability Advisory Committee will review this in 2014-2015.  
",True,"The Director of Programs, Earth Institute was selected by administration of the Earth Institute.
",**,True,True,True,True,--,True,True,"The Sustainability Advisory Committee will review this in 2014-2015.  
",http://environment.columbia.edu/,--
Connecticut College,2016-02-28,2016-02-28 16:33:09,jstoffel@conncoll.edu,2.0,Pursuing,True,Connecticut College has a strong and last commitment to shared governance for all campus community members. ,True,Connecticut College has a strong and last commitment to shared governance for all campus community members. ,**,True,True,True,True,True,--,True,Connecticut College has a strong and last commitment to shared governance for all campus community members. ,True,Connecticut College has a strong and last commitment to shared governance for all campus community members. ,True,Connecticut College has a strong and last commitment to shared governance for all campus community members. ,**,True,True,True,True,True,--,True,Connecticut College has a strong and last commitment to shared governance for all campus community members. ,True,Connecticut College has a strong and last commitment to shared governance for all campus community members. ,True,Connecticut College has a strong and last commitment to shared governance for all campus community members. ,**,True,True,True,True,True,--,True,Connecticut College has a strong and last commitment to shared governance for all campus community members. ,--,--
Cornell University,2016-03-18,2016-03-18 08:39:43,cma18@cornell.edu,2.0,Pursuing,True,"Cornell has a system of campus governance that involves all the members of the campus community in making decisions that impact life at the University. Shared Governance includes the Faculty Senate, the Student Assembly (undergraduate), the Employee Assembly, the University Assembly and the Graduate and Professional Student Assembly. 

The Student Assembly is the undergraduate student government at Cornell University, and deals with quality of life issues for students, making sure that student issues are heard and addressed. The assembly has legislative authority over the policies of the Office of the Dean of Students and the Department of Campus Life, and establishes the undergraduate Student Activity Fee and guidelines for its distribution. Every Cornell student has the opportunity to voice concerns during the open microphone period held at the beginning of each meeting. 

The Graduate and Professional Student Assembly brings together Cornell’s 7,000 graduate and professional (M.B.A., J.D., D.V.M.) students to address non-academic issues of common concern. Drawing upon the strengths of our diverse constituencies, we work with the university administration to improve the quality of life at the University. The GPSA engages the needs and concerns of its constituents, communicating these directly to the University administration. They also appoint graduate and professional students to university committees, where they have a direct voice in decision-making processes. 

The University Assembly is rather unique in higher education in that it is constituted by members appointed by the constituent assemblies (except for 2 members elected by the undergraduate students directly to seats on the UA), and has the authority to ""examine matters which concern the welfare of a substantial segment of the campus community and may make recommendations thereon to the President or other appropriate officers of the university; and is tasked with representing and voicing the interests of faculty, staff, graduate, and undergraduate students."" Thus, there are four undergraduates and two graduate/professional students on the University Assembly representing the student voice on any such matters.",True,"Cornell is one of the few universities in the country with two students, two faculty, and one employee as full voting members on their 64-member Board.

Trustees help determine major policy directions and have an important role in safeguarding the integrity of the university. Trustees serve on numerous committees and task forces of the Board and as ex-officio members of the Student and Employee Assemblies.

According to the Charter of the University, ""two trustees are to be elected from among and by the membership of the university's student body at Ithaca."" As such, the undergraduate body elects a Trustee in alternating years with the graduate and professional student body. All students may vote in both elections (thus undergrads help elect the grad/professional student Trustee, and vice versa.)

",**,True,True,True,True,True,True,True,"The Student Assembly is the university-wide undergraduate student government at Cornell University, advocating for the best interest of the student body and work on a variety of campus issues that impact students’ daily lives.
Examples of recently-passed resolutions:
Calling for an Investigation of the Quarter System
Calling for Implementation of Open Course Evaluations
Developing an International Students Union
Bias Incident Accountability
Divestment from Coal: Towards a Sustainable Endowment
Supporting the Creation of an Official Cornell Mascot
Eliminating Barriers of use for the TCAT 
Addressing Cissexism
Reaffirming the Importance of the Performing Arts at Cornell
Developing a Mental Health Friendly Academic Evaluation Environment

",True,"The EA consists of nineteen members committed to providing employees with a means of continuous involvement in the governance of the affairs and life of the University. Working closely with members of the administration, the EA encourages a higher visibility for employees as community members, more equal participation with faculty and students in the policy-making process, and an increased sense of community among all constituencies through shared responsibilities. ",--,"Cornell is one of the few universities in the country with two students, two faculty, and one employee as full voting members on their 64-member Board. The current employee-elected Trustee (a four-year term) though is in a supervisory position.",**,True,True,True,True,True,True,True,"All members of the Employee Assembly, both supervisory and non-supervisory staff, have equal voting rights on all matters before the Assembly.
Some examples of resolutions recently passed are:
In Support of the Staff Community at the Inauguration of Cornell’s 13th President 	 
LGBTQ+ Inclusion for Workday & Campus Records 
Adopting Mission and Vision Statements for Employee Assembly
Welcome and Invitation to Incoming Cornell President Elizabeth Garrett
In Gratitude of our Caring Community
EA Elections Calendar Charter Change
Shared Governance Joint Declaration in Honor and Celebration of President David J. Skorton
One Year Terms for Newly Elected Members in 2015-2016
Slope Day Consistency with Cornell Values
Staff Engagement Survey Plan


",True,"Faculty Senate
Except for the powers reserved to the University Faculty, and subject to the power of the University Faculty to postpone or nullify any action of the Senate, all the
powers and functions of the University Faculty are delegated to the Faculty Senate. The
Senate has the following specific powers: (1) to select its officers; (2) to approve or reject
nominees presented by the Nominations and Elections Committee for election by the
University Faculty; (3) to approve or reject the list of members and chairs presented by
the Nominations and Elections Committee for appointed committees; and (4) to adopt,
amend, or repeal bylaws or other procedures relating to the conduct of its business and
the duties and functions of its officers and committees.",True,"Cornell University's Board of Trustees helps determine major policy directions for the university and has an important role in safeguarding the integrity of the university. Cornell is the only Ivy League university -- and one of the few universities across the country -- whose board includes student, faculty and staff representatives as full voting members. As such, the Charter of the University states that, ""two trustees to be elected from among and by the faculty of the university at Ithaca and Geneva."" ",**,True,True,True,True,True,True,True,"Faculty Senate Membership: The president, the dean of the faculty, the associate dean and
secretary of the faculty, and the Ithaca-based faculty trustees are ex officio voting
members. There is one representative from the Cornell Association of Professors Emeriti;
and nine members (three of whom must be non-tenured) elected at large by the
University Faculty.
Legislation:
-Cornell Investment and Divestment Strategies for a Sustainable Future 
-Expressing Support for the Cornell University Climate Action Plan
-Approve a Master of Science Degree in Information Systems at Cornell NYC Tech as part of a Dual Degree Program with Technion
-Investigation Concerning Freedom of Expression 
",http://www.assembly.cornell.edu/,--
Creighton University,2016-02-24,2016-02-24 14:08:49,mjduda@creighton.edu,2.0,Pursuing,True,"Yes, all students (full-time, part-time, abroad, distance etc.) have the opportunity to participate in at least two student government elections annually. All students are invited to vote in the Creighton Students Union (CSU) Elections of the President and Executive Vice President positions. The Creighton Students Union is the overarching student government at Creighton University, representing all students on campus. Additionally, each student has the ability to vote for the executive officers of their respective school senates. For example, Arts & Sciences students vote for the Arts & Science Senate members, Dental School students vote for the Dental Senate members, etc. Finally, all on campus students vote for Residence Hall executives, and have the opportunity to vote in the Inter Residence Hall Government Elections.",True,"The President of the Creighton Students Union is an ex-oficio member of the Student Life, Mission, and Diversity Committee of the Board of Trustees.  This person gives a student government update to the committee and is allowed time for questions and answers. All students are invited to vote in the Creighton Students Union Elections of the President and Executive Vice President positions.There is no student representation at the Full Board of Trustees meeting.",**,True,True,True,True,--,--,True,"A. The CSU President of his/her designated representative has a role in institutional goal setting more as a sounding board relaying the student opinion to the Provost, President and other administrators.
B. Any member of the CSU Board of Representatives, Cabinet, or Executive Committee can propose legislation for new policies, programs, or initiatives. Additionally, the CSU President meets bi-weekly with the Vice Provost for Student Life, and monthly with the Provost to ensure that university wide new policies, programs, or initiatives keep the students in mind.
C. Students are always involved in strategic planning initiatives. Oftentimes these students will be appointed by the CSU Executive Committee, and other times hand selected by the University President.
D. Students are able to have input into campus master planning efforts through Priority planning sessions which happen annually. These sessions allow students to rank what projects they would like to see prioritized when it comes to master planning. 
E. No student opinion is represented when it comes to budgeting and financial planning, but students are typically involved when it comes to selecting new administrators through the search committee processes. 
F. Students have the opportunity to hear or read about communication practices through the President’s addresses and emails. The university does a fine job of making the information available to students, however the students oftentimes do not seek out that information.
G. Students are typically involved through the prioritization of projects through focus groups, listening sessions, and student government representation through CSU.

",--,"Employees at levels E – M have the Staff Advisory Council to participate in.  In order to serve on the council, an employee must be elected by their peers in their division.  Employees at higher levels than these generally have roles on campus that allow them access to division level decision making.",--,,**,--,--,--,--,--,--,--,"While there is no formal role for staff, they do sit on committees, task forces, etc. There are Presidential committees including strategic planning, Campus Planning, Benefits and others that all levels staff are appointed to and serve on.
",--,"The Faculty Council consists of one representative for every fifteen members of the full-time faculty, with every College and School having a minimum of two representatives.
",--,,**,True,True,True,True,True,--,--,"Faculty members have input into the decision-making process through the Faculty Council, Academic Council and various Committees.  In addition, ad-hoc Committees are regularly formed for input, though these are rarely elected to such positions.  

Faculty members have a formal role in decisions regarding the Faculty Handbook (contractual agreement between the University and the members of the faculty) and in the University Statutes.  The Faculty Handbook is arguably the highest-level document at the University, superseding all other documents including the University Statutes.  The University Statutes outline the governance procedures at the University and supersede all other policies.  The Academic Council, composed primarily of members of the full-time faculty recommend on changes to the Faculty Handbook and University Statutes.  The President has authority to make decisions and to change the Handbook or the Statutes, if the President deems this is necessary.

There is a Presidential Committee (Campus Planning Committee) with three elected faculty members.  A good deal of strategic and long-term planning is carried out through ad-hoc Committees. This committee also makes decisions regarding existing or prospective physical resources.",--,--
Denison University,2016-02-15,2016-02-15 15:55:39,kingje@denison.edu,2.0,Pursuing,True,"Students can be elected to and/or elect representatives to the Denison Campus Governance Association (DCGA).  Additionally, student representatives are elected by DCGA to serve on Faculty Campus Governance Committees.",--,,**,True,True,True,True,--,True,True,"In campus Master Planning (2013) and Strategic Planning (2014-2015) student representatives are included in the process and all students have the opportunity to provide feedback and ask questions.  

In addition, students serve on nearly all campus governance committees and have the opportunity to influence the decision-making process for most campus activities.",True,"Like students, staff are elected by their peers to serve on most campus governance committees.  ",--,,**,True,True,True,--,True,True,True,"In campus Master Planning (2013) and Strategic Planning (2014-2015) staff representatives are included in the process and all staff have the opportunity to provide feedback and ask questions.  

In addition, staff serve on nearly all campus governance committees and have the opportunity to influence the decision-making process for most campus activities.",True,All faculty can serve on campus governance committees and all faculty can attend and participate in the general faculty meetings.,--,,**,True,True,True,True,True,True,True,"In campus Master Planning (2013) and Strategic Planning (2014-2015) faculty representatives are included in the process and all staff have the opportunity to provide feedback and ask questions.  

In addition, faculty serve on all campus governance committees and have the opportunity to influence the decision-making process for most campus activities.",--,--
Dickinson College,2016-03-08,2016-03-08 10:06:47,welkerm@dickinson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Drew University,2016-03-25,2016-03-25 16:12:14,swald@drew.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
