Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Total building energy consumption, all sources (transportation fuels excluded)","Total building energy consumption, performance year",Purchased electricity and steam,"Grid-purchased electricity for buildings, performance year ",Gross floor area of building space:,"Floor area of energy intensive space, performance year:","District steam/hot water for buildings, performance year ","Degree days, performance year (base 65 °F):","Total building energy consumption, baseline year",Source-site ratios:,"Grid-purchased electricity for buildings, baseline year ","District steam/hot water for buildings, baseline year ",Start and end dates of the performance year and baseline year (or 3-year periods):,A brief description of when and why the building energy consumption baseline was adopted,"Gross floor area of building space, performance year",A brief description of any building temperature standards employed by the institution,"Gross floor area of building space, baseline year",A brief description of any light emitting diode (LED) lighting employed by the institution,A brief description of any occupancy and/or vacancy sensors employed by the institution,"Floor area of laboratory space, performance year ",A brief description of any passive solar heating employed by the institution,"Floor area of healthcare space, performance year ",A brief description of any ground-source heat pumps employed by the institution,"Floor area of other energy intensive space, performance year ",A brief description of any cogeneration technologies employed by the institution,A brief description of any building recommissioning or retrofit program employed by the institution,A brief description of any energy metering and management systems employed by the institution,"Heating degree days, performance year (base 65 °F / 18 °C)","Cooling degree days, performance year (base 65 °F / 18 °C)","A brief description of the institution's program to replace energy-consuming appliances, equipment ...",A brief description of any energy-efficient landscape design initiatives employed by the institution,"A brief description of any vending machine sensors, lightless machines, or LED-lit machines ...",Source-site ratio for grid-purchased electricity,Source-site ratio for district steam/hot water ,A brief description of other energy conservation and efficiency initiatives employed by the ...,The website URL where information about the institution’s energy conservation and efficiency ...,"Start date, performance year or 3-year period","End date, performance year or 3-year period","Start date, baseline year or 3-year period","End date, baseline year or 3-year period",Public Notes
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:15:53,seebotha@uwplatt.edu,2.0,Pursuing,**,286683.6,**,70263.6,**,**,216420.0,**,246047.6,**,63654.0,182393.6,**,We are using the same baseline that UW-System Department of Administration uses in their annual Energy Report for all Wisconsin buildings.,2244485.0,,1767380.0,,,220389.0,,1517.0,,--,,,,7453.0,657.0,,,,3.14,1.2,,https://www.uwplatt.edu/sustainability/energy-use,2014-07-01,2015-06-30,2004-07-01,2005-06-30,--
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:01:41,sjanowsk@uwsp.edu,2.0,Pursuing,**,403126.1,**,94820.8,**,**,--,**,346288.2,**,87813.8,--,**,2007 was the year we first did our greenhouse gas inventory,2786058.0,Buildings are monitored and programmed using Johnson Controls Metasys system.  Building usage is monitored by staff and temperatures regulated based on occupancy.,2638928.0,The seating area in the west lobby of the natural resources building is LED lighting.  There are LED lights on the marquee of the health enhancement center.  LED lighting was installed in two of our parking lots.,"Occupancy sensors are installed in bathrooms, classrooms, labs and corridors of academic, administrative and several residential buildings.",27806.0,Thermal solar panels on many residence halls to heat domestic water,--,,--,n/a,,Metasys System Extended Architecture is a Web-based system that allows day-to-day building operation using a Web browser to access the system’s User Interface (UI). The Metasys system extended architecture has evolved into the most comprehensive building automation and facility management system on the market.,8063.0,294.0,,,All vending machines are Energy Star rated or have energy misers installed on them.,3.14,1.2,,--,2014-07-01,2015-06-30,2006-07-01,2007-06-30,MMBtu values reported for both baseline and performance years are substantially different on FY2015 STARS rerport compared to FY2014 STARS report due to changes in efficiency factors on Clean Air Cool Planet calculator for purchased electricity. The energy use factor MMBtu/kWh on CACP v.7.0 was 0.00819; on v8.0 it is 0.00341
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:47:22,rykals@uwstout.edu,2.0,Pursuing,**,241248.35,**,78515.32,**,**,--,**,148564.25,**,69134.26,--,**,The 2008 fiscal year baseline for the GHG emissions was adopted because is was the first and oldest fully recorded year for UW-Stout GHG emissions report,2539538.0,"A time schedule is plugged into our Metasys system for all buildings, to move them to occupied and unoccupied modes based on the time of day or week. In unoccupied buildings, heating begins at 60 degrees and cooling begins at 82 degrees. 
There are set timed schedules for all buildings to change temperature according to occupied or not occupied status. Classroom schedules, weekend schedules, and standard occupancy building schedules are used. 
",2476238.0,"Exterior lights at Sports and Fitness Building have been switched from 150-watt high pressure sodium fixtures to 21-watt LED fixtures. The Memorial Student Center has LED lights throughout the building, including a new LED project funded by the Green Fee, segregated fee. In the next year, Physical Plant is switching 500-watt quarts bulbs to 16-watt LED bulbs in 210 Applied Arts.  ","A number of buildings on campus utilize lighting sensors within classrooms, meeting rooms, and offices, including Memorial Student Center, Jarvis Science, Administration Building, North Point, Hovlid Hall, Fleming Hall, and several others.  All new construction and renovations in academic and administrative buildings incorporate lighting sensors into the projects.  The Physical Plant is working on a project for reduced stairway lighting with a motion sensor when the stairway is occupied at the north end of Fryklund Hall.",8150.0,N/A,--,N/A,--,N/A,N/A,"There are power meter monitors in all buildings that feed into our Metasys system and allow Physical Plant staff to monitor metered watts or watt hours for all buildings at any given time or date.  These meters are also available online, using the Lucid Building Dashboard.",1741.0,2808.0,N/A,N/A,N/A,3.14,1.2,"The Sustainability Office implemented the Building Dashboard in May 2014, to allow for all real-time electricity use in 33 campus buildings to be made available to anyone.  We use this dashboard to host two energy reduction competitions across campus each year.",http://www.uwstout.edu/sustainability/upload/Energy-Conservation-and-Alternative-Energy-Option-Awareness.pdf,2012-07-01,2013-06-30,2007-07-01,2008-06-30,"Data taken from the 2008 and 2013 GHG Inventories:

2008 

ENERGY TYPE          ENERGY AMOUNT          MMBtu EQUIVALENT          CALCULATION

Oil                                555 Gallons                        x.13869                       1,164.30 MMBtu
Natural Gas              78,216 MMBtu                                                               78,216 MMBtu
Coal                           4,141 Short Ton                    x.012                                 49.69 MMBtu    

Purchased Electricity   20,262,094 KWh                x .003412                    69,134.26 MMBtu

Total                                                                                                       148,564.25 MMBtu

2013 

ENERGY TYPE          ENERGY AMOUNT          MMBtu EQUIVALENT          CALCULATION

Oil                                0 gallons                        x.13869                                     0 MMBtu
Natural Gas                 162,710 MMBtu                                                      162,710 MMBtu
Coal                             1,919 Short Ton              x.012                                   23.03 MMBtu
Purchased Electricity   23,011,525 kWh             x .003412                     78,515.32 MMBtu

Total                                                                                                      241,248.35 MMBtu
"
University of the Pacific,2016-03-23,2016-03-23 15:37:30,seller@pacific.edu,2.0,Pursuing,**,143563.0,**,86448.0,**,**,--,**,159312.0,**,90158.0,--,**,NA,2018731.0,"Web-based Energy Management Systems utilizing scheduled occupancy times and temperature controlled HVAC equipment, located in the HVAC/R office.",2029722.0,"Outdoor architectural LED wall packs/cutoff fixtures / Indoor linear LED fixtures and retrofit LED can lights.  Approximately 95% of all exterior lighting is LED.  By August 2015 100% will be LED.
","Single and dual technology motion sensors (ultrasonic, infrared)/ Energy management systems / Photo cell light sensors",111000.0,N.A.,34300.0,N.A.,21000.0,N.A.,"Pacific spent $350,000 retrofitting lighting in 2014. We have also spent around $300,000 last year on new more efficient HVAC equipment. 

In 2015, Pacific spent around $150,000 retrofitting toilets and sinks to low flow to reduce water consumption. ","A compilation of state of the art Energy Management systems including Johnson controls, Alerton and Honeywell BacNet systems. All building equipment are off unless scheduled through the Campus scheduling format Astra, accessible to all departments on campus. Support Services office staff implement these schedules into the appropriate Energy Management System. EMS systems are also used to monitor and adjust HVAC system operation.",1781.0,1660.0,"Pacific is working :
- opportunistically through opportunities presented by building renovations and remodels;
- to develop an energy use policy that would address buildings specific appliances in existing buildings not covered by our green purchasing directives; and
- through investments funded by our Sustainability Project Investment Fund.
 ","Pacific is working to maintain the positive impact of its nationally recognized, classically beautiful landscaping with more native, drought resistant, low maintenance landscaping that still communicates the commitment to quality and aesthetics that our landscaping has traditionally had but which requires less inputs of all sorts for maintenance and growth.

In 2012, Pacific changed a small area of green scape to a John Muir Native area that has drought-resistant and native plants of California highlighted by John Muir. In 2014, Pacific received a generous gift from Bon Appetit to build a Native Garden next to the expanding Ted & Chris Robb Garden that will have a variety of native and low water plants. The Bon Appetit Native Garden will also have a water meter to measure water consumption. ",N.A.,3.14,1.2,"Sustaining Pacific has deployed a Green Office Certification program that works with offices and departments to make greener decisions with waste management, purchasing,energy, transportation, events and entertainment, break room/kitchen and sustainability initiatives.",http://www.pacific.edu/About-Pacific/Sustaining-Pacific/Commitment-to-Sustainability/Sustainable-Living.html,2014-07-01,2015-06-30,2011-07-01,2012-06-30,"http://www.pacific.edu/About-Pacific/Sustaining-Pacific/Get-Involved/Green-Office-Certification.html?utm_source=Link&utm_medium=GoRedirect&utm_campaign=greenoffice

Degree days calculated using http://www.weatherdatadepot.com/ with the balance point of 68 degrees Fahrenheit. 

Source site ratios used were taken from the suggested amount stated in the ? box. 

Gross floor area decreased due to the removal of A.A. Stagg Stadium in FY2015. "
Vanderbilt University,2016-03-21,2016-03-21 10:45:59,andrea.george@vanderbilt.edu,2.0,Pursuing,**,3316936.0,**,1104974.0,**,**,--,**,3747555.0,**,1003369.0,--,**,NA,19200000.0,"Faculty, staff and students are encouraged to set their thermostats to 68 degrees F in the winter and 75 degrees F in the summer. During the summer and winter breaks, when most students and many staff are off campus, temperatures are centrally controlled by Plant Operations in order to keep energy usage down.",13186242.0,"The renovation of Alumni Hall used LED “can” lights throughout the building. Many buildings on campus have recently undergone lighting retrofits that include LED lighting including: Hobbs Library of Human Development, Jesup Psychology, Home Economics, Kirkland Hall, Student Life Center, and Neely Auditorium. LED lights are also used in elevator cars (MR16s). Additionally, many of Vanderbilt’s athletic facilities have been retrofitted with LED lighting. Vanderbilt’s Hawkins Field (baseball stadium) recently went through an LED lighting retrofit, replacing 152 HID fixtures with 98 LED fixtures, reducing watts used on the field by 60%. VU’s baseball indoor batting facility and the Currey Tennis Center use high bay LED lighting. The Olympic Weight room was retrofitted in 2015 replacing (30)- 400watt fixtures with (30) 80 watt LED dimming fixtures. Many outdoor walkway lights were replaced with LEDs in 2013. ","Vanderbilt uses ceiling and wall mounted light sensors throughout campus with different technologies including infrared, ultrasonic, and “dual technology” sensors. Light sensors are used for daylight harvesting in many locations and CO2 sensors are used in some meeting rooms. ",977200.0,Automatic shades are used on the windows in some buildings to increase or decrease the amount of light allowed into a space in order to better regulate temperatures.,3751980.0,NA,302875.0,"In Fall 2013, Vanderbilt University began the conversion of its co-generation power plant from coal and gas fuel to all-natural gas. The Vanderbilt Co-generation power plant burned its last piece of coal on November 19, 2014. The plant, which produces 23 percent of Vanderbilt’s electricity, 90 percent of its heat and 40 percent of its cooling, now runs exclusively on natural gas. This cogeneration process is quite efficient: heat, which would otherwise be a wasted byproduct of electricity and steam generation, is used to produce more steam and hot water. The remaining 77% of electricity consumed at Vanderbilt is purchased directly from Nashville Electric Service from Tennessee Valley Authority. 

The decommissioning of the plant’s last coal boiler in December 2014 brings the power plant’s 126-year reliance on coal to an end. The modern structure, built in 1962, has been partially powered by natural gas since 1988, but still burned 105 million pounds of coal and produced 15 million pounds of ash waste per year. Authority (TVA).

The environmental benefits of the conversion are significant. Greenhouse gas emissions—the carbon footprint of the power plant—will go down by as much as 40 percent. The conversion will also decrease the emission of particulate matter by more than 50 percent and virtually eliminates emissions of mercury, hydrogen chloride, sulfur dioxide and other air pollutants.

Operationally, converting to natural gas will make the plant more efficient, require far less maintenance and be more reliable. Additionally, it will be better able to meet stricter EPA regulations. 
http://www.vanderbilt.edu/sustainvu/what-we-do/energy/power-plant-faq/
http://news.vanderbilt.edu/2014/12/vanderbilt-power-plant-is-now-coal-free/?utm_source=myvupreview&utm_medium=myvu_email&utm_campaign=myvupreview-2014-12-18 
","Vanderbilt invested over $8 million in 2013 and 2014 in energy efficiency retrofits of existing buildings throughout campus. All projects had a payback of less than 3 years. Vanderbilt is also committed to installing more energy efficient systems and fixtures when replacement is needed for the older systems and fixtures. Buildings are also retrocommissioned periodically to reset the building systems to optimal energy efficiency standards. In 2015, Vanderbilt Plant Operations put together a Utility Conservation Task Force consisting of partners from various parts of Plant Operations who work together to plan efficiency projects that will save both natural resources and money spent on these utilities. This task force brainstorms future utility conservation projects, evaluates potential projects, and implements these projects across campus. ","All buildings on campus are submetered for electricity, natural gas, and steam. A program called EnergyVU, a new online energy dashboard for Vanderbilt, collects a new data point from the meters every five minutes for each building on campus. Vanderbilt Plant Operations launched this powerful tool during the summer of 2013, and it is now available to anyone on campus. Users can compare the energy use of a specific building over time or to a set of other buildings. Vanderbilt also has a dedicated Campus Energy Manager.
Additionally, each of the ten first-year residence halls have “Green Lights” screens which connect to Vanderbilt’s energy dashboard, energyvu.vanderbilt.edu, and alert the students and visitors of the energy usage of each building 24 hours a day. The “Green Lights” screens also notify students as to whether they are above or below their targeted energy usage for the day.  

Energyvu.vanderbilt.edu   	
http://www.vanderbilt.edu/sustainvu/2013/09/green-lights-program-will-monitor-commons%E2%80%99-energy-use/
",3904.0,1801.0,"Vanderbilt is committed to installing more energy efficient systems and fixtures when replacement is needed for the older systems and fixtures.  Through the Facility Renewal process, Vanderbilt plans to replace end-of-life building equipment and systems with up-to-date models. During this process, the Campus Energy Manager works with the Facility Renewal manager to ensure that the most energy efficient option for new equipment and systems is chosen.

When purchasing replacement appliances, equipment, and other systems, Vanderbilt’s procurement policy requires a preference for equipment that has met Energy Star or E-PEAT certification, indicating the product has met strict energy efficiency guidelines as set by the U.S. Environmental Protection Agency (EPA) and Department of Energy (DOE). https://finance.vanderbilt.edu/procurement/about/Procurement-Policies-Procedures.pdf 
","Reflective roofs are present on many buildings on campus to reduce the heat island effect. During the construction of The Martha Rivers Ingram Commons, much of the asphalt that previously covered the area was removed and grass and plantings were installed. ","New vending machines installed on campus are generally Energy Star rated, are LED lit, and use less energy than older vending machines.",3.14,1.2,"Currently five buildings on campus, Buttrick Hall, The Commons Center, Featheringill/Jacobs Hall, Studio Arts and MRB3 have night setback programs in place. These ""night setback"" automated control systems are saving between 15-25% of the energy usage of each of these buildings. Continued retrofits of existing buildings are planned as funds allow. Many other buildings have HVAC or lighting controls or occupancy sensors built in to dim or shut off lights during unoccupied periods of time. 
•	Buttrick Hall – Building automation system adjustments, night temperature setbacks 
•	Cole Hall – HVAC renovation 
•	Jacobs / Featheringill Engineering – Building automation system adjustments 
•	Law School – Lighting retrofit, building automation system and HVAC upgrades 
•	McGill Hall – HVAC renovation 
•	Memorial Gym – Lighting control 
•	OGSM – Building automation system upgrade, lighting retrofit 
•	Olin Hall – Building automation system upgrade, HVAC renovation 
•	Rand Hall – Chiller replacement, Building automation system upgrade, HVAC renovation/re-commissioning 
•	Sarratt – Chiller replacement, building automation system upgrade, HVAC re-commissioning 
•	Studio Arts – Building automation system adjustments 
•	Tennis Center – Lighting retrofit, lighting control 
•	Tolman Hall – HVAC renovation 
•	McTyeire Hall – Building automation system upgrade, chiller replacement 
•	Heard Library – Lighting retrofit and control, HVAC renovations 
•	Divinity School – Lighting retrofit and control
•	Jesup Building – Lighting retrofit and control
•	One Magnolia Circle – Steam and chilled water metering
•	Home Economics Building– Lighting retrofit
•	Payne Building – Lighting retrofit
•	Peabody Library – Lighting retrofit
•	Stevenson Center Chemistry – Building automation system upgrade
•	Commons Center – Building automation system re-commissioning, night setbacks 
•	Kennedy – Building automation system upgrade, demand control ventilation 
•	Wilson Hall – Air handling unit and chiller replacement, building automation system upgrade
•	Stevenson Center Physics – Building automation system upgrade

Vanderbilt installed a solar thermal hot water heater in 2015 funded by the Vanderbilt Green Fund proposal. The solar hot water system has a capacity of 120 gallons, and supplies hot water to the Currey Tennis Center. The tennis center includes shower facilities, so the solar hot water system supplies hot water to a direct use in the building. Since the installation of the solar hot water system, the building has used 40% less natural gas than compared to the same timeframe the previous year. 

Since 2007, these improvements have saved at least 12,513,500 kwh, 7,300 metric tons of greenhouse gas emissions, and $1,260,000 in electricity/steam/chilled water costs.
",http://www.vanderbilt.edu/sustainvu/what-we-do/energy/vu-main-campus-energy-efficiency-and-conservation-accomplishments/,2014-01-01,2014-12-31,2005-01-01,2005-12-31,--
Vassar College,2016-03-10,2016-03-10 19:47:18,alihall@vassar.edu,2.0,Pursuing,**,266608.0,**,67229.1,**,**,195699.6,**,318525.0,**,78404.7,240120.0,**,It is also when the baseline year for the Greenhouse Gas Emissions was adopted.,2400000.0,"Vassar’s Energy policy specifies temperature set-points during a 24 hour period based on expected occupancy and use of all buildings.  Temperatures are also adjusted based on measurements of outdoor temperature, and are computer controlled for each building.

",2400000.0,"Vassar’s Buildings and Grounds shop, the Fergusson Quadrangle (an outdoor space), and the main dining hall are illuminated entirely by LED lighting (about 450 bulbs).  

 The Palmer art gallery (50 bulbs) and our campus outdoor lighting (500 bulbs) have both been retrofitted to LEDs saving over 500,000kWh per year.","Vassar uses lighting sensors in many classrooms across campus.  Buildings that have lighting sensors throughout include the Library (combined infra-red and motion detectors), Walker Field House (based on occupancy), Kenyon Hall (motion detectors) and Davison dormitory (motion detectors).",27309.0,,1523.0,"Two sets of senior housing areas, the Townhouses and the Terrace apartments have 4 units and 10 units respectively that are heated and cooled using ground source heat pumps.",1150.0,1 megaW of cogeneration capacity on natural gas boiler,,Vassar uses a centralized energy management system that allow it to track consumption and performance in all building on campus from a central location.  ,5217.0,1273.0,,,"Through the Resource Conservation Fund, a project that accepts initiatives that conserve resources and generate financial savings, we are looking to replace all vending machine sensors within the next year.",3.14,1.2,,http://buildingsandgrounds.vassar.edu/policies/conservation.html,2012-07-01,2013-06-30,2004-07-01,2005-06-30,--
Villanova University,2016-03-21,2016-03-21 13:11:20,liesel.schwarz@villanova.edu,2.0,Pursuing,**,506474.0,**,191732.0,**,**,300611.0,**,506203.0,**,191832.0,314371.0,**,Villanova signed the Presidents Climate Commitment in 2007. As part of the commitment we were required to choose a baseline year to compare our carbon emission reduction progress to. The year we chose is the academic year from 2007 to 2008. This year was adopted because it was the same year we signed the Presidents Climate Commitment.,3388257.0,"Our building engineers are told to design our buildings, and their HVAC systems to meet ASHRAE. Building temperature set points fluctuate throughout the campus depending on building function and occupant comfort level.",3139757.0,"The University retrofits lighting to LED when lamps are being upgraded due to aesthetics, function, or age. All exit lighting are LED powered, and there has been an effort to use LED in outdoor and 24 hour lighting. Other applications include athletic facilities, library stacks, classrooms, and office space.","As we renovate offices, classrooms, and public areas the University retrofits the areas with switch sensors (Infrared and ultra sound) , occupancy sensors or vacancy sensors depending on the space use type. ",118714.0,NA,--,"One dormitory on campus utilizes a geothermal heating and cooling system to condition 20,000 square feet.",--,NA,We recently conducted a recommissioning of our largest lab building on campus. Over the next two years we will be implementing the suggested changes to the building. ,"The 5 LEED buildings on campus have sub metering systems for electricity, water and heat. We also have a DVC system that controls many of the buildings on main campus. With this system we are able to reset hot water temperature based on the outside temperature and lower the temperature at night. Additionally, lighting in one of our LEED buildings is managed through the DVC system. Lastly, in our main office building occupancy sensors have been installed that turn down heating and cooling when the room is unoccupied. ",3252.0,2555.0,When an older appliance breaks they are replaced with newer more efficient appliances. When available we use energy star certified appliances.  ,NA,NA,3.14,1.2,NA,http://www1.villanova.edu/villanova/sustainability/CampusSustainabilityBuildingsGroundsStormwaterDiningRecycling/EnergyClimateSustainability.html,2015-01-01,2015-12-31,2007-06-30,2008-05-01,--
Virginia Commonwealth University,2015-07-24,2015-07-24 09:33:00,eestanforth@vcu.edu,2.0,Pursuing,**,1124953.0,**,584323.07,**,**,--,**,774818.794,**,410341.82,--,**,We are using a baseline for the fiscal year 7/1/07-6/30/08.,4819720.0,We encourage our buildings managers to keep thermostat settings between 68-72 F in the winter and 72-76 F in the summer months to reduce heaing and coolling loads to our HVAC systems.  ,9022822.0,"LED's lighting is routinely being utilized as we replace old fixtures such as T12 and T8 fluorescent bulbs and ballasts  in renovation project through the campus. We have upgraded most of the fixtures in the Parking Decks to LED's since this lighting is on 24/7.
","Our Physical Plant staff is adding more motion detectors to areas in our buildings that do not have a need for constant lighting for safety/security reason. To include: faculty and staff offices,  work rooms/copier rooms, kitchen areas other low activity areas.",620110.0,We utilize large glass windows to take in natural light and to heat spaces in many of our newer buildings. Ex. McGlothin Medical Education Center uses automatice shades to let in light and also shade interior spaces based temperature and the occupancy of the space.,--,VCU utilizes a ground -source heat pump at our LEED Platinum Rice Center.,141627.0,We are not utilizing any cogeneration technologies at this time. We have conducted some feasibioty studies at our main Steam Plan for the use of a combined steam and electric  generation.,"We currently do have a a formal building recommisioning program in place, we are looking into making this a priority item and have requested funding to support in our next fiscal year. 2016.","All utilities are metered on the individual building level withsome buildings utilizing sub-metering for select equipment. Metering and billing data for our utilities is stored in the EnergyCAP Energy Management System. This system helps to track interval data and meter readings, calculate cost avoidance, eliminate billing errors, pinpoint wasteful facilities, streamline energy accounting, budgeting, accruals, and bill payment, generate analysis reports, graphs, and benchmarks and track greenhouse gas emissions.",4184.4,1401.2,Our policy is to replace equipment as needed with an emphasis on installing the most energy efficient equipment that is available.,Since we are a urban campus we do not have many green spaces  that are open to the general public ,Canteen VCU's vending contractor installed all new vending machines that have automatic lights that shut-off when the machines are not in use.,3.14,1.2,"We utilize a Building Automation System (BAS) scheduling software . We have replaced 
constant speed motors with variable ",--,2013-07-01,2014-06-30,2007-07-01,2008-06-30," Sent email to Mike Risley in FMD-Energy area to provide information. 6/23/15. Steve H.
Mike has access to the STARS reporting system and eneter directly."
Warren Wilson College,2016-03-21,2016-03-21 15:29:53,aclimo@warren-wilson.edu,2.0,Pursuing,**,36350.0,**,36350.0,**,**,--,**,39915.0,**,15012.0,--,**,In 2007 Warren Wilson College committed to reducing our green house gas emissions by 80% by 2020. An inventory of energy use has been taken every year since that date. ,671331.0,"Four of the buildings on campus have timer regulated temperature systems. These buildings are programmed as 'occupied' between the hours of 7am and 5pm. The rest of the time, the heating/cooling system only turns on above 90 degrees F or below 55 degrees F.",571571.0,"
In 2014 year the college replaced our campus street lighting, and our Cannon Lecture Hall with LEDs

",Both passive infrared and ultrasonic motion sensors are used in several buildings on campus. Light sensors are present in select hallways and the library where enough light during the day allows for the lights to be turned off.,6000.0,The Eco-dorm uses passive solar water heating. A hallway in the Witherspoon science building uses passive solar to help heat the building,--,"Jensen, a three story humanities building, uses ground source heat pumps to supplement heating and cooling energy needs. ",--,,Any retrofit project includes maximizing energy efficiency. ,"Institutional Effectiveness tracks campus-wide energy consumption monthly via billing.  It is not a fancy process or technologically sophisticated tool, but it works and is already available.  We have electricity meters on 100% of campus buildings and natural gas meters on 95%. Abnormalities in the data are reported to Facilities Director. ",150.0,150.0,Our policy is to replace equipment with Energy Star certified or better.,"Warren Wilson College aims to minimize mowed areas to reduce energy intensive lawn mowing. We grow wild grasses to cover much of our campus, and periodically burn them down. The campus has only 8 acres of mowed areas, including 5 acres of soccer fields. ",Sensors were installed in vending machines in dormitories.  Those sensors did not work effectively so they were removed.  ,3.15,1.2,EPA Green light compliant,--,2014-07-01,2015-06-30,2007-07-01,2008-06-30,--
Wartburg College,2015-04-27,2015-04-27 09:07:38,anne.duncan@wartburg.edu,2.0,Pursuing,**,44618.54,**,44618.54,**,**,--,**,47251.33,**,47251.33,--,**,,1038353.0,"Wartburg has scheduling for the Wellness center, Science, Library, Luther, Fine Arts Center, Chapel, Auditorium and Communication Technology Center.  What this means is that we have occupied, when the buildings are usually used, and unoccupied times.  During the occupied times the temperatures are set to what you are used to. During unoccupied times the temperature set points are lowered to save energy. ",1038353.0,"Wartburg uses LED technology in our accent lighting, our display case lighting, as well as in a number of our security lights around campus. LED's are our first choice of new lighting and retrofit.","High traffic areas, and many office suites throughout campus buildings have had motion sensors installed so that the lights turn off after 10 minutes of inactivity. ",3602.0,,--,,--,,"In 2010 the college commissioned a comprehensive energy analysis. A select team evaluated the recommendations, and selected options with an average payback of 10 years. During 2011 and 2012 the college implemented these recommendations, with the final cost of $2,400,000 with an annual savings of $270,000.","The buildings utilizing energy management systems have individual controllers which are classified as ""Web Servers.""  These Web Servers are internet gateways that allow users to access the EMS (energy management system) through the internet using a Username and Password from anywhere in the world.  There are two computers, one for Steafa and one for Alerton, on campus that act as the respective servers.  

This EMS is capable of engineering, programming and monitoring the expanded and existing BAS (Building Automation System).  This provides local and remote access through a web-enabled system.  It represents floor plans, mechanical systems and all equipment incorporated into the BAS graphically, both in status and configuration.  In addition operators are able to command equipment or modify set-points and schedules, add trending or alarms to any hardware or software point, and make changes to other selected operational parameters in-line with the privileges of the active end-user from a graphic through the use of a mouse.",8399.4,1015.7,"As appliances fail, or are due for replacement, energy consumption is considered as much as the cost of a replacement unit.",,The vending machines on campus conserve energy by shutting off the display lighting when no one is within a reasonable proximity. Case and cooler lighting is nearly all LED.,3.14,1.2,,--,2013-06-01,2014-05-31,2008-06-01,2009-05-31,--
"Washington State University, Pullman",2016-03-25,2016-03-25 18:58:11,slkane@wsu.edu,2.0,Pursuing,**,1642645.0,**,579331.0,**,**,973616.0,**,1515507.0,**,532658.0,902389.0,**,State of Washington uses 2005 as the baseline year for all reporting.,10638211.0,95% of buildings use a Seimens Building Automation system to regulate temperature,10220659.0,LED lighting has been installed in some locations at the Student Recreation Center.  95% of the campus was retrofitted with efficient non-LED lighting in 2000-2003.,Ambient light sensors and infrared/ultrasonic occupancy sensors are installed in new buildings and major renovations.  Also as maintenance is required upgrades are completed.,1122416.0,,125813.0,Olympia Avenue Dormitory uses an ethylene glycol based ground source heat pump.,--,"The Grimes Way Steam Plant and College Avenue Steam Plant addition have been in operation since July of 2004 and serve the campus community providing steam for building heat and hot water as well as other vitally important campus processes such as sterilization in veterinary medical facilities and humidification of libraries and green houses. The new facilities continue to be a leader in the state of Washington in producing energy with ultra low emissions and we do so utilizing high tech - ultra low emission burners with precise electronic controlling systems.  Our annual steam production exceeds 800,000,000 million pounds of steam generated utilizing natural gas as our primary fuel with ultra low sulfur diesel as a backup fuel. The facility generates steam for campus use year-round with summer time steam demands as low as 36,000lbs/hr with a single boiler in operation and winter steam peaks exceeding 250,000lbs/hr with all five boilers in operation.",The Energy Services Performance Contracting team has performed retro-commissioning projects on a number of facilities and continues to investigate additional opportunities.,"Implement HVAC Load Sheds and Integral Volt-Var Control measures as part of the ESPC Phase 13.6 Smart Grid Demonstration Project to reduce annual energy use by 1,390,897 kWh of electricity and 7,041 therms of natural gas.  The equipment and system is physically installed and tested.  Third party contractors, Battalle and Avista, and in the final programming stages and active the overall project by June, 2013.",6214.0,296.0,,,,1.0,1.0,,http://facops.wsu.edu/eso.aspx,2012-01-01,2012-12-31,2005-01-01,2005-12-31,--
Washington University in St. Louis,2016-02-29,2016-02-29 19:41:56,valko@wustl.edu,2.0,Pursuing,**,2139337.0,**,1030469.0,**,**,--,**,2333441.0,**,1065334.0,--,**,,10487522.0,"We use occupancy timers in several of our buildings for night/weekend temperature control setbacks. One example would be Seigle Hall(construction completed in 2008), which uses this type of technology to adjust space temperature setpoints based on occupancy.  ",9902510.0,"We have replaced thousands of light fixtures with LED bulbs including approximately 400 high wattage (175 watt) metal halide campus street lights that were replaced with low wattage (52 watt) Sylvania LED fixtures. We also replaced all of our parking garage lighting on the Danforth Campus with LED fixtures.
","We use both motion and infrared sensors in many of our buildings for lighting occupancy control.  For example, the Danforth University Center, completed in 2008, utilizes these sensors in meeting rooms and common spaces. We also use CO2 sensors in some of our newer pooled classroom spaces to control ventilation.",2750356.0,The south facade of the Lofts student housing includes sun shades that reduce solar heat gain during summer months and allow for passive solar heating during winter months.,320000.0,The Tyson Headquarters building includes a small commercial GSHP system.,38500.0,,"Both major campuses have been engaged in retro-commissioning and retrofit of buildings for years. Retrofits include replacement of inefficient fans, pumps, lighting, etc. with significantly more efficient systems.","The Facilities Department operates a centralized Johnson Controls monitoring system that monitors the operations of our building heating/cooling systems, as well as tracks energy consumption in buildings that have network addressable meters. The University recently completed the addition of approximately 800 energy meters that provide building-level energy use for both major campuses. The meters collect data on electric, chilled water BTU, heating water BTU, and natural gas usage.",4733.0,1735.0,,"In the last three years, approximately 20 black building roofs have been replaced with white roofs. White roofs are now the standard for new construction. In addition, we have constructed four major green roofs.",,3.14,1.2,,--,2014-07-01,2015-06-30,2009-07-01,2010-06-30,--
