Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Percentage of total dining services food purchases comprised of conventionally produced animal ...,A brief description of the methodology used to track/inventory expenditures on animal products,"Does the institution offer diverse, complete-protein vegan dining options at all meals in at least ...","Does the institution provide labels and/or signage that distinguishes between vegan, vegetarian ...",Are the vegan options accessible to all members of the campus community?,"A brief description of the vegan dining program, including availability, sample menus, signage and ...",A brief description of other efforts the institution has made to reduce the impact of its ...,The website URL where information about where information about the vegan dining program is ...,Annual dining services expenditures on food,Annual dining services expenditures on conventionally produced animal products,Annual dining services expenditures on sustainably produced animal products,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:16,mary.lucus@belmont.edu,2.0,Pursuing,13.4,Complete weekly inventory of verifiable products through our wholesale grocery company SYSCO.,True,True,True,"Vegan dining is offered at every meal.
Belmont University Dining Hall 
Daily Vegan/Vegetarian Offerings 
Omelets- OvoLacto
 Pancakes, French Toast- O/L
 Waffle Bar- O/L
 Breakfast Entrée Line- Combination Vegan and O/L
Fresh Hand Fruit
Continental Bar- Combination
Cereals- Vegan with Almond and Soy Milks
Soup- one daily vegan or O/L
Grill- Veggie Burgers and selected specials O/L, fries, quesadilla or grill cheese, carrots
Salad Bar- is primarily vegan, twice weekly tosses can be made to order and accommodated to needs.
Deli- has numerous vegan options with wraps, pre-made vegan and O/L specials
360- has a wide variety of vegetables, tofu, 3 starches and vegan sauces (this should really accommodate most needs made fresh to order) 
Lunch Entrée Line- has 2 fresh vegetables (majority vegan), starches split vegan and O/L
Vegan Vegetarian Line- specifically offers a variety of both(not always simultaneously)
Vegetarian Line Salad- 5 daily options are predominantly vegan, some O/L.
Pizza Station has many O/L options and paste bar with marinara is vegan. Daily pasta tosses rotate and contain both vegan and O/L
Simple Servings- primarily has a veg. and starch that are one or the other and there are several meatless meals on menu.  
",None,https://belmont.sodexomyway.com/,2300000.0,310000.0,150000.0,--
Beloit College,2016-03-23,2016-03-23 13:46:04,chapmanlr@beloit.edu,2.0,Pursuing,35.7,The methodology used to track/inventory expenditures on animal products is calculated on both the corporate level through electronically reported item level data and also on the unit level through invoices that are analyzed by the local team. ,True,True,True,"Vegan dishes are menued daily in multiple Stations in the servery.  We use color coded COR icon stickers to denote specifics such as vegan, gluten free, vegetarian, humane, etc.  They are available at each meal period in at least 1 station. A sample vegan menu would be jambalaya with tempeh rather than sausage, along with carrot, celery, onion, garlic, bell pepper, tomato, parsley, and spices paired with steamed organic brown rice and roasted carrots.",We keep beef purchases to a reasonable amount in order to reduce our carbon footprint.,http://CafeBonAppetit.com/,829282.14,296567.88,177435.34,--
Bentley University,2016-03-25,2016-03-25 15:59:13,nberland@bentley.edu,2.0,Pursuing,100.0,,True,True,True,"Bentley offers vegan options in our grab and go locations and at many of our stations we have vegan alternative options. In our resident dining location we started in 2012 or farm fresh station which is  a station dedicated to either a vegan or vegetarian option each day. Also at our Mongolian wok station we have the ability to customize stir fry's for our guests and these can also be vegan. In 2012 we also added at least 6 grains or legumes to our salad bar station daily this gives students an added source of protein. The main dining hall has a permanent vegan section of locally sourced, fresh vegetables and soy products. ",The Office of Sustainability partners with Sodexo Dining Services to increase sustainable dining options on campus.  Through Sodexo's Better Tomorrow plan Sodexo is committed to sourcing local sustainably raised animal products and sustainable seafood by 2015.  Sodexo has also committed to sourcing 100% of it's eggs from cage free hens by July 2014.,http://bentleydining.com/wellness/index.html,--,--,--,We are working on gathering better data for this credit.
Berea College,2016-02-29,2016-02-29 10:22:26,paulyj@berea.edu,2.0,Pursuing,24.0,Separately track local invoices from local vendors vs conventional (provided by large grocery vendor and non-local dairy supplier),True,True,True,"Vegan options are offered daily. Vegetarian/vegan options are available throughout the dining hall at every meal, and vegan dishes are routinely the only option at the vegetarian/vegan station. BC Dining promotes Meatless Mondays.","promotion of Meatless Mondays; our Mindful healthful eating program encourages avoiding animal products in favor of a variety of whole grains and vegetables.
In fulfillment of Sodexo's Better Tomorrow Plan, BC Dining now exclusively sources cage free eggs. 
Locally-sourced meats are sustainably raised on pasture, College Farm raised meats are AWA.  Reduced the use of cheese products overall in menus. ",http://www.bereadining.com/,1309772.0,326990.0,213128.0,--
Binghamton University,2016-03-20,2016-03-20 17:32:42,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:42:03,carlberg@bu.edu,2.0,Pursuing,19.0,,True,True,True,"The University’s Dining Services offers vegan meals for breakfast, lunch and dinner across campus each day. Each dining hall offers a vegan option for both breakfast, lunch and dinner. In addition, most meals can be prepared vegetarian upon request.  ""Mindful Meals"" is a day each week when all residential dining halls serve foods with a lower carbon footprint. It's also an opportunity for education through station signs that discuss what makes each meal sustainable, posters, website and Facebook postings, and table tents. No beef or pork is served on these days and the focus is on local produce, sustainable seafood as well as more vegetarian and vegan options. On a daily basis, BU Dining Services also offer vegan pizzas, desserts, and deli sandwich options such as Beyond Meat chicken salad. Trainings are conducted with employees to educate them on veganism and vegetarianism, and also use separate cooking vessels and utensils for vegan foods.","Dining Services’ policy is to procure the most environmentally responsible products available that are economically feasible. Dairy is purchased from local companies that source from local dairy farms, which include Hood milk, Cabot Creamery sour cream, butter and cheese. The University’s Dining Services also supports the humane treatment of animals and as such, have converted all of the eggs on campus to cage-free (with the exception of EggBeaters and egg patties at Breadwinners, both of which are not available with cage-free eggs).
Similarly, Dining services purchases sustainable seafood including farmed mussels and clams. Using the Monterey Bay Aquarium Seafood Watch and the Marine Stewardship Council certification as guides to choosing sustainable seafood, some of the local, sustainable seafood offerings include farmed blue mussels, MSC-certified Pacific Cod, basa and Maine lobster. ",http://www.bu.edu/dining/nutrition/vegetarianvegan/,--,--,--,--
Bowdoin College,2016-02-25,2016-02-25 17:01:02,cpayson@bowdoin.edu,2.0,Pursuing,29.7,,True,True,True,"Variety and choice are hallmarks of the Bowdoin dining program and our vegan programming is no exception. In each dining hall, during each meal period, our menu standards require that at least one vegan entrée be available in addition to a vegan protein and cooked vegetables. At the salad bars, there is an array of rotating fruits and vegetables and we include plain grains, legumes and a variety of composed salads. Some of our most popular vegan items are: eggplant parmesan with vegan cheese, chick pea curry with roasted cauliflower, black bean and sweet potato patties, maple baked butternut squash with cranberries, homemade kimchee, house pickled beets, curried tofu “egg” salad, and mansoor dal. Our students LOVE cauliflower and Brussels sprouts in any form! We bake fresh bread daily for the dining halls, most of which are vegan. Vegan desserts are available and labeled. We produce our own, very popular vegan granola. Several varieties of vegan milk including rice, soy and almond are always available as well as freshly ground peanut butter, dried fruit, wheat germ, soy nuts, pumpkin seeds, flax seeds, chia seeds and nutritional yeast.","In light of Bowdoin’s 2020 carbon neutrality pledge, and the statistics regarding the environmental costs of industrial meat production, and students’ dietary direction trending towards a more plant-based diet, Bowdoin Dining Service has made it a goal to work towards a more vegetable-centric menu in all our operations. We are committed to substantially improving the productivity of the Bowdoin Organic Garden, highlighting and enhancing the vegetarian and vegan aspects of our menus, and looking for ways to increase our impact in the local agricultural community.",http://www.bowdoin.edu/sustainability/green-bowdoin/dining.shtml,--,--,--,--
Brown University,2016-03-23,2016-03-23 07:27:09,Ginger_Gritzo@Brown.edu,2.0,Pursuing,3.0,"Brown Dining Services tracks its food and beverage inventory through the Food Service Suite software platform and participates in the Real Food Initiative, which tracks all food purchases based on whether or not they’re local, humane, fair, or ecological.",True,True,True,"New this fall, students will be offered revamped salad bars, close to 20 new vegan/vegetarian dishes, and positive messaging to help them navigate the countless food choices offered on a daily basis.  Students can easily build a balanced meal in the eateries where we offer “all you care to eat” service. Vegetable dishes are offered on every line, fruits are displayed prominently, the salad bar items rotate weekly and there is only one dessert option per meal. Designing a positive food environment for students is fundamental. It’s counterproductive to serve foods that contradict the nutrition messaging you promote. These menu changes are focused on balancing meals and communicating to students where their food comes from, what’s in the food, and how healthy eating can positively affect them and the environment.   

 For all students, but especially those trying to follow a particular diet, transparency is important. Our MyMeal program allows students to view nutrition information by menu item and individual ingredient online. This program has been available for our board dining menus for the past two academic years and is being rolled out this fall for the menus in the retail units. 

Students make food selections for a host of reasons, but we pay special attention to ensure safety to those who do so out of medical necessity. We provide meal accommodations to students with medically restricted diets, food allergies and dietary intolerances. Students who register with our Student and Employee Accessibility Office are connected to the dining services dietitian immediately. Our dietitian can offer individualized counseling so that these students can eat safely within our eateries and with their peers. 

Eating in college is about having an experience. We build spaces where students can gather to eat and socialize and students with special dietary needs are not excluded from this experience. When a medical necessity arises, a student can access our online ordering system to request meals that are prepared separately and free of certain allergens. The meals are eaten in the same dining centers among their friends. In our most popular eatery students are given access to an Allergy-Friendly Pantry. We not only offer special foods free of the top eight allergens, but there are separate toasters, microwaves and utensils so they can prepare their food safely. 

Students come to Brown with very well established food preferences and we pay attention to those needs. Herbivores dominate. There are specially segmented dining options for vegetarians and vegans. One eatery, The Ivy Room, is all vegetarian at night, our main dining center has one line dedicated to vegan and vegetarian dishes and options suitable for this group are available in every retail space.  We strive to make this food appeal to all our students, so even among our more liberal eaters, vegetarian options are popular. 

Brown Dining offers Kosher / Halal meal plans for observant Jewish and Muslim students. There is a section of the main dining center designated for Kosher and Halal meal service so that students can adhere to dietary laws while dining with friends.
","Brown Dining Services strives to provide the most sustainable, healthy and nutritious food possible.   Each recipe begins at the individual ingredient level so we think closely about the quality and sourcing of each item. To accomplish this goal our department has locally sourced 97% of its seafood and 95% of its cage free eggs.  It has purchased 100% of its coffee as fair trade and ecologically sound through Sun Coffee Roasters and has focused on providing hormone and antibiotic free beef through Niman Ranch.  Our partnerships with local vendors are extensive and go beyond the dining room. In addition to supporting local producers through our regular menus, we also host a weekly Farmer’s Market during the growing season.  Vendors set-up a market among the hustle and bustle, giving anyone on campus access to the same high quality, fresh picked produce we use. ",http://features.peta2.com/Vegan-Colleges-2011/,--,--,--,http://www.brown.edu/Student_Services/Food_Services/sustainability/blooming.php#real
Bryant University,2015-08-19,2015-08-19 14:50:32,gvalenti@bryant.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:29,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:51,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:41,dan.wakelee@csuci.edu,2.0,Pursuing,25.0,,True,True,True,"California State University Channel Islands offers a diverse, complete-protein vegan and vegetable dining option during every meal. ",,--,1900000.0,--,--,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:25,mmoscol@fullerton.edu,2.0,Pursuing,47.0,We do end of the month inventory in all our locations.,True,True,True,"Each location offers vegan and vegetarian dining options daily from salads, fruit, chili and soup, etc. Vegetarian options are also listed on menu boards and nutritional brochures and the www.csuffood.com website.","We only use certain type of sustainable sea food in OC Choice Catering. We purchase food and beverages that are local and ecologically sound, fair and/or humane.",http://csuffood.com/,--,--,--,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:29,austin.eriksson@csun.edu,2.0,Pursuing,22.87,The University Corporation uses the Real Food Challenge Calculator to track and inventory expenditures on animal products.  ,True,True,True,Vegan and Vegetarian options are offered at all dining locations on campus.  Labels and signs are incorporated throughout all facilities.  ,The university is participating in the Real Food Challenge. We have a farmers market every Tuesday during the academic year and every third week there will be a food demonstration showcasing vegan and vegetarian recipes with local sourced produce from the farmers market. This will be a collaboration between The University Corporation and the Marilyn Magaram Center.,http://csun.edu/csundining,5114250.0,1169628.0,1442218.0,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:08,kristina.cullen@csus.edu,2.0,Pursuing,100.0,"Develop and implement sustainability goals.
Identify and track Rainforest Alliance, organic, biodegradable, recyclable products.
Continue creation and maintenance of sustainability reports.
Identify areas of needs with Sacramento State to develop and grow its sustainable practices in partnership with the outside community 
",--,True,True,None,None,--,2644436.0,370221.04,--,--
Calvin College,2016-03-11,2016-03-11 14:31:12,bhaney@calvin.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,These data are from Calvin Dining Services information provided by Don Hershey.
Carleton College,2016-02-26,2016-02-26 11:19:28,mlarson@carleton.edu,2.0,Pursuing,72.0,Bon Appetit tracks all purchases and summarizes these purchases in a report for each location.  Bon Appetit has a strong relationship with local farmers and vendors which they are continuing to build.,True,True,True,"There are vegan dining options at every meal in both dining halls. One of the dining halls has a station which always has vegan options for lunch/dinner, and has recently expanded to vegan breakfasts during the week. The other dining hall always has a type of veggie burger and salad bar options.  Many of the entrees offered are available with meat or as a vegan option.","Since this is an educational institution, Bon Appetit strives to educate the students on their dining choices.  Last year they had a demonstration cooking event featuring plant-based proteins.  They showed the students how easy it is to get the protein they need from various plants.  They also celebrate their Low Carbon Diet Day which highlights many vegan items that will help the environment - giving the students non-meat options that are full of flavor to encourage students to eat less meat.

Bon Appetit works closely with local vendors to increase their purchases of sustainable products across the board.",http://apps.carleton.edu/campus/dining_services/menus/,2465379.0,616079.0,336624.0,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:07,bk11@andrew.cmu.edu,2.0,Pursuing,67.0,,True,True,True,"Yes.  The campus dining programs require that all vendors provide protein vegan offerings.  These are available to the entire campus community. We have Meatless Mondays, offer Fair Trade Coffee, sustainable dining programs, eco-friendly vending program, and farmers market on campus. 

","Yes, vegetarian options are available at every meal period and at every dining location. There are many vegan and vegetarians choices for students around campus. Evgefstos in the University Center offers strictly vegan and vegetarian Mediterranean inspired dishes for lunch and dinner. Schatz Dining Room always has vegan and vegetarian options available during all student dining periods of breakfast, dinner, and brunch. All other dining locations also offer vegan and vegetarian options. Student Health Services also provides many resources for students who follow a vegetarian or vegan lifestyle.",http://www.cmu.edu/dining/healthyliving/index.html,--,--,--,"

"
Case Western Reserve University,2016-03-25,2016-03-25 15:39:49,stephanie.corbett@case.edu,2.0,Pursuing,66.05,Bon Appetit sources a high percentage of locally and nationally humanely raised animal products. They track each purchase for these criteria and report on them annually. ,True,True,True,"Vegan and vegetarian options are made available at every meal, as required by Bon Appetit company policy.","Vegan and vegetarian options are made available at every meal and often highlighted as a “better choice” via the well being (enhanced nutrition information) program. In addition, various marketing collateral is highlighted on a regular basis that provides information in regards to the connection between food and climate change as part of Bon Appétit’s Low Carbon Diet program.",http://case.cafebonappetit.com/,4949843.44,1254627.58,644606.26,--
Chatham University,2016-02-17,2016-02-17 13:04:55,MWhitney@chatham.edu,2.0,Pursuing,19.0,"Parkhurst Dining Services tracks quarterly and annual expenditures on all products, including animal products. The amount, weight, cost, and additional information are tracked based on overall purchasing of meat products, sustainable meat products purchased, and local products purchased. Spreadsheets were provided by Parkhurst Dining Services to the Office of Sustainability. ",True,True,True,"Chatham has a large vegetarian population, with approximately 20% of the students being vegetarian or vegan. Chatham University offers complete-protein vegan dining options at every meal. The main dining hall has a large salad bar as well as hot vegan food during each meal period.  There is also always a vegetarian soup everyday.   

We also have a vegan/vegetarian focus group that meets with Parkhurst Dining Services to provide feedback on the vegan/vegetarian options available at the dining hall.","Chatham purchases cage-free eggs, hormone-free and antibiotic free meat whenever possible, and also has a strong commitment to purchasing and producing organic food. We also purchase Fair Trade and Rainforest Alliance-certified coffee.",http://my.chatham.edu/departments/getpage.cfm?PageID=209&DeptID=69,956267.57,185916.98,111402.31,--
Clark University,2016-02-24,2016-02-24 15:49:17,jisler@clarku.edu,2.0,Pursuing,55.0,Invoices from vendors in accordance with the Real Food Calculator guidelines.,True,True,True,"A separate area is maintained for vegan food preparation, storage, serving and cleaning. Refrigeration, equipment, utensils and serviceware are all kept separately. In the dining hall, the vegan selections, including those in the separated self-serve area, are clearly identified. All daily menus include a range of vegan options. In the cafe, vegan options are packaged and marked. We have a Kosher kitchen, too!","Every day the regular dining hall and cafe offerings include multiple vegetable or grain based, meat-free, healthy selections. We have an extensive salad bar now, a sushi chef, a bento box, and all grill selections can be made with a veggie burger instead. We are highlighting less-meat Mondays as a healthy and sustainable dining choice.",http://www.clarkdining.com/sustainability.html,--,--,--,--
