Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution held at least one sustainability-related outreach campaign directed at students ...,Has the institution held at least one sustainability-related outreach campaign directed at ...,The name of the campaign (1st campaign),A brief description of the campaign (1st campaign),A brief description of the measured positive impact(s) of the campaign (1st campaign),The website URL where information about the campaign is available (1st campaign),The name of the campaign (2nd campaign),A brief description of the campaign (2nd campaign),A brief description of the measured positive impact(s) of the campaign (2nd campaign),The website URL where information about the campaign is available (2nd campaign),"A brief description of other outreach campaigns, including measured positive impacts",Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:30,mary.lucus@belmont.edu,2.0,Pursuing,True,True,"1) ""Conservation Covenant"" 2) ""Flip It and Win It"", 3) Campaign to get recycling stations throughout campus","On Earth Day 2015, Belmont University launched ""Conservation Covenant,"" a campus-wide sustainability campaign aimed at educating faculty, staff and students on the importance of taking care of that which takes such good care of us. We believe taking care of God's creation is more than a cause -- it's a charge. It's our Covenant. 
","A campus-wide convocation was held to announce the campaign and show a video detailing Belmont's sustainability efforts. Additionally, educational materials were handed out to all faculty and staff to raise awareness. Local, regional and national news pitches were made to share Conservation Covenant with Belmont's community, beyond internal campus. 
",http://www.belmont.edu/green/index.html,"""Flip It and Win It""","Residence halls entered into a competition to see which hall could consume the lowest amount of energy.  All energy usage was measured by total Kilowatt Hour consumption per building as provided by data from Plant Operations. 

A goal was set for each complex to reduce its energy consumption during the two time periods by a total of 20%.

During the campaign, interested parties could view the data via the “Belmont Goes Green” web site. Individuals could also monitor the energy consumption for each individual residential facility.

The program has become an annual event known as the “Sustain-a-Bowl.”

An additional campaign (3) was held to get recycling stations throughout campus",This year’s winner reduced their energy usage by nearly 23% from the year before and a 9% decrease across campus.  ,https://my.belmont.edu/group/residence-life/sustainability,,--
Beloit College,2016-03-23,2016-03-23 13:47:37,chapmanlr@beloit.edu,2.0,Pursuing,True,True,"Recycling Competition, Residential Spaces","Each fall the Office of Sustainability puts on a 3-week long Recycling Competition.  All residence hall floors and special interest houses compete to see who can produce the ""cleanest"" recycling and trash streams.  Volunteer recycling judges receive training on what can and cannot be recycled.  They then go and sift through recycling and trash bins.  Each floor/house is docked points based on the number of trash items in the recycling bins and number of recycling items in the trash bins.  The floor or house with the highest percentage after 3 weeks wins a dinner out at a local restaurant with the Sustainability Coordinator.",Better knowledge of what can and cannot be recycled.  At least 20 people with in-depth knowledge about recycling rules at Beloit College who disseminate that information informally to their house/floor mates.,--,Pathways to Sustainability Leadership,"The steering committee for Pathways to Sustainability Leadership holds a call for proposals each year for faculty and staff who propose Sustainability Citizen Courses and Sustainability Leaders Teams.  Proposals are sought for modifications to existing courses or new courses and for mentoring student teams during both summer and academic year terms.

The aims of Pathways to Sustainability Leadership include:
1) embedding sustainability in the liberal learning of our students;
2) preparing our graduates to exercise environmental leadership in their careers through the development of expertise and individual capacity for action around sustainability;
3) linking learning opportunities—including those associated with campus operations, residential living, and the greater Beloit community—with the creation and implementation of solutions in pressing areas of sustainability; and
4) through this synergy, promoting an intentional long-term approach to sustainable living more broadly and deeply among our students, faculty, staff, alumni, and the larger community.","During the 2014-15 academic year, the steering committee funded four Sustainability Citizen courses, which impacted over 80 students and 4 faculty.  The Program provides faculty with a stipend and course funding to pursue deeper research of a topic and how it intersects with their current course offerings.  Traditionally, the course modifications tend to remain in the course curriculum, so that once a course has been taught with sustainability facets, it remains that way for several years.
During the 2014-15 academic year, the steering committee also funded five Sustainability Leader Teams, each ranging from 1-3 staff and/or faculty members mentoring 3-4 students on a team.  Topics ranged from poster-reduction initiatives to multiple years of Earth Week planning to developing grant opportunities for future collaborative work grounded in sustainability.  Each of the team's outcomes has had lasting impacts past their team's tenure.",https://www.beloit.edu/sustainability/pathways/,,--
Bentley University,2016-03-25,2016-03-25 16:00:48,nberland@bentley.edu,2.0,Pursuing,True,True,The Blackout Challenge,"This is a month-long competition among all residence halls to reduce energy consumption compared to their building's own baseline. The baseline is calculated as a weekly average based on each building's electricity usage in the month prior to the Challenge. For instance, the baseline for October's Blackout Challenge is calculated as an average of two weeks of September's usage. While efficiency upgrades reduce energy consumption in one building without any effort on the students' part, we control for these differences in infrastructure by comparing the reductions to the building's own baseline in the same year. The baseline calculation also allows us to control for the number of occupants or the percentage occupancy in each building, since electricity is not compared on a per-capita basis or as a percentage of the campus's total usage.","The main goal of the Blackout Challenge is to create behavioral change once students appreciate how their activities are affecting their building's energy consumption. For example, leaving your TV on, your laptop and cell phone chargers plugged in, and your A/C on with moderate weather all waste energy unnecessarily. Our hope is that the Blackout Challenge gets students thinking about reasonable usage by getting into the habit of turning lights & electronics off when they are not in use, opening windows instead of turning on HVAC units, etc. Additionally, the savings from reducing energy consumption go back to students through annual building renovations and improvements.",http://www.bentley.edu/offices/sustainability/blackout-challenge,Single-stream recycling,"The Office of Sustainability created a major outreach campaign to educate students, faculty and staff on the university's single-stream recycling program.  The education campaign has included: training for freshmen at orientation and First Week, training of RAs who then disseminate information to their residents, provision of recycling information to each residential room on campus via RAs, use of Facebook and Twitter, work by Eco-Reps to educate their peers about recycling in residence halls and dining areas, lunch & learn meetings set up with campus departments to educate faculty and staff on the recycling program.",This campaign has resulted in an increase of recycling equal to 3 tons per month over a two year period.,http://www.bentley.edu/offices/sustainability/single-stream-recycling,"The Office of Sustainability launched ""leak week."" A week long campaign about water conservation. The campaign included signs, social media and a contest to report leaks across campus. ",--
Berea College,2016-02-29,2016-02-29 10:22:41,paulyj@berea.edu,2.0,Pursuing,True,--,Recyclemania 2014/15,"The Recyclemania event for 2014/15 was sponsored by the Office of Sustainability in partnership with Facilities-Recycling and Residential Life, to improve recycling results on campus.  A volunteer EcoChallenge committee made up of students developed and disseminated educational material to encourage more focus on recycling and waste reduction.","Over the course of the 10 week event, per capita recycling increased from 2.35 pounds per capita to over 4 pounds per capita. The College finished 1st in Kentucky in the per capita competition.",https://www.facebook.com/bereacollegesustainability/posts/899594890080678,Campus Conservation Nationals,"Campus Conservation Nationals (CCN) is a national competition that focuses on reducing water and energy consumption during a three week period. This period overlaps with the RecycleMania competition period, so Berea College combined the two to create the Eco-Challenge competition.
A baseline figure of energy and water consumption in each residence hall is calculated in the two weeks leading up to CCN. This number is then compared to the data from the three weeks of the competition to determine which campus reduces their overall amount of energy consumption the most.
In 2014, Berea College ranked in the top ten of the national competition for energy reduction.","Berea College placed in the top 10 nationally, 1st in Kentucky, and increased awareness on campus for the sustainability efforts put on by the Office of Sustainability",https://www.berea.edu/sustainability/competitions/campus-conservation-nationals/,,--
Binghamton University,2016-03-20,2016-03-20 17:32:56,sdejohn@binghamton.edu,2.0,Pursuing,True,True,"Bike Sharing, RecycleMania","The Binghamton Bike Share is a student-run program that provides bikes to students and faculty at Binghamton University.  The program aims to reduce automobile traffic on campus by allowing users to ride from the commuter lots and residence halls to other areas around campus quickly and efficiently.

In the near future, automated hub system will be installed on campus which will allow registered users to borrow bikes and ride them around the campus and community. 
","The pilot Bike Share program was launched November 1, 2013 and had over 160 hours of use and 40 unique users in its first month. The University is hoping to expand this program by connecting the campus and community with a pedestrian and bike trail and expanding the system to the city of Binghamton.

",https://www.facebook.com/BinghamtonUniversityBikeShare,RecycleMania,"RecycleMania is a friendly competition and bench-marking tool for college and university recycling programs to promote waste reduction activities to their campus communities. Over an 8-week period each spring, colleges across the United States and Canada report the amount of recycling and trash collected each week and are in turn ranked in various categories based on who recycles the most on a per capita basis, as well as which schools have the best recycling rate as a percentage of total waste and which schools generate the least amount of combined trash and recycling.  With each week’s updated ranking, participating schools follow their performance against other colleges and use the results to rally their campus to reduce and recycle more.","The recycling rate on campus increased ~3 percentage points during the recycling competition. The difference in recycling due to the RecycleMania competition resulted in a 3 ton increase of recycled items, during the competition.
RecycleMania motivates the entire campus to participate in recycling efforts.  We have seen improved waste reduction rates from 25% to 29% from FY11-12 to FY12-13.",http://www2.binghamton.edu/sustainability/campus-initiatives/waste-minimization-recycling.html,,--
Boston University,2016-03-03,2016-03-03 13:42:17,carlberg@bu.edu,2.0,Pursuing,True,True,Join the Challenge,"Boston University created “Join the Challenge” to engage all students, faculty, staff, and alumni in a competition to reduce their environmental footprints. Join the Challenge is a friendly competition among the schools and colleges on campus through carbonrally.com, which provides the carbon footprint metrics, calculates per-capita totals for each school or college’s CO2 reductions, and determines the winner. ","Through ""Join the Challenge"" we have been able to engage over 16,504 participants in the BU community in behavioral change activities. The campaign is open to all members of the community who can accept as many challenges as they want in order to reduce their carbon footprint. Since BU launched Join the Challenge in 2010, carbonrally estimates that collectively through our sustainable actions, we have reduced our CO2 emissions by 371.4 tons. (updated 09/15/15)

http://www.carbonrally.com/leagues/boston-university",http://www.bu.edu/sustainability/what-you-can-do/join-the-challenge/,--,,,--,,--
Bowdoin College,2016-02-25,2016-02-25 17:01:17,cpayson@bowdoin.edu,2.0,Pursuing,True,True,Energy Conservation Challenge 2014,"Every year since 2001, Bowdoin residence halls have competed in an Energy Saving Dorm Competition. This occurs throughout the month of October, where students compete to win prizes for saving more energy than the other buildings in their building category. Bowdoin’s Building Dashboard monitors electricity use for 51 buildings on campus and allows you to track your progress against your competition.","From October 1st to the 31st, Bowdoin College saved 1,227 kilowatt-hours and averted 948 pounds of carbon dioxide. ",http://www.bowdoin.edu/sustainability/get-involved/oct-energy-competition.shtml,Bowdoin-Colby Energy Challenge 2015,"In April 2015, Bowdoin and Colby teamed up to create the first annual Bowdoin
 v. Colby Energy Dorm Competition. Similar to the campus-wide Energy
 Competition which Bowdoin has competed in every October since 2001, 
this competition focuses on decreasing energy use in residence halls on 
campus and directly competing with our rival, the Colby Mules. This 
competition tracks the energy use of 21 Bowdoin dorms and 21 Colby dorms
 to see which school is able to reduce their energy consumption the most
 over the 3 week competition period.","Over the 3 week period, Bowdoin and Colby combined saved 22,448 kilowatt-hours and diverted 17,329 pounds of carbon dioxide. Bowdoin ultimately won the competition with an 8.6% decrease from the baseline data. Colby had a 7% decrease. ",http://www.bowdoin.edu/sustainability/get-involved/energy-dorm-competition.shtml,"Bowdoin has been involved in an outreach campaign focused on the college's commitment to be ""carbon neutral by 2020"" since the plan was established in 2009. Bowdoin's greenhouse gas emissions (GHG) in FY 2015 were 14,477 metric tons of carbon dioxide equivalent (CO2e), which is 24% lower than the FY 2008 baseline total of 19,153 metric tons. Own-source emissions for FY 2015 were 2,847 metric tons CO2e, or 17%, lower than the 2008 baseline. ",--
Brown University,2016-03-23,2016-03-23 07:28:43,Ginger_Gritzo@Brown.edu,2.0,Pursuing,True,True,Brown Unplugged,To raise awareness about energy conservation and to get students living in dorms to reduce their energy use.  ,"Over 17,600 lbs of CO2  & $2,140 saved.
About 16,500kWh saved

",https://www.brown.edu/initiatives/brown-is-green/sites/brown.edu.initiatives.brown-is-green/files/uploads/Sustainability%20Report%202015%20FINAL.pdf,Facilities Management Organics Diversion,Implement organics diversion at FM.  Included intensive outreach campaign,About 50 gallons of organics diverted per month.,--,,--
Bryant University,2015-08-19,2015-08-19 14:50:47,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:43,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:12:04,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:55,dan.wakelee@csuci.edu,2.0,Pursuing,True,--,Conserve CI,"
Senior capstone students of California State University Channel Islands held a campaign through Instagram to encourage students to decrease on campus water usage. They did so by artwork, social media and outreach. Art work was posted through out campus on green screens and given to nearby residents. ",The senior Art students announced challenges expanding from keeping track of shower time logs to helpful tips on lowering water consumption. Winners were given prizes according to the challenges.  ,https://www.instagram.com/conserve_ci/,Recycle to Win ,"A group of art students created a campaign called Recycle to Win that encouraged proper recycling habits. Artwork was strategically placed to advertise tabling events where students could drop off recyclable items for tickets. 
","Tabling was placed by the Student Union Building where students could drop off recyclable items for a chance to to be in a raffle. The winners were announced at our Earth Day event. Three winners were selected and received gift cards to our on campus Bookstore. 
",http://www.csuci.edu/sustainability,,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:39,mmoscol@fullerton.edu,2.0,Pursuing,True,--,Take Back the Tap! Campaign,"Over the course of one (1) month, students collected plastic water bottles from the on-campus student residence halls.  Building a display with the collected plastic bottles, the students demonstrated the amount of waste produced by their fellow students to advocate for a campus ban of plastic water bottles.  Further, they were asking for water refill stations to be installed throughout the campus to promote use of reusable beverage containers.

The students demonstrated the plastic bottle display next to their ""taste test"" station of bottled water vs. tap water at the campus' 5th Annual Earth Week events.","Facilities Operations conducted an inventory of all drinking fountain locations and status of physical condition, to establish a priority retrofit list of units to be replaced with water bottle refill units.  

Within the approximately 12 months since the refill station roll-out program, over 100,000 plastic water bottles have been reduced from reaching the landfill, which amounts to approximately 1.5 tons of plastic bottles.",http://news.fullerton.edu/2014sp/Take-Back-the-Tap.asp,"""Brown is the New Green"" (landscaping water-reduction campaign)","The ""Brown is the New Green"" student campaign was in response to the California Governor's call to reduce landscaping water by 20%.  The ASI Committee on Environmental Sustainability initiated the campaign at the end of a long summer drought in the region.  The Committee requested that landscaping irrigation be turned off around the Titan Student Union (TSU) and the Student Recreation Center (SRC) building footprints.","The TSU and SRC ""Brown is the New Green"" student campaign had a measured impact of increased awareness of the recent drought, landscaping and irrigation campus water-reduction measures, and overall water resource awareness with both employees and students.  As a part of this campaign, the Governor's Office released an Executive Order on April 1, 2015 mandating reduction of all water usage by approximately 20%, which the campus is incorporating into its water reduction strategies for 2015.",http://news.fullerton.edu/2015sp/Water-District-Presentations.asp,,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:44,austin.eriksson@csun.edu,2.0,Pursuing,True,True,Think before you print.,"The University has purchased 94 printers purchased for every lab and the library. The new features include: Limited free printing and then there is a charge for excess. Default system to duplex, must select single sided. Branding for printing. ""Think before you print."" USU has moved over to duplex printing in student printing labs.","CSUNs campaign has saved 2,665,320 pages of paper in one year due to this specific program. 
•	Discarded pages – these represent pages that would have been printed but the student deleted from the system.
340,334 Pages Saved

•	Expired pages – these represent pages that would have been printed, but were automatically deleted by the system, because the student did not print them within (4) four hours.  This is essentially the same as discarded pages, but the student did not take the step to delete it from the system, instead they let the system delete it for them. 496,932 Pages Saved

•	Duplex printed – these are the number of pages that were printed as duplexed in the system.
1,828,054 Pages Saved

",http://www.csun.edu/lab-printing/think-before-you-print,Sustainable Office Program,"In an effort to make CSUN a more ""environmentally-friendly"" campus, the Sustainable Office Program provides information and resources for improving sustainability in the office setting. This program is ran through the Associated Students on campus and is staffed entirely by students with staff guidance. These students evaluate current office practices and make recommendations on how they can improve their sustainability efforts. The participating offices are ranked on a scale similar LEED (Silver, Gold and Platinum). After the initial visit, an office can request a follow up visit to show their progress and hopefully improve their ranking.","The SOP has completed the following:
•         Total # of Assessments completed: 64
•         Number of reassessments: 4
•         Departments waiting for evaluation: 11",http://www.csun.edu/as/recycling/sustainable-office-program,,--
