Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of employees,"Number of staff and faculty covered by sustainable compensation standards, guidelines, or policies; ...",Does the institution have employees of contractors working on-site as part of regular and ongoing ...,Number of employees of contractors working on campus,"Number of employees of contractors covered by sustainable compensation standards, guidelines, or ...","A brief description of the sustainable compensation standards, guidelines, or policies; and/or ...",Does the institution wish to pursue Part 2 of this credit (assessing employee compensation)?,Number of staff and faculty that receive sustainable compensation,Number of employees of contractors that receive sustainable compensation,A brief description of the standard(s) against which compensation was assessed,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,The local legal minimum hourly wage for regular employees,"Does the institution have an on-site child care facility, partner with a local facility, and/or ...",Does the institution offer a socially responsible investment option for retirement plans?,The website URL where information about the institution’s sustainable compensation policies and ...,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:12,mary.lucus@belmont.edu,2.0,Pursuing,1375.0,1375.0,True,170.0,170.0,"Belmont University seeks to attract and retain highly qualified staff and faculty who will share our values and will support our mission and vision.  To reward its staff and faculty, Belmont uses compensation systems that are fair and equitable, and comply with all local, state and federal regulations.   As described in its Vision 2015 document, “Belmont employees will be fully engaged in challenging and demanding work and will share in the financial success of the university as salaries meet and exceed peers.  Compensation will increasingly be tied to performance excellence.”",True,1375.0,170.0,"Belmont University seeks to attract and retain highly qualified staff and faculty who will share our values and will support our mission and vision.  To reward its staff and faculty, Belmont uses compensation systems that are fair and equitable, and comply with all local, state and federal regulations.   As described in its Vision 2015 document, “Belmont employees will be fully engaged in challenging and demanding work and will share in the financial success of the university as salaries meet and exceed peers.  Compensation will increasingly be tied to performance excellence.”","All full-time Belmont employees make a minimum of $12.42 per hour and the starting salary for Sodexo full-time contractors is $12.25 per hour. These are well above the Davidson County (Nashville, TN) living wage of $9.51","All full-time Belmont employees make a minimum of $12.42 per hour and the starting salary for Sodexo full-time contractors is $12.25 per hour. These are well above the Davidson County (Nashville, TN) living wage of $9.51","All full-time Belmont employees make a minimum of $12.42 per hour and the starting salary for Sodexo full-time contractors is $12.25 per hour. These are well above the Davidson County (Nashville, TN) living wage of $9.51","All full-time Belmont employees make a minimum of $12.42 per hour and the starting salary for Sodexo full-time contractors is $12.25 per hour. These are well above the Davidson County (Nashville, TN) living wage of $9.51","All full-time Belmont employees make a minimum of $12.42 per hour and the starting salary for Sodexo full-time contractors is $12.25 per hour. These are well above the Davidson County (Nashville, TN) living wage of $9.51",9.51,--,True,http://www.belmont.edu/compensation,--
Beloit College,2016-03-23,2016-03-23 13:45:49,chapmanlr@beloit.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bentley University,2016-03-25,2016-03-25 15:58:56,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:22,paulyj@berea.edu,2.0,Pursuing,706.0,706.0,--,--,--,Paid based on experience,--,--,--,,,,,,,--,True,True,http://www.berea.edu/peopleservices/employeehandbook/sacp/default.asp,--
Binghamton University,2016-03-20,2016-03-20 17:32:39,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:41:58,carlberg@bu.edu,2.0,Pursuing,9978.0,9307.0,True,575.0,60.0,"The contractor evaluates their wages on an regular basis and provides for an annual merit increase, based on performance.",True,9307.0,--,Wages are compared annually to salary survey data for like positions in the the greater Boston area.,"BU regular full-time employees are provided the opportunity to be included in Health, Dental, group Life, 403B, LTD, Health Savings Account Eye Care, and tuition remission.","Where eligible based on percent time and hours worked, BU part-time employees are provided the opportunity to be included in Health, Dental, group Life, 403B, LTD, Health Savings Accounts, Eye Care and tuition remission","Temporary employees are allowed, where required by law, to participate in the Retirement plan.","Temporary employees are allowed, where required by law, to participate in the Retirement plan.",Student employees are not provided any benfits,9.0,True,True,http://www.cityofboston.gov/jcs/liv_wage_ord.asp,--
Bowdoin College,2016-02-25,2016-02-25 17:00:58,cpayson@bowdoin.edu,2.0,Pursuing,985.0,985.0,--,--,--,"Salaries and wages are reviewed regularly by HR to assure both internal and external market equity for all employees (e.g., Facilities Management housekeepers, and groundskeepers, Dining Services cooks and production assistants, etc.).",True,985.0,--,Regular review of compensation bands and salary/wage information to assure internal and external equity and competitiveness.," $10.00/hr Benefits-eligible employees may elect:  Health, dental, and vision insurance; health savings accounts; health reimbursement accounts (for employees with annual salary less than $43,000); medical and dependent care flexible spending accounts; short- and long-term disability insurance; basic and supplemental life insurance; 403(b) retirement accounts and with one (1) year of service (after attaining the age of 26) enrollment in the College’s  401(a) retirement plan; scholarship program for dependents of employees with 7 years of service; and the employee college tuition assistance program."," $10.00/hr Benefits-eligible employees may elect:  Health, dental, and vision insurance; health savings accounts; health reimbursement accounts (for employees with annual salary less than $43,000); medical and dependent care flexible spending accounts; short- and long-term disability insurance; basic and supplemental life insurance; 403(b) retirement accounts and with one (1) year of service (after attaining the age of 26) enrollment in the College’s  401(a) retirement plan; scholarship program for dependents of employees with 7 years of service; and the employee college tuition assistance program.", $7.50/hour No benefits are provided.,Varies too widely to include here., $7.75/hour No benefits are provided.,7.5,True,True,https://www.bowdoin.edu/hr/handbook/,--
Brown University,2016-03-23,2016-03-23 07:26:51,Ginger_Gritzo@Brown.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:28,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:25,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:47,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:38,dan.wakelee@csuci.edu,2.0,Pursuing,1075.0,1075.0,True,100.0,100.0,"Employees of the California State University system (including CSU Channel Islands) are covered under several collective bargaining agreements.  

Those agreements are available at http://www.calstate.edu/LaborRel/Contracts_HTML/current_cba.shtml.

Employees of the University Glen Corporation (CI's auxiliary) are not part of those collective bargaining agreements but are paid according to the same salary schedules. ",--,--,--,,,,,,,--,--,True,http://www.csuci.edu/sustainability/stars/human-resources/sustainable-compensation.htm,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:21,mmoscol@fullerton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:26,austin.eriksson@csun.edu,2.0,Pursuing,4219.0,4219.0,--,--,--,We are one of 23 campuses in a systemwide entity.  Most of our employees (except Management Personnel Plan and non-represented employees) are covered under a collective bargaining agreement which ensures sustainable wages.  The salary schedule is set by the CSU Chancellor’s Office in negotiation with the unions and applied to all 23 campuses,True,4219.0,--,"The CSU conducts a market analysis.  At the campus level, we also review internal equity.","Competitive wages and benefits include medical, dental, vision, paid time off, retirement plans, fee waiver","Competitive wages and benefits include medical, dental, vision, paid time off, retirement plans, fee waiver. With part-time employees wages and paid time off would be on a prorated basis","Competitive wages and benefits include medical, dental, vision, paid time off, retirement plans, fee waiver. With temporary employees benefits applied would be dependent upon length of temporary appointment.","Competitive wages and benefits include medical, dental, vision, paid time off, retirement plans, fee waiver. With temporary employees benefits applied would be dependent upon length of temporary appointment.","Primarily wages, most would not receive fringe benefits.  However, some of our students (teaching associates) may be eligible for fringe benefits.",9.0,True,True,--,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:04,kristina.cullen@csus.edu,2.0,Pursuing,2874.0,2874.0,True,1186.0,1186.0,"Employees of the California State University system (including CSU Sacramento State) are covered under several collective bargaining agreements.

Those agreements are available at http://www.calstate.edu/LaborRel/Contracts_HTML/current_cba.shtml.

",True,2874.0,1186.0,The California State University system holds rigorous compensation standards to ensure the well being of employees. ,"Employees are paid at least the minimum wage rate in California. Staff with appointment time of more than 6 months are eligible for benefits. Faculty with academic year appointment are eligible for benefits. Lecturer or coaches with 12 month appointment are eligible for benefits.   
Benefits include:
Medical
Dental
Vision
FlexCash
Life Insurance
Long Term Disability Insurance
Dependent Care Reimbursement Account
Health Care Reimbursement Account
Voluntary Benefits Plans
Savings Plus Program
Scholarshare College Savings Plan (California's 529 Plan)
Tax Sheltered Annuity","Employees are paid at least the minimum wage rate in California.
Staff with an appointment with length of more than 6 months and timebase of half-time or more are eligible for benefits.
Instructional Faculty with a 12-month or Academic Year (AY) appointment with length of more than 6 months and minimum 7.5 weighted teaching units are eligible for benefits.
Lecturer or Coach with a 12-month appointment with length of more than 6 months and minimum 7.5 weighted teaching units or AY appointment for minimum of one semester and 6 weighted teaching units are eligible for benefits.
 ",Employees are paid at least the minimum wage rate in California. Temporary employees do not receive benefits. ,"Employees are paid at least the minimum wage rate in California. Faculty with a 12-month or Academic Year appointment with length of more than 6 months and minimum 7.5 weighted teaching units are eligible for benefits. Faculty employed solely to teach summer session, extension, or intersession are not eligible for benefits. ",Employees are paid at least the minimum wage rate in California. Student employees are not eligible for benefits. ,10.0,True,True,http://www.calstate.edu/,--
Calvin College,2016-03-11,2016-03-11 14:31:08,bhaney@calvin.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Carleton College,2016-02-26,2016-02-26 11:19:24,mlarson@carleton.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"For specific information not available on the website, contact Carleton College Human Resources.  This data does not include food service staff who are contracted via Bon Appetit Management Company."
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:03,bk11@andrew.cmu.edu,2.0,Pursuing,5176.0,188.0,--,--,--,"Facilities Management Service workforce are from Local 95, International Union of Operating Engineers Pittsburgh, PA.  ",--,--,--,,,,,,,--,True,True,http://www.cmu.edu/hr/benefits/index.html,"There is no sustainable compensation policy at Carnegie Mellon. Since contractors are not paid through the Carnegie Mellon University's payroll system, they would be excluded, in case such policy existed."
Case Western Reserve University,2016-03-25,2016-03-25 15:39:36,stephanie.corbett@case.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Chatham University,2016-02-17,2016-02-17 13:04:51,MWhitney@chatham.edu,2.0,Pursuing,551.0,328.0,True,49.0,40.0,"We benchmark salaries and benefits against other similar institutions (size, region, and type of institution). We also refer to the MIT Living Wage Calculator for Allegheny County. ",True,328.0,--,"We compare our salaries to similar institution's, a cohort of Master's institutions in Pennsylvania, and small private colleges in the Pittsburgh area. ","We provide generous benefit plans to this employee group. We cover 86% of the premium cost for single health coverage and 80% for family coverage. The retirement plan offers a generous match: 10% on a 5% employee contribution. All wages are above the living wage for Allegheny County and above all small colleges in the Pittsburgh area. All Chatham employees may take classes for any degree at no charge, which is also available to children of an employee. ","Wages are above all small colleges and Allegheny County's living wage. We do not provide benefits for part time employees. All Chatham employees may take classes for any degree at no charge, which is also available to children of an employee. ","Adjuncts are paid per credit and higher than other regional institutions (Duquense University, Point Park University, Robert Morris University, La Roche College, Carlow University). Adjuncts are not offered benefits from the university. All Chatham employees may take classes for any degree at no charge, which is also available to children of an employee. ",See box above ,"Undergraduate students are all paid the same wage at $8.00/hour, and graduate students are all paid $10.00/hour. The number of hours available to a student is based on the need of the department and the student's aid package. ",7.25,--,True,--,"Chatham counts living wage based on a single person without children. 

For retirement plans, the university offers PFA-Sustainability Fund and the Social Choice Fund. "
Clark University,2016-02-24,2016-02-24 15:49:13,jisler@clarku.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
