Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have any building space certified under the following green building rating ...,Does the institution have any building space certified under LEED for Existing Buildings or another ...,"Does the institution have any building space certified under the DGNB system, Green Star ...","Does the institution have any building space certified under BREEAM-In Use, CASBEE for Existing ...",Does the institution have any building space certified under other non-GBC rating systems (e.g. ...,A brief description of the green building rating system(s) used and/or a list or sample of ...,Total floor area of eligible building space (operations and maintenance),Floor area of building space that is certified at each level under a 4-tier rating system for ...,Floor area that is certified at minimum level under a 4-tier GBC rating system for existing ...,Floor area that is certified at the 3rd highest level under a 4-tier GBC rating system for existing ...,Floor area that is certified at the 2nd highest level under a 4-tier GBC rating system for existing ...,Floor area that is certified at the highest achievable level under a 4-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 3-tier rating system for ...,Floor area that is certified at minimum level under a 3-tier GBC rating system for existing ...,Floor area that is certified at mid-level under a 3-tier GBC rating system for existing buildings,Floor area that is certified at the highest achievable level under a 3-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 5-tier rating system for ...,Floor area that is certified at minimum level under a 5-tier GBC rating system for existing ...,Floor area that is certified at the 4th highest level under a 5-tier GBC rating system for existing ...,Floor area that is certified at mid-level under a 5-tier GBC rating system for existing buildings,Floor area that is certified at the 2nd highest level under a 5-tier GBC rating system for existing ...,Floor area that is certified at the highest achievable level under a 5-tier GBC rating system for ...,Floor area of building space that is certified at any level under other green building rating ...,Floor area of building space that is maintained in accordance with formally adopted sustainable ...,A copy of the sustainable building operations and maintenance guidelines or policies,The date the guidelines or policies were formally adopted,A brief description of the sustainable building operations and maintenance program and/or a list or ...,A brief description of how the institution ensures compliance with sustainable building operation ...,The website URL where information about the institution’s certified buildings and/or sustainable ...,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:06,mary.lucus@belmont.edu,2.0,Pursuing,**,--,--,--,--,,2007676.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,2007676.0,http://stars.aashe.org/media/secure/494/6/474/2700/Sustainable%20Practices%20in%20Existing%20Buildings%202016.docx,2015-06-01,"Incremental retrofitting of lighting to LED is underway.
Expansion of Building Automation System for HVAC and lighting controls is ongoing.
Retrofitting of existing buildings is underway to reduce carbon footprint.  In the past year, the Massey Business Center was retrofitted with high efficiency boilers and LED lighting. 
Recycling efforts have been redoubled by adding partitioned compactors in two buildings.
Composting of green waste continues on a lot separate for the campus.","Continuous quality management and monitoring of utilities consumption is underway.  Tracking of waste management efforts monthly is a continuing process.
Conversion to clear bags for recycled trash and black for landfill allows for a quick check on compliance with recycling efforts.
",http://www.belmont.edu/green/index.html,--
Beloit College,2016-03-23,2016-03-23 13:45:21,chapmanlr@beloit.edu,2.0,Pursuing,**,True,--,--,--,"LEED, or Leadership in Energy & Environmental Design, is a green building certification program that recognizes best-in-class building strategies and practices. To receive LEED certification, building projects satisfy prerequisites and earn points to achieve different levels of certification. Prerequisites and credits differ for each rating system, and teams choose the best fit for their project.",1104225.0,**,--,--,--,117000.0,**,--,--,--,**,--,--,--,--,--,--,--,,--,,,--,--
Bentley University,2016-03-25,2016-03-25 15:58:30,nberland@bentley.edu,2.0,Pursuing,**,--,--,--,--,n/a,1847947.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,n/a,These buildings are managed with our temperature policy and kept within 68-73 degrees.  There is a rigorous program of preventative maintenance that ensures the building operates as efficiently as possible.,--,--
Berea College,2016-02-29,2016-02-29 10:22:16,paulyj@berea.edu,2.0,Pursuing,**,--,--,--,--,"USGBC LEED and Living Building Petal Recognition

Deep Green Residence Hall:  LEED Platinum and Living Building Petal Recognition (Site, Health, Materials, and Beauty Petals.)
Ana Smith Residence Hall:  LEED Gold
Dana Residence Hall:  LEED Gold
Boone Tavern Historic Hotel:  LEED Gold
Knapp Hall (Education Department):  LEED Gold
Lincoln Hall (Historic Site):  LEED Silver (first LEED building in Kentucky)",92461.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,2002-01-01,"Since 1996, Berea College has renovated and retrofitted campus buildings in need of attention with a special focus on ecological design and green building techniques.  As part of its ongoing captial improvements, Berea adopted a set of Ecological Renovation Standards in 2002 to formalize the ecological approach to past and future renovations.  Thus, the College strives to achieve minimum LEED-gold criteria for all campus renovations.  Over more than a decade, Berea has completed more than $124 million worth of renovations with numerous green building and energy-efficient features.
https://www.berea.edu/sustainability/campus-culture/ecological-renovations-at-berea-college/","The Ecological Standards were adopted by institution leadership.  All major new construction and renovation projects are presented to internal leadership and the board for budget approval with these standards, with the ultimate compliance awarded through third party certification.",https://www.berea.edu/sustainability/campus-culture/ecological-renovations-at-berea-college/,"To date, Berea College has focused on LEED and Living Building Petal Recognition for New Construction and Living Building Petal Recognition:

Deep Green Residence Hall:  LEED Platinum and Living Building Petal Recognition (Site, Health, Materials, and Beauty Petals.)
Ana Smith Residence Hall:  LEED Gold
Dana Residence Hall:  LEED Gold
Boone Tavern Historic Hotel:  LEED Gold
Knapp Hall (Education Department):  LEED Gold
Lincoln Hall (Historic Site):  LEED Silver (first LEED building in Kentucky)"
Binghamton University,2016-03-20,2016-03-20 17:32:34,sdejohn@binghamton.edu,2.0,Pursuing,**,--,--,--,--,"Even though Binghamton University implements many of the qualified green building O&M strategies, we have not actively pursue green building certification for EXISTING buildings.",6403584.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,6403584.0,http://stars.aashe.org/media/secure/663/6/474/2700/New%20York%20State%20Environmental%20and%20Sustainability%20Program_1.docx,2001-06-10,"Binghamton University, as part of the State University of New York (SUNY), is required to comply with governor's executive orders and participate in environmental and sustainability programs established by the program administrator - Office of General Services (OGS). All buildings on and off campus are operated and maintained following these orders / guidelines.","Annual EO4 / EO18 compliance reports are used to monitor the progress on green cleaning practices, green purchases, recycling / composting, and energy / water conservation. This report is collected by the program  administrator, OGS. Additionally Governor Cuomo's Executive Order 88 requires 20% reduction of Energy Usage Intensity on state buildings greater than 100,000 square feet by 2020, as compared to 2010-11 budget year baseline. The progress of this program is monitored by New York Power Authority.",http://www.ogs.ny.gov/BU/BA/,Please see attached file for a list of programs that direct the operations and maintenance of Binghamton University's buildings.
Boston University,2016-03-03,2016-03-03 13:41:53,carlberg@bu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bowdoin College,2016-02-25,2016-02-25 17:00:53,cpayson@bowdoin.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Brown University,2016-03-23,2016-03-23 07:26:24,Ginger_Gritzo@Brown.edu,2.0,Pursuing,**,True,--,--,--,"As Brown University constructs, rebuilds or expands its infrastructure, Facilities Management’s Design
& Construction Office are required to limit greenhouse gas emissions by reducing energy consumption
for all newly constructed facilities to at least 25 percent with a goal of 50 percent below the standard
required by state code.
New construction will, at a minimum, meet a silver standard in U.S. Green Building Council LEED®
certification program. The standards of LEED® certification are silver, gold, and platinum.
Categories in which points are earned are sustainable sites, water efficiency, energy and atmosphere,
materials and resources, indoor environmental quality, and innovation and design. ",6745555.0,**,--,168000.0,645879.0,--,**,--,--,--,**,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/492/6/474/2700/Brown%20Energy%20and%20Environmental%20Advisory%20Commitee%20Policy%20Recommendations_10_09_,2008-01-04,See attached,See attached,--,--
Bryant University,2015-08-19,2015-08-19 14:50:23,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:19,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:41,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:33,dan.wakelee@csuci.edu,2.0,Pursuing,**,--,--,--,--,,1124410.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,1084058.0,http://stars.aashe.org/media/secure/207/6/474/2700/EO-9871.pdf,2006-08-02,"CI follows the 2010 California Green Building Standards Code (CAL Green), requiring all new buildings reduce water consumption, employ building commissioning to increase building system efficiencies, divert construction waste from landfills, and install low pollutant emitting finish materials. CAL Green’s mandatory measures establish a minimum for green construction practices, and incorporate environmentally responsible buildings into the everyday fabric of California cities without significantly driving up construction costs in a slow economy.","California State University Channel Islands (CI) follows the CSU Office of the Chancellor's Executive Order Number 987, which encourages campuses to continue to adopt an integrated design approach that includes sustainable materials and practices. It also requires new goals for energy conservation, and the purchase and generation of renewable power. ",http://www.calstate.edu/eo/EO-987.html,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:16,mmoscol@fullerton.edu,2.0,Pursuing,**,--,--,--,--,,3460299.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/60/6/474/2700/OP3%20Upload%20JointMeeting-CPBG-ED%20Sustainability%20Policy.pdf,2014-05-20,"The California State University System formally adopted a Sustainability Policy addressing multiple facets of sustainability on campus including energy consumption, building level energy metering, usage of environmentally preferable materials, and water consumption. However, there are not currently provisions for site impact, indoor environmental quality, or building-level water metering. 
","The Board of Trustees has been a proponent of energy conservation and other sustainability measures and has had established policies since 1978. This proposed revised policy is broader than prior policies and more inclusive of all areas of the university community. This policy aims not only to reduce the university's impact on the environment and educate our students, faculty, and staff on sustainable practices, but also to incorporate sustainability principles and climate science in our educational offerings. 

Categories addressed include energy independence and procurement,  energy conservation, climate action, water conservation, waste management, procurement, sustainable food service, sustainable building practices, and physical plant management.  ",http://www.calstate.edu/cpdc/sustainability/policies-reports/documents/JointMeeting-CPBG-ED.pdf,"Eligible building area does not include Arboretum, Dessert Studies, Grand Central, Garden Grove, Irvine Campus, or the Presidential Residence. Eligible building area does not include buildings under 1000 square feet. Eligible building area does not include parking structures or other buildings without 1 FTE (Titan Stadium concession). Eligible building area does not include the Marriott Hotel and Conference Center. Eligible building area does not yet include College Park West. Eligible building area does not include temporary buildings, such as EHS, Military Science, and P&T, but does include Corporation Yard buildings. "
"California State University, Northridge",2016-02-25,2016-02-25 20:34:20,austin.eriksson@csun.edu,2.0,Pursuing,**,--,--,--,--,,4215090.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,,,--,--
