Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total number of vehicles in the institution’s fleet ,Number of vehicles in the institution's fleet that are:,"Gasoline-electric, non-plug-in hybrid vehicles in the institution’s fleet ","Diesel-electric, non-plug-in hybrid vehicles in the institution’s fleet ",Plug-in hybrid vehicles in the institution’s fleet ,100 percent electric vehicles in the institution’s fleet ,Vehicles in the institution's fleet that are fueled with Compressed Natural Gas (CNG),Hydrogen fueled vehicles in the institution’s fleet ,Vehicles in the institution’s fleet that are fueled with B20 or higher biofuel for more than 4 ...,"Vehicles in the institution's fleet fueled with locally produced, low-level (e.g. B5) biofuel for ...",A brief description of the institution’s efforts to support alternative fuel and power technology ...,The website URL where information about the institution's support for alternative fuel and power ...,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:09,mary.lucus@belmont.edu,2.0,Pursuing,23.0,**,4.0,--,--,2.0,--,--,--,--,"As of March 2015, all Security vehicles will be hybrids replacing the previously used gas vehicles.",--,--
Beloit College,2016-03-23,2016-03-23 13:45:33,chapmanlr@beloit.edu,2.0,Pursuing,22.0,**,--,--,--,--,--,--,--,--,,--,--
Bentley University,2016-03-25,2016-03-25 15:58:41,nberland@bentley.edu,2.0,Pursuing,44.0,**,--,--,--,15.0,--,--,--,--,,--,"The all electric vehicles in Bentley's fleet are golf carts that are used by Facilities Management, the Conference Center, IT and systems."
Berea College,2016-02-29,2016-02-29 10:22:19,paulyj@berea.edu,2.0,Pursuing,105.0,**,81.0,--,--,24.0,--,--,--,--,Facility and Security services purchase primarily electric vehicles for campus services. Other fleet services remain to be fully integrated and updated.,--,"The Motor-pool division of Public Safety, has a total of 22 vehicles under its management. We do not have any hybrid cars, but 6 of our vehicles are flex-fuel."
Binghamton University,2016-03-20,2016-03-20 17:32:36,sdejohn@binghamton.edu,2.0,Pursuing,171.0,**,--,--,--,63.0,--,--,--,--,,--,--
Boston University,2016-03-03,2016-03-03 13:41:55,carlberg@bu.edu,2.0,Pursuing,160.0,**,6.0,--,--,--,--,--,--,--,,--,"The BUS has nine vehicles within its fleet for the campus shuttle service, however this fleet is not owned by the University as the University utilizes its vendor, Academy Bus, to provide this shuttle service.
"
Bowdoin College,2016-02-25,2016-02-25 17:00:55,cpayson@bowdoin.edu,2.0,Pursuing,60.0,**,6.0,--,1.0,1.0,--,--,--,--,"The college has four level-2 charging stations available across campus, 2 of which are open for public use.",http://www.bowdoin.edu/sustainability/green-bowdoin/green-transportation.shtml,--
Brown University,2016-03-23,2016-03-23 07:26:35,Ginger_Gritzo@Brown.edu,2.0,Pursuing,126.0,**,1.0,--,--,3.0,--,--,3.0,--,"The University hosts 2 EV Charging stations and will be housing more in 2017.  Current evaluation to ""Green Brown's Fleet"" is expected to be complete in early 2017. ",--,--
Bryant University,2015-08-19,2015-08-19 14:50:26,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,"There are four electric car charging stations on campus! 
"
Bucknell University,2016-01-19,2016-01-19 09:43:22,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:44,nbartlett@cca.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:35,dan.wakelee@csuci.edu,2.0,Pursuing,151.0,**,--,--,--,107.0,--,--,--,--,The institution supports the use of G-oil in its grounds equipment like lawn mowers. ,--,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:18,mmoscol@fullerton.edu,2.0,Pursuing,153.0,**,2.0,--,1.0,57.0,1.0,--,--,--,"Willem van der Pol's (Interim Assistant Vice President of Facilities Operations and Management) goal is to lower our reliance on gas-powered vehicles, because of state mandates to lower tail-pipe emissions and rising fuel costs.",http://facilities.fullerton.edu/subject/auto/Default.asp,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:23,austin.eriksson@csun.edu,2.0,Pursuing,233.0,**,--,--,1.0,136.0,--,--,--,--,"CSUN is committed to reducing its carbon footprint through the signing of the ACUPCC. Vehicles travel (both on campus and commuting) make up a large portion of our total GHG emissions. the following is an excerpt from our Environmentally Preferred Purchasing Policy-
Alternative Fuel/Ultra Efficient Vehicles
- Departments planning to purchase or lease vehicles are to consider and balance need, vehicle duty, fuel type, availability, the CO2 impact of the vehicle and the alternative fuel and/or ultra-efficient standards, and cost. The vehicle selected for purchase or lease should have the lowest CO2 impact (preferably all electric or hybrid), while meeting performance and budgetary constraints.
- CSUN will routinely assess the need for electric vehicle charging stations on campus and develop strategic plans for their location, including incorporating them into new parking lot construction projects or major parking lot renovations as justified.
",--,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:01,kristina.cullen@csus.edu,2.0,Pursuing,253.0,**,--,--,3.0,135.0,10.0,--,1.0,--,All of the newly procured vehicles are either alternative fueled vehicles or are hybrid electric.,http://csus.edu/aba/utaps/,Counts do not include auxiliary-owned vehicles.
Calvin College,2016-03-11,2016-03-11 14:31:06,bhaney@calvin.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--
Carleton College,2016-02-26,2016-02-26 11:19:21,mlarson@carleton.edu,2.0,Pursuing,13.0,**,5.0,--,--,--,--,--,--,--,Five of Carleton's vehicles are gasoline-electric hybrids. We also have seven dual fuel vehicles that use E85 or higher ethanol.,https://apps.carleton.edu/campus/fleet/types/,"Gasoline-electric, non-plug-in hybrid vehicles in the institution's fleet:
Two 2008 Toyota Prius
Two Ford C-Maxs 2013
One 2010 Ford Fusion Hybrid

Vehicles in the institution's fleet that are fueled with E85 or higher ethanol for more than six months of the year:
Six 2008 Dodge Grand Caravan (dual fuel)
One 2010 Dodge Grand Caravan (dual fuel)"
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:00,bk11@andrew.cmu.edu,2.0,Pursuing,108.0,**,--,--,--,30.0,--,--,8.0,--,,http://www.cs.cmu.edu/news/carnegie-mellon%E2%80%99s-electric-garage-adds-tesla-high-power-charger-public-use,--
Case Western Reserve University,2016-03-25,2016-03-25 15:39:20,stephanie.corbett@case.edu,2.0,Pursuing,130.0,**,--,--,--,3.0,1.0,--,--,--,"CWRU's fleet purchasing is decentralized, however several businesses units have taken leadership to pilot alternatively fueled vehicles: the police (low-speed electric vehicle and Segways), ITS (low speed electric vehicle) and the University Farm (CNG shuttle bus).",--,--
Chatham University,2016-02-17,2016-02-17 13:04:48,MWhitney@chatham.edu,2.0,Pursuing,35.0,**,1.0,--,--,8.0,--,--,--,--,"Previously, Chatham's fleet included biodiesel vehicles, but they were found to be less efficient and reliable for our purposes. Chatham always considers alternative fuel vehicles first.  ",https://www.chatham.edu/outreach/sustainability/environment.cfm,--
Clark University,2016-02-24,2016-02-24 15:49:11,jisler@clarku.edu,2.0,Pursuing,22.0,**,--,--,1.0,8.0,--,--,1.0,--,"As vehicles are replaced, the Business Office and Physical Plant consider alternative fuel vehicles. Recent cart purchases have all been electric rather than propane or gas. The new EMS truck is electric, as is the ITS service truck. The new pick up truck for Grounds takes B-20. We don't replace vehicles often (that's the first truck we've bought new in a decade), and we don't have a policy in place, but we are small enough that it is part of how we work together.",--,The electric vehicles are golf carts and an EMS vehicle.
Clarkson University,2016-02-12,2016-02-12 07:37:39,sep@clarkson.edu,2.0,Pursuing,69.0,**,5.0,--,--,1.0,--,--,--,--,"Clarkson's approach to transportation has been designed with gasoline savings in mind. Clarkson has purchased several hybrid vehicles in our fleet, electric golf carts are used by Security & Safety and Facilities & Services during the warmer months, and bicycles are provided for safety personnel use in the summer. Zipcars to provide a car sharing program to reduce the number of vehicles on campus. Charging stations have been installed on campus to encourage the use of electric vehicles.The improvements in sustainable transportation are an ongoing endeavor at Clarkson. Each vehicle purchase is recorded by Facilities, showing that Clarkson has purchased 13 high-efficiency vehicles (including 5 hybrids).",--,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:07,sustain@coastal.edu,2.0,Pursuing,201.0,**,--,--,1.0,51.0,--,--,--,--,,http://www.coastal.edu/safetyandtransportation/transportation/,--
Colby College,2016-01-12,2016-01-12 15:54:06,ksbright@colby.edu,2.0,Pursuing,34.0,**,--,--,1.0,--,--,--,--,--,"With each new vehicle Physical Plant purchase, the Department ensures each new vehicle has better fuel economy and produces less greenhouse gas emissions than its predecessor.  This policy includes the evaluation of alternatively fueled vehicles. Third-party websites are used to compare vehicle models, fuel efficiency, and emissions.",http://www.colby.edu/news/2014/02/06/plug-in-hybrid-joins-ppd-fleet/,--
Colgate University,2016-02-28,2016-02-28 11:21:33,jpumilio@colgate.edu,2.0,Pursuing,90.0,**,2.0,--,--,2.0,--,--,--,--,"In spring of 2014, we installed a level 2 dual arm electric vehicle charging station from ChargePoint.  In 2015, we began replacing our vans with higher efficiency models that will significantly reduce our fuel consumption and greenhouse has emissions.",https://sites.google.com/a/colgate.edu/2011-2015-sustainability-and-climate-action-plan/ground-transportation,--
College of Charleston,2016-02-29,2016-02-29 16:52:45,fisherb@cofc.edu,2.0,Pursuing,84.0,**,52.0,6.0,--,26.0,--,--,--,--,The majority of on-campus maintenance transportation is completed via electric golf cart.,--,--
College of the Atlantic,2016-03-23,2016-03-23 11:13:52,ademeo@coa.edu,2.0,Pursuing,9.0,**,--,--,--,2.0,--,--,1.0,--,"The college purchased a 1992 all-electric passenger van that is used to transport students to and from the colleges' two working farms where the students work as volunteers or through work study. It was purchased under a grant for Beech Hill Farm and is therefore dedicated for farm transportation. It is also used to haul produce to the campus from Beech Hill Farm. The van is maintained by work study students. The college in April 2014 received  an all-electric Ford Focus sedan as a result of our close working relationship with Darling's Ford of Bangor, Maine.  The is vehicle is recharged at the college's on-campus Level 2 charging station, which is directly attached to a solar PV system as well as the grid. Peggy Rockefeller Farms has a 1996 Ford F250 super cab 4X4 diesel pickup truck that is run on a mixture of diesel and biodiesel fuel.  There is an electric car charger at each of the college's two farms and on campus.  All three are tied to a solar pv array. ",http://www.coa.edu/publicationsandpolicies.htm,"We also have a small all-electric kit car that students assembled as a part of an energy class that is used mainly for educational purposes, but could be used to haul supplies and equipment on campus grounds. This was done in partnership with the Seal Cove Auto Museum. This partnership continues to explore ways to incorporate alternative fuel vehicles into the campus and community through education and outreach."
Colorado College,2016-02-29,2016-02-29 16:09:50,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,130.0,**,4.0,--,--,11.0,--,--,14.0,1.0,"Colorado College has led several initiatives to support alternative fuel and power technology in its motorized fleet such as using B20 fuel for all diesel powered vehicles on campus, replacing gas powered golf carts used by maintenance staff with all electric Low Speed Electric Vehicles, replacing older service vehicles with smaller more fuel efficient Ford Transit Connects, and recycling waste oils from college vehicles to use to heat the Transportation Building.  ",--,--
Colorado State University,2015-12-16,2015-12-16 16:39:00,tonie.miyamoto@colostate.edu,2.0,Pursuing,850.0,**,5.0,--,--,20.0,--,--,--,--,CSU has been experimenting with a variety of alternatively fueled vehicles.  One creative project was a partnership with a local entrepreneur to retrofit two of our delivery vehicles with a hydraulic assist to capture braking energy for acceleration on start up.   Unfortunately in many cases they proved to be cost prohibitive.  ,--,--
Columbia University,2016-01-13,2016-01-13 14:27:06,as3215@columbia.edu,2.0,Pursuing,47.0,**,15.0,1.0,--,6.0,--,--,--,--,"Mail continues to replace gasoline powered vehicles with green solutions (3 remaining all gasoline vehicles).
 All Public Safety patrol vehicles are alternative fuel vehicles (hybrids).  Two ambulances used by CU EMS but maintained by Public Safety are diesel powered. Two escort shuttle buses owned and funded through Campus Services but operated by Public Safety daily between 6 PM and 4 AM are powered by gasoline.
",http://environment.columbia.edu/transportation,--
Connecticut College,2016-02-28,2016-02-28 16:32:53,jstoffel@conncoll.edu,2.0,Pursuing,56.0,**,40.0,16.0,--,--,--,--,--,--,"The College is currently exploring the opportunity to install electric car charging stations, which would serve as a first step to obtaining electric vehicles for our fleet.",--,--
Cornell University,2016-03-18,2016-03-18 08:39:29,cma18@cornell.edu,2.0,Pursuing,682.0,**,11.0,--,3.0,2.0,--,--,--,--,"Cornell University along with Tompkins County has received a grant to create an Electric Vehicle Infrastructure Plan for the local area from New York State Energy Research and Development Authority. This will have an impact at Cornell University as well as Tompkins County.

In 2015, Cornell University installed (4) additional level two electric vehicle charging stations. In addition, Cornell was the first university to achieve a Green Certified Garage from the Green Parking Council for the Forest Home Garage in 2015.",https://transportation.fs.cornell.edu/parking/campusparking/ALTFuel.cfm,"The updated data submitted in January 2016 reflects a better count as far as the amount of vehicles owned by Cornell University as a whole, but is still not accurate.  Gary Cremeens from Cornell Transportation is developing a project in 2016 to more accurately develop a working database in conjunction with Agile Fleet Commander (what Cornell uses to manages vehicles) for to account for fuel type and if the vehicle is still operated by Cornell.   There has been no change from 2014 to 2015 as far as hybrid and plugin vehicles.

----- Data below submitted in 2014 or 2015-----
This data is only for vehicles owned by Cornell Fleet Services.  Currently, we do not have information for all university-owned vehicles.  We are working on collecting this data into our fleet management system. Cornell University owns approximately 1,300 vehicles and only about 12% are Cornell fleet vehicles.


This year (2014) Cornell Fleet Services replaced a few mid-sized sedans and subcompacts with 13 Toyota Camrys and 8 Toyota Corollas with Partial Zero Emission Vehicles (PZEV) rating, which reduced our greenhouse gas (GHG) by 25% compared to the emissions of the vehicles we are replacing.  This fleet replacement also resulted in a 15% increase in the miles per gallon used.

This equates to a reduction in GHG of about 14% for all the vehicles being offered by Fleet Services.
"
Creighton University,2016-02-24,2016-02-24 14:08:35,mjduda@creighton.edu,2.0,Pursuing,188.0,**,3.0,--,--,4.0,--,--,--,--,"Facilities Management is replacing gas-powered vehicles with electric vehicles as they age out of the fleet. The university is working with the local natural gas provider to determine uses for CNG vehicles in the fleet.
Students in the Energy Technology major have developed a business plan to purchase and install level 2 charging stations on campus. The chargers were installed in 2015.",--,--
Denison University,2016-02-15,2016-02-15 15:55:24,kingje@denison.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--
Dickinson College,2016-03-08,2016-03-08 10:06:32,welkerm@dickinson.edu,2.0,Pursuing,109.0,**,10.0,--,--,--,--,--,4.0,--,,--,"The Department of Pubic Safety purchases primarily hybrid vehicles when replacing campus fleet vehicles.

All of the Biodiesel produced on campus is used to fuel College Farm trucks and tractors."
Drew University,2016-03-25,2016-03-25 16:10:42,swald@drew.edu,2.0,Pursuing,35.0,**,--,--,--,11.0,--,--,--,--,,--,--
Duke University,2016-02-26,2016-02-26 14:17:51,tavey.mcdaniel@duke.edu,2.0,Pursuing,692.0,**,5.0,2.0,3.0,26.0,24.0,--,--,--,,--,"This information is from the fiscal year 2014 report.

Duke University also has 22 vehicles that run on bio-diesel when available.  In addition, Duke has 74 flex vehicles, which have the capability to run on bio-diesel.

We also included 1 CNG vehicle and 24 CNG/Gasoline hybrid vehicles in the CNG numbers since there was no option for this mix of alternative fuel vehicle. 


"
Earlham College,2016-03-03,2016-03-03 10:49:43,butchli@earlham.edu,2.0,Pursuing,11.0,**,6.0,--,--,4.0,--,--,--,--,"Hybrid gasoline-electric cars are purchased as new replacements become necessary.  Additionally, the maintenance department utilizes electric golf carts when practical over standard vehicles.",--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:07,stoddardl@easternct.edu,2.0,Pursuing,76.0,**,2.0,--,--,--,--,--,--,--,"An inventory of Eastern's motorized fleet was completed during the summer of 2015.  The inventory included gasoline use and a conversion to GHG emissions for each vehicle. This inventory will be used to assess the most effective ways to prioritize use of the most efficient vehicles, incorporate alternative fuel vehicles into its fleet, as well as to apply for grants which assist state agencies with purchasing and maintaining alternative fuel vehicles. Eastern has installed an EV charging station which is available to the public. ",http://www1.easternct.edu/pressreleases/2014/12/05/ev-charging-comes-to-eastern/,"This information was collected using ISE student Kevin McCormick's fleet inventory data, and questions that were sent to Renee Keech.  "
Elon University,2016-01-14,2016-01-14 09:32:39,edurr@elon.edu,2.0,Pursuing,213.0,**,16.0,--,--,36.0,--,--,31.0,--,,http://www.elon.edu/e-web/bft/sustainability/ci-transport.xhtml,--
Emory University,2016-02-29,2016-02-29 16:26:23,ciannat.howett@emory.edu,2.0,Pursuing,507.0,**,2.0,--,1.0,135.0,1.0,--,40.0,--,"In FY13 Emory reduced the number of gasoline powered vehicles in the fleet.  We also replaced old vehicles with FLEX fuel vehicles, electric Low Speed Vehicles (LSV’s), and smaller, high MPG gasoline efficiency vehicles (e.g. Transit Connects).  In FY14 we are working to do more right sizing and are looking at expanding alternative options for vehicle replacement.",http://transportation.emory.edu/commute/index.html,"Emory is home to the “Cliff” shuttle system, used by Emory faculty, student, staff, and members of the public. Its shuttle buses are 100 percent alternatively fueled, with 100 percent of its fleet powered with biodiesel made from recycled cooking oil from Emory’s cafeterias and hospitals and other local used cooking oil. "
Endicott College,2016-03-01,2016-03-01 10:09:52,screight@endicott.edu,2.0,Pursuing,35.0,**,--,--,--,10.0,--,--,--,--,We have 8 electric golf carts that are used frequently during the warmer months of the year by multiple departments on campus.Campus safety also has 2 electric bicycles that are used in the warmer months and 2 regular bikes.,--,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:08,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,"Fleet Breakdown
Golf Carts - 81
Tractors/Heavy Equipment - 5
Plug In Hybrid - 1
Non-plug in Hybrid - 1
Other Vehicles - 56"
Fort Lewis College,2016-03-27,2016-03-27 15:59:13,kehilimire@fortlewis.edu,2.0,Pursuing,91.0,**,--,--,--,--,--,--,--,--,,--,--
Furman University,2016-02-22,2016-02-22 13:42:53,yancey.fouche@furman.edu,2.0,Pursuing,126.0,**,2.0,--,--,60.0,--,--,--,--,Use of 56 electric golf carts when possible rather than gasoline powered cars.,--,--
George Washington University,2016-02-29,2016-02-29 13:04:15,shannonross@gwu.edu,2.0,Pursuing,120.0,**,1.0,--,--,29.0,1.0,--,--,--,The University is actively seeking alternative transportation solutions for the fleet as we replace units.  There is an effort underway to purchase 100% electric 12-passenger vans that will reduce the number of gas powered 6-passenger vans in use now.  We have tested and evaluated 100% electric units of varying sizes.,--,"All full electric vehicles are Cushman Titan electric work vehicles model years 1985-2005.

All E85 or higher ethanol fueled vehicles are all Flex Fuel vehicles.

Majority of campus bus fleet is operated under contract by independent service providers, not the university, and as such are not considered part of the university's official fleet. GW's reported fleet statistics comprise vehicles owned, leased, and/or operated directly by the university.

"
Georgia College & State University,2016-03-25,2016-03-25 19:08:20,doug.oetter@gcsu.edu,2.0,Pursuing,204.0,**,--,--,--,84.0,--,--,--,--,"We have incorporated electric vehicles where possible (golf carts), and have high-efficiency passenger buses.",--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:09,simonj@gonzaga.edu,2.0,Pursuing,132.0,**,3.0,--,--,1.0,--,--,--,--,(3) Vehichles owned/operated by the jesuit community contain hybrid-electric vehicles. Electric vehicles have been used in the past but have proved to be ineffective in the local climate during the winter months. ,--,--
Green Mountain College,2016-03-21,2016-03-21 15:55:09,ihrker@greenmtn.edu,2.0,Pursuing,15.0,**,--,--,--,2.0,--,--,--,--,"In 2015, the College purchased a ELEX GEM fully electric truck through the Student Campus Greening Fund. The truck is housed in the solar garage constructed by students in the REED program. The vehicle is charged by a 3.8kW roof-mounted array and the space is heated by a passive heat system consisting of a south-facing glass wall and a concrete heat slab. The vehicle is used for farm chores, such as harvesting, planting, and bringing food to the farmer's market and is available for use by the REED department for miscellaneous tasks and by the sustainability department for hauling compostable food scraps and carrying out waste diversion for end-of-the-year Green Move Out.

The college also operates a DS Electric Club Car used by the facilities department for routine travel and light hauling around campus for maintenance related projects. 

In 2013, we installed a level 2 charging station next to Dunton Hall, so that any electric vehicles we procure may be charged. The charging station is also open to the community and free for community members to use. It is listed on several public charging station maps available online.
",http://www.greenmtn.edu/sustainability/sustainability-on-campus/energy-buildings/renewable-electricity/,Performance year is FY 2015
Guilford College,2016-03-08,2016-03-08 08:08:23,corrybc@guilford.edu,2.0,Pursuing,43.0,**,--,--,--,28.0,1.0,--,--,--,"The college has been in conversation for three years with a local bio-diesel producer to establish a B100 fueling station on the campus. The company relies on state grants to construct such sites and has yet to receive funding for our county. It will happen. Facilities uses golf carts for most of it's operations. When possible, electric utility carts are purchased.",--,--
Hampshire College,2016-03-23,2016-03-23 09:57:19,bhooker@hampshire.edu,2.0,Pursuing,36.0,**,1.0,--,--,--,--,--,--,--,"As fleet manager, I ensure that each vehicle is the right size for the job and is necessary for campus operations.",https://www.hampshire.edu/news/Charging-Station-for-Electric-Vehicles-at-Hampshire-College-28131.htm,--
Harvard University,2016-02-29,2016-02-29 16:58:49,colin_durrant@harvard.edu,2.0,Pursuing,254.0,**,12.0,--,--,7.0,--,--,94.0,--,"The Harvard Sustainability Plan sets a commitment to develop a University-wide plan by 2016 for reducing campus fleet and shuttle emissions, including the ongoing purchase and support of alternative fuel and power technology for its fleet.

In 2013, Harvard University Police Department converted their entire fleet of marked police cars to hybrids: http://news.harvard.edu/gazette/story/2013/04/conservations-siren-song/

Harvard continues to explore innovative power technology. See this example of Harvard Mail Services working with a local start-up to convert a van to a hybrid electric powertrain: 
http://green.harvard.edu/news/your-mail-just-got-little-bit-greener
",http://www.transportation.harvard.edu/fleet-management,--
Haverford College,2016-03-02,2016-03-02 12:01:55,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:35,sustainability@hws.edu,2.0,Pursuing,79.0,**,1.0,--,--,4.0,--,--,4.0,--,"As outlined in the HWS Climate Action Plan, the Colleges are committed to phasing in alternative fuel vehicles as the institution’s fleet is replaced.

In 2010, HWS started taking used cooking oil to make biodiesel right on campus. We currently run B20 in smaller diesel powered vehicles, including mowers and utility vehicles during appropriate months of the year.

In spring 2014, HWS installed a dual port electric vehicle charging station for students, faculty, and staff. Since its installation, students, faculty, staff and visitors can charge their EV for free. The Colleges hope this provides incentive for more people to use EV vehicles.",http://www.hws.edu/dailyupdate/NewsDetails.aspx?aid=17949,Total vehicle is an estimate based on recent HWS vehicle report from HWS Conferences and Events. This does not include institution owned boats.
Indiana State University,2016-03-29,2016-03-29 10:16:46,caroline.savage@indstate.edu,2.0,Pursuing,164.0,**,2.0,--,--,9.0,--,--,--,--,"The use of ethanol fuels for our on-campus automobile fleet has been listed as part of our Climate Action Plan. Along with, electric vehicles for those that have short travel distances. This energy would preferably be based on a solar or wind powered electrical production. Covered parking bays behind facilities management that have roof-mounted solar panel charging stations with electrical backups are part of our ideal future plans.",http://unboundedpossibilities.com/library/documents/ICS/ISU-Climate-Action-Plan-Final-2010.pdf,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:42:07,brownwm@indiana.edu,2.0,Pursuing,364.0,**,1.0,--,1.0,1.0,--,--,--,--,"Where possible, Motor Pool purchases vehicles with flex fuel engines capable of using E85. We are evaluating hybrid and plug in hybrid vehicles as alternatives in each vehicle class. We are currently evaluating the use of B20 diesel in our diesel powered vehicles.

The IU Office of Sustainability has completed analyzes of alternative fuel technology and recommended purchasing hybrid electric replacement buses. To date no funding source has been identified for the purchase of alternative fueled buses.",http://www.iubus.indiana.edu/campus_bus/info/New/IUB%20TDM%20Report%20-%20Final.pdf,--
