Institution,Date Submitted,Last Updated,Liason Email,Version,Status,The percentage of new employees that are offered orientation and/or outreach and guidance materials ...,A brief description of how sustainability is included in new employee orientation,The website URL where information about sustainability in new employee orientation is available,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:32,mary.lucus@belmont.edu,2.0,Pursuing,100.0,New employees attending New Staff Orientation are given information regarding the mission and vision of the university and general policies including Belmont’s Goes Green initiatives. Employees are given information regarding the use and placement of recycling bins across campus and the placement of hydration stations as there is no bottled water sold on campus. Employees are given the opportunity to purchase aluminum water bottles at a reduced cost in the University bookstore and Corner Court dining facility to use as water bottles on campus. The Belmont Environmental Initiative Council was created to coordinate environmental efforts on campus. ,http://www.belmont.edu/green/,--
Beloit College,2016-03-23,2016-03-23 13:47:42,chapmanlr@beloit.edu,2.0,Not Pursuing,--,--,--,--
Bentley University,2016-03-25,2016-03-25 16:00:52,nberland@bentley.edu,2.0,In Progress,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:42,paulyj@berea.edu,2.0,Pursuing,100.0,"The Sustainability Coordinator presents a sustainability overview with mission, vision, and campus initiatives to all new employees several times a year during orientation. 
There are no publicly accessible materials from this presentation currently available. ",--,--
Binghamton University,2016-03-20,2016-03-20 17:32:57,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:42:18,carlberg@bu.edu,2.0,Pursuing,40.0,"As part of new staff orientation, handouts are provided with pertinent information on sustainability topics including Green Office Certification, Join the Challenge campaign, recycling and the Sustainability Liaisons program. Statistics are also provided on reductions in GHG emissions, water, and waste, LEED certified space and green certified restaurants at the University.",http://www.bu.edu/hr/bu-life/get-involved/,The 40% of new employees that are offered orientation about sustainability topics represent all new staff members at the University.
Bowdoin College,2016-02-25,2016-02-25 17:01:18,cpayson@bowdoin.edu,2.0,Pursuing,100.0,"Every month, or as needed, Human Resources hosts a new employee 
orientation that includes a segment about sustainability initiatives at 
Bowdoin. These initiatives include Bowdoin's Carbon Nuetrality 
Commitment and Bowdoin's zero-sort recycling program. Additionally, this
 orientation educates new employees about Bowdoin's Zipcar program, the 
Building Dashboard Energy Monitoring System, and other relevant green 
initiatives on campus. These orientation programs no longer include a 
bound paper employee manual, which considerably reduces paper usage. ",--,--
Brown University,2016-03-23,2016-03-23 07:28:47,Ginger_Gritzo@Brown.edu,2.0,Not Pursuing,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:48,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:44,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:12:06,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:56,dan.wakelee@csuci.edu,2.0,Pursuing,100.0,"The Director of Facility Services gives a presentation on sustainability during mandatory new employee orientations. Useful tips on how to conserve water, energy, and paper are discussed. Large blue (recycling) and small black cans have been installed in all faculty and staff offices so most everything  can go into the large commingled recycling can and only a few things (tissues, food waste) can go into the smaller ‘trash’ can.   He also references various reminder stickers with sustainability tips throughout campus such as ‘Please turn it off’ stickers over light switches, and stickers over sinks reminding people to turn the water off while they scrub their hands.  In addition, employees are encouraged to report anything they see such as leaky faucets, puddles of water near sprinklers etc. that could indicate a maintenance issue to Facilities.",http://www.csuci.edu/sustainability/stars/human-resources/employee-orientation.htm,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:40,mmoscol@fullerton.edu,2.0,Pursuing,--,"As of February 2015, 126 new employees have attended the New Employee Orientation and have been given the Sustainability presentation.  

During the New Employee Orientation, our new employees are welcomed and provided a wealth of information and resources.  Presenters from across campus provide essential information provided by their department:  Elissa Thomas - Parking and Transportation; Co Wilkins– EH&S; Melissa Dominguez – Administration & Finance IT, Employee Training Center; Michelle Tapper – Title IX Administrator; The Human Resources representatives introducing the NEO are Lori Gentles, Vice President HRDI, Juanita Arreola, Recruiter, and Melvin Alegado, Employment Manager.

Beginning in the 2015 Spring Semester, the Department of Facilities Operations and Management, Engineering and Sustainability unit has implemented a new brief presentation entitled “Sustainability You Can See,” highlighting sustainability on-campus projects and programs.  Information regarding office energy efficiency tips, contact information for reporting water leaks and proper waste disposal have also incorporated into the presentation.  Other sustainability-related information presented by other departments at the NEO includes:

Environmental Health and Safety (EHS) offers a variety of safety training to new employees intended to increase the awareness and promote the safety and health of faculty, staff and students.  The environmental health and safety portion of the New Employee Orientation includes the following topics:
- Safety Responsibilities;
- Programs and Policies;
- Chemicals and Hazards;
- Emergency Preparedness;
- Hazard Identification and Reporting;
- Employee Training Programs.
More information about EH&S Training is available at: http://rmehs.fullerton.edu/training/

Parking and Transportation offers a variety of alternative transportation options, which are highlighted to the new employees.  Alternative transportation options include:
-Walk and Bike
-Bus
-Carpool
-Vanpool
-Rail
For more information, please visit: http://parking.fullerton.edu/transportation/facultystaff/



New Faculty Orientation is scheduled to incorporate campus sustainability information into the 2015-16 Academic Year orientation starting August 2015.
",--,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:45,austin.eriksson@csun.edu,2.0,Pursuing,90.0,"Beginning in 14/15FY we have incorporated Sustainability in the New Employee Welcome Orientation (NEWO) sessions. New Employee Orientation is open to all CSUN staff and faculty members. These sessions cover everything from pay roll and benefits to employee enrichment and fitness. We now have incorporated a session on sustainability. This session covers what sustainability at CSUN means, what commitments we have signed, recent and ongoing projects, our 10 main focus areas (energy, water, waste, educations,etc.) as well as how they can get involved. ",--,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:24,kristina.cullen@csus.edu,2.0,Pursuing,100.0,"The following is a summary of the insert given to all employees in their new employee orientation packet:
Sustainability
Sac State recognizes the importance of campus sustainability and in being stewards of the Environment.  To ensure we are committed to sustainable practices, we have established a campus Sustainability Steering Committee with supporting sub-committees to guide campus sustainable policy and guidelines.  Sac State Sustainability focuses on sustainable initiatives through outreach, student involvement, and cultivating awareness and participation.  For any questions, please contact Kristina Cullen, Sustainability Analyst at (916) 278-7603 or sustainability@csus.edu.  Also, follow us on Facebook at “Sustainability at Sac State” and Twitter @GreenSacState.
Recycling
Every desk has a blue desk-side recycling bin and a black mini-bin. In the blue bin you can place all non-confidential paper documents, cardboard, most plastics and bottles & cans. The mini-bin is for trash and is significantly smaller to remind you that nearly anything can be recycled and deposited into your blue recycling bin as long as it has not been contaminated by food products. Please wash out your plastics. 
The University also recycles tires, toner & ink cartridges, e-waste, inert materials like concrete and clay, all its green waste and wood and a wide variety of metals too! To ensure these materials are recycled, Sac State offers these services free for the campus community. If you have any questions about recycling, please feel free to contact Joey Martinez, Recycling Coordinator at (916) 278-5801. To recycle batteries, please contact Environmental Health and Safety: (916) 278-5447. Happy Recycling Sac State!  
Energy Conservation
The University strongly promotes and practices energy conservation whenever practical and feasible. We attempt to maintain a balance between occupant comfort and energy saving strategies.  Over the years this concept has kept utility costs at a minimum, thus providing the ability to redirect the savings to educational programs.  The campus Energy Policy explains a number of strategies used to minimize energy consumption.  Please contact Nat Martin, Energy Conservation Coordinator at (916) 278-3696 for questions.
",--,--
Calvin College,2016-03-11,2016-03-11 14:31:28,bhaney@calvin.edu,2.0,Not Pursuing,--,--,--,--
Carleton College,2016-02-26,2016-02-26 11:19:43,mlarson@carleton.edu,2.0,Not Pursuing,--,--,--,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:22,bk11@andrew.cmu.edu,2.0,Pursuing,100.0,"Environmental Health & Safety provides comprehensive safety programs to support all departments and all jobs - from fire safety to radioactive material handling in labs. They also explain the e-waste recycling process and the campus recycling program.   
http://www.cmu.edu/ehs/ 

Starting in 2013 New Employee Orientation will include a walking tour of campus, which includes green aspects of the university operations. Staff Council Representatives will lead these tours.

A Campus Recycling Guide is available on the Environment @ CMU website.",http://www.cmu.edu/environment/,--
Case Western Reserve University,2016-03-25,2016-03-25 15:41:22,stephanie.corbett@case.edu,2.0,In Progress,--,--,--,--
Chatham University,2016-02-17,2016-02-17 13:05:09,MWhitney@chatham.edu,2.0,Pursuing,100.0,"As part of every new employee orientation, the Sustainability Director explains Chatham's sustainability initiatives in order to familiarize the new employees about sustainable practices and also to make certain that they understand the sustainability expectations for employees. New employees are given information about our carbon elimination goals, given an introduction to the green technology on campus, introduced to initiatives such as the bike commuter credit, bike rental and carshare options, bottled water and dining campaigns, recruited to join Climate Committee, and given information about how to work with the Office of Sustainability to incorporate initiatives into the classroom.
",--,--
Clark University,2016-02-24,2016-02-24 15:49:40,jisler@clarku.edu,2.0,Not Pursuing,--,--,--,--
Clarkson University,2016-02-12,2016-02-12 07:38:01,sep@clarkson.edu,2.0,Pursuing,100.0,"All new employees must attend training that includes an hour-long presentation on our campuses sustainability philosophies, activities and practical explanation of processes (e.g., single sort recycling) to be more sustainable.
",--,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:29,sustain@coastal.edu,2.0,Pursuing,100.0,"Sustainability is included in Coastal Carolina University’s (CCU) New Employee Orientation required for all new hires (includes lateral moves & classification changes). The orientation, which is offered twice per month, is comprised of speakers, PowerPoint presentations, videos, website reviews/demonstrations, and printed materials.  Various representatives mention the importance of Sustainability throughout the full-day orientation as it relates to their topic areas of staff development, ethics, transportation, best practices, and the mission, vision and values of the university.  Best practices and expectations associated with the CCU Sustainability Initiative are also covered & encouraged which include recycling on & off campus, water conservation, sustainable transportation (carpooling/bicycle options & other alternatives), paper/copy reduction, and less energy consumption (i.e., efficient practices of turning off lights when not needed, powering off the computers at the end of the workday), among others.  In an effort to model sustainability practices & behaviors, the Office of Training & Development has significantly reduced printed materials distributed at orientation.  Instead, presenters share this information by showing them the sustainability websites which include “Teal Goes Green” at http://www.coastal.edu/livewell/tealgoesgreen/resources  and “What is Sustainability?” at http://www.coastal.edu/livewell/tealgoesgreen/whatissustainability/.  By navigating on these websites during the orientation, new hires are given the opportunity to ask questions and share their ideas to support the university’s commitment to sustainability.
Approximately 200 – 400 new hires consisting of temporary, time-limited and classified/slotted employees attend the new employee orientation each year.     
",http://www.coastal.edu/livewell/tealgoesgreen/whatissustainability,--
Colby College,2016-01-12,2016-01-12 15:54:28,ksbright@colby.edu,2.0,Pursuing,100.0,The College's commitment to sustainability is stressed as one of the characteristic attributes of Colby during new employee orientation--noting in particular Colby's carbon neutrality achievement and LEED certifications.,--,--
Colgate University,2016-02-28,2016-02-28 11:21:55,jpumilio@colgate.edu,2.0,Pursuing,100.0,"There are two orientations each year where the director of sustainability gives an overview of the sustainability program and suggests way for new employees to get involved in sustainability.
 ",http://www.colgate.edu/docs/d_offices-and-services_working-at-colgate_resources_opengate/open-gate-april-2013.pdf?sfvrsn=0,--
College of Charleston,2016-02-29,2016-02-29 16:53:07,fisherb@cofc.edu,2.0,Pursuing,100.0,All new employees must attend orientation session sponsored by Human Resources. They include a section in that orientation that talks about sustainability initiatives on campus.,--,--
College of the Atlantic,2016-03-23,2016-03-23 11:16:09,ademeo@coa.edu,2.0,Not Pursuing,--,--,--,--
Colorado College,2016-02-29,2016-02-29 16:10:13,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,100.0,"In new employee orientation, the Sustainability Manager has a dedicated section of twenty minutes to discuss sustainability at Colorado College. New employees are acquainted to CC's definition of sustainability, the AASHE STARS report, and their role within the sustainability community, as every member of the CC community has a responsibility to sustainability. ",--,Sustainability was newly implemented as a permanent section of new employee orientation in March of 2015.
Colorado State University,2015-12-16,2015-12-16 16:39:24,tonie.miyamoto@colostate.edu,2.0,Pursuing,100.0,"The University Employee Orientation mentions both the broad accomplishments and importance of sustainability here at CSU. The presentation from the Campus Energy Coordinator includes information about energy, water and resource conservation opportunities for employees. Information includes ""Ideas to save electricity"", recycling, and general sustainability practices here at CSU. The Alternative Transportation Manager informs employees about the free transit passes available to all faculty and staff, the Guaranteed Ride Home program through Parking Services and other resources for alternative transportation. There are brochures available on recycling and energy conservation programs as well as bicycling routes and transit information. Additionally, Procurement Services (purchasing) includes information on green vendor options and, the Campus Recreation Center promotes health and wellness opportunities open to faculty and staff in their presentation.",--,--
Columbia University,2016-01-13,2016-01-13 14:27:28,as3215@columbia.edu,2.0,Pursuing,100.0,"In the new orientation program for faculty and staff, Environmental Stewardship presents an overview to all new employees covering recycling on campus, alternative transportation, energy efficiency practices such as turning off lights and computer power management, universal waste disposal, waste minimization, reuse, and green purchasing.  Additionally there are presentations by Public Safety that discuss biking options and discounts on biking equipment, Work/Life presents on their message board that provides employees the service to create carpools and ride shares as well as buy, sell, trade furniture, and EH&S discusses their environmental safety programs and trainings.
Every new employee also receives an offer letter that has links to benefits, retirement plans with social responsibility options and informs employees of Columbia about the University being a diverse and equal opportunity employer.
",http://hr.columbia.edu/learn-dev/orientation,--
Connecticut College,2016-02-28,2016-02-28 16:33:16,jstoffel@conncoll.edu,2.0,Not Pursuing,--,--,--,"The College does not cover sustainability in our new employee orientations at the moment; however, we are working to include such topics within the next year."
Cornell University,2016-03-18,2016-03-18 08:39:51,cma18@cornell.edu,2.0,Pursuing,100.0,"Sustainability is referenced in the Engaged Cornell section of a “This is Cornell” resource document that is made available to new hires in the Center. 
A new Cornell employee's first day on the job is completely different now than it was even a year ago, thanks to the new Cornell Onboarding Center, which provides a ""one-stop"" service that takes the place of visiting various campus offices to conduct the business of becoming a Cornell employee. This allows new employees to complete required paperwork; activate a Cornell NetID and email account; receive a staff photo ID; select parking and transportation options; review benefits information; and enter personal data into the university's database, thus eliminating the complexity of coming to campus multiple times and stopping at the various  locations on campus.  We are now offering all new employees the choice of a Cornell reusable water bottles or coffee mug when they visit the Onboarding Center to encourage reuse behavior from day one.  These beverage containers all come with a small 2-sided paper that lists important Cornell-specific sustainability tips and links.

Links related to sustainability were recently added to several pages within Cornell’s Human Resources home pages.  Additional linking is planned under an initiative of Cornell’s People Team.   These pages provide important resources to prospective, new and existing employees.
",https://www.hr.cornell.edu/orientation/,--
Creighton University,2016-02-24,2016-02-24 14:08:57,mjduda@creighton.edu,2.0,Not Pursuing,--,--,--,--
Denison University,2016-02-15,2016-02-15 15:55:46,kingje@denison.edu,2.0,Pursuing,80.0,"The Sustainability Coordinator goes over campus sustainability issues and initiatives at all new employee orientations except teaching faculty orientation.  Topics covered include recycling, energy consumption, participation/involvement, water conservation, and general sustainability-based activities on campus.",--,Denison maintains an internal password protected website where most of this information resides.  Public access web pages have limited information on this topic.
Dickinson College,2016-03-08,2016-03-08 10:06:55,welkerm@dickinson.edu,2.0,In Progress,--,--,--,--
Drew University,2016-03-25,2016-03-25 16:12:56,swald@drew.edu,2.0,In Progress,--,--,--,--
Duke University,2016-02-26,2016-02-26 14:18:19,tavey.mcdaniel@duke.edu,2.0,Pursuing,52.0,New Staff Orientations take place at a 4 hour event every two weeks.  Duke’s Sustainability Outreach Coordinator created a video which is played at each orientation introducing staff to Duke's sustainability commitments and ways that they can become a leader for sustainability.  Highlights include the Duke Green Workplace Certification and the Leading for Environmental Sustainability Workshop for staff.,http://www.youtube.com/watch?v=JafO6lBS6v8,This information is from the fiscal year 2014 report.
Earlham College,2016-03-03,2016-03-03 10:50:07,butchli@earlham.edu,2.0,Pursuing,80.0,Sustainability tips and information are given in a session of new teaching and administrative faculty orientation.  There is no formal orientation for new staff.,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:30,stoddardl@easternct.edu,2.0,Not Pursuing,--,--,--,--
Elon University,2016-01-14,2016-01-14 09:33:01,edurr@elon.edu,2.0,Pursuing,100.0,"During new employee orientation sessions (staff and faculty), a brief overview of Elon's commitment to sustainability is provided by the Director of Sustainability. The inclusive definition of sustainability is shared as well as Elon's carbon neutrality goal. New employees are provided information on alternative transportation options, waste reduction and ways to contribute to Sustainability at Elon. The booklet provided to new employees includes a page that summarizes the sustainability topics covered in the orientation session and serves as a resource for new employees after the session. Information about sustainability is also on the Human Resources website.",--,--
Emory University,2016-02-29,2016-02-29 16:26:46,ciannat.howett@emory.edu,2.0,In Progress,--,--,--,--
Endicott College,2016-03-01,2016-03-01 10:10:16,screight@endicott.edu,2.0,Pursuing,100.0,"New employees receive information about energy audits. 
The facts and figures booklet that is passed out at the beginning of each fiscal year includes information on sustainability on campus.",http://www.endicott.edu/About/Institutional-Research/Institutional-Facts.aspx,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:30,kleone@fgcu.edu,2.0,In Progress,--,--,--,"The percentage is derived from FGCU's IPEDS report.  Between July 1, 2013 and October, 31, 2013 FGCU hired 105 full-time employees, 37 of which were faculty.  All of these employees were still on the payroll as of November 1, 2013."
Fort Lewis College,2016-03-27,2016-03-27 16:01:23,kehilimire@fortlewis.edu,2.0,Pursuing,100.0,The Fort Lewis College Environmental Center includes 'how to be green at FLC' information in the Employee Handbook as well as in new employee orientation materials.,https://www.fortlewis.edu/Portals/71/Handbooks/exempt_staff_handbook.pdf,--
Furman University,2016-02-22,2016-02-22 13:43:15,yancey.fouche@furman.edu,2.0,Pursuing,100.0,"During the required orientation for all new employees, a brief overview of Furman's sustainbility efforts is shared through the Shi Center for Sustainability.  New employees are educated about Furman's sustainability commitments across the university, and are given handouts with information on sustainability efforts from the Shi Center.",--,--
George Washington University,2016-02-29,2016-02-29 13:04:37,shannonross@gwu.edu,2.0,Pursuing,100.0,"During the weekly new employee orientation, sustainability is discussed as part of the broad campus-wide sustainability initiative, as well as how sustainability ties into other projects and initiatives at GW.

As part of the quarterly new employee forum, there is a values panel on GW's nine core values, including GW's value of sustainability. GW's commitment to sustainability is discussed, specifically describing some of the sustainability projects on campus. At the end of the forum, there is a new employee resource fair, which includes representatives from the Office of Sustainability. Employees have the opportunity to ask questions about sustainability at GW at that table, and sign up to receive the office's newsletter.",http://hr.gwu.edu/values,--
Georgia College & State University,2016-03-25,2016-03-25 19:10:21,doug.oetter@gcsu.edu,2.0,Pursuing,25.0,New faculty are introduced to campus sustainability at their mandatory new faculty orientation the week before their first semester on campus.  They are given resources and encouragement to join the 'Green Initiative.'  The Sustainability Council members and our Office of Sustainability present to the faculty and respond to questions. ,https://gcgreen.wordpress.com/sustainability-education/,--
Gonzaga University,2016-02-29,2016-02-29 13:09:32,simonj@gonzaga.edu,2.0,Pursuing,--,,--,--
Green Mountain College,2016-03-21,2016-03-21 15:55:38,ihrker@greenmtn.edu,2.0,Pursuing,100.0,"All new GMC employees receive access to an online employee guide, which contains helpful information from a range of departments. The major sustainability systems on campus that are applicable to new employees are outlined in the guide, including carsharing and carpooling options, zero-sort recycling, e-waste recycling, composting, the reuse stores (Freepo and Freestore), and the Green Job Corps program.

Chartwells and DTZ employees (The two major contractors on campus) receive a sustainability guide that outlines what sustainability means, what the major sustainability initiatives are on campus, and where people can go if they have additional questions. This guide was created by the sustainability office and a copy of it is kept on file in the sustainability office. ",--,--
Guilford College,2016-03-08,2016-03-08 08:08:46,corrybc@guilford.edu,2.0,Pursuing,100.0,"A member of the Office of Sustainability speaks to new employees at a 4 week new employee orientation.  Subjects covered include our commitment to the ACUPCC, completed and current projects and programs, along with how Guilford College views sustainability on campus. Employees are provided instructions for how they can help reduce Guilford's carbon footprint and why it is important.",http://www.guilford.edu/about/guilford-sustainability/index.aspx,--
Hampshire College,2016-03-23,2016-03-23 09:59:39,bhooker@hampshire.edu,2.0,Not Pursuing,--,--,--,--
Harvard University,2016-02-29,2016-02-29 16:59:12,colin_durrant@harvard.edu,2.0,Pursuing,100.0,"New employee orientation for all Harvard employees includes a 10 minute overview of sustainability at Harvard, including showing of an orientation video produced specifically for new employee orientation with a message from Harvard President Drew Faust: http://youtu.be/OEXiEFZxLx4.

In addition, new employees receive sustainability-related information in their welcome packets provided at the new employee orientation training.

Most of Harvard's Schools, including the largest (Faculty of Arts and Sciences) also include sustainability as part of their School-specific new employee orientations.",http://youtu.be/OEXiEFZxLx4,--
Haverford College,2016-03-02,2016-03-02 12:02:18,ckent@haverford.edu,2.0,In Progress,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:57,sustainability@hws.edu,2.0,In Progress,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:18:58,caroline.savage@indstate.edu,2.0,In Progress,--,--,--,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:44:14,brownwm@indiana.edu,2.0,Pursuing,--,"The focus of orientation is benefits enrollment.  No sustainability topics are included in orientation. 

However, that may be changing for a portion of employees. A recycling eTraining module was initiated by Facility Operations to go into an existing library of training which employees are required to completed based on their job requirements (https://one.iu.edu/task/iu/e-training). The audience is intended for anyone: faculty, staff, students, or visitors at the Indiana University Bloomington campus to inform what can be recycled and all the different recycling bins found on campus. It will probably be a requirement for Facilities Operations staff with 6 questions to be answered at the end. Residential Programs and Services (RPS) has used some of this eTraining for their area as well, but it is at the discretion of each department within RPS.",--,--
Juniata College,2016-03-23,2016-03-23 08:10:09,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:50,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:31:35,sustainability@knox.edu,2.0,Pursuing,100.0,"The Office of Sustainability works with the HR department to provide orientation materials for each new employee in the form of a sustainability folder. This folder includes general information on many sustainability programs and resources available to staff and faculty, including recycling resources, information on Knox's Office Supply Share program, a ""quick facts"" sheet about campus projects, and directs new employees to explore the additional, more in-depth online resources. ",http://knox.edu/sustainability,--
Lehigh University,2016-02-29,2016-02-29 00:26:29,sustainability@lehigh.edu,2.0,In Progress,--,--,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:18,advorak@lclark.edu,2.0,Pursuing,100.0,"Sustainability is included in new employee orientation (transportation, recycling, etc). More in depth resources are linked on the HR website for new employees.",http://www.lclark.edu/offices/human_resources/new_employees/your_lc/,--
Loyola Marymount University,2016-03-23,2016-03-23 14:03:38,ian.mckeown@lmu.edu,2.0,Pursuing,100.0,"All new employees receive a brochure called “LMU At a Glance,” where a section on Green LMU mentions the university’s culture and commitment to green infrastructure in buildings, energy, and mission.  A video is also shown during orientation about Green LMU.   Sustainability is also part of the schools mission statement that is introduced to new employees. 

http://www.lmu.edu/Assets/2013-2014+LMU+Fact+Card.pdf 
http://admin.lmu.edu/greenlmu/greenlmuvideo/ ",http://admin.lmu.edu/hr/learningdevelopment/,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:43,adurnbaugh@luc.edu,2.0,Pursuing,100.0,Loyola 101 is a bi-monthly orientation for new staff. Presenters at Loyola 101 are encouraged to talk about the importance of recycling and other Loyola initiatives such as the recent campus ban on bottled water and the water refillable stations set up in campus buildings. They are also given information about current and future building projects which are all LEED-certified. New staff also receive information about sustainability committees they can join.,http://www.luc.edu/hr/resourcestools_NEWEE.shtml,--
Macalester College,2016-01-06,2016-01-06 13:03:06,shansen2@macalester.edu,2.0,Pursuing,100.0,"The Sustainability Manager meets with all new staff during new employee orientation, hands out sustainability tour maps and sustainability orientation materials and and suggests ways for interested staff to become involved in sustainability programs. We also present videos on composting on campus and the use of Auspens (refillable white board markers). 

",http://www.macalester.edu/sustainability/what-you-can-do/sustainabilityfaculty.pdf,--
Maryville College,2016-02-11,2016-02-11 15:37:50,adrienne.schwarte@maryvillecollege.edu,2.0,Not Pursuing,--,--,--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:20,slanou@mit.edu,2.0,Pursuing,--,,--,--
McMaster University,2016-02-19,2016-02-19 09:37:41,naeemsh@mcmaster.ca,2.0,Pursuing,100.0,"New employee orientation includes sustainability topics, for example: health and safety, and provides information on resources for further help.",http://www.workingatmcmaster.ca/neo/,--
Miami University,2016-03-02,2016-03-02 14:18:04,kliney@miamioh.edu,2.0,Pursuing,100.0,An overview of the university's sustainability initiative and contact information for sustainability coordinators is covered during an in person orientation session.,--,--
