Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Please enter data in the table below:,"Number of reportable workplace injuries and occupational disease cases, performance year","Number of reportable workplace injuries and occupational disease cases, baseline year","Full-time equivalent of employees, performance year (annualized FTE)","Full-time equivalent of employees, baseline year (annualized FTE)",Start and end dates of the performance year and baseline year (or three-year periods),"Start date, performance year or 3-year period","End date, performance year or 3-year period","Start date, baseline year or 3-year period","End date, baseline year or 3-year period",A brief description of when and why the workplace health and safety baseline was adopted,A brief description of the institution’s workplace health and safety initiatives,The website URL where information about the institution’s workplace health and safety initiatives ...,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:28,mary.lucus@belmont.edu,2.0,Pursuing,**,41.0,56.0,1023.0,894.0,**,2013-01-01,2010-01-01,2014-12-31,2011-12-31,"As part of Belmont's ongoing commitment to improving workplace health and safety, we have developed specific programs in the office of the University Counsel focusing on threat assessment, risk management, and campus safety.  Working with the Associate Provost and Dean of Students, the University has comprehensive evacuation plans, regular environment testing specifically within the dormitories and food services, and the University has purchased an alert communications system that sends email notifications and text messages and voice messages to registered user's phone numbers.","Improving campus communications around risk assessment; hiring and training campus safety officers in threat assessment; regular environmental testing of air quality, etc.; and creation of an Office of Risk Management with appropriate staffing.",http://www.belmont.edu/riskmanagement/health_and_safety/helpful_hs_links.html,--
Beloit College,2016-03-23,2016-03-23 13:47:32,chapmanlr@beloit.edu,2.0,Pursuing,**,11.0,11.0,364.0,360.0,**,2015-01-01,2015-12-31,2013-01-01,2013-12-31,The 2013 baseline was adopted because it was the first year that Beloit College began to fill out the STARS report.  The College has been keeping track of worker's comp claims before 2013 but we have chosen 2013 as our baseline year for the purposes of STARS.,"The College partnered with a workers' compensation loss control specialist to create slip/trip/fall program.
Two to three times/year representatives from HR and Facilities meet with work comp rep to review claims trends--based on trends future training sessions are offered (in addition to OSHA required trainings). One program that came out of these sessions was an implementation of a stretching program for facilities employees to help reduce muscle strain injuries. 
The emergency management team is composed of representatives from across campus.
Beloit College is a member of the WAICU environmental compliance peer audit program.

Lastly, the campus wellness committee puts on workshops and programs throughout the year that focus on movement and nutrition.",--,--
Bentley University,2016-03-25,2016-03-25 16:00:28,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:38,paulyj@berea.edu,2.0,Pursuing,**,21.0,26.0,1000.0,1000.0,**,2014-07-01,2015-07-01,2013-07-01,2014-07-01,,"Berea College has implemented a program called BEREA SAFE (Be Engaged, Raise Everyone's Awareness) to address employee safety and health on campus. You can find an outline of this program at the URL listed below.",https://www.berea.edu/ehs/files/2014/11/BEREA-SAFE-accident-and-injury-prevention.pdf,--
Binghamton University,2016-03-20,2016-03-20 17:32:53,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:42:15,carlberg@bu.edu,2.0,Pursuing,**,51.0,71.0,8979.0,8439.0,**,2013-10-01,2014-09-30,2005-10-01,2006-09-30,,"The Campus and Clinical Safety office at Boston University provides all facility employees with safety training on a monthly basis ( those sessions are not offered in March and December due to campus activity). Additionally, union employees, management representatives, and representatives from various shops sit together on a safety committee, addressing safety concerns on campus.",http://www.bu.edu/buohc/,--
Bowdoin College,2016-02-25,2016-02-25 17:01:14,cpayson@bowdoin.edu,2.0,Pursuing,**,30.0,22.0,894.0,704.0,**,2014-01-01,2014-12-31,2005-01-01,2005-12-31,"We have used 2005 as a baseline year consistently throughout the STARS reporting, both for our 2013 report and this report.","The College strives to provide a safe and healthy workplace for all employees in which occupational risks and accidents are kept to a minimum. The Campus Safety Committee with representatives from several departments meets regularly to develop and review safety initiatives and act as the liaison for all safety concerns of campus constituents.
http://www.bowdoin.edu/facilities/safety/index.shtml",http://www.bowdoin.edu/hr/workplace-safety/index.shtml,--
Brown University,2016-03-23,2016-03-23 07:28:23,Ginger_Gritzo@Brown.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:44,gvalenti@bryant.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:40,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:12:03,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:54,dan.wakelee@csuci.edu,2.0,Pursuing,**,16.0,17.0,1265.0,555.0,**,2013-01-01,2013-12-31,2006-01-01,2006-12-31,"Adopted to track injury rate over time as a planning and performance measure.
","Training - adopting a learning management system.  Construction - system wide input on construction safety best practices.  Student workshops - effort to support new shops with engineering safety controls.  Internal safety - increased internal audits.
",http://www.csuci.edu/publicsafety/ehs,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:36,mmoscol@fullerton.edu,2.0,Pursuing,**,34.0,37.0,5237.0,4829.0,**,2014-01-01,2014-12-30,2012-01-01,2012-12-01,,"University Risk Management provides guidance to University programs to minimize the adverse effects of unpredictable events. This is accomplished by identifying, evaluating and controlling loss exposures faced by the University and its employees. 

Environmental Health and Safety is responsible for protecting human health and the environment through strategic partnerships, regulatory compliance, professional consultation, technical assistance, program development and training specifically designed to promote the health and safety of employees, faculty, students and visitors alike.",http://rmehs.fullerton.edu/healthandsafety/,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:41,austin.eriksson@csun.edu,2.0,Pursuing,**,59.0,59.0,3295.0,3295.0,**,2014-01-01,2014-12-31,2014-01-01,2014-12-31,The baseline was chosen based on our annual OSHA report,"CSUN’s health and safety programs are designed to create and maintain a safe and healthy working environment on campus. These programs help ensure that the University complies with environmental, health, and safety regulations of agencies at the federal, state, and local levels.",http://www.csun.edu/ehs/health-safety-programs,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:20,kristina.cullen@csus.edu,2.0,Pursuing,**,47.0,16.0,1860.0,1801.0,**,2014-08-01,2015-07-31,2013-08-01,2014-07-31,"Since this is the first time Sac State is completing the STARS report, the performance year was chosen based on the most recent 12 month period prior to starting work on the STARS report.  Sac State started working on the STARS report in September 2015.  The baseline year was determined by choosing the next 12 month period prior to the performance year so that the data being looked at for both date ranges would include the last 2 years to include the campus’ most recent sustainability efforts and achievements.","Training - improve Learning Management System and development of an online training needs assessment tool.
Construction Health - revise existing contractor safety program to capture small businesses.
Engineering Controls - assist departments in locating funding for improving ventilation systems to further reduce occupational exposure.
Campus Health and Safety Committee - improve participation by offering meetings in an open forum setting.",http://www.csus.edu/aba/ehs/,--
Calvin College,2016-03-11,2016-03-11 14:31:24,bhaney@calvin.edu,2.0,Pursuing,**,23.0,18.0,758.0,816.0,**,2014-01-01,2014-12-31,2009-01-01,2009-12-31,"At Calvin College, we believe that every employee, student and guest is entitled to a safe and healthful workplace.  We are committed to protecting ourselves, the environment, and complying with governmental regulations. This statement was established in 2009.","Environmental Health & Occupational Safety, in conjunction with the President’s Cabinet, and Department Chairs and Directors are responsible for implementing major decisions, policies and safety and health procedures.  Calvin College has established specific safety and health procedures as required by Michigan Occupational Safety and Health Administration (MIOSHA) such as; Lockout/Tagout, Hazard Communications: Right to Know, Personal Protective Equipment Assessment/Certification, Confined Space, Bloodborne Infectious Disease, Asbestos Operations and Maintenance, Chemical Hygiene, Hearing Conservation, Hot Work, Powered Industrial Trucks, and Respiratory Protection.  Copies of these programs are available on the Environmental Health & Occupational Safety website and in the EHS office. Faculty and staff are responsible for:
•	Following all Calvin College safety, health and environmental protection policies and procedures
•	Promoting and supporting safe work among peers 
•	Asking questions and voicing concerns about health and safety issues with  supervisors or the EHS Officers
Faculty and staff are encouraged to participate in all aspects of the safety and health program.  Based on expertise, they may be asked to review regulatory standards, assist in or conduct training, and problem solve.  Faculty and staff are encouraged to communicate with their department chairs or directors and/or the EHS Officers if they have a safer or better way of performing a task.  Calvin staff who are covered by our Bloodborne Pathogens Exposure Control Plan are involved in evaluating safety products.  Employee input is obtained through the suggestion system, report of hazard, or through actions of the EHS Officers or CEHS.
",http://www.calvin.edu/admin/physicalplant/departments/ehs/,--
Carleton College,2016-02-26,2016-02-26 11:19:39,mlarson@carleton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:18,bk11@andrew.cmu.edu,2.0,Pursuing,**,70.0,32.0,8483.0,8120.0,**,2013-01-01,2013-12-31,2011-01-01,2011-12-31,"We used data for the most recent annual year 2013, and went back to 2011, so we could see if there was a trend.  ","EH&S provides a broad range of services to the university to promote the protection of its community. We view our community as the students, faculty and administrative staff of the university and the environment in which we live.

Providing services to the university community is a challenging responsibility. It requires our multifaceted EH&S team to find creative ways to ensure compliance with laws, regulations, and university policies in the most efficient manner possible.

Mission Statement
Environmental Health & Safety (EHS) is committed to providing health and safety services that protect the university community and the environment.

Our Goals
Maximize customer satisfaction.
Ensure effective and cooperative relationships with our customers.
Provide campus education relating to Environmental Health and Safety issues.
Promote a positive and safe work environment.",http://www.cmu.edu/ehs/index.html,"Data reported for workers compensation purposes includes all students, both graduate and undergraduate, who receive a W2 forms from CMU."
Case Western Reserve University,2016-03-25,2016-03-25 15:41:13,stephanie.corbett@case.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Chatham University,2016-02-17,2016-02-17 13:05:07,MWhitney@chatham.edu,2.0,Pursuing,**,23.0,23.0,328.0,261.0,**,2014-01-01,2014-12-31,2007-01-01,2007-12-31,Workplace health and safety data was adopted in 2007 to coincide with our sustainability baseline data collection. ,"Chatham's safety committee has been certified by the state of Pennsylvania for 15 years and is made up of faculty, departmental staff, and students. The safety committee receives annual training held in September of each school year. ",--,--
Clark University,2016-02-24,2016-02-24 15:49:37,jisler@clarku.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Clarkson University,2016-02-12,2016-02-12 07:37:57,sep@clarkson.edu,2.0,Pursuing,**,21.0,26.0,747.0,625.0,**,2014-07-01,2015-06-30,2007-07-01,2008-06-30,"Although FY2005 was used as the baseline for all STARS categories per requirements for previous STARS submission, we do not have these data for FY05.  Thus, we used the oldest data we have, which are from FY08.","There is a multitude of work and non-work related factors that influence a worker’s total health, including those related to safety. One of Clarkson's safety initiatives includes Ergonomic Awareness (or the scientific study people’s efficiency in their work environment) with the goal of reducing stress and eliminating injuries and disorders associated with the overuse of muscles, bad posture and repetitive tasks.  This is accomplished by designing tasks, work spaces, controls, displays, tools, lighting and equipment to fit the employee´s physical capabilities and limitations (NIOSH). Fire Safety & Prevention: In 2011, there were 3,005 deaths, 17,500 injuries and $11,659 million dollars in losses as a result of 1,389,500 fires (NFPA).  Fire deaths and injuries are preventable, therefore Clarkson trains students and employees in general fire safety precautions every semester (via fire drills) to help create a safer and more secure living and work environment for everyone. The entire campus is audited according to stringent standards associated with fire and workplace safety on an annual basis. CPR  & First Aid Training is made available through one of several American Heart Association courses on CPR and first aid every semester. Clarkson University, like any other community, is vulnerable to a wide range of natural and man-made hazards.  The University has a number of Emergency Preparedness programs in place to help prevent as well as respond to emergencies. All Safer and Healthier initiative events can be found on the Clarkson University Events Calendar.",http://www.clarkson.edu/healthier_everyday/index.html,for facilities/contractors - see also https://www.clarkson.edu/facilities/safety/index.html 
Coastal Carolina University,2015-11-20,2015-11-20 15:31:25,sustain@coastal.edu,2.0,Pursuing,**,14.0,24.0,2237.0,2075.0,**,2013-07-01,2014-06-30,2011-07-01,2012-06-29,The most effective safety program requires a united effort from all members of the Coastal Carolina University community. We encourage everyone to take part in protecting Coastal Carolina University by informing our department of any safety concerns or notable hazards on any of our campuses through the online hazard reporting system available on this website in the box at the right. Your input is essential for the University to provide the safest possible environment.,"The mission of the Department of Environmental Health and Safety is to provide leadership in the Health and Safety field for Coastal Carolina University by conscientiously developing, administering and improving upon programs, policies and interactions while practicing sustainable stewardship of resources, adopting the highest standards of integrity and accountability, and assuring fair and honest treatment to all people.‌ The Environmental Health and Safety staff includes authorized OSHA trainers, as well as Chemical Hygiene, Indoor Air Quality and Fire/Life Safety professionals who are trained and committed to public service. The department promotes student, faculty, staff and community development through a rigorous safety training program to promote the knowledge and skills for individuals to protect themselves while they learn, work or visit Coastal Carolina University
",http://www.coastal.edu/safetyandtransportation/ehs/index.html,--
Colby College,2016-01-12,2016-01-12 15:54:25,ksbright@colby.edu,2.0,Pursuing,**,16.0,5.0,723.0,643.0,**,2013-01-01,2013-12-31,2005-01-01,2005-12-31,2005 is the earliest available data we have for workplace health and safety.,"Our workplace health and safety initiatives includes: fleet safety training, blood borne pathogen protection program, confined space entry program, LOTO expanded training, lab safety program and training, injury reduction program, ergonomic assessment and action plan, emergency programs.",http://www.colby.edu/campus_cs/safety/,--
Colgate University,2016-02-28,2016-02-28 11:21:52,jpumilio@colgate.edu,2.0,Pursuing,**,5.0,8.0,1230.0,1230.0,**,2013-01-01,2013-12-31,2010-01-01,2010-12-31,"In 2010, Colgate University had 8 injuries cases that resulted in lost time.  In the subsequent 3 years, Colgate University has progressively reduced there lost time injury cases.  In 2013, Colgate University had only 3 injuries cases that resulted in lost time.  ","Colgate University has a university-wide safety committee that meets quarterly to identify, evaluate, and providing mitigation solutions to university-wide safety issues.  The safety committee is also charged with the continual review of university safety and related risk management policies, procedures, practices, and physical conditions.  All student and employee injuries are investigated within 24 to determine if corrective actions are required.  The university also has a safety incentive program for quarterly performance without an injury.  The university also implemented a safety training management system to ensure all employees are receiving the required safety training based on their job classification.  ",http://www.colgate.edu/ehs,--
College of Charleston,2016-02-29,2016-02-29 16:53:03,fisherb@cofc.edu,2.0,Pursuing,**,45.0,51.0,1824.0,1790.6,**,2012-07-01,2013-06-30,2004-07-01,2005-06-30,,,--,--
College of the Atlantic,2016-03-23,2016-03-23 11:15:44,ademeo@coa.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Colorado College,2016-02-29,2016-02-29 16:10:09,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,**,27.0,33.0,744.0,694.0,**,2015-01-01,2015-12-31,2005-01-01,2005-12-31,,"Environmental Health & Safety (EHS) is a resource that is available to every member of the Colorado College community to help make the living, working, and learning environment safe, by promoting prudent work practices through information, effective education and consultation. The resource assists individuals, departments, and committees, to achieve compliance with college, local, state and federal policies and regulations, as efficiently as possible.
 ",http://www.coloradocollege.edu/offices/facilities/environmental-health-safety/,--
Colorado State University,2015-12-16,2015-12-16 16:39:19,tonie.miyamoto@colostate.edu,2.0,Pursuing,**,141.0,289.0,12060.0,9724.0,**,2013-01-01,2014-01-01,2009-01-01,2010-01-01,"Workplace injuries are tracked on a calendar year. Where as our GHG inventories and Climate Action Plan utilize a fiscal year (July 1-June 30). The calendar year 2009 was selected as the period closest to FY10, the baseline year for our CAP.","CSU's Environmental Health Safety - Occupational Health Services works to ensure and promote a healthy and safe work environment at Colorado State University (CSU) through risk assessment, application of appropriate controls [engineering, administrative and personal protective equipment (PPE)] and medical surveillance thereby meeting University, funding, accredidation, and regulatory requirements.",http://www.ehs.colostate.edu/WOHSP/Home.aspx,"The number used here is the total number of people employed on campus during the reporting year.  This counts all positions regardless of hours.  In addition, if there was turnover in a single position, they would be counted as more than one.  So FTE listed in Institutional Characteristics is representative of the weighted average number of positions on campus, this number represents the total number of people employed by the university in a year.  This reporting methodology is consistent with official reports."
Columbia University,2016-01-13,2016-01-13 14:27:24,as3215@columbia.edu,2.0,Pursuing,**,253.0,199.0,18379.0,18379.0,**,2013-01-01,2013-12-31,2012-01-01,2012-12-31,This was the year in which we can report data. ,,http://ehs.columbia.edu/,--
Connecticut College,2016-02-28,2016-02-28 16:33:12,jstoffel@conncoll.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cornell University,2016-03-18,2016-03-18 08:39:47,cma18@cornell.edu,2.0,Pursuing,**,292.0,260.0,10769.0,9832.0,**,2014-01-01,2014-12-31,2012-07-01,2013-06-30,"There was a management change in the Occupational Health, Safety and Injury Prevention (OHSIP) group in 2013. The July 1, 2012 – June 30, 2013 baseline year was selected because this is the preceding 12 month prior to the OHSIP management change. OHSIP is a division within Cornell University’s Environmental Health and Safety (EH&S) department that primarily supports the employees of Cornell University.","The Occupational Health, Safety and Injury Prevention (OHSIP) team is committed to a safe and healthful workplace for each member of the Cornell community. Our team develops and implements comprehensive and sustainable occupational safety and health programs university-wide to provide employee’s safe work procedures and to ensure compliance with regulatory requirements.

The OHSIP team are stewards of several university-wide initiatives, such as; 

Occupational Safety Programs include; Confined Space, Electrical Safety, Excavations, Fall Prevention, Hot Works, Injury & Illness Reporting, Lock/Tag/Verify, Mobile Equipment, Personal Protective Equipment and Hand & Power Tool Safety Programs

Occupational Health Programs include; Asbestos, Bloodborne Pathogens, Ergonomics, Hazard Communications, Hearing Conservation, Indoor Air Quality, Industrial Hygiene, Lead, Reproductive Health, and Respiratory Protection Programs
 
Other OHSIP initiatives include; Safety & Health inspections/consultation, Safety & Health training, industrial hygiene sampling/survey, incident investigation, and campus event audits. We are leaders in promoting a safe learning, working and living environment for the University through the integration of programs and services we provide to faculty, staff and students.",https://sp.ehs.cornell.edu/Pages/Home.aspx,--
Creighton University,2016-02-24,2016-02-24 14:08:54,mjduda@creighton.edu,2.0,Pursuing,**,60.0,116.0,1920.7,2708.0,**,2014-01-01,2014-12-31,2010-01-01,2010-12-31,"Our greenhouse gas calculations are based on a fiscal year; however, this data is calendar year. We chose the year (2010) closest to the fiscal year (2009-2010) used for all other information.","The department of Environmental Health and Safety provides training, consultation, life safety monitoring and compliance, and laboratory audits, as well as maintaining policies and procedures for safety across campus, among other programs such as an annual Safety Fair.
The Campus Safety Committee is comprised of both supervisory and non-supervisory personnel and advises on health and safety programs. A lab safety subcommittee does the same for laboratory issues.",http://www.creighton.edu/admin/facilities/ehs/,--
Denison University,2016-02-15,2016-02-15 15:55:42,kingje@denison.edu,2.0,Pursuing,**,39.0,24.0,670.0,605.0,**,2014-07-01,2015-06-30,2009-07-01,2010-06-30,This is a date where we are 100% confident of the numbers reported.,,--,--
Dickinson College,2016-03-08,2016-03-08 10:06:51,welkerm@dickinson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Drew University,2016-03-25,2016-03-25 16:12:32,swald@drew.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Duke University,2016-02-26,2016-02-26 14:18:15,tavey.mcdaniel@duke.edu,2.0,Pursuing,**,147.0,213.0,8764.0,7746.0,**,2014-01-01,2014-12-31,2007-01-01,2007-12-31,"The 2007 Baseline was chosen because it was the farthest year back that we could gather good, reliable data. ","Duke values its staff and strives to provide safe work and a safe work environment. The health and safety of every staff member, patient, student, visitor, and the environment are primary considerations in Duke's continuous efforts to eliminate or reduce conditions and behaviors that could result in injuries or illnesses. Duke is committed to the principle that such a safety culture will help maintain staff member health, increase productivity, minimize lost work time, and reduce costs.

Duke also encourages its staff to maintain and maximize their health because doing so improves personal well-being, reduces health care costs, and enhances overall work performance. Duke provides low cost and no cost services through LIVE FOR LIFE®, Duke’s employee health promotion program. 

As part of its health and wellness services, Duke also offers staff a confidential employee assistance program, Personal Assistance Service, that provides a confidential assessment of the problem or difficulty and gives short-term counseling and referral to staff and their immediate family members at no cost.
Section Policies
Safety
Smoking
Substance Abuse
Disability/Impairment
Criminal Drug Conviction
Pre-placement Health Reviews
Periodic Health Review
Pre-placement Substance Abuse Screening
Work-Related Injury/Illness
Workers Compensation
Returning to Work from a Work-Related Injury/Illness
Workplace Violence
Prohibited Weapons",http://www.hr.duke.edu/policies/health_safety/index.php,"This information is from the fiscal year 2014 report.

Information regarding the illnesses reported this past year to OSHA can be found at 
http://www.safety.duke.edu/OHS/summaries/DukeUniversity_OSHALogSummary.pdf

"
Earlham College,2016-03-03,2016-03-03 10:50:03,butchli@earlham.edu,2.0,Pursuing,**,6.0,22.0,371.0,295.0,**,2015-01-01,2015-12-31,2012-01-01,2012-12-31,"For the purposes of this report, the baseline was established as the previous year from when the first STARS report was completed.  The performance year is the previous year.",,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:26,stoddardl@easternct.edu,2.0,Pursuing,**,9.0,13.0,759.0,745.0,**,2013-07-01,2014-07-01,2013-01-01,2014-01-01,We utilized 2013 data for the baseline due to a number of different pieces of information being collected during this time. ,"Eastern Connecticut State University strives to provide comprehensive environmental health and safety services for the University community to include faculty, staff and students. This will be accomplished by developing and administering effective policies and procedures that prevent personal injuries and maintain regulatory compliance.",http://www1.easternct.edu/ehs/,The information for this credit was found by meeting and via emails with Eric Germain. 
