Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Floor area of building space covered by an indoor air quality (IAQ) management program that meets ...,Gross floor area of building space,A brief description of the institution’s indoor air quality program(s) (including information about ...,The website URL where information about the institution’s indoor air quality program(s) is available,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:22,mary.lucus@belmont.edu,2.0,Pursuing,3986342.0,3986342.0,"Belmont University has several underground garages where indoor air quality is continuously monitored for CO.  Exhaust fans are installed and programmed automatically come on when CO levels meet certain thresholds in these garages.
CO an CO2 are monitored in the 3500 seat Curb Event Center and fresh air intake is adjusted as required.
Building occupants may register concerns about indoor air quality by contacting the FMS department.  Tests are then conducted by a third party and corrections made if required.  During Fiscal Year 2015, Belmont spent over $10,000 on indoor air quality testing.",--,--
Beloit College,2016-03-23,2016-03-23 13:46:59,chapmanlr@beloit.edu,2.0,Pursuing,437226.0,1153287.0,"Beloit College first tested for radon gas on March 10, 2014 and found a concentration level above the EPA residential level of 4 pCi/L in one building.  As a result of this initial testing, multiple Beloit faculty, vendors, and others were contacted to learn more about radon and the testing protocol. Reference guidance was obtained from the Occupational Safety and Health Administration (OSHA), Environmental Protection Agency (EPA), and Georgia State University Radon Management Plan.  Among those consulted and offering assistance to Beloit College is a member of the University of Kentucky's Environmental Health and Safety Division. They have an online fact sheet that offers some useful information regarding radon plus that division’s work on testing and how they address this issue on its Lexington, Kentucky campus.  Beloit College then formed a radon committee and hired an industrial hygiene consultant to provide direction with the testing and creation of a mitigation process.  Additional tests were then completed the week of April 25 in buildings located on the south side of campus which have lower level occupants. 

Results of tests:  
To date, all reported levels have been within the amount deemed acceptable (below 32.7pCi/L) for a 40-hour work week by OSHA and ACGIH, governmental and non-governmental agencies concerned with worker safety and industrial hygiene.  A record of testing locations, results, and actions taken can be found on an internally accessible page.

Radon monitoring activities are ongoing on-campus, since exposures can change over time due to factors such as climate, increase/decrease in air flow, and building/foundation age.  Occupied areas with slightly elevated levels are to be tested quarterly, while unoccupied spaces will be tested biannually. Areas with levels at or below the EPA standard of 4 pCi/L for residential air quality will be retested annually.  

Faculty, staff, and students concerned about possible radon in areas not included in initial inventory created by the hired industrial hygiene consultant can submit a work request for radon testing through the College's Facilities work tracking system.  this system is accessible by all faculty, staff, and students.",--,--
Bentley University,2016-03-25,2016-03-25 16:00:02,nberland@bentley.edu,2.0,Pursuing,1847947.0,1850233.0,"Our Facilities department manages indoor air quality in compliance with ASHRAE standards.  They insure that the air exchange rate flushes the air in accordance with this standard.  In addition, we have preventative maintenance scheduled to change filters on a regular basis to maintaining equipment so that air quality does not fluctuate.

When there are complaints, we conduct investigations using air quality measurement tools to test carbon monoxide, carbon dioxide, methane (gas leaks), mold, water infiltration, enough air flow (oxygen levels)",--,--
Berea College,2016-02-29,2016-02-29 10:22:33,paulyj@berea.edu,2.0,Pursuing,2653804.0,2653804.0,"The Facilities Management Department maintains a preventative maintenance program that includes periodic inspections for HVAC systems to provide for the correct amount of fresh air, humidity, and temperature control to maintain comfort and air quality. Preventative maintenance inspections and filter changes on HVAC systems are conducted twice per year on campus buildings. Individuals or groups that rent Berea College property are responsible for their own filter changes.

The plan provides for a mechanism for occupants to register complaints and is addressed in the plan in the following manner:

• Contact the Environmental Health and Safety (EHS) department if building occupants experience irritations or odors that may be related to indoor air quality.

• The Berea College Environmental Health and Safety Department investigates indoor air quality (IAQ) concerns of employees, students, contractors and other building occupants (leased property).  The work or residential area and building will be evaluated for probable sources of contaminants, such as the presence of mold, chemical use and storage, general housekeeping, operation of the HVAC system, humidity and temperature control, recent renovations or new furnishings, and the presence of ozone producing equipment.  An investigation will address health concerns, symptoms, and sensitivities related to indoor air quality.   Indoor air quality investigations addressing possible flooding and mold contamination will also include a representative from Facilities.  The EHS department may collect temperature and humidity data and if necessary conduct air sampling for specific contaminants.  A formal report is prepared for all IAQ investigations and shared with concerned occupants. A corrective action plan, if needed, is included in the report and sent to the appropriate building contact, supervisor(s) or department head for implementation
",--,--
Binghamton University,2016-03-20,2016-03-20 17:32:49,sdejohn@binghamton.edu,2.0,Pursuing,6403584.0,6403584.0,"Binghamton University has a customer service center that receives calls from building occupants on all physical facilities issues including indoor air quality which may result from ventilation controls, construction activities, or other causes. Physical Facilities department responds to all requests and documents service records with a maintenance tracking software.",https://www.binghamton.edu/ehs/indoor-air-quality/index.html,--
Boston University,2016-03-03,2016-03-03 13:42:09,carlberg@bu.edu,2.0,Pursuing,14843003.0,14843003.0,"Boston University's Environmental Health and Safety Department has Industrial Hygienists on staff who conduct Indoor Air Quality assessments for University students, faculty and staff. Many areas where chemicals or hazardous materials are used receive regular exposure monitoring and ventilation system checks. Investigations involving building materials, ventilation, temperature, humidity and water damage are conducted routinely in response to occupant complaints or concerns. EHS works closely with the Facilities Management and Planning Department to resolve these issues, and to promote effective design in new spaces so that Indoor Air Quality is not compromised in the future.",http://www.bu.edu/ehs/services/iaq/,--
Bowdoin College,2016-02-25,2016-02-25 17:01:09,cpayson@bowdoin.edu,2.0,Pursuing,2041652.0,2041652.0,"Bowdoin College follows the air quality standards described by the Maine Bureau of Health, the American Society of Heating, Refrigeration, and Air-conditioning Engineers, the Occupational Safety, and Health Administration Permissible Exposure Limits, and/or the American Conference of Governmental Industrial Hygienists Threshold Limit Values depending on the purpose of the building. This includes automated air quality testing throughout campus as well as regular testing in buildings without automated testing capabilities. Complaints can be reported to the Environmental Health and Safety Manager.",http://www.bowdoin.edu/facilities/safety/pdf/IAQ%20Program%2004.04.11.pdf,--
Brown University,2016-03-23,2016-03-23 07:27:57,Ginger_Gritzo@Brown.edu,2.0,In Progress,--,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:39,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:35,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:58,nbartlett@cca.edu,2.0,Pursuing,400000.0,457031.0,"Our mechanical, janitorial, pest management, hygiene and custodial contractors and vendors provide the highest level of service and quality in all EPA IAQ standard areas. We use the EPA IAQ Tools For Schools Action Kit to guide project work and semi-annual
assessments.",http://www.epa.gov/iaq/schools/actionkit_text.html#Checklists,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:48,dan.wakelee@csuci.edu,2.0,Pursuing,1124410.0,1124410.0,"California State University Channel Islands (CI) uses Publication EPA 402-K-98-001 as a basis for CI’s Indoor Air Quality Action Plan. With Demand Control Ventilation, the buildings control system, CI can ensure a learning environment that requires the CO2 levels for the classrooms and offices to be maintained at less than 1000 PPM. When CI’s CO2 levels rise from the set 800 PPM, the controls automatically open the outside air dampers to introduce more fresh air and remove the CO2 content. 
To keep the conditions comfortable and ensure a proper flushing of contaminates, CI has adopted an ASHRAE (The American Society of Heating, Refrigerating and Air-Conditioning Engineers) standards of a minimum of four air changes per hour. In addition, CI performs annual checks of CO2 sensors that provide the primary input for controlling the concentration of CO2. 
Another key element in ensuring the proper CO2 levels and particulate filtration, CI has a preventative maintenance (PM) program in place to ensure correct equipment and filtering operation. The dust efficiency ratings for the HVAC air filters are high efficiency filters (85%). They are changed during the normal scheduled PM process or if the system detects a high differential pressure across the filter. To ensure the reliability of the filtration all filter bank seals are inspected during PM’s. 
CI, as well, takes complaints very seriously. Complaints are logged into our work order system, CMMS, for proper tracking and resolution. Actions would include meeting with the complainant, identifying possible causes and steps that may include verifications of air flows, a recheck on control sensors, and physical checks on all equipment. Adjustments or actions are made as needed at that time and verified for mitigation of the issue. 
",--,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:31,mmoscol@fullerton.edu,2.0,Pursuing,5598864.0,5598864.0,"California State University, Fullerton has implemented a program to protect employees and the public from unsafe indoor air quality (IAQ). The focus of this program is to avoid unreasonable risks and/or accidental injury or illness to members of the campus community.  To accomplish this, Environmental Health and Safety will coordinate appropriate proactive, investigative, and corrective measures concerning IAQ matters to specific IAQ events.  The IAQ program incorporates key elements of the Injury and Illness Prevention Program to achieve the stated objectives. Inspection, communication, and corrective action will be enforced by the University President.",http://rmehs.fullerton.edu/_documents/programs/IAQ%20Program.pdf,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:36,austin.eriksson@csun.edu,2.0,Pursuing,7347680.0,7347680.0,"This program is designed to help maintain a healthy indoor environment for the University’s employees, students and visitors by identifying and removing/controlling sources of indoor air pollution.",http://www.csun.edu/EHS/IAQ,"This program is designed to help maintain a healthy indoor environment for the University’s employees, students and visitors by identifying and removing/controlling sources of indoor air pollution.

I.  Purpose/Scope

PURPOSE:  The purpose of the Indoor Air Quality (IAQ) management program is to provide a proactive and systematic approach to identifying and removing or controlling sources of indoor air pollution resulting in a healthy environment for the University’s employees, students and visitors.  This program describes the tools, techniques, communications and protocols, followed by the University for maintaining optimal Indoor Air Quality and promptly responding to building occupants’ concerns regarding IAQ.
SCOPE:  This program applies to all California State University, Northridge owned and maintained buildings. "
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:15,kristina.cullen@csus.edu,2.0,Pursuing,2233002.0,2500000.0,"Sac State uses Demand Control Ventilation on the majority of its building control systems, the campus can ensure a learning environment that requires the CO2 levels for the classrooms and offices to be maintained at less than 1000 PPM. When Sac State’s CO2 levels rise from the pre-designated set point, the controls automatically open the outside air dampers to introduce more fresh air and remove the CO2 content. 
Sac State ensures proper CO2 levels as part of a preventative maintenance (PM) program which confirms correct equipment and filtering operation. The campus also uses HVAC systems with high efficiency filters rated at 85%. To ensure the reliability of the filtration all filter bank seals are inspected during monthly PMs. 

Complaints are logged into our work order system, AIM, for proper tracking and resolution. Actions would include meeting with the complainant, identifying possible causes and steps that may include verification of air flows, a recheck on control sensors, and physical checks on all equipment. Adjustments or actions are made as needed at that time and verified for mitigation of the issue. 

To calculate the gross area of building space for this credit, we only used buildings on campus that are serviced by the central plant. This excludes all UEI buildings (The Union, The WELL, etc). Additionally, to calculate the floor area of building space covered by an IAQ management program, we used only occupied building space excluding UEI buildings, closets, hallways, etc.   


 ",http://www.csus.edu/aba/Facilities/units/hvac-system-maintenance.html,--
Calvin College,2016-03-11,2016-03-11 14:31:19,bhaney@calvin.edu,2.0,Pursuing,2263247.0,2263247.0,"Calvin College is committed to minimizing employee exposure to hazardous chemicals, hazardous environments and indoor air contaminants in accordance with relevant standards and recommended exposure limits.",http://upbeat.calvin.edu/directory/policies/indoor-air-quality,--
Carleton College,2016-02-26,2016-02-26 11:19:34,mlarson@carleton.edu,2.0,Pursuing,--,1927731.0,"While Carleton does not have a specific policy for dealing with indoor air quality, if there is a concern about air quality, there are procedures in place for it to be addressed immediately. If the source is obvious, it will be taken care of, and if not, appropriate testing takes place to determine the source.  ",--,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:13,bk11@andrew.cmu.edu,2.0,Pursuing,6454591.0,6454591.0,"We have formal programs to monitor indoor air quality for the entire campus.  
For example:
b.	Chemical sensitivity guidelines
c.	Fungal abatement safe operating procedures
d.	HVAC system filters and preventative maintenance
e.	Managing water infiltration into buildings
f.	Smoke free indoor policy

All LEED-certified buildings practice indoor air quality standards as outlined by LEED guidelines. Facilities Management Systems (FMS) and Environmental Health and Safety (EH&S) both have a computerized systems where the occupants can register complaints. 

Facilities Management has portions of buildings with real-time air monitors for CO2 detection on Air Handlers and Freon monitoring.

Environmental Health and Safety (EH&S) has IAQ Standard Operating Procedures for performing investigations and action plans for solutions.

",http://www.cmu.edu/ehs/,--
Case Western Reserve University,2016-03-25,2016-03-25 15:40:40,stephanie.corbett@case.edu,2.0,Pursuing,4220014.0,4220014.0,"CWRU's indoor air quality practices are as follows: The majority of buildings on campus have air indoor quality standards in compliance with ASHRAE and/or OSHA, NIH and NSF guidelines.  10%-100% fresh air is inducted via air economizers and handlers, depending on space type.  In scientific labs the air is 100% exhausted while office space is mostly recirculated air.   A large percentage of lab space in the medical school's Wolstein Research Building uses AirCuity software, which regularly monitors the air quality and increases or decreases the # of air /hour dependent upon occupancy and chemical spills.  All occupied and unoccupied building space can be monitored by Safety officers from Environmental Health and Safety department upon complaint submitted by staff or faculty.",--,--
Chatham University,2016-02-17,2016-02-17 13:05:01,MWhitney@chatham.edu,2.0,Pursuing,1050000.0,1050000.0,"Chatham University has had a ban on VOC paints and finishes since 2000, and since 2014, environmentally friendly cleaning products must be used on all three campuses. 
Requests for remediation or complaints can be directed to facilities using an online work order system, usable by anyone with a Chatham email address.",http://my.chatham.edu/documents/getdeptdocs.cfm?DeptID=29&DisplayName=Facilities%20Management,--
Clark University,2016-02-24,2016-02-24 15:49:27,jisler@clarku.edu,2.0,Pursuing,--,1525921.0,"Building occupants are asked to report concerns to Physical Plant via the usual on-line process. All concerns are addressed by Physical Plant, and may include air quality testing, monitoring, replacement or renovation. While there is no preventative maintenance program in place to audit every space on campus, it has been a subject of discussion to add to other PM efforts.",--,--
Clarkson University,2016-02-12,2016-02-12 07:37:52,sep@clarkson.edu,2.0,Pursuing,1700033.0,1700033.0,"For indoor air quality Clarkson complies with ANSI's ventilation standards. Refer to Section 3.3.1 - HVAC Systems for the appropriat ventilation standards for each type of room. Refer to ASHRAE 55 for thermal comfort. Construction cleanup and pre-occupancy cleaning must be coordinated with Clarkson's project manager to ensure the use of low toxicity products, equipment and techniques.
",http://www.clarkson.edu/facilities/Engineering/environmentalstandards.pdf,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:20,sustain@coastal.edu,2.0,Pursuing,16233311.6337,16507048.6395,"The Leadership in Energy and Environmental Design (LEED) Green Building Rating System™ is the nationally accepted benchmark for the design, construction, and operation of high performance green buildings. LEED gives building owners and operators the tools they need to have an immediate and measurable impact on their buildings' performance. LEED promotes a whole-building approach to sustainability by recognizing performance in five key areas of human and environmental health: Site Planning, Water Management, Energy Management, Material Use, Indoor Air Quality and All Major classrooms and office spaces are monitored on a quarterly basis and student housing during the summer. The inspections consist of temperature, relative humidity, carbon monoxide/carbon dioxide concentrations and particulate counts per cubic meter. Visual observations of ceiling tiles are made to check for roof and piping leaks. Air quality complaints are handled on an individual basis. There is a complaint reporting method through School Dude. Currently there is not an indoor air quality policy at CCU.

Innovation & Design Process.
LEED provides a roadmap for measuring and documenting success for every building type and ph building lifecycle.
LEED presents a complete framework for assessing building performance and meeting sustainability goals. Based on well-founded scientific standards LEED emphasizes state of the art strategies for its categories. Each category has credits and points. LEED has certification level based on points achieved.
LEED offers environmental benefits, economic, community, health and safety benefits, reduces the impact on natural resources consumption, enhances occupant comfort and health, and minimizes strain on local infrastructure.",http://www.coastal.edu/administration/facilities/projects/projects/sustain/leed.html,--
Colby College,2016-01-12,2016-01-12 15:54:19,ksbright@colby.edu,2.0,Pursuing,--,1509797.0,"Colby does not have a proactive indoor air quality management program, but Wade Behnke, the Environmental, Health, and Safety Director, does react immediately and comprehensively to any complaints or issues brought to his attention.  We also regularly change the filters to all ventilation systems on campus.",http://www.colby.edu/campus_cs/safety/services.cfm,--
Colgate University,2016-02-28,2016-02-28 11:21:46,jpumilio@colgate.edu,2.0,Pursuing,2203403.0,2203403.0,"The Environmental Health and Safety (EHS) Office provides safety and advisory services to the entire campus community. The office is responsible for assessing and evaluating the environment, managing identified risks, advocating safe work practices, presenting quality educational programs and ensuring compliance with university and regulatory standards.",http://www.colgate.edu/offices-and-services/environmentalhealthandsafetyoffice,--
College of Charleston,2016-02-29,2016-02-29 16:52:58,fisherb@cofc.edu,2.0,Pursuing,3556696.0,3556696.0,"We follow strictly the EPA's guidelines for IAQ. We have a no smoking policy that has been formally adopted (banning smoking within 100 feet of any building). Because of high humidity in this area, we conduct frequent assessments of IAQ related to mold prevention and proper HVAC ventilation. ",http://tobaccofree.cofc.edu/,Additional information about indoor air quality can be found here: http://ehs.cofc.edu/index.php
College of the Atlantic,2016-03-23,2016-03-23 11:15:18,ademeo@coa.edu,2.0,Not Pursuing,--,--,--,--,--
Colorado College,2016-02-29,2016-02-29 16:10:04,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,2056875.0,2056875.0,"Managing air quality across campus is the responsibility of Environmental Health & Safety. The goal of the Indoor Air Quality (IAQ) program is to maintain a safe indoor air quality environment for all employees and students, and to identify and correct hazards & contamination.  The Environmental Health and Safety office monitors College compliance through audit, program development, education, accident investigation, and consultation.  The Facility Life Cycle Design Guidelines (2010) require that occupancy sensor and carbon dioxide monitors be connected to HVAC systems wherever feasible and that at least 45% of materials (adhesives & sealants, paints &coatings, carpets & carpet cushions, and composite panels) meet specific low levels of volatile organic compound off-gassing.  The Design Guidelines also outline construction standards to protect ductwork and equipment from contamination.   ",https://www.coloradocollege.edu/offices/facilities/energy-management/guidelines-for-sustainability.html,--
Colorado State University,2015-12-16,2015-12-16 16:39:14,tonie.miyamoto@colostate.edu,2.0,Pursuing,10618090.0,10618090.0,"All CSU buildings are covered by an indoor air quality plan.  All incidents of contamination or concern are managed by the Indoor Air Quality Management Group.  We also continuously monitor using a JCI Metasys building automation system. Roughly 200,000 parameters are monitored and/or alarmed on campus, including those related to indoor air quality (like airflow in lab rooms, CO2 concentrations, etc.).  

The IAQ Management Group (consisting of Environmental Health, Trades Maintenance Manager, Plumbing Shop, HVAC Shop, Custodial, and the work order control group) adress IAQ issues on campus.  The first step the team takes is to assess the situation (through monitoring, trending of the BAS system, etc.)  to arrive at root causes.  For example, is the problem a result of a problem with the air flow to the space, a new function in the space, mold or some other contaminant?  Once the root cause is determined the appropriate staff is assigned to solve the problem.  Once the problem has been addressed subsequent monitoring and follow up can be implemented in order to assure the problem has been fully addressed.",http://www.ehs.colostate.edu/WPublicH/Home.aspx,--
Columbia University,2016-01-13,2016-01-13 14:27:19,as3215@columbia.edu,2.0,Pursuing,13082585.0,13082585.0,"Columbia University’s practices related to the quality of the indoor environment focus on designing and maintaining facilities that afford occupants a high quality indoor work environment.  These practices include utilizing environmentally preferable building materials and finishes and implementation of preventive maintenance practices, such as HVAC filter maintenance/replacement, performed by Facilities Operations.  EH&S practice goal is to respond  immediately to concerns regarding the quality of the indoor work environment, assess the concerns, develop a mitigation strategy and engage the appropriate stakeholders capable of affecting recommended corrective actions. 
",http://ehs.columbia.edu/FAQ.html,--
Connecticut College,2016-02-28,2016-02-28 16:33:07,jstoffel@conncoll.edu,2.0,Not Pursuing,--,--,--,--,--
Cornell University,2016-03-18,2016-03-18 08:39:42,cma18@cornell.edu,2.0,Pursuing,13423833.0,13423833.0,"Indoor air quality is managed at Cornell by a coordinated effort among building occupants, facility coordinators for each building, facility maintenance workers and Environmental Health and Safety staff. Auditing of ventilation equipment is part of the ongoing facility maintenance program, with specific buildings having specific monitoring and auditing plans on a risk-based basis. Environmental Health and Safety staff take the lead on responding to complaints, in close coordination with local facility coordinators and occupants.",http://sp.ehs.cornell.edu/osh/occupational-health/indoor-air-quality/Pages/default.aspx,--
Creighton University,2016-02-24,2016-02-24 14:08:48,mjduda@creighton.edu,2.0,Pursuing,3606004.0,3606004.0,"Creighton recently installed an Aircuity OptiNet System in the largest science building. This system monitors air quality and increases the air flow in a room if the air quality decreases. Several staff members have the ability to monitor the air quality in the rooms with the system and adjust air flow. 

The institution owns an Aircuity machine that tracks total VOCs, carbon dioxide, and carbon monoxide, as well as tracks radon, humidity, and temperatures.  This machine is deployed regularly throughout campus, both as a baseline for commissioning, and in response to complaints.",--,--
Denison University,2016-02-15,2016-02-15 15:55:37,kingje@denison.edu,2.0,Not Pursuing,--,--,--,--,--
Dickinson College,2016-03-08,2016-03-08 10:06:46,welkerm@dickinson.edu,2.0,Pursuing,1958135.0,1958135.0,The goal of the Dickinson College Indoor Air Quality Plan is to provide a safe and healthy working environment by proactively identifying and controlling pollutants and thermal conditions that negatively impact indoor air quality.,http://www.dickinson.edu/info/20079/environmental_health_and_safety/849/environmental_management,--
Drew University,2016-03-25,2016-03-25 16:12:04,swald@drew.edu,2.0,Pursuing,1284345.0,1284345.0,"All occupied spaces at Drew University are covered by the following process: Concerns are communicated to Facilities as part of a work order for other things like odd odors or suspected mold growth from water leaks, etc.  Typically the investigation begins with a walk through of the area and a questionnaire is provided to the occupant(s) to try to narrow down health concerns, symptoms,  and spatial relationships (i.e. when is the problem occurring).  Once the potential for an air contaminant is identified as a potential source of a problem, then air sampling can be considered.  However, unlike air contaminants found in an industrial setting generated from a specific process, there are few regulatory limits associated with most of the items of concern related to general indoor air quality.  For example, the OSHA permissible exposure limit for carbon dioxide is 5000 ppm (parts per million) based on an 8 hour average.  In a normal academic setting you would probably never see a measurement that high as typically the only source of carbon dioxide inside a building is from the products of normal human respiration (i.e. exhaled air).  Taking a measurement in the morning and the evening in a particular location can show if there is a buildup of carbon dioxide throughout the day, therefore indicating if more outside air is needed in a particular space. This way the measurement of the air contaminant is more of a performance based assessment (i.e. performance of the ventilation system).",--,--
