Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an ongoing incentives program or programs that meet the criteria for this ...,"A brief description of the program(s), including positive outcomes during the previous three years",A brief description of the incentives that faculty members who participate in the program(s) receive,The website URL where information about the incentive program(s) is available,Public Notes
Beloit College,2016-03-23,2016-03-23 13:47:42,chapmanlr@beloit.edu,2.0,Pursuing,True,"Beloit College supports the Pathways to Sustainability Leadership Program.

The aims of Pathways to Sustainability Leadership include:
1) embedding sustainability in the liberal learning of our students;
2) preparing our graduates to exercise environmental leadership in their careers through the development of expertise and individual capacity for action around sustainability;
3) linking learning opportunities—including those associated with campus operations, residential living, and the greater Beloit community—with the creation and implementation of solutions in pressing areas of sustainability; and
4) through this synergy, promoting an intentional long-term approach to sustainable living more broadly and deeply among our students, faculty, staff, alumni, and the larger community.

Consistent with the developmental approach taken by Beloit College’s Liberal Arts in Practice curriculum, Pathways to Sustainability Leadership seeks the intentional development of students’ capacities by establishing three tiers of increasingly sophisticated project-based student learning pathways, Sustainability Citizens, Sustainability Fellows, and Sustainability Leaders.

I. Sustainability Citizen opportunities include courses, course modules, residential practices, and work/study opportunities that inspire students to care about sustainability and to develop the tools necessary for responsible citizenship as they assume capacity for action with respect to sustainability.

II. The Sustainability Fellows Program gives students the opportunity to contribute their expertise to a sustainability project on campus or in the Beloit community. Fellows are full-time interns for two months during the summer.

III. Sustainability Leaders Teams are three- or four-member collaborative teams charged with completing a sustainability project that is full-time for two months in the summer or part-time for an entire academic year. Student team members consult regularly with their Faculty and Staff Mentors to discuss their projects, including their ethical, creative, economic, and political dimensions, as well as how others may be persuaded to pursue their recommended solution(s).
During the 2014-15 academic year, the following courses were created or modified to include facets of sustainability, with financial resources from the Pathways to Sustainability Leadership Program.

Professor Linda Sturtz: Topics in North American Environmental History
In this course we will investigate the environmental history of North America, focusing on how humans have interacted with the natural world and how the natural world has shaped human endeavors. We will also analyze how humans have understood their roles within the natural world from the colonial period to the present. In addition to considering classic themes and texts in American environmental history, we will study the history of extinction, focusing on the extermination of the Passenger Pigeon which was once abundant in Wisconsin but became extinct when the last Pigeon died in 1914.

Professor Paul Stanley: Environmental Physics
Students will study how physics can be used to understand environmental issues, how to develop reasonable ""back-of-the-envelope"" estimations of physical phenomena associated with the environment, and how to develop a coherent, critical, physics-based assessment of the environmental impacts of technology. Students will engage in research design and implementation projects related to environmental physics; including lab and field work to verify manufacturer's claims on performance and impact of light bulbs, insulation, and air conditioners as well as doing energy audits. By the end of this course students will have been exposed to the tools to enable them to effectively use physics to address environmental concerns and to have meaningful reasoned dialog with peers and non-scientists on the role of physics in sustainability proposals.

Professor Chris Fink: Writing Wilderness 
This course includes two weeks at Beloit College, reading and writing about wilderness—as a place, a concept, and a state of mind—and a one-week “field work” experience, canoeing, camping, reading and writing in the Boundary Waters Canoe Area Wilderness, on the US and Canadian border in northern Minnesota.

Professor Gabriela Cerghedean: Intermediate Spanish:  Readings in Spanish Civilization, The Culture of Water in Medieval Iberia 
The Culture of Water in Medieval Iberia explores the role and traditional use of water in everyday life, from its material to its symbolic functions. The course explores the innovative techniques used in irrigation, the impact of the hydraulic systems on architecture, landscaping, agriculture and organic farming methods. Another goal is to analyze the main factors, the social relations, values, and ideologies that prevailed, governed, and shaped the ultimate success of al-Andalus in achieving a sustainable way of life. Moreover, we will reflect on alternative views or solutions to present-day sustainability issues.  

Sustainability Leader Teams during the 2014-15 academic  year include:
Professor Jo Ortel, Contemporary Art in an Age of Global Warming
Jo Ortel’s Sustainability Leaders Team will work together to enhance “Contemporary Art in an Age of Global Warming,” a course that explores the potential and efficacy of art to engage meaningfully with substantive, real-world problems. The Leaders Team will develop lab and fieldwork units to complement and augment understanding of the scientific dimensions of specific environmental art interventions made in the last thirty or so years. Our goal will be to expand and enrich the course in ways that challenge students and the community to think about how the creative arts might work in tandem with creative scientific thought to increase environmental sustainability.

Lynn Vollbrecht: Getting Over Posters
As a campus, we seem to be growing increasingly addicted—to paper. In researching the various ways that departments, groups, clubs, and offices get the word out about their events, staff in the college's Communications & Marketing Office have reached the conclusion that there’s a huge reliance on paper posters. A lot of posters means a lot of wasted paper, incurring a lot of expense. Students on this team will tackle the issue this summer, employing research, implementation, and plans for educating campus about any potential reforms and policy recommendations regarding the use of paper/posters in marketing campus events.

Professor Dan Bartlett, Linda Sturtz, Christy Clancy: Interdisciplinary Approaches to Teaching and Learning about Extinction
The centennial of the extinction of the passenger pigeon is September 1, 2014. To commemorate this event, an interdisciplinary team of faculty, staff and students from the fields of history, writing, science, and museum studies will develop and implement interpretive programs and resources for exploring the history of the passenger pigeon locally and examining how the bird’s extinction informs contemporary sustainability issues.

Professor Daniel Youd, Pablo Toral: Rivers in Transition
Over the course of the 2014-15 academic year, this leadership team will create a learning community of students, faculty, and staff who will meet biweekly to develop an interdisciplinary approach to the study of water security with a dual focus on the Yellow River basin in China and the Mississippi River basin in the United States. 

Lindsay Chapman: Planning for Earth Week
Every year, Earth Day is a time of reflection on our interaction with our environment and community. Without planning and programming, this day is often an afterthought. This team will plan an integrated week (or more) of events that generate intentional awareness about our relationship to our environment and our community. ","Successful faculty applicants for Beloit College Sustainability Citizen Course and Sustainability Leaders Team projects will receive various levels of support, as follows:

Sustainability Citizen Course
Faculty course modification or development stipend: $1,000
Course budget*: $1,000

Sustainability Leaders Team
--Summer (8 weeks) Team
Faculty mentor stipend: $5,000
Team budget*: $1,000
--Academic year Team
Faculty mentor stipend: $1,500
Team budget*: $1,000
*Alternative budget plans that do not fall within the specified parameters will be considered.
*An expense budget of up to $1,000 per course or team. Budget categories may include travel, supplies, honoraria, etc.
*Faculty or staff members who teach a Sustainability Citizen Course or mentor a Sustainability Leaders team, and students who are members of a Sustainability Leaders Team, will also be eligible to apply for up to $1,000 per person for project dissemination (e.g., travel to professional meetings or workshops).
",http://www.beloit.edu/sustainability/pathways/,--
Bentley University,2016-03-25,2016-03-25 16:00:52,nberland@bentley.edu,2.0,Pursuing,True,"Although the institution does not have explicit funding, there is professional development and summer research funding for pedagogy in sustainability.

Another option for professors are the Rauch grants for research and curriculum development. If a professor has a particular idea for a sustainability related course, he/she can propose funding through traditional grants.

The Valente Center for Arts and Sciences has a Faculty Fellow program that will award a course release (take on one less course for semester) for a range of activities, including creative pedagogy development in sustainability.

There is an existing NSF grant for integrating Earth and Environmental Science into the Business Curriculum through collaborative development of course modules and activities between science and business faculty. This has provided funding for central complex modules which have been integrated into both science and business. For example, ethanol production.","Course release in the case of the Valente Center, a stipend to pay for summer salary, or research grant to pay expenses for professional development in the case of the Rauch grants.",http://www.bentley.edu/centers/valente-center/faculty-opportunities,--
Berea College,2016-02-29,2016-02-29 10:22:42,paulyj@berea.edu,2.0,Not Pursuing,--,--,--,--,--
Binghamton University,2016-03-20,2016-03-20 17:32:57,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:42:18,carlberg@bu.edu,2.0,Not Pursuing,--,--,--,--,--
Bowdoin College,2016-02-25,2016-02-25 17:01:18,cpayson@bowdoin.edu,2.0,Not Pursuing,--,--,--,--,--
Brown University,2016-03-23,2016-03-23 07:28:47,Ginger_Gritzo@Brown.edu,2.0,Pursuing,--,,,--,"Brown has not yet defined ""sustainability courses"" or ""sustainability research.""  This is something the Sustainability Strategic Planning committee convened in FY13 may cover. Currently the Environmental Change Initiative at Brown supports a ""broad interdisciplinary approach [to environmental problems research] that brings together scientists and students from the physical, life and social sciences as well as the public policy arena."" "
Bryant University,2015-08-19,2015-08-19 14:50:48,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,"The present faculty incentive program for new course development will be adapted to provide encouragement for new sustainability courses, or for adding sustainability focus to existing courses."
Bucknell University,2016-01-19,2016-01-19 09:43:44,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:12:06,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:56,dan.wakelee@csuci.edu,2.0,Pursuing,True,"Incentives for Developing Sustainability Courses

Faculty Development to Support Faculty in their Efforts to Provide Sustainability Course Offerings

Faculty Development is not an academic program that offers courses or degrees. Instead, it is a support office whose efforts are to help align faculty instructional effort in supporting students to succeed in achieving the larger learning goals and outcomes of the university. 

(1) Travel Support for development of an interdisciplinary campus symposium. 

(2) Annual winter writing retreat. 

(3) Guest lectures involve conveying the kinds of student learning needed to do successful interdisciplinary high-level evaluative thinking that is required for understanding and applying concepts of sustainability. 

(4) Funded projects that pay participating faculty small stipends ($500 per semester) include Faculty Learning Communities for ""Design of Deep Learning Exercises"" and an ongoing project to develop a Science Literacy Concept Inventory. A short Sustainability Literacy Concept Inventory is being developed as both a teaching aid and an assessment instrument.

(5) Faculty minigrants: These small grants average about $7000 per faculty and faculty receive support primarily in form of release time to pursue innovative scholarship and teaching innovation. 

Additional information is available at http://facultydevelopment.csuci.edu/, especially the tab links: assessment of student learning (under construction), Mini-grant program, and Faculty Resources.
","General incentives include sponsorship of funding for professional development, training in demonstrating effective student learning (assessment), workshops in teaching and assessment, retreats, in-class guest lectures on learning, ethics and critical thinking. Specific examples are listed above.",http://facultydevelopment.csuci.edu/,http://www.csuci.edu/sustainability/stars/education-and-research/developing-sustainability-courses.htm
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:40,mmoscol@fullerton.edu,2.0,Pursuing,True,"The ‘Campus as a Living Lab’ Grant Program is a unique opportunity to partner faculty and facilities management staff in using the campus as a forum for the exploration of sustainability concepts and theories. The program aligns the California State University’s long-standing commitment to sustainability with the fundamental goal of preparing students for the workforce.

The ‘Campus as a Living Lab’ Grant Program will provide funds for two schemes:

-   The development or redesign of a course that ties elements of sustainability into opportunities for learning using the campus physical plant. Funds of up to $12,000 will be awarded to support the preparation of the proposed course.
-    The creation of an interdisciplinary Learning Community, focused on campus sustainability. The learning community may be comprised of faculty, staff, students, and community college partners. Funds of up to $12,000 will be awarded to support the activities of the proposed Learning Communities.

Students in every discipline can benefit from general education courses that introduce theories and concepts in sustainability and environmental responsibility, including but not limited to Science, Technology, Engineering, and Math (STEM) disciplines. Proposals that incorporate at least one high-impact practice such as for-credit internships, service-learning courses, undergraduate research opportunities, student learning communities, and first year or capstone programs, are strongly encouraged. 
",Release time and/or stipends.,http://www.calstate.edu/cpdc/sustainability/liv-lab-grant/,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:45,austin.eriksson@csun.edu,2.0,Pursuing,True,"1. G.E. Path in Principles of Sustainability: Faculty currently teaching General Education courses are invited to submit their existing courses for inclusion in any of the six GE Paths: Aesthetics and Culture; Arts, Media, and Society; Health and Wellness; Global Studies; Principles of Sustainability; and Social Justice. Courses must contain content that is related to the appropriate path and should meet at least two of the student learning outcomes that have been identified for each path. Faculty who participate will receive a stipend and are expected to become actively involved in the program.
A list of courses developed with sustainability content can be found at: http://www.csun.edu/undergraduate-studies/ge-paths/courses-and-faculty-path

2. Faculty Incentive Program for Sustainability Education: To expand student learning in sustainability through the development of course materials and curriculum.  All full-time and part-time tenured and tenure-track faculty and lecturers are eligible to apply. A stipend is awarded to faculty who participate.
18 faculty have been supported in the GE path program in Sustainability and 10 in the FIPSE program offered for the first time in Fall 2015.","Stipend based on # of courses and # of hours of relevant instructional material developed.
http://www.csun.edu/sustainability/faculty-incentive-program-sustainability-education
and http://www.csun.edu/undergraduate-studies/ge-paths/faculty-resources.
",http://www.csun.edu/sustainability/faculty-incentive-program-sustainability-education,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:24,kristina.cullen@csus.edu,2.0,Pursuing,True,"In preparing Sacramento State students for their futures as citizens of the world, it is imperative that we provide them with opportunities to develop their understanding of the world in which they live, to adopt a genuine and authentic global perspective on the issues we all face.  The Provost's advisory committee on Curricular Global Engagement  developed the following statement, emphasizing Sacramento State's commitment to providing students with a global education:

""Sacramento State is committed to developing, sustaining and  promoting  global studies, international educational exchanges and research initiatives, in support of the university’s commitment to the preparation of informed world citizens. The University strives to provide students and faculty with the multidisciplinary, intercultural and ethical understandings necessary to engage, lead and prosper in a variety of settings requiring knowledge and problem solving skills in a diverse, global arena.""

Initiated by the Provost's Advisory Committee on Curricular Global Engagement, Sacramento State's One World Initiative is a new campus-wide initiative intended to bring together and highlight the many global engagement opportunities at Sacramento State, both within the curriculum and within the broader campus environment. 

The inaugural 2012-2013 theme, Global Perspectives on Water, the 2013-14 theme Global Perspectives on Migration, and the 2014-2015 them Global Perspectives on Happiness were highly successful, being incorporated into numerous course syllabi and generating over 20 events per semester. The One World theme for the 2015-16 academic year is Global Perspectives on Power.",The One World Initiative advertises faculty members who participate and provide them with an outlet to showcase their work that applies to the program. The One World Initiative team also provides support to faculty members who may have questions about how to integrate the themes into their curriculum. ,http://www.csus.edu/oneworld/courses.html,--
Calvin College,2016-03-11,2016-03-11 14:31:28,bhaney@calvin.edu,2.0,Pursuing,True,"Sustainability Across the Curriculum Faculty Development Workshop: 
Offered in 2010 and 2012. 8 faculty were given training for a week in the summer to develop a course or a unit for an existing course around sustainability. This workshop was lead by three Calvin faculty. Out of the two workshops, at least one new course was created (Sustainability and Literature) and offered (most recently this current semester -- Fall 2015).",Faculty are given a small stipend for participating.,http://www.calvin.edu/admin/provost/sustainability/initiatives/SAC-2012.html,--
Carleton College,2016-02-26,2016-02-26 11:19:43,mlarson@carleton.edu,2.0,Not Pursuing,--,--,--,--,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:22,bk11@andrew.cmu.edu,2.0,Pursuing,True,"Carnegie Mellon University's Steinbrenner Institute for Education and Research provides small grants to students, staff and faculty for the development or enhancement of formal and informal environmental education programs. The SEED (Steinbrenner Environmental Education Development) Fund supports projects such as campus wide student sustainability initiatives, the Environment Today immersion course, and the development of modules or courses that will enhance sustainability education and practice on campus.","Small grants (up to $2500) to support SEED projects are available. Applications are accepted on a ‘rolling’ basis and the criteria for application include the following:

•Eligible activities include course development, projects, workshops, or events
•Students must be involved in the program
•Provision of some level of matching funds must be demonstrated

In addition to SEED Funding, the University provides up to $10,000 annually for the Environment Today weekend immersion course.  The course allows undergraduate and graduate students to be involved in a weekend long exploration of topical environmental issues.  The course is co-coordinated by undergraduate student group, Sustainable Earth and the Steinbrenner Institute with support from the office of the Vice Provost for Education.
",http://www.cmu.edu/environment/funding/index.html,--
Case Western Reserve University,2016-03-25,2016-03-25 15:41:22,stephanie.corbett@case.edu,2.0,Not Pursuing,--,--,--,--,--
Chatham University,2016-02-17,2016-02-17 13:05:09,MWhitney@chatham.edu,2.0,Pursuing,True,"Chatham University's current capital campaign includes three priorities: Reach the Summit, Strengthen the Core, and Enhance the Experience. Within these priorities is $5 million for faculty chairs, both intended to foster the mission of women’s leadership and preparing students to succeed in an interconnected world through community engagement and sustainable practices. 

For the 2012-13 academic year, 5.6% of the institution’s operating budget ($703,000 of $12,438,000) was allocated to supporting institutional engagement with the community. These allocations were derived from tuition and endowment revenues and are permanent to the extent that they are mission and strategic initiatives of the institution. Funds allocated to faculty for course and program development include Global Focus ($25,000) to partner with the annual community partner specific to the selected region of study, as well as for funding internal incentive grants for faculty such as Mim Seidel’s urban garden project with Larimer Green Team ($35,000), and faculty fellow awards for work with a variety of community partners ($20,000). 

Faculty and staff are regularly funded to attend events and conferences related to community engagement activities. Engagement activities are supported through faculty sabbaticals and research funding. For example, an internal grant of $2000 was provided to Ms. Miriam Seidel to conduct a feasibility study for engagement of identified community participants in a community garden project. In partnership with the Larimer Green Team, Ms. Seidel’s study explored whether subjects recruited for an evidence-based group diabetes program would concurrently participate in a community garden when given the opportunity and encouragement to do so. As a result of this grant, a similar project was conducted in Pittsburgh's Hazelwood neighborhood in Summer 2014. Research for both projects was conducted by students in the FST (Food Studies) 613 Community Research: Food and Health course. 

The institution regularly funds international travel for developing partnerships with global institutions. A contingent of university administrators and board of trustee members traveled to EARTH University in Costa Rica to develop ongoing sustainability partnerships between the institutions. As a result, the university received funding to develop courses in conjunction with EARTH. In Summer 2015, Falk School of Sustainability faculty members Nadine Lehrer and John Taylor led a two-week, three credit Global Agriculture course to Costa Rica taught at EARTH University and on nearby farms. ","Community engagement is recognized as one form of scholarship. As the majority of Chatham’s graduate programs are applied in nature, engaged scholarship is frequently substantial in the faculty reviews for promotion and are routinely assessed and rewarded. 

The University recognizes that faculty teaching and research interests are enhanced through planned travel, whether it is to a professional meeting or to consult with research colleagues at other institutions, or another type of travel activity that leads to professional development. Consequently, the University invests in faculty’s broad involvement and activities and makes available, through the Office of Academic Affairs, reimbursement of partial expenses for these purposes for interested full-time faculty. For the 2012-13 academic year, the University supported over $87,000 in faculty travel. ",--,--
Clark University,2016-02-24,2016-02-24 15:49:40,jisler@clarku.edu,2.0,Not Pursuing,--,--,--,--,--
