Institution,Date Submitted,Last Updated,Liason Email,Version,Status,The percentage of entering students that are provided an opportunity to participate in orientation ...,A brief description of how sustainability is included prominently in new student orientation,The website URL where information about sustainability in student orientation is available,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:21,mary.lucus@belmont.edu,2.0,Pursuing,100.0,"The Office of Residence Life hosts an annual energy conservation contest between residential complexes, and the Office of Residence Life supports student’s own sustainability initiatives through The Sustainability Grant for Students.

Residence Life limit students to the following items specifications:

What to Bring
*Refrigerator (Less than 4 cu. ft. & 1.8 amps) - Energy Star qualification is required
*CFL light bulbs (compact fluorescent light)
*Smart Strip Surge Protector (automatically shuts off power to devices that are not in use)
Microwave (800 watts or less)
",http://www.belmont.edu/reslife/incomingstudents/sustainability.html,--
Beloit College,2016-03-23,2016-03-23 13:45:58,chapmanlr@beloit.edu,2.0,Pursuing,90.0,"During the new student orientation days, the Office of Sustainability had a ""cookies and lemonade"" drop-in time available for all new students to come meet the Sustainability Coordinator, the Sustainability Hall Director, a few faculty members involved in sustainability projects, and a few current sustainability employees.  This informal setting allowed for much one-on-one interactions for new students to be able to ask questions about how to get involved and express any past involvement or future desires to be involved in sustainability endeavors.
Additionally, the Sustainability Coordinator and Sustainability Hall Director provided training to all student Residential Assistants who communicated knowledge like recycling and heating and cooling best practices to the students living on their floors and in their houses.",--,10% of new students came in as transfer students at the beginning of the spring semester.  No sustainability orientation was created for these students.
Bentley University,2016-03-25,2016-03-25 15:59:55,nberland@bentley.edu,2.0,Pursuing,100.0,"The Manager of Sustainability gives presentations at several optional orientation and required sessions: Cultural Adjustment and Immigration Regulations, Session for International Graduate Students, Graduate Student Exposition, the Undergraduate International Student Orientation, First week “Explore Bentley” Session, and an overview of Sustainability groups, events, and academic opportunities. 

Additionally, the Manager of Sustainability educates freshmen on recycling and other campus initiatives at a mandatory session that includes information about their residence hall during orientation. All freshmen receive a reusable water bottle and education about drinking tap water instead of bottled water.

Finally, the Office of Sustainability hosts a table at the RA Resource Fair serving to educate RAs on sustainability topics and providing them with resources to educate their residents. ",http://www.bentley.edu/campus-life/traditions/first-week,--
Berea College,2016-02-29,2016-02-29 10:22:31,paulyj@berea.edu,2.0,Pursuing,95.0,"Pre-Orientation:
The office of sustainability participates in outreach with all freshmen that attend Summer Connections, the primary pre-orientaiton even held by the institution.
Orientaiton:
The office of sustainability practices direct outreach electronically and in-person with all first year students. Contact with these first year students is continued through recycling ambassadors during public events and while first year students move into the dorms for the first time. This follows into theother outreach programs listed in EN 1 throughout the year. 
",http://www.berea.edu/sustainability,--
Binghamton University,2016-03-20,2016-03-20 17:32:47,sdejohn@binghamton.edu,2.0,Pursuing,100.0,"Since fall 2015, Binghamton University has provided over 300 student-initiated and/or student-oriented events incorporating the principles of sustainability (using AASHE’s definition). A full list of events is available upon request. However, here is a small sample:

IDEAS for Binghamton: What is Real Food? Two Real Food Challenge coordinators hold a workshop to address: 1, What is “real food” and how students can obtain it on campus?; 2, What are the prevalent issues of the Food Industry and how they relate to campus food services?; 3, How can we join the hundreds of schools leveraging their purchasing power to build a sustainable food system?; and 4, How do prejudices and inequities inherent in our communities prevent many people from accessing healthy, sustainable, and ethical food options? 
Student United Way: Trip to Carlisle After-School Program. Student United Way is a volunteer organization on campus that volunteers in the local community. The organization often visits Carlisle, a housing community for low-income families in the Binghamton area. Carlisle holds an after-school program daily, and students attend the after-school program to spend time with the children.

Mental Health Outreach Peer Educators: Assertiveness Training. Fulfilling the Mental Health Advocate Certification series’ category of training in Interpersonal Skills, the Mental Health Outreach Peer Educators’ workshop teaches students how to voice their true thoughts and feelings, speak up for their needs, and stand up for themselves. 

Hilarity for Charity (Alzheimer’s Association) Talent Show. Hilarity for Charity is an organization founded by actor Seth Rogen and his wife that raises both money and awareness for Alzheimer's disease. BU students working closely with the HFC organization and the Alzheimer's association strive to bring much needed attention to this cause neglected cause. Hilarity for Charity hosts a fundraising Talent Show featuring BU students to support the Alzheimer's Association. 

Depression and College Students: Recognizing the Signs, Getting Help, and Beating It! In this seminar, students learn the facts and myths around depression, how to recognize the signs of depression, and what to do get help themselves and/or their peers. The seminar will also offer useful tips on reducing the risk of depression and managing one’s overall mental well-being. 
	10 Days to Zero Campaign Partners in Health fundraiser/meeting All money raised during this campaign will go towards ending Tuberculosis in Carabayllo, Peru. 
Of programs offered by student organizations in 2014-15  there were over 200 programs focusing on one of six area of wellness:
•	28% on knowledge acquisition
•	25% on physical health/nutrition
•	25% on emotional/mental health
•	14% on social health and
•	4% on vocational planning and spiritual health

Our Resource Management Team is also present at every student orientation to handout information regarding our recycling and composting programs.  RAs and RDs are required to show new students in their buildings where to locate recycling receptacles.",http://www.binghamton.edu/sustainability/get-involved.html,--
Boston University,2016-03-03,2016-03-03 13:42:08,carlberg@bu.edu,2.0,Pursuing,100.0,"The Sustainability Director and Outreach Coordinator provide an orientation presentation during each of the seven weeks of new student orientation each summer and one session for students entering in the spring term. The presentation introduces students to sustainable principles, quantitative facts, and initiatives that take place on campus, including efforts toward energy saving and the sustainable criteria BU’s Dining services fill. Encouraging specific sustainable habits that they can adopt as soon as students move in and start adapting to their new environment, they are provided with practical information such as the location of recycling bins, what bulbs to use, sustainable printing behaviors, where indoor and outdoor bike racks can be found and how to sustainability get around campus. All students receive reusable water bottles and recycling fabric bags when given keys to their new living space. In addition, sustainability@BU holds a booth at the main fair amongst other on campus organizations, exposing students with what they can expect, what is expected of them, opportunities to get involved and what resources and events are available to them.",--,--
Bowdoin College,2016-02-25,2016-02-25 17:01:07,cpayson@bowdoin.edu,2.0,Pursuing,100.0,"A variety of strategies are used during orientation to encourage new students to be active on campus and set a tone of a campus wide commitment to sustainability. 
•       Before first year students arrive on campus, they receive two postcards from Sustainable Bowdoin, one that discusses Bowdoin's carbon neutrality commitment, the campus zero-sort recycling program, and an overview of ways to get involved. The other card encourages students who are considering buying or renting a refrigerator for their room to make sure that it is an efficient Energy Star rated appliance. The Sustainability Office offers a sign-up for students who want to rent an Energy Star Micro-Fridge, which are dropped to the students dorm before they arrive and are removed at the end of the school year. 
•       During orientation, the Sustainability Office partners with Residential Life to provide LED light bulbs during move-in. 
•       The Sustainability Office also partners with several different offices on campus (ex. Career Planning, Dean’s Office, Athletics, etc.) to provide each incoming first year with a reusable water bottle, branded with their class year, to incentivize less plastic bottle purchasing. 
•       A variety of Bowdoin's Orientation trips focus on protecting and sustaining many environments in or around the Coastal Maine area. Two of the trips have a specific sustainability focus.  
•       When first year students arrive back on campus after the Orientation trips, their first meal in Bowdoin’s dining hall is a “Maine Themed Dinner” that features food from Bowdoin’s Organic Garden and other Maine farms. At the dinner, the Sustainability Outreach Coordinator speaks about Bowdoin's sustainable practices and shows an informative video that discusses ways to engage in sustainability issues while at Bowdoin.
•       The Sustainability Office also has a table at the Orientation Information session to inform new students about various initiatives on campus and the many green clubs that they can join.
•       Since first year Eco-Rep employment positions are not filled until a few weeks into the school year, the first year Eco-Reps from the previous year come back to work during orientation and the first few weeks of the school year to provide education and outreach to the students from their dorm the previous year.  Their job is to raise awareness about campus sustainability practices, promote participation in Sustainability events, and encourage them to apply to be the Eco-Rep for their dorm for the upcoming year. 
",http://www.bowdoin.edu/mckeen-center/service-leadership/community-immersion-pre-orientation.shtml,--
Brown University,2016-03-23,2016-03-23 07:27:51,Ginger_Gritzo@Brown.edu,2.0,Pursuing,100.0,"All incoming first years, transfers, and dual-degree RISD/Brown students are greeted at key check in by an EcoReps volunteer. Students are also given a reusable bottle and encouraged to research and engage with environmental student groups. Additionally, recycling training is offered to all residential peer leaders at their first floor meetings during orientation weekend. ",http://www.brown.edu/initiatives/brown-is-green/green-dorm-room,--
Bryant University,2015-08-19,2015-08-19 14:50:37,gvalenti@bryant.edu,2.0,In Progress,--,--,--,There are plans to work with the departments of Admissions and Student Affairs in regard to planning for a broader emphasis on sustainability for the 2013 orientation program. 
Bucknell University,2016-01-19,2016-01-19 09:43:34,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:49,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:40,dan.wakelee@csuci.edu,2.0,Pursuing,100.0,850 freshmen and 220 transfer students attended IVO for which sustainaiility facts are presented at each session; water stations are highlighted on the program and in scripts; reusable water bottles are provided; sustainability inserts are given out; and sustainability session is given via pre-orientation homework,http://www.csuci.edu/sustainability/stars/education-and-research/sustainability-in-new-student-orientation.htm,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:30,mmoscol@fullerton.edu,2.0,Pursuing,--,"New Student Orientation programs typically include history of the campus, campus tours, and ways to get involved in their campus.  Sustainability is scheduled to be included in the Summer Orientations for all incoming students for Fall 2015 in the following ways:

-Training from the Facilities Operations Engineering and Sustainability Unit personnel will be provided to the student Tour Guides starting in Summer 2015, which Tour Guides will be able to incorporate into their campus tour scripts.  

-Orientation will also include student clubs and organizations, events, and volunteer activities in which to get involved on campus.  

-Sustainability is also being incorporated into the campus online Virtual Tour (http://www.fullerton.edu/virtualtour/ ) under the new ""A Sustainable Campus"" tab, for institutional outreach and education on existing sustainable features on campus.",http://www.fullerton.edu/orientation/,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:34,austin.eriksson@csun.edu,2.0,Pursuing,100.0,"Sustainability at CSUN is represented at the new student orientation in several ways. there are posters throughout the tours of campus that are targeted at students to show them where CSUN is with regards to our sustainability goals. NSO LIVE is a live skit that last for several hours where students are educating other students about the different things CSUN has to offer, sustainability included. They also have a tabling event for the students to learn about the various departments, clubs, etc. that they can get involved with. Our Institute for Sustainability is involved with this and offers different information about what CSUN is doing with sustainability and how the students can help.",http://www.csun.edu/nso/new-student-orientation,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:13,kristina.cullen@csus.edu,2.0,Pursuing,100.0,"A walking tour is provided to all incoming new students as part of their orientation program.  The following are the talking points incorporated into the orientation walking tour that highlight campus sustainability along the tour:
New Student Orientation Sustainable Talking Points:
•	Sac State has two LEED Certified buildings. LEED stands for Leadership in Energy and Environmental Design and indicates that the buildings were designed from conception to meet certain standards of environmentally friendly and sustainable building practices.
--The WELL is recognized as a LEED Gold building, the 2nd highest building rating in sustainable construction.
--The American River Courtyard in Housing and Residential Life is also a certified LEED Gold building.

•	Sac State is a Tree Campus USA.
--The National Arbor Day Foundation recognized the University’s efforts towards urban forestation with a formal presentation in November of 2012.
--The University maintains a Tree Campus Committee whose members’ duties include setting the standards for tree care and plantings on campus.
--The honor is good for one year at a time so the campus must maintain those standards and apply annually.
--The canopy of trees help to create a cooler campus, potentially driving down energy consumption.

•	The University’s Grounds and Landscaping Department is committed to striving to plant sustainable plants for all its new vegetation. These include drought-tolerant native plants that require far less water to survive.

•	Throughout campus, you’ll notice our energy efficient pathway lighting. The ‘green poles’ are all induction lighting which offer 100,000+ hours or around 11.5 years of service.

•	Throughout campus you will notice our recycling receptacles. The University currently uses a mixed stream recycling program which means you can deposit into the receptacle for recycling nearly any object that is not wood, Expanded Polystyrene Plastics (Styrofoam), contaminated by food or oils, or contains toxins such as those found in batteries or electronics.
--Please remember that plastic coffee cups ARE recyclable once you have poured out the contents.
--Also, please remember that bringing your own mug is the most sustainable choice and that Java City offers a $0.10 discount, Starbucks offers a $0.50 discount, and Jamba Juice offers a $0.10 discount when you bring your reusable cup to use.

•	One of the greenest spots on campus is the University Arboretum. Boasting some 1,200 trees on a 3-acre site on the North end of campus, the Arboretum also has several attractions including a California Natives section that features many drought resistant plants. A nice place to get away from it all between classes, the Arboretum is open daily from dawn to dusk.

•	We provide several opportunities/facilities here on campus so that you can travel here sustainably:

--UTAPS issues a Carpool parking pass which is not only cheaper per person, but also has designated parking spaces for Carpool participants.
--Part of your class registration fees pays for a Commuter Sleeve which will give you free passage on any of the regularly scheduled Regional Transit services throughout the semester. This includes all buses and light rails.
--UTAPS has also partnered with Zipcars to provide two vehicles for student use. Zipcars are a great mode of alternative transportation in that they are vehicles that any student can sign up to use. In leaving their own vehicles at home, the intent is that there will be fewer vehicles on the road. The vehicles are located near the Residence halls and are available 24 hours a day and for up to 180 miles. The registration form to sign up for Zipcar use is available on the UTAPS website!
--In Spring 2014 a Bicycle Task Force comprised of members of Facilities
Management and University Transportation and Parking Services created
a plan to transform Sac State into a more bicycle-friendly campus. These
changes included three new bicycle compounds with over 400 new
parking spots; two new skateboard towers capable of holding up to 40
skateboards and scooters; and new bicycle traffic lanes throughout
campus consisting of designated ""Pedestrians Only"" zones to ensure the
safe passage of both pedestrian and bicyclist.

•	Sac State has a total of 2,100 solar panels on the roofs of the Library and The WELL with the intention of adding more to other rooftops in the future.
--Library I, II have 1,148 panels on their rooftops and reduce the University’s carbon footprint by 123.8 metric tons of carbon dioxide emissions.
--The rooftop of The WELL has 952 panels and reduces the carbon footprint by 92.8 metric tons. 
--The panels at The WELL make up roughly 16% of its power.
--Interesting fact: the panels were installed at no cost to the school—the University just purchases the power they generate so student tuition is not negatively impacted at all!  

•	The campus is a Smart Grid, an exciting venture in sustainability!
--By partnering with our local electric utility, SMUD, the University launched a program that will more precisely monitor the way each building uses electricity. Over 80 meters placed throughout campus will allow the University to more accurately pinpoint opportunities to become more efficient in its consumption of electricity.
--Not only will this bring significant monetary savings to the school, but it has already garnered national attention as Sac State has become a model of how to integrate the Smart Grid process onto a campus setting.
--Part of the Smart Grid implementation involved installation of 14 electric vehicle charging stations is available on campus. There are four stations located in Parking Structure 1, seven located in Parking Structure 2, and three located in Parking Lot 1.
",--,--
Calvin College,2016-03-11,2016-03-11 14:31:17,bhaney@calvin.edu,2.0,Pursuing,93.0,"Wilderness Orientation All incoming students are offered an opportunity to attend a wilderness orientation program for 7-10 days prior to fall classes. During this experience, students learn how to appreciate wilderness and experience wonder at creation, Students receive training on how to minimize their environmental impact while enjoying the wilderness. Students learn how to seek God through nature. 

Sustainability breakout sessions: All incoming first-time-at-any-college students (93% of incoming students) participate in the 3 day orientation program prior to classes starting.  This 3-day program contains a sustainability breakout session.  Staff & faculty partner to give a 35 minute talk about sustainability to any students who choose to attend. 
 (about 10% of students choose to attend). The topic of the session is: Reformed perspective on sustainablity: how faith connects to our efforts in creation care. What Calvin is doing around sustainability, opportunities to be involved in sustainability while at Calvin.
Streetfest: One day of this 3-day program is spent on a service-learning project in the city. For this day, a vegetarian sack lunch is provided. There is a rigorous process of recycling and composting that happens after students return at the end of the day with their lunch. Students see where every piece of their lunch ends up, and verbal explanations and signage are provided to explain why the meals are vegetarian, and why we are asking them to compost and recycle their waste. 

Operations: Our orientation program has moved to an online booklet, using the guidebook app. We were 50% paperless this year, will move to 100% next year. 
We also buy sweatshop shop free T-shirts. (We don't currently tell students that their shirts are sweatshop free)",http://www.calvin.edu/offices-services/orientation/programs/wilderness-orientation/,--
Carleton College,2016-02-26,2016-02-26 11:19:33,mlarson@carleton.edu,2.0,Pursuing,100.0,"Prior to the start of New Student Week, Carleton sustainability assistants (STAs) provide an optional educational seminar for all peer leaders, the group of students who lead new student groups.  The STAs manage a table at the New Student Welcome Tent and offer wind turbine, steam plant and student organic farm tours to students and parents.  Later in the week, the STAs provide a presentation to incoming freshman to inform them of various campus sustainability initiatives and provide suggestions on how they can get involved in sustainability-related student groups and activities.  The College posts a ""New Student Green Guide"" on the new student website to provide incoming students with a preview of Carleton's sustainability programs and opportunities.",http://apps.carleton.edu/newstudents/nsw/,"Specific links include:

Green Guide: http://apps.carleton.edu/newstudents/assets/Green_Guide_2014.pdf
Sustainability Tours: http://apps.carleton.edu/newstudents/nsw/week/Day1/
Sustainability at Carleton Presentation: http://apps.carleton.edu/newstudents/nsw/week/day5/"
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:11,bk11@andrew.cmu.edu,2.0,Pursuing,100.0,"Prior to move-in day, Housing & Dining and Student Affairs includes information, sent to incoming students, about minimizing their waste during move-in and recommend environmental or energy saving items to bring to campus.  

Our fall 2013 orientation programming included a Zero Waste Dinner for all incoming first year students.  Sustainability staff use the Zero Waste dinner as an educational opportunity to share with new students (in a fun and inviting fashion) Carnegie Mellon’s commitment to campus sustainability.  

In addition to the Zero Waste Dinner, orientation week also features the annual Eco-Fabulous Gathering held at the Electric Garage featuring a “zero waste” style spread for students, faculty and staff. During this event, new students are able to mix and engage with representatives of environmentally focused student and staff organizations and receive additional information on campus greening efforts and how they can become involved in campus sustainability.  Some of the student and staff groups represented at this event are from Sustainable Earth, Engineers Without Borders, Green Practices and the Steinbrenner Institute for Environmental Education and Research.  This past year, the event was a part of a community event, The Craig Street Crawl, where the street was closed down for a festival for our first year students to meet the local business owners and vendors.

Campus sustainability efforts are also shared with graduate students during the annual Graduate Resource Fair, a fixture of graduate orientation week.  Green Practices and the Steinbrenner Institute collaborate on this effort to bring information on campus greening, educational and research opportunities in campus sustainability to hundreds of graduate students during this event. 
",http://www.studentaffairs.cmu.edu/first-year/,"Additional information for new students relating to campus sustainability can be found at the Environment at CMU website:  http://www.cmu.edu/environment/
"
Case Western Reserve University,2016-03-25,2016-03-25 15:39:44,stephanie.corbett@case.edu,2.0,Pursuing,100.0,"- All incoming students are invited to attend an event at the University farm that is centered on teaching the students about sustainability generally and at the University specifically. Activities include a meal made with local and farm-grown ingredients, faculty-led talks regarding sustainability-focused research and farm activities, and field games.  
 - Students are also offered the ability to attend a pre-orientation adventure.  For the past several years, the Office for Sustainability has hosted a sustainability-themed adventure which tours participating students to different sustainability-focused businesses, activities and opportunities around Cleveland.  
- Additionally the University often has special opportunities to highlight sustainability during orientation. Examples include:  CWRU's Fall 2012 Convocation speaker was William Kamkwamba and the common reading was his renewable energy-based book ""The Boy Who Harnessed the Wind;"" New students receive an electronic newsletter with a link to ""Green Your Move In""; Orientation picnics and BBQs are often zero-waste / compostable waste events; many Cleveland Exploration Trips have sustainability themes, and the majority of them are oriented to helping incoming students navigate the regional mass-transit system.  ",--,--
Chatham University,2016-02-17,2016-02-17 13:04:53,MWhitney@chatham.edu,2.0,Pursuing,100.0,"Each year at the new student orientation, the Admissions Office and Student Affairs incorporate sustainability into the programming. Each new student receives a reusable water bottle that can be filled at any of the water fill stations placed around campus, and a sustainable laundry bag. The orientation program also has a sustainable living activity that is lead and organized by our Sustainability Director to teach the new students about sustainability, sustainable living, and sustainable practices here at Chatham University.",--,--
