Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution have strategies in place to safely dispose of all hazardous, special (e.g. ...","A brief description of steps taken to reduce hazardous, special (e.g. coal ash), universal, and ...","A brief description of how the institution safely disposes of hazardous, universal, and ...",A brief description of any significant hazardous material release incidents during the previous ...,A brief description of any inventory system employed by the institution to facilitate the reuse or ...,"Does the institution have or participate in a program to responsibly recycle, reuse, and/or ...","Does the institution have or participate in a program to responsibly recycle, reuse, and/or ...",A brief description of the electronic waste recycling program(s),"A brief description of steps taken to ensure that e-waste is recycled responsibly, workers’ basic ...",The website URL where information about the institution’s hazardous and electronic-waste recycling ...,Public Notes
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:36,mmoscol@fullerton.edu,2.0,Pursuing,True,"CSUF has been aggressive in trying to protect human health and the environment by reducing the use of hazardous materials. EHS has formed a strategic relationship with academics to consult on chemical usage and find ways to use less hazardous chemicals in teaching and research labs. EHS routinely contacts research labs and trades to rid the campus of old and expired chemicals and wastes to lessen our chemical inventory and provide a safer environment. We are working on building a new chemical inventory barcoding system to help keep accurate up to date chemical inventories for all chemical users to help prevent entities from over purchasing chemicals. EHS has been proactive in working with Campus Trades to replace more toxic, air polluting chemicals and paints with less toxic alternatives.","CSUF EHS has implemented a proactive hazardous waste management program of properly characterizing of spec, spent hazardous chemicals, excludable recyclable material, regulated and non-regulated hazardous materials according to their DOT hazard class and chemical compatibility. CSUF has also implemented a practice of consolidating DOT/EPA and chemically compatible materials for disposal. Consolidating compatible hazardous materials has dramatically lowered the over poundage disposed of CSUF over the past 8 years. Other practices implemented include installation of a bulk oil recycling tank and oil filter crusher. Crushed oil filters are sold as scrap metals and the oil is placed into the recycling tank and picked up by a certified oil recycler. Batteries are separated into rechargeable and non-rechargeable varieties. The rechargeable batteries are recycled at no cost to CSUF. Non-rechargeable batteries are sent for disposal at an approved facility. Light bulbs and ballasts are also recycled at an approved disposal facility. Small gas cylinders and aerosols are recycled using approved machinery to remove remaining gas, filter the gas and leave the metal cylinders and housing to be recycled. 

EHS has also developed an online hazardous waste form to insure that hazardous wastes on campus are picked up in a timely manner. This also gives staff/faculty a quick and easy way to request that their hazardous waste be removed.
",N/A,"CSUF does not have an inventory system to redistribute used laboratory chemicals due to the risks involved. These risks include unknown contamination of the used chemical, degradation of the chemical due to exposure to air or light, as well as the time and effort needed to supply such services. Instead CSUF is working harder at developing a barcoding chemical inventory system to help reduce chemical use and waste. 

",True,--,"Departments notify Facilities Management of the equipment to be recycled. This includes old phones, televisions, audiovisual equipment, etc. Once Facilities Management picks up the E-waste, it is deposited into designated E-waste containers. The E-waste contractor is notified when the containers are ready to be picked up.","Disposing of e-waste in landfills has the potential to cause severe human and environmental health impacts. To avoid these risks, California’s Electronic Waste Recycling Act (Senate Bill 50) was signed into law in 2004. California State University, Fullerton is complaint with Senate Bill 50. Due to ongoing technological advancement, many of electronic products become obsolete within a very short period of time, creating a large surplus of unwanted electronic products, or “e-waste.” CSUF partners with vendors like ECS Refining, Recycle International, and Ewaste Center, Inc to ensure proper disposal and recycling of electronic waste on campus.",http://ehs.fullerton.edu/,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:41,austin.eriksson@csun.edu,2.0,Pursuing,True, Many of the sciences have implemented “micro” scale experiments reducing the quantity of materials and thereby the waste generated.  The Chemistry department may be able to provide more information on the process,The Campus utilizes a system wide master enabling agreement for hazardous waste transportation and disposal contract.,There was one release involving approximately three (3) pounds or less of a hazardous material that was managed with internal and external (remediation contractor) resources.  The impact was the replacement of personal items that came in contact with the materials and limited access to the space during remediation.,"Currently, there is very limited reuse or redistribution of laboratory chemicals",True,True,CSUN manages its electronic waste through the University's Environmental Health and Safety department. EH&S handles all e-waste as well as hazardous waste on campus. ,"The university provides special containers as well as directions for handling Universal Waste. These include: Segregate the wastes by type (battery, lamp, thermostat, etc), Place the universal waste in a compatible container and label the container when the universal waste was first placed in the container, Inspect Universal Waste using the Satellite Accumulation requirements in section 7.5.",http://www.csun.edu/ehs/hazardous-waste-mangement,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:20,kristina.cullen@csus.edu,2.0,Pursuing,True,"At Sacramento State, the emphasis is on first recycling wherever possible and then reducing the volume/toxicity of any other hazardous waste generated. The University participates in the California PaintCare program for recycling both oil based and latex paint products, while also participating in the nationwide Call-to-Recycle program for recycling rechargeable batteries. On the academic side, the emphasis has been to transition many of the hazardous chemicals to less toxic alternatives. Examples in the College of Natural Sciences and Math are fixatives used with specimens and intercalating agents such as ethidium bromide. In chemistry, stockrooms have been purged of old chemicals so that only necessary chemicals are kept in stock. Only items currently in use will be kept in stock, reducing the amount of future waste generated.   ","For hazardous waste, there are designated personnel in each generating department who are responsible for the proper characterization, containerization, labeling and handling of hazardous waste. Their job is to work with faculty/students to ensure the proper protocols are followed, including the proper use of personal protective equipment (ppe).
For universal wastes, student interns have created an information pamphlet that is made available to campus departments and at campus events. These pamphlets emphasize the importance of recycling universal waste and options on/off campus. Campus recycling events provide an opportunity to educate the campus community and give them an opportunity to recycle their waste.",There have been no significant hazardous materials releases in the past three years.,"There is no formalized system for chemical reuse or redistribution, but  unused chemicals that still have potency are kept for less stringent uses (e.g. art, design). Unused boiler treatment chemicals have been transferred to a local community college through a chemical supplier, reducing our hazardous waste generation.",True,True,"The procedures to divert Sacramento State's electronic waste are a joint effort between several campus agencies. Depending on the stream and the condition of the units/materials involved, we employ several possibilities to ensure diversion:
1.University equipment in working order for reuse: This equipment is collected by our IRT department, graded as operational and conditioned to remove all memory from the unit. Our Property department takes posession and, if determined to still be useful for campus agencies, is housed and avaialable for university agencies to reuse.
2.University equipment in working order for public auction: This equipment is collected, graded and conditioned by IRT and then given to Property as before, however, these are materials deemed not to be useful for campus agencies. They are then sold at auction using the following website: publicsurplus.com
3.University equipment salvaged for parts: university equipment collected by IRT and determined to not be reusable maybe salvaged for parts which are then used to repair other equipment. The left-over components are then recycled as decribed in the next step.
4.Univerisity equipment determined by both IRT and Property to not be useful for campus needs and not suitable for public auction are conditioned to have all memory wiped, removed and destroyed, released from campus inventory and taken posssesion of by the Recycling department. All materials collected are then taken to local recycling agency California Electronic Asset Recovery (CEAR) for complete recycling.
5.During portions of the baseline period and during the entire reporting period, Sacramento State opened electronic waste recycling to its entire campus community. Students, faculty, and staff were encoraged to bring personal e-waste to a collection point located within the Facilities Management yard for collection and complete recycle by California Electronic Asset Recovery. Because the university is paid for these materials and after requiring participants to remove, wipe, or destroy all memory, the university encouraged recycling throughout its entire community by accepting e-waste for recycling purposes.
6.The University's Housing and Residential Life department also conducts semester long collections of personal e-waste as well as at special moving-out events. These materials are then turned over to the campus Recycling department for recycling with CEAR.
7.Again, to encourage recycling from the campus community, the Recycling department hosts two campus collection events each year--one in the spring which coincides with the campus Earth Day festivities and one on the Fall to coincide with America Recycles Day. Personal e-waste is collected at these events and recycled via the method mentioned above with the vendor CEAR.
","During both the baseline and reporting periods, Sacramento State has recycled its e-waste with the vendor California Electronic Asset Recovery (CEAR). The University has chosen to work with this vendor for several environmentally related reasons:
1. To discourage long-hauling and reduce carbon emissions, Sacramento State recycles its e-waste with CEAR which is located only 10.2 miles away.
2. CEAR is in complaince with all local and state laws regarding e-waste recycling.
3. CEAR has received numerous sustainable certifications including:
    --The Basil Network E-standard certification
    --QMI-SAI Global ISO 14001 Certified System
    --QMI-SAI OHSAS 18001 Certified System
    --R2 Certified
    --CalRecycled Certified",http://www.cearinc.com/,"http://www.csus.edu/aba/EHS/documents/Universal_Waste_Mgmt.pdf
http://www.csus.edu/aba/EHS/documents/Universal%20waste-batteries%20and%20lights.pdf
http://www.csus.edu/aba/EHS/documents/HazMat_Management.pdf
"
Calvin College,2016-03-11,2016-03-11 14:31:24,bhaney@calvin.edu,2.0,Pursuing,True,"Contracts with hazardous, universal and medical waste haulers and recyclers.","Calvin uses only regulated and licensed waste transporters to dispose of our hazardous, universal and non-regulated chemical waste. Calvin EHS staff, in collaboration with Science Division staff and faculty, the Recycling Coordinator, the hazardous waste transporter and the Grand Rapids Water Treatment Department, work to identify the nature of each waste generated and determine if the waste should be transported off site for treatment and final disposal, recycled or permitted for disposal to the POTW.",Calvin has not had any significant hazardous material releases in the last three years.,"Calvin uses Vertere chemical tracking software. This software allows us to order the minimum amount of chemicals needed for classrooms and research by allowing the users to know the specific chemicals and associated quantities that are already available in stock across multiple departments. We do not generally have surplus chemicals for reuse but if we have a chemical that can be redistributed or “shared,” it will appear in the inventory system.",True,True,"Waste electronics are picked up at all buildings by the recycle crew and placed in shipping boxes.  Small electronics are collected at residence hall desks, collected by the Recycling Coordinator and placed in shipping boxes.  Computer equipment is boxed by IT staff and the Recycling Coordinator.  All electronics are sent to an R2 certified recycling company.","The college's electronics recycling vendor is R2 certified and records, with a certificate of recycling, are kept by the Environmental Health and Safety office and the Recycling Coordinator.",http://www.calvin.edu/directory/policies/waste-management,--
Carleton College,2016-02-26,2016-02-26 11:19:39,mlarson@carleton.edu,2.0,Pursuing,True,Carleton's Environmental Health and Safety officer oversees proper removal and disposal of hazardous materials.  ,Items are packaged in sealed containers and labeled according to what type of material is contained within.  Certified hazardous waste removal companies pick up the material and provide Carleton with a manifest that documents proper handling and disposal.,None.,In progress: our science lab managers and environmental health and safety managers are developing a comprehensive chemical inventory and storage plan.,True,True,"All campus-owned electronics are managed by Carleton's ITS (Information and Technology Services) department.  They mange personal computer replacements and reclaim all electronic materials that are no longer of use to the College.  All electronic waste is sent to a dedicated electronics recycling company http://www.mpc-e.com/.  There is no policy for personal electronic equipment but collection bins are provided by Carleton's Presentation, Events and Production Support (PEPS) staff.  ",Carleton sends all electronic waste to Materials Processing Corporation recycling (http://www.mpc-e.com/)  They provide a follow-up report to confirm quantities of recycled material.,https://apps.carleton.edu/sustainability/campus/waste/guide/,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:18,bk11@andrew.cmu.edu,2.0,Pursuing,True,"Carnegie Mellon University's Environmental Health & Safety Department (EH&S) Office, regulated by the Environmental Protection Agency (EPA) and the Pennsylvania Department of Environmental Protection (DEP), manages the safety disposal of all hazardous, universal, and non-regulated chemical waste. To minimize hazardous wastes, EH&S has incorporated a hazardous waste minimization program, stressing proper purchasing, (smaller quantities, lower hazard), proper chemical inventory & maintenance, procedure micro-scaling, chemical sharing, proper waste segregation.

","Carnegie Mellon University's Environmental Health & Safety Department Office, regulated by the Environmental Protection Agency and the Pennsylvania Department of Environmental Protection, manages the safety disposal of all hazardous, universal, and non-regulated chemical waste.

Waste generators all receive training. Waste requests are made on-line.

All hazardous waste is picked up at the point of generation, (laboratory, studio or shop) by filling out an electronic pickup request form and packaging the waste in special boxes provided by the EH&S.

Electronic waste is also collected by on-line request.  Program guidance and operation procedure is available in training, newsletters and on the website.",None.,"Carnegie Mellon University uses the Chemtracker Chemical Inventory Management System. Authorized users have access to their chemical inventory to make changes, corrections and updates, prepare inventory reports and obtain safety information on their chemicals, all from this system.  We encourage all chemical users via our web page, newsletters and training classes, to contact EH&S before purchasing chemicals to see whether they many be shared from a current owner of the item.  Chemtracker enables us to find these items.",True,True,"The Environmental Health & Safety Office manages all e-waste recycling efforts. For the University, recyclable e-waste materials include computer monitors & towers, copy & fax machines, some computer peripherals, and light bulbs. Other e-waste items collected for recycling include alkaline & rechargeable batteries, cell phones, toner, ink jet and copy machine cartridges and all other electronic devices and media.

Requests for pickups are made online, contractors pick up materials at the site of generation.  The contractor is audited to ensure maximum level of recycling, plus data destruction.","The goal of Carnegie Mellon University's Environmental Health & Safety (EH&S) Office is to handle e-waste recycling and hazardous waste disposal programs responsibly. As such, certain methods like keeping batteries stored properly, packaging light bulbs in boxes with closed lids, only accepting unbroken tubes and bulbs for recycling, etc. are used to ensure that the e-waste is recycled responsibly, basic safety is protected, and environmental standards are met.


",http://www.cmu.edu/ehs/waste-environment/hazardous-waste/index.html,--
Case Western Reserve University,2016-03-25,2016-03-25 15:41:12,stephanie.corbett@case.edu,2.0,Pursuing,True,"Universal and non-regulated chemical waste are handled first with training of all relevant employees on how to safely handles and store these materials until proper transport, recycling or disposal can occur. Safe handling containers are provided to all relevant locations such as facilities zone shops around campus. The materials are then transported to our centralized service center.
",Materials are transported to our service center where they are picked-up by a third party vendor for safe recycling or disposal on a monthly basis.,"In January 2015, a mercury manometer was broken, releasing approximately 100 mls of mercury into a lab.  The room was evacuated, shut down, and a 3rd party specialist vendor was brought in to remove the affected material, and responsibly clean up the spill and dispose of the materials.    ",,True,True,"CWRU works with a local nonprofit, RET3, to remove, refurbish and recycle e-waste (computers, monitors, keyboards, other peripheral devices, small printers, cell phones, TVs, microwaves, vacuums) from campus.  Users request pick-up using an online google form.  RET3 picks up e-waste directly from departments, holds 2 annual drop-off collections, and takes all electronic materials collected through the end-of-year ResCycle program.  ","RET3, a 501c3 organization, is a certified Microsoft Refurbisher, is pursuing r2 certificatin, and follows a strict zero-to-landfill policy.  RET3 follows clear steps to refurbish computers for other local non-profits as described in a video on their website: http://ret3.org/index.php/about-us.html.  RET3 is a long-time partner of the Cuyahoga County Solid Waste District to responsibly recycle regional e-waste.  ",https://www.case.edu/ehs/LabSafety/equipment.html,--
Chatham University,2016-02-17,2016-02-17 13:05:06,MWhitney@chatham.edu,2.0,Pursuing,True,Chatham University has recently chosen to run laboratory instruction on the micro-scale to aid in reducing chemical waste. The university has invested in smaller glassware and more appropriate tools for chemistry classes in order to help reduce the amount of chemicals being wasted. We have an online purchasing database that is used to eliminate duplications of orders. ,"Chatham University designates that hazardous chemicals be picked up once a semester by a certified company. The university follows OSHA’s regulations and guidelines of how to properly dispose of hazardous, universal and non-regulated chemical waste. One member of the science department sits on a university wide safety committee to ensure that Chatham University is handling the hazardous materials as safely as possible.",None,Chatham University has a chemical inventory system that does not allow anyone to reorder chemicals until all the chemicals are used on campus. Once they are used up then we can order in a new supply. The purpose of this is to not order more chemicals when there are already chemicals on campus.,True,True,"Chatham University recycles all institution-generated materials with two different organizations that refurbish the electronic materials and donate them to schools and other non-profit organizations.  Any non-reusable materials go to an electronics recycler that is a signatory of the Basel Action Network protocol, and is permitted and bonded through the PADEP Permit 081 for electronic de-manufacturing. In addition, our vendor, ECS&R, is Pennsylvania’s first U.S. Environmental Protection Agency R2 Certified company for electronics recycling.","Chatham requires that e-waste be handled by a vendor that can provide proof that they are a Basel Action Network signatory, and are permitted and bonded through the PADEP Permit 081 for electronic de-manufacturing.  ",--,--
Clark University,2016-02-24,2016-02-24 15:49:36,jisler@clarku.edu,2.0,Pursuing,True,"We use inventory managment system to ensure we are not purchasing excess quantities of CFLs, solvents, oils or chemicals.","Universal waste is collected and transported according to DOT and EPA standards by custodians and electricians. There are designated and labelled areas in all buildings where is is collected before it is transported to the Recycling Center, where it is held in a designated area, responsibly packaged and labelled, and eventually picked up by Veolia Environmental, with whom we are contracted.",None,"One employee with EHS qualifications acts as the chemicals manager for chemistry, physics, engineering and biology. He keeps extensive Excel databases of all chemicals in stock, does all the ordering and processing, and maintains the labs. He also manages the solvents inventory used in the machine shop and power plant.",True,True,"E-waste is picked up by the Recycling Crew andcustodians and kept in a designated area at the Recycling Center, where ITS inspects it for possible repair, reuse or donation. If none of the above, it is collected for pick up by a local and sustainably operated, green certified electronics recycling company.","Clark contracted with Electronic Recylcers International for responsible removal and recycling of all e-waste including batteries. ERI is a respected firm that is E-Stewards, ISO 14001, OSHAS 18001 and SAI R2 certified. ERI provides a certificate of destruction with each pick up of e-waste.",http://www.clarku.edu/offices/campusSustainability/policy/universalwastepolicy.cfm,--
Clarkson University,2016-02-12,2016-02-12 07:37:57,sep@clarkson.edu,2.0,Pursuing,True,"The University's Chemical Hygiene Plan includes details for inventory control and lab decommissioning that are intended to reduce the quantity of hazardous waste generations.  Chemistry labs use green chemistry approaches (e.g., small volumes) to reduce waste generation as part of the education of our students. We neutralize acids and bases. We use the MSDS system for inventory and materials compatibility control.","The university follows all federal and state regulations for dealing with hazardous and special wastes  (sharps, broken glass, and non regulated materials such as used oil).  A third-part regulated hauler is contracted to manage hazardous waste. See pp. 47-50 of the University Chemical Hygiene plan for details.",No significant spills. Three minor oil spills were reported to the DEC.  Clean up procedure followed state regulations.  There were no impacts.,MSDS and electronic inventory  allows identification of materials available and their internal redistribution,True,True,"We use Regional Computer Recycling and Recovery for computers and electronics. Custodians are altered to electronic waste; the materials are processed by OIT and stored for pick up. We use North Eastern Recycling for lamps, ballasts and batteries.  Custodians deliver bulb and ballasts to storage facilities.  
Drop off buckets for batteries are available in key central facilities (e.g., the student union).  When buckets are full, custodians transport batteries to storage before pick up.","Our custodial staff is trained to collect e-waste materials and store them in preparation for off-campus pick up.
Computers and phones are first ""sanitized"" for sensitive information and relocated to reuse in new locations to the extent feasible.
A reputable commercial dealer is used for transport and final disposition of all e-waste to ensure compliance with worker safety and environmental regulations.
",http://www.clarkson.edu/green/docs/UniversalWasteManagement2015.pdf,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:25,sustain@coastal.edu,2.0,Pursuing,True,"We have policies and procedures for the collection, storage and disposal of hazardous waste. The strategies are outlined in FINA Policy 717 “Waste Management” and also outlined in the Chemical Hygiene Plan (EHS webpage) for laboratories.", Transport and disposal documentation of hazardous and universal wastes are kept by the EHS Department. Batteries are handled by Sustainability Office.  CCU is a DHEC permitted Conditional Exempt Small Quantity Generator. ,There has been no significant incidents., We promote waste reduction and chemical substitution to less harmful chemicals in Laboratory Safety Training (EHS #2007) and Hazardous Communication (EHS # 2006) to applicable staff.,True,True,"The state of South Carolina has banned electronic waste from the landfill, so Coastal Carolina University takes preventative measures to divert electronic waste for recycling. This is accomplished through the use of techno trash recycling bins and regularly monitoring the dumpsters. ",CCU e-waste is inventoried and list sent to SC Budget & Control Board. They determine what items they want and sent to them for reuse. Inventory not transferred to SCB&CB reuse is combined into e-waste lots and are sold on “govdeals.gov” for reuse.,http://www.coastal.edu/safetyandtransportation/ehs/index.html,--
Colby College,2016-01-12,2016-01-12 15:54:24,ksbright@colby.edu,2.0,Pursuing,True,"Colby adheres to all Maine Department of Environmental Protection regulations, which are stricter than Federal standards. Colby is classified as a large quantity hazardous waste generator, mostly from our photography and science labs. ","Colby adheres to the State of ME environmental regulations for the disposal of hazardous, universal & chemical waste. The State of ME environmental regulations are significantly more stringent than federal regulations for these items. We are also implementing a silver recovery unit in our photo labs, our chemistry department has unique policies to minimize its waste, our biomedical waste is disposed of by a certified third-party company, and our radioactive waste is minimized and stored until it is harmless and no longer radioactive.",There have not been any significant hazardous material release incidents in the past three years.,"There are no institutional level inventory systems to facilitate the reuse or distribution of laboratory chemicals, but the chemistry department does have its own system in place.",True,--,"All Colby computers that are being replaced are offered to local schools for their use. All items not wanted by the schools are donated to the local SKILLS program. If the SKILLS program can't reuse them, then they dispose of it at an eWaste facility and charge Colby. ","Colby adheres to State of ME regulations regarding any disposal of electronic waste. For information on these regulations, go to: http://www.maine.gov/dep/rwm/recycle/tvcomputerguidelines.htm",http://www.maine.gov/dep/waste/hazardouswaste/documents/hwhandbook.pdf,--
Colgate University,2016-02-28,2016-02-28 11:21:51,jpumilio@colgate.edu,2.0,Pursuing,True,"The Department of Environmental Health and Safety (EHS) provides safety and advisory services to the entire campus community. EHS is responsible for conducting environmental surveys, managing identified risks, advocating safe work practices, presenting quality educational programs, and ensuring compliance with university and regulatory standards. 

Colgate University had a Resource Conservation Recovery Act (RCRA) inspection by the NYS Department of Environmental Conservation (DEC) this past fall, which included a regulatory compliance inspection of the University's hazardous waste management and universal waste management programs, and received no violations.  The university substitutes non-hazardous chemicals for hazardous chemicals in experimentation whenever practicable. Colgate also sends its light-bulbs, batteries, and used oils to the county and/or commercial service providers for recycling.  In addition, the university donates its wood-fueled boiler ash (as opposed to sending it out for disposal as non-regulated chemical waste) to local farmers to be used as fertizer for their crops.  Parts cleaner sink systems have been been placed in the fine arts, performing arts, and facilities paint shops to minimize cleaning hazardous waste streams and recycle cleaning solvents. ","Colgate's HAZMAT Contingency Plan provides a written plan of action for Colgate University in the event of a fire, explosion, or unplanned release of hazardous materials or hazardous waste that could pose a threat to human health and/or the environment.

The university follows all local, state, and federal waste regulations.  These waste streams are collected at satellite accumulation areas (SAAs) and stored in a main accumulation area (MAA).  Waste streams are segrated by compatibility, consolidated whenever possible, containerized, properly labeled, profiled, and then disposed of by various service providers (Clean Harbors Environmental, Stericycle, etc).  
",We haven't had any.  ,"Colgate's Environmental Health and Safety Office conducts routine chemical inventories within the sciences, shops and studios. Our program takes stock (unused) chemicals that are given to us and put them into a ""surplus"" inventory. Each faculty and staff member within the sciences has access to this list via Google Drive and can request those chemicals at no cost for their labs. We do not keep all unused stock chemicals because it is not safe to do so, for example we do not keep chemicals that are peroxide forming, expired, contaminated, etc.  ",True,True,"Colgate has a salvage program where all Colgate-owned electronic waste (such as computers and peripheries, printers, televisions, etc.) are refurbished and re-sold or recycled properly through Regional Computer Recycling & Recovery (RCR&R) in Rochester, NY.","Colgate's electronic waste recycling program uses Regional Computer Recycling & Recovery (RCR&R) out of Rochester, NY. RCR&R is certified for safety and proper recycling techniques/protocols. They are a zero waste facility. See their website for more information: http://www.ewaste.com/",http://www.colgate.edu/offices-and-services/environmentalhealthandsafetyoffice,--
College of Charleston,2016-02-29,2016-02-29 16:53:03,fisherb@cofc.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--
College of the Atlantic,2016-03-23,2016-03-23 11:15:43,ademeo@coa.edu,2.0,Pursuing,True,"The college collects hazardous waste materials and hires Environmental Project Inc. of Portland, Maine to collect and properly dispose of them.","Materials for disposal are collected and stored in secured, locked locations that meet the requirements of the Maine Department of Environmental Protection. When a sufficient amount of material has been collected, Environmental Project Inc. is contacted for removal.",None,"Our lab manager is in charge of managing laboratory chemicals on campus. If someone orders a chemical but does not use all of it, the remainder is kept in the chemistry lab storage. When laboratory chemicals are needed, faculty members check the inventory prior to ordering.
",True,True,We continuously collect and accept electronic recyclables from the college community and bring them to either Goodwill or another certified electronics recycling collector.  ,"Any community member of the college can drop off unwanted electronic materials at three locations on campus and/or contact the IT Department or Building and Grounds Department with any questions. The IT and Building and Grounds departments coordinate the recycling of the materials, either through Goodwill or other certified recycling programs.",http://www.coa.edu/waste-management.htm,--
Colorado College,2016-02-29,2016-02-29 16:10:09,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,True,"Colorado College does not generate much “special” waste and those situations are evaluated on a case by case basis. The college does its best to reduce the amount of universal waste it sends for disposal by recycling as much as possible.  The college recycles leftover paint, light bulbs, batteries and empty aerosol cans. Used motor oil is reused as fuel to heat the automotive shop at Colorado College.
The science departments on campus have also taken steps to reduce the amount of hazardous waste they generate by changing purchasing practices and changing lab procedures. The science departments are encouraged to purchase amounts of chemicals to match their needs instead of buying materials in bulk. They have also altered student lab experiments by substituting in less hazardous chemicals where possible and changing to microscale experiments which use smaller quantities of chemicals. ","Colorado College is dedicated to the protection and conservation of the environment. Established Federal and state regulations require that the College ensure that hazardous, bio-hazardous and universal wastes be properly managed “cradle-to-grave”. The Environmental Health and Safety department is directly responsible for the management of these wastes for the College and works with a third party contractor to ensure the safe and legal disposal of the hazardous waste generated.",There have been no significant incidents within the previous three years.  ,"The Colorado College Department of Environmental Health and Safety operates a Chemical Redistribution Program which accepts both opened and unopened bottles of unwanted but still usable chemicals and lab ware, and redistributes them to others on campus. The redistribution of chemicals and lab ware is free to any interested college department or research laboratory. The program’s objective is to redistribute any useable chemical that would otherwise be disposed of as hazardous waste.",True,True,"The IT department organizes a monthly pick-up of electronic materials such as hard drives, floppy disks, laptops, keyboards, monitors, microwaves, scanners, cameras, cell phones, circuit boards, etc.  Collection buckets for batteries and small electronics  are located in the library, the student center, and the facilities office.  

","Colorado College employs Metech Recycling to provide its electronic waste recycling. 
Metech Recycling is a founding member of the Basel Action Network (BAN) e-Stewards program, and signer of the BAN Pledge of True Stewardship. 		
Metech Recycling locations are Certified e-Stewards® Recyclers. Certified e-Stewards are leading North American electronics recyclers who are qualified as upholding the highest standard of environmental and social responsibility.
Metech Recycling is a Founder of e-Stewards and was the seventh company in the U.S. to become Certified e-Stewards® Recyclers. ",--,--
Colorado State University,2015-12-16,2015-12-16 16:39:19,tonie.miyamoto@colostate.edu,2.0,Pursuing,True,"The Hazardous Materials Team on CSU campus provides training on hazardous waste management and regulate the proper handling and accumulation of all hazardous waste. The service provided is free of charge to all individuals who work at CSU and generate normal waste. 
","Trained professionals immediately respond to any reports of hazardous materials and responsibly dispose of such waste. If the generator of the waste does not have a container for disposal, the EHS will provide one free of charge. 
", ,"A program offered by Environmental Health Services analyzes unwanted or donated lab chemicals for quality. If the chemical is reusable, it is placed in a recycling system, stored and regulated. If the chemical is requested at a later date, it is safely transported at no charge. 
",True,True,"Both student generated and institution generated electronic waste is picked up from the original location and securely transported to the e-waste facility where it is evaluated and either reused or recycled. The facility is located on campus and the pick-up and transportation is free to students and staff.  
","98% of electronics taken by Colorado State's e-waste program is either reused or recycled. No incineration is used in the recycling process. Transportation of electronic devices is secured by skilled and trained drivers. 

There is also an electronics landfill waste ban: http://www.cvmbs.colostate.edu/mip/mipnews_archives/landfill-electronics-ban.pdf
",http://www.ehs.colostate.edu/WHazWaste/Home.aspx,--
