Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution coordinate one or more ongoing student, peer-to-peer sustainability outreach ...",Number of degree-seeking students enrolled at the institution,Name of the student educators program (1st program),Number of students served (i.e. directly targeted) by the program (1st program),"A brief description of the program, including examples of peer-to-peer outreach activities (1st ...",A brief description of how the student educators are selected (1st program),A brief description of the formal training that the student educators receive (1st program),A brief description of the financial or other support  the institution provides to the program (1st ...,Name of the student educators program (2nd program),Number of students served (i.e. directly targeted) by the program (2nd program),"A brief description of the program, including examples of peer-to-peer outreach activities (2nd ...",A brief description of how the student educators are selected (2nd program),A brief description of the formal training that the student educators receive (2nd program),A brief description of the financial or other support the institution provides to the program (2nd ...,Name of the student educators program (3rd program),Number of students served (i.e. directly targeted) by the program (3rd program),"A brief description of the program, including examples of peer-to-peer outreach activities (3rd ...",A brief description of how the student educators are selected (3rd program),A brief description of the formal training that the student educators receive (3rd program),A brief description of the financial or other support the institution provides to the program (3rd ...,Name(s) of the student educator program(s) (all other programs),Number of students served (i.e. directly targeted) by all other student educator programs,"A brief description of the program(s), including examples of peer-to-peer outreach activities (all ...",A brief description of how the student educators are selected (all other programs),A brief description of the formal training that the student educators receive (all other programs),A brief description of the financial or other support the institution provides to the program (all ...,Total number of hours student educators are engaged in peer-to-peer sustainability outreach and ...,The website URL for the peer-to-peer student outreach and education program(s),Public Notes
Carleton College,2016-02-26,2016-02-26 11:19:25,mlarson@carleton.edu,2.0,Pursuing,True,2035.0,Sustainability Assistant (STA) program,2035.0,"The STA program involves between 6-8 students hired on a part-time basis to drive campus sustainability initiatives.  Although the STAs work as a team, each person focuses on a particular area such as energy, waste, data management, outreach, event planning, etc.  The STA program works with Residential Life to sponsor a Green Wars, a week-long residential hall energy conservation competition and series of outreach events. Recently the STA program has also been involved in waste, working with faculty and staff to consolidate the number of waste bins on campus and increase educational signage on proper waste sorting. STAs focus on food production and procurement through involvement in the campus farm and Real Food Challenge tabulation efforts.  Others focus on energy, managing data and implementing energy conservation measures such as lighting timers and occupancy sensors.

There are also three different liaison position that overlap with the sustainability office. These include students involved in waste audits who are also responsible for student outreach and a position through the Center for Community and Civil engagement.",An application available to all students is posted each spring.  Current STAs and Carleton's Manager of Campus Energy and Sustainability review the applications and choose the strongest candidates to be interviewed. Final selections are made from that group.,"STAs engage in a one-day orientation workshop during the week before fall term begins. This workshop begins with a keynote speech from a former STA or alum. Training sessions include the basics of departmental operation and organization, an overview of the Carleton energy and waste systems, a sustainability database orientation, a sustainability website training session, and and overview of the Climate Action Plan. The training sessions also include guest speakers who present on specialized skills relevant to STA responsibilities. Past topics have included effective data visualization techniques, effective grassroots organizing and activism, event planning, and communications. STA training continues throughout the year through participation in webinars and hands-on field experience working closely with Facilities and Res Life staff.","Martha Larson, Manager of Campus Energy and Sustainability, is the primary coordinator and supervisor of the STA program. Residential Life provides a co-supervisor who is generally one of the hall director staff.  The Carleton Custodial Manager supervises STAs focused on waste activities.  Additional support, advising, and project funding is provided by the Carleton Environmental Advisory Committee (EAC), a committee that includes faculty, staff, and students.   ",Student waste monitors,2035.0,"The mission of student waste monitors is to promote an appropriate and acceptable standard for disposing of garbage, recycling, and compost on the Carleton College campus. The monitors also provide advice to campus decision-makers on how to allocate the resources that students need to dispose of their waste in according to this standard.","There are a number of students workers involved in waste collection, many of them end up in this program, two students are selected by the custodial team to lead the monitors.","This is a student led initiative, so there is no formal training, although peer to peer training occurs for identifying misplaced items and for auditing purposes.",These are paid student workers through custodial services. ,--,--,,,,,--,--,,,,,--,--,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:04,bk11@andrew.cmu.edu,2.0,Pursuing,--,11263.6,Student College at Carnegie Mellon (StuCo),11263.6,n/a,"StuCo is an educational organization involving hundreds of students at Carnegie Mellon University.

The Student College was established in 2001 to provide Carnegie Mellon students with the opportunity to share knowledge through educational, self-designed courses. Students can teach classes on any topic of their choice. However, the course cannot be available through regular University offerings. Instructors and students receive credit for their work.

•All currently-enrolled CMU students, staff and community members are eligible to take StuCo courses.
",n/a,n/a,--,--,"
",,"

",,--,--,,,,,--,--,,,,,--,--,"New Orientation Eco-Advisors, Peer Health Advisors, House Council Based students, StuCo, Green Practices Interns, Graduate Students; Net Impact, CEE Service Projects."
Case Western Reserve University,2016-03-25,2016-03-25 15:38:51,stephanie.corbett@case.edu,2.0,Pursuing,True,10175.0,Student Sustainability Ambassadors ,2000.0,"The Office for Sustainability has hired 10 students in paid positions as Student Sustainability Ambassadors.  The Ambassadors underwent 8 hours of training and are charged with working 30 hours per semester educating their peers through direct presentations with at least 2 groups per year, residence hall displays and programs, and a variety of other activities to further educate their peers and the campus community in general about campus sustainability.     ","The Sustainability Ambassadors apply to the Office for Sustainability annually, where they answer application questions regarding their interests, experiences, and major.  Applicants are screened and interviewed and chosen based on diversity of experiences, enthusiasm    They are required to complete 30 hours of service per semester.  ","Student Sustainability Ambassadors undergo 6 hours of training on the full range of campus sustainability-related topics, as well as global themes in sustainability.  They also undergo 2 hours of hands-on presentation training, where they present on a sustainability  topic in front of a group of other ambassadors and Office for Sustainability staff, and are critiqued on presentation styles and content to prepare them to present to their peers and community.  Ambassadors also have one-on-one meetings with sustainability staff to work through ",The Office for Sustainability pays the students an hourly rate out of our budget. ,--,--,,,,,--,--,,,,,--,--,,,,,--,--,--
Chatham University,2016-02-17,2016-02-17 13:04:43,MWhitney@chatham.edu,2.0,Pursuing,True,2134.0,Eco-reps program,2134.0,"An important aspect of being an Eco-rep is participating in the annual energy competition. The Eco-reps answer any questions on how to reduce energy consumption as well as guide activities throughout the six-week long competition. The Eco-reps are responsible for bulletin boards in the residence halls and post information for various sustainability-related/focused events throughout the year. The Eco-reps are also responsible for making sure students living in residence halls participate and are knowledgeable on Chatham’s annual recycling competition, RecycleMania. In general, the Eco-reps are there to answer any general sustainability questions that students may have. ",The Eco-reps are elected by the student body.,They receive ongoing workshops and trainings through the Office of Sustainability and Student Affairs.,"The sustainability office provides training, support, and materials for the Eco-reps in order for them to lead the sustainability events and activities.",--,--,,,,,--,--,,,,,--,--,,,,,--,--,--
Clark University,2016-02-24,2016-02-24 15:49:15,jisler@clarku.edu,2.0,Pursuing,True,3315.0,Eco-Liasions,736.0,"The Eco-Liaisons program is supported by Residential Life & Housing and operates in the freshman dorms. Eco-Liaisons work directly with the residents to encourage more daily sustainable behavior practices, such as energy or water conservation; recycling and composting. They invite residents to regular info sessions (with refreshments) and do door-knocking for one-on-one engagement. Primarily, however, Eco Liaisons manage Clark's participation in the Conservation Nationals energy reduction competition, including monitoring and sharing data nationally and at Clark; facilitating dorm versus dorm friendly competitions each semester and for EarthWeek; encouraging participation through dorm sign-ups and tabling; running events like Do It In the Dark (stargazing) or Lights Out Clark; a Facebook group and of course an awards party for the winning dorms and on-going updates during the national competition.","At the beginning of the year, all residents are invited to join various groups within the dorms; this is one of them. An RA on each floor in each dorm, who is also either an Eco Rep or has other experience with sustainability on campus,  selects from all applicants. One senior RA is then chosen by RLH to be the program manager.","The Director of Sustainable Clark and the gradate assistant conduct an initial training overview early in the year, consisting of much of the same presentation and materials that are presented to all freshmen, along with an open Q&A and idea-generation session.","Sustainable Clark meets with the Eco-Liaisons monthly after an initial welcome/orientation and provides on-going guidance to the RA program manager as well as the RLH Education & Outreach Coordinator.RLH provides programming funds to the Eco-Liaisons for their advertising, events and programming needs.",Clark Composts!,3315.0,"Clark Composts! is not a club, but a loose organization of students who serve to provide awareness and advocacy about composting across campus. They have info tables in the University Center and the Academic Commons; will also table in the residence halls or at events; attend food-inclusive events to educate and stand by the bins; create posters and displays in public places to advance awareness; and apply for funding from student council to get more compost infrastructure on campus. They have meetings with the RA's to make sure dorm composting is understood, advertised and going OK.They collaborate with campus clubs (who have funds) to co-host a tour of our commercial composting facility every spring. They also go around and talk to academic departments and offices as well as doing peer to peer outreach.",They self-select and recruit when they table.,"Sustainable Clark and the Recycling Crew provide an initial training at the beginning of the semester, but Clark Composts members are very well informed and proactive!","Sustainable Clark meets monthly with the key members of Clark Composts! to advise and direct, but they have no financial support other than what they get themselves from grant processes (which they do).",Green Room Auditors,1128.0,"Although this program is dormant now, it happened until this year and all the pieces are in place, just waiting for student interest. Green Room Auditors is co-sponsored by RLH, Sustainable Clark and GreenerU (our energy consultant). Members attend intensive training, table in the mixed-class halls to sign up students who want to be audited, and then use a survey form to engage those voluntary residents in a comprehensive audit of their dorm room and lifestyle to assess how sustainable they are and what improvements could be made. Areas covered include energy and water conservation, consumption, transportation, advocacy and participation, furnishings, etc. The Green Room Auditors then follow up with the auditee 3 months later to see if the recommendations have been enacted. Awards are given for most improved, and every participant gets a flashy door sticker. The program thus relies on not just the individual who is audited, but on word of mouth.","Applications, and GreenerU interviews and selects.","GreenerU provides training on interpersonal and auditing skills, while Physical Plant staff including electricians, plumbers, HVAC and custodial staff provide training and education in their area of expertise. The training concludes with all the Auditors doing an active audit on each other.",GreenerU pays the Auditors a stipend and provides them with the equipment they will be recommending in the audit (for example a power strip or cloth bag).,--,--,,,,,--,--,--
Clarkson University,2016-02-12,2016-02-12 07:37:43,sep@clarkson.edu,2.0,Pursuing,True,3873.0,Eco Reps,100.0,energy and waste signage and sustainability programming/training in the dorms. ,RAs nominated eco-reps and Sustainability Interns sought additional reps based on club attendance and major,They meet with the Sustainability Coordinator one on one for initial training. After that the Sustainability Intern communicates with them on projects weekly. ,One ISE Sustainability intern who is responsible for overseeing the program is paid 5 hours per week. ,SCORE,30.0,"SCORE trains students to be peer-to-peer educators.  They provide simple energy audits and energy education to students living in off-campus housing. They do simple retrofits - low flow sink aerators and shower heads, window film and caulk to reduce drafts, CFL light bulbs, and CO2 and CH4 monitoring for safety.  The residents learn about the value of these retrofits and conservation behavior over a free pizza provided by SCORE. ",Student educators are self selected as members of the SCORE club.,The SCORE students who are trainers undergo a 4-hour energy audit course fom a faculty member at SUNY Canton.  The does similar programms for energy professionals.,The SCORE program was initiated with two Sustainability Fund projects.  They are now an official student club and are eligible for funding through the student government.,--,--,,,,,--,--,,,,,--,--,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:11,sustain@coastal.edu,2.0,Pursuing,True,9030.0,Eco-Rep Leaders Program,2000.0,"Eco-Rep Leaders are peer educators for students, staff and faculty at Coastal Carolina University as well as for the community. Each Eco-Rep Leader has the expectation to represent sustainability through a variety of means, including academic presentations, campus meetings, special events, educational sessions and environmental campaigns. Eco-Rep Leaders are expected to devote their time to educate their peers, foster sustainable behavior and build community. Each Eco-Rep Leader will be required to conduct campus and community presentations, help plan and execute special events, and connect with departments on campus to help in making their efforts more sustainable. 

Provides educational outreach, develops environmental awareness programs and plans special events about sustainability. Other duties include, but are not limited to, teaching on sustainable living, providing information about sustainability to the campus and community, and collaborating with other departments and the community, all while representing the Sustainability Office. Position will require assisting with recycling activities during major events (move-in, move-out, commencement and athletic events). Performs other related tasks as assigned.","Students may apply using the Human Resources student employment website. They must provide a resume and if selected, will have a formal interview. They are selected based on the following criteria: Enthusiastic, engaging individual who is passionate about environmental and social issues. Desire to work as part of a team of like-minded individuals. Effective communication skills. Ability to work independently and collaboratively. Exemplifies qualities of leadership, motivation and dedication. Interest in teaching and engaging others about sustainable living. Other considerations, event planning experience and creative ideas for outreach.  

These are PAID POSITIONS of up to 10 hours per week (up to four positions available per semester). Must be a student of the university.","At the beginning of every semester, the Eco-Rep Leaders undergo a one-day on-campus training about sustainability at the University and sustainable living and behaviors, as well as team building activities. The training includes the following topics: Becoming a Change Agent, Customer Service, Presentation Skills, and Mindful Leadership. The students are trained by the University in policies and practices in accordance with the Environmental Health & Safety Office, as well as attend mandatory weekly meetings. Student employees and full time interns are required to attend all CCU safety training modules. Student employees and full time interns are required to attend Feel the Teal training. Student employees and full time interns are required to attend Title IX training

",These are PAID POSITIONS student employee positions of up to 10 hours per week (up to four positions available per semester). Paid for as a part of the annual operating budget for Sustainability.,The COAST (Counseling Outreach Advocacy Student Team),2500.0,"The COAST is the office where many of the outreach efforts of Counseling Services are planned by members of SHORE and WRC, the Counseling Services peer educator programs.  

The SHORE Peer Educators are a group of student volunteers who are trained to plan and execute events, activities and give presentations on a wide variety of mental health and general wellness topics for their peers.    

The Women’s Resource Cooperative is a group of student volunteers who are trained to plan and execute events, activities and give presentations on topics relating to a wide variety of women’s issues.   
Visitors of the COAST will often find students preparing for events such as Doors of Doom, Sexual Assault Awareness Week, Love Your Body Day, Wellness Week, Mid-Term Meltdown and a variety of other psychoeducational events and activities which take place on campus. Students can obtain resources from The COAST on a wide variety of mental health, wellness, and women's issues.

The impact from the WRC and SHORE/Active Minds (COAST) peer educators is as broad as campus wide, which could include students, faculty and staff.  Since the topics we cover in both passive and active programs is so broad, I would think that most campus community members have been impacted in some way or another by one or more of our initiatives.

Questions regarding The COAST can be directed to Chris Donevant-Haines at (843) 349-5022.
",The COAST Peer Educators are selected in several manners.  The majority have served as unpaid interns for class credit and are approved for placement at The COAST through individual interviews with me.   Some are actual employees (2 coordinators and one outreach assistant/graphic designer) who are selected through a formal student employment interview process.   The last group are solely involved on a volunteer basis.  Volunteers have the freedom to select specific events or activities to become involved with and are free to attend weekly meetings and coalition meetings that focus on their topics of greatest interest.,"The COAST peer educators receive a variety of structured training sessions and modules including the following:
•	Public speaking training
•	Sexual Violence basic training
•	Step-Up Bystander Intervention Training
•	Peer Educator Development/Leadership training
•	Alcohol and Other Substances basic training
•	Mental Health awareness training (How to help a friend)
•	Team building
•	Student employees and full time interns are required to attend all CCU safety training modules
•	Student employees and full time interns are required to attend Feel the Teal training
•	Student employees and full time interns are required to attend Title IX training
",The peer educators are funded through the Counseling Services department annual budget.,Students Advocating Gender Equality (SAGE),500.0,"Students Advocating Gender Equality (SAGE), seek to raise awareness of gender-related social inequalities within the University community in order to promote a diverse campus culture in which all students are treated equally.",Open to all students. ,SAGE hosts weekly meetings. ,SAGE will host fundraisers on-campus.,--,--,,,,,--,http://www.coastal.edu/sustain/getinvolved/eco_reps.html,--
Colby College,2016-01-12,2016-01-12 15:54:10,ksbright@colby.edu,2.0,Pursuing,True,1863.0,EcoReps,1863.0,"EcoReps are student environmental leaders in each residence hall working with Campus Life, Community Advisors, and the Student Government Association to raise environmental awareness through the residential life program.  They helped lead a Dorm Energy Challenge, a waste audit, and a RecycleMania competition.",Interested students submit an application and then go through an interview process and are selected based on their adherence to the job criteria.,"Each EcoRep must attend an introduction to sustainability at Colby lecture and have frequent discussions about green initiatives at Colby.  We are also in the process of developing a ""Sustainability Snapshot"" of Colby to teach incoming student educators.",The Office of Sustainability has the funds to hire 15 EcoReps and to facilitate several student outreach campaigns.,--,--,,,,,--,--,,,,,--,--,,,,,--,http://www.colby.edu/green/how-to-get-involved/ecoreps/,--
Colgate University,2016-02-28,2016-02-28 11:21:37,jpumilio@colgate.edu,2.0,Pursuing,True,2863.0,Green Raider Internship Program,2863.0,"Colgate's Green Raider Program promotes individual sustainable behavior at Colgate University in a fun and competitive way by hiring and training student interns to promote sustainable living on campus.  Student interns, called Green Raiders, organize events, competitions, and outreach campaigns.  They also research current practices and Colgate and take action to change institutional practices and policies to advance sustainability.  The program raises awareness around issues of sustainability in residential halls and utilizes online support, videos, how-to-guides, social media, and other tools to aid Colgate students in their pursuit to be more sustainable. The program seeks to connect individual behaviors on campus to Colgate’s overarching sustainability commitment. Students who express interest in our program, are contacted by one of our Green Raiders who serve as ambassadors to all students interested in ""going green.""

During the summer, three to five interns work closely with the Office of Sustainability to develop week-by-week behavior change educational programming that will be executed throughout the semester. During the academic year, each member of the team is responsible for implementing elements of Green Raider Program (designed during the summer), making progress on an individual project that advances sustainability on campus, and completing creative writing exercises designed to raise awareness of sustainability among peers.","Students are selected through an application and interview process. Students who display a passion for environmental issues and institutional sustainability, as well as a high degree of professionalism are selected as interns. Students who are are interested are permitted to return to the staff year after year. ","Before the official start to the new academic year, student interns return to campus early to participate in two full-days of training/orientation workshops.  The workshops include field trips, ice-breakers, readings, and a review of the sustainability movement in higher education and at Colgate University.  

In addition, to this intensive training, the Green Raider team meets on a weekly basis throughout the semester to organize and plan, share progress, troubleshoot, assign tasks, and to exchange best-practices. ","This program is a part of Colgate's Office of Sustainability, which is staffed by a director and a program coordinator.  Interns are paid through the Office of Sustainability.  Budgeting was approved by our VP of Finance and Administration as part of our 2011 Sustainability and Climate Action Plan.",Green Ambassador Program,750.0,"The Green Ambassador volunteer program works closely with the Green Raider Internship program to develop programming and encourage sustainability engagement amongst first-year students. This program seeks to find connections between the Green Raider programming and the first-year students and then utilizes those connections to drive greater engagement amongst the first-year students. The Green Ambassadors assist with Campus Conservation Nationals, Recyclemania, and other novel programming catered specifically to first-years.",The Green Ambassadors are first-year students and are selected based on the residence hall in which they reside. The goal for our selection process is to have 2-3 Green Ambassadors per first-year residence hall. These students express their interest in the program through an application and the Green Raider responsible for that residence hall selects their Green Ambassadors. ,The Green Ambassadors are trained in a two hour session by their Green Raider mentors on the basics of sustainability at Colgate and the overview of their programming for the academic year.,"Funding for this program is provided by the Sustainability and Climate Action Fund, as these behavior change efforts are a part of the larger goal of getting Colgate to achieve climate neutrality. ",--,--,,,,,--,--,,,,,4520.0,http://www.colgate.edu/distinctly-colgate/sustainability/for-students/green-living,Information about this year's Eco-Reps is accessible at: http://www.colgate.edu/distinctly-colgate/sustainability/meet-the-eco-reps
College of Charleston,2016-02-29,2016-02-29 16:52:49,fisherb@cofc.edu,2.0,Pursuing,True,10860.0,Greek Sustainability Chairs,2172.0,"Mission Statement:

“To integrate and apply knowledge of sustainable practices within Fraternity and Sorority Life to better the College of Charleston community as a whole.”

The Sustainable Greek Initiative at the College of Charleston strives to educate members of fraternity & sorority life on sustainable practices, and to encourage chapters to incorporate those practices into their houses by working closely with the Office of Sustainability. By holding meetings, workshops, and going on field trips, the chairs of the program gain hands on experience with sustainable ideas and practices. The knowledge and experience gained through these activities is then applied through service events, projects, and outreach.

Some examples of service events include: the implementation of sustainable practices in philanthropic events by making it a zero waste event or by using only local food sources, and volunteer based workshops/field trips ranging in topics that engage the Charleston community. The chairs are educated by the Office on how to develop their own projects, and are provided assistance in the implementation of them. Projects can be for personal betterment as well as for that of their organization. The chairs for the program are also encouraged to engage other members of their organization, and the greater Charleston community through outreach activities. . 

http://sustainability.cofc.edu/initiatives/culture-and-community/sustainable-greek-initiative/index.php","This program is run by Office of Sustainability interns.  Interns are selected through a multi-round intensive application process that involves submitting a resume and cover letter, response to a set of questions, and an interview.","Our internship program provides training for sustainability literacy, professional development, and leadership.  This is done throughout the course of a year-long internship through workshops including personal and professional skill development, bi-monthly meetings, and the development of a goal setting program.
","Interns have the opportunity of being provided with financial compensation, course credit, or volunteer hours for their work with the office.  Additionally, the Graduate Assistant and two full-time office staff provide support, guidance, and resources for interns to develop their projects. Programmatic costs are also supported as needed.",Residence Life Programming,3000.0,"The Office works with CofC Residence Life and Housing to provide some sustainable programming in the residence halls.  The main focus is centered on two in-house residence hall competitions to increase student engagement and participation in sustainable initiatives.  They will include a recycling competition in the fall, from September 24 - October 12, and participation in the Campus Conservation Nationals competition in the spring, February 1st - 22nd. Our interns have developed a series of resources to be used throughout the year to assist RAs in working toward creating a more sustainable community in the residence halls.  These materials include a guide to the first floor meeting, sample bulletin boards as well as suggested program activities.  Interns from the Office provide training to the RAs on how to successfully carry out these programs.","This program is run by Office of Sustainability interns.  Interns are selected through a multi-round intensive application process that involves submitting a resume and cover letter, response to a set of questions, and an interview.","Our internship program provides training for sustainability literacy, professional development, and leadership.  This is done throughout the course of a year-long internship through workshops, bi-monthly meetings, and a development an goal setting program.","Interns have the opportunity of being provided with financial compensation, course credit, or volunteer hours for their work with the office.  Additionally, the Graduate Assistant and two full-time office staff provide support, guidance, and resources for interns to develop their projects. Programmatic costs are also supported as needed.",Garden Apprentice Program,25.0,"Mission Statement:

“To explore theoretical and pragmatic applications of sustainable urban agriculture through workshops, field trips, seminar-style discussions, and hands-on experience gained through volunteer opportunities and workdays in campus gardens. The program aims to develop a sense of community, provide students with tangible learning experiences, and redevelop our relationship with our agricultural systems.”

The Urban Garden Apprenticeship Program is an intensive, semester-long program designed to give students the opportunity to explore the intersection between social justice and our urban food system. Apprentices participate in on- and off-campus workdays, field trips, seminar-style discussions, and workshops. Our multi-disciplinary approach critically examines various aspects of our food system, from food deserts to farm labor, while teaching participants the basics of sustainable agriculture and growing their own food. The program aims to develop a sense of community both among its members and with various organizations in Charleston’s agricultural sector, provide students with the opportunity to explore urban agriculture, and to pair student experiences on campus with various other community members. 

This program is lead by an Office of Sustainability student Intern. They decide the direction and the content of the program for their tenure as program Coordinator.

Learning Objectives:

Learn about the urban agriculture movement and its role in food security
Explore the interplay between social and environmental sustainability
Grow as active citizens by giving back to the Charleston community
Gain basic skills and knowledge to continue on the path of active citizenry with outside organizations
Become competent in the fundamentals of gardening and learn how to start and maintain a personal garden
Past curriculum goals included learning about: soil composition, herbal household items, food deserts, composting, seed starting, companion planting, crop rotation, bed building, indigenous agriculture, vertical gardening, herbal remedies, organic pest control, and permaculture design.

All of this is made possible by our various community partners: The Cofc Grounds Department, MUSC Urban Farm, West Ashley Hindu Temple & Cultural Center, Lowcountry Street Grocery, Fresh Future Farm, Hickory Bluff Farm, Blue Pearl Farm, and the Charleston Permaculture Guild.","The student educator is selected from previous Garden Apprentices. We look for a student who is committed (comes to most events and workshops), passionate, and always willing and ready to learn. 

This program is lead by an Office of Sustainability student Intern. Interns are selected through a multi-round intensive application process that involves submitting a resume and cover letter, response to a set of questions, and an interview.","The student is selected while the current coordinator is still holding their position. They receive one-on-one training from their predecessor as well as training from our campus grounds department during workshops and work days. 

The coordinator is also an Office of Sustainability intern. Our internship program provides training for sustainability literacy, professional development, and leadership.  This is done throughout the course of a year-long internship through workshops including personal and professional skill development, bi-monthly meetings, and the development of a goal setting program.","Interns have the opportunity of being provided with financial compensation, course credit, or volunteer hours for their work with the office.  Additionally, the Graduate Assistant and two full-time office staff provide support, guidance, and resources for interns to develop their projects. Programmatic costs are also supported as needed.","Zero Wast Corps, ECOllective Student Project Committee (ESPC), DIY Series, 71%, Social Justice Coffee Hour",1000.0,All programs are modeled after the programs described above where students provide learning opportunities to their peers by leading their specified project.,"All programs are lead by Office of Sustainability student Interns. Interns are selected through a multi-round intensive application process that involves submitting a resume and cover letter, response to a set of questions, and an interview.","All project leads are part of the Office of Sustainability Internship program. The program provides training for sustainability literacy, professional development, and leadership.  This is done throughout the course of a year-long internship through workshops including personal and professional skill development, bi-monthly meetings, and the development of a goal setting program.","Interns have the opportunity of being provided with financial compensation, course credit, or volunteer hours for their work with the office.  Additionally, the Graduate Assistant and two full-time office staff provide support, guidance, and resources for interns to develop their projects. Programmatic costs are also supported as needed.",6197.0,http://sustainability.cofc.edu/initiatives/culture-and-community/index.php,--
College of the Atlantic,2016-03-23,2016-03-23 11:14:16,ademeo@coa.edu,2.0,Pursuing,True,373.0,Compost Outreach Team (work-study),373.0,"The compost team is responsible for managing organic waste on campus, further developing the college's composting systems, and educating students, faculty, and staff about compost and the college's composting systems. This includes developing signage and other outreach tools to encourage effective composting in dorms, bathrooms, offices, and dining facilities on campus. Recent activities include: setting up paper-towel composting in bathrooms across campus, and educating faculty, staff, and students to use the new system; updating/maintaining signage in dining halls; and an educational survey of campus offices about compost knowledge and activities. ",Students indicate their interests and skills when they apply for work-study positions. Applicants are reviewed and selected for the role by the program coordinators. Some students are also recruited specifically for the job by the program coordinators because of their interest and skills. ,"Students are trained by the program coordinators: faculty member Suzanne Morse (botany, agroecology), director of campus planning and building Millard Dority, and the student coordinator of the program, who has multiple years of experience. There is also a manual describing the critical job functions. The program coordinators also work closely with the team as mentors. ","These are paid work-study positions. In addition, as described above, there is support from faculty, staff and a student coordinator of the program.",--,--,,,,,--,--,,,,,--,--,,,,,--,--,--
Colorado College,2016-02-29,2016-02-29 16:09:54,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,True,2096.0,ECO-RAs,1583.0,"The Colorado College ECO-RA program, supported by the Sustainability Office, promotes peer-to-peer education to foster sustainable living practices on and off campus. All residential areas, including large residence halls, apartments, smaller campus houses and off-campus areas are served by one or more student ECO-RAs. Selected ECO-RAs educate locally in their respective residential spaces, through formal and informal programming, marketing materials, and events. In addition, ECO-RAs implement conservation measures in their residential areas. Examples of activities include the  Green Room Certification program and participating collectively in campus-wide initiatives such as Recyclemania. Stipends for Eco-RAs are $50 per block ($400 per year), with additional funds available to support programming.  ",The Sustainability Office accepts applications for the ECO-RAs program on an annual basis. ,ECO-RAs are trained by Sustainability Office staff and are provided with a published guide for peer-to-peer education.," Stipends for Eco-RAs are $50 per block ($400 per year), with additional funds available to support programming.  ",Sense of Place - New Student Orientation Program,586.0,"The program was built to familiarize new students to the unique ecology and community of Colorado Springs while fostering the spirit of sustainability that Colorado College aims to embody. The presentation introduced students to plant, bird, and animal species within the area as well as the energy and waste disposal systems that support Colorado Springs and Colorado College. In the fall of 2014, the sense of place program included videos and live speakers on various subjects. The program now also has a website that is open to the public (http://senseofplacecoloradocollege.wordpress.com). 
Students are additionally taken on four day outdoor community service trips where they become familiarized with the nature and culture of the southwest. The student leaders of these trips encourage new students to develop a sense of social responsibility and respect for their new home which in turn promotes sustainable practices. ","The student educators who plan the sense of place presentations and discussions are students orchestrating the New Student Orientation. 
Student Orientation Leaders are chosen based upon their understanding and appreciation for Colorado College and the surrounding community as well as for leadership ability.","Student Orientation Leaders undergo a two week long training from campus faculty where leadership skill-building, discussion topics training, and scenario training takes place.",The institution does not have a single source of funding for this project. ,Office of Sustainability volunteer program ,22.0,Each intern at the office of sustainability has chosen a group of student volunteers that helps them to complete sustainability projects. This mentoring program is intended to get students involved with promoting sustainability on campus and introduce students to the Office of Sustainability early on in their CC careers. ,The student educators are selected through an application process. Applicants are interviewed by the director of the Office of Sustainability and then chosen based upon their qualifications and overall interest in promoting sustainability. ,Student Educators are mentored by the sustainability director Ian Johnson and other Student Educators. ,Colorado College provides funding to pay the student educators hourly wages. ,--,--,,,,,7848.0,https://www.coloradocollege.edu/offices/sustainability/engagement/campus/eco-ra-program/,"Sense of Place https://www.coloradocollege.edu/other/senseofplace/ 

Office of Sustainability volunteer program https://www.coloradocollege.edu/offices/sustainability/engagement/campus/sustainability-office-.html"
