Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution offer continuing education courses that address sustainability?,Number of continuing education courses offered that address sustainability,Total number of continuing education courses offered,A copy of the list and brief descriptions of the continuing education courses that address ...,A list and brief descriptions of the continuing education courses that address sustainability,Does the institution have at least one sustainability-themed certificate program through its ...,A brief description of the certificate program,Year the certificate program was created,The website URL where information about sustainability in continuing education courses is available ,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:26,mary.lucus@belmont.edu,2.0,Pursuing,True,24.0,24.0,,"The Belmont Center for Executive Education offers continuing education in health information technology, executive leadership, executive coaching, financial planning, and business management in addition to customized leadership development workshops and business acumen workshops which address HR finance, marketing, operations, and professional skills used to sustain effective business practices and environments.",True,"The certificate in Financial Planning provides continuing education for those entering or currently working in the financial services industry.  Certificate courses concentrate on financial planning, insurance planning, investing, federal income tax, retirement and employee benefits, and estate tax planning.",2000.0,http://belmontleadership.com/,--
Beloit College,2016-03-23,2016-03-23 13:46:59,chapmanlr@beloit.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
Bentley University,2016-03-25,2016-03-25 16:00:19,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:36,paulyj@berea.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,"While members of the community can take a course yearly at the college, these courses have no special designation and do not differ from Berea's regular course offerings."
Binghamton University,2016-03-20,2016-03-20 17:32:52,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:42:13,carlberg@bu.edu,2.0,Pursuing,True,7.0,98.0,http://stars.aashe.org/media/secure/405/6/574/3583/Continuing%20Education%20Courses.pdf,,True,"Sustainability since April 2010. The program explores core disciplines within the sustainability field while providing building owners and space occupiers the skills necessary to create and implement sustainability practices throughout their organization, operations, and facilities. In order to receive the certificate, students must complete 6 sustainability-focused courses and 2 elective courses.

Additionally, Boston University's Metropolitan College offers most of BU's continuing education programs, including the Graduate Certificate in Applied Sustainability. The certificate provides students with a unique interdisciplinary look at what it takes to make urban and economic development compatible with the natural environment.

http://professional.bu.edu/programs/real-estate-studies/sustainability/",2011.0,http://www.bu.edu/met/programs/graduate/applied-sustainability-certificate/,--
Bowdoin College,2016-02-25,2016-02-25 17:01:12,cpayson@bowdoin.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
Brown University,2016-03-23,2016-03-23 07:28:15,Ginger_Gritzo@Brown.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:42,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:38,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:57,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:48,dan.wakelee@csuci.edu,2.0,Pursuing,True,9.0,85.0,http://stars.aashe.org/media/secure/207/6/574/3583/Sustainability%20Extended%20University%20Courses%20CSU%20Channel%20Islands_STARS2014.doc,"Ecology, Evolution and Diversity 

Oceanography: An Introduction to the World’s Ocean

Watersheds and Wetlands 

Watersheds-Related Conservation and Restoration 

Strategies for Sustainable Living

Aquatic Food Webs

Social Consequence and Science

City Planning: What Does It Have To Do With Me?

American Environment History 
",True,"To meet the critical shortage of licensed Pest Control Advisers (PCA) in the region
and California, CI’s Pest Control Adviser Certificate Program would provide enrolled
baccalaureate, recent graduates, and re-entry students with the academic preparation to qualify
for the California’s Department of Pesticide Regulation PCA licensing examination.",2015.0,http://policy.csuci.edu/sp/14/sp-14-013.htm,"The OSHER Lifelong Learning Institute (OLLI) at CI brings the excitement and stimulation of college learning to area seniors (50 or better!) who wish to extend their learning experiences in a university atmosphere. From its inception in September 2004, OLLI has offered a wide range of quality courses. Courses related to sustainability offered by OLLI:
• Strategies for Sustainable Living (Winter 2010)
• Watersheds and Wetlands (Fall 2010)
• Field experiences in the Social Sciences: Your Backyard, Ventura County (Spring 2010)
• Climate Change and the Oceans (Spring 2010)
• Ecology, Evolution and Diversity (Fall 2009)
• Climate Change in the 21st Century (Fall 2007)
• Rain Forests of the World (Spring 2007)
"
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:34,mmoscol@fullerton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,"The role of University Extended Education is to extend the resources of the University into the community through self-supporting, self-sustaining programs.  Our programs are targeted towards adult learners and working professionals and must meet a business need.   Therefore, Extended Education programs are continuously being developed, redesigned and discontinued to ensure that our offerings are current and meet the needs of the community. "
"California State University, Northridge",2016-02-25,2016-02-25 20:34:39,austin.eriksson@csun.edu,2.0,Pursuing,--,--,--,,,--,,--,--,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:18,kristina.cullen@csus.edu,2.0,Pursuing,True,137.0,148.0,http://stars.aashe.org/media/secure/760/6/574/3583/EN-11_Sustainability_CCE_1.docx,See attached,True,"The sustainable meeting and event planning certificate program consists of 9 courses totaling 115 hours of instruction. Each component of the program encompasses green or sustainable initiatives aimed at maintaining and sustaining our environment, decreasing waste, minimizing carbon footprints, and facilitating a better and healthier living pattern.  The program provides current trends and practices for greening events and creating sustainable event products.
Courses and descriptions:

Introduction to Meeting and Event Management:
This course addresses some of the major trends and successful business practices in meeting and event management. Participants will learn valuable tools to improve day-to-day effectiveness and efficiency as an event manager or marketer. The course explores sustainability and its benefits.

Financial Management for Meetings and Events:
This course covers basic accounting techniques, as well as the principles of managing a comprehensive meeting or event budget. Participants will learn one of the most important components in a successful meeting or event: making sure the budget is both comprehensive and realistic.  

Meeting and Event Design and Décor:
This course explores aspects of design in meeting and event management with a focus on green/sustainable design. Participants will learn the fundamentals of design, explore different design options for creating a meeting or event, and learn the basic vocabulary and theories of design.

Meeting and Event Coordination:
This course covers the day-to-day dynamics of coordinating a successful professional meeting or event. Participants will discuss best practices in on-site management, and learn the standard techniques used to coordinate and manage meeting and event planning as well as crisis management. Participants will learn how to conduct a sustainability assessment as well as different sustainable onsite practices and initiatives.

Utilizing Technology in Meeting and Event Planning: 
This course provides an understanding of how technology can improve the efficiency and functionality of meeting and event professionals. Participants will be introduced to the latest technologies and software, relevant to meeting and event planning and ways that technology can reduce your event’s carbon footprint.

Food, Beverage and Venue Planning:
This course explores the behind-the-scenes world of event planning from venues to catering. Participants will be exposed to negotiation techniques and critical information on suppliers: the hotel, restaurant, and catering industries. Focus will be on supply chain, transportation and outsourcing. Participants will learn how to make food and beverage sustainable and responsible; common practices and trends in sustainable food and beverage; identify and coordinate special menu requests; and how to manage the food and beverage budget by making sustainable food options affordable.

Risk Management for Meeting and Event Planners:
This course focuses on analyzing and responding to meeting and event management risks and ethical burdens. Participants will examine common legal, physical and ethical challenges that meeting and event planners encounter, and the appropriate responses to said challenges. Special attention will be given to planning around contracts, laws and regulations, insurance, and ethical standards and stances.   

Meeting and Event Marketing and Communication:
This course will cover the key tools for advertising and marketing meetings and events. Participants will focus on the principles for strategic communication, marketing, promotion and fundraising plans. This course will develop the creative thinking necessary to create and implement meetings and events that will be appealing while raising significant funds.

Green Event Planning - The Future of Event Professionals:
This course covers hot topics and green trends for the forward thinking event professional.  Participants will learn valuable tools to educate clients and navigate sustainable choices in all events, small and large.
",2011.0,http://www.cce.csus.edu/course_group.cfm?root_heading_id=71&heading_id=71,--
Calvin College,2016-03-11,2016-03-11 14:31:22,bhaney@calvin.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
Carleton College,2016-02-26,2016-02-26 11:19:37,mlarson@carleton.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:16,bk11@andrew.cmu.edu,2.0,Pursuing,True,25.0,494.0,,"The OSHER Lifelong Learning Institute at Carnegie Mellon is a non-credit program supported and chartered by Carnegie Mellon University in 1992. The Institute promotes a gathering of people eager to extend education in their senior years by attending classes at the University. Any adult in the Pittsburgh area is able to join the Institute, and there are no age restrictions.

2013 Winter / Spring 
Biodiversity: The New Landscape Aesthetic?
Promoting Environmental Sustainability in Pittsburgh
Have You Ever Hugged a Tree?  Have You Ever Killed a Tree?
Alternative Energy Sources: What's Real and What's Not?
The Future of the Earth
Wild Mushrooms: A Nature Study
Petroleum Pioneers of Pittsburgh
Geology of the National Parks

2014 Winter / Spring & Summer
Energy, Alternative Energies, Pollution of Environment
and Global Warming
Alternative Energy Sources: What's Real and What's Not?
Helping to Save an Ailing Planet 
Geology of the National Parks
Biodiversity: The New Landscape Aesthetic?
Gardening the Right Way
3 Gates Hillman Complex Tours - LEED Gold Rated Building
Nine Mile Run Re-imagining Possibilities 
Fair Trade: A Growing Movement 
Birding for Beginners
Energy, Population Growth...

2015 Winter / Spring
Energy and the Environment
Small Space and Vertical Gardening
Gardening the Right Way
Whats Up with Mother Earth?

Several other environmental courses are offered that are based on science, social, health & wellness, but may not fit the title 'sustainability'.
",--,,--,http://www.cmu.edu/osher/,--
Case Western Reserve University,2016-03-25,2016-03-25 15:40:40,stephanie.corbett@case.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Chatham University,2016-02-17,2016-02-17 13:05:01,MWhitney@chatham.edu,2.0,Pursuing,True,20.0,20.0,http://stars.aashe.org/media/secure/378/6/574/3583/STARS%20continuing%20ed_1.xlsx,"Starting in Fall 2013, Chatham has been hosting community-based education courses at our Eden Hall campus. Workshops are open to all students, faculty, staff, and community members, and are free of charge for students. Workshops offered include oyster mushroom harvesting, shiitake mushroom harvesting, solar cooking, solar and photovoltaic selection for homeowners, and an annual hunger banquet to address food access in Western Pennsylvania.  ",True,"Certificate in Sustainable Management: The certificate consists of 18 post-baccalaureate credits, online for professionals. The certificate is designed to be a stand-alone program for individuals with a bachelor's degree, or may be run concurrently with another graduate degree.  Courses include Fundamentals of Sustainability, Sustainability and Systems, Communicating Sustainability, Business and Sustainability, Sustainability Metrics and Reporting, and others.",2012.0,http://www.chatham.edu/edenhall/,--
Clark University,2016-02-24,2016-02-24 15:49:34,jisler@clarku.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Clarkson University,2016-02-12,2016-02-12 07:37:56,sep@clarkson.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,"
"
Coastal Carolina University,2015-11-20,2015-11-20 15:31:23,sustain@coastal.edu,2.0,Pursuing,True,4.0,270.0,,"Humanitarian & Earth-Sustaining Architecture - We will discuss architects who design buildings to benefit human beings who are victims of natural disasters or refugees from war. We will also highlight architects who work to sustain our precious environments.

Coastal and Marine Systems Science Seminar & Supper OLLI+
Georgetown- Join in these monthly science-based seminars hosted by the newly
formed School of Coastal and Marine Systems Science. These one-hour
discussions will be led by students, faculty and/or staff and focus on the
coastal environments and processes where land, ocean, atmosphere and
society interact. Following the class, the group will then continue discussions
during dinner (optional and pay for your own meal) at a downtown
Georgetown restaurant.

Volunteering with Neighbor to Neighbor - Make an impact in the lives of neighbors who are homebound, disabled or chronically ill. Neighbor to Neighbor is a volunteer-based, door-to-door transportation service in Horry and Georgetown counties. Learn more about volunteer opportunities with this nonprofit organization.

No-Cost Ways of Saving Home Electricity - The goal is to help homeowners understand just how much of their electricity bill is being consumed in particular areas of their home, e.g.,
laundry, heat, A/C, lighting, etc. We will then see how much can be saved by simple changes in some homeowner habits, at minimum or zero cost to the homeowner.",--,N/A,--,http://www.coastal.edu/outreach/index.html,--
Colby College,2016-01-12,2016-01-12 15:54:23,ksbright@colby.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
Colgate University,2016-02-28,2016-02-28 11:21:50,jpumilio@colgate.edu,2.0,Pursuing,True,28.0,56.0,,"SAMPLE COURSES

UPSTATE INSTITUTE'S LIFELONG LEARNING PROGRAM: 14 out of 28 courses offered.
Internet Tools for Garden Design: Elizabeth Douglas
Learn how to use free and low-cost Internet tools to plan and visualize beautiful gardens and landscapes in all four seasons. We’ll use top online garden catalogs to identify the best plants for a site; then we’ll put together image boards on Pinterest to determine the most ideal combinations of plants. After that, we’ll look at Garden Puzzle to lay out a scaled planting design online and see it in all four seasons. Finally, we’ll go to YouTube’s most professional sources for planting how-to. There will be an emphasis on deer-resistant plants. No gardening experience is necessary.
Thursday, January 30 from 3:00 – 4:30 pm at the Hamilton Public Library

Use it or Lose it?: Data and Controversy Regarding Whether Mental Exercise Mitigates Age-related Cognitive Decline: Douglas Johnson
Can age-related changes in cognition be slowed (or avoided all together) by reading books, working Sudoku problems, solving crossword puzzles or engaging in other forms of “mental exercise”? This course presents some of the empirical evidence used to address this question and we will discuss why the answer is less clear than as portrayed in most popular press pieces on the topic.
Tuesday, January 28 from 4:00 – 5:30 pm at the Colgate Bookstore

American Women and World War I: Overseas, On the Home Front, and On the Battle Lines of Suffrage: Laurie Loewenstein
When the United States officially entered World War I in April 1917, a transforming moment was also unintentionally marked for American women. This course will explore the ways in which American women stepped up as members of military and relief units in France; as munitions, railroad, postal, and other ground-breaking workers at home; and as newly radicalized suffragists.
Tuesday, February 4 from 3:00 – 4:30 pm at the Colgate Bookstore

Perspectives from an Israeli Army Veteran: Evan Chartier
This workshop will explore our perceptions and stereotypes about the Israeli military. Evan Chartier, a senior at Colgate University, will share his personal experiences and how they relate to commonly held beliefs about this controversial topic.
Monday, February 24 from 3:00 – 4:30 pm at the Hamilton Public Library

Secrets for a Strong and Flexible Spine: Dr. Susan Marafino
Join local chiropractor, Dr. Susan Marafino for this healthy back program. Discover the secrets to a strong, fit, and flexible spine. Stay active and injury-free with a healthy back while developing optimal core support and joint mobility. During this workshop, participants will learn exercises and ergonomic strategies to gain the strength and flexibility needed for a healthy back.
Thursday, February 27 from 3:00 – 4:30 pm at the Colgate Bookstore

The Aftermath of the Great Recession: Nicole Simpson
This course will discuss the impact of the Great Recession on the U.S. economy. We will analyze the origins of the recession and the various policy tools used to fight it, including the transformation of U.S. monetary policy. We will debate the effectiveness of fiscal stimulus, and analyze the dreadful fiscal situation in the U.S. We will also discuss how the U.S. recession triggered a series of economic events worldwide.
Mondays, March 24 & 31 from 3:00 – 4:00 pm at the Colgate Bookstore

Scavenger Hunt in the Robert Linsley Geological Museum: Colgate geology students
The Robert M. Linsley Geology Museum exhibits minerals, rocks, and fossils, highlighting the beauty and wonder of these objects while also informing visitors about how geologists study the Earth. Threaded throughout the museum is a specific focus on what we know about New York State's geologic past. After a brief orientation to the museum, LLP students will participate in a scavenger hunt to become familiar with the fascinating items on display in this “gem” of a museum.
Tuesday, April 1 from 3:30 – 4:30 pm at the Robert Linsley Geological Museum, Colgate University

Life of a Migrating Songbird: John Pumilio
Birds are omnipresent in Central New York. But what do we really know about their incredible life history? Each year millions of birds migrate thousands of miles across continents and over oceans. How do they do it and where do they go? In this presentation, we explore the latest science attempting to unravel the amazing lives of migrating songbirds.
Tuesday, April 29 from 6:00 – 7:30 pm at the Hamilton Public Library

The Future of Hamilton: Searching for the Greater Good: Dick Cheshire, Moderator
A look at some of the critical issues facing interested citizens of our local communities. Knowledge is power. A series of three discussions that search for the greater good of our community will be moderated by Dick Cheshire, a founder and teaching regular of the Lifelong Learning Program.

Art as an Economic Engine: Anja Chavez, Monday, May 5
Anja Chavez, Director University Museums at Colgate University, will speak on the challenge of attracting visitors to Hamilton who otherwise wouldn't come while enlivening the interest of those who are here. What will it take for a Center for Art and Culture to be a catalyst?

Strengthening Business Downtown: Shannon Mantaro, Monday, May 12
Shannon Mantaro, Executive Director, Hamilton Initiative, LLC and Managing Director, Partnership for Community Development, will discuss how a small business environment with room for economic growth would add to local prosperity and community sustainability.

Planning Colgate's Future: Jeffrey Herbst, Monday, May 19
Jeffrey Herbst, President of Colgate University, will talk about how Colgate is diversifying its campus to meet its competitive challenges and how this may impact Hamilton and the surrounding region.

Ethical Issues in a Changing World: John Morris
This course will examine some ethical themes in Western Literature and Philosophy through works such as Sophocles’ Antigone, Aristotle’s Ethics, Paul’s Epistle to the Romans, George Eliot’s Middlemarch, Mary Shelley’s Frankenstein, and Virginia Woolf’s Mrs. Dalloway. These authors all raise important ethical questions in quite different ways. They ask not only how we should relate to one another but also reveal how ethical questions relate to our understanding of ourselves as part of an evolving world.
Tuesdays, May 6, 13, & 20 from 3:00 – 4:30 pm at the Hamilton Public Library

Active Listening: The Skill of a Lifetime: Thad Mantaro and Mark Thompson
As we become busier, and life becomes impacted by technology overload, the art of effective listening becomes more and more valuable. The difference between hearing someone and listening to someone is enormous. Effective listening skills help us to be fully present for another and to be grounded in the moment. Showing friends and family members you deeply understand not only their words but their unique life experience, can change relationships in a profound way. Active listening helps those you are communicating with feel valued and understood. In this interactive workshop participants will learn the theory behind active listening and also engage in participatory exercises and activities to practice the skill of active listening.
Wednesday, June 4 from 12:00 – 1:30 pm at the Hamilton Public Library

2013 SUMMER ON THE HILL (Sample Courses): 10 courses out of 16 offered.
Johnston: Moral Education and the Preparation of Teachers
Cushing: The Use and Abuse of The Bible in America
Kraly: Human Population and Global Environmental Change
Thomson: Rwanda: A Phoenix from the Ashes of Genocide
Ramachandran: Technology and Disruption
Selleck: Geology, Energy, and the Environment
Holm: Beyond Contagion: Emerging Infectious Diseases
Common Thread Community Farm Tour
Local Energy Extraction Attractions
Hamilton Whole Foods: Inside Look at a Small Business Restaurant

SCIENCE TEACHERS AFFILIATES (Sample Courses): 4 out of 12 offered.
Fostering a Culture of Sustainability at Home and in the Classroom
In this course, participants will explore the history, concept and practice of sustainability. We will focus on ""green"" practices from both an organizational and personal level so that you can take what you learn into the classroom or into your home. Additionally, we will introduce carbon footprints and review climate change policies, programs, and mitigation strategies. Portions of this workshop will be interactive so come prepared to meet others and get involved.


2012 Summer on the Hill (http://www.colgate.edu/alumni/return-to-colgate/summer-on-the-hill): 9 courses out of 16 offered.

Science Teachers Affiliates (http://www.colgate.edu/centers-and-institutes/howard-hughes-medical-institute/science-affiliates): 5 courses out of 12 offered.",--,"Colgate does not offer any continuing education certificate programs.  However, we offer a Green Office Certification for offices that participate in our Green Office Program and complete a series of action items over the course of a semester.  As part of this program, we also offer a seven-week book club style discussion course.",2012.0,--,--
College of Charleston,2016-02-29,2016-02-29 16:53:01,fisherb@cofc.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
College of the Atlantic,2016-03-23,2016-03-23 11:15:36,ademeo@coa.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Colorado College,2016-02-29,2016-02-29 16:10:07,Ian.Johnson@ColoradoCollege.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
