Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution make counseling, referral, and wellbeing services available to all staff?","Does the institution make counseling, referral, and wellbeing services available to all members of ...",A brief description of the institution’s wellness and/or employee assistance program(s),The website URL where information about the institution's wellness program(s) is available,"Does the institution make counseling, referral, and wellbeing services available to all students?","Does the institution make counseling, referral, and wellbeing services available to all faculty?",Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:24,mary.lucus@belmont.edu,2.0,Pursuing,True,**,"Belmont University offers employees free access to an Employee Assistance Program. Employees can find solutions for the everyday challenges of work and home as well as for more serious issues involving emotional and physical wellbeing. Employees can speak with a master’s level consultant via the telephone, meet with a local consultant, or receive information through an online library for childcare/eldercare referrals, personal relationship information, health information, legal consultations, financial planning assistance, stress management, and career development.
https://my.belmont.edu/group/human-resources/employee-assistance-program

Belmont University offers employees an Employee Wellness Program through the Virgin Pulse Program. The Virgin Pulse Miles program rewards employees for making right choices when it comes to improving their health. Belmont offers incentives in the form of “health cash” rewards to employees who meet or exceed daily “step” goals. Employees are also offered “health cash” for completing a Health Risk Assessment Survey. Employees track their progress with the “Max” activity tracker. Overall employee enrollment is 56% of Belmont’s total population which is greater than the national average enrollment of 45-50%.

In January 2016 changed insurance providers to Blue Cross/Blue Shield of Tennessee, which has a robust suite of wellness programs paralleling their national models.  At this point our participation is too new for us to evaluate it in the same way as the Virgin Health Humana program.
 ",https://www.virginhealthmiles.com/join,True,True,--
Beloit College,2016-03-23,2016-03-23 13:47:07,chapmanlr@beloit.edu,2.0,Pursuing,True,**,"For student wellbeing services, Beloit College offers the Health and Wellness Center.  The Center is committed to offering high quality primary care, counseling and health education by trust based, caring, affordable and accessible services. All of our services are available in a nonjudgmental environment and are sensitive to the diversity of our students and campus.
There is free counseling available to students on site.  The services of the on-campus counseling center are free to current Beloit College students.  Campus counselors can also refer students to off campus services or students may locate off-campus services on their own. Students are responsible for costs incurred with off campus referral services. 

For faculty and staff:
Beloit College has an unique relationship with Family Service Association of Beloit, to work for the welfare of their individual employees and their family members. Family Service Association of Beloit is a State Certified Outpatient Mental Health Clinic, and is nationally accredited throughout the Council on Accreditation.

The Beloit College Employee Assistance Program (EAP) is a confidential resource provided through Family Service Association of Beloit for Beloit College employees and their family members who are experiencing personal concerns that may interfere with or interrupt job performance.

The EAP provides up to three confidential assistance and referral sessions for a wide range of concerns, including but not limited to: dealing with stress, alcohol use, drug use, health, family, relationship, and depression. The EAP offers referral to a wide range of community-based resources including counseling, treatment, and support groups. In addition, your EAP counselor will follow your progress, if you are referred out for services, to insure those services are meeting your needs.

No information is released without the written consent of the employee or family member. The EAP services are a free benefit for eligible Beloit College employees and their family members. Some community-based counseling, treatment, and support group services are free. If there are costs involved with resources that may be referred, they may be covered by health insurance. Your EAP counselor can assist you with obtaining this information.",https://www.beloit.edu/wellness/,True,True,--
Bentley University,2016-03-25,2016-03-25 16:00:10,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:34,paulyj@berea.edu,2.0,Pursuing,True,**,"The mission of Thrive!, the campus wellness program, is to enhance and develop a healthy, high performing, and thriving college community. Thrive! believes wellness involves actively engaging in and nurturing all aspects of the whole person. Thrive! recognizes eight dimensions of wellness: Occupational, Intellectual, Emotional, Spiritual, Physical, Social and Sustainable. 

For students: students are offered free: Fitbits (wearable fitness devices), Weight Watchers, smoking cessation, Student Health 101 magazine (online health and wellness magazine). The First Year Residential Experience Supporting Health titled FRESH Start integrates the eight dimensions of wellness in a co-curricular programming model aimed at reducing student stress. Programming is also offered in Nutrition, Physical activity, sleep, stress and mental health.

Employees:  
Employees are offered yearly biometric screening and health assessments. An online wellness platform offers rewards for healthy behaviors involving: healthy living, prevention, physical activity and education.  Employees are offered reduced cost: fitbits and weight watchers.  Free tobacco cessation courses are offered. Bi-monthly health newsletters  are distributed.   A free membership to a full-service fitness facility is provided to all employees and their family members, and there is an active Wellness Board providing leadership in wellness matters.


The Employee Assistance Program (EAP) is one designed to assist employees and their family members in dealing with personal or family issues/crises from stress, relationship conflicts, grief, substance abuse, and other matters that present challenges to the employee or her/his family members.  The EAP is a free service for all employees of the College and is fully funded by the College.  
",http://www.berea.edu/thrive,True,True,--
Binghamton University,2016-03-20,2016-03-20 17:32:50,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:42:11,carlberg@bu.edu,2.0,Pursuing,True,**,"Boston University has a Faculty/Staff Assistance Office that provides confidential counseling and referral services such as consultation, problem assessment, short-term psychotherapy, and referral resource information. Human Resources also provides information online for health and wellness.",http://www.bu.edu/hr/benefits/health-wellness/,True,True,--
Bowdoin College,2016-02-25,2016-02-25 17:01:11,cpayson@bowdoin.edu,2.0,Pursuing,True,**,"All benefits-eligible staff and faculty and their household members are eligible to use the services of the Employee Assistance Program. Through an outsourced Employee Assistance Program (EAP), the College provides free, confidential counseling services including debt, childcare, and eldercare to all benefits-eligible employees and members of their immediate families. With the EAP anyone eligible is entitled to four free visits in each of the above categories. Bowdoin completely or partially covers the cost for employees at a number of local smoking cessation programs. Bowdoin maintains a robust fitness and wellness program that the College subsidizes so that staff pay a reduced rate for wellness and fitness classes. ",https://www.bowdoin.edu/hr/benefits-perks/employee-assistance-program.shtml,True,True,--
Brown University,2016-03-23,2016-03-23 07:28:06,Ginger_Gritzo@Brown.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:41,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:37,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,"The Be Smart, Be Well, Be YOU wellness initiative and the EAP are available to faculty and staff.  Students have a variety of similar services available to them in the Dean of Students Division, including Psychological Services, and Bucknell Student Health.  "
California College of the Arts,2016-02-26,2016-02-26 17:11:59,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:50,dan.wakelee@csuci.edu,2.0,Pursuing,True,**,"The Employee Assistance Program at California State University Channel islands is provided by PacifiCare Behavior Health.  This program assists CSU Channel Islands employees in the following areas:

    * Family violence
    * Marital or relationship counseling
    * Helping you choose the best providers
    * Substance abuse assessment
    * Addictions
    * Stress, anxiety, and depression
    * Grief and loss
    * Coping with change
    * Referrals to community resources
    * Parenting concerns
    * Mind/Body issues

CSU Channel Islands also hosted a workshop entitled Nutrition for Health, Weight and Diabetes Control on Thursday, October 21st, 2010. The presentation was available for CI faculty and staff. Attendees were lectured on how good nutrition can improve health, enhance weight loss and control diabetes.  Discussions were led by Dr. Derrick D’Costa, Family Practice provider with Kaiser Permanente in Oxnard. 

2nd Annual Walk Across America: Thirteen teams made up of CSU Channel Islands employees (including student assistants) formed to take on the challenge of walking across America. Each participant received a pedometer from Human Resources to keep track of his/her weekly steps. Walk Across America’s purpose is to promote health and wellness.",http://www.csuci.edu/sustainability/stars/human-resources/employee-wellness.htm,True,True,http://www.csuci.edu/sustainability/stars/human-resources/employee-wellness.htm
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:33,mmoscol@fullerton.edu,2.0,Pursuing,True,**,"The Student Health and Counseling Center (SHCC) enhances the overall health and wellness of all CSUF students. The SHCC achieves its mission by: 
-providing high-quality ambulatory health care essential to the physical and mental well being of students; 
-providing education and counseling that promote healthy lifestyles; 
-serving students in a caring manner and safe environment; and 
-serving as a resource to the campus community on health care issues. 

SHCC services include: general health, physical examinations, gynecology, laboratory testing, travel and voluntary immunizations/testing, x-ray, specialty care, optometry, pharmaceuticals, physical therapy and sports rehabilitation, health education and wellness, and counseling and psychological services.  For more information, please visit: http://www.fullerton.edu/sa/assessment/studenthealth.asp


The Employee Wellness Program, centered around the promotion of physical activity and healthy lifestyle choices, is operated by the Division of Kinesiology and Health Science (KHS). The program provides CSUF faculty and staff an opportunity to participate in exercise classes and provides information for improving one’s wellness.

The Physical Activity Programs include two “regular” exercise classes – the Open Exercise Session and the Women’s Exercise Session, and one “specialty” exercise class –the Yoga Class.
The “regular” exercise classes are offered in the Lifespan Wellness Center. The Center is a 5,000 square foot exercise facility with state-of-the-art resistance and cardiovascular exercise equipment.

There is also an emphasis on Health Promotion Programs including on-line information, on-campus lectures, and personal consultations with regard to nutrition, stress management and other wellness issues.

Another goal of the Employee Wellness Program is to help make CSUF faculty and staff aware of other related campus resources that provide more opportunities for improving one’s wellness. Other campus programs including the ASI Rec Sports and the Center for Successful Aging both offer additional exercise classes for faculty, staff and older adults.  For more information, please visit: http://hdcs.fullerton.edu/ewp/",http://hdcs.fullerton.edu/ewp/,True,True,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:38,austin.eriksson@csun.edu,2.0,Pursuing,True,**,"California State University, Northridge is committed to employee success.  The Employee Enrichment & Support Services Program is a resource provided by the Employee Relations Department at California State University, Northridge.

The purpose of the program is to inspire ongoing personal growth and enrichment in the lives of our employees at work and at home.  Specific activities change regularly, but they are all intended to educate, train, support and recognize members of our community.  Services are provided through three main programs:

Wellness & Wellbeing

Employee Assistance (LifeMatters) and,

Employee Recognition

Student success includes discovering ways to manage stress and develop practices that will support lifelong health and wellbeing. The new campus Wellness Center will be a destination where students can revitalize themselves.


Wellness Center for Student Success
 
Student success includes discovering ways to manage stress and develop practices for lifelong health and wellbeing.  Modeled in scope after the new Student Recreation Center (SRC) on the CSUN campus, the Student Wellness Center will be a destination where students can revitalize themselves. The Center will offer nutrition counseling, therapeutic treatments such as acupuncture and massage, and workshops focused on wellness and managing stress. The Wellness Center will be a place of calm amid the sometimes hectic nature of student lifestyles.",http://www.csun.edu/enrichment/,True,True,http://www.csun.edu/health-human-development/news/wellness-center-students
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:16,kristina.cullen@csus.edu,2.0,Pursuing,True,**,"Employees

Employee Assistance Program
Employees or eligible family members in need of helpful guidance, counseling, local resources or reliable professional care, your LifeMatters program is just a phone call away, and it is available on a live basis, 24/7.  When you call, a professional LifeMatters counselor will speak with you about your concerns, and offer a variety of services.

Employees and eligible family members may receive up to three (3) sessions, for each problem, to assist them in resolving issues related to stress; family difficulties; depression and anxiety; chemical dependency; crisis situations;  other personal or family concerns.  The Employee Assistance Program also provides Work/Life resources and referrals and other educational information, self-serve options and interactive tools.

Website: http://www.csus.edu/hr/departments/benefits/eap.html 

NoonTime Wellness Activities

Employees are invited to reduce stress and meet their daily physical activities needs by participating in our NoonTime Wellness program.

Website: http://www.csus.edu/hr/departments/professional%20development%20and%20training/noonwellness.html 

Students
The mission of Student Health & Counseling Services (SHCS) is to enhance students’ educational experience by addressing health-related barriers to learning, enabling students to make informed health decisions, and promoting the seven dimensions of wellness – Intellectual, Emotional, Environmental, Physical, Career/ Financial, Spiritual, and Socio-Cultural.

SHCS embraces a holistic and collaborative approach to healthcare by offering urgent care, primary care, preventive services, wellness education, violence support services, and mental health services to the Sacramento State campus community.

SHCS offers quality healthcare provided by a multidisciplinary team of medical and mental health professionals dedicated to making healthcare accessible and affordable for students through ethically sound practice, confidentiality and integrity. SHCS is committed to quality care and service delivery and is accredited through the Accreditation Association for Ambulatory Health Care (AAAHC). Clinical services include acute illness & injury care; after hours nurse advice; birth control methods/supplies; counseling & psychological services; HornetMD; immunizations; reproductive health; pharmacy; vision care; athletic training; x-ray; and lab services. SHCS also provides health education and outreach on nutrition; mental health; alcohol, tobacco, and other drugs; healthy relationships; and other college health topics.

Website: https://shcssacstate.org/ 
",http://www.csus.edu/hr/departments/benefits/eap.html,True,True,--
Calvin College,2016-03-11,2016-03-11 14:31:20,bhaney@calvin.edu,2.0,Pursuing,True,**,"Employee assistance program (EAP)

The employee assistance program is designed to offer confidential assistance to employees, spouses and dependents whose personal problems are affecting their quality of life and/or job performance. You can learn more about the services offered through our EAP by visiting the FAQ on the Pine Rest EAP site. ",http://www.calvin.edu/admin/hr/benefits/resources.html,True,True,--
Carleton College,2016-02-26,2016-02-26 11:19:36,mlarson@carleton.edu,2.0,Pursuing,True,**,"Carleton College contracts The Wellness Corporation to administer our Employee Assistance Program which provides support and counseling for personal, legal, financial and work/life issues. The program is managed by the Human Resources department.",https://apps.carleton.edu/campus/human_resources/benefits_and_insurance/Cigna_Behavioral_Health_EAP/,True,True,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:15,bk11@andrew.cmu.edu,2.0,Pursuing,True,**,"For Staff and Faculty 
1.	LifeWorks, an expanded Employee Assistance Program, is available to employees and their dependents at no cost. Use of any LifeWorks service, from web resources to materials requests to counseling, is always 100% confidential.

LifeWorks is a one-stop resource for expert information, personalized community referrals, telephone or face-to-face consultation, extensive web resources and services, and numerous free resources such as booklets, CD's, audio tapes, manuals, self-evaluations and other freebies.

2.	We offer the following services for Carnegie Mellon staff and faculty:
•Massage
•Free and unlimited Quit Smoking Support
•Free 60 min per academic year Medical Nutrition Therapy and Nutrition Education
•Allergy Shots
•Free Blood Pressure Checks
•Free Seasonal Flu Vaccination
•Fee educational programs and workshops
http://www.cmu.edu/health-services/staff-faculty-services/staff-and-faculty-services.html 
http://www.cmu.edu/health-services/health-promotion/index.html 

For all community members:
3.	Healthy Campus:  The Healthy Campus initiative supports a campus environment that is conducive to healthy living for everyone at Carnegie Mellon. This site is a hub that connects you to campus health and wellness resources.  
http://www.cmu.edu/healthy-campus/ 

For graduate and undergraduate Students:
4.	Comprehensive health services through University Health Services and Counseling and Psychological Services :
All services offer counseling, education, clinical care, and referral 
5.	Peer education services 
http://www.cmu.edu/health-services/peer-health-advocates/index.html 
6.	Mental Health Services http://www.cmu.edu/counseling/ 
7.	Stress Management Services: 
http://www.cmu.edu/health-services/stress-management/index.html 
8.	Physical health Services http://www.cmu.edu/health-services/index.html 
",http://www.cmu.edu/healthy-campus/,True,True,--
Case Western Reserve University,2016-03-25,2016-03-25 15:40:48,stephanie.corbett@case.edu,2.0,Pursuing,True,**,"Wellness activities for benefits-eligible faculty and staff were available during fall 2015:  Health Risk Appraisal, Biometric Screening and Tobacco Attestation Program. Completion of these three activities enabled faculty and staff covered by the university's medical plans to receive a $25 per month premium incentive during 2016. Those same activities and format were present throughout 2014 and 2015. We are focusing our program on the behaviors that most significantly impact health expense. By incenting people to engage in more healthy behaviors, health and well-being should increase and we expect that cost containment and savings will occur over time for the university and individuals. During 2014, 2015, and 2016, employees receiving the monthly premium incentive were also eligible for an additional program incentive ($100 for one or $200 for two) if they met participation guidelines in any of four categories:  physical activity, weight management or nutrition, stress management, tobacco cessation. Programs were offered onsite in all four categories to help people make lifestyle changes. Program registration information and health education messages are shared via an electronic newsletter sent monthly to wellness program participants. In addition, a wellness website is continually updated to provide current program and resource information. Health and wellness resources offered by the university's health insurance plans are featured in annual enrollment print materials. Free flu shots are offered annually. The Employee Relations department offers an EAP program to meet the mental health needs of faculty and staff. CWRU's 1-2-1 Fitness Center produces a monthly wellness newsletter, free monthly activity classes, cooking demonstrations, health seminars, and walking and running clubs. Students’ well-being needs are addressed by the University Health Service, University Counseling Center, Student Affairs and related programming.",http://www.case.edu/finadmin/humres/benefits/wellness/,True,True,--
Chatham University,2016-02-17,2016-02-17 13:05:03,MWhitney@chatham.edu,2.0,Pursuing,True,**,"Chatham’s Fit for the Future® program promotes health and wellness initiatives throughout the University community. Established in 2004, Fit for the Future has actually helped the University better manage its employees’ healthcare premiums with its provider, UPMC Health Care. Connected to the Fit for the Future program is the bicycle commuter tax credit available for full-time employees who commit to bicycling as their primary mode of transportation to work. Employees who sign up for this benefit are not permitted to have a campus parking permit as they are required to certify that cycling is their primary mode of transportation to and from work during the time frame in which they receive the reimbursement. The maximum reimbursement is $20 per month or $240 over a calendar year.",http://my.chatham.edu/documents/getfile.cfm?DocID=152,True,True,--
Clark University,2016-02-24,2016-02-24 15:49:33,jisler@clarku.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Clarkson University,2016-02-12,2016-02-12 07:37:54,sep@clarkson.edu,2.0,Pursuing,True,**,"Health & Wellness programs are offered to provide educational and motivational activities to promote safety, health and wellness. Employees are rewarded monetary points for their participation that can be used toward health insurance premium costs or fitness classes. WellCall: After completing an annual Personal Health Profile (PHP) by logging into www.mywellcall.com, WellCall provides individually tailored health programs that promote weight and nutrition management, exercise, smoking cessation, stress reduction and lifestyle-related improvements. Additionally, Clarkson hosts an online Physical Activity Log, where employees (or students) report their physical activity to earn points to use towards medical premiums or fitness center classes.  All Safer and Healthier Everyday classes and challenges can be found on the Clarkson University Events Calendar and updated on the website as activities become available. 

Clarkson also hosts an annual Wellness fair for simple diagnostics (blood pressure, weight), counseling and access to health and wellness providers in the community
",http://www.clarkson.edu/hr/Benefits%20and%20Wellness.html,True,True,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:22,sustain@coastal.edu,2.0,Pursuing,True,**,"LiveWell at CCU is a campus-wide initiative that promotes the overall well-being of students, faculty and staff, connecting people to campus activities and easy-to-find resources that help everyone become healthy, engaged and more productive. CCU is committed to its mission of developing healthy and productive citizens through a supportive environment dedicated to continuous self-improvement. The LiveWell website has tools and resources for a healthy mind, body and spirit. There are links for active living, healthy eating, physical health, emotional wellness, intelligent living, tobacco-free and sustainable lifestyles.",http://www.coastal.edu/livewell/,True,True,--
Colby College,2016-01-12,2016-01-12 15:54:21,ksbright@colby.edu,2.0,Pursuing,True,**,Colby has a full service EAP program for all employees and their household families.  The Wellness Working Group (WWG) is charged with helping to connect Colby faculty and staff with College and community wellness opportunities and programs and raise awareness of wellness among College employees.,http://www.colby.edu/administration_cs/humanresources/wellness/index.cfm,True,True,--
Colgate University,2016-02-28,2016-02-28 11:21:48,jpumilio@colgate.edu,2.0,Pursuing,True,**,"Colgate's Employee Assistance Program (EAP) is designed to help with problems related to substance abuse, marital and family issues, financial or legal concerns, and job stress and other personal problems.  The EAP provides confidential, short-term, solution-focused counseling (usually 4 – 6 sessions) for employees and families. For longer-term counseling needs, a referral is made to appropriate resources within the community. Your needs are matched with the most appropriate and most cost-effective resources and are coordinated with your health insurance coverage.

The Shaw Wellness Institute features a schedule of events and programs that help Colgate staff develop skills to lead healthy, balanced and purposeful lives. By providing information through interesting and creative means, we help develop the knowledge, skills, and attitudes that become the foundation for a lifetime of healthy behaviors. 

Focus on Fitness is an free program for employees and their spouses/domestic partners. This program works with campus partners including the Shaw Wellness Institute, to offer a variety of quality programming to better serve the Colgate community.
http://www.colgate.edu/campus-life/sports-and-recreation/trudy-fitness-center/open-fitness-classes",http://www.colgate.edu/docs/default-source/d_offices-and-services_working-at-colgate_work-life-programs/employee-assistance-program-%28eap%29.pdf?sfvrsn=0,True,True,--
College of Charleston,2016-02-29,2016-02-29 16:52:59,fisherb@cofc.edu,2.0,Pursuing,True,**,"The College has a pool, gymnasium and weight room available for all employees to use.  
Scooter Barnette, a senior instructor from Health and Human Performance, also offers a free weight-loss team program. The FATCAT team members learn how walking and proper nutrition can lead to weight loss and better overall health. For information contact barnettes@cofc.edu.

The College also offers the S.A.V.E. (STRATEGIES TO ASSIST VALUED EMPLOYEES) program.  SAVE is an assessment, short-term counseling, referral and follow-up service for employees and dependents who want assistance in dealing with the stress caused by life changes.",http://hr.cofc.edu/benefits/extras.php,True,True,--
College of the Atlantic,2016-03-23,2016-03-23 11:15:26,ademeo@coa.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Colorado College,2016-02-29,2016-02-29 16:10:06,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,True,**,"CC offers a variety of wellness programs for students.  To begin, the Wellness Resource Center coordinates and integrates efforts to promote health and prevent health problems, including education of campus constituents on a range of wellness-related topics, such as healthy relationships, healthy sexual engagement, alcohol and other substance use and abuse, mental health and life balance.  Furthermore, Boetcher Health Center offers students six counseling sessions free of charge.  

The college offers an Employee Assistance Program (EAP) for employees (faculty and staff) and their families.  EAP provides free counseling to help individuals dealing with marital and parenting issues, anxiety and depression, chemical dependency and co-dependency, grief and loss, job stress, co-worker conflict, child and elder care, etc.  Financial and legal services, identity theft, fraud resources, and referral services are also available at discounted rates.
 
Other wellness offerings include annual biometric health screenings, health assessments with resources for taking action, annual flu shots, presentations on a range of topics like nutrition, physical fitness, stress reduction, personal financial planning, sense of place (as part of our professional development program), etc.  Employees and dependents have access to our onsite fitness center and we have two employees trained in basic ergonomic evaluations.",http://www.coloradocollege.edu/other/wellness/,True,True,"http://www.coloradocollege.edu/offices/counseling/

https://mybensite.com/coloradocollege/index.php?box=Wellness%20State%20of%20Mind&section=Wellness%20State%20of%20Mind&page=Wellness%20State%20of%20Mind&type=w&ref=questions&img=questions
"
Colorado State University,2015-12-16,2015-12-16 16:39:16,tonie.miyamoto@colostate.edu,2.0,Pursuing,True,**,"The CSU Employee Assistance Program provides resources for relationship conflicts, substance abuse, stress, anxiety, depression, grief, or loss, as well as legal resources and financial tools. 

CSU's Commitment to Campus encompasses a wide range of programs, discounts, and special benefits available to CSU faculty and staff. These opportunities are offered to: 
    Promote employee health, wellness, and personal advancement
    Engage employees in the life of the University
    Connect employees and students outside the classroom
    Enrich participation in campus programs, classes, and events
    Reward employees for their service and involvement in the CSU community

The Campus is also a partner in Cafe Well which allows CSU faculty/staff to log healthy behaviors for cash rewards. https://www.cafewell.com/

A complete list of services and opportunities can be found at: http://provost.colostate.edu/work-life-resources/
",http://www.ombudsandeap.colostate.edu/eap.aspx,True,True,Commitment to Campus: http://facultyandstaff.colostate.edu/commitment-to-campus.aspx
