Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution assessed diversity and equity in terms of campus climate?,A brief description of the campus climate assessment(s) ,Has the institution assessed student diversity and educational equity?,A brief description of the student diversity and educational equity assessment(s),Has the institution assessed employee diversity and employment equity?,A brief description of the employee diversity and employment equity assessment(s),Has the institution assessed diversity and equity in terms of governance and public engagement?,A brief description of the governance and public engagement assessment(s),The website URL where information about the assessment(s) is available,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:20,mary.lucus@belmont.edu,2.0,Pursuing,True,"Based on the results of The Chronicle of Higher Education’s Great Colleges to Work For survey, Belmont gathered feedback from an employee survey distributed to all full-time faculty, administrators and exempt level professional staff and completed an institutional questionnaire.  Belmont’s Faculty Senate and University Staff Advisory Council conducted face-to-face meetings to garner additional information. Belmont purchased extensive reports to help us better see where we stand with our employees, identify our strengths, and understand our challenges.",True,The Institutional Research Office is constantly monitoring and reporting the ethnic/racial and gender diversity of the student body.,True,The institution sets goals for hiring based on the Affirmative Action Report filed each year with the EEOC.,--,,--,--
Beloit College,2016-03-23,2016-03-23 13:46:43,chapmanlr@beloit.edu,2.0,Pursuing,True,"A Diversity Council, comprised of students, faculty, and staff, has been formed under the leadership of the Director of Intercultural Affairs.  This group has as its mission to lead in the changes being made in campus culture and climate through the implementation of the Diversity Plan.  The Council will provide strong leadership and be involved in the education of others as it helps to create and develop practices and strategies that further campus diversity and its acceptance. It will provide information to the entire campus on progress in the implementation of our goals for diversity.  It will draw to the attention of the responsible individuals on campus instances where problems exist and receive from those individuals reports that demonstrate the progress being made to correct those problems.",True,"Beloit College has its seniors and freshman participate in the Cooperative Institution Research Program's ""Your First College Year"" survey, while seniors take the CIRP ""College Senior Survey.""  These surveys were last administered in the spring of 2015.
Both of these surveys ask similar questions which can be compared longitudinally across graduation classes for changes in perspectives.  Questions asked in both surveys try to uncover perceptions of self-value, ""fitting in,"" and ask questions about students' level of respect for diverse beliefs.
Results conclude that around 75% of students surveyed are at least satisfied if not very satisfied with the level of respect for the expression of diverse beliefs.  An additional 20% were neutral, leaving only 5% dissatisfied.
Also, about 85% of students saw themselves as part of Beloit's campus community.

These results and more from the survey instrument are being used during the current academic year to pursue college-wide goals and initiatives around persistence and inclusivity.",--,,--,,--,--
Bentley University,2016-03-25,2016-03-25 15:59:49,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:30,paulyj@berea.edu,2.0,Pursuing,True,"Berea College provides yearly assessment of its programs through several nationally recognized student surveys (NSSE), as well as a survey for all graduating seniors to assess multiple facets of the college experience, including the campus climate and diversity.",True,"Berea College provides yearly assessment of its programs through several nationally recognized student surveys (NSSE), as well as a survey for all graduating seniors to assess multiple facets of the college experience, including the campus climate and diversity.",--,,--,,--,"Berea College has not assessed employee diversity (except in terms of numbers), governance, or public engagement."
Binghamton University,2016-03-20,2016-03-20 17:32:46,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:42:06,carlberg@bu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,"Boston University, like all federal contractors, prepares an Affirmative Action Plan annually.  The most recent plan for 2014 is currently being developed.  It is not possible to provide results in this format, since the plan analyzes the entire employee population by job group and it is a very extensive analysis.  The results are used to assist the University in understanding whether our employee population has appropriate representation of women and minorities in the various types of employee groups.  This information informs us of where efforts need to be directed to improve recruiting for certain kinds of positions. "
Bowdoin College,2016-02-25,2016-02-25 17:01:06,cpayson@bowdoin.edu,2.0,Pursuing,True,"Bowdoin College assesses student diversity and educational equity in a holistic manner throughout the students’ tenure. Considerations during the admissions process include gender, race, ethnicity, socioeconomic status, geography, and first-generation status, among others. The Bowdoin Class of 2018 is composed of 32 percent students of color and 14 percent low-income students (Pell grant eligible). Bowdoin is need-blind in its admission review. Several student surveys conducted by the Office of Institutional Research, Analytics and Consulting are analyzed to understand when race and gender yield different student experiences.",True,"In the annual survey of Bowdoin seniors, students are specifically asked about their satisfaction with the ethnic, racial, cultural and socio-economic diversity on campus and how much interaction they have with students from different backgrounds. In March 2015, the Division of Student Affairs established a working group to further promote interaction, collaboration, and learning among people of different races, ethnicities, sexualities, and economic circumstances. This group will assess and provide feedback about current programs to ensure that all students can interact, participate, and learn from one another. Other diversity and equity initiatives include establishing a new Student Center for Multicultural Life; creating a new position of Associate Dean for Diversity and Inclusion; and hiring a new director for the Center for Multicultural Life.",True,"In 2010 Bowdoin’s Working Group on Faculty Diversity was transformed into a Committee on Faculty Diversity to remain in existence until the 2014-15 academic year, when the progress on diversity would be evaluated. The specific charge of the committee is to promote the hiring and retention of a diverse faculty at Bowdoin by serving as outside members on tenure-track searches, and by undertaking other activities to increase the diversity of the faculty. The Committee on Faculty Diversity assessed its progress in the current 2014-15 year and decided to extend the committee until 2019-20. The Committee has recommended professional training on inclusive recruiting and hiring practices for its members and involving them earlier in the search process.",True,"Bowdoin reports annually on the gender, ethnicity, alumni decade representation, geographic representation, and professional background of trustees in order to foster awareness of diversity among Board members. The College also maintains the Trustee Special Committee on Multicultural Affairs and the Diversity Committee of the Alumni Council. To address public engagement, the College established a bias incident reporting online form for any campus community member to report either bias incidents or positive educational efforts or prevention events. The index of such events promotes transparency and is available to assess campus inclusion.",--,--
Brown University,2016-03-23,2016-03-23 07:27:45,Ginger_Gritzo@Brown.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:36,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:33,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:54,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:45,dan.wakelee@csuci.edu,2.0,Pursuing,True,"The campus uses the Beginning College Survey of Student Engagement which surveys all beginning students each fall about their preparedness and expectations for college, as well as their level of engagement with others who identify differently than they do.. The National Survey of Student Engagement which surveys first year and last year student perspectives on their educational experience including campus climate, workload & quality of education is administered each Spring.  Additionally, Human Resources and Faculty Affairs complete staff and faculty climate assessment through Chronical for Higher Education's Great Places to Work survey.  The annual Affirmative Action Plan also informs climate from a recruitment and retention perspective.",True,"Key variables associated with success, retention and graduation are tracked on a semester by semester basis.  
",True,An annual Affirmative Action Plan is completed each year along with the opportunity for all staff and faculty to participate in the Chronicle for Higher Education's Great Places to Work.,--,,http://www.csuci.edu/sustainability/stars/diversity-affordability/diversity-culture.htm,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:28,mmoscol@fullerton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:33,austin.eriksson@csun.edu,2.0,Pursuing,True,"In the Spring 2011 semester, CSUN conducted a survey which addressed diversity and equity in terms of the similarities and differences in faculty and staff perceptions of campus climate at CSUN.  The study assessed perceptions of campus climate as compared by racial/ethnic minorities and academic colleges.  The results, released in 2012, indicated that overall the campus climate for various racial and ethnic groups was generally viewed as respectful; however, compared to majority counterparts, respondents rated the climate less respectful for four groups: (1) Latina(o)/Hispanics; (2) African/African American/Blacks; (3) Middle Eastern persons; and (4) American Indians.  The results were used to develop strategies to improve the climate for CSUN faculty and staff, such as providing diversity and equity training to search and tenure committees.   
	
http://www.csun.edu/sites/default/files/Campus_Climate_2011_Survey_Summary_Report_FSMtg_watermark_04_19_12_PPT_Handout_0.pdf 

In the Spring 2015 semester, CSUN conducted a student climate survey to better assess the campus climate surrounding issues of sexual violence, including information on CSUN’s efforts to prevent sexual violence and to ensure support for victims/survivors.  The results were presented in late 2015.  The survey revealed that CSUN students overall consider themselves valued, happy and safe, though they had much less exposure to information on sexual violence than is needed.  The results will be used to implement future programs aimed at increasing exposure to campus resources and to provide better communication of sexual violence issues on campus.

http://www.csun.edu/sites/default/files/sexual-violence-survey111915.pdf 

In December 2015, CSUN distributed its campus climate survey on diversity and inclusion for students, faculty, staff and administrators at CSUN.   Responses to this campus climate survey are currently being assessed and analyzed by CSUN.  
",True,"The Office of Institutional Research maintains data regarding the key characteristics of CSUN’s students, faculty members and course sections.  Specifically, the data includes the racial and ethnic background of enrolled students, as well as the undergraduate and retention rates broken down by ethnicity and gender.  

http://irqry.csun.edu:8080/openweb/csunnumbersindex.html 
",True,"CSUN conducted campus climate surveys in the Spring 2011 semester and in December 2015 to assess diversity and employment equity issues.  Furthermore, CSUN’s Office of Institutional Research maintains data regarding the key characteristics of faculty members by racial and ethnic background.  In July 2015, the Office of Human Resources also released employee demographic data for its full-time and part-time employees with respect to gender, race/ethnicity and age.  

http://www.csun.edu/sites/default/files/demographic-data.pdf
",--,,http://www.csun.edu/sites/default/files/Campus_Climate_2011_Survey_Summary_Report_FSMtg_watermark_04_19_12_PPT_Handout_0.pdf,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:12,kristina.cullen@csus.edu,2.0,Pursuing,True,"The Office of Institutional Research administered the Campus Climate Survey for
Students in partnership with the Campus Educational Equity Committee (CEEC) to a random subset of undergraduate students. Survey efforts included gathering information about the campus climate at Sacramento State, particularly with respect to intergroup dialogue regarding issues of diversity. In the scope of this survey, campus climate refers to ''the formal and informal environment in which we learn, teach, work, and live in a post-secondary setting.'' This survey was administered to approximately 34% of the student population within each undergraduate class level. Subsequently, 8,885 students were selected (via email) to complete an online survey questionnaire in November of 2013. 1,534 of those students completed a survey for an overall response rate of 17%. This response rate differs from those obtained in 2003 and 2007 due to the fact that previous survey administrations were conducted in class.",True,"Survey was conducted in fall of 2013. Results were presented to the Committee on Diversity and Equity who then made policy recommendations to the Executive Committee.

Results of the climate survey can be found here:

  http://www.csus.edu/oir/Reports/Campus%20Climate%20Survey/CC%20Survey%20Report%2013.pdf",True,"In 2013-2014, the Office of Human Resources conducted a campus climate survey for all
employees. Respondents were classified as faculty, staff, and management personnel plan (MPP employees). In conjunction with IRT and the Office of Analytics and Institutional Effectiveness, we also prepared a report comparing the results from these different classifications in the following categories: Equal Opportunity/Diversity, Employee Relations, Work Climate, Employee Development, Relationships with
Management, Benefits Satisfaction, Intra-Department Communication, Job Satisfaction, and Work-Life Balance. 

Results of the employee survey can be found here:

http://www.csus.edu/hr/docs/Final%20-%20Landscape%20Climate%20Survey%20Statistical%20Analysis.pdf

The Vice President for Human Resources, Christine Lovely, reviewed the survey results to determine if any policy recommendations needed to be made. ",--,,--,--
Calvin College,2016-03-11,2016-03-11 14:31:16,bhaney@calvin.edu,2.0,Pursuing,True,"Our last all-campus climate survey was completed in Spring 2015.
All current faculty, staff, students, and administrators were sent a link to the electronic survey. The results have been shared in two public forums, at a meeting of the faculty senate, at a cabinet meeting, and upon request for any member of the college community. The survey included over 30 questions. In general the results tell us that the majority of people, regardless of race or gender or ability, feel welcome at Calvin; less than 3% had seriously thought about leaving the campus in the past year because of discrimination or harassment. Of those expressing feeling alone or unwelcome, the majority were students of color. The results have informed the kinds of trainings offered for the year. ",True,"A newly revised retention committee (Fall 2015) has evaluated the last three years of access and retention data. The examination led to the hiring of a director of retention (housed in the provost office) and the drafting of a retention policy identifying disparities in retention and setting goals for closing the gap.

A student recruitment policy is in process of development. It, too, will identify obstacles to recruiting a diverse student population and describe strategies for improving the college's current efforts. 

The shared cabinet goals for 2015-2016 is ""Improving student recruitment and retention"". The cabinet receives weekly updates of efforts and progress.",--,We have accessed diversity but not equity. Assessing equity is a part of our strategic plan 2015-2019; but not slated to start until Fall 2016.,--,,--,--
Carleton College,2016-02-26,2016-02-26 11:19:31,mlarson@carleton.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:10,bk11@andrew.cmu.edu,2.0,Pursuing,True,"The Office of Institutional Research & Analysis (IR&A) coordinates the development, administration, and analysis efforts on a series of assessments of admitted students, current undergraduate and graduate students, faculty, and staff.  Each year, IR&A publishes the Carnegie Mellon Fact Book, a compilation of commonly requested information about Carnegie Mellon University. It includes data on admissions, student enrollment conferred, campus facilities, etc.  It is a public document made broadly available so that Colleges, departments and administrative units at the university assess diversity.  Retention and graduation rates are also published so that academic units can assess diversity, and implement or update internal plans related to student engagement, diversity and achievement.  While the university as a whole has not proceeded with a full-scale assessment of diversity and educational equity in this reporting period, pertinent information is given to and used by colleges, schools, and departments to aide them in their affirmative recruitment and retention of diverse students.

 

",True,"The Office of Institutional Research & Analysis (IR&A) coordinates the development, administration, and analysis efforts on a series of assessments of admitted students, current undergraduate and graduate students, faculty, and staff.  Each year, IR&A publishes the Carnegie Mellon Fact Book, a compilation of commonly requested information about Carnegie Mellon University. It includes data on admissions, student enrollment conferred, campus facilities, etc.  It is a public document made broadly available so that Colleges, departments and administrative units at the university assess diversity.  Retention and graduation rates are also published so that academic units can assess diversity, and implement or update internal plans related to student engagement, diversity and achievement.  While the university as a whole has not proceeded with a full-scale assessment of diversity and educational equity in this reporting period, pertinent information is given to and used by colleges, schools, and departments to aide them in their affirmative recruitment and retention of diverse students.
",True,"Carnegie Mellon has prepares and implements its Affirmative Action Program under Executive Order 11246. The Program is results-oriented and is designed to institutionalize Carnegie Mellon's commitment to equal opportunity: http://www.cmu.edu/hr/eos/compliance/index.html .  We complete Affirmative Action Reporting twice per year with written affirmative action programs. Each plan has a diagnostic component that includes a number of quantitative analyses designed to evaluate the composition of the workforce of the contractor and compare it to the composition of the relevant labor pools.  Plans also include internal auditing and reporting systems, as well action-oriented programs designed to increase our minority, female, veteran and disabled employee populations.

",True,"The Office of Institutional Research & Analysis (IR&A) coordinates the development, administration, and analysis efforts on a series of assessments of admitted students, current undergraduate and graduate students, faculty, and staff.  Each year, IR&A publishes the Carnegie Mellon Fact Book, a compilation of commonly requested information about Carnegie Mellon University. It includes data on admissions, student enrollment conferred, campus facilities, etc.  It is a public document made broadly available so that Colleges, departments and administrative units at the university assess diversity.  Retention and graduation rates are also published so that academic units can assess diversity, and implement or update internal plans related to student engagement, diversity and achievement.  While the university as a whole has not proceeded with a full-scale assessment of diversity and educational equity in this reporting period, pertinent information is given to and used by colleges, schools, and departments to aide them in their affirmative recruitment and retention of diverse students.
",http://www.cmu.edu/hr/eos/compliance/,"Although a university-wide assessment of campus climate has not been performed within the STARS 3 year reporting timeline, Carnegie Mellon does engage in surveys which broadly assess where students are spending their time and how involved they are in various aspects of their collegiate experience. Other surveys examine students' satisfaction with eight academic adviser characteristics related to institutional knowledge and its application to educational decisions and four adviser practices related to students' feelings of being valued within the advising relationship.
The Office of Institutional Research & Analysis coordinates the development, administration, and analysis efforts on a series of assessments of admitted students, current undergraduate and graduate students, faculty, and staff. The Office of Institutional Research and Analysis contributes to meaningful work across all areas of Carnegie Mellon University by collecting, organizing, and analyzing information that allows staff and faculty to better understand the CMU community and the environment in which they work.
https://www.cmu.edu/ira/index.html
 
"
Case Western Reserve University,2016-03-25,2016-03-25 15:40:25,stephanie.corbett@case.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,Diversity Strategic Action Plan - 2012: http://www.case.edu/diversity/downloads/DSAPMarch2012.pdf 
