Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of students engaged in community service,Total number of students ,Does the institution wish to pursue Part 2 of this credit (community service hours)?,Total number of student community service hours contributed during a one-year period,Does the institution include community service achievements on student transcripts?,"A brief description of the practice of including community service on transcripts, if applicable",Does the institution provide incentives for employees to participate in community service (on- or ...,A brief description of the institution’s employee community service initiatives,The website URL where information about the institution’s community service initiatives is available,Public Notes
Berea College,2016-02-29,2016-02-29 10:22:40,paulyj@berea.edu,2.0,Pursuing,614.0,1564.0,True,31263.0,True,"The Active Learning Experience (ALE) is an opportunity for students to explore interconnections among various venues for learning—courses, labor, service, research, internships, etc. All ALEs must include: a) learning through sustained, continual engagement in, reflection on, and assessment of experiences; b) the use of knowledge, imagination, and judgment to address questions in novel contexts; and c) the exploration of connections between theory and practice, and between learning in courses and from experiences outside the classroom. When the experience has a strong Service-Learning component, it will be designated as ALE-SL. Students must complete one approved ALE or ALE-SL.  ALE and ALE-SL courses will be identified as such on student transcripts.",--,,--,--
Binghamton University,2016-03-20,2016-03-20 17:32:55,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:42:16,carlberg@bu.edu,2.0,Pursuing,4570.0,33119.0,True,125612.0,--,,--,,http://www.bu.edu/csc/about/,http://www.goterriers.com/ot/bost-community-outreach.html
Bowdoin College,2016-02-25,2016-02-25 17:01:16,cpayson@bowdoin.edu,2.0,Pursuing,1100.0,1805.0,True,60000.0,--,,True,"The McKeen Center for the Common Good coordinates half-day service projects for departments or divisions as requested, but there is no formal college policy or program that provides incentives.",http://www.bowdoin.edu/mckeen-center/,--
Brown University,2016-03-23,2016-03-23 07:28:41,Ginger_Gritzo@Brown.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:46,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:42,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:12:02,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:53,dan.wakelee@csuci.edu,2.0,Pursuing,2895.0,5042.0,True,210341.0,--,"The Service Learning Policy (excerpt pg. 99 from the 2010-2011 CSU Channel Islands Catalog):

The following policies will be adhered to at CI for all courses designated as Service Learning Courses, Service-Learning Internships or courses with Service Learning Components (hereafter collectively referred to as “Service Learning Courses.”)

Service learning is a teaching and learning approach that integrates community service with academic study to enrich learning, teach civic responsibility, and strengthen communities, while engaging students in reflection upon what was experienced, how the community was benefited, and what was learned. Adapted from the National Commission on Service Learning definition. Community service achievements are listed on CI student transcripts as “SERVICE LEARNING/INTERNSHIP.”
",--,,http://www.csuci.edu/servicelearning/index.htm,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:38,mmoscol@fullerton.edu,2.0,Pursuing,15712.0,38325.0,True,1212383.0,--,N/A,--,N/A,http://www.fullerton.edu/CICE,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:43,austin.eriksson@csun.edu,2.0,Pursuing,11720.0,38310.0,True,553430.0,--,,--,,http://www.csun.edu/undergraduate-studies/community-engagement,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:22,kristina.cullen@csus.edu,2.0,Pursuing,2372.0,28639.0,True,48804.0,--,,True,"We offer a program called ""Sac State Volunteers"" that provides community service opportunities to students, faculty, and staff. ",http://www.csus.edu/cec,"The number of students and student hours reported here focuses almost exclusively on one type of community-service -- service learning. Thus, it is not a full representation of the thousands of other students and their hours that are contributed through many other programs (e.g. student affairs) and internships across campus. "
Calvin College,2016-03-11,2016-03-11 14:31:26,bhaney@calvin.edu,2.0,Pursuing,1922.0,3893.0,True,55303.0,True,"Students have a separate Service-Learning transcript. It  can accompany the academic transcript. The Service-Learning transcript includes position title, site location, dates/hours served, and supervisor information.",True,Calvin encourages staff and faculty to participate/mentor/facilitate service-learning initiatives. Calvin considers this as part of an employee's work that serves the college as well as the community. Staff do not have to use vacation time to participate. Some departments have organized half-day volunteer opportunities for their teams.,http://calvin.edu/slc/,"Source: 
1. The # of students engaged in community service comes from the Statistical Report for AY 14-15 from the Calvin College Service-Learning Center: ""Total number of Calvin students who participated in service-learning."" Available at this link: http://calvin.edu/dotAsset/335183fb-ccb1-4a4c-bc65-717adea9d587.pdf
2. Headcount total number of students is from the Institutional Characteristics performance year data (IC-3).
3. Total hours is from the same statistical report as Source Note #1: ""Total amount of service-learning hours logged by Calvin Students.""




"
Carleton College,2016-02-26,2016-02-26 11:19:41,mlarson@carleton.edu,2.0,Pursuing,919.0,2042.0,True,11750.0,--,,True,Employees can take a paid leave of absence if they are Red Cross first responders to respond to disasters.,http://apps.carleton.edu/campus/ccce/,The Carleton Center for Community and Civic Engagement (CCCE) includes both the Academic and Civic Engagement programs (curricular service projects tied to courses) and Acting in the Community Together (co-curricular volunteer opportunities)
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:20,bk11@andrew.cmu.edu,2.0,Pursuing,4291.0,11442.0,True,297438.0,--,"We do not note service on transcripts but we do have more than there were 27 different courses that had a service learning component embedded into the course requirements;  1058 students participated in these classes.  

The federal government requires the university to use at least 7% of work study funds for community service positions.  In 2012-13 CMU’s total was 43% .",True,"The university allows for staff to take time to support community service initiatives for Staff Council Community Food Bank Drive, Toys for Tots, University Police Polar Plunge, and several other initiatives.",http://www.cmu.edu/gelfand/index.html,--
Case Western Reserve University,2016-03-25,2016-03-25 15:41:08,stephanie.corbett@case.edu,2.0,Pursuing,68004.0,113400.0,True,483000.0,--,"No, community service is not included on a student’s transcripts, but are recognized each year at a special awards ceremony hosted by Barbara R. Snyder, President for Case Western Reserve University. Students receive a certificate of recognition for their contribution and commitment to community service.",True,"A policy was formally adopted by Human Resources in 2003 to allow full-time employees to 
volunteer in the community without using their own personal time (vacation) to do so. Initiated 
by the Staff Advisory Council (SAC), this policy applies to employees volunteering as part of the annual Case for Community Day – an afternoon of service in the Greater Cleveland community. Case Western Reserve University is comprised of 6,000 employees representing 8 schools and many departments. Our employees are involved in approximately 500 community service initiatives in the core areas of education, health, social services and community development. Such initiatives range from mentoring and tutoring, health and wellness for youth and seniors,revitalization of community neighborhoods, employment, among others.",http://www.case.edu/pubaff/govrel/communityrelations/,"Volunteer numbers for various community service initiatives are centrally collected by the university's Government and Community Relations Office. Hours are estimated but considered accurate. 
Total number of students was given by Jean Gubbins."
Chatham University,2016-02-17,2016-02-17 13:05:05,MWhitney@chatham.edu,2.0,Pursuing,1029.0,1488.0,True,46000.0,True,"Chatham University offers a co-curricular transcript, which is an official document of Chatham University just like an Academic Transcript, but designed to recognize and validate student certifications, honors, awards, leadership positions, and other campus and community involvement. Chatham University is proud of the community service that the students, faculty and staff have been involved in. Chatham University has been admitted to the 2015 President’s Higher Education Community Service Honor Roll for engaging its students, faculty, and staff in meaningful service that achieves measurable results in the community. This is Chatham University’s fourth consecutive year being named this honor.",True,"Chatham University employees are encouraged to take part in several community service initiatives throughout the year. This past year, in honor of Martin Luther King, Jr. Day, Chatham students, faculty, and staff spent the morning volunteering at four different services sites in the local Pittsburgh area.  Chatham volunteers helped to coordinate MLK Day performances at Kelly Strayhorn Theater, cleaned creek banks with Nine Mile Run, beautified riverbanks with Friends of the Riverfront, and created seed packets with the Student Conservation Association. Chatham employees also take part in University Day: Buckets & Blossoms during which students, faculty, and staff spend the morning beautifying Chatham’s campus by mulching, planting flowers and trees, weeding, and removing litter. Chatham also hosts two annual fundraisers: Relay for Life, which benefits the American Cancer Society and the Empty Bowls Hunger Banquet, which benefits the Greater Pittsburgh Community Food Bank.  Employees are encouraged to attend these events to show their support and to donate to the causes.",http://www.chatham.edu/campuslife/getinvolved/programs.cfm,--
Clark University,2016-02-24,2016-02-24 15:49:38,jisler@clarku.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Clarkson University,2016-02-12,2016-02-12 07:37:59,sep@clarkson.edu,2.0,Pursuing,165.0,3737.0,True,2460.0,--,,True,"Paid time off for select community project, holiday lunch in exchange for can good donation (1700 items for December 2015), Support an annual Chemistry magic show to collect gifts for local children. Payroll deduction for United Way, ",http://www.clarkson.edu/campus_life/clubs/volunteering.html,"Data on community service collected through our KnightLife student engagement and organization software.  We know that this system does not yet collect all data.  The numbers for students and hours are known to be very low, but this is the best reliable information we have.
"
Coastal Carolina University,2015-11-20,2015-11-20 15:31:27,sustain@coastal.edu,2.0,Pursuing,3459.0,8870.0,True,25557.0,True,"Students who enroll in designated Service Learning Courses receive a specific
designation on their transcripts as a part of the institution's Quality Enhancement Plan.
Students also have to opportunity to report their service hours through a university
administered website, ""Coastal Connections,"" and receive a supplemental Involvement
 Portfolio",True,"‌‌The Volunteers@Work initiative demonstrates Coastal Carolina University's commitment 
to volunteer outreach by connecting employees to local agencies in need of service. 
Through these efforts faculty and staff learn about and experience service in our 
community and make a difference by helping others while building camaraderie 
and a stronger community.",http://www.coastal.edu/volunteer/,--
Colby College,2016-01-12,2016-01-12 15:54:26,ksbright@colby.edu,2.0,Pursuing,1600.0,1820.0,True,32729.0,--,N/A,--,N/A,http://www.colby.edu/goldfarb/,--
Colgate University,2016-02-28,2016-02-28 11:21:53,jpumilio@colgate.edu,2.0,Pursuing,2142.0,2869.0,True,31000.0,--,Colgate does not include community service on transcripts.,--,,--,"According to our annual exit survey, 73% of seniors report participating in the community service or volunteer work.  Information obtained from Brendt Simpson in Institutional Research."
College of Charleston,2016-02-29,2016-02-29 16:53:05,fisherb@cofc.edu,2.0,Pursuing,2100.0,10511.0,--,--,--,,--,,--,--
College of the Atlantic,2016-03-23,2016-03-23 11:16:03,ademeo@coa.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Colorado College,2016-02-29,2016-02-29 16:10:11,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,1730.0,2097.0,True,35134.0,True,"The Community-Engaged Leadership (CEL) Certificate is designed to assist students develop their interests and capacities in areas related to service, social justice, leadership and public engagement. The program involves a series of workshops as well as a senior capstone project in the community for each participating student. The CEL Certificate appears on student transcripts. Additionally, Community Based Learning courses appear on student transcripts. CBL courses involve community engagement through learning or research as part of the course description. Courses with a CBL notation include the intention of equipping students with the skills, knowledge and experience to exercise influence toward social, cultural, environmental or civic outcomes that benefit the common good. ",True,Full-time and part-time staff may request leave with pay to voluntarily participate in any of the civic or charitable-related trips or activities sponsored by Colorado College. The college offers this paid leave as a benefit to full-time and part-time staff scheduled to work during a college-sponsored community service event.,https://www.coloradocollege.edu/offices/cce/,--
Colorado State University,2015-12-16,2015-12-16 16:39:22,tonie.miyamoto@colostate.edu,2.0,Pursuing,23023.0,27086.0,True,575000.0,--,"While CSU does not officially list community service on the university transcript, students are encouraged to track co-curricular experiences and create a Leadership and Involvement transcript on RamLink, a student portal. The transcript can be downloaded and included with materials submitted for graduate programs, used as a resource to build resumes, and can be included in materials for internship programs.",True,"Volunteers in Public Schools at Colorado State University allows employees up to 5 hours per month administrative leave to volunteer in any public school district. The program was developed by Colorado State University Classified Personnel Council in 1995 and is a permanent program open to all Colorado State employees.

School is Cool is a community outreach effort managed and organized by CSU employees that provides backpacks and school supplies to K-12 students in Fort Collins, Wellington, Timnath and LaPorte, and to outlying mountain schools. Since 1992, School Is Cool has helped more than 32,000 children. Last year, the program assisted 2,517 students in 46 schools.

Multiple departments and offices at CSU also sponsor staff volunteer and service activities throughout the year. ",http://www.slice.colostate.edu/,"CSU has several innovative community service programs related to sustainability. Just one example is Fall Clean Up. More than 1,500 student volunteers help approximately 200 neighbors in need in the local community clean up their leaves and yard waste in the fall. In October 2014, 4,867 bags of leaves were collected and taken to Hope Farms for composting.

Student enrollment differs in this credit from IC3 as online/continuing education students are not included in this credit per the headcount note from AASHE above specifying that non-credit, continuing education, and/or part-time students may be excluded."
Columbia University,2016-01-13,2016-01-13 14:27:26,as3215@columbia.edu,2.0,Pursuing,700.0,8173.0,True,125240.0,--,,--,,http://www.columbia.edu/content/community-programs-and-services.html,"*total number of students represents total undergraduates and graduates.
*Columbia Community Impact had 900 volunteers engaged in  Community Service  during the  2013-3014 school year, of those 700 were students."
Connecticut College,2016-02-28,2016-02-28 16:33:14,jstoffel@conncoll.edu,2.0,Pursuing,577.0,1900.0,True,23000.0,--,,--,,--,--
Cornell University,2016-03-18,2016-03-18 08:39:49,cma18@cornell.edu,2.0,Pursuing,8818.0,20951.0,True,187450.0,--,,--,"Cornell is an exceptionally decentralized university, and there is no 'one-size-fits-all’ institutional answer regarding incentives for staff and faculty community service. Conversely,the boards of  Ithaca’s rich non-profit community all have exceptional Cornell representation, and the University accounts for a full 40 percent of United Way of Tompkins County’s annual campaign. Community volunteerism at Cornell doesn’t have to incentivized or officially encouraged. It has been a long-time way of life, that is often celebrated, and recognized, including via an annual Town-Gown Awards ceremony (http://news.cornell.edu/stories/2014/12/skorton-campus-and-community-leaders-honored). ",http://www.psc.cornell.edu/,"Number of students engaged in community service is reported from 2014-2015. 

More about Cornell's Day of Caring and United Way efforts: http://news.cornell.edu/stories/2015/09/county-united-way-announces-campaign-goal-day-caring"
Creighton University,2016-02-24,2016-02-24 14:08:55,mjduda@creighton.edu,2.0,Pursuing,4520.0,7816.0,True,1084601.0,--,This information is for academic 2013-14. We are in the process of summarizing 2014-15.  Non degree/certificate –seeking students are excluded from headcount.,True,"The university hosts ""Project Homeless Connect"" each year. This initiative is ""a one-day event that serves as a “one-stop shop”, connecting homeless individuals to needed services, including: housing, healthcare, legal resources, Social Security, food-stamp benefits, and employment."" Employees are invited and encouraged to attend. They receive time off to attend and participate.   Government agencies, non-profit agencies, local businesses, volunteer groups, medical providers, legal experts and many other service providers come together to offer on-site immediate assistance to individuals, families, seniors, veterans and youth who find themselves homeless. Project Homeless Connect Omaha has assisted homeless individuals improve their lives and exit life on the streets.  
Visit https://www.creighton.edu/communityrelations/service/index.php for more information about Creighton's involvement in the community, ",http://www.creighton.edu/aea/servicelearning/index.php,"For more information about Creighton's involvement in the community, visit 
- https://www.creighton.edu/cu-community/service
- http://www.creighton.edu/aea/servicelearning/
- http://blogs.creighton.edu/ccsj/local-community-service/project-homeless-connect-omaha/"
Denison University,2016-02-15,2016-02-15 15:55:44,kingje@denison.edu,2.0,Pursuing,1785.0,2151.0,True,40812.0,--,,True,The University encourages all employees to be engaged in community service and makes every effort to provide flexible scheduling to accommodate these activities.,--,--
Dickinson College,2016-03-08,2016-03-08 10:06:53,welkerm@dickinson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Number of students and student hours are estimates by staff and student workers with the office of community service.

In Fall 2014, every first year student participated in service.  The office of community service estimates that approximately 75 students of the incoming students continue doing service. This first year student orientation community service data was used even though it falls outside of our usual performance year for other credits (fall13/spring14 FY14)."
Drew University,2016-03-25,2016-03-25 16:12:50,swald@drew.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Duke University,2016-02-26,2016-02-26 14:18:17,tavey.mcdaniel@duke.edu,2.0,Pursuing,5300.0,14600.0,True,265000.0,True,"DukeEngage empowers students to address critical human needs through immersive service, in the process transforming students, advancing the University’s educational mission, and providing meaningful assistance to communities in the U.S. and abroad. Students participate in an immersive (minimum of eight weeks) service experience by meeting a community need locally, domestically or internationally. Students are given academic credit for participation in DukeEngage and this is tracked on student transcripts.
",True,"Duke's Office of Durham and Regional Affairs gives the Employee Community Service Award annually to a Duke employee who demonstrates an outstanding commitment to service. The award comes with a gift of $200 to the organization where the employee volunteers.

Every year, the Doing Good in the Neighborhood campaign invites Duke employees to make a difference in Durham through community-based philanthropy. Whether big or small, our combined gifts have a great impact on the schools, neighborhoods and non-profits that benefit from the campaign. Employees can donate through payroll deduction, credit card or check. And Doing Good in the Neighborhood emphasizes donor choice, so you decide how your gift improves quality of life in Durham and the Triangle. You can give to any combination of the following categories: Community Care Fund; Health; Neighborhoods; Schools; Young People; United Way of the Greater Triangle.

A program of Trinity College of Arts & Sciences, Duke Service-Learning supports faculty, staff, students, and community partners involved in service-learning courses, in order to foster a passion for learning and a commitment to making a difference in the world.",http://civic.duke.edu/,"This information is from fiscal year 2014.

http://doinggood.duke.edu/ 
"
Earlham College,2016-03-03,2016-03-03 10:50:04,butchli@earlham.edu,2.0,Pursuing,550.0,982.0,True,23000.0,--,,--,,http://www.earlham.edu/community-engagement/,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:28,stoddardl@easternct.edu,2.0,Pursuing,2787.0,4436.0,True,158119.0,True,"Liberal Arts Work (LAW) is part of what makes an Eastern education unique.  All students have the opportunity to engage in a pre-professional experience that is designed to help clarify career goals, develop skills in a real-world setting, and prepare for future employment or graduate school.  Students completing LAW experiences that are credit- bearing graduate with a LAW designation on their transcript.  Students completing LAW experiences that are non-credit will receive a LAW certificate.  Both forms of documentation will demonstrate to future employers and universities that these students can connect theory learned in the classroom to practical skills and settings.

http://www1.easternct.edu/liberalartswork/",True,"Service Learning is a teaching and learning strategy that integrates meaningful community service with instruction and reflection to enrich the learning experience, teach civic responsibility, and strengthen communities.” -The Carnegie Foundation

Eastern faculty offer courses that incorporate projects into the curriculum that are mutually beneficial to students and the community. Students in a wide variety of disciplines gain practical experience and provide valuable services to the local community. http://www1.easternct.edu/cce/service-learning-resources/

http://www1.easternct.edu/cce/news-awards/
    December 2014: Obama Administration Recognizes Eastern for Community Service Work
    March 2013: Eastern on President Obama’s Community Service Honor Roll
    March 2012: Eastern Honored for Community Service
    March 2010: Eastern Makes President’s Honor Roll
    February 2009: Eastern Named to Presidential Honor Roll 


",http://www1.easternct.edu/cce/,The information for this credit was collected utilizing data provided to us from the Center for Community Engagement. 
Elon University,2016-01-14,2016-01-14 09:32:59,edurr@elon.edu,2.0,Pursuing,3286.0,6227.0,True,128869.0,True,"The Elon Experiences Transcript (EET) is a co-curricular transcript kept for all undergraduate students, which documents participation in the five program areas that make up the Elon Experiences: Leadership, Service-Learning, Internships, Study Abroad/USA and Undergraduate Research. Service is tracked by the Kernodle Center for Service Learning and Community Engagement and linked to a student's Elon Experiences Transcript. Each entry on a student's EET lists the semester, year, service location and number of hours. Elon requires all undergraduate students to complete an Experiential Learning Requirement (ELR), as well.  Students complete the ELR through internships, practica, co-ops, study abroad, student teaching or approved field-based courses.  The ELR may also be met through service, leadership or individualized learning experiences. The ELR encourages students to become actively involved in the world around them, practice close observation of their activities and reflect insightfully about those observations. ",True,"Elon offers Service Sabbaticals to university employees with two or more years of service. During sabbaticals, employees are relieved of their duties to the university for one month or less in order to work full-time for a community organization. Recipients continue to receive their university paychecks during their sabbaticals. It is expected that projects and organizations will have goals and principles consistent with the Elon University Mission Statement. 
Any full-time university employee (with 2 or more years of service) who has a record of service to a community organization — and who has an idea of how his or her full-time service for one month will benefit that organization in a significant way — is welcome to apply for a Service Sabbatical. 
http://www.elon.edu/e-web/academics/special_programs/project_pericles/ServiceSabb.xhtml",http://www.elon.edu/e-web/students/servicelearning/default.xhtml,"The provided number of students engaged in community service and the number of community service hours is based on student self-reporting (FY 14-15) to the Kernodle Center.

The total number of students provided is full-time students for FY 14-15. 
"
Emory University,2016-02-29,2016-02-29 16:26:44,ciannat.howett@emory.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Additional website URL where information about Emory's community service initiatives is available: http://cfcp.emory.edu/

For employee volunteer opportunities: http://www.hr.emory.edu/eu/employees/giving/giving.html
"
Endicott College,2016-03-01,2016-03-01 10:10:14,screight@endicott.edu,2.0,Pursuing,1221.0,2500.0,True,20124.75,--,,True,All community service initiatives are open to employees. Around 80-90 employees participate in community service each year. ,http://www.endicott.edu/StudentLife/Community-Service.aspx,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:28,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,This information is from the 2013-14 year
Fort Lewis College,2016-03-27,2016-03-27 16:01:16,kehilimire@fortlewis.edu,2.0,Pursuing,300.0,3692.0,True,4177.0,--,,--,,--,--
Furman University,2016-02-22,2016-02-22 13:43:13,yancey.fouche@furman.edu,2.0,Pursuing,1960.0,2769.0,True,42064.75,--,,--,,--,--
George Washington University,2016-02-29,2016-02-29 13:04:34,shannonross@gwu.edu,2.0,Pursuing,9200.0,26212.0,True,615212.0,--,,--,"The Honey W. Nashman Center for Civic Engagement and Public Service aims to integrate civic engagement into George Washington University’s educational work. We focus GW’s resources to meet community needs beyond the campus, promote active citizenship in a diverse democracy, and enhance teaching, learning and scholarship at GW.
GW Colonials meet local needs through ongoing community service and engagement programs, engageDC, DC Reads, and Jumpstart. Alternative Breaks and signature service events such as Freshman Day of Service and Martin Luther King Day of Service get students engaged in national and international service that makes an immediate and powerful impact.

The Nashman Center has the following goals:

Meet Community Needs
- Develop strong reciprocal, respectful, active democratic community partnerships
- Use GW’s expertise and resources to address pressing human needs
- Use evidence based strategies
- Ensure that projects have demonstrable outcomes for community
- Focus on several strategic partnerships with multiple programs

Promote Active Citizenship in a Diverse Democracy
- Engage GW with the District of Columbia and the world
- Unite people of diverse backgrounds in meaningful relevant common experience
- Learn the values and skills needed to participate in public decision-making and community life

Enhance Teaching, Learning and Scholarship
- Promote and support engaged scholarship, including service-learning and community-based research
- Support scholarship about service and civic engagement 
- Collaborate nationally and internationally to further higher education’s commitment to civic engagement
",http://www.serve.gwu.edu/,"https://gwtoday.gwu.edu/university-service-takes-giant-leap-forward

"
Georgia College & State University,2016-03-25,2016-03-25 19:10:07,doug.oetter@gcsu.edu,2.0,Pursuing,3000.0,6700.0,True,50000.0,True,Students have an 'Experiential Transcript' that documents their total contributions to service learning and community engagement activities.,True,"We have awards for volunteerism, and community service is counted toward annual evaluations and tenure decisions.",http://www.gcsu.edu/give-center,--
Gonzaga University,2016-02-29,2016-02-29 13:09:28,simonj@gonzaga.edu,2.0,Pursuing,2818.0,7781.0,True,71492.0,--,,True,All Gonzaga Employees are given 4 hours of voluntary leave each year to serve the community.  Currently almost 20% of the staff use this benefit contributing over 530 hours of community service in addition to amounts completed by students.,http://www.gonzaga.edu/ccasl,[check with IR]
