Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Total number of institutional divisions (e.g. schools, colleges, departments) that produce research",Number of divisions covered by a policy assuring open access to research,"A brief description of the open access policy, including the date adopted and repository(ies) used",A copy of the open access policy,The open access policy,The website URL where the open access repository is available,A brief description of how the institution’s library(ies) support open access to research,The website URL where information about open access to the institution's research is available,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:22,mary.lucus@belmont.edu,2.0,Pursuing,6.0,6.0,"Bunch Library does not have a formally adopted open access policy. However, the library has a digital repository in development with three collections loaded into the digital repository platform, ContentDM, one of which contains the Belmont Law Review, which is an openly available journal.  The Belmont Law Review is an annually published student-managed, student-edited scholarly journal at Belmont University College of Law.  Each issue of the Law Review publishes articles from law professors and practitioners, as well as notes from current law students.  In addition to the Belmont Law Review, materials currently housed in the repository include:  a selection of DPN Scholarly Projects and the 2015 Belmont Undergraduate Research Symposium papers. The library’s goal is to make these collections publicly available by the end of AY 2015-2016. (Approvals are currently underway for the rights statement and distribution agreement for original works that need to accompany some of the repository materials.) In AY2016-2017 the library is seeking to pilot an Electronic Thesis and Dissertation program where digitally-born theses could be housed in our digital repository for access by scholars everywhere. Bunch Library put together a Digitization Committee in March 2015 with representatives from both Bunch and Law libraries. This committee is tasked with addressing project workflows, digital content selection, metadata creation practices, and repository policies for digitally born objects. This committee will be addressing the development of an open access policy for the repository and the scholarly work produced by students and faculty that may be housed there. ",,"Bunch Library does not have a formally adopted open access policy. However, the library has a digital repository in development with three collections loaded into the digital repository platform, ContentDM, one of which contains the Belmont Law Review, which is an openly available journal.  The Belmont Law Review is an annually published student-managed, student-edited scholarly journal at Belmont University College of Law.  Each issue of the Law Review publishes articles from law professors and practitioners, as well as notes from current law students.  In addition to the Belmont Law Review, materials currently housed in the repository include:  a selection of DPN Scholarly Projects and the 2015 Belmont Undergraduate Research Symposium papers. The library’s goal is to make these collections publicly available by the end of AY 2015-2016. (Approvals are currently underway for the rights statement and distribution agreement for original works that need to accompany some of the repository materials.) In AY2016-2017 the library is seeking to pilot an Electronic Thesis and Dissertation program where digitally-born theses could be housed in our digital repository for access by scholars everywhere. Bunch Library put together a Digitization Committee in March 2015 with representatives from both Bunch and Law libraries. This committee is tasked with addressing project workflows, digital content selection, metadata creation practices, and repository policies for digitally born objects. This committee will be addressing the development of an open access policy for the repository and the scholarly work produced by students and faculty that may be housed there. ",http://library.belmont.edu/,"Bunch Library does not have a formally adopted open access policy. However, the library has a digital repository in development with three collections loaded into the digital repository platform, ContentDM, one of which contains the Belmont Law Review, which is an openly available journal.  The Belmont Law Review is an annually published student-managed, student-edited scholarly journal at Belmont University College of Law.  Each issue of the Law Review publishes articles from law professors and practitioners, as well as notes from current law students.  In addition to the Belmont Law Review, materials currently housed in the repository include:  a selection of DPN Scholarly Projects and the 2015 Belmont Undergraduate Research Symposium papers. The library’s goal is to make these collections publicly available by the end of AY 2015-2016. (Approvals are currently underway for the rights statement and distribution agreement for original works that need to accompany some of the repository materials.) In AY2016-2017 the library is seeking to pilot an Electronic Thesis and Dissertation program where digitally-born theses could be housed in our digital repository for access by scholars everywhere. Bunch Library put together a Digitization Committee in March 2015 with representatives from both Bunch and Law libraries. This committee is tasked with addressing project workflows, digital content selection, metadata creation practices, and repository policies for digitally born objects. This committee will be addressing the development of an open access policy for the repository and the scholarly work produced by students and faculty that may be housed there. ",http://library.belmont.edu/,--
Beloit College,2016-03-23,2016-03-23 13:46:52,chapmanlr@beloit.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Bentley University,2016-03-25,2016-03-25 16:00:01,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:33,paulyj@berea.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Binghamton University,2016-03-20,2016-03-20 17:32:48,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:42:09,carlberg@bu.edu,2.0,Pursuing,171.0,171.0,"In February 2015 the University formally adopted an Opt-Out Open Access policy for faculty scholarly articles. Under this policy, peer-reviewed and other scholarly articles published by faculty will be deposited into OpenBU automatically unless that faculty opts-out via waiver on a per-article basis. The goal of BU's Opt-Out Open Access policy is to disseminate the fruits of faculties research and scholarship as widely as possible.",http://stars.aashe.org/media/secure/405/6/604/3474/Research-Open-Access-Policy-2015.pdf,,http://open.bu.edu/,"BU Libraries, in consultation with Provosts' Offices on both campuses and the Office of General Counsel will be implementing the opt-out policy. BU Libraries will also be responsible for presenting a report regarding the policy to the Faculty Council three years after its adoption. 
",http://www.bu.edu/library/openaccess/,--
Bowdoin College,2016-02-25,2016-02-25 17:01:09,cpayson@bowdoin.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Brown University,2016-03-23,2016-03-23 07:27:57,Ginger_Gritzo@Brown.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:39,gvalenti@bryant.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:35,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:56,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:47,dan.wakelee@csuci.edu,2.0,Pursuing,3.0,--,The campus requires that institutional studies to be maintained for open access by the office of Institutional Research.  This policy was adopted in December 2008.  The library also maintains an institutional repository and digital collections containing results of research work from the campus.,http://stars.aashe.org/media/secure/207/6/604/3474/Research%20policy.pdf,,http://www.csuci.edu/irpe/,The library hosts an institutional repository that includes research work by faculty and other members of the campus community.  The library also hosts a number of digital collections used for research and teaching.,http://library.csuci.edu/collections/,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:31,mmoscol@fullerton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:36,austin.eriksson@csun.edu,2.0,Pursuing,8.0,8.0,"The university has a number of policies in place defining, recommending and mandating open access for all departments on campus. First, CSUN president Diane Harrison is signatory to the Berlin Declaration on Open access – http://openaccess.mpg.de/319790/Signatories ; second, the CSUN faculty senate passed a standing resolution on open access -  http://www.csun.edu/senate/resolutions/openaccess-resolution112113.pdf -- though voluntary at this point, it applies to all CSUN faculty in all departments; the resolution is officially listed with ROARmap (Registry of Open Access Mandates and Policies) http://roarmap.eprints.org/456/ ; third, CSUN has a mandate from former Provost Hellenbrand for open access electronic theses and dissertations (ETDs) applicable to all departments on campus (cf. http://www.csun.edu/research-graduate-studies/thesisdissertation-and-graduate-project-deadlines).  Here is more information about ScholarWorks/library policies regarding open access: http://library.csun.edu/guides/CSUN-ScholarWorks  
 
Repository infrastructure is based on industry-standard open source software solution DSpace (MIT/Hewlett Packard) and centrally hosted by the CSU Chancellor’s Office: http://scholarworks.csun.edu/ Collections range from thesis and dissertations, university archives, faculty publications, and open access journals. Total size is currently 14,080 documents and articles. We are listed as a repository in opendoar.org here: http://opendoar.org/id/2799/ (though the listing is actually out of date: we’re on a later version, policies aren’t included in the listing, etc.)  
",,See above,http://scholarworks.csun.edu/,see above,http://roarmap.eprints.org/456/,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:15,kristina.cullen@csus.edu,2.0,Pursuing,54.0,--,"The CSU system is currently undergoing major changes to implement an open access policy. We unfortunately do not have an open access policy at this time, but are looking to implement one within the next 2-3 years.  ",,,--,,--,--
Calvin College,2016-03-11,2016-03-11 14:31:19,bhaney@calvin.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Carleton College,2016-02-26,2016-02-26 11:19:34,mlarson@carleton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:13,bk11@andrew.cmu.edu,2.0,Pursuing,7.0,7.0,"Carnegie Mellon University encourages open access publishing, provides an open access university libraries repository for open access publishing, and provides financial assistance to all scholars at the university who encounter open access publishing charges in OA or partial OA publication venues.",,"Open access is strategic for Carnegie Mellon.  Open access disseminates as broadly as possible works authored by the CMU community, encouraging use and increasing citations and impact.  Open access also enables the CMU community to access works authored elsewhere around the world, many of which the University Libraries cannot afford to purchase.",http://library.cmu.edu/find/unique/researchshowcase/search,"CMU Libraries offers a number of ways to help scholars fund open access publishing, from providing funding to maintaining memberships that will help scholars pay less to publish their research. One initiative is assistance for paying Article Processing Charges (APCs). ",http://library.cmu.edu/datapub/sc/oa/button,--
Case Western Reserve University,2016-03-25,2016-03-25 15:40:34,stephanie.corbett@case.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Chatham University,2016-02-17,2016-02-17 13:05:00,MWhitney@chatham.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Clark University,2016-02-24,2016-02-24 15:49:24,jisler@clarku.edu,2.0,Pursuing,--,--,,,,--,,--,--
Clarkson University,2016-02-12,2016-02-12 07:37:52,sep@clarkson.edu,2.0,Pursuing,4.0,--,,,,--,,--,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:20,sustain@coastal.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Colby College,2016-01-12,2016-01-12 15:54:19,ksbright@colby.edu,2.0,Pursuing,4.0,--,"Colby has a digital commons website that was created to house all of Colby's student research, as well as the research supported by faculty.  At times the uploading of particular faculty or student research can be delayed for a variety of reasons - quality, funding, the publishing of scholarly work, but those concerns notwithstanding, the website houses Colby's research. Honors theses are deposited there as well as capstone reports and several other studies.	

While Colby does not have a formal policy requiring open access to research, it is an option for all faculty, and the large majority of all student work is posted to the website.						",,N/A,http://digitalcommons.colby.edu/,"Colby's Digital Commons is our way of supporting open access to research.  DigitalCommons@Colby presents the intellectual, creative and scholarly culture of the Colby College Community. It is a collection of outstanding student work, faculty scholarship, college records, campus history, and the unique materials of the Libraries' Special Collections. DigitalCommons@Colby is administered by the Colby College Libraries and serves as a permanent digital archive for these materials.							",http://digitalcommons.colby.edu/,--
Colgate University,2016-02-28,2016-02-28 11:21:46,jpumilio@colgate.edu,2.0,Pursuing,45.0,--,Colgate Libraries is working on establishing a copyright practices document that faculty can sign off on either the spring of 2014 or next fall (2014).  This would be a precursor to Colgate introducing an Open Access Policy.,,,--,,--,--
College of Charleston,2016-02-29,2016-02-29 16:52:58,fisherb@cofc.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
College of the Atlantic,2016-03-23,2016-03-23 11:15:18,ademeo@coa.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Colorado College,2016-02-29,2016-02-29 16:10:04,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,36.0,--,"Colorado College's Intellectual Property and Copyright policy ""encourages the creation and dissemination of creative and intellectual work."" It states the college's support for the concept of open access, and encourages faculty to use Creative Commons licenses to retain copyright but allow freer sharing of scholarly work. However, open access to research is done on a voluntary basis; faculty must choose to opt in. ",,"""Colorado College supports the concept of open access to scholarly work and encourages faculty, students, and staff to share their intellectual property.""",https://digitalcc.coloradocollege.edu/node/4,"The library maintains the digital archives of CC, which allows open access to faculty research, student theses and other publications produced at Colorado College. Submissions are voluntary, and the archive is maintained by library staff. Digital CC is an archival, institutional digital repository that collects and preserves the creative and intellectual output of the CC community. CC collects publications of all kinds from across campus, including those created by students, faculty and staff. Annual reports, statistics, theses, newspapers, flyers, posters, student projects and more are collected in PDF format. The library also collect films (MP4s) and audio files (MP3s) as well as photographs (TIFFs and JPEGs). Just as the library's archives (located in Special Collections) has collected and preserved the print history of the College for over a hundred years, Digital CC now preserves this history in the digital age.",https://www.coloradocollege.edu/basics/welcome/leadership/policies/intellectual-property-and-copyright,"Colorado College has a policy stating that it ""supports the concept of open access to scholarly work and encourages faculty, students, and staff to share their intellectual property"" (https://www.coloradocollege.edu/basics/welcome/leadership/policies/intellectual-property-and-copyright). Faculty, staff, and students are encouraged to share their scholarly work. The Digital Archives of Colorado College (https://digitalcc.coloradocollege.edu/islandora/object/coccc%3Aroot) is the college’s repository for storing research data and allowing open access. However, there is no formal policy assuring open access to scholarly work in any department.
"
Colorado State University,2015-12-16,2015-12-16 16:39:14,tonie.miyamoto@colostate.edu,2.0,Pursuing,53.0,53.0,"CSU has a Committee on Open Access and Scholarly Communication to address open access issues. The CSU Open Access Commitment was adopted by the CSU Libraries Faculty Council on May 2, 2012. The policy is a campus-wide commitment designed to ensure that all Faculty research is available through open access to the global community. To accomplish this, CSU employs a number of strategies:

- Depositing articles (as well as all Thesis and Dissertations) on Direct Access (one of the best systems in the nation - the software has been adopted by other libraries and universities)

- The Open Access Fund - helps faculty publish in open access repositories so that their research is available not just to CSU community-members but to everyone. 

- Subscriptions to databases - all faculty and students have access to a wide range of journals and databases

- For any journal article, published by CSU faculty or more broadly, a journal article request can be made and and will be delivered free-of-charge via email or print.

All faculty (and students) can access any of their peer's published research thanks to Direct Access through the library which will deliver a digital copy to their email upon request. ",http://stars.aashe.org/media/secure/326/6/604/3474/Open%20Access%20Policy.pdf,See URL immediately above.,http://digitool.library.colostate.edu/R/N9HF1G27LY2L3J4I6JM92K11BH7CAQTUUK7VTBLJTQGTIVMAT4-00999?func=collections&collection_id=2384&local_base=GEN01-CSU,"In autumn 2011, the CSU Libraries formed a committee to address open access in the context of strategic planning. The Open Access Strategic Initiative Committee completed its work in April 2012 with the following strategic recommendations:

The CSU Libraries:

        Promote campus-wide awareness of scholarly communication trends and facilitate faculty participation in local and global open access initiatives.
        Encourage free availability of scholarly information through support of open access publishing models, memberships in professional organizations, digitization of university assets, and participation in collaborative archival projects.
        Enhance the visibility, accessibility, and impact of the University’s scholarship and unique resources in accordance with CSU’s Land Grant mission.

In order to advance these goals, the CSU Libraries Faculty Council unanimously adopted the Colorado State University Libraries’ Faculty Open Access Commitment on May 2, 2012.  Subsequently the CSU Libraries Faculty Council approved an amendment to the Bylaws to establish the Committee on Open Access and Scholarly Communication to address open access issues.  This committee began its work in October of 2012.",http://libguides.colostate.edu/openaccess,--
Columbia University,2016-01-13,2016-01-13 14:27:19,as3215@columbia.edu,2.0,Pursuing,115.0,115.0,"Columbia University Libraries / Information Services and the Mailman School of Public Health have adopted open access policies.  They call for faculty members and officers of administration to make their research articles freely available to the public through online repositories, such as Academic Commons, Columbia's open access digital repository.  This is effective as of June 1, 2011 for the University Libraries/Information Services, and as of May 1 3013 in the School of Public Health.  
",,"This resolution is to be implemented by the Columbia University Libraries/Information Services (CUL/IS), pursuant to a vote of the CUL/IS Management Committee, taken at its regular meeting of May 11, 2011.

The effective date is June 1, 2011.

Preamble

Columbia University is a community of scholars committed to disseminating and sharing the intellectual fruits of their research and scholarship. At Columbia University, the scholarly community includes Officers of the University (comprising officers of instruction, research, administration, and the library) and other professional staff members. In recognition of their commitment to Columbia’s research mission, the officers and professional staff within the endorsing units of Columbia University are determined to take advantage of available technologies that can enhance accessibility of Columbia scholarship by colleagues and other researchers, educators, policymakers, and interested readers worldwide; to employ technologies that can preserve copies of their works for future study; and to provide full-text online discoverability of their scholarly works. The officers and professional staff members also desire to join the efforts of many of Columbia’s peer institutions in support of public access; in the process they seek to coordinate Columbia’s initiatives with customary practices and legal obligations associated with many scholarly works. In furtherance of these objectives and opportunities, the endorsing parties hereby resolve:

Resolved:

Each officer and other professional staff member within CUL/IS hereby commits to make his or her scholarly journal articles accessible to the public through a digital repository based at Columbia University or through an appropriate alternative open-access repository.

Implementation of this Resolution

Each officer or other professional staff member who is the author or co-author of a work of scholarship (see the scope of works as defined below) shall submit to the digital repository based at Columbia University (the current repository is known as Academic Commons), a copy of such work, together with any bibliographic or citation information. The author hereby grants to The Trustees of Columbia University in the City of New York a nonexclusive, irrevocable, royalty-free, worldwide license to exercise any and all rights under copyright relating to all such works of scholarship, created after the adoption of this resolution, solely for the purpose of providing and maintaining public access to them. This resolution does not alter copyright ownership rights determined in accordance with law or the Columbia University Copyright Policy. Many scholars based at Columbia University currently make some or all of their works available through other publicly accessible repositories such as arXiv or PubMed Central. In lieu of submission of a work to Academic Commons, an author may satisfy the terms of this resolution by making such work available through an alternative repository of the author’s choosing, provided that such repository makes the work accessible in full-text to the public, without costs or other restrictions (other than customary embargoes) imposed on any individual user, and that it offers to preserve and maintain access to the work indefinitely.

Scope of Works of Scholarship

This resolution applies to scholarly journal articles that meet the following criteria:

The work is authored or co-authored by an officer or professional staff member while employed at Columbia University;
The work is not subject to an incompatible publication agreement, license, or assignment entered into before the adoption of this resolution;
and The work is in a digital format and of a type that may be included in Academic Commons or other repository consistent with its policies and practices.
The version of the work that may be deposited may depend on the exact terms of that author’s agreement with the journal publisher. If not otherwise specified in the agreement for publication, the version shall be the author’s final version, which would ordinarily be the version after the article has gone through peer review and any revisions responsive thereto and any further copyediting in which the author has participated. Although the commitment in this resolution applies only to scholarly journal articles, members of the university community are encouraged to consider making all forms of scholarly works, including articles, essays, datasets, books, conference papers, reports, presentation slides, and audiovisual works, available through the appropriate repository.

Waivers and Relationship to Publication Agreements

This resolution is not intended to interfere in any way with an author’s plans to pursue publication of the work or patent rights associated with the work. However, publication of a work is often subject to an agreement between the author and publisher, and such agreement may include provisions that support access or that are incompatible with this resolution.  Authors should carefully review their publication agreements. Most situations will be one of the following:

The author entered into an agreement for publication before adoption of this resolution: This resolution does not apply to such work. The author may voluntarily contribute it to the repository as the agreement may permit.
The author has deposited the work with the repository, and later considers entering into a publication agreement:  This resolution is a nonexclusive license to the University and does not prevent the author from making other uses of the work. The author should inform the prospective publisher of the prior license and include language (see suggestion below) in the publication agreement that may resolve any conflict.
The author is considering entering into a publication agreement and has not yet deposited the work or a version of it with the repository: This resolution is a commitment by the author to submit the scholarly work to the repository. The author is therefore asked to review the publication agreement carefully and to include language (see suggestions below) in the agreement that may resolve any conflict.
The University, through the Copyright Advisory Office, or Office of General Counsel, or other office, will provide guidance to assist authors who are negotiating and adding language to publication agreements. However, most possible conflicts suggested in the foregoing situations may be resolved by adding to the agreement a statement such as: “Notwithstanding any provision in this agreement to the contrary, the publisher understands and accepts that the article or other publication is subject to the Open Access Commitment of Columbia University.”

If accessibility of a work pursuant to this resolution is ultimately incompatible with the author’s plans for publication, or with the publisher’s contractual obligations, the author may request in writing a waiver or postponement of obligations under this resolution, and such request shall be granted. Columbia University shall implement a means for receiving and fulfilling such requests for waivers or postponements.

Administration of the Resolution

The Dean, Director, Chair, or other head of any unit at Columbia that has adopted this resolution shall be responsible for resolving questions arising within the unit concerning the interpretation and application of the resolution. The Vice President for Information Services and University Librarian shall be responsible for implementing procedures and resolving questions regarding the administration of the University’s repository. Each of these persons may act through a designated delegate""
",http://scholcomm.columbia.edu/open-access/open-access-policies/columbia-university-libraries-information-services-open-access-policy/,"Columbia University is a community of scholars committed to disseminating and sharing the intellectual fruits of their research and scholarship. At Columbia University, the scholarly community includes Officers of the University (comprising officers of instruction, research, administration, and the library) and other professional staff members. In recognition of their commitment to Columbia’s research mission, the officers and professional staff within the endorsing units of Columbia University are determined to take advantage of available technologies that can enhance accessibility of Columbia scholarship by colleagues and other researchers, educators, policymakers, and interested readers worldwide; to employ technologies that can preserve copies of their works for future study; and to provide full-text online discoverability of their scholarly works. The officers and professional staff members also desire to join the efforts of many of Columbia’s peer institutions in support of public access; in the process they seek to coordinate Columbia’s initiatives with customary practices and legal obligations associated with many scholarly works. In furtherance of these objectives and opportunities, the endorsing parties hereby resolve:
",http://scholcomm.columbia.edu/open-access/,--
Connecticut College,2016-02-28,2016-02-28 16:33:07,jstoffel@conncoll.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Cornell University,2016-03-18,2016-03-18 08:39:42,cma18@cornell.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Creighton University,2016-02-24,2016-02-24 14:08:48,mjduda@creighton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Denison University,2016-02-15,2016-02-15 15:55:37,kingje@denison.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Dickinson College,2016-03-08,2016-03-08 10:06:45,welkerm@dickinson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--
Drew University,2016-03-25,2016-03-25 16:12:03,swald@drew.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
