Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of academic divisions,Number of academic departments (or the equivalent),Full-time equivalent enrollment,Full-time equivalent of employees,Full-time equivalent of distance education students,Total number of undergraduate students,Total number of graduate students,Number of degree-seeking students,Number of non-credit students,Number of employees,Number of residential students,Number of residential employees,Number of in-patient hospital beds,Public Notes
Beloit College,2016-03-23,2016-03-23 13:46:50,chapmanlr@beloit.edu,2.0,Pursuing,1.0,30.0,1267.0,367.0,--,1303.0,--,1225.0,66.0,399.0,1065.0,17.0,--,--
Bentley University,2016-03-25,2016-03-25 16:00:20,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:36,paulyj@berea.edu,2.0,Pursuing,6.0,32.0,1612.0,749.0,--,1621.0,--,1613.0,44.0,749.0,1378.0,--,--,--
Binghamton University,2016-03-20,2016-03-20 17:32:52,sdejohn@binghamton.edu,2.0,Pursuing,9.0,49.0,15327.5,2389.67,140.0,13491.0,3422.0,16824.0,89.0,2682.0,6899.0,24.0,--,--
Boston University,2016-03-03,2016-03-03 13:42:13,carlberg@bu.edu,2.0,Pursuing,17.0,238.0,25663.0,8979.0,863.0,16496.0,13954.0,30450.0,2669.0,9978.0,11446.0,197.0,--,--
Bowdoin College,2016-02-25,2016-02-25 17:01:12,cpayson@bowdoin.edu,2.0,Pursuing,1.0,32.0,1791.0,894.0,--,1805.0,--,1797.0,--,997.0,1643.0,32.0,--,--
Brown University,2016-03-23,2016-03-23 07:28:16,Ginger_Gritzo@Brown.edu,2.0,Pursuing,5.0,57.0,8454.0,3835.0,--,6168.0,2359.0,8670.0,--,3835.0,4858.0,6.0,--,--
Bryant University,2015-08-19,2015-08-19 14:50:42,gvalenti@bryant.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:39,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:56,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:47,dan.wakelee@csuci.edu,2.0,Pursuing,3.0,24.0,5042.5,442.0,166.47,5655.0,226.0,5909.0,823.0,442.0,1243.0,--,--,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:34,mmoscol@fullerton.edu,2.0,Pursuing,8.0,65.0,29892.0,7073.0,2698.0,33049.0,5276.0,37478.0,--,4173.0,1904.0,--,--,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:39,austin.eriksson@csun.edu,2.0,Pursuing,9.0,87.0,33501.0,3188.0,3376.0,36917.0,4743.0,41548.0,--,4219.0,3100.0,57.0,--,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:18,kristina.cullen@csus.edu,2.0,Pursuing,88.0,8.0,25229.0,1860.0,9532.0,26648.0,2701.0,28639.0,710.0,2874.0,1700.0,49.0,--,http://www.csus.edu/oir/
Calvin College,2016-03-11,2016-03-11 14:31:22,bhaney@calvin.edu,2.0,Pursuing,3.0,28.0,3885.0,758.0,10.0,3894.0,99.0,3893.0,5.0,854.0,2269.0,10.0,--,"FTE & Headcount of staff and faculty is from IPEDS 2014 report. 710 + 144 (Fall 2014)

Student counts are from Day 10 report, Fall 2014.http://www.calvin.edu/offices-services/enrollment-research/reports/archives/2014/2014tables.pdf

Residential students is from ""Enrollment by Residence Hall"" internal report (Tom Van Eck)
Fall 2014: 2,269.

Non-credit students: estimate based on history.

Dorothy Britton and Becki Simpson for residential employees.

Distance Learning: 
Ugrad: 6 students took exclusively UG distance courses in Fall 2014. 6 * 3.5 credits per course = 21 total credits. 21/12 (credit hours to be full-time student) = 1.75 FTE UG.
Graduate: 25 graduate students took distance courses. 25 *3 (credits) / 9 (credits to be fulltime graduate) = 8.3.
1.75 + 8.3 = 10 FTE exclusively distance learners. 
"
Carleton College,2016-02-26,2016-02-26 11:19:38,mlarson@carleton.edu,2.0,Pursuing,1.0,41.0,2042.0,669.0,--,2042.0,--,2042.0,--,796.0,1780.0,40.0,--,"1) Full time equivalent faculty/staff calculated by counting all PT staff/faculty as 0.5 and adding to number of FT faculty/staff.  

2) Number of residential students varies each term due to off campus studies program enrollment.

3) Number of residential employees includes faculty/staff living in Carleton owned apartments plus Hall Directors residing in the residence halls."
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:16,bk11@andrew.cmu.edu,2.0,Pursuing,7.0,57.0,11263.6,4816.0,132.6,5834.0,5823.0,11657.0,83.0,5176.0,3935.0,--,--,--
Case Western Reserve University,2016-03-25,2016-03-25 15:40:32,stephanie.corbett@case.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Chatham University,2016-02-17,2016-02-17 13:05:00,MWhitney@chatham.edu,2.0,Pursuing,7.0,31.0,2134.0,402.0,135.0,932.0,1202.0,2134.0,333.0,551.0,448.0,12.0,--,--
Clark University,2016-02-24,2016-02-24 15:49:35,jisler@clarku.edu,2.0,Pursuing,3.0,21.0,3315.0,756.0,--,2336.0,908.0,3395.0,90.0,1007.0,1819.0,--,--,--
Clarkson University,2016-02-12,2016-02-12 07:37:56,sep@clarkson.edu,2.0,Pursuing,5.0,16.0,3711.0,747.0,147.0,3247.0,626.0,3737.0,136.0,807.0,2479.0,1.0,--,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:23,sustain@coastal.edu,2.0,Pursuing,5.0,24.0,8870.0,1262.0,12.0,8867.0,611.0,9030.0,18.0,1582.0,3424.0,14.0,--,--
Colby College,2016-01-12,2016-01-12 15:54:23,ksbright@colby.edu,2.0,Pursuing,4.0,33.0,1820.0,721.0,--,1820.0,--,1820.0,--,721.0,1720.0,13.0,--,--
Colgate University,2016-02-28,2016-02-28 11:21:50,jpumilio@colgate.edu,2.0,Pursuing,4.0,40.0,2863.0,1031.0,--,2863.0,19.0,2863.0,--,1031.0,2437.0,4.0,--,"Academic Year 2015-16:
On campus residential students: 2437
Students living off campus: 251
Students studying abroad: 233"
College of Charleston,2016-02-29,2016-02-29 16:53:01,fisherb@cofc.edu,2.0,Pursuing,8.0,31.0,10365.0,1761.0,--,10440.0,1016.0,10860.0,596.0,2148.0,3000.0,--,--,"Academic divisions includes all 6 schools, the Honors College and the graduate school.

Academic Departments include only departments listed here: http://marcomm.cofc.edu/brandmanual/bychapter/styleguide/sg_deptoffices.php. Programs are not inlcuded.

Non credit students include both graduate and undergraduate"
College of the Atlantic,2016-03-23,2016-03-23 11:15:36,ademeo@coa.edu,2.0,Pursuing,1.0,3.0,345.0,105.0,--,378.0,8.0,373.0,13.0,120.0,136.0,--,--,"Data above are for the 2014-2015 academic year (July 1, 2014 through June 30, 2015), except number of employees (headcount) which is from February 2015 payroll. 

The number of degree seeking students above includes both graduate and undergraduate: 365 degree seeking undergraduates and 8 graduate students, for a total of 373. "
Colorado College,2016-02-29,2016-02-29 16:10:08,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,2.0,35.0,2096.0,744.0,--,2097.0,11.0,2096.0,--,887.0,1548.0,7.0,--,--
Colorado State University,2015-12-16,2015-12-16 16:39:18,tonie.miyamoto@colostate.edu,2.0,Pursuing,8.0,58.0,24888.04,6521.0,3218.0,22506.0,4580.0,30304.0,2068.0,8317.0,6443.0,603.0,--,--
Columbia University,2016-01-13,2016-01-13 14:27:23,as3215@columbia.edu,2.0,Pursuing,21.0,156.0,22344.0,18379.0,793.0,7777.0,15460.0,23870.0,1645.0,23201.0,5561.0,1523.0,--,--
Connecticut College,2016-02-28,2016-02-28 16:33:11,jstoffel@conncoll.edu,2.0,Pursuing,1.0,56.0,1906.0,600.0,--,1900.0,6.0,1900.0,6.0,825.0,1900.0,20.0,--,--
Cornell University,2016-03-18,2016-03-18 08:39:45,cma18@cornell.edu,2.0,Pursuing,12.0,79.0,20951.0,10769.0,47.0,14132.0,6819.0,21671.0,577.0,11597.0,7344.0,505.0,--,--
Creighton University,2016-02-24,2016-02-24 14:08:51,mjduda@creighton.edu,2.0,Pursuing,9.0,54.0,8212.0,1920.7,845.7,4065.0,4171.0,8108.0,128.0,2162.0,2426.0,10.0,--,Data are for academic 2014-15. This is to be consistent with the performance base year using across this survey.
Denison University,2016-02-15,2016-02-15 15:55:41,kingje@denison.edu,2.0,Pursuing,5.0,29.0,2151.0,671.0,--,2295.0,--,2265.0,15.0,754.0,2119.0,10.0,--,Numbers submitted are from FY2015 - The 2014-2015 Academic Year.
Dickinson College,2016-03-08,2016-03-08 10:06:49,welkerm@dickinson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,"All population data is for academic year 13/14, which maps well to FY 14 (July 1 2013 - June 30 2014).  No summer data is used for any student population numbers.  In Fall 2013, there was an online course offered by one professor for graduate credit - the participating students were not counted above.

Employee numbers, both employees headcount and FTE equivalents, is of July 1, 2014."
Drew University,2016-03-25,2016-03-25 16:12:25,swald@drew.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Duke University,2016-02-26,2016-02-26 14:18:13,tavey.mcdaniel@duke.edu,2.0,Pursuing,10.0,62.0,14950.0,30603.0,--,6485.0,8465.0,14950.0,--,30603.0,5300.0,--,957.0,"10 Divisions - 
Divinity School
Fuqua School of Business
Law School
Nicholas School of the Environment
Pratt School of Engineering
Sanford School of Public Policy
School of Medicine
School of Nursing
Trinity
Graduate School"
Earlham College,2016-03-03,2016-03-03 10:50:01,butchli@earlham.edu,2.0,Pursuing,4.0,33.0,982.0,371.0,--,988.0,13.0,1001.0,--,441.0,845.0,4.0,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:25,stoddardl@easternct.edu,2.0,Pursuing,4.0,17.0,4777.5,759.0,481.0,4288.0,148.0,5287.0,191.0,600.0,2547.0,12.0,--,"This information was verified with help from the following people:
* LaMar Coleman provided number of residential employees (2015 data taken at 3 week freeze mark at start of fall semester). 
* Brian Lashley provided other institutional demographics. 
* Indira Petoskey provided number of non-credit students."
Elon University,2016-01-14,2016-01-14 09:32:56,edurr@elon.edu,2.0,Pursuing,6.0,34.0,6355.0,1347.0,--,5782.0,701.0,6483.0,--,1475.0,3496.0,22.0,--,"Data represents 2014-2015
Number of academic departments includes undergraduate and graduate."
Emory University,2016-02-29,2016-02-29 16:26:40,ciannat.howett@emory.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Endicott College,2016-03-01,2016-03-01 10:10:10,screight@endicott.edu,2.0,Pursuing,17.0,10.0,3626.0,585.4,--,2950.0,1652.0,3815.0,--,895.0,2139.0,17.0,--,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:25,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,"These data are from 2013-14.

The total headcount of employees does not include student workers, TAs or GAs. 

Academic Departments by Division 

For the purposes of this report, FGCU defines Academic Departments as those which offer courses for academic credit and they are as follows:

College of Arts and Science (CAS)
1.	Biological Sciences 
2.	Chemistry & Physics 
3.	Communication & Philosophy 
4.	Justice Studies 
5.	Language & Literature 
6.	Marine & Ecological Sciences 
7.	Mathematics 
8.	Public Affairs 
9.	Phycology
10.	Social & Behavior Sciences 
11.	Visual & Performing Arts 

College of Health Professionals and Social Work (CHPSW)
12.	Nursing
13.	Counseling
14.	Health Sciences
15.	OT & Community Health
16.	PT & Human Performance
17.	Social Work

College of Education (COE)
18.	Leadership 
19.	Teacher Ed & Research 
20.	Curriculum Instruction & Culture 

Lutgert College of Business (LCOB) 
21.	Accounting 
22.	Economics & Finance 
23.	Information Systems & Operations Management & Marketing 
24.	Resort and Hospitality Management 
25.	Management 

Whitaker College of Engineering (WCE) 
26.	Bioengineering & Software Engineering
27.	Environmental & Civil Engineering

Undergraduate Studies (UGS)
28.	Colloquium 
*(Honors is a department of UGS, but is not listed because its courses and research are counted through other departments for AC-1 and AC-9 of this report)
 
"
Fort Lewis College,2016-03-27,2016-03-27 16:00:52,kehilimire@fortlewis.edu,2.0,Pursuing,2.0,31.0,3544.0,529.0,--,3679.0,13.0,3570.0,--,643.0,1492.0,--,--,--
Furman University,2016-02-22,2016-02-22 13:43:10,yancey.fouche@furman.edu,2.0,Pursuing,2.0,24.0,2769.0,848.0,--,2798.0,155.0,2908.0,45.0,1885.0,2439.0,--,--,--
George Washington University,2016-02-29,2016-02-29 13:04:27,shannonross@gwu.edu,2.0,Pursuing,10.0,73.0,22032.0,5982.5,2258.0,10900.0,14843.0,25743.0,469.0,6780.0,7068.0,27.0,--,"The most recent data for employees and departments is from FY15 and for students it is from FY16.

- FTE enrollment methodology: # full-time students + 1/3 # part-time students (consistent with recommended formula per American College & University Presidents' Climate Commitment (ACUPCC)

- FTE employee methodology: # full-time employees + 1/2 # part-time employees

-Enrollment numbers were populated from this source: http://www.gwu.edu/~ire/enrollment.htm

-Information regarding academic departments can be found here: http://www.gwu.edu/colleges-schools"
Georgia College & State University,2016-03-25,2016-03-25 19:09:32,doug.oetter@gcsu.edu,2.0,Pursuing,5.0,25.0,6889.0,1033.0,231.0,6036.0,853.0,6929.0,121.0,1033.0,2195.0,--,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:22,simonj@gonzaga.edu,2.0,Pursuing,8.0,75.0,7255.0,1179.0,714.0,4896.0,2709.0,7436.0,169.0,1214.0,3241.0,1214.0,--,--
Green Mountain College,2016-03-21,2016-03-21 15:55:33,ihrker@greenmtn.edu,2.0,Pursuing,1.0,29.0,826.0,174.9,270.0,573.0,260.0,817.0,16.0,246.0,468.0,9.0,--,"The performance year for this credit is FY 2015.

Green Mountain College is a small school focused on sustainability education across the liberal arts and pre-professional curriculum. Consequently, in our 2011 STARS report, it seemed most appropriate to consider the entire school the same division. Not only is our entire school smaller than many divisions at larger schools, but faculty teach classes in multiple programs across the school. We continue that practice in this report.

The College eliminated academic departments in 2008 and increased its emphasis on interdisciplinary teaching. Given how small our academic programs are and the wide ranges of faculty responsibilities across multiple programs, we decided not to operate under the traditional department model. For the sake of this report, departments are identified as programs that offer classes and have a head of the 'program'. The Environmental Liberal Arts program is indicated in the course inventory as a separate department but in the academic research credit it is not as no faculty exist only in this program, but instead are housed in a separate major or minor offerings. 

The enrollment numbers here include students under continuous enrollment. 

The full-time equivalent employee numbers include employees working for the two permanent on-site contractors: Chartwells (Dining Services) and CW(Facilities). "
Guilford College,2016-03-08,2016-03-08 08:08:40,corrybc@guilford.edu,2.0,Pursuing,5.0,31.0,2445.0,398.0,--,2025.0,--,2025.0,--,398.0,1191.0,21.0,--,--
Hampshire College,2016-03-23,2016-03-23 09:59:07,bhooker@hampshire.edu,2.0,Pursuing,5.0,5.0,1379.0,391.0,--,1461.0,--,1438.0,--,420.0,1103.0,4.0,--,--
Harvard University,2016-02-29,2016-02-29 16:59:06,colin_durrant@harvard.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Haverford College,2016-03-02,2016-03-02 12:02:13,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:51,sustainability@hws.edu,2.0,Pursuing,2.0,54.0,2345.0,926.0,--,2297.0,4.0,2268.0,--,926.0,1924.0,17.0,--,"HWS does not currently track FTE annually so “Full-time equivalent of employees (staff + faculty, annualized FTE)” has been best represented by a head count of HWS paid faculty and staff."
Indiana State University,2016-03-29,2016-03-29 10:18:26,caroline.savage@indstate.edu,2.0,Pursuing,5.0,43.0,13584.0,1308.0,1519.0,11330.0,2254.0,12944.0,640.0,1901.0,3881.0,43.0,--,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:43:22,brownwm@indiana.edu,2.0,Pursuing,16.0,97.0,40282.0,8543.0,809.3196895,36419.0,9997.0,41349.0,784.0,27521.0,12758.0,28.0,--,--
Juniata College,2016-03-23,2016-03-23 08:09:35,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:20,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:31:02,sustainability@knox.edu,2.0,Pursuing,1.0,41.0,1397.0,461.0,--,1397.0,--,1377.0,20.0,461.0,1189.0,3.0,--,--
Lehigh University,2016-02-29,2016-02-29 00:26:23,sustainability@lehigh.edu,2.0,Pursuing,4.0,31.0,6654.0,1753.0,281.0,5062.0,2057.0,6998.0,121.0,1849.0,3387.0,--,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:08,advorak@lclark.edu,2.0,Pursuing,3.0,36.0,3322.0,709.0,--,2184.0,1317.0,3526.0,--,1429.0,1465.0,36.0,--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:02:34,ian.mckeown@lmu.edu,2.0,Pursuing,6.0,54.0,7906.0,1921.0,--,6184.0,2189.0,7900.0,473.0,2301.0,3210.0,40.0,--,"Institution does not have a hospital on site, only student health and psychological offices. number of employees"
Loyola University Chicago,2016-02-26,2016-02-26 17:50:37,adurnbaugh@luc.edu,2.0,Pursuing,11.0,116.0,14613.0,2833.0,999.0,10332.0,5580.0,15632.0,280.0,3454.0,4409.0,26.0,--,All demographic and academic numbers are for FY2015
Macalester College,2016-01-06,2016-01-06 13:03:01,shansen2@macalester.edu,2.0,Pursuing,1.0,31.0,2020.0,591.0,--,2039.0,--,2039.0,--,771.0,1293.0,14.0,--,--
Maryville College,2016-02-11,2016-02-11 15:37:45,adrienne.schwarte@maryvillecollege.edu,2.0,Pursuing,8.0,64.0,1162.0,426.0,--,1213.0,--,1213.0,--,426.0,831.0,6.0,--,"The number of academic departments reflects the number of Programs of Study Maryville College offers which can be found at http://maryvillecollege.edu/academics/programs-of-study/ 

The headcount and annualized FTE numbers reflect the 2014-2015 academic year."
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:14,slanou@mit.edu,2.0,Pursuing,6.0,32.0,11192.0,9299.0,--,4528.0,6773.0,11119.0,--,9692.0,6061.0,25.0,--,"MIT Medical Center does not provide in-patient care, and therefore does not have any in-patient hospital beds.

The number of residential employees is assumed to be equal to the number of MIT faculty and MIT staff serving as housemasters in undergraduate and graduate on-campus housing, as listed on the websites of the MIT Housing Office and the MIT Division of Student Life.
 
Source: http://web.mit.edu/ir/cds/2013/cds2013.html; http://www.cambridgema.gov/~/media/Files/CDD/Planning/TownGown/tg2013/town_gown_2013_mit.ashx; http://housing.mit.edu; http://studentlife.mit.edu/housemasters"
McMaster University,2016-02-19,2016-02-19 09:37:36,naeemsh@mcmaster.ca,2.0,Pursuing,6.0,6.0,26077.0,7380.0,--,24569.0,4348.0,30117.0,1000.0,7380.0,3578.0,50.0,--,--
Miami University,2016-03-02,2016-03-02 14:17:58,kliney@miamioh.edu,2.0,Pursuing,6.0,52.0,11923.0,3206.0,346.0,15975.0,2643.0,17255.0,1083.0,3554.0,5275.0,35.0,--,"In this and other credits requiring annualized figures, they were calculated as follows:
for students and residential employees: 70% of the fall figure (headcount or FTE, as designated)
for all other employees: 90% of the fall figure (headcount or FTE, as designated)
This simple estimation method was chosen for student figures because it corresponded well to one year's worth of  detailed and carefully-assembled data that was annualized by calculating a weighted average based on counts per semester and the number of weeks in each semester.  It made data-gathering much simpler for credits that used such data from different baseline years.
Using the same method, but with a factor of 0.9, to annualize employees, seemed to be a reasonable estimate.
"
Michigan State University,2016-02-16,2016-02-16 09:19:23,erhardt7@msu.edu,2.0,Pursuing,19.0,113.0,46159.0,11489.0,--,38786.0,11299.0,50085.0,1737.0,11956.0,16143.0,--,--,Data based on Fall 2014 numbers.
Middlebury College,2016-03-25,2016-03-25 14:03:26,jmbyrne@middlebury.edu,2.0,Pursuing,4.0,56.0,2802.0,1295.0,--,2516.0,--,2516.0,--,1295.0,2466.0,--,--,"In addition to an undergraduate population of 2,516 students during the traditional academic year (September to May) the Middlebury Campus is fully utilized during the summer (June to August) by its Summer Language Program. Thus, the FTE equivalent enrollment is 2,802. This is also the case for faculty numbers as well as the summer language school has summer faculty who are present and often reside on campus during the summer."
Mills College,2016-02-29,2016-02-29 23:53:54,ngaetjens@mills.edu,2.0,Pursuing,5.0,17.0,1272.18,411.87,--,867.0,538.0,1398.0,7.0,579.0,563.0,18.0,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:14,neapple@mtholyoke.edu,2.0,Pursuing,1.0,30.0,2221.0,862.0,--,2183.0,68.0,2136.0,15.0,1045.0,2076.0,6.0,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:27:47,kprocyk@muhlenberg.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,Number of residential employees is an estimate.  This number is small and has not been calculated.
Naropa University,2016-02-29,2016-02-29 17:16:52,acook@naropa.edu,2.0,Pursuing,5.0,26.0,922.0,230.0,60.0,397.0,663.0,1028.0,32.0,367.0,75.0,1.0,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:50,lindsay_batchelor@ncsu.edu,2.0,Pursuing,12.0,71.0,29937.0,8696.1,1565.75,21742.0,8565.0,28269.0,2204.0,8971.0,7357.0,237.0,--,--
Northern Arizona University,2016-02-23,2016-02-23 18:52:12,Ellen.Vaughan@nau.edu,2.0,Pursuing,7.0,35.0,20892.0,3199.0,2460.0,18524.0,1610.0,19986.0,--,4682.0,7685.0,36.0,--,--
Oberlin College,2016-03-21,2016-03-21 16:09:53,bflynn@oberlin.edu,2.0,Pursuing,2.0,51.0,2959.0,965.0,--,2936.0,26.0,2959.0,53.0,1295.0,2604.0,25.0,--,--
Ohio University,2016-03-23,2016-03-23 07:58:04,goetze@ohio.edu,2.0,Pursuing,12.0,46.0,23700.0,3460.0,3062.0,23504.0,5282.0,23331.0,--,4061.0,7581.0,20.0,--,Data is from FY14
Onondaga Community College,2016-02-26,2016-02-26 16:34:05,vormwals@sunyocc.edu,2.0,Pursuing,4.0,28.0,3820.85,926.0,213.97,11800.0,--,8303.5,3496.5,1525.0,873.0,4.0,--,--
Oregon State University,2016-03-30,2016-03-30 14:51:02,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,"Thanks to Institutional Research for their support in providing many of these numbers, and data elsewhere in STARS."
Pennsylvania State University,2016-03-21,2016-03-21 11:48:53,mme2@psu.edu,2.0,Pursuing,13.0,83.0,45661.0,15577.0,6320.0,40742.0,6106.0,46195.0,653.0,17027.0,14211.0,--,--,"FTE of employees was estimated by using full-time and part-time non-student headcounts from the Penn State Fact Book, and assuming that part-time and ""casual"" workers are 0.625 FTE.
Number of residential employees was not available; assumed zero because likely very small.
FTE distance education enrollment is NOT included in the overall FTE enrollment value."
Pittsburg State University,2016-03-24,2016-03-24 14:48:23,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:38:56,warren_biggins@pitzer.edu,2.0,Pursuing,--,29.0,980.67,298.0,--,1076.0,--,1076.0,30.0,356.0,815.0,6.0,--,This information is compiled from data from the 2013 - 2014 fiscal year.
Plymouth State University,2016-02-29,2016-02-29 11:42:40,bweisenhauer@plymouth.edu,2.0,Pursuing,3.0,25.0,5156.0,763.0,100.0,4105.0,1051.0,5156.0,98.0,1037.0,2299.0,19.0,--,--
Pomona College,2016-01-11,2016-01-11 17:28:34,alexis.reyes@pomona.edu,2.0,Pursuing,3.0,43.0,1584.0,700.0,--,1612.0,--,1587.0,25.0,747.0,1488.0,19.0,--,--
Portland State University,2016-03-24,2016-03-24 17:20:56,jenny.mcnamara@pdx.edu,2.0,Pursuing,8.0,59.0,20214.41,2437.0,647.0,22613.0,5628.0,24638.0,3603.0,4071.0,2079.0,53.0,--,--
Princeton University,2016-01-20,2016-01-20 17:01:06,kristiw@princeton.edu,2.0,Pursuing,4.0,34.0,7910.0,6323.0,--,5244.0,2666.0,7910.0,1384.0,6323.0,6836.0,241.0,--,--
Principia College,2016-01-30,2016-01-30 21:54:37,karen.eckert@principia.edu,2.0,Pursuing,1.0,24.0,503.0,323.0,--,503.0,--,503.0,--,358.0,503.0,105.0,13.0,--
Purdue University,2016-02-26,2016-02-26 16:45:19,mgulich@purdue.edu,2.0,Pursuing,15.0,112.0,35213.0,12194.0,19768.0,29440.0,8407.0,38788.0,--,15697.0,11243.0,--,--,--
Randolph College,2016-02-26,2016-02-26 14:25:31,llemaitre@randolphcollege.edu,2.0,Pursuing,1.0,23.0,681.0,234.0,--,675.0,18.0,658.0,17.0,320.0,624.0,5.0,--,--
Rice University,2016-03-25,2016-03-25 16:32:51,rrj@rice.edu,2.0,Pursuing,8.0,90.0,6446.67,2861.0,--,3965.0,2663.0,6487.0,14000.0,3134.0,2824.0,71.0,--,"Data is for Fall 2013, except for non-credit students (fall 2012)."
