Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have any building space certified under the following green building rating ...,Does the institution have any building space certified under LEED or another 4-tier rating system ...,"Does the institution have any new building space certified under the DGNB system, Green Star, or ...","Does the institution have any building space certified under BREEAM, CASBEE, or another 5-tier GBC ...",Does the institution have any building space certified under the Living Building Challenge?,Does the institution have any building space certified under other non-GBC rating systems for new ...,A brief description of the green building rating system(s) used and/or a list of certified ...,Total floor area of eligible building space (design and construction),Floor area of building space that is certified at each level under a 4-tier rating system for new ...,Floor area that is certified at minimum level under a 4-tier GBC rating system for new construction ...,Floor area that is certified at the 3rd highest level under a 4-tier GBC rating system for new ...,Floor area that is certified at the 2nd highest level under a 4-tier GBC rating system for new ...,Floor area that is certified at the highest achievable level under a 4-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 3-tier rating system for new ...,Floor area that is certified at minimum level under a 3-tier GBC rating system for new construction ...,Floor area that is certified at mid-level under a 3-tier GBC rating system for new construction and ...,Floor area that is certified at the highest achieveable level under a 3-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 5-tier rating system for new ...,Floor area that is certified at minimum level under a 5-tier GBC rating system for new construction ...,Floor area that is certified at the 4th highest level under a 5-tier GBC rating system for new ...,Floor area that is certified at mid-level under a 5-tier GBC rating system for new construction and ...,Floor area that is certified at the 2nd highest level under a 5-tier GBC rating system for new ...,Floor area that is certified at the highest achievable level under a 5-tier GBC rating system for ...,Floor area of building space certified Living under the Living Building Challenge,Floor area of building space that is certified at any level under other green building rating ...,Floor area of building space that was designed and constructed in accordance with green building ...,A copy of the guidelines or policies ,The date the guidelines or policies were adopted,A brief description of the green building guidelines or policies and/or a list or sample of ...,A brief description of how the institution ensures compliance with green building design and ...,The website URL where information about the institution’s certified buildings and/or green building ...,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:16,mary.lucus@belmont.edu,2.0,Pursuing,**,True,--,--,--,--,"Baskin Law Center is certified as LEED Gold-The U.S. Green Building Council awarded Belmont University’s Randall and Sadie Baskin Center with LEED certification at the Gold level in October 2012, making the building the largest LEED-certified university academic building in Middle Tennessee as well as the first LEED-certified law school building in the state, according to information provided by the USGBC. The 71107-square-foot Baskin Center sits atop a five-level underground garage and houses Belmont University’s College of Law.
The 186,140 square foot Wedgewood Academic Center was certified platinum.",777537.0,**,--,--,71107.0,186140.0,**,--,--,--,**,--,--,--,--,--,--,--,520290.0,http://stars.aashe.org/media/secure/494/6/475/2712/Sustainable%20Buildings.docx,2009-01-01,"McWhorter Hall, Dickens Residence Hall, Horrell Residence Hall, Patton Residence Hall. Two Oaks Residence Hall,","Continuous monitoring of industry enhancements and improvements such as the chilled beam HVAC in the Wedgewood Building, food waste reduction at the Johnson Center, and Geothermal HVAC at the Baskin Center.",http://www.belmont.edu/green/sustainable-buildings.html,"The U.S. Green Building Council awarded Belmont University’s Randall and Sadie Baskin Center with LEED certification at the Gold level in October 2012, making the building the largest LEED-certified university academic building in Middle Tennessee as well as the first LEED-certified law school building in the state, according to information provided by the USGBC. The 75,000-square-foot Baskin Center sits atop a five-level underground garage and houses Belmont University’s College of Law.

The US Green Building Council awarded Belmont LEED platinum for the Wedgewood Academic Center making it the first higher education facility in Tennessee to receive this designation."
Beloit College,2016-03-23,2016-03-23 13:46:03,chapmanlr@beloit.edu,2.0,Pursuing,**,--,--,--,--,--,"LEED, or Leadership in Energy & Environmental Design, is a green building certification program that recognizes best-in-class building strategies and practices. To receive LEED certification, building projects satisfy prerequisites and earn points to achieve different levels of certification. Prerequisites and credits differ for each rating system, and teams choose the best fit for their project.",5953.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,,--,"Beloit College has made major renovations on two of its special interest houses for students in the summer of 2013.  Major envelope enhancements were done in both houses, including adding insulation to walls and attics, new thermal pane windows installed in one of the two houses, new siding for both houses, and a new white rubber roof on a section of one of the houses.  Neither of these major renovations were considered for LEED or any other building design standards/guidelines."
Bentley University,2016-03-25,2016-03-25 15:59:13,nberland@bentley.edu,2.0,Pursuing,**,--,--,--,--,--,,1847947.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,Bentley University has committed to achieving LEED-Silver certification for all new construction and major renovations (renovations greater than 50% replacement value).  In addition to these commitments Facilities Management and the Office of Sustainability work together on smaller upgrades and renovations across the campus to ensure that green building principles are being applied.  ,,http://www.bentley.edu/offices/sustainability/green-building-and-renovation,--
Berea College,2016-02-29,2016-02-29 10:22:26,paulyj@berea.edu,2.0,Pursuing,**,True,--,--,True,--,"Living Building Challenge - Deep Green
LEED Platinum - Deep Green
LEED Gold - Boone Tavern Hotel & Restaurant, Anna Smith Res Hall, Knapp Hall Academic Building
LEED Silver - Lincoln Hall Academic Building",1427570.0,**,--,--,44653.0,45808.0,**,--,--,--,**,--,--,--,--,--,45808.0,--,2000.0,http://stars.aashe.org/media/secure/303/6/475/2712/CAPITAL%20PROJECTS%20SUSTAINBILITY%20POLICY.docx,1993-01-01,"The Capital Projects Sustainability Policy has been in place since 1993 and has colored all capital campaign decision making since that time, with escalating application and use over the years. Buildings built using this policy include Deep Green Dorm and the recent renovations to Dana and Bingham dorms.","Architects, construction managers and general contractors are informed during the RFP stage that compliance with College guidelines regarding green building design and construction is a requirement for working with Berea College.  Designs, construction activities are monitored by the Berea College Capital Projects manager and facilities management personnel to assure compliance.

The renovation guidelines are being updated and revised as of June 2011.",http://www.berea.edu/sustainability/ecorenovations/default.asp,--
Binghamton University,2016-03-20,2016-03-20 17:32:42,sdejohn@binghamton.edu,2.0,Pursuing,**,True,--,--,--,--,"Engineering & Science - 2010 - LEED Platnum
Broome - 2011 - LEED Gold
Daleware - 2011 - LEED Gold
Endicott - 2011 - LEED Gold
C4 Collegiate Center - 2011 - LEED Silver
Refuse - 2014 - LEED Gold
Johnson - 2014 - LEED Gold
O'Connor - 2014 - LEED Gold
Digman - 2014 - LEED Gold",1194150.0,**,--,81583.0,939965.0,130900.0,**,--,--,--,**,--,--,--,--,--,--,--,41701.0,http://stars.aashe.org/media/secure/663/6/475/2712/SUNY%20Office%20of%20Capital%20Sustainability.docx,2000-01-01,"In 2000, former New York State Governor George Pataki issued an Executive Order 111 under which all new constructions or major renovation projects shall meet a minimum of LEED Silver certification requirement. In 2012, current Governor Cuomo issued an Executive Order 88 which requires all state buildings to achieve a 30% energy usage reduction by 2020. Additional information can be found here: http://system.suny.edu/capital-facilities/energy-management/sustainability/initiatives/.",Binghamton University has committed that all new building or major renovation projects be built to at least LEED Silver standards.  Every new construction and major renovation project on campus since 2007 involved technical support of New York State State Energy Research and Development Authority (NYSERDA) that provides technical support and financial incentives to achieve the highest building performance.,http://system.suny.edu/capital-facilities/energy-management/sustainability/initiatives/,--
Boston University,2016-03-03,2016-03-03 13:42:02,carlberg@bu.edu,2.0,Pursuing,**,True,--,--,--,--,"Boston University incorporates sustainable building practices into small renovations and large construction projects alike. Building design and construction takes a broad spectrum of green building strategies into account. To accomplish this, the University uses the U.S. Green Building Council’s LEED Certification System to track opportunities in transportation, site development, water efficiency, energy efficiency, waste reduction, materials and resources, and indoor environmental quality. New construction projects will meet LEED Certification standards.
Completed projects include: LEED Silver Sargent College, 33 Harry Agganis Way, 888 Commonwealth Avenue, Geothermal Building, and LEED Certified 670 Albany Street, BUMC Building.",637749.0,**,--,--,243238.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,"The Sustainability Committee’s Sustainable Building and Facility Operations Working Group is in place to identify goals, opportunities, and best practices to reduce the environmental impact of new and existing buildings through increased resource efficiency, improved indoor environmental quality, material selection, and operational procedures.
Specific responsibilities include:
 Improving overall efficiency in buildings, grounds and operations
 Reducing the use of limited and non-renewable resources
 Improving the indoor environmental quality for new and existing buildings
 Developing and recommending criteria for building sustainability audits and action plans
 Recommending pilot programs and projects to test and verify the proposed strategies, policies and procedures
 Recommending projects to the Sustainability Steering Committee",http://www.bu.edu/sustainability/what-were-doing/green-buildings/,--
Bowdoin College,2016-02-25,2016-02-25 17:01:02,cpayson@bowdoin.edu,2.0,Pursuing,**,True,--,--,--,--,"52 Harpswell Road and 216 Maine Street - both certified under USGBC LEED,",74723.0,**,--,13920.0,14959.0,--,**,--,--,--,**,--,--,--,--,--,--,--,7715.0,http://stars.aashe.org/media/secure/223/6/475/2712/Bowdoin%20Sustainable%20Design%20Guidelines%2012%2014%2009.pdf,2009-12-14,"Bowdoin College has had a long standing commitment to sustainability and environmental stewardship; concentrating on issues such as waste reduction, recycling, environmentally preferable purchasing, and energy conservation. One of the fastest growing sectors in the sustainability movement has been within the architecture and building trades. Emphasis has been placed on sustainable site location, water efficiency, energy conservation, indoor air quality and using materials that are either harvested sustainably or made from recyclable materials. As can been seen in Appendix A, Bowdoin had been incorporating sustainable design features into all of its new building projects since 2000, including the construction of Osher and West residence halls, Sidney J. Watson Arena, and The Peter Buck Center for Health & Fitness which have qualified for certification under the LEED™ process.
Bowdoin is publishing these guidelines to provide architects and contractors with a framework for helping us reach our goal of building efficient and environmentally friendly buildings that enhance the well being of the people that live and work in them. These guidelines continue to be a work in progress. They are intended to serve as both a communication and working tool that aids in planning, design, and construction of renovation projects with an appropriate level of attention to economic and environmental concerns. We welcome your ideas, innovation and input to help strengthen the document and make the sustainable design process as clear and efficient as possible.","Adhering to Bowdoin’s sustainability principles, the college incorporates the LEED process into all new buildings with a strong focus on reducing energy use.  With a goal to be carbon neutral by 2020, we realize any building renovation or new building project is an opportunity to help us reduce our long-term carbon footprint.  Scroll through the building slide show (link provided below) and click on the individual building photos to pull up documentation on how Bowdoin has incorporated sustainable design principles into various campus building projects. ",http://www.bowdoin.edu/sustainability/green-bowdoin/green-building.shtml,--
Brown University,2016-03-23,2016-03-23 07:27:08,Ginger_Gritzo@Brown.edu,2.0,Pursuing,**,True,--,--,--,--,"GOLD
Rhode Island Hall, 2010
Stephen Robert ‘62 Campus Center, 2011
Medical Education Building, 2012
Perry and Marty Granoff Center for the Creative Arts,
2012
315 Thayer Street, 2013
Miller and Metcalf Residence Hall, 2014
Nelson Fitness Center, 2014
85 Waterman Street, 2014

SILVER
Sidney E. Frank Hall for Life Sciences, 2009
",6741555.0,**,--,168000.0,645879.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/492/6/475/2712/Sustainability%20Report%202015%20FINAL.pdf,2007-07-01,"Achieved Gold:
Rhode Island Hall (NC-v2.2), 2010 
Stephen Robert '62 Campus Center (Cl-v2.0), 2011 
Medical Education Building (NC-v2.2), 2012
Perry and Marty Granoff Center for the Creative Arts (NC-v2.2), 2012
315 Thayer Street (NC-v3), 2013
Miller Residence Hall (NC-v3), 2013
Metcalf Residence Hall (NC-v3), 2014
Nelson and Fitness Center (NC-v3), 2014
Hunter Laboratory (NC-v3), 2015

Achieved Silver:
Sidney Frank Hall for Life Sciences, (NC-v2.1), 2009
",New construction and major renovation projects are required to pursue LEED Silver certification at a minimum. At least one assigned team member is a LEED professional.,http://brown.edu/Facilities/Facilities_Management/energy/high_perf_design.php,--
Bryant University,2015-08-19,2015-08-19 14:50:32,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:29,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:51,nbartlett@cca.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:41,dan.wakelee@csuci.edu,2.0,Pursuing,**,--,--,--,--,--,,472445.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,472445.0,http://stars.aashe.org/media/secure/207/6/475/2712/EO-9871.pdf,2006-08-02,"CI follows the 2010 California Green Building Standards Code (CAL Green), requiring all new buildings reduce water consumption, employ building commissioning to increase building system efficiencies, divert construction waste from landfills, and install low pollutant emitting finish materials. CAL Green’s mandatory measures establish a minimum for green construction practices, and incorporate environmentally responsible buildings into the everyday fabric of California cities without significantly driving up construction costs in a slow economy.
","California State University Channel Islands (CI) follows the CSU Office of the Chancellor's Executive Order Number 987, which encourages campuses to continue to adopt an integrated design approach that includes sustainable materials and practices. It also requires new goals for energy conservation, and the purchase and generation of renewable power. ",http://www.calstate.edu/EO/EO-987.html,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:25,mmoscol@fullerton.edu,2.0,Pursuing,**,True,--,--,--,--,CSU Fullerton Student Housing Phase III is LEED NC v2.2 certified at the Platinum level. ,363216.0,**,--,--,--,347899.0,**,--,--,--,**,--,--,--,--,--,--,--,15317.0,http://stars.aashe.org/media/secure/60/4/172/997/EO-987_Energy%20Conservation%2C%20Sustainable%20Building%20Practices.pdf,2006-08-02,The Children's Center was constructed to be LEED Silver Equivalent according to CSU Policy. ,"The attached Executive Order No. 987, titled ""Policy Statement on Energy Conservation, Sustainable Building Practices, and Physical Plant management for the California State University"", delegates to each president, or his/her designee, the implementation of the California State University Board of Trustees' energy conservation, sustainable building practices, and physical plant management policy.  This executive order reaffirms the need to conserve energy in order to achieve the goal originally set in 2001 and reevaluated in 2005.  Our new goal is to reduce consumption by 15% by the end of FY 2009/10, as compared to 2003/04.  The trustee policy is consistent with Governor Arnold Schwarzenegger’s Executive Order S-12-04, which requests the CSU’s active participation in statewide energy conservation and reduced electrical demand.
This executive order retains general operational provisions and sustainable building practices while adding the CSU Sustainable Measurement Checklist process.  It encourages campuses to continue to adopt an integrated design approach that includes sustainable materials and practices.  It also requires new goals for energy conservation, and the purchase and generation of renewable power.
In accordance with the policy of the California State University, the campus president has the responsibility for implementing executive orders, where applicable, and for maintaining the campus repository and index for all executive orders.",http://cpm.fullerton.edu/capitalprojects/Awards.asp,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:29,austin.eriksson@csun.edu,2.0,Pursuing,**,True,--,--,--,--,"CSUN has 6 LEED Gold rated building/projects (VPAC, SRC, Chaparral, SH 19-21) on campus.",532848.0,**,--,--,532848.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,n/a,n/a,http://www.csun.edu/institutional-research/facilities-information,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:08,kristina.cullen@csus.edu,2.0,Pursuing,**,True,--,--,--,--,"We have 2 LEED Gold buildings on campus, certified by the U.S. Green Building Council. ",359895.0,**,--,--,359895.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,2006-08-02,"California State University, Sacramento follows the 2010 California Green Building Standards Code (CAL Green), requiring all new buildings reduce water consumption, employ building commissioning to increase building system efficiency, divert construction waste from landfills, and install low pollutant emitting finish materials. CAL Green’s mandatory measures establish a minimum for green construction practices, and incorporate environmentally responsible buildings into the everyday fabric of California cities without significantly driving up construction costs in a slow economy.","California State University, Sacramento follows the CSU Office of the Chancellor's Executive Order Number 987 and the CSU system wide sustainability policy, which encourages campuses to continue to adopt an integrated design approach that includes sustainable materials and practices. It also requires new goals for energy conservation, and the purchase and generation of renewable power.",http://www.calstate.edu/EO/EO-987.html,--
Calvin College,2016-03-11,2016-03-11 14:31:12,bhaney@calvin.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Carleton College,2016-02-26,2016-02-26 11:19:28,mlarson@carleton.edu,2.0,Pursuing,**,True,--,--,--,--,"Carleton has the following LEED-NC certified buildings:
James and Cassat residence halls - LEED gold (91,536 sf)
Weitz center for creativity- LEED gold (135,000 sf)",275499.0,**,--,--,226536.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/541/6/475/2712/Construction_Design_Standards_7.2014.pdf,2014-07-01,Sustainable building guidelines are integrated into Carleton's construction / design standards (document attached).  Standards include a requirement to achieve minimum LEED Silver on all new construction.  ,Carleton's Manager of Campus Energy and Sustainability reviews design documents at each phase and delivers a written memo to the project manager outlining any aspects that do not meet the sustainability points in Carleton's Construction & Design Standards.,http://apps.carleton.edu/campus/facilities/assets/Construction_Design_Standards_7.2014.pdf,--
