Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution conducted an employee satisfaction and engagement survey or other evaluation ...,"The percentage of employees (staff and faculty) assessed, directly or by representative sample",A brief description of the institution’s methodology for evaluating employee satisfaction and ...,A brief description of the mechanism(s) by which the institution addresses issues raised by the ...,The year the employee satisfaction and engagement evaluation was last administered,The website URL where information about the institution’s employee satisfaction and engagement ...,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:20,mary.lucus@belmont.edu,2.0,Pursuing,True,100.0,"Belmont’s Staff Survey is administered annually to all staff.   The survey has been administered annually for the past 23 years.  The surveys are administered electronically using Qualtrics, an online survey service. The same survey is sent in hard copy to each staff member whose work does not include use of a computer, along with a return envelope addressed to the director of organizational development. Upon receipt of the hard copies, the responses are data entered into the Qualtrics  program.   Confidentiality is a key ingredient in the administration of the survey. 

The Office of the Provost regularly administers the HERI faculty survey and the Chronicle of Higher Education's Best Places to work survey.  The University uses the results to augment existing faculty and staff professional development and continuing education programs.","The director of organizational development performs analyses and reports the results on the Belmont University website and reports electronically to senior leaders, the office of human resources, and at formal presentations to senior leadership and to staff at a campus-wide staff meeting.

The Office of Human Resources collaborates with the senior leadership team (President and Vice-Presidents) of the University to enhance campus programming for faculty and staff addressing issues raised in the surveys.  Additionally, the President uses the Fall Faculty Convocation and the Spring Faculty Meeting as fora for addressing the campus work environment.",2014.0,--,"The website where information about the institution's employee satisfaction and engagement assessment is maintained at:  MyBelmont internal portal, Human Resources, Surveys tab"
Beloit College,2016-03-23,2016-03-23 13:46:43,chapmanlr@beloit.edu,2.0,Pursuing,True,66.0,"All full- and part-time Beloit College employees are invited to complete the survey instrument. In 2014 the response rate was 66%.
Beloit College uses the Chronicle of Higher Education's ""Great Colleges to Work For"" survey instrument which is administered by Modern Think. Beloit asks faculty and staff to complete the survey every other year.",The Office of Institutional Research compiles an objective review of statistically-significant findings and presents them to senior staff (the president's cabinet) for review and consideration. Findings from the last survey were incorporated into a complete revamping of the performance evaluation form and user training for supervisors and staff.,2014.0,--,--
Bentley University,2016-03-25,2016-03-25 15:59:49,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:30,paulyj@berea.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Binghamton University,2016-03-20,2016-03-20 17:32:46,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:42:06,carlberg@bu.edu,2.0,Not Pursuing,--,--,--,--,--,--,"Boston University administers a confidential Faculty Climate Survey to all full-time tenure, tenure track, and non-tenure track faculty at the Charles River and Medical campuses. The web survey examines a number of issues concerning the quality of faculty life at BU, including the work faculty do and how well it is supported, department climate, and the ways in which life outside of BU meshes with faculty responsibilities. In fall 2007 the overall response rate for the survey was 61% (71% for the Charles River Campus and 51% for the Medical Campus). "
Bowdoin College,2016-02-25,2016-02-25 17:01:06,cpayson@bowdoin.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Brown University,2016-03-23,2016-03-23 07:27:45,Ginger_Gritzo@Brown.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:36,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:33,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,"Not listed in 2012

Ranked #28  in 2011  
http://www.bestplacestoworkinpa.com/index.php?option=com_content&task=view&id=53

Ranked #39 in 2010  
http://www.bestplacestoworkinpa.com/index.php?option=com_content&task=view&id=52

Ranked #22  in 2009

"
California College of the Arts,2016-02-26,2016-02-26 17:11:54,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:45,dan.wakelee@csuci.edu,2.0,Pursuing,True,45.0,"
The campus participates in the Chronicle of Higher Education Great Colleges to Work For survey each year.  Survey results are reviewed and used to make improvements in campus practices, procedures, etc.  In addition, the campus may participate in the System wide Survey program administered by the Chancellor's Office.  In addition to these surveys, departments on campus may develop and administer surveys to gather   information from a specific focus group than is available in either of the above options.  ","Results are shared with the applicable departments so they can develop plans to address deficiencies.Sometimes specific desired results are included in survey results.  In other instances the issue may be identified as: difficulty finding parking, types of custodial services provided, etc.
",2015.0,http://www.csuci.edu/news/releases/2013-greatcollegetoworkfor-2.htm,http://www.csuci.edu/sustainability/stars/human-resources/employee-satisfaction.htm
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:28,mmoscol@fullerton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:33,austin.eriksson@csun.edu,2.0,Pursuing,True,27.0,"CSUN participated in the Great Colleges to Work For program that includes an employee survey designed specifically for higher education. This survey was distributed to a random sample of 600 full time faculty, administrators and staff members. CSUN received responses from Administrators, Faculty, Exempt Staff, Non-exempt Staff and ""unspecified"".","In order to address any issues that were raised from the evaluation, the university developed a group called Focus on Employees for Success (FES). This group actively works on these issues.",2013.0,--,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:12,kristina.cullen@csus.edu,2.0,Pursuing,True,100.0,"The University utilized a campus wide survey to faculty, staff and managers.  The survey was communicated via campus wide communication to email accounts.  Responses were anonymous.  Results were reviewed by management for further action.  The results were analyzed by the campus Office for Analytics and University Effectiveness.  A summary of the results was shared with the campus.  The sampling was staff and management heavy.","1) The campus instituted a manager's leadership academy, with its first cohort of participants in the summer of 2015.
2) The campus offered two development opportunities geared toward staff - a) one for employees who were earlier in their careers; and b) one geared towards employees who are further along in their careers and seeking direction for career growth.
3) The campus highlighted and encouraged employee development through the use of Skillsoft (the CSU's online training portal).
4) The campus' Office for Equal Opportunity has offered and presented diversity training in response to specific concerns raised.",2013.0,http://www.csus.edu/hr/docs/Human%20Resources%20Campus%20Climate%20Survey%202013_2014.pdf,"This submission specifically relates to the campus climate survey issued by the Office of Human Resources to the campus.  There may be other surveys issued by other divisions, e.g. IRT, ABA that are not referenced here."
Calvin College,2016-03-11,2016-03-11 14:31:16,bhaney@calvin.edu,2.0,Pursuing,True,100.0,"Best Christian Workplaces survey, AY 2012-2013. 
","The issues raised in the 2012 BCW led to discussion and recommendations in the 2013-2014 Multi-cultural Affairs Committee State of the Campus Report and in the current Strategic Plan, 2019.",2012.0,--,--
Carleton College,2016-02-26,2016-02-26 11:19:31,mlarson@carleton.edu,2.0,In Progress,--,--,--,--,--,--,"Carleton does not have a current documented process to measure employee satisfaction at least once every five years. Segments of our community conduct regular satisfaction surveys, and we conducted a campus climate survey in 2008. This issue is currently under review, and I hope to soon have a process in place. "
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:10,bk11@andrew.cmu.edu,2.0,Pursuing,True,66.0,"In 2013, Carnegie Mellon University conducted a survey to examine staff (only) professional development needs and interests.  The survey was initiated by the university’s Office of Professional Development Services with the assistance of the Office of Institutional Research and Analysis. The results of the survey were shared with multiple campus groups.  The survey information was utilized to develop new programs and services offered to staff (only) beginning in the fall of 2013.  
 
","Professional Development Services partnered with colleagues from across the campus that are responsible for providing training, information and professional development sessions for staff. The mission of Professional Development Services is to offer valuable learning experiences that empower staff members to maximize performance and achieve their full potential.",2013.0,http://www.cmu.edu/hr/professional-development/who-we-are/index.html,"Glassdoor’s Top 25 Universities To Work For (2014)

In its fourth annual report, Glassdoor is revealing the Top 25 Universities to Work For (2014), helping employees identify the top colleges and universities to work for across the U.S. Some common themes shared by employees at these top universities are flexible work schedules, strong research programs, a sense of making a positive impact on the world and in others’ lives, and great benefits like tuition reimbursement for employees and their families.

BYU Back on Top CMU #2

Based entirely on employee feedback shared on Glassdoor, Brigham Young University (BYU) reclaims the #1 spot with a 4.4 employer rating after falling to #3 on last year’s report. Carnegie Mellon University takes the #2 spot (4.3) followed by public university, Clemson University (4.3). Coming in at #4 is Ivy League Princeton University (4.3) and rounding out the top five is Cornell University (4.3). (Ratings based on a 5-point scale, 5.0=very satisfied.)

“At CMU, they strive to lead the way for others. Management supportive of career development and those at the top make it a point to know what you are working on and want input how to assist. Hard work is rewarded.” – Carnegie Mellon University Systems Administrator (Pittsburgh, PA)

http://www.glassdoor.com/blog/glassdoors-top-25-universities-work-2014/
"
Case Western Reserve University,2016-03-25,2016-03-25 15:40:25,stephanie.corbett@case.edu,2.0,In Progress,--,--,--,--,--,--,--
Chatham University,2016-02-17,2016-02-17 13:04:58,MWhitney@chatham.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Clark University,2016-02-24,2016-02-24 15:49:21,jisler@clarku.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Clarkson University,2016-02-12,2016-02-12 07:37:50,sep@clarkson.edu,2.0,Pursuing,True,37.0,"The final climate survey contained 102 questions and was designed for respondents to provide information about their personal experiences with regard to climate issues and work-life experiences, their perceptions of the campus climate, and their perceptions of institutional actions (e.g., administrative policies and academic initiatives regarding climate issues and concerns) on campus. The questions paralleled those from the 2007 project and offered additional new questions developed by the CSWG. All members of the campus community (e.g., students, faculty, and staff) were invited to participate in the survey. ","Throughout the last few qualitative questions, many people offered suggestions to improve the Clarkson climate. Many respondents called for better communication and more transparency from the administration. Several respondents believed the University ought to improve the recruitment and retention of underrepresented faculty, staff, and students with regard to race/ethnicity, gender, sexual orientation, and major. Others suggested workshops and training based on issues of equity and inclusion for faculty, staff, and students. Several students felt on-campus housing and dining services were substandard and wanted to see improvements to both. Respondents desired an on-campus child care facility and, as previously mentioned, wanted AFROTC to remain on campus.",2013.0,http://www.clarkson.edu/climatesurvey/,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:17,sustain@coastal.edu,2.0,Pursuing,True,41.0,Climate survey was administered to all full-time and part-time faculty and staff.,Issued were discussed by the University's Executive Staff and addressed them accordingly.,2012.0,--,--
Colby College,2016-01-12,2016-01-12 15:54:17,ksbright@colby.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Colgate University,2016-02-28,2016-02-28 11:21:44,jpumilio@colgate.edu,2.0,Pursuing,True,60.0,"In 2010, Colgate engaged the services of Baird Consulting and McKnight 
Associates to help develop and administer faculty and staff climate surveys. On 
March 28, 2011, surveys were distributed to all employees and responses went 
directly to Baird Consulting in order to maintain anonymity. Keeping the 
responses in the anonymous format, results were compiled and shared with the 
president’s staff in the fall of 2011. 
A Staff Climate Response Group was created to analyze survey results with an 
eye to building upon the success of the many positive findings and addressing 
issues that needed improvement. Bob Tyburski, Vice President, Senior Advisor, 
and Secretary to the Board, chaired the committee. Members represented a 
diverse cross-section of university operations and perspectives. Click here to see 
the full membership.
Beginning in early 2012, the group met on a regular basis, focusing on themes 
that arose from both the survey and their discussions. They included: greater 
accountability and acknowledgement of achievements, staff communications, 
community and campus connections, “on-boarding” of new employees, 
professional development/training opportunities, and wellness.
In July 2012, the Staff Climate Response Group presented a detailed report of 
findings and recommendations to President Herbst. While the report 
acknowledged many positive aspects of working at Colgate, it also was very 
candid about areas of concern that it had identified, and made specific 
suggestions for improvement. The report also acknowledged that since the 
survey was completed, a number of programs and actions had already been 
implemented that were viewed as positive steps. 
The group has been extremely encouraged by the institutional commitment 
made by President Herbst and the senior administration to the campus survey 
and their report. Throughout the fall, the group met twice with the president, 
followed by several discussions among president’s staff members about the 
report’s recommendations. After much thought and consideration, President 
Herbst responded to committee members with an outline of actions already 
underway and plans for the future.","The results of the 2009 CCLS can guide and inform institutional and individual efforts to positively impact all aspects of the campus climate.
",2009.0,http://www.colgate.edu/offices-and-services/institutionalplanningandresearch/campusclimate2009,--
College of Charleston,2016-02-29,2016-02-29 16:52:55,fisherb@cofc.edu,2.0,In Progress,--,--,--,--,--,--,--
College of the Atlantic,2016-03-23,2016-03-23 11:15:05,ademeo@coa.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Colorado College,2016-02-29,2016-02-29 16:10:01,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,True,64.0,"Colorado College conducts a bi-annual campus climate survey. 
The survey solicits opinions related to the overall campus climate in these areas:

* Job Satisfaction/Support
* Teaching Environment
* Professional Development
* Compensation/Benefits/Work-Life Balance
* Facilities/Resources
* Shared Governance
* Communication
* Respect and Appreciation

The overall goal of the survey is to provide the college with important information on what the College is doing well and where improvements are needed. The survey is available online for all staff. ","Key survey findings were presented at the College's Fall Conference and have highlighted several chief areas for improvement.  For example, in reaction to the survey results, the College is now making a continued efforts to improve communication across the college, not only among senior leaders, but also within and across divisions and departments. Additionally, it is putting enhanced attention on the collective understanding of the staff compensation program and establishing professional development opportunities for staff.

2013 Survey results are posted on the College website for public viewing. The results of the 2015 Climate Survey are not yet available for viewing. 

In March 2015, the Colorado College spring conference for all faculty and staff focused on workplace excellence and employee satisfaction.",2015.0,http://www.coloradocollege.edu/climatesurvey/,--
Colorado State University,2015-12-16,2015-12-16 16:39:11,tonie.miyamoto@colostate.edu,2.0,Pursuing,True,100.0,"The Campus Climate Survey is an opportunity for faculty and staff to answer a wide variety of questions and leave feedback about their experiences at CSU.  The survey defines campus climate as “behaviors within a workplace or learning environment…that can influence whether an individual feels personally safe, listened to, valued, and treated fairly and with respect.” 
","Each year the results of the Campus Climate Survey are considered by a select panel put together by the Office of Diversity and Equity. The panel reviews comments and feedback and considers how to improve the campus working environment. For example, in the last round, deficiencies in diversity recruiting were noted and the University subsequently implemented a new application question which requires all prospective employees to consider how they enhance diversity at CSU. ",2014.0,http://diversity.colostate.edu/campus-climate-survey/,Results for the 2014 Campus Climate survey will be released soon.
Columbia University,2016-01-13,2016-01-13 14:27:17,as3215@columbia.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Connecticut College,2016-02-28,2016-02-28 16:33:05,jstoffel@conncoll.edu,2.0,Pursuing,True,46.0,"A two and a half ago, the College completed its most recent employee satisfaction survey. A random sample of 350 of our approximately 750 employees were selected to participate. ",Issues raised during the survey have been collaboratively worked on by our Staff Council and senior administration.,2011.0,--,--
Cornell University,2016-03-18,2016-03-18 08:39:39,cma18@cornell.edu,2.0,Pursuing,True,100.0,"Cornell continuously employs unit or campus–wide surveys to drive improvements to the campus climate to foster a productive work environment for faculty, students and staff, including mature workers. Cornell administers a satisfaction survey for all faculty on a 5 year cycle - the most recent of which was administered in fall, 2010.  The university conducted a survey for all staff in the fall of 2011, with another planned in fall, 2016.  The student PULSE survey is conducted on a bi-annual basis, with the last conducted in the spring, 2013 and another planned in spring of 2015.  

In addition to these organization-wide measures, many other measures of satisfaction are in place on an on-going basis.  For example, the university exit survey measures reasons why people leave Cornell, a new hire survey measures acclimation to Cornell after 90 days, which includes satisfaction metrics.  Many units on campus also conduct ""pulse"" surveys of their staff, faculty and students on a regular basis.


","From the faculty survey a number of areas have been addressed. One area was the academic calendar. Since the survey was conducted a few changes have been made. 1) Labor Day has been listed as a non-instructional day of remembrance. Originally, classes were held on Labor Day while non-academic employees had the day off as a paid holiday. 2) Beginning in 2014, Martin Luther King, Jr. day was observed for all university employees.  3) Fall break has been extended by 2 days to help alleviate stress that students have expressed concern about in the past.",2011.0,https://www.hr.cornell.edu/about/employeesurvey/College_Unit%20Measures.pdf,--
Creighton University,2016-02-24,2016-02-24 14:08:45,mjduda@creighton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Denison University,2016-02-15,2016-02-15 15:55:35,kingje@denison.edu,2.0,Pursuing,True,100.0,Denison hired an independent firm in 2013 to conduct an employee satisfaction survey.  The survey was open to all employees and had a 50% response rate.  The results were shared in a series of meetings and forums.  ,"Denison has both a Personnel Committee and a Support Staff Human Resources Advisory Group that focus on issues relating to employee satisfaction.  

These groups have helped to clearly define job descriptions, addressed discrepancies in worker compensation, addressed workplace safety issues, and advocated for transparency.
",2013.0,--,--
Dickinson College,2016-03-08,2016-03-08 10:06:43,welkerm@dickinson.edu,2.0,In Progress,--,--,--,--,--,--,--
Drew University,2016-03-25,2016-03-25 16:11:51,swald@drew.edu,2.0,In Progress,--,--,--,--,--,--,--
Duke University,2016-02-26,2016-02-26 14:18:01,tavey.mcdaniel@duke.edu,2.0,Pursuing,True,20.0,"Duke participates in two primary efforts to better understand the work environment and employee satisfaction. Additional information about these surveys is offered below.
The Chronicle of Higher Education’s “Great Colleges to Work For” Program: For the last seven years, Duke University has participated in The Chronicle of Higher Education’s “Great Colleges to Work For” program, a study designed to recognize institutions that have built great work environments.  Part of the program involves a survey distributed to a sample of each institution’s full-time faculty, administrators and professional staff.  The survey is administered by ModernThink, a consulting firm conducting the survey on behalf of The Chronicle of Higher Education, to ensure the confidentiality of responses. It assesses several categories, including job satisfaction/support, career development, research & scholarship, communication, supervisor relationship, and participation in college governance.  Duke has been recognized each of the seven years as one of the “Great Colleges to Work For,” including 2014. 

Duke University Health System’s Work Culture Survey: Duke University Health System offered its first Work Culture Survey in 1999 to determine how staff ranked the workplace in terms of communication, teamwork, and recognition. The results of the survey led to many new programs and enhancements. Today, the Work Culture Survey is conducted on an annual basis to assess the progress made since the previous survey and identify needs for strengthening the DUHS work culture.  Work culture committees have been developed to include a cross-section of employees and managers to identify and implement programs to improve the work environment. The survey has been an effective tool for monitoring and sustaining progress in improving the work environment and employee satisfaction at Duke University Health System.

http://chronicle.com/article/Great-Colleges-To-Work-For/147387/#id=inst-2631

Duke University Health System’s Work Culture Survey:
http://insidedukemedicine.org/announcements/work-culture-survey-for-duhs/
","Duke is committed to fair and equitable treatment for all staff. Duke has established this procedure for fair, orderly, and prompt resolution of disagreements. Any claim arising out of or relating to employment policies will be settled in accordance with this procedure. The arbitration step of this procedure will be governed by the United States Arbitration Act. Both the staff member and Duke are required to utilize this procedure to resolve disagreements falling within its scope.",2014.0,http://chronicle.com/article/Great-Colleges-To-Work-For/147387/#id=inst-2631,This information is from the fiscal year 2014 report.
Earlham College,2016-03-03,2016-03-03 10:49:54,butchli@earlham.edu,2.0,Pursuing,True,100.0,All employees undergo annual self and supervisor evaluations.  Employee satisfaction is a component of this evaluation.,Employees that bring up issues of concern are able to meet with their supervisor or Human Resources to discuss the concerns.  Issues are dealt with on a case by case basis.,2015.0,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:18,stoddardl@easternct.edu,2.0,Pursuing,True,100.0,"For the sixth time in the past seven years, Eastern Connecticut State University is one of the nation’s “Great Colleges to Work For,” according to the Chronicle of Higher Education. Of the 281 institutions participating this year, Eastern was one of only 42 schools that was named to the program’s “Honor Roll.”
Eastern is the only four-year institution in Connecticut to earn this accolade, and the only public four-year institution in New England. Recognized in nine of the program’s 12 job satisfaction categories, this is the best Eastern has fared in the prestigious program.

“We are delighted to be included on the ‘Great Colleges to Work for’ Honor Roll,” said Eastern President Elsa Núñez, “and honored to again be recognized as one of the nation’s top higher education workplaces. The spirit of collaboration and unity that exists on our campus is a strength that helps us better serve our students and the state of Connecticut. Receiving this national recognition once again from the Chronicle of Higher Education is very gratifying, especially given our high ranking on nine of the program’s 12 criteria.”","Eastern was recognized for its collaborative governance; professional/career development programs; compensation and benefits; facilities, workplace and security; job satisfaction and support; confidence in senior leadership; supervisor/department chair relationships; employee respect and appreciation; and tenure process for faculty.
The survey included a two-part assessment process: an institutional audit that captured workplace demographics, policies and practices, and a survey administered randomly to employees by an independent third party (ModernThink LLC).",2015.0,http://www1.easternct.edu/pressreleases/2015/07/21/eastern-receives-national-recognition-as-an-outstanding-workplace/,This information was gathered using the Eastern Distinctions webpage: http://www1.easternct.edu/connect-with-us/distinctions/
