Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution offer at least one sustainability-focused major, degree program, or the ...","The name of the sustainability-focused, graduate-level degree program (1st program)",A brief description of the graduate degree program (1st program),The website URL for the graduate degree program (1st program) ,"The name of the sustainability-focused, graduate-level degree program (2nd program)",A brief description of the graduate degree program (2nd program),The website URL for the graduate degree program (2nd program),"The name of the sustainability-focused, graduate-level degree program (3rd program)",A brief description of the graduate degree program (3rd program),The website URL for the graduate degree program (3rd program),"The name and website URLs of all other sustainability-focused, graduate-level degree program(s)","Does the institution offer one or more graduate-level sustainability-focused minors, concentrations ...","The name of the graduate-level sustainability-focused minor, concentration or certificate (1st ...","A brief description of the graduate minor, concentration or certificate (1st program)","The website URL for the graduate minor, concentration or certificate (1st program)","The name of the graduate-level sustainability-focused minor, concentration or certificate (2nd ...","A brief description of the graduate minor, concentration or certificate (2nd program)","The website URL for the graduate minor, concentration or certificate (2nd program)","The name of the graduate-level sustainability-focused minor, concentration or certificate (3rd ...","A brief description of the graduate minor, concentration or certificate (3rd program)","The website URL for the graduate minor, concentration or certificate (3rd program)","The name and website URLs of all other graduate-level, sustainability-focused minors, ...",Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:27,mary.lucus@belmont.edu,2.0,Pursuing,True,Music Therapy Program,"Music Therapy is an established health profession in which music is used within a therapeutic relationship to address physical, emotional, cognitive, and social needs of individuals. After assessing the strengths and needs of each client, the qualified music therapist provides the indicated treatment including creating, singing, moving to, and/or listening to music. Through musical involvement in the therapeutic context, clients' abilities are strengthened and transferred to other areas of their lives. Music therapy also provides avenues for communication that can be helpful to those who find it difficult to express themselves in words. Research in music therapy supports its effectiveness in many areas such as: overall physical rehabilitation and facilitating movement, increasing people's motivation to become engaged in their treatment, providing emotional support for clients and their families, and providing an outlet for expression of feelings. ",http://www.belmont.edu/music/degrees/music_undergraduate/music_therapy.html,--,,--,--,,--,,True,Health Law,"Health care is one of Nashville’s leading industries and has as its purpose the sustainability and enhancement of the quality of human life.  Courses that are part of the Health Law concentration include:  Biomedical Ethics; Employment Law; Global Health and Human Rights; Health Care Business and Finance; Health Care Fraud and Abuse; Mediation; Medical Malpractice; Mental Health Law; and Non-profit Organizations.  In addition to course work, students concentrating in Health Law also must complete a faculty-supervised, law-review quality paper on an approved health law topic, which provides them with an opportunity to engage in detailed research.",http://www.belmont.edu/law/academics/certificate/healthlaw.html,Public Health,"The College of Pharmacy has created a concentration (minor) in the curriculum that enables a student to amass up to 30 credit hours in missions and public health.  In these courses, the student learns of community health issues, population health, national and international health data, endemic disease, and episodic disease situations that effect patient outcomes, wellness, and changes necessary in health care systems.  Students participate in Nashville area clinics that serve US Veterans, the homeless, the underserved and uninsured, and refugees.  Students are also involved in various community care incentives, feeding the hungry, serving in food collections, and clothing.  Students participate in collections of dangerous and out of date prescription medications to remove them from homes.  And participate in legislative days to bring health issues to the attention of leaders, both in the state of Tennessee, and in Washington, DC.

On an international basis, student pharmacists and pharmacy faculty volunteer their time to serve the underserved in Haiti, Honduras and other countries during spring break and in the summer months.  The student pharmacists participate in 10-14 one-week-long periods to travel to Guatemala City, to partner with surgery teams, providing surgical corrective treatment for children who have scars, orthopedic abnormalities, oral malformations, cosmetic abnormalities, and eye abnormalities.  
",http://www.belmont.edu/pharmacy/about/program.html,Doctor of Occupational Therapy,"The School of Occupational Therapy provides comprehensive graduate education within a Christian, learning environment to enable students from diverse backgrounds to positively impact the community at large and enhance the human condition through appreciation of diversity, problem-solving, and utility of meaningful and purposeful occupations.","http://www.belmont.edu/ot/about/mission,_vision_and_goals/index.html",,--
Beloit College,2016-03-23,2016-03-23 13:47:13,chapmanlr@beloit.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bentley University,2016-03-25,2016-03-25 16:00:22,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:37,paulyj@berea.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Binghamton University,2016-03-20,2016-03-20 17:32:52,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:42:13,carlberg@bu.edu,2.0,Pursuing,True,M.A. in Energy and Environmental Analysis,"The Center for Energy & Environmental Studies sponsors an MA degree in Energy & Environmental Analysis. Students and their advisors in the center work together in planning an individualized program of study. The program's core requirements include courses in quantitative methods, in physical or ecological environmental principles, in energy, society and the environment, as well as in environmental policy analysis. A concentration area and four courses making up the concentration are chosen with the consent of an adviser. One of these courses can be an environmental internship in an appropriate public, private, or nonprofit organization.",http://www.bu.edu/earth/education/professional-masters-programs/energy-environmental-analysis/,M.A. in International Relations and Environmental Policy,The International Relations & Environmental Policy (IREP) joint degree program offers students a dynamic opportunity to explore the intersection of international affairs and environmental issues through combined study in international relations and environmental science. Students divide their coursework between the Department of International Relations and the Center for Energy and Environmental Studies (CEES).,http://www.bu.edu/pardeeschool/academics/graduate/ir_and_environmental_policy/,M.A. in Global Development Economics,"The Global Development Economics (GDE) program is designed for those seeking rigorous training in economics supplemented by training in the related disciplines of politics, international relations, public health, and environmental issues. The GDE provides an intensive three-semester program combining a strong foundation in economics with development policy training. In addition to the economics core, the GDE includes a set of economics elective courses which focus on various aspects of development issues and the global economy.Candidates for the GDE also join students from the GDP program in taking courses in Governance and Political Economy, Environment and Development, International Public Health, and a capstone seminar.",http://www.bu.edu/gdp/global-development-economics/,"M.A. in Geography
http://www.bu.edu/earth/education/graduate/degree-programs/ma/

PhD in Geography
http://www.bu.edu/earth/education/graduate/degree-programs/doctor-of-philosophy/

M.A. in Environmental Remote Sensing and GIS
http://www.bu.edu/earth/education/professional-masters-programs/environmental-remote-sensing-gis/

M.A. in Global Development Policy
 http://www.bu.edu/ir/graduate/programs/global_development/

PhD in Ecology, Behavior, and Evolution
http://www.bu.edu/biology/graduate/programs/ecology/

PhD in Environmental Health
http://www.bu.edu/sph/academics/degrees-and-programs/doctor-of-philosophy-phd/doctor-of-philosophy-in-environmental-health/",True,Certificate in Applied Sustainability,"The Graduate Certificate in Applied Sustainability is a unique interdisciplinary look at what it takes to make urban and economic development compatible with the natural environment. Taught by Metropolitan College faculty from the departments of Applied Social Sciences, Administrative Sciences, and Computer Science, coursework guides students through the foundations of ecology; current theories of sustainability; methods for optimizing energy and land use; building management techniques; the politics, law, and economics of the global green movement; and the relationship between IT and the consumption of resources.",http://www.bu.edu/sustainability/academics/education/graduate-certificateapplied-sustainability/,Certificate in Energy and Sustainability,"Leveraging exciting research and industry projects at BU, the Energy and Sustainability certificate program is designed to develop graduate-level expertise in a variety of areas: solar energy, sustainable power systems, green manufacturing and more.",http://www.bu.edu/eng/academics/professional/certificates/energy/,Concentration in Environmental Health,"Available when studying towards an Master in Public Health, the Environmental Health concentration equips students with knowledge and skills to work on these public health challenges. The program provides a foundation in environmental health science with an emphasis on public health practice, and faculty bring the real world into the classroom at every opportunity. Multiple classes offer the opportunity for field projects and engagement with communities or policy makers. Students can enhance their learning and gain additional experience by participating in departmental research.",http://www.bu.edu/sph/academics/degrees-and-programs/master-of-public-health-programs/concentrations/requirements-for-the-concentration-in-environmental-health-2/,"Concentration in Energy and Environmental Sustainability (when studying toward an MBA in Questrom School of Business)
http://questromworld.bu.edu/gpo/mba-program/concentrations/ees-concentration/

Thermofluid Sciences, Energy and Sustainability Graduate Research Focus
http://www.bu.edu/me/research/research-areas/thermofluid-sciences-energy-and-sustainability-new/

Materials for Energy and Environment Graduate Research Focus
http://www.bu.edu/mse/research/energy/",--
Bowdoin College,2016-02-25,2016-02-25 17:01:13,cpayson@bowdoin.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Brown University,2016-03-23,2016-03-23 07:28:18,Ginger_Gritzo@Brown.edu,2.0,Pursuing,--,--,,--,--,,--,--,,--,,--,--,,--,--,,--,--,,--,,--
Bryant University,2015-08-19,2015-08-19 14:50:43,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:39,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:12:00,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:51,dan.wakelee@csuci.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,The graduate program in Coastal Sustainability is currently in the approval process with an anticipated start date of fall 2015.
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:35,mmoscol@fullerton.edu,2.0,Pursuing,True,Environmental Studes,"The Environmental Studies (ENST) Program opened its doors in the late 1960’s and awarded its first degree in the early 1970’s and is still going strong today. It represents a large and academically diverse inter-disciplinary graduate program for students wishing to obtain a Master of Science in Environmental Studies. The breadth and flexibility of the ENST Program has acted as a magnet for academically and professionally high-quality students.

Rather than conforming to a rigidly-defined curriculum, students are encouraged to craft a graduate study plan that meets both the core requirements of the ENST Program, and allows them to pursue courses in other departments that suit their own vocational or intellectual goals.

The Program has been able to draw on excellent instructors and mentors from an array of departments (e.g. biology, economics, geography, geology, history, sociology, and others), and on a pool of highly trained environmental professionals from local and regional government, as well as private environmental firms. ",http://hss.fullerton.edu/envstud/,"Environmental Engineering, M.S.","The Master of Science in Environmental Engineering is an online engineering master degree that will educate and prepare the future leaders in environmentally related fields. The structure of the program is based on a cohort model in which students move through the 2-year curriculum as a group. The course schedule will be based on four 16-week semesters and one eight-week summer session. The online format creates an environment where much learning occurs through completion of individual and team projects and analysis of case studies.

This program will provide students with practical information and technical knowledge on contemporary environmental topics and issues including potable water treatment, wastewater treatment and disposal, water reclamation and reuse, stormwater runoff management and treatment, solid and hazardous waste management, remediation of contaminated groundwater and soil, landfill design, air pollution control engineering, global warming issues, and sustainable development. Students will be trained for consulting companies, industries, or as officials for local governments as well as state or federal regulatory agencies. At the end of this degree program, students will be prepared to sit for the professional engineering exam in environmental engineering.",http://www.fullerton.edu/ecs/env/,--,,--,,--,--,,--,--,,--,--,,--,,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:40,austin.eriksson@csun.edu,2.0,Pursuing,--,--,,--,--,,--,--,,--,,--,--,,--,--,,--,--,,--,,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:19,kristina.cullen@csus.edu,2.0,Pursuing,--,--,,--,--,,--,--,,--,,--,--,,--,--,,--,--,,--,,--
Calvin College,2016-03-11,2016-03-11 14:31:23,bhaney@calvin.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Carleton College,2016-02-26,2016-02-26 11:19:38,mlarson@carleton.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
