Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total percentage of students that use more sustainable commuting options,The percentage of students that use each of the following modes as their primary means of ...,The percentage of the institution's students that commute with only the driver in the vehicle ...,"The percentage of the institution’s students that walk, bicycle, or use other non-motorized means ...",The percentage of the institution’s students that vanpool or carpool as their primary method of ...,The percentage of the institution’s students that take a campus shuttle or public transportation as ...,"The percentage of the institution’s students that use a motorcycle, scooter or moped as their ...",A brief description of the method(s) used to gather data about student commuting,The website URL where information about sustainable transportation for students is available,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:17,mary.lucus@belmont.edu,2.0,Pursuing,52.0,**,48.0,43.0,--,7.0,1.0,,http://www.belmont.edu//hr/prospective/commuters.html,--
Beloit College,2016-03-23,2016-03-23 13:46:07,chapmanlr@beloit.edu,2.0,Pursuing,99.5,**,0.5,99.5,--,--,--,"Students in Psycholoogy 162: Research Methods conducted a survey of students' commuting behaviors.  This survey took a representative sample of each of the four graduating classes of students and was conducted online and annonymously.  
Beloit College is a residential campus, and only a small percentage of seniors live off campus, with many nearby apartment and house rental options within walking/biking distance to campus.  ",--,--
Bentley University,2016-03-25,2016-03-25 15:59:16,nberland@bentley.edu,2.0,Pursuing,46.0,**,54.0,10.0,11.0,25.0,--,"The Office of Sustainability conducts an annual survey to determine students, faculty, and staff commuting behavior to and from campus.  The survey results were statistically significant. The data that faculty, staff and students submitted was averaged to determine the percentage of each mode of transportation. ",http://www.bentley.edu/offices/sustainability/transportation,"The numbers above only reflect the information that we gathered in our transportation survey.  This only reflects non-residential students, 36% of the total student population, who are commuting to and from campus.  This does not include on campus residents commuting to and from class."
Berea College,2016-02-29,2016-02-29 10:22:27,paulyj@berea.edu,2.0,Pursuing,85.0,**,15.0,85.0,--,--,--,,--,"85% of Berea students are campus residents.  The campus has no interior parking, and all residence halls are within walking distance to academic and support buildings.  While we believe most non-resident students also live within walking distance to the campus, we have not surveyed these students and are not considering them as necessarily using non-motorized transportation.  All non-resident students are considered to drive alone if they live off campus for this purposes of this reporting."
Binghamton University,2016-03-20,2016-03-20 17:32:43,sdejohn@binghamton.edu,2.0,Pursuing,48.0,**,37.0,46.0,1.0,16.0,--,Annual campus transportation survey. Students living on campus are considered as walkers.,http://www.binghamton.edu/sustainability/campus-initiatives/transportation.html,--
Boston University,2016-03-03,2016-03-03 13:42:03,carlberg@bu.edu,2.0,Pursuing,96.0,**,3.5,86.5,0.1,10.0,0.1,The Medical Campus' system for tracking student commuting revolves around data tracking excel spreadsheets compiled using information from registration of the different programs. The Charles Campus' data is based upon calculation of permit and T-Pass registration figures divided by total number of students.,http://www.bu.edu/sustainability/what-were-doing/transportation/,"http://www.bumc.bu.edu/transcomm/
http://www.bu.edu/parking"
Bowdoin College,2016-02-25,2016-02-25 17:01:03,cpayson@bowdoin.edu,2.0,Pursuing,92.0,**,8.0,92.0,--,--,--,"We used the percentage of students that live on-campus vs. the percentage of students that live off-campus. The reality is that the percentage of our students that walk, bike or use other non-motorized commuting methods is probably even higher that listed, as many of the students that live off-campus live within close walking distance to campus and don't drive. Student parking is very limited and is located primarily on the perimeter of campus, so it would not save much time, if any, for many of our off-campus residents to dive a vehicle to campus.  ",http://www.bowdoin.edu/sustainability/green-bowdoin/green-transportation.shtml,"
"
Brown University,2016-03-23,2016-03-23 07:27:11,Ginger_Gritzo@Brown.edu,2.0,Pursuing,75.0,**,--,75.0,--,75.0,--,Most undergraduate students reside on-campus and do not have personal vehicles.  Evaluation of commuter data is currently underway.,http://www.brown.edu/about/administration/transportation/,--
Bryant University,2015-08-19,2015-08-19 14:50:33,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:30,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:52,nbartlett@cca.edu,2.0,Pursuing,85.0,**,15.0,39.0,--,46.0,--,"Student's were asked about their transportation methods to and from campus during a research activity at our annual Holiday Lunches. These lunches are open to all students and are attended by a large portion of the student community across all degree programs.

https://www.cca.edu/students/shuttle",https://www.cca.edu/about/sustainability/transportation,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:42,dan.wakelee@csuci.edu,2.0,Pursuing,32.0,**,68.0,11.0,11.0,10.0,1.0,"CSU Channel Islands utilizes Ventura County Transportation Commission’s RideMatching system, a web base program. RideMatching is able to connect the campus community together and find classmates and/or colleagues who are also interested in finding alternative transportation methods coming to the University.  We obtained from the Commission results of the Air Quality Management District’s Rule 211 Commuter Survey which gathers staff, student staff, and faculty data about their commuting habits.  We also obtained information from our software program T2 Flex to gather information such as motorcycle parking permits, bus shuttle cards, and carpool permits.
",http://www.csuci.edu/publicsafety/parking/alternativetransportationresources.htm,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:26,mmoscol@fullerton.edu,2.0,Pursuing,15.0,**,85.0,5.0,0.1,9.89,0.01,"Student data obtained through transit ridership, number of on-campus residents and percentage of students who do not obtain a parking permit, or have been issued a carpool permit. ",http://www.parking.fullerton.edu/transportation/Students.asp,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:30,austin.eriksson@csun.edu,2.0,Pursuing,41.0,**,59.0,19.0,8.0,13.0,1.0,"To understand the transportation-related carbon footprints of the CSUN campus, to examine more sustainable options for the future, and to further study CSUN commuting patterns, the first survey was conducted in spring 2010. Based on the feedback from the survey results, CSUN implemented several infrastructure developments that curb the high dependency of automobile use. Those infrastructures include extension of bike lanes, building on-campus student housing units, carpool and ride share programs, electric car charging stations and an on-campus transit center. To understand the effects of those transportation and housing initiatives, a similar survey was conducted in spring 2015. A commuting practices and transportation preferences survey was distributed to a randomly selected sample of faculty, staff, and students. The survey was administered online between January 26 and February 28, 2015. The survey was sent out to 10,000 students and 1000 faculty and staff (25% of each category). We eventually received 1617 responses with 1228 students, 224 staff, 144 faculty and 21 unidentified (14% total response rate). The survey includes information on the commuting distance, mode choice, transportation preferences and challenges. ",http://www.csun.edu/parking/transportation,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:09,kristina.cullen@csus.edu,2.0,Pursuing,57.3,**,42.7,33.0,1.3,22.0,1.0,"Total Students: 29349
Days of Instruction: 145
Numbers calculated using this information in addition to permit counts, RT Counts, and Bicycle Counts.
",http://csus.edu/aba/utaps/commute-choices.html,--
Calvin College,2016-03-11,2016-03-11 14:31:13,bhaney@calvin.edu,2.0,Pursuing,69.0,**,30.0,55.0,--,15.0,--,"The bus ridership data were collected from ridership reports from the Public Transportation authority.

Bus cards must be renewed annually. These data come from campus security access databases.",https://www.calvin.edu/offices-services/campus-safety/regulations-policies/rapid-bus-discount-cards.html,"Question 1:
1. 77% of students have a Calvin bus discount card. (entitles them to ride for $.50 rather than $1.50).
2. 32% of commuting students do not have a registered vehicle -- so are using some bus, bicycle, carpooling, walking, etc.)
3. About 2183 students live on campus. 
Out of 3,990 students. 2183 live on campus. That leaves 1807 commuters. Of those, 32% are commuting sustainably (1807 * .32 = 577 students)

Total sustainable transportation students = 2183 + 577 = 2760/3990 = 69%

------
Question 2: (data is from current ay - 2015-16)
1.  SOV commuters = number of commuting students with registered vehicles divided by total number of students: 1230/3990 = 30%
2. Walking students include on-campus residential = 2183/3990 = 55%
77% of of bus cards go to students. in 14-15, 77%
3. Assume for simplicity that commuters who are not in SOV are taking the bus (they may be walking or biking, we cannot tell. We no not have vanpools or campus vans).

Another place for bus info for students: http://www.calvin.edu/slc/resources/transportation.html

"
Carleton College,2016-02-26,2016-02-26 11:19:29,mlarson@carleton.edu,2.0,Pursuing,100.0,**,--,100.0,--,--,--,,https://apps.carleton.edu/transportation/,Over 90% of Carleton's students live on campus.  Those who live off-campus are within a comfortable walking distance and generally walk or bike to campus.
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:07,bk11@andrew.cmu.edu,2.0,Pursuing,95.0,**,5.0,90.0,--,5.0,--,,http://www.cmu.edu/parking/options/index.html,"These percentage data are based on a survey and project conducted by a Civil & Environmental Engineering professor, Cliff Davidson in 2009. 

"
Case Western Reserve University,2016-03-25,2016-03-25 15:39:52,stephanie.corbett@case.edu,2.0,Pursuing,96.03,**,3.97,83.34,--,12.69,--,Data pertaining to student parking permits issued and RTA passes issued was obtained. Non-motorized commuters was calculated by subtracting permits and passes from student total and using anecdotal surveying.,--,"A large majority of CWRU students live within walking distance of the campus and there is an increasing availability of local housing in or very near University Circle, where the university campus is located.
Additionally, President Barbara Snyder set an FY13 University goal to benchmark and improve transportation mode shift, to encourage more walking, biking, transit ridership, carpooling, and car sharing amongst the CWRU community."
Chatham University,2016-02-17,2016-02-17 13:04:55,MWhitney@chatham.edu,2.0,Pursuing,48.0,**,52.0,21.0,--,27.0,--,"Total enrollment: 2134 students
Residential: 448 (Walk or bike)
Drivers: 638 registered parking passes
Night students: 462
Other Commuters: 586

Data was gathered through the university's institutional research collection, the most recent Climate Audit results, and enrollment information from the university Registrar. ",http://www.chatham.edu/outreach/sustainability/,--
Clark University,2016-02-24,2016-02-24 15:49:18,jisler@clarku.edu,2.0,Pursuing,95.0,**,2.0,90.0,3.0,45.0,--,"A survey of undergraduate and graduate students was conducted by a class project team to determine shuttle use, and the representative sample gained from the survey has been extrapolated to the population. Its an urban, primarily residential campus, so there is not much commuting to begin with. The campus shuttle is used primarily after dark by students who live off campus in the surrounding neighborhoods (they walk in the daytime); a small number of graduate students live off campus and take the city buses or the train.",http://www.clarku.edu/offices/campusSustainability/partners/,--
Clarkson University,2016-02-12,2016-02-12 07:37:47,sep@clarkson.edu,2.0,Pursuing,75.0,**,25.0,70.0,5.0,--,--,"It is assumed that ALL of the residential students walk or bike to class (70% of student body excluding distance students for whom transportation is irrelevant).  Of the remaining students, it was assumed that most of those drive)",http://www.clarkson.edu/green/takeaction/share_ride.html,"
"
Coastal Carolina University,2015-11-20,2015-11-20 15:31:14,sustain@coastal.edu,2.0,Pursuing,20.0,**,--,--,--,--,--,A survey was drafted to ask students about transportation options.,http://www.coastal.edu/sustain/campussustainability/transportation.html,--
Colby College,2016-01-12,2016-01-12 15:54:13,ksbright@colby.edu,2.0,Pursuing,95.2,**,1.4,94.7,0.5,--,--,"A student commuter survey was disseminated to the off-campus student population in order to determine their commuting habits.  Colby College is a residential campus and provides housing for 1,720 of its 1,820 students. Further, its academic buildings on located on interior quads of the campus, easily navigable from dormitories by walking or bike. As the survey requests that we determine how students travel to and from campus, the residential student population was assumed to be a sustainable mode of transportation because the College provides on campus housing for most of the student population. Based on the results of the off campus survey, the results were tabulated and these are reflected above and are inclusive of the residential student population living on campus.",--,--
Colgate University,2016-02-28,2016-02-28 11:21:41,jpumilio@colgate.edu,2.0,Pursuing,100.0,**,--,65.0,18.0,17.0,--,These estimates from student commuting behavior were based on surveys from student research papers in F-SEM 124: Global Change and YOU.  ,http://www.colgate.edu/distinctly-colgate/sustainability/climate-action-planning/alternative-transportation,These estimates from student commuting behavior were based on surveys from student research papers in F-SEM 124: Global Change and You.  
College of Charleston,2016-02-29,2016-02-29 16:52:52,fisherb@cofc.edu,2.0,Pursuing,60.0,**,40.0,48.0,2.0,5.0,1.0,,http://sustainability.cofc.edu/cofc-st-research/commuter-report-final.pdf,--
College of the Atlantic,2016-03-23,2016-03-23 11:14:29,ademeo@coa.edu,2.0,Pursuing,85.0,**,17.2,81.6,2.0,10.0,--,"We did a survey of commuting of COA community members at the beginning of 2016. The estimates above regarding commuting are based on this survey, data regarding parking availability, shuttle ridership and analysis of an informal committee comprised of faculty, staff and students. We believe this is a good representation of modes of commuting.  About 136 of our 367 students live on campus, so they primarily walk, although some have cars. The other half live mostly within walking distance of the campus, since Bar Harbor has a small business district with apartments that students rent. We have a van to shuttle students to and from downtown Bar Harbor.",http://www.coa.edu/live/files/161-transportation-sustainability,"http://www.coa.edu/our-community/transportation/

The Campus Environmental Initiative addresses the college's commitment to low fossil-fuel transportation
http://www.coa.edu/about/environmental-commitment/publications-policies/index.php
"
Colorado College,2016-02-29,2016-02-29 16:09:58,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,73.0,**,--,73.0,--,--,--,"All students who live on campus have been included as walking, bicycling, or using other non-motorized means as their primary transportation to get to and from campus due to the extremely small size of the Colorado College campus.  Furthermore, the majority of students living off-campus also use non-motorized means of transportation as their primary method of commuting.  However, significant data regarding off-campus commuting does not exist so this has not been included in the 73%.  ",--,--
Colorado State University,2015-12-16,2015-12-16 16:39:08,tonie.miyamoto@colostate.edu,2.0,Pursuing,65.36,**,34.64,43.76,1.74,19.86,--,"An off campus student housing survey was conducted in 2014 that included questions about undergraduate and graduate student commuting choices. The results are what provided the above data.

While nearly 100% of the students who live on campus use alternative transportation, predominantly bikes on campus, we only counted off campus students in this question as they transport most often to and from campus and we felt that most closely matched the criteria for this credit.

",http://pts.colostate.edu/,--
Columbia University,2016-01-13,2016-01-13 14:27:14,as3215@columbia.edu,2.0,Pursuing,94.85,**,2.24,51.21,0.29,43.35,--,"The data provided was gained from the 2013 commuter survey to all staff, faculty and students. The survey contained questions about their commute mode. The University received a 21% response rate from the survey",http://environment.columbia.edu/transportation-demand-management,"http://transportation.columbia.edu/
http://environment.columbia.edu/transportation
"
Connecticut College,2016-02-28,2016-02-28 16:33:02,jstoffel@conncoll.edu,2.0,Pursuing,99.0,**,1.0,99.0,--,--,--,99% of students live on campus.,--,"Connecticut College is a residential institution and thus, 99 percent of our students live on campus - eliminating the need for them to commute to campus. "
Cornell University,2016-03-18,2016-03-18 08:39:36,cma18@cornell.edu,2.0,Pursuing,89.3,**,10.7,59.9,6.8,22.6,--,,http://transportation.fs.cornell.edu/commuting/,"Not enough information 

See pages 39-40 of the TGEIS:

Data from t-GEIS mode share survey:
Students non-motorized:
graduate - walk 31%, bike 4%; 
undergrad - walk 71%, bike 1.4%
Students car/van pool
graduate 5.5%; 
undergrad 7.5% (incl private shuttle vans)
Students public transit/university shuttle:
graduate 38%; 
undergrad 15%
Students drive alone:
graduate 19%; 
undergrad 5%"
Creighton University,2016-02-24,2016-02-24 14:08:42,mjduda@creighton.edu,2.0,Pursuing,62.0,**,38.0,28.8,19.8,13.2,0.2,A survey was conducted in Spring 2014.,http://www.creighton.edu/about/sustainability/transportation/,--
Denison University,2016-02-15,2016-02-15 15:55:32,kingje@denison.edu,2.0,Pursuing,99.99,**,0.01,99.99,--,--,--,,--,Denison students are primarily residential and campus has been designed to minimize both the need and ability to drive vehicles to the main academic quad.
Dickinson College,2016-03-08,2016-03-08 10:06:40,welkerm@dickinson.edu,2.0,Pursuing,92.04,**,7.96,92.04,--,--,--,,http://www.dickinson.edu/info/20052/sustainability/2288/transportation,"Dickinson is a residential college. The vast majority of our students live on campus (92%). We assume that all on-campus residents walk, bicycle, or use other non-motorized means as their primary method of transportation. All off-campus resident students are considered to commute with only the driver in the vehicle, however this is a very conservative estimate, because most off-campus students live within 1 mile of campus.

Additionally, there has not been a student commuter survey conducted at Dickinson, but of the students that live off-campus, it is very likely that some percentage of them commute in a more sustainable fashion. Until we conduct an off-campus student commuter survey, however, we report our most conservative estimate of student commuter behavior. 

Total on-campus (taking courses at Dickinson main campus) students were determined by using total headcount of on-campus matriculants and non-matriculants averaged between Fall '14 and Spring '15 - 2199. Just 190 students lived off campus between the two semesters."
Drew University,2016-03-25,2016-03-25 16:11:17,swald@drew.edu,2.0,Pursuing,95.0,**,5.0,95.0,--,--,--,,--,--
Duke University,2016-02-26,2016-02-26 14:17:58,tavey.mcdaniel@duke.edu,2.0,Pursuing,47.1,**,47.6,18.8,8.2,20.1,2.8,"Duke does a bi-annual survey with the regional planning agency (Triangle J Council of Governments), and this information was obtained from that survey effort.",http://parking.duke.edu/,--
Earlham College,2016-03-03,2016-03-03 10:49:51,butchli@earlham.edu,2.0,Pursuing,96.68,**,3.32,96.48,0.2,--,--,,http://www.earlham.edu/~sas/reslife/travel_and_tourism.html,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:15,stoddardl@easternct.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Elon University,2016-01-14,2016-01-14 09:32:47,edurr@elon.edu,2.0,Pursuing,79.4,**,20.6,--,--,--,--,"A commuter habit survey is conducted on a bi-annual basis. All students, faculty and staff receive the survey via email. ",http://www.elon.edu/e-web/bft/sustainability/ci-transport.xhtml,This information is based on the fall 2014 commuter habit survey results and represents primary method of transportation.
Emory University,2016-02-29,2016-02-29 16:26:30,ciannat.howett@emory.edu,2.0,Pursuing,71.0,**,29.0,30.0,5.0,35.0,--,Commuting data is gathered by analyzing transit pass purchases through the University and through an annual all-campus survey.,http://transportation.emory.edu/commute/index.html,Data reported for 2013-2014 fiscal year.
Endicott College,2016-03-01,2016-03-01 10:10:01,screight@endicott.edu,2.0,Pursuing,90.0,**,10.0,80.0,5.0,5.0,--,The majority of students walk to class due to the small size of the institution. ,--,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:16,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 15:59:48,kehilimire@fortlewis.edu,2.0,Pursuing,64.0,**,36.0,35.0,11.0,18.0,--,"An email-based survey was launched in FY15 in order to collect commuter data for a GHG inventory. The respondents included 89 faculty members, 136 staff members, and 91 students.  The survey collected the following information for each respondent:
1. Role
2. Weeks/year commuting
3. Trips/week
4. Percentage of time:
- bike
- walk
- drive alone
- carpool
- bus
5. Fuel efficiency of vehicle
6. How far is campus from home?

We assigned each respondent to the mode most frequently used.   In the case of a tie (i.e. an individual drives alone 50% of the time & walks 50% of the time)- that individual was assigned to the ""more sustainable"" category.   ",--,--
Furman University,2016-02-22,2016-02-22 13:43:01,yancey.fouche@furman.edu,2.0,Pursuing,85.0,**,16.0,88.0,14.0,--,--,Each participant was asked where they live (for students they were asked which area of campus as we are a residential campus with 98% of the student body living on campus.  The faculty and staff were asked how far their residence is from campus.  Each participant was asked how trips by mode of transportation were made at each distance in a typical week.  Averages were compiled from these data to create an average for each mode of transportation.,--,--
George Washington University,2016-02-29,2016-02-29 13:04:23,shannonross@gwu.edu,2.0,Pursuing,85.1,**,14.9,35.3,2.6,46.9,0.3,"GW conducted a commuting survey in February 2016.  The survey was designed to help learn more about commuting behavior and patterns of the GW community.  Random samples of students and of employees (faculty and staff) were selected to participate.  Employees included in the sample were from Foggy Bottom Campus, Mount Vernon Campus, and Virginia Science Technology Campus. The survey closed after two weeks of distribution, near the end of February 2016. The survey was distributed electronically to 1,297 employees and 1,298 students. A total of 718 faculty and staff responded, while 309 students responded, which provided response rates of 55% and 24%, respectively. 

Primary transportation was considered the mode of transportation that was used to travel the greatest distance (mileage) to and from campus. For employees, telecommuting 50% or more was determined using a formula. If an employee had a benefit category of Full Time Regular Employee and commuted 2 days or less, then they were considered a teleworker who telecommuted for 50% or more of their regular work hours. If an employee had a benefit category of Part Time Regular Employee, Affordable Care Act, or Not Eligible for Benefits and commuted 1 day or less, then they were considered a teleworker who telecommuted for 50% or more of their regular work hours. 

The commuting data do not include student travel to/from campus at the beginning/end of each semester. STARS data are based on this 2016 survey. Numbers extrapolated were determined to the best of our understanding of the data being requested.  
",http://transportation.gwu.edu/transportation-services,"To facilitate transportation between GW's three campuses (Foggy Bottom, Mount Vernon, and Virginia), GW operates the Vern Express which runs between the Mount Vernon Campus and the Foggy Bottom Campus, the Virginia Shuttle which transports people between the Virginia Science and Technology Campus (VSTC) to the Foggy Bottom Campus, and offers a free shuttle (the Wiehle Express) to and from the Wiehle Metro station to GW's VSTC. These shuttle and bus services for students, faculty, and staff help reduce vehicle miles traveled per capita by reducing reliance on single occupancy vehicles (SOVs) as a primary mode of transit. Portions of this service are open to members of GW's community neighbors as well.

""More sustainable commuting options"" interpreted as all means of transportation other than commuting to campus via single occupancy vehicle."
Georgia College & State University,2016-03-25,2016-03-25 19:08:51,doug.oetter@gcsu.edu,2.0,Pursuing,70.0,**,28.0,29.0,1.0,42.0,--,"We have counters on our shuttle buses, and count all riders.  Several student questionnaires (with up to 10% response rates) were used to characterize commuting behavior.  We have also used traffic count data for driving (parking lot occupancy) and bike riders (observation and bike rack counts).",https://gcgreen.wordpress.com/alternative-transportation/,--
Gonzaga University,2016-02-29,2016-02-29 13:09:18,simonj@gonzaga.edu,2.0,Pursuing,--,**,--,--,--,--,--,,--,"We do not track this information according to Brain Kenny, Director of Campus Public Safetly and Security."
Green Mountain College,2016-03-21,2016-03-21 15:55:17,ihrker@greenmtn.edu,2.0,Pursuing,94.04,**,5.96,93.66,0.38,--,--,"The sustainability office conducted a transportation survey in the spring of 2015 that asked a number of questions, including primary mode of transportation for commuting to campus. The survey was designed by the director of sustainability (a former transportation research scholar from University of Vermont's Transportation Center) with input from the director of student involvement and a special
focus group dedicated to carpooling. The response rate was 41%. Surveys were emailed to the population and survey responses were also collected in person aided by work study students with laptops sitting in the high traffic area of the student center during lunch time. Participation was incentivized by participants being entered into a raffle to win a $25 gift certificate to a local business.
",http://www.greenmtn.edu/sustainability/sustainability-on-campus/transportation/,Performance year is FY 2015. 
Guilford College,2016-03-08,2016-03-08 08:08:31,corrybc@guilford.edu,2.0,Pursuing,55.4,**,44.5,44.5,8.7,1.1,1.1,Surveys were sent using campus bulletin on multiple days. Tabling events in the dining hall.,http://www.guilford.edu/about/guilford-sustainability/index.aspx,--
Hampshire College,2016-03-23,2016-03-23 09:58:01,bhooker@hampshire.edu,2.0,Pursuing,13.0,**,7.1,2.4,2.4,8.2,--,"Only 276 students commute at Hampshire College. This mode mix reflects that 20% of the non-residential, commuting population. The 2011 commuting data was gathered through the Sightlines Commuting Survey that was deployed to the campus community in October 2011. 105 students responded to the survey.

",--,"Hampshire College recognizes the student commuting data is a bit out of date.  The focus of last year's commuting survey was on employees.  Sightlines and the College intend on updating the student commuter survey during the next renewal process. 

The survey used is out of date, but there have been no significant changes to influencing factors so we believe the numbers to be reasonably accurate.  

FY15 data indicates students commuted a total of 294,000 miles.  "
Harvard University,2016-02-29,2016-02-29 16:58:57,colin_durrant@harvard.edu,2.0,Pursuing,99.0,**,1.0,99.0,--,--,--,"The data in this answer is based on our undergraduate population. Harvard is an urban campus and 99% of undergraduates live on campus in undergraduate Houses and don't have to commute. For those that live on campus we do not track student commuting trends, however due to the density of our urban campus we safely assume that 99% of our students take shuttles, walk, or bike to class. There is no comprehensive survey of commuting trends that covers all graduate students, however there is extensive graduate housing on and near campus.
",http://www.commuterchoice.harvard.edu/,--
Haverford College,2016-03-02,2016-03-02 12:02:03,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Ninety nine percent of students live on campus. While sophmores, juniors and seniors are allowed to have cars, primary transportation for students getting to class and dining center is either by foot or bicycle."
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:42,sustainability@hws.edu,2.0,Pursuing,93.6,**,6.4,93.6,--,--,--,"The Office of Sustainability conducted a student transportation/commute survey in fall 2015. The Colleges are a residential campus, where the majority of students live in on-campus housing in a walkable, bikable community. Those students living in on-campus housing use alternative modes of transportation for their primary means of transportation around campus. In fall 2014 and spring 2015, approximately 88% (n=1,893) of students lived on campus.
Only 12% (n=258) of students lived off-campus in fall 2014 and spring 2015. Of those 258 students living off-campus, 21% (n=55) completed the student transportation survey. Of the 55 off-campus students who completed the survey, 47% indicated they used some form of alternative transportation (e.g. walking, biking, carpooling, etc.) to commute to and from campus. As a representative sample, the 47% was used to estimate that 47% of all off-campus students used some form of alternative transportation. Furthermore, we assumed all 88% of students living on campus walk, bicycle, or use other non-motorized means as their primary transportation.",http://www.hws.edu/about/green/campus_sustainability.aspx#transportation,The Colleges have a small residential campus - the majority of students have no reason to drive. Walking and biking are much more convenient than driving for many students.
