Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Total energy consumption (all sources, transportation fuels excluded), performance year",Total clean and renewable electricity generated on site during the performance year and for which ...,Clean and renewable energy from the following sources:,A brief description of on-site renewable electricity generating devices ,"Non-electric renewable energy generated on-site, performance year (Option 2)",A brief description of on-site renewable non-electric energy devices,Total clean and renewable electricity generated by off-site projects that the institution catalyzed ...,"A brief description of off-site, institution-catalyzed, renewable electricity generating devices",Total third-party certified RECs and similar renewable energy products purchased during the ...,A brief description of the RECs and/or similar renewable energy products,The website URL where information about the institution's renewable energy sources is available,Public Notes
Bentley University,2016-03-25,2016-03-25 15:59:14,nberland@bentley.edu,2.0,Pursuing,160894.0,--,**,N/A,--,"The construction of a 3,000 square foot solar thermal wall on the southern external wall of the Dana Athletic Center was completed in September 2009.  The solar wall is made of perforated wall material and is installed several inches from the exterior wall of the building to create an air cavity.

The solar wall, which traps heat from the sun, is hooked up to a heating, ventilation and air conditioning (HVAC) unit. When the HVAC unit calls for outdoor air, the air is pulled through the solar wall and is heated in the process. The hot air rises up the air cavity created between the solar wall and the building's exterior wall and enters the HVAC unit. By providing the unit with pre-heated air, less energy is required to warm the air to room temperature. However, we do not calculate or meter the MMBtu's avoided.",--,N/A,85300.0,"Facilities Management saved just over $300,000 against the FY2012 budget as a result of energy efficiency projects.  Cumulative savings from energy efficiency projects and energy management have totaled approximately $1M since FY2008.  In July 1, 2012 Bentley reinvested just 14% of those savings in offsite renewable energy via the purchase of green-e certified renewable energy certificates (RECs).  Each REC guarantees that 25 megawatts (the amount of electricity that Bentley uses per year on average) is generated by a domestic wind farm and placed on the U.S. electricity grid. ",http://www.bentley.edu/offices/sustainability/wind-energy-purchase,--
Berea College,2016-02-29,2016-02-29 10:22:26,paulyj@berea.edu,2.0,Pursuing,130549.81,2.734,**,"Solar Panel install on the roof of Stephenson Hall, and four solar hot water heating systems at Eco-village. 1mW demonstration solar PV on Alumni Building.

Deep Green Residence Hall has a 114 photovoltaic array that generates enough electricity to meet over 15% of the building's energy needs at 50kW.",--,,--,,--,"Berea College purchased 258 MWh of wind-generated electricity from Native Energy®.
 ",--,--
Binghamton University,2016-03-20,2016-03-20 17:32:43,sdejohn@binghamton.edu,2.0,Pursuing,728345.0,373.0,**,127 kW roof top PV panels and 5kW of thin-film PV embedded in building exterior structure.,125054.0,Biomass (untreated wood chips) burned at the Central Heating Plant for heating.,--,None at this time,8400.0,"2,462 MWhs of RECs purchased from a wind farm in Ohio.  All RECs are Green-s certified.",http://www.binghamton.edu/sustainability/campus-initiatives/solar.html,--
Boston University,2016-03-03,2016-03-03 13:42:03,carlberg@bu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Bowdoin College,2016-02-25,2016-02-25 17:01:02,cpayson@bowdoin.edu,2.0,Pursuing,230361.0,3875.81,**," The combined heat and power project utilizes excess steam energy at the central heating plant to generate electricity for campus consumption, offsetting electricity previously purchased from the grid. The project consisted of replacing two aging and inefficient oil-fired steam boilers with a new high-efficiency low-emissions, dual-fuel (natural gas and #2 oil) 60,000 PPH boiler during the summer of 2010 and the installation of a back pressure steam turbine generator during 2011 to create both heat (steam) and electric power (600kW) for the campus. This initiative earned EPA's 2015 ENERGY STAR® Combined Heat and Power Award.",316.89,"Thorne Dining Hall, the second largest user of hot water on campus, has a solar hot water system that produces 338 MMBtu per year and another solar hot water system on the roof of the Schwartz Outdoor Leadership Center provides domestic hot water to the kitchen, restrooms and showers of the building.",--,,--,,http://www.bowdoin.edu/sustainability/energy-solutions/,--
Brown University,2016-03-23,2016-03-23 07:27:09,Ginger_Gritzo@Brown.edu,2.0,Pursuing,806922.0,4322.0,**,A 57.7 KW photovoltaic system (Nelson). This is a hybrid system as it has additional thermal panels for hot water,4222.0,A hybrid thermal and photo voltaic array totaling 160.9 kW (57.7 PV;109.2 thermal) was installed on the roof of the new Aquatics Fitness Center in April 2012. ,--,,--,,http://news.brown.edu/features/2012/02/solar,--
Bryant University,2015-08-19,2015-08-19 14:50:33,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:29,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:51,nbartlett@cca.edu,2.0,Pursuing,32825.0,--,**,,500.0,We have 35 Heliodyn Gobi solar thermal panels used to preheat water for our hydronic heating system in our main campus building in San Francisco.,--,,--,,http://www.heliodyne.com/industry_professionals/downloads/GOBI%20Spec%20Sheet.pdf,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:42,dan.wakelee@csuci.edu,2.0,Pursuing,130618.0,--,**,,--,,--,,--,,--,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:25,mmoscol@fullerton.edu,2.0,Pursuing,432548.0,6079.0,**,We have a total of 1.16 MW of Solar PV installations on rooftop units and covered parking. We are installing an additional 2 MW over the next 2-3 years. ,--,N/A,--,N/A,--,N/A,http://facilities.fullerton.edu/subject/engineering_sustainability/utility_energy/Renewable.asp,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:30,austin.eriksson@csun.edu,2.0,Pursuing,332582.0,3271.0,**,"CSUN has 3 solar PV generation sites on campus.
Parking Lot B2	467 kW
Parking Lot E6	225 kW
Student Recreation Center (SRC)	90 kW
Total On-Site Solar Energy Generation	782 kW",23678.0,"CSUN recovers heat from our fuel cell operation to help heat our heating hot water loop as well as the Student Union swimming pool. If this energy was not recovered, the University would need burn natural gas to make up the difference.",--,,--,,http://www.csun.edu/institutional-research/facilities-information,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:08,kristina.cullen@csus.edu,2.0,Pursuing,250017.0,2600.0,**,"Sac State installed a Photovoltaic (PV) system with a new car port located behind the Facilities Management building during the 2001-02 time frame. The car port is 108 Ft. long and 18 Ft. wide. The installed system size is 6.5 kW. This system is still in operation today.
During the same time period as the car port installation, we installed (11) 110W PV powered parking lot lights and (11) 195W powered parking lot lights in lot-10, in late 2001. This system is still in operation today.
Sac State entered into a Power Purchase Agreement (PPA) for Photovoltaics (PV), at two locations on campus for renewable energy produced at a fixed rate of $0.1086/kWh for a 20 year duration. The two PV solar panel projects totaling a maximum capacity of approximately 500 kW.  They were both roof mounted, PV systems located on the Library (272 kW) and The WELL (228 kW).  Both projects were completed in March 2013 using a Power Purchase Agreements approach. Currently, The WELL system produces about 16% of the total electricity required for the building. The Library South system produces about 40% of the total electricity required for the building. 
All rights to the REC’s are exclusively and contractually retained by Sac State for the two projects located on the Library and The WELL, however Sac State has not registered with Western Renewable Energy Generation Information System (WREGIS) because of the difficulty in doing so. 
",918.44,"Sac State entered into a Power Purchase Agreement (PPA) for Solar Hot Water back in 1986. These systems are still operational to date and are still providing clean renewable hot water which is generated on site. The Solar Hot Water systems are located on the roof of Riverfront Center, Yosemite Hall North and South, and the Pool at Yosemite Hall. 
American River Courtyard is one of our new housing developments built in 2009 on campus. It also has a Solar Hot Water system. 
All these systems play a critical part in our operational ability to reduce GHG emissions.
",7254.0,N/A,40.9,"Sac State participates in SMUD’s Greenergy program. Sac State purchases a small amount of SMUD’s Greenergy product which is certified Green-e, and SMUD keeps the Renewable Energy Credits for this purchased energy. ",http://www.csus.edu/aba/sustainability/Documents/Sac%20State%20Campus%20Sustainability%20Report%202012%20-%202014.pdf,http://www.green-e.org/
Calvin College,2016-03-11,2016-03-11 14:31:13,bhaney@calvin.edu,2.0,Pursuing,254689.0,41.71,**,"The campus has 3 renewable electricity devices.  There is a solar roof that generates a quantifiable amount of electricity.  The other 2 devices, solar panels and wind turbine do not produce enough electricity to be quantified on this scale and are used for classroom teaching.",--,,--,,--,,--,--
Carleton College,2016-02-26,2016-02-26 11:19:28,mlarson@carleton.edu,2.0,Pursuing,191194.0,13526.0,**,"Carleton's second wind turbine, a General Electric XLE 1.6 MW turbine, was installed in the Fall of 2011 and provides electricity directly to Carleton's electric grid.  Carleton also has a 9 kW solar PV array which produces an annual average of 10 MWh per year.  ",--,Carleton has a solar panel array on its Cassat-James residence Hall which provides solar thermal heating for domestic hot water.  We do not currently have the ability to measure cumulative btu production.,--,"Carleton installed its first commercial-sized wind turbine in 2004.  This 1.65 MW turbine is connected to the public utility grid and provides 3900 - 4300 MWh of electricity annually.  Both the power and the Renewable Energy Credits are sold to the public utility, so Carleton cannot count this production as an offset to its annual GHG emissions inventory.",--,None at this time.,http://apps.carleton.edu/sustainability/campus/energy/,The performance year is considered to be fiscal year 2013.
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:07,bk11@andrew.cmu.edu,2.0,Pursuing,848590.0,50.0,**,"Carnegie Mellon University has three on-site renewable energy generating projects. There exists a 12 KW Photovoltaic system at 407 South Craig Street office building which is currently the largest solar installation within Pittsburgh. 

The Solar Decathlon House at 5045 Margaret Morrison St. is operated with both Photovoltaic and Solar Thermal systems.  Data and background information from both of these sites is available through our Green Practices web sites. 

http://www.cmu.edu/greenpractices/links/index.html

The Architecture Department, Intelligent Workplace, located on the 4th Floor of Margaret Morrison Carnegie Hall, is currently utilizing a solar thermal system to provide electricity and thermal energy under the premise of a research project.",--,"The Architecture Department's Intelligent Workplace, located on the 4th Floor of Margaret Morrison Carnegie Hall is currently utilizing a  bio-diesel generator to provide electricity and thermal energy under the premise of a research project. ",--,Carnegie Mellon University does not currently operate any off-site renewable electricity generating devices.,402131.0,"Carnegie Mellon University has sought to increase its purhcase of RECs in the past decade. This goal had come to fruition in the last few years, having RECs supply 100% of the University's electricity needs in the fiscal year 2013. ",http://www.cmu.edu/environment/energy-water/index.html,The provided data reflects the University's fiscal year 2013 energy consumption.
Case Western Reserve University,2016-03-25,2016-03-25 15:39:50,stephanie.corbett@case.edu,2.0,Pursuing,1420536.0,240.0,**,"One 156 foot, 100-kilowatt  wind turbine ",--,N/A,--,1 MW wind turbine and one 250kW wind turbine became operational at an off campus site.  1 MW of urban solar  - district utility owned - is within one mile of campus,--,N/A,http://www.case.edu/sustainability/what-were-doing/energy/,"The university has the following additional renewable energy projects that are not being counted above because they were completed in partnership with our district non-profit utility that is currently keeping the renewable recs:
- A solar research field - an engineering school project - electricity generated feeds a parking garage
- 1 MW of urban solar  - district utility owned - is within one mile of campus
- 100-killowatts of rooftop solar - 60 kw on Adelbert Gym and 40 kw on Tinkham Veale University Center
- Off-campus 1 MW wind turbine and one 250kW wind turbine that are tied to school of engineering research "
Chatham University,2016-02-17,2016-02-17 13:04:55,MWhitney@chatham.edu,2.0,Pursuing,237516.6475,15.1546,**,"The Eden Hall campus canopy, field lab, and Dairy Barn Café are combined into a 110 KW photovoltaic system with 408 panels. There are 240 on the canopy, 144 on the field lab, and 24 on the café. 
",128.23,"Micro-channel solar thermal hot water systems are on our largest residence halls on our Shadyside campus. Sixty-four collectors, covering 1270 square feet, produce 90kw at peak power, with total thermal storage of 2,260 gallons.",--,,40914.1276862,We use a Green-e Certified mix from Renewable Choice.,http://www.chatham.edu/outreach/sustainability/environment.cfm,--
Clark University,2016-02-24,2016-02-24 15:49:18,jisler@clarku.edu,2.0,Pursuing,177732.0,--,**,none,--,,--,"Beginning in January 2014, Clark is actively supporting and benefitting from a local solar energy farm operated by Solar Flair Energy. Through a state and federally supported program to encourage the development of renewable energy production facilities, called Alternative Net Metering, Clark was able to secure a 20-year financial arrangement with this local, independent innovator. Alternative Net Metering operates through a system of utility credits: Clark's electrical bills from National Grid receive a discount adjusted for solar energy farm production. Indirectly, Clark is powered by the sun — up to 10% of our annual (non co-generator produced) electrical usage! Real-time analytics from the farms are here and here. ",--,,http://www.clarku.edu/offices/campussustainability/sustainable-clark/energy-climate.cfm#2013,--
Clarkson University,2016-02-12,2016-02-12 07:37:46,sep@clarkson.edu,2.0,Pursuing,275857.0,4273.0,**,"2 MW solar PV installed on our property through NY SUN initiative.  RECs have been retired (by the state).  This system came on line November 2014, so its full potential was not realized in our performance year (FY15)",250.0,"150 kW high efficiency, low emissions wood pellet boiler is used to heat Walker arena",--,none,--,none,http://www.clarkson.edu/green/sustain_campus/energy_climate.html,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:14,sustain@coastal.edu,2.0,Pursuing,130385.05,--,**,N/A,--,N/A,--,N/A,4917.87,"Coastal Carolina University purchases 601 200kWh blocks per month from the Santee Cooper Green Power program. The Green Power generating portfolio includes six landfill generating stations, four solar arrays and one wind turbine. 


Weblink: https://www.santeecooper.com/portal/page/portal/santeecooper/environment/renewables/green_power_generation/green_power_sales?cmpID=greenpower",http://www.coastal.edu/administration/facilities/projects/projects/sustain/index.html,--
Colby College,2016-01-12,2016-01-12 15:54:13,ksbright@colby.edu,2.0,Pursuing,223281.04,3492.0,**,"Colby installed a co-generation turbine in 1999, producing about 10 percent of Colby’s electrical demand as a by-product of generating heat and hot water for the campus.",130941.0,"The biomass plant replaces approximately 1 million gallons of heating fuel with about 22 thousand tons of locally sourced wood chips and forest waste annually. The plant produces steam used for heat, hot water, cooking, and cogeneration of electricity.",--,N/A,48054.0,The College purchases Green-E Renewable Energy Credits that are 100% wind for all campus electricity needs.,http://www.colby.edu/green/greenhouse-gas-emissions/carbon-neutrality/,--
Colgate University,2016-02-28,2016-02-28 11:21:40,jpumilio@colgate.edu,2.0,Pursuing,436319.0,--,**,All of our electricity is purchased from our local municipality.  ,244799.0,"Colgate's wood-fired boiler processes approximately 20,000 tons of locally and sustainably harvested wood chips per year. Each year, this renewable and carbon neutral resource helps the university avoid consuming the equivalent of 1.2 million gallons of fuel oil and saves us over $1.8 million in heating costs.

We also grow some of our own energy in the form of fast-growing willow.  Our willow plot is located only a mile from campus on a 7.5 acre plot.  We anticipate harvesting about 100 tons of willow every 3 years over the next 30 years.",--,,16593.0,"In 2013 and 2014, we purchased 4,863 mWh of Green-e certified wind RECs from Sterling Planet.",http://www.colgate.edu/distinctly-colgate/sustainability/climate-action-planning/renewable-energy,--
College of Charleston,2016-02-29,2016-02-29 16:52:52,fisherb@cofc.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
College of the Atlantic,2016-03-23,2016-03-23 11:14:28,ademeo@coa.edu,2.0,Pursuing,11857.0,279.6,**,"Currently, COA has a residential 2.4kW wind turbine installed by students in the practicum in wind power course and eight solar arrays totaling 75kW of rated peak capacity, which were installed by students as part of energy course work. Additionally the college has 50KW of installed solar capacity on the college's Kathryn W. Davis Student Housing and at the College's nearby Peggy Rockefeller Farms installed by ReVision Energy of Liberty, Maine under a Power Purchase agreement with that company. ",1033.0,"In 2008, the college installed a 535,000 Btu central wood pellet boiler that provides heat and domestic hot water to 28,500 square feet of new building space-student residences and a 8,900 square foot campus center. The wood pellets are manufactured in Maine. The system consumes about 60 tons of wood pellets annually.",--,None.,2844.0,"All of the college's off campus generated electricity (93%) is covered by RECs purchased as the electricity is used in real time. The RECs are provided by Constellation New Energy and are called New Wind RECs generated by wind farms in the Midwest. They are Green-E certified. The amount of electricity provided by wind power and covered by RECs for FY15 was 844,741 kWh.",https://www.coa.edu/about/environmental-commitment/energy/, 
Colorado College,2016-02-29,2016-02-29 16:09:57,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,162724.69,843.0,**,"Colorado College introduced its first on-campus renewable electricity project in spring of 2008. Its 22-kilowatt array was the largest solar electric system in the Colorado Springs Utilities service area at the time of permitting. During 2011/2012, CC purchased panels for the Worner Center (63,000 kWh) and in 2012/2013 for KRCC (3,240 kWh) and the Children's Center (25,200 kWh). In 2014, CC installed new solar arrays on the El Pomar Sports Center (278,000 kWh/yr), the Cornerstone Arts Center (164,600 kWh/yr), the Spencer Center (18 kW array), Synergy House (4.3 kW array), and the Dean's house (10.7 kW array). In 2015, CC installed a new solar array at the Baca Campus (31 kW array).
",135.0,CC has a solar thermal array on the roof of the Worner Student Center. ,159.0,"CC owns 200 kW in the Bradley Community Solar Array as part of the Clean Energy Collective. Additionally, CC owns 250 kW of the Colorado Springs Solar Garden. ",10236.0,"The College purchased 2,000 mWh of wind energy from Colorado Springs Utilities with the associated RECs attached. ",http://www.coloradocollege.edu/offices/facilities/energy-management/,"Source Option 1: Calculated from the Cornerstone, El Pomar, and Synergy PV arrays.

Source Option 3: Calculated from 2 months of the Clean Energy Collective Solar Array from April to the end of the year June 30.

Source Option 4: Calculated from CC wind share with CSU + REC's donated from CSU from the Sun Share solar array. "
Colorado State University,2015-12-16,2015-12-16 16:39:08,tonie.miyamoto@colostate.edu,2.0,Pursuing,1624664.0,1188.0,**,"Colorado State University is home to 8 major photovoltaic arrays on campus. CSU retains the environmental attributes on 6 of those which are rated at a total of 237 KW.  An additional 5 systems will be installed on campus before the end of FY15.
",1939.0,"A biomass boiler on CSU campus generates hot water and displaces natural gas use. This plant has a rating of 46 bhp.
",--,"A meterological tower was installed as the first phase to investigate the viability of installing wind turbines on a 3000 acre university owned site, 100 miles east of the main campus.",14298.0,"One year of REC s were purchased to off-set the electric use in common spaces at the residence halls and two years of electricity were purchased to off-set the use of two new LEED certified buildings on campus.

CSU also purchases wind power from the local utility for some accounts. 

Additionally, Fort Collins Utilities recently awarded solar incentives for a total of 1,200 kW (1.2 MW) of solar projects on the CSU Campus.  These projects are in design & construction will start in September 2014.  When completed in 2015, there will be solar panels on the roofs of the Veterinary Teaching Hospital, the University Center for the Arts, the Students Recreation Center & three residence halls.",http://www.fm.colostate.edu/sustain/index.cfm?page=projects/energy,"CSU is the site host for 5,300kW (8.5M kWh/yr) solar plant on the foothills campus - one of the largest in the country and one of the largest associated with a college/university campus.  The RECs were sold to the local utility in order to finance the plant.  CSU will be able to claim the REC's in 2030. "
Columbia University,2016-01-13,2016-01-13 14:27:13,as3215@columbia.edu,2.0,Pursuing,2635159.0,--,**,N/A,--,"Four 2,000-foot deep geothermal wells are installed at Knox Hall. The geothermal wells, each eight inches in diameter provide heating and cooling by drawing ground water from the earth. The wells eliminate the less efficient chillers associated with more traditional systems and  the University projects energy savings of 50% - 60%.",--,,150797.68,Columbia has recently purchased two green power agreements for two buildings on the Manhattanville campus. ,http://facilities.columbia.edu/sustainability/energyefficiency#geothermal,"
"
Connecticut College,2016-02-28,2016-02-28 16:33:01,jstoffel@conncoll.edu,2.0,Pursuing,50259.0,--,**,Connecticut College currently owns and operates a 10kw solar photovoltaic system that has been offline this year for repairs. ,--,"Connecticut College current owns and operates a geothermal system consisting of 44, 500 foot deep wells that heat and cool our Science Center will have data on that system next year.",--,,--,,--,--
Cornell University,2016-03-18,2016-03-18 08:39:36,cma18@cornell.edu,2.0,Pursuing,3252197.0,14087.0,**,"Cornell owns and operates two hydroelectric generators.  The turbine manufacturer is Ossberger and the units are rated at 712 kw and 997 kw.  In addition, there are two solar photovoltaic installations of 15.0 and 2.2 kw.  ",516702.0,"Cornell has installed two solar hydronic hot water systems.  The systems use the solar energy to heat water in evacuated tube solar collectors.  The systems are designed to offset the need for fossil fuels to provide a portion of the heating and hot water needs of two campus facilities (23 total panels with 30 tubes each).  Each tube is rated at 1,000 btu/day at peak summer solar insolation.
 
Cornell also has a heat exchange facility (Lake Source Cooling) to produce up to 20,000 peak tons of chilled water for campus.  It generates renewable cooling by exchange heat to cold water from deep in Cayuga Lake saving 86% of the energy of conventional cooling (~25 million kWhr/year, about 10% of total campus electricity usage).",--,,--,,http://energyandsustainability.fs.cornell.edu/sustain/sustenergy/default.cfm,--
Creighton University,2016-02-24,2016-02-24 14:08:42,mjduda@creighton.edu,2.0,Pursuing,402766.0,460.0,**,"In June 2010, with the assistance of funding from the US Department of Energy and the Omaha Public Power District, Creighton University is deploying a variety of solar and wind energy collection systems on the grounds of the main campus.  Altogether, these collectors are capable of generating approximately 120 kW of clean, renewable energy.  The collectors and associated power inverting electronics include a broad spectrum of commercially available architectures chosen as part of student-oriented research project to evaluate the performance of these renewable energy systems in the climate of Nebraska.

",--,"A solar water heating system is installed on the Hixson-Lied Science Building and provides most, if not all, of the domestic hot water for the buildings.",--,,--,,http://www.creighton.edu/green/,--
Denison University,2016-02-15,2016-02-15 15:55:31,kingje@denison.edu,2.0,Pursuing,195379.0,89.0,**,The institution has a PV solar array located on the roof of the Library that generates over 7200 kWh annually; a PV solar array located at an alternative living site for students that generates around 12000 kWh annually; and a PV array located at its Biological Station that generates over 9000 kWh annually.,--,N/A,--,N/A,--,,--,--
