Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have policies and/or guidelines in place to improve outdoor air quality and ...,A brief description of the policies and/or guidelines to improve outdoor air quality and minimize ...,Has the institution completed an inventory of significant air emissions from stationary sources on ...,A brief description of the methodology(ies) the institution used to complete its air emissions ...,Weight of the following categories of air emissions from stationary sources:,Nitrogen oxides (NOx) emissions,Sulfur oxides (SOx) emissions,Carbon monoxide (CO) emissions,Particulate matter (PM) emissions,Ozone (O3) emissions,Lead (Pb) emissions,Hazardous air pollutants (HAPs) emissions,Ozone-depleting compounds (ODCs) emissions,Other standard categories of air emissions identified in permits and/or regulations,A brief description of the institution’s initiatives to minimize air pollutant emissions from ...,"The website URL where information about the institution’s outdoor air quality policies, guidelines ...",Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:15,mary.lucus@belmont.edu,2.0,Pursuing,True,"The university is investing in low emission vehicles for utilization on and around campus.  In 2012, 2 electric vehicles were purchased for use by User Services and Telecommunications.   In 2014, the university Security Department replaced four gas only vehicles with Ford Fusion Hybrids.  

Electric car charging stations have been installed in three parking garages on campus to encourage drivers on electric vehicles.  

The university provides no-charge MTA passes for students and staff to encourage use of public transit.

Vehicles are not allowed to idle while not in use at loading docks etc.",True,Belmont compiles all natural gas consumption for each calendar year from all sources across campus. We also capture all diesel fuel consumption throughout the year based on operating hours.  We then apply calculations based on the EPA Clean Air Act 40 CFR 52 (EPA AP-42 Emissions Factors Table) and the State of Tennessee Air Quality Regulation §1200-3-9-.02 to determine constituent emissions. These values are then submitted to the Metropolitan Nashville Health Department for compiling and reporting to the State of Tennessee Department of Environmental Compliance (TDEC). ,**,7.3,0.3,4.9,0.49,0.91,--,--,--,--,"•	The university is heavily investing in LED lighting technologies along with lighting controls to reduce burn time on as many places we could get to. This technology assists with reducing the heating and air-conditioning load on our buildings and results in less gas and electrical (thus power plant) consumption.
•	The university is continuing to invest in High Efficiency Condensing boilers, which reduces the volume of fuel required to condition our spaces.
•	Belmont is investing in “Green Roof” technologies to reduce the heating and cooling load on our buildings, along with “white roofing” materials to reduce cooling requirements.  
•      In 2015, high efficiency gas boilers were installed in the Jack Massey building to take the building off of the central steam loop powered by old technology boilers.
",http://www.belmont.edu/riskmanagement/env_health_safety/index.html,--
Beloit College,2016-03-23,2016-03-23 13:46:00,chapmanlr@beloit.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bentley University,2016-03-25,2016-03-25 15:59:09,nberland@bentley.edu,2.0,Pursuing,--,N/A,True,"Bentley does not have a central plant or decentralized plants on campus.  
All buildings contain boilers for hot water.  33% of the campus building portfolio is heated via electric heat while 67% is heated via hot water (gas boilers in each building). The university has back-up generators that are tested on a schedule and infrequently used.  We therefore conclude that the campus does not have a significant air emissions from stationary sources.",**,--,--,--,--,--,--,--,--,--,N/A,--,--
Berea College,2016-02-29,2016-02-29 10:22:25,paulyj@berea.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Binghamton University,2016-03-20,2016-03-20 17:32:41,sdejohn@binghamton.edu,2.0,Pursuing,True,Most light duty campus fleet has been replaced with strictly plug-in electric vehicles for on-campus use only. Signs are posted in public parking lots to prohibit vehicle idling while in park. Finally Binghamton University and local public transit operator cooperate so that faculty and students can use public transportation simply by showing a proper University issued ID. ,True,Emission testing and material balance methods are used to determine emission factors of stationary sources.,**,78.6,76.0,9.4,62.8,--,--,7.0,--,--,Binghamton University has committed to stop purchasing coal after 7/1/2016 and will convert the existing central heating plant facility to burning primarily biomass with natural gas as supplemental fuel. A project is also underway to install an electrostatic precipitator to reduce the air born particulate matters emissions from wood burning process.,--,--
Boston University,2016-03-03,2016-03-03 13:42:01,carlberg@bu.edu,2.0,Pursuing,True,BU has been switching its fuels to natural gas as much as practical which results in inherently lower emissions.  BU has implemented carpooling incentives and has purchased a number of hybrid vehicles to reduce overall emissions from mobile sources.,True,"BU visits all of its buildings on campus, inventories all emission producing equipment and calculates potential emissions using emissions guarantees and EPA-approved emission factors for criteria and GHG emissions.  Actual emissions are calculated using the fuel use or run times of each piece of emission producing equipment.  ",**,39.26,6.48,29.85,3.84,--,--,2.25,--,54365.2,BU has been switching its fuels to natural gas as much as practical which results in lower emissions.  ,--,--
Bowdoin College,2016-02-25,2016-02-25 17:01:01,cpayson@bowdoin.edu,2.0,Pursuing,True,"The college  has implemented a 'No Idling' policy on campus. Employees using Bowdoin gasoline or diesel powered vehicles and light trucks should turn them off if idling more than 30 seconds. Larger diesel vehicles operating under heavy load should be allowed to idle for 3 minutes to cool down. Finally, vehicles should not be left running while unattended. Visitors to campus, including buses and contractor/vendor vehicles are subject to this policy. 'No Idling' signs are placed strategically around campus. Additionally, Bowdoin is transitioning to electric battery powered tools for landscaping. With electric battery powered blowers and string trimmers already in use, Bowdoin hopes to add electric battery powered mowers in the near future. ",True,A report of criteria pollutants is submitted annually and the HAP emissions are submitted every three years (last year was a HAP reporting year). The emission factors are based on the current facility air emission license which uses either EPA's AP-42 (Compilation of Air Pollutant Emission Factors) or any DEP Regulations or Guidances that take precedence over AP-42.,**,9.55,1.77,7.05,6.63,0.01,0.01,--,0.01,--,"The primary initiative that has greatly reduced emissions has been switching to natural gas which burns much cleaner than oil. Bowdoin also maintains its equipment to operate at optimal efficiency to minimize fuel thus reducing emissions. At the Heating Plant, an on-going project to replace the older units with new high efficiency boilers has significantly reduced emissions and fuel use, and increased energy efficiency. Replacing steam lines also helps to reduce heat loss. ",--,--
Brown University,2016-03-23,2016-03-23 07:27:05,Ginger_Gritzo@Brown.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:31,gvalenti@bryant.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:28,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:50,nbartlett@cca.edu,2.0,Pursuing,True,"As a forward thinking, design focused institution, our policies and guidelines are developed with consideration of the lifecycle implications of our choices and to help guide sustainable, energy efficient, and innovative strategies whenever possible.
 
CCA does not own or operate a fleet of vehicles and has a insignificant mobile emissions footprint. We are a public transit oriented institution. We encourage and accommodate the use of alternate transportation through campus design and operational support.
We encourage faculty, students and staff to use public transportation for their commuting needs, including travel to and between the two campuses. To supplement public transportation options, CCA contracts with an outside vendor to provide limited shuttle service between the Oakland and San Francisco campuses and Webster Hall. ",True,"CCA has limited stationary sources of emissions on either campus and insignificant emissions. We have completed ASHRAE audits. We comply will all city, state and federal reporting requirements.",**,1.0,1.0,1.0,--,--,--,--,--,--,"CCA is committed to using sustainable and energy efficient operations. We use high efficiency mechanical equipment and systems including on demand boilers, hot water heating loops, occupancy sensors, and advanced controls technology to manage system operation. We comply with all California Title 24 requirements in all new buildings and construction. We comply with Bay Area Air Quality Management District testing and monitoring requirements for stationary sources. ",http://www.baaqmd.gov/Divisions/Planning-and-Research/Rules-and-Regulations.aspx,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:40,dan.wakelee@csuci.edu,2.0,Pursuing,True,"The institution has done surveys on the percentage of the heating plant that has lead boilers that have low Nox emissions rates and have found that percentage to be 75-100%. We have set guidelines on the percentage of ozone depletion refrigerants, which we have found to be 0-50% depending on type of refrigerant. Recovery facilities that comply with federal guidelines and requirement for on-site ozone depleting substances. Maintenance, loss, and leak test reporting is done periodically. Additionally, we are also mandated by the CSU Chancellor's office to reduce Greenhouse Gases to the 2008 levels or below by 2020. ",True,"Surveying percentages of the heating plant that has lead boiler, records kept for ozone depletion refrigerant  maintenance reports, loss reports, and leak test reports done. Records, maintenance, and surveys on air emissions, ozone depletion, water effluents, hazardous materials and hazardous products. We also do periodic Greenhouse Gas Inventories through Clean Air Cool Planet's worksheet. ",**,--,--,--,--,--,--,--,--,507.0,"Tree plantings and energy conservation are the two biggest ways, currently, that CI is mitigating for emissions. We have regular tree plantings and restoration that are carbon sinks, while continually trying to reduce energy consumption.",--,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:24,mmoscol@fullerton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:28,austin.eriksson@csun.edu,2.0,Pursuing,True,"The CSU passed a Sustainability Policy in May of 2014. Below are the sections regarding pollution and GHG emissions:
Climate Action Plan  
1. The CSU will strive to reduce systemwide facility greenhouse gas (GHG) emissions to 1990 levels, or below, by 2020 consistent with AB 32, California’s Global Warming Solutions Act of 2006 (HSC §38550). Emissions will include both state and auxiliary organization purchases of electricity and natural gas; fleet, marine vessel usage; and other emissions the university or self-support entity has direct control over. The Chancellor’s Office staff will provide the baseline 1990 facility emission levels (for purchased electricity and natural gas) for the campuses that existed at that time and assist campuses added to the CSU after 1990 to determine their appropriate baseline. (14-New)   
2. The CSU will strive to reduce facility GHG emissions to 80 percent below 1990 levels by 2040. Campus tracking and reporting of their GHG inventory will be grounded in the American College and University President’s Climate Commitment guidelines or equivalent, with consideration to campus requested improvements. Metrics will include GHG emissions per FTE. (14-New)  
3. The CSU will encourage and promote the use of alternative transportation and/or alternative fuels to reduce GHG emissions related to university associated transportation, including commuter and business travel. (14-New) ",True,CSUN is required to report our annual emissions to the SCAQMD  every year. We use inventories and mass balance to determine emissions.,**,1.72,0.02,1.13,0.28,--,--,--,0.199,--,The University has a Climate Action Plan that lays out the strategies for reducing emissions from stationary sources.,http://www.aqmd.gov/,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:07,kristina.cullen@csus.edu,2.0,Pursuing,True,"Mobile Sources
The campus is guided by Executive Order 987, AB-32, and our Sustainability Policy. The three constants contained in all three documents are as follows: reduce energy consumption, reduce GHG emissions, and increase renewable energy generation. 
Facilities Management:
One of the ways we have tried to achieve reductions in GHG emission as it relates to mobile sources, is we have installed 14 electric vehicle charging stations available for public use. This project was completed in the last 3 years.  There are four stations located in Parking Structure 1, seven located in Parking Structure 2, and three located in Parking Lot 1. We also have 2 additional electric vehicle charging station not for public use. One is located at Sacramento Hall for administration and one in Parking Structure 1 in a fenced in area for the University Transportation and Parking Services (UTAPS).
Another method Sac State has used to reduce mobile GHG emissions, is by phasing out gasoline powered vehicles. We now have 135 electric facility carts/small trucks. We have 6 forklifts which in the past were powered by diesel fuel, but were replace by propane powered over the last 3 years.  

University Transportation and Parking Services (UTAPS):
Beginning September 2015 Facilities Management Sustainability personnel began collecting post-consumer food waste for the express purpose of taking it to a local facility ""Clean World"" where it is processed into Bio Compacted Natural Gas. In our first semester with this new program we have delivered 26.49 tons of food waste that would have otherwise ended up in the landfill. The Bio CNG is then sold to our UTAPS department which uses it to power its entire Hornet Express fleet, which is a free service to any student with a valid One Card ID.
 “CNG vehicles emit 95% less pollution (depending on the pollutant) than a gasoline or diesel fueled vehicle. Natural gas is almost always significantly less expensive than petroleum, which means reduced fuel costs for Natural Gas Vehicle (NGV) operators.”
http://csus.edu/aba/utaps/
Something else that UTAPS does to help ensure cleaner air is to have ‘Heat Maps’ on their Facebook page. These maps indicate which parking lots and parking structures are full(er) and should therefore be avoided. This leads to less time idling in cars which also helps to reduce carbon emissions.
https://www.facebook.com/SacStateUTAPS",True,"Records of all refrigerants used on campus are kept, as well refrigerant replacement because of leaks at each campus location where refrigeration equipment is used.  The majority of refrigerants used on campus are HCFC & HFC types, which represent approximately 74% of all refrigeration material used in all equipment on campus. However, the campus still has a few small systems on campus which still use R-22, which represent about 26% of our total refrigerant used on campus. These reports are updated annually. 
Sac State keeps records of the boilers and emergency generators usage and tracks the emissions. 
",**,2014.9,--,25102.8,--,--,--,--,--,--,"Sac State operates under Sacramento Metropolitan Air Quality Management District (SMAQMD), and fully complies with all rules and regulations as they pertain to maintaining good air quality regarding stationary sources, including for example, permitting all stationary sources over 50 BHP. Sac State also has several stationary sources which were certified by SMAQMD as low Nox equipment. ",http://www.calstate.edu/cpdc/sustainability/policies-reports/documents/JointMeeting-CPBG-ED.pdf,"http://www.calstate.edu/cpdc/sustainability/policies-reports/documents/JointMeeting-CPBG-ED.pdf
http://www.calstate.edu/eo/EO-987.html
http://www.arb.ca.gov/cc/ab32/ab32.htm
"
Calvin College,2016-03-11,2016-03-11 14:31:11,bhaney@calvin.edu,2.0,Pursuing,--,,--,,**,--,--,--,--,--,--,--,--,--,,--,--
Carleton College,2016-02-26,2016-02-26 11:19:27,mlarson@carleton.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:05,bk11@andrew.cmu.edu,2.0,Pursuing,True,"There are signs posted at every loading dock and building air intake requiring that vehicles or lawn mowers, not idle in the area, or if parked to turn off their engines.",--,"Carnegie Mellon conducts an annual greenhouse gas inventory using the Clean Air Cool Planet calculator for Scope 1, 2 and 3 sources.  University stationary sources, i.e. emergency generators, are only used for testing purposes, and have not been a significant source of air emissions.",**,--,--,--,--,--,--,--,--,--,,http://www.cmu.edu/environment/energy-water/greenhouse-gas-inventories/index.html,--
Case Western Reserve University,2016-03-25,2016-03-25 15:39:45,stephanie.corbett@case.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Chatham University,2016-02-17,2016-02-17 13:04:53,MWhitney@chatham.edu,2.0,Pursuing,True,"Anti-idling for all diesel vehicles, and no idling over 5 minutes for other cars.",True,"We do not have a central plant, but do have natural-gas-powered boilers.  The fuel use for these is calculated from energy billing data.",**,0.0067,0.0035,3361.8,--,--,--,--,3.19,--,Chatham has been upgrading and replacing manifolds on our natural gas boilers as they age out or need repair (at least two so far over the last three years).,--,--
Clark University,2016-02-24,2016-02-24 15:49:16,jisler@clarku.edu,2.0,Pursuing,True,"No idling policy in place, including signs at loading docks. Campus police are supplied with bicycles and trained in how to use them to replace cruisers in the warmer months. Electric vehicles are being phased in as campus fleet is updated, including golf carts for trades and electric trucks for services. Mail is hand-delivered across campus. Vendors are asked to park and carry rather than idle when they have multiple deliveries.",True,It is part of the required source registration report for Mass DEP. Clark is classified as a small energy producer.,**,1.83,0.01,0.84,0.14,--,--,0.04,--,0.08,We replaced the 30+ year old co-generation engine in 2013 with a much more clean and efficient engine. We have replaced all but 1 oil burning furnaces in satellite locations and are now almost entirely burning cleaner natural gas.,--,--
Clarkson University,2016-02-12,2016-02-12 07:37:45,sep@clarkson.edu,2.0,Pursuing,--,,--,,**,--,--,--,--,--,--,--,--,--,,--,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:13,sustain@coastal.edu,2.0,Pursuing,--,,--,,**,--,--,--,--,--,--,--,--,--,,--,--
Colby College,2016-01-12,2016-01-12 15:54:11,ksbright@colby.edu,2.0,Pursuing,True,"Our Physical Plant Department has a no idling policy for its entire fleet.  We also have signage at all loading docks to prevent contractors and shippers from idling.  Lastly, when replacing vehicles in our fleet, we select new models with higher fuel efficiency and fewer emissions.",True,"In compliance with EPA and Maine DEP regulations, Colby regularly monitors and applies for licenses for all of our air emissions from each of our nine major stationary sources. ",**,25.6,8.7,7.2,2.2,--,0.0031724,0.0832312,12.3,0.2,"In 2011 Colby opened a biomass plant which has state-of-the-art emission reduction technologies (such as an electro-static precipitator), which supplies 90% of the College's steam and 10% of our electricity.  We also have an initiative to replace all of our remaining oil usage at the steam plant with natural gas, which is cleaner burning than oil.",http://www.colby.edu/green/greenhouse-gas-emissions/,--
Colgate University,2016-02-28,2016-02-28 11:21:39,jpumilio@colgate.edu,2.0,Pursuing,True,We have an anti-idling policy for our vehicle fleet and also a no-smoking policy within 25 feet an any building.  ,True,Our wood boiler and fuel oil boilers are tested regularly for nitrogen oxides (NOx) and sulfur oxides (SOx) and particulates.  We have always met NYS Department of Environmental Conservation and EPA guidelines.  ,**,30.0,42.0,59.0,50.0,--,--,--,--,--,We recently switched from fuel oil to natural gas as our back up to wood.  This will further improve air quality in our local area and the data should be available to report next year.,--,--
College of Charleston,2016-02-29,2016-02-29 16:52:50,fisherb@cofc.edu,2.0,Pursuing,True,"The College of Charleston has implemented a Tobacco Free campus, prohibiting smoking on all campus property. ",--,,**,--,--,--,--,--,--,--,--,--,,http://tobaccofree.cofc.edu/,--
College of the Atlantic,2016-03-23,2016-03-23 11:14:23,ademeo@coa.edu,2.0,Pursuing,True,We have no idling on campus.  Signs are posted during the summer so that visitors and guests will comply. ,True,"Based on EPA emissions rules, we have no stationary sources of significant air emissions on campus. We have a comprehensive list of all of our boilers, furnaces and generators, the largest of which is an H.B. Smith 19 Series 9, 1992, 863,000 BTU/hr oil boiler. The majority of boilers are of residential scale. 
",**,--,--,--,--,--,--,--,--,--,,--,--
Colorado College,2016-02-29,2016-02-29 16:09:56,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,True,CC facility guidelines state to only run on fuel oil in emergency situations or training sessions. This minimizes air pollutants produced from fuel oil. ,True,Calculations used to determine the heating plant’s air emissions are based upon State of Colorado adopted emission factors noted in the permit to operate conditions required by the State. ,**,7.83,--,1.94,0.01,--,--,--,--,0.14,"Colorado College has undergone many progressive initiatives to minimize its air pollutants, including updating its burner control systems, installing a flue stack gas heat recovery system, and implementing a direct contact flue gas economizer. CC has moved its natural gas supply to firm to avoid service interruptions during which time it burns #2 fuel oil. 

",--,These numbers represent emissions from the central heating plant and do not include emissions from managed properties.  The managed properties are largely heated through natural gas and electricity.  These emissions are not significant nor feasible to measure at this time.  
Colorado State University,2015-12-16,2015-12-16 16:39:06,tonie.miyamoto@colostate.edu,2.0,Pursuing,True,"CSU Police ticket and enforce the Colorado policy (42-4-1206 co. statute) prohibiting idling.

In addition, CSU has committed to retaining the core of campus as a Pedestrian campus & restricting vehicular access through campus policies.  These policies are central to campus character & safety, but also critical to preserving high air quality standards in these areas.  One of the components of furthering this strategy is the new ""Around the Horn"" bus service that has been funded jointly by ASCSU (student government) and the university administration.  This service provides transportation around campus and reduces vehicle trips within campus boundaries.",True,"CSU owns and operates numerous stationary sources of air emissions including boilers, generators and incinerators.  Many of these sources are covered by an air emission permit or Air Pollution Emission Notice (APEN). CSU calculates air emissions from boilers using the type and amount of fuel consumed, and applying emission factors from AP-42 or based on manufacturer information. Emissions from generators are calculated based on actual run-time and manufacturer supplied emission factors. Incinerator emissions are estimated based on fuel type, allowable charge rate, and emission factors from AP-42.",**,118.9,3.1,49.0,6.6,3.8,--,--,--,--,"Initiatives in the last three years that have helped to reduce air emissions from stationary sources include the following:

•	Retrofitting the boiler system at the Fisheries lab in order to improve the efficiency of operation.  The boiler was short cycling, so a tank was added to lengthen time between on/off intervals thus reducing emissions from multiple starts.

•	Evaluation of the incremental increase in air pollutants emitted with each major project that represents additional air emissions, e.g. cogeneration, large biomass, etc. Some projects have been shelved due to air emissions considerations.  Evaluation of alternative sources to provide heat on campus that do not increase air emissions, such as geothermal energy.

 - Retrofitting several residence hall facilities (originally built in the 1950s & 1960s) to dramatically improve the R value of the building skin.  Energy used for heating the buildings was cut by nearly 40% thus reducing pollutants associated with burning natural gas for heat.                                                                                                                                                       - Coordination with Xcel Energy for the installation of electrical substation, and construction of underground electrical lines on Foothills campus to make the power more reliable and reduce reliance on standby generators


",--,--
