Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Materials diverted from the solid waste landfill or incinerator,Materials disposed in a solid waste landfill or incinerator ,"A brief description of programs, policies, infrastructure investments, outreach efforts, and/or ...",A brief description of any food donation programs employed by the institution,A brief description of any pre-consumer food waste composting program employed by the institution,A brief description of any post-consumer food waste composting program employed by the institution,Does the institution include the following materials in its waste diversion efforts?,"Does the institution include paper, plastics, glass, metals, and other recyclable containers in its ...",Does the institution include food donations in its waste diversion efforts?,Does the institution include food for animals in its waste diversion efforts?,Does the institution include food composting in its waste diversion efforts?,Does the institution include cooking oil in its waste diversion efforts?,Does the institution include plant material composting in its waste diversion efforts?,Does the institution include animal bedding composting in its waste diversion efforts?,Does the institution include batteries in its waste diversion efforts?,Does the institution include light bulbs in its waste diversion efforts?,Does the institution include toner/ink-jet cartridges in its waste diversion efforts?,Does the institution include white goods (i.e. appliances) in its waste diversion efforts?,Does the institution include laboratory equipment in its waste diversion efforts?,Does the institution include furniture in its waste diversion efforts?,Does the institution include residence hall move-in/move-out waste in its waste diversion efforts?,Does the institution include scrap metal in its waste diversion efforts?,Does the institution include pallets in its waste diversion efforts?,Does the institution include motor oil in its waste diversion efforts?,Does the institution include tires in its waste diversion efforts?,Other materials that the institution includes in its waste diversion efforts,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:17,mary.lucus@belmont.edu,2.0,Pursuing,435.2,1372.5,"Belmont has a single stream recycling program which is collected by Metro Nashville.  In addition, we have a dedicated cardboard compactor, mixed recycling at Gabhart and Wedgewood Buildings, metal recycling, and front end loader mixed recycling at Dickens.  Partitioned compactors have been installed at the Johnson Center and Wedgewood building for collection of recyclables.","Each year Sodexo hosts a food drive from the second week of October to November 12th and this year is no different. In efforts to provide the Second Harvest Food Bank we are hosting a stuff the bus campaign, battle of the chefs- cake donations, and 5 cans of food for a free lunch. ",,,**,True,--,--,True,True,True,--,True,True,True,True,--,--,True,True,True,--,--,"Flourescent lights.

The College of Health Sciences include:
•	Going Green – robust recycling program uses donated, expired medical supplies from area hospitals and clinics for student practice and simulation.
•	Donated supplies, e.g., IV bags and tubing, syringes and needles, catheters, chest tube kits, etc., are used, cleaned and re-packaged multiple times by student workers.
•	In 2014, this program generated an estimated $14,000 per semester savings and kept large amounts of hazardous waste from area landfills.
",--
Beloit College,2016-03-23,2016-03-23 13:46:10,chapmanlr@beloit.edu,2.0,Pursuing,59.6,265.4,"Beloit College offers a recycling program throughout campus that accepts co-mingled items such as paper, cardboard, glass, plastics, and aluminum cans.  The Office of Sustainability and the Facilities department have tried to place a recycling bin next to every trash bin to provide the opportunity to recycle wherever there is an opportunity for trash.
The Office of Sustainability has continually placed signs up about what can and cannot be recycled, near every recycling and trash bin combination.
The Office of Sustainability holds a Recycling Competition each fall where student dorm floors and houses compete against each other to see which floor has the purest recycling streams and the purest trash streams.  Volunteer judges become experts on what can and cannot be recycled in Beloit, WI., as this varies from where students originate from around the country and world.","The College is a Food Recovery Network location, which means students collect leftover food from the buffet-style cafeteria, package it, and drive it over to a local food pantry 3 miles from campus.  The food is then distributed to individuals and families struggling with hunger.  Additionally our Diving Services provider, Bon Appetit donates large amounts of one-time leftovers (e.g. lunch boxes from Commencement) to a men's shelter called Overflowing Cup.",,,**,True,True,--,True,True,True,--,True,True,True,--,--,--,True,True,--,--,--,,Weights for all diverted material other than co-mingled recyclables are NOT reflected in our reported numbers.
Bentley University,2016-03-25,2016-03-25 15:59:18,nberland@bentley.edu,2.0,Pursuing,473.86,472.97,"Bentley has a thriving single-stream recycling program.  We revamped the entire waste program in summer of 2014.  The revamp included rightsizing our recycling system, co-locating all recycling and trash and switching compactors to make recycling more convenient in some locations.  We spent $100,000 in infrastructure improvements to make this happen.  The results were amazing.  We increased our diversion rate from 35% to over 50% in just a few months.  We had to do a lot of education around the changes, but we got great buy-in from the community.

Give 'N Go is the Spring Sustainable Move-Out Program that reduces trash generation, encourages community via student exchange, and promotes donation because it provides a smart, convenient solution to redistribute reusable items that students no longer need or want. Students will be allowed to swap items at the donation stations to encourage the reuse of goods. All goods left at the end of the day are donated to local charity such as Mass Coalition for the Homeless, Goodwill, and Middlesex Human Services (Bristol Lodge Shelters).

As of February 2012, Bentley's kitchens' grease containers are picked up and recycled by Cape Cod Biofuels.  This is a local company that makes biofuel from the used cooking oil.

Bentley has an extensive E-waste program including a program for Bentley-owned electronics.  The Bentley community is encouraged to recycle ink cartridges, batteries and small electronics on campus through drop-off stations.",N/A,The pre-consumer compost gets separated in the kitchens at the point of generation in a toter system that is stored in between pick ups on our loading docks.   Our waste hauler picks up the compost twice a week.,The post-consumer waste is collected only at our dining hall where students dispose of their plates at a dish window.  The Sodexo staff then separate the compost behind the scenes. This food gets comingled with the pre-consumer waste in toters and gets picked up twice a week.,**,True,--,--,True,True,True,--,True,True,True,True,True,True,True,True,--,True,True,,--
Berea College,2016-02-29,2016-02-29 10:22:27,paulyj@berea.edu,2.0,Pursuing,1223.6,456.34,"Beginning 2013, a collaboration between the Office of Sustainability, Facilities Recycling, Dining Services and Residential Life focused on current waste diversion systems and opportunities for improvement.  Based on a review, it was determined to single stream recycling in residence halls and provide standardized bins and signage.  Administrative building captains were enlisted to help determine traffic flow and uniform bin placement for higher recycling participation and successful sorting in administrative buildings (admin buildings sort paper from bottles and cans).  Pizza box collection from residence halls was instituted for composting at our college farm, and a Green Events system was launched to help plan zero waste events on the front end of the event process and student Recycling Ambassadors to capture compost and recycling during the event.  Beginning 2014-2015 we instituted a consistent monthly data tracking system to capture all of our waste diversion and landfill weights.  This information is displayed on our public data dashboard:  http://sustainbc.wpengine.com/   The Office of Sustainability developed a recycling game used at major campus events as a fun way to engage students, faculty, and staff.",  ,"The Berea College Dining Program is operated by Sodexo. As part of its
commitment to reduce organic waste, support local communities and lower its
carbon footprint, Sodexo implemented the LeanPath food waste prevention system
in the Berea Mountaineer Dining Hall in March 2012.  In less than one year of implementing the LeanPath food waste prevention system,
Berea College reduced its pre-consumer food waste by 49% year-over-year and lowered
plate cost significantly. They have re-invested the savings to provide Berea students with a 4% increase in locally-grown foods without raising prices to students or increasing overall food costs.  All remaining pre-consumer food waste is composted at the college gardens.

You can read the full case study of the LEAN Path implementation here:  http://www.leanpath.com/case-studies/
","Plate waste and unbleached recycled content napkins are collected in the dining hall at 90% of meals.   Labor students from the college farm collect receptacles daily, and waste is composted at the college farm.  102,761 pounds of pre-and post consumer food waste were collected for composting last year.  The college instituted a pizza box composting program during academic year 2014-2015 with the college gardens. ",**,True,--,--,True,True,--,--,True,True,True,True,--,True,True,True,True,--,--,Construction,--
Binghamton University,2016-03-20,2016-03-20 17:32:44,sdejohn@binghamton.edu,2.0,Pursuing,741.8,1843.5,"See website for details:

http://www.binghamton.edu/sustainability/campus-initiatives/waste-reduction-recycling.html","Each year, the University’s Office of Recycling and Resource Management organizes Move-Out Week, collecting unwanted food and clothing when students leave campus after spring semester. Bins are placed in all residential communities so students can donate items they don’t plan to take home.","All dining halls are set up with compost barrels at prep- stations to collect pre-consumer food waste. These are sealed with a lid and placed onto the dining hall loading dock, where the barrels are then picked up by interns and student assistants from the Office of Recycling and Resource management. ","All dining halls at Binghamton University are involved in composting kitchen prep material. The scrap food is collected and composted on a local farm. Once composted, the material is returned to the University and used in a variety of areas by the grounds department.",**,True,True,--,True,True,True,--,True,True,True,True,--,True,True,True,True,True,True,,--
Boston University,2016-03-03,2016-03-03 13:42:04,carlberg@bu.edu,2.0,Pursuing,3751.0,5818.0,"In November 2009, the University began to roll out the recycling infrastructure needed to support a more complete recycling program. This project was completed during the spring 2010 semester. The campus was divided into sections to best implement the system. Each week a new area was addressed by a team from Facilities Management & Planning, the Sustainability Liaison from the school or college, and a representative from Save That Stuff, the University’s recycling vendor. The team walked each floor in every building within the area to design a system that would integrate the recycling and waste stream systems to increase the convenience of recycling and reduce the volume of the University’s waste.","Dining Services donates on a daily basis to several local food banks and shelters through BU's Community Service Center’s Student Food Rescue (SFR) which was founded by a group of BU student volunteers in the spring of 1988, and has since become an integral part of the CSC.
Volunteers collect nearly 150,000  pounds of food annually from Boston restaurants, supermarkets, bakeries, grocery surplus facilities and coffee shops. SFR organizes 26 food runs, which salvage food from donor sites and deliver it to area pantries and shelters. SFR also organizes other one-time opportunities and events throughout the year, specifically during Hunger Awareness Week in the fall.","BU's pre-consumer food waste program started in 2008 and has expanded to almost every location on campus (18/20 locations). Barrels are provided for employees to dispose of all organic waste including food waste, paper towels, compostable tableware, coffee grounds and anything else organic in the kitchen that needs to be disposed of. Each semester, training is provided for employees on how to sort. Organics are sent to one of several compost farms in the Boston area.","BU's post-consumer food waste program started in 2008 in the residential dining halls and since, has spread to retail locations as well. Universal signs are posted at retail locations with instructions on how to sort waste. Most tableware on campus is compostable, allowing for it to go into the compost bin. Also, waste from staffed catered events is always diverted to compost, and customers have the option to divert organics at their non-staffed events. The Massachusetts DEP has used Boston University Dining Services as a case study to assist other institutions in the state to prepare for the organics waste ban, effective July 2014.  Boston University Dining Services was also the recipient of Mayor Menino and the City of Boston's Sustainable Food Leadership Award in 2012 for our commitment to sustainable food service, including our composting efforts.",**,True,True,--,True,True,True,True,True,True,True,True,True,True,True,True,True,--,--,,"http://www.bu.edu/sustainability/what-were-doing/waste-reduction/
http://www.bu.edu/sustainability/campus-resources/reduce-reuse-recycle/
http://www.bu.edu/sustainability/campus-resources/reduce-reuse-recycle/exchange/
http://www.bu.edu/dining/about-us/sustainability/re/"
Bowdoin College,2016-02-25,2016-02-25 17:01:04,cpayson@bowdoin.edu,2.0,Pursuing,510.64,388.0,"Bowdoin is committed to increasing its waste diversion rate through efforts to change students daily waste habits. The Sustainability Office's EcoRep program and the Residential Life Office's proctors and resident assistants help spread awareness of how students can be more conscious of their waste behaviors day to day. Students are educated on what can be composted or recycled and where those materials belong when they are disposed of. New, easily distinguishable zero-sort recycling dumpsters have been installed at all campus apartment complexes and each of the 8 College Houses have installed composting cones.","Bowdoin works very closely with the Midcoast Hunger Prevention Program (MCHPP). Through the Food Forward initiative, student volunteers deliver unused food from the Dining Service to MCHPP. Additionally, sports teams are encouraged to send their leftover snacks from games to Food Forward. During move-out, Bowdoin also collects and sends all of the leftover food to MCHPP. ",Bowdoin recently partnered with a local composter to minimize food-waste in the landfill. Both dining halls send all of the pre-consumer waste to the local compost facility.  During the first part of the performance year post-consumer food waste was being picked up by a local pig farm.,"Bowdoin composts all post-consumer food waste from Thorne Hall and is exploring options of composting food waste from the Smith Union dining operations. 
During the first part of the performance year post-consumer food waste was being picked up by a local pig farm.",**,True,True,True,True,True,True,--,True,True,True,True,True,True,True,True,True,True,True,"Technotrash, soft plastics.",--
Brown University,2016-03-23,2016-03-23 07:27:14,Ginger_Gritzo@Brown.edu,2.0,Pursuing,670.3,2213.0,"A number of programs and policies contributed to this year's diversion rate.  The library system partners with Better World Books to dispense unwanted and
unneeded textbooks and other collegiate literature for resale.  Donation bins are available year round on campus, and when full, the contents are donated to the Furniture Bank, a local charity.  Clean Break is a move out program encouraging students (especially seniors) to donate their unwanted or unneeded clothing, electronics, food, household items, school supplies, and books to the local community.  Other programs include solar powered trash compactors, electronics recycling, paperless offices, toner cartridge recycling, battery recycling, and light bulb recycling.
","Since 2005, Brown Dining has donated to local food to local organizations including: The Rhode Island Community Food Bank, Providence Rescue Mission, Boys & Girls Club, Mary House, Pawtucket Soup Kitchen, Crossroads Family Center, City Year, and Camp Street Ministries.","All pre-consumer waste at Brown's primary food prep facility is diverted via biodiesel, compost, or animal feed.
","Most of our post-consumer food waste is sent to the landfill.  We are currently positioned for front-of-house organics diversion starting July 1, 2016.",**,True,True,True,True,True,True,--,True,True,True,True,True,True,True,True,True,True,True,,--
Bryant University,2015-08-19,2015-08-19 14:50:34,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:30,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:52,nbartlett@cca.edu,2.0,Pursuing,370.0,640.0,"Waste diversion is major component of our curriculum, our operations, and our waste management company. We operate a materials re-use center to capture all reusable or upcyclable materials from student, faculty and staff project work. https://www.cca.edu/about/administration/studio-resources/backlot

We partner with a local organization called KIDmob that reclaims and distributes project materials into classrooms. http://kidmob.org/about/

We partner with Recology and employ their three bin system on both campuses including educational signage and labeling system. http://www.recologysf.com/index.php/for-businesses/commercial-recycling-compost-trash#composting",Annual food drive,We partner with Recology and employ their three bin system on both campuses including educational signage and labeling system. http://www.recologysf.com/index.php/for-businesses/commercial-recycling-compost-trash#composting,We partner with Recology and employ their three bin system on both campuses including educational signage and labeling system. http://www.recologysf.com/index.php/for-businesses/commercial-recycling-compost-trash#composting,**,True,--,--,True,--,True,--,True,True,True,True,--,True,True,True,True,--,--,,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:43,dan.wakelee@csuci.edu,2.0,Pursuing,328.93,241.53,"Educational signage on, near, and around waste/recycle bins in high traffic areas. Periodic recycling drives run by students are used to promote recycling and reusing. The implementation of hydration station refill areas around campus promote the use of refillable water bottles instead of plastic. These stations are located in most buildings on campus, convenient for all students to use. 
",,CI garbage waste management program supplies unique containers to food service kitchens where pre-consumer waste is collected for composting.,,**,True,--,--,--,--,True,--,True,True,True,True,True,True,True,True,True,True,True,Channel Islands sent off 6 boxes of donation books to the Better World Books Company. these books are books not being used within our campus or any other Follett Campus.,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:26,mmoscol@fullerton.edu,2.0,Pursuing,6059.1,5708.12,"What follows is a description of programs in place between 2010-2013. WARE Disposal was the campus' waste vendor. Collection points on campus were single-stream. 5,751.91 tons were recovered and diverted at an offsite facility from the 11,488.61 tons collected from WARE in 2013. All confidential shredding is shredded and recycled with Recall - 117.45 tons. Scrap metal is collected and recycled through SA Metals - 44.75 tons. Ewaste on campus is disposed of properly and sent to an ecycling facility - 17.77 tons. Cooking grease from campus food vendors is diverted to One More Time, Inc - 1.77 tons. ","Dining Managers actively plan and prepare to avoid a daily surplus of food. However, if an excess occurs, they donate supplies to a local shelter, the Fullerton Woman’s Transitional Living Center. The food donations primarily come from the TSU food court, OC choice catering, and Starbucks. The program has been active for over 4 years.","The Housing Dining, the Gastronome, uses a garbage disposal to pulp all pre-consumer food waste. The Arboretum picks up the Gastronome's food waste about 3 times a week - the equivalent of 180 gallons of kitchen scraps. The Arboretum employs windrow composting to divert approximately 1,443 pounds of food waste per month - 9.24 tons annually. This diversion program is not consistently in effect.","No post-consumer food waste programs exist. Due to employing windrow composting on campus at the Arboretum, we are restricted to food waste composting only. Expanding to post-consumer food waste would include napkins, paper, and compostable cutlery. The Arboretum does not have the infrastructure to properly compost this material. ",**,True,True,--,True,True,True,--,True,True,True,--,--,True,True,True,True,True,True,,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:31,austin.eriksson@csun.edu,2.0,Pursuing,782.22,1270.02,"The CSU has mandated that all campuses shall have a 50% diversion rate by 2016 and 80% by 2020. With CSUN’s diversion rate hovering around 15%-20% for the last few years the University had to make some major changes to our waste hauling contract as well as some of our processes in order to meet these goals. The new contract allows to do several important things. The first is all of our waste is not being processed in a MRF prior to being sent to the landfill, allowing us to pick out ~30% of the material and recycle it. The second is that since each bin will be weighed during pickup, we can be smarter about how we schedule our bin pickups. The third is we are now having campus wide waste audits being performed every semester to help identify our waste stream and make changes. The fourth is the ability to see and track the data live at a publicly accessible website (csun.wastetracking.com). With all of these changes our new diversion rate has increased to +/-60%. Now we are not only meeting the 2016 goal, but we are on track to meet the 2020 goal.",CSUN donates food to the Food Recovery Network.,"CSUN has an on campus composting program that is ran through the Institute for Sustainability and sponsored by The University Corporation. This program handles all of the pre-consumer food waste from the main eateries, Juice It Up, and all of our cmapus coffee shops.","CSUN Dining's student housing dining location, Geronimo's, is participating in both a pre and post consumer food waste composting program. The pre and post consumer food waste is handled by our waste hauler and composted off site at their facility.",**,True,True,--,True,--,True,--,True,True,True,True,True,True,True,True,True,--,--,,--
