Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution have an institution-wide stated intent to support disadvantaged businesses, ...","A copy of the policy, guidelines or directive governing inclusive and local purchasing","The policy, guidelines or directive governing inclusive and local purchasing",Does the institution wish to pursue Part 2 of this credit (inclusive and local expenditures)?,"The percentage of total purchases from disadvantaged businesses, social enterprises and/or local ...",The website URL where information about the institution’s inclusive and local purchasing policies ...,Public Notes
Carleton College,2016-02-26,2016-02-26 11:19:38,mlarson@carleton.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/541/6/610/3797/Local%20Vendor%20policy.docx,"""Carleton College has traditionally supported doing business with local vendors, minority and women owned businesses and vendors who are environmentally committed. Many online ordering sites have icons which help you identify products from these types of vendors.  Carleton College encourages all internal departments to include these types of vendors and their products when looking to source a service or commodity.

The College is running a campaign in Rice County to enact policies that will promote the growth of a sustainable and fair agricultural system in our region.  Together with members of Food Truth, local foods activists and sustainable farmers around Northfield, we are working to build grassroots pressure and lobby our county commissioners to pass the Local Foods Purchasing Policy and the Organics Conversion Policy.""

-policy on procurement from Local Vendors, Minority or Women Business Enterprise (MBE/WBE) Vendors and Environmentally Committed Vendors
Statement on local purchases (per Randie Johnson, Purchasing Manager):

Carleton College annually reviews the purchases that are directed to the local community and we have a representative that is a board member for the local Chamber of Commerce.  We belong to a local purchasing cooperative that sets up many local contracts that are used by Carleton and several other educational institutions in our area.   ",--,--,--,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:17,bk11@andrew.cmu.edu,2.0,Pursuing,True,,"While Carnegie Mellon University has no formal policy encouraging the use of Western Pennsylvania businesses, the university's buying community generally prefers to work with suppliers with a local presence.

Carnegie Mellon University is a member of the Western Pennsylvania Minority Supplier Development Council and maintains goals for the use of disadvantaged businesses as part of its approved Master Subcontracting plan filed with the Federal Government.",True,28.8,https://www.cmu.edu/finance/procurementservices/doing-business/index.html,http://www.cmu.edu/policies/documents/Purchasing.html#Small 
Case Western Reserve University,2016-03-25,2016-03-25 15:41:09,stephanie.corbett@case.edu,2.0,Pursuing,True,,"At Case Western Reserve University, we embrace diversity as a core value.  That includes strategically doing business with a broad and diverse array of outside suppliers. Since forming the Supplier Diversity Initiative Council in 2002, the university has awarded more than $87 million of business to minority- and women-owned businesses in a variety of industries.

The Procurement Office is the university community’s central hub for promoting the strategic acquisition of goods and services that meet the university’s requirements for value, quality and timeliness and charged with increasing the participation of vendor relationships with a widely diverse array of disadvantaged businesses, from minority- and female-owned enterprises to those owned and operated by military veterans and disabled vets.

CWRU’s Core Values include supplier diversity / economic inclusion.  This is tracked by supplier coding of their corporate economic status (i.e. Minority Business Enterprise [MBE] is defined as a business concern that is at least 51% owned by one or more individuals who are African American, Hispanic American, Native American, Asian-Pacific American or Asian-Indian American; and whose management and daily business operations are controlled by one or more of these owners].  All suppliers / bidders are strongly encouraged to become involved in supplier diversity / economic inclusion initiatives. CWRU is committed to assisting minority and women-owned business enterprises in gaining access to business opportunities.  To further expand business opportunities and enhance continued economic growth, CWRU expects our strategic suppliers to adopt and report on similar strategies of inclusion.  CWRU believes that through our supplier diversity initiative more diverse business enterprises will have greater opportunities but will also increase their business presence at CWRU. Supplier Diversity includes businesses that qualify as Small Disadvantaged Business (SDB), Women-Owned Business Enterprises (WBE), Hub Zone (HUB), or Veteran Owned Business Enterprises (VOB), ADA (American Disability Act). To qualify as one of the above business classifications your company must be more than 50% owner, controlled and actively managed by a person meeting those requirements.
",True,28.0,http://www.case.edu/procurement/diversity/sustainable-purchasing.html,--
Chatham University,2016-02-17,2016-02-17 13:05:06,MWhitney@chatham.edu,2.0,Pursuing,True,,"Chatham University has a preference for choosing women-owned businesses, and recently used such businesses for a combined federal and state grant program. Chatham University also uses several women-owned marketing firms. 

In addition, the Center for Women’s Entrepreneurship at Chatham University (CWE) has developed new and innovative programs that assist women in Southwestern Pennsylvania to develop and expand new businesses.",--,--,--,--
Clark University,2016-02-24,2016-02-24 15:49:35,jisler@clarku.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Clarkson University,2016-02-12,2016-02-12 07:37:56,sep@clarkson.edu,2.0,Pursuing,True,,"The University is committed to the principles of equal opportunity. It is the policy of Clarkson University, consistent with Federal and State law, to encourage and maximize participating of Small Businesses (SB), Minority-Owned Business Enterprises (MBE), Women-Owned Business Enterprises (WBE), and other Disadvantaged Business Enterprises (DBE) in its procurement activities. Such procurement activities include, but not limited to, subcontracts, purchase orders, and P-card transactions for services, 

In construction: Preferences may be given to goods produced in NYS, goods or services or construction provided by NYS person, firms, or corporations. Preference may also be given to businesses that are small, women-owned, and minority-owned businesses. Clarkson strives to support the local economy and local businesses. materials and supplies, and travel costs related to sponsored awards
",--,--,http://www.clarkson.edu/purchasing/supplierdiversitywebpage.html,https://www.clarkson.edu/facilities/Engineering/environmentalstandards.pdf
Coastal Carolina University,2015-11-20,2015-11-20 15:31:24,sustain@coastal.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/627/6/610/3797/OP-15%20www.coastal.edu_policies_pdf_fina-301procurement.pdf,"Minority Business Enterprise (MBE) Utilization Plan
The University’s Minority Business Enterprise Utilization Plan is designed to give
small business concerns owned and controlled by socially and economically
disadvantaged individuals full access and opportunity to participate in the University's
procurement activities. The University has established the goal of purchasing at least
ten percent (10%) of its total annual requirements from small business concerns owned
and controlled by socially and economically disadvantaged individuals.
Every faculty and staff member within the University who participates in a procurement
process or decision is charged with insuring that the University’s MBE Utilization
Plan’s goals are pursued.
The University’s Director of Procurement has been designated as the liaison for the
MBE Utilization Plan. Procedures and reporting requirements for the MBE Utilization
Plan are provided in the South Carolina Consolidated Procurement Code.",True,2.5,http://www.coastal.edu/policies/pdf/fina-301procurement.pdf,--
Colby College,2016-01-12,2016-01-12 15:54:23,ksbright@colby.edu,2.0,Pursuing,True,,"When evaluating preferred vendors, Colby first identifies and solicits local vendors in order to procure local products and support local businesses. As a result of this evaluation process, about 30% of the College's purchases are from local businesses.",True,30.0,http://www.colby.edu/administration_cs/financialservices/afs/purchasing/green-purchasing.cfm,--
Colgate University,2016-02-28,2016-02-28 11:21:50,jpumilio@colgate.edu,2.0,Pursuing,True,,"Colgate University has established a Historically Underutilized / Small Business Procurement Program to track and promote procurement with small, disadvantaged and women-owned businesses.

Program Objectives: 1) Inform the campus community on the needs and capabilities of small, disadvantaged, and women-owned businesses. 2) To increase participation of small, disadvantaged, and women-owned business concerns in the Colgate University procurement process.

Program Highlights:
The Colgate University Purchasing Department will continue to collect and compile vendor data related to the business classifications of vendors providing services and goods to the university. By doing so, the above data will continue to become available on an annual basis to monitor and highlight program trends.

The above goals are an effort to demonstrate that the Purchasing Department and the Colgate community can effectively include Historically Underutilized Businesses in the procurement process.",--,--,http://www.colgate.edu/offices-and-services/purchasing/hubpurchasing,--
College of Charleston,2016-02-29,2016-02-29 16:53:02,fisherb@cofc.edu,2.0,In Progress,--,--,--,--,--,--,--
College of the Atlantic,2016-03-23,2016-03-23 11:15:39,ademeo@coa.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Colorado College,2016-02-29,2016-02-29 16:10:08,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/367/6/610/3797/CC%20Purchasing%20Policy.docx,"CC supports small/ disadvantaged business enterprise programs, which is an important factor to consider when procuring and is included in RFP solicitations. In addition, the facilities departments’ Sustainable Purchasing Guidelines states an aim to “support ‘locally produced’ goods and services.”
",--,--,http://www.coloradocollege.edu/dotAsset/e5b0ac18-be1a-4bb2-8105-6c88095dfbf8.pdf,--
Colorado State University,2015-12-16,2015-12-16 16:39:18,tonie.miyamoto@colostate.edu,2.0,Pursuing,True,,The Small Business program supports the University’s goals for promoting diversity and socially responsible purchasing. The program provides a resource that assists the University community in locating and establishing relationships with small and disadvantage businesses and to assure compliance with applicable federal regulations.,True,14.0,http://wsnet.colostate.edu/cwis191/procurement/small.aspx,--
Columbia University,2016-01-13,2016-01-13 14:27:23,as3215@columbia.edu,2.0,Pursuing,True,,"Storeroom Solutions shall be responsible to procure and source Items from a certified minority, woman-owned, local suppliers (MWL), in a manner consistent with COLUMBIA’s strategic goals. These goals will be reviewed by COLUMBIA and updated annually as required no later than 30 days from the Anniversary date of this AGREEMENT.  

A minority owned supplier is defined as at least 51% of the business is owned by a United States Citizen or a Naturalized Citizen who is African-American, Hispanic-American, Native-American, Asian-Pacific American or Asian-Indian American under the day-to-day control and guidance of a minority group member.  
A woman owned supplier is defines as at least 51% of the business is owned and controlled by one or more women who are U.S. citizens or Legal Resident Aliens; whose business formation and principal place of business are in the US or its territories; and whose management and daily operation is controlled by one or more of the women owners.
Local businesses are defined as businesses located in the New York Empowerment Zone which is within the zip codes 10025 – 10027, 10029 – 10035, 10037, 10039, 10040, 10451, 10454, 10455 and 10474.
If a firm is double certified meaning a minority and woman-owned business the business will be deemed a minority owned business for purposes of Section 5.3.
Storeroom Solutions will provide an MWL mentoring program for suppliers within the NYEZ during the term of this AGREEMENT.  Such mentoring program will provide for the development and growth of suppliers Storeroom Solutions identifies.  Storeroom Solutions will identify at least one (1) MWL per year of this AGREEMENT.  Storeroom Solutions will provide the supplier and COLUMBIA with a detailed mentoring plan with clear milestones and metrics.  
Storeroom Solutions will meet with COLUMBIA quarterly to review its progress to date on MWL initiatives.
",True,27.0,http://policylibrary.columbia.edu/small-business-concerns-policy,--
Connecticut College,2016-02-28,2016-02-28 16:33:11,jstoffel@conncoll.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/488/6/610/3797/Sustainability%20Purchasing%20Guidelines.docx,"During the recent change in the College's primary office supplies vendor, sustainability guidelines were added to our RFP. Each vendor's commitment to working with minority-owned and women owned-businesses is a crucial part of our sustainability guidelines. ",--,--,--,--
Cornell University,2016-03-18,2016-03-18 08:39:46,cma18@cornell.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/270/6/610/3797/vol3_25.pdf,"(1) In our policy (page 13), we specify:

""Cornell University will promote the development of significant and mutually beneficial business relationships with diverse and local suppliers. Particularly when utilizing federal and state funds to procure goods and services, the university will put forth a good-faith effort to utilize diverse businesses, when practical. For more information on diverse suppliers, see www.sba.gov/services.""

(2) Highlighted in our e-procurement tool

(3) Highlighted list of vendors on webpage: https://www.dfa.cornell.edu/procurement/supplierlistview

(4) Highlighted on our web site with a Diversity section:
https://www.dfa.cornell.edu/procurement/about/initiatives/diversity

(5) Local and regional businesses are listed on our web site in a Local business section:
https://www.dfa.cornell.edu/procurement/about/initiatives/local

(6) Guidelines on supporting local and diverse businesses (supplier utilization hierarchy) are included in our Buying Manual and published on our website at https://www.dfa.cornell.edu/sites/default/files/bm-section-102.pdf
",True,16.0,https://www.dfa.cornell.edu/sites/default/files/policy/vol3_25.pdf,--
Creighton University,2016-02-24,2016-02-24 14:08:52,mjduda@creighton.edu,2.0,Pursuing,True,,"The University has an active underutilized business program. In addition to the policy linked below, members of the Purchasing team have held leadership and board membership in the local minority business council. We also have hosted numerous training seminars for the local minority business community on campus. Additionally, underutilized business spend is part of each buyer in Purchasing's performance appraisal with year over year increase of percentage of spend expected.",True,3.31,http://www.creighton.edu/admin/purchasing/policies/practices/index.php,--
Denison University,2016-02-15,2016-02-15 15:55:41,kingje@denison.edu,2.0,Pursuing,True,,"Yes.  Denison is actively committed supporting local community based businesses maintaining and enhancing a positive Town and Gown relationship.  A fair amount of funds are used to purchase food from local restaurants and Ross' Market.  The Granville Lumber Company is used frequently by maintenance as is the NAPA store.  Less frequent purchases are made from the smaller shops and businesses.

In general, preference is giving to local businesses and social enterprises in the RFP process.  The college also maintains long-standing relationships with a number of local businesses for regular purchases and maintenance.

Maintenance uses a number of contractors and suppliers in the Newark area for painting, electrical & plumbing work, paving, concrete work, as well as for general construction.

All major construction projects utilize local central ohio contractors except when project expertise cannot be found locally e.g. our new field turf at our stadium.

To our knowledge none of the local businesses are classified as ""disadvantaged"" and we don't know if other suppliers, not in Granville, are classified as disadvantaged or social enterprises.  If any, the percentage of purchases is probably very low from either of these classes.  ",True,35.0,--,--
Dickinson College,2016-03-08,2016-03-08 10:06:50,welkerm@dickinson.edu,2.0,In Progress,--,--,--,--,--,--,--
Drew University,2016-03-25,2016-03-25 16:12:27,swald@drew.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Duke University,2016-02-26,2016-02-26 14:18:14,tavey.mcdaniel@duke.edu,2.0,Pursuing,True,,"Duke University and Health System gives preference to locally-owned and operated firms. Through the green purchasing and supplier diversity programs, the Procurement Office makes every effort to first and foremost support local, diverse and green firms and see local purchasing as an extension of the larger sustainability efforts. A sample RFP excerpt can be found below:
""Where possible, vendors are encouraged to use second-tier suppliers in close proximity to Duke. The use of local minority and women-owned businesses strengthens our commitment to the local economy.""
An excerpt from Duke’s governing Terms and Conditions states:
Duke maintains a voluntary Supplier Diversity Program in order to provide an equitable competitive environment for historically underutilized business sectors. Diverse Suppliers are firms that are small, disadvantaged, woman, veteran, service-disabled veteran, HubZone or LGBT (lesbian, gay, bisexual, transgender) owned. Ownership refers to at least 51% financial control as well as operational management.

Diverse Suppliers are recognized with appropriate documentation of ownership status as certified by a recognized certifying organization or agency. Recognized certifying bodies include: U.S. Small Business Administration, N.C. Department of Historically Underutilized Business, Durham Department of Equal Opportunity / Equity Assurance, National Minority Supplier Development Council, North Carolina Minority Supplier Development Council, Women’s Business Enterprise National Council, National Gay and Lesbian Chamber of Commerce, as well as local, regional, city and state certifying agencies.

In addition to primary suppliers, Duke pursues maximum participation through second-tier efforts. Primary contractors must submit a plan for their involvement with diverse second-tier suppliers. Following Purchase Order/Agreement award, the Contractor is required to maintain both first and second-tier efforts and submit quarterly progress reports.

By taking an active role in working with Diverse Suppliers, Duke can optimize price, service, and delivery conditions while building the local community and economy. Supplier diversity will be one, but not the sole, consideration in all Purchase Order/Agreement awards.

",--,--,http://finance.duke.edu/procurement/diversity/index.php/,--
Earlham College,2016-03-03,2016-03-03 10:50:01,butchli@earlham.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:25,stoddardl@easternct.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Elon University,2016-01-14,2016-01-14 09:32:56,edurr@elon.edu,2.0,Pursuing,--,,,--,--,http://www.elon.edu/e-web/bft/purchasing/index.xhtml,"Elon University encourages the use of minority owned, women owned and small businesses by providing a list to faculty and staff of such businesses previously utilized by Elon on the Purchasing Department website. In addition, the Sustainable Purchasing Guidelines include a preference for locally and/or regionally manufactured products. "
Emory University,2016-02-29,2016-02-29 16:26:41,ciannat.howett@emory.edu,2.0,In Progress,--,--,--,--,--,--,"It is impossible to calculate the percentage of total purchases from disadvantaged businesses, social enterprises, and/or local community-based businesses without double-counting. We are not currently able to acquire valid data, so do not pursue this portion of the credit. "
Endicott College,2016-03-01,2016-03-01 10:10:11,screight@endicott.edu,2.0,Pursuing,True,,We give preference if they meet the specification and submit a competitive bid. ,--,--,--,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:25,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,Data from fiscal year 2012-13.
Fort Lewis College,2016-03-27,2016-03-27 16:00:55,kehilimire@fortlewis.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/796/6/610/3797/PCARD%20HandbookForTraining-FLC5..doc,"The campus procurement card program training handbook instructs all procurement card users to purchase from minority, women-owned, and small businesses whenever feasible. This program covers all purchases less than $5,000.

In addition, some items are routinely purchased locally: All uniforms and other athletic purchases are local. Almost all printing services used by the college for business cards, envelopes, etc. are done by local businesses. Almost all chemicals are purchased from the Four Corners region.",--,--,--,--
Furman University,2016-02-22,2016-02-22 13:43:10,yancey.fouche@furman.edu,2.0,Pursuing,True,,"Furman gives special consideration to local business when reviewing proposals. Business location is considered along with other dimensions of sustainability, cost, and other relevant criteria when reviewing proposals.

370.2 Purchasing Policies and Procedures
12. All other things being equal, the purchaser should do business with alumni, local businesses, and other individuals and businesses which support Furman.
",--,--,--,--
