Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an institution-wide stated preference to purchase computers and/or other ...,"A copy of the electronics purchasing policy, directive, or guidelines","The electronics purchasing policy, directive, or guidelines ","A brief description of steps the institution has taken to ensure that the purchasing policy, ...",Does the institution wish to pursue to pursue Part 2 of this credit (expenditures on EPEAT ...,"Expenditures on EPEAT registered desktop and laptop computers, displays, thin clients, televisions, ...","Expenditures on EPEAT Bronze desktop and laptop computers, displays, thin clients, televisions, and ...","Expenditures on EPEAT Silver desktop and laptop computers, displays, thin clients, televisions, and ...","Expenditures on EPEAT Gold desktop and laptop computers, displays, thin clients, televisions, and ...","Total expenditures on desktop and laptop computers, displays, thin clients, televisions, and ...","The website URL where information about the institution's electronics purchasing policy, directive, ...",Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:09,mary.lucus@belmont.edu,2.0,Pursuing,--,,,,--,**,--,--,--,--,--,--
Beloit College,2016-03-23,2016-03-23 13:45:33,chapmanlr@beloit.edu,2.0,Pursuing,--,,"It is College policy that all technology related items including computer hardware, peripherals that interface with computers, software and audio-visual equipment, regardless of funding source, are to be ordered through the Information Technology (IT) department.  

Please contact IT Support to initiate the ordering process. The IT staff will work with you to identify the option(s) to meet your needs.

There are a number of advantages this policy offers:

    Cost savings: cost savings are realized through discounts, greater standardization, volume purchasing, staffing efficiencies, and other means;
    Consulting services: IT is available to consult on the best options;
    Support: affords more effective and efficient maintenance and support;
    Tracking: appropriate equipment and software licenses will be added to the College's inventory database maintained by IT for insurance and accounting purposes;
    Compatibility: insures compatibility between all components of the Beloit College network;
    Big picture: provides IT with knowledge of campus resources to facilitate collaboration with, and integration of, information technology.

Please note that IT will only purchase from approved vendors who provide supported products. College technology purchases are not made from individuals, through online auctions such as eBay or any similar type of purchasing source.

App purchases from places such as the Mac App Store or the Android Market are related to a personal account. Therefore, individuals may make these purchases without consulting with IT. It is up to the budget manager to determine if college funds should be used to make these purchases. If you have questions about what App may be beneficial to meet a particular need please feel free to consult with IT.

Please allow additional time when requesting to purchase technology using college restricted funds or grant monies. IT will forward all these requests to Accounting for approval prior to placing the order.

Individuals who do not order technology hardware/software and related equipment through IT may have their College purchasing privileges revoked or may not be reimbursed for personal expenditures.   As a reminder, all IT purchases are posted to the respective month they are received, not ordered.",,True,**,--,39415.0,139550.0,181855.0,http://www.beloit.edu/isr/plans/purchasepolicy/,"At this time the College does not have a formal electronics purchasing policy, but does purchase all applicable IT hardware at the EPEAT Gold and Silver levels."
Bentley University,2016-03-25,2016-03-25 15:58:41,nberland@bentley.edu,2.0,Pursuing,True,,Our Client Services department purchases all of the computers on campus including the laptops that our students use.  The purchasers in Client Services have a stated goal of purchasing computers and monitors with the gold EPEAT standard.,"Client Services is the only  department which  purchases electronics on campus, and they adhere to the EPEAT policy.",--,**,--,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:18,paulyj@berea.edu,2.0,Pursuing,True,,https://www.berea.edu/vpf/office-of-purchasing/,"The institution does regular internal audits to ensure polices, procedures, and guidelines are followed including that of the purchasing department. ",True,**,--,992614.71,--,992614.71,https://www.berea.edu/vpf/office-of-purchasing/,This number reflects purchases of computers only.
Binghamton University,2016-03-20,2016-03-20 17:32:36,sdejohn@binghamton.edu,2.0,Pursuing,True,,http://www.ogs.ny.gov/EO/4/Docs/Finals/Computers.pdf,The University purchases all computer equipment through the procurement contract established by the Office of General Services (OGS).  An example of the contract can be found here:  http://ogs.ny.gov/purchase/snt/awardnotes/75350PCTermandCond.pdf,--,**,--,--,--,--,http://www.ogs.ny.gov/EO/4/Docs/Finals/Computers.pdf,--
Boston University,2016-03-03,2016-03-03 13:41:55,carlberg@bu.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/405/6/506/3784/BU%20Apple%20%26%20PC%20Standards.pdf,,"Boston University uses SAP SRM for procurement including catalog and contract management. Purchases of computers are made from preferred vendors who offer EPEAT certified products. The procurement system ensures that policy and guidelines are followed.
The University lists standard systems to be purchased by departments. This list is maintained by Sourcing and Procurement as well as the Support & Infrastructure Governance Committee. Currently all Apple and Lenovo systems on the list are rated EPEAT Gold and loaded in catalogs for ease of ordering. Purchasing standard systems is required for all administrative departments and highly recommended for all academic departments. ",--,**,--,--,--,--,http://www.bu.edu/sourcing/pc-standards/,"Through Boston University's purchasing system, 100% of desktop, laptop, and monitor purchases made through BU's purchasing system meet EPEAT Gold standards."
Bowdoin College,2016-02-25,2016-02-25 17:00:55,cpayson@bowdoin.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/223/6/506/3784/Energy%20Conservation%20-%20Sustainability.htm,"Bowdoin's IT department only purchases EPEAT Gold rated computers unless there is a specific need for specialized equipment with no EPEAT certified option. This past year (2015), Bowdoin received the EPEAT Purchaser Award for demonstrating excellence in the green procurement of electronics. Bowdoin also considers the power ratings (if available) when purchasing items such as monitors and televisions. In order to reduce waste and save money, Bowdoin does not necessarily replace a monitor when replacing a computer, but if a new monitor is needed we do factor in energy efficiency when purchasing. For laptops, Bowdoin also provides laptop cases that are made from recycled or recyclable materials.",Upon request the Technical Purchasing Manager for Information Technology provides a an annual report on computers purchased and which EPEAT ratings they have received.  ,--,**,--,--,--,--,http://www.bowdoin.edu/sustainability/green-bowdoin/energy-conservation.shtml,--
Brown University,2016-03-23,2016-03-23 07:26:35,Ginger_Gritzo@Brown.edu,2.0,Pursuing,True,,"Faculty, staff, and students are strongly encouraged to take a proactive position in identifying and
examining opportunities to procure “environmental friendly” materials/equipment. This effort focuses
along the complete “supply chain” management process including assessment of alternative materials,
vendor sourcing and selection, and ultimate disposal of waste/surplus. A related opportunity to reduce
waste on campus includes a requirement for reduced packaging and negotiating a “take back” program
for the materials in which the purchases are delivered, such as cardboard boxes and wooden pallets.

The materials considered for green purchasing include appliances, cleaning products,
computers/electronics, lighting, office supplies, and paper products such as envelopes, notepads, paper
towels, napkins, and office paper.

While Brown does not require products to be ENERGY STAR® qualified, it is strongly recommended that
appliances, building products, computers, electronics, heating and cooling, lighting, fans, and plumbing
equipment meet or exceed the ENERGY STAR® rating.

Beginning FY 2006, the Purchasing Department required that all Dell, HP, and Lenovo electronics be
Electronic Product Environmental Assessment Tool (EPEAT) certified.","Brown strongly encourages responsible purchasing practices, but has not implemented steps to ensure they are practiced.",--,**,--,--,--,--,http://brown.edu/Administration/Purchasing/procurement/environment.html,--
Bryant University,2015-08-19,2015-08-19 14:50:25,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:22,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:11:43,nbartlett@cca.edu,2.0,Pursuing,True,,Our institution purchases EPEAT and energy star certified devices for all of its computing facilities and staff work stations. We also develop recommended computer bundles to students that are EPEAT qualified.,Our institution purchases EPEAT and energy star certified devices for all of its computing facilities and staff work stations. We also develop recommended computer bundles to students that are EPEAT qualified.,True,**,--,--,700000.0,700000.0,http://www.apple.com/environment/letter-to-customers/,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:35,dan.wakelee@csuci.edu,2.0,Pursuing,True,,"California State University Channel Islands (CI) Technology & Communications division selects only those products that meet EPEAT Gold standards when establishing our campus computer/peripheral standards. 
",California State University Channel Islands (CI) reviews each Lenovo and Apple manufacture in order to see if they meet EPEAT Gold standards. ,True,**,--,3804.65,923224.27,927028.92,http://www.csuci.edu/sustainability/stars/operations.htm,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:18,mmoscol@fullerton.edu,2.0,Pursuing,--,,,CSU Fullerton does not currently have a policy to exclusively purchase EPEAT rated products. ,True,**,--,5459.79,2102709.37,2333109.44,--,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:22,austin.eriksson@csun.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/830/6/506/3784/doc20150616114357.pdf,,A plan is in process for a strategic procurement process to ensure compliance with the EPPP and other purchasing policies currently in place. This should be fully implemented by 2016.,--,**,--,--,--,783590.31,http://www.csun.edu/it/config,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:01,kristina.cullen@csus.edu,2.0,Pursuing,True,,http://www.csus.edu/aba/sustainability/about-us/guidelines.html,Sacramento State rigorously follows the guidelines listed above. ,--,**,--,--,--,2046606.0,http://www.csus.edu/aba/sustainability/index.html,--
Calvin College,2016-03-11,2016-03-11 14:31:05,bhaney@calvin.edu,2.0,Pursuing,--,,,,--,**,--,--,--,511435.0,--,"Total Purchasing amount is from the CIT Total Purchasing Budget Spreadsheet from FY 2015 (FY ending June 30, 2015)."
Carleton College,2016-02-26,2016-02-26 11:19:20,mlarson@carleton.edu,2.0,Pursuing,--,,,"Carleton currently purchases computer products from Dell, Apple and Lenovo on an annual basis. Carleton seeks to purchase computer products that are EnergyStar or EPEAT certified. Carleton’s last purchase order (2010) included computer products that were all EPEAT Gold certified except for the Dell U2211H, which is EPEAT Silver certified. Although Apple provides some green initiatives from packaging, Carleton does not currently pursue that option, instead choosing to consolidate shipping by ordering on an annual basis. ",True,**,--,23750.0,134473.0,158223.0,https://apps.carleton.edu/sustainability/campus/procurement/electronics/,Carleton works to recycle all of its computer products through Materials Processing Corporation (MPC).
Carnegie Mellon University,2015-12-10,2015-12-10 11:03:59,bk11@andrew.cmu.edu,2.0,Pursuing,True,,"Buyers and Users should utilize suppliers and service providers that make use, to a practicable extent, of materials and services that support the Carnegie Mellon environmental mission and goals of reducing, reusing and recycling.","Carnegie Mellon University does not have a stated preference to purchase EPEAT Silver or higher computers and monitors.  However, Dell is the university's preferred supplier whose products often include EPEAT Silver and Gold rated computers.",True,**,38300.6,--,6485224.04,6644717.93,http://www.cmu.edu/environment/index.html,These expenditures are only for the Dell computers we purchase for the university.
Case Western Reserve University,2016-03-25,2016-03-25 15:39:20,stephanie.corbett@case.edu,2.0,Pursuing,--,,,,True,**,--,--,1077509.54,1650096.0,--,At the time of our submission only Apple company purchases could be analyzed. The Dell EPEAT purchases will be added ASAP.
Chatham University,2016-02-17,2016-02-17 13:04:48,MWhitney@chatham.edu,2.0,Pursuing,True,,"In accordance with our institutional mission of sustainability, Information Technology has committed to purchasing EPEAT-listed products whenever possible.","The Sustainability Director met with Chatham's CIO and reviewed the EPEAT program, showing them how to search the ratings.  IT used the EPEAT list to refine their electronics choices.  We are committed to purchasing Mac Laptops for first year students, so it was a positive step for our university's sustainability commitments now that Apple is a participant in EPEAT.",True,**,--,--,356530.05,360701.53,--,--
Clark University,2016-02-24,2016-02-24 15:49:10,jisler@clarku.edu,2.0,Pursuing,True,,"It is Clark University's Purchasing Policy to acquire only those products that have met the ENERGY STAR specifications for energy efficiency and have earned the ENERGY STAR rating when such rating is available for both single and or mass purchasing of goods. ITS will choose EPEAT certified products in addition if available and comparable.

When an ENERGY STAR rating is available for a product category, then products in this category without an ENERGY STAR rating can not be acquired for University use either by gift or purchase.","ITS is responsible for computer and monitor asset management, including all purchasing. They wrote the policy and follow it assiduously. Furthermore, most of the items that are available within ITS standards and approved vendor are EPEAT anyway, so it is actually happening by default!",--,**,--,--,--,--,http://www.clarku.edu/policies/,--
Clarkson University,2016-02-12,2016-02-12 07:37:39,sep@clarkson.edu,2.0,Pursuing,True,,"Centralized PC & Laptop Purchase Program: Working with the Institute for a Sustainable Environment and the Finance Office, the Office of Information Technology is promoting a centralized computer purchasing program.  This program is designed to maximize the financial resources of the university by ensuring computers purchased meet environmental and efficiency standards, and are appropriately sized and equipped for the type of work being performed.   We have worked with HP to secure state-contract pricing on desktops, tablets PCs, and laptops for institutional use. Additionally, this program will ensure all computers meet Energy Star and EPEAT standards for efficiency and environmental responsibility whenever possible.","All customers are directed to the OIT Help Desk for guidance on purchases.  Once a system has been determined (for which there are standard options available), OIT creates the order and distributes to the customer upon arrival of product.  Orders outside of OIT are reviewed by the CIO to assure appropriate decisions are made.",--,**,--,--,--,--,http://oit.clarkson.edu/bin/view/Main/CentralizedUniversityPurchaseProgram,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:07,sustain@coastal.edu,2.0,Pursuing,True,,The policy is through the South Carolina State Contracts.,The policy is through the South Carolina State Contracts.,--,**,--,--,--,--,http://www.mmo.sc.gov/PS/agency/PS-agency-info-technology.phtm,--
Colby College,2016-01-12,2016-01-12 15:54:05,ksbright@colby.edu,2.0,Pursuing,True,,"Colby College commits to purchasing EPEAT (electronic product environmental assessment tool) rated computers and monitors for all campus workstations that have general operating and performance requirements. In 2012, 99% of Colby's computer purchases complied with EPEAT standards.  Moving forward, ITS will review its computer and monitor purchases on an annual basis in order to ensure the College's purchases continue to comply with EPEAT's strict environmental standards.",ITS reviews their policies and purchases on an annual basis.,True,**,--,2857.99,610388.84,613246.83,http://www.colby.edu/administration_cs/its/info/upload/Computer-Purchase-Advice-2014.pdf,--
Colgate University,2016-02-28,2016-02-28 11:21:33,jpumilio@colgate.edu,2.0,Pursuing,True,,"In 2013, Colgate joined the State Electronics Challenge (SEC) and we are committed to purchasing 95% of our electronic equipment to be EPEAT certified.  http://www.stateelectronicschallenge.net/requirements_checklist.html.  ","Every standard configuration workstation, desktop and laptop that Colgate currently buys is EPEAT Gold, whether from HP or Apple, our normal vendors.",True,**,--,15500.0,596550.0,612050.0,http://www.colgate.edu/offices-and-services/purchasing/procurement-sustainability,--
College of Charleston,2016-02-29,2016-02-29 16:52:44,fisherb@cofc.edu,2.0,Pursuing,True,,All electronics must be purchased through our e-procurement system. The only models available for either Mac or PC are EPEAT gold rated.,Both options for standard employee desktop (Dell Optiplex Small Form Factor & iMac 21.5'') and for standard employee laptop (Dell Latitude E6430 & MacBook Pro 13”are EPEAT Gold rated. ,True,**,--,--,895655.0,895655.0,http://it.cofc.edu/computing/replacement/replacement-specs.php,--
College of the Atlantic,2016-03-23,2016-03-23 11:13:51,ademeo@coa.edu,2.0,Pursuing,True,,"We purchase EPEAT desktop and laptop computers whenever possible and practical. Our purchasing guidelines stem from the college's campus environmental initiative, which was passed in 1996 and affirms COA's commitment to environmentally and socially responsible purchasing across all areas of the college. ","The Director of IT is responsible for all computer purchases for the college, and she prioritizes EPEAT-registered electronics. At this time, only our Apple computers are not EPEAT registered.",True,**,82.0,1547.0,40344.0,64369.0,http://coa.edu/publicationsandpolicies.htm,The numbers above are for purchases of equipment during fiscal year 2014-2015. 
Colorado College,2016-02-29,2016-02-29 16:09:50,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,True,,Colorado College’s preference is to purchase EPEAT Gold registered products whenever possible and asks that vendors quote EPEAT Gold registered electronics whenever possible.,"In January 2015, the President’s Office added the EPEAT electronics purchasing preference into the Campus Procurement Policy. By adding the preference to the official Campus Procurement Policy and with the direction of the President's Office, the policy will be referenced and followed. ",True,**,--,16879.0,29075.0,45954.0,https://www.coloradocollege.edu/offices/facilities/energy-management/sustainable-purchasing-guidelines.html, 
Colorado State University,2015-12-16,2015-12-16 16:39:00,tonie.miyamoto@colostate.edu,2.0,Pursuing,True,,"http://policylibrary.colostate.edu/policy.aspx?id=513

From the Environmentally Preferable Purchasing Policy:
The University will work towards increasing the procurement of electronics with certain environmental attributes (i.e. reduced or no toxic constituents, recycled-content, designed for recycling, reduced materials use, energy efficient, extended product life/upgradeable, remanufactured, etc.). The Purchasing Manual will be updated from time to time to provide references to current, meaningful standards and guidelines for certain product categories (for example, ENERGY STAR rating, Electronic Products Environmental Assessment Tool [EPEAT] score).

Suppliers will be required to deliver the items to the University with energy efficiency and conservation features enabled (i.e. sleep mode, duplex printing, etc.).

Refurbishing services may be used in place of new purchases of computer upgrades or electronic equipment.","CSU does not enforce EPEAT printers but does make their purchase a priority. We also have a campus wide program, called Planet Partners, to replace old printers with ENERGY STAR printers (these are not EPEAT printers but do focus on reducing energy consumption). http://wsnet.colostate.edu/cwis191/procurement/PPP.aspx

CSU also participates in the State Electronics Challenge; a voluntary program that encourages state, tribal, regional, and local governments, including schools and other public entities, to purchase greener electronic products, reduce the impacts of electronic products during use, and manage obsolete electronics in an environmentally safe way.
",True,**,5596.0,39238.0,3517275.0,4051774.0,http://policylibrary.colostate.edu/policy.aspx?id=513,--
