Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the the institution employ Life Cycle Cost Analysis (LCCA) as a matter of policy and practice ...,Does the institution employ LCCA as a matter of policy and practice across the operations of the ...,A brief description of the LCCA policy(ies) and practice(s),The website URL where information about the institution’s LCCA policies and practices is available,Public Notes
Fort Lewis College,2016-03-27,2016-03-27 16:01:17,kehilimire@fortlewis.edu,2.0,Pursuing,True,--,"The IT department employs LCCA practices when evaluating the purchasing, operations, and disposal of its products. During the purchasing phase, preference is given to EPEAT registered, and particularly EPEAT Gold, products in order to minimize the negative life-cycle environmental impacts of purchases. The IT department has also lengthened the life cycle of electronics on campus, changing from a 3-year purchasing cycle to a 4-year one in 2013. During the operations phase, there are measures in place to limit waste such as double-sided printing and a dialog box that prompts the user before printing in order to avoid mistake print jobs. Printers are energy-efficient and do not use plastic-based toner. During the disposal phase, there are several initiatives in place to first exhaust all options for reuse and then ensure the proper recycling of electronics. Functional electronics are reused between departments whenever possible, and the remaining items are resold to students and the public through the FLC surplus program. Broken electronics are pulled apart to salvage usable parts, which are then also sold. Finally, unusable parts are sent to Recla, a local recycler with an e-waste program.",--,--
Furman University,2016-02-22,2016-02-22 13:43:13,yancey.fouche@furman.edu,2.0,Not Pursuing,--,--,--,--,--
George Washington University,2016-02-29,2016-02-29 13:04:36,shannonross@gwu.edu,2.0,Pursuing,True,True,"GW evaluates all stages of a product's life from the perspective that they are dependent on each other. The procurement office conducts this sort of evaluation when acquiring machinery (copiers, computers and vehicles etc.) and the Facilities/Real Estate division does the same when renovating and constructing new buildings for LEED standards.",--,"The LCCA does not appear on a website at this time-  there are plans to load it to the procurement website within the year.  The procurement Manual, under section 5.6 states the following:

5.6	Energy Efficiency Considerations

Life Cycle Costing

It is the university’s policy to use the life cycle costs of goods, as developed and disseminated by the federal government, when feasible for university procurements.  

Where federal energy efficiency standards are established, life cycle costs shall be considered in the contracting for major energy-consuming goods.

In determining life cycle costs, the university may consider the cost of the good, the energy consumption, maintenance costs, the costs of upgrades over the life of the item and the projected cost of energy over the useful life of the good, and the anticipated resale or salvage value of the product.

Energy Efficiency Standards

GW shall use energy efficiency standards prescribed by Energy Star for the purchase of energy consuming goods.  Energy Star, through its website, provides a qualified list of goods meeting Energy Star’s minimum energy specifications, life cycle costing calculations, life cycle cost formula information, and qualified goods that meet Energy Star’s rating for using less energy and helping to protect the environment.  Goods listed on the Energy Star websites’ list of qualified goods will be used as “acceptable brands and models” on response documents.  The minimal energy specifications for goods listed on the Energy Star Qualified Goods list should be included in the line item specifications on all response documents for the purchase of major energy consuming goods.
 
"
Georgia College & State University,2016-03-25,2016-03-25 19:10:16,doug.oetter@gcsu.edu,2.0,Not Pursuing,--,--,--,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:30,simonj@gonzaga.edu,2.0,Pursuing,--,--,"LCCA is considered when making major purchases, but no policy has been designed. ",--,--
Green Mountain College,2016-03-21,2016-03-21 15:55:37,ihrker@greenmtn.edu,2.0,Pursuing,True,True,"In accordance with the college’s Sustainability 2020 strategic plan, life cycle assessment is used in two areas to determine the full costs of the college’s operations.  

First, an Environmental Input-Output Life Cycle Analysis tool developed at Carnegie Mellon is used to estimate the ecological costs of college purchases.  Greenhouse gas emissions are specifically assessed (so-called Scope III emissions) to be incorporated into the college’s carbon accounting in the future.  Other ecological impacts such as water withdrawals, toxic emissions, and land use are also assessed within a multicriteria framework.  The initial stages of this work were done in an Economics of the Environment class in 2013 and future stages of this will be done at least every two years.

Secondly, the College is working with its dining services contractor, Chartwells, to determine the water and carbon impacts of the dining hall.  Chartwells has developed a tool that accounts for 80% of the carbon and water impacts of the life cycle of their inputs and operation.  This information is being supplemented by LCA analyses regarding the energy costs of food to determine the impacts of the dining services.  This is a collaboration between Chartwells and the College’s Farm and Food Project as well as the College’s Center for Quantitative Literacy.  Work on this began in the Fall of 2013.
",http://www.greenmtn.edu/gmcjournal/S2020whitepaper10.3.2013.pdf,--
Guilford College,2016-03-08,2016-03-08 08:08:44,corrybc@guilford.edu,2.0,Pursuing,True,True,A life cycle costing tool is used for all equipment purchases to assess options for renewal and/or replacement activities. This tool was shared by Harvard University's Energy Management Program and has proved successful for understanding the impact of ongoing maintenance costs and energy savings even though upfront costs may be higher.,--,--
Hampshire College,2016-03-23,2016-03-23 09:59:33,bhooker@hampshire.edu,2.0,Not Pursuing,--,--,--,--,--
Harvard University,2016-02-29,2016-02-29 16:59:10,colin_durrant@harvard.edu,2.0,Not Pursuing,--,--,--,--,--
Haverford College,2016-03-02,2016-03-02 12:02:16,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:55,sustainability@hws.edu,2.0,In Progress,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:18:51,caroline.savage@indstate.edu,2.0,Not Pursuing,--,--,--,--,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:44:09,brownwm@indiana.edu,2.0,Pursuing,True,True,"Awards shall be made employing a combination of the following criteria:

1.       Degree to which the item(s) or service quoted will best fill the University's requirements
2.       Price includes freight, payment terms, and life-cycle costing
3.       Delivery date
4.       Service
5.       Expertise
6.       Everything being equal, purchase will be made from local, state and U.S. vendors, in that order 

Life-Cycle Costing: Includes total acquisition price, installation, annual operating and maintenance costs, and residual value.",http://policies.iu.edu/policies/categories/financial/purchasing/FIN-PUR-5.5-purchase-order-award-criteria.shtml,--
Juniata College,2016-03-23,2016-03-23 08:10:02,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:45,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:31:29,sustainability@knox.edu,2.0,Not Pursuing,--,--,--,--,--
Lehigh University,2016-02-29,2016-02-29 00:26:27,sustainability@lehigh.edu,2.0,In Progress,--,--,--,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:16,advorak@lclark.edu,2.0,Pursuing,True,--,It is not clear whether life cycle costs are used in every department across the institution. Several departments use this approach but it is unknown whether all do. ,--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:03:32,ian.mckeown@lmu.edu,2.0,Pursuing,True,--,"LCCA is followed when evaluating energy and water using products and system. From they very foundation of our mission statement it is paramount that the university considers sustainability in all operations and functions. Specifically, maintenance, environmental impact, labor, and energy/water use of a product and its production our considered when deciding on water and energy using products and systems.  As we strive to reduce our environmental impact it is essential that the university considers Life Cycle analysis into decision making in order to fulfill are goals as a institution. Considerations also consider such certifications as energy star or any other environmentally friendly designation of these products. ",--,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:41,adurnbaugh@luc.edu,2.0,Not Pursuing,--,--,--,--,--
Macalester College,2016-01-06,2016-01-06 13:03:04,shansen2@macalester.edu,2.0,Not Pursuing,--,--,--,--,--
Maryville College,2016-02-11,2016-02-11 15:37:48,adrienne.schwarte@maryvillecollege.edu,2.0,Not Pursuing,--,--,--,--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:18,slanou@mit.edu,2.0,Pursuing,True,True,"""The initial, lifecycle and environmental costs and benefits of projects and programs will be considered in order to reduce the impact of the campus on the environment within realistic parameters.""

""The total cost MIT incurs in any project involves funding from a variety of sources, including funding for initial capital development, for operating, repair and maintenance costs, and for replacements. MIT and the larger world of which we are a part also incur environmental costs from projects at every stage of development, use and replacement. In order to incur as little overall cost as possible both in the interim and under MIT’s ultimate standard, MIT must make integrated decisions involving all constituencies with concern about any of these costs. During the interim and under any ultimate standard, initial investment and life cycle costs, as well as those environmental costs which do not translate well into either category (such as greenhouse gas emissions, indoor air quality and use of nonrenewable materials), will be taken into account throughout all stages of projects and programs.""

Source: Environmental Goals for MIT, http://ehs.mit.edu/site/sites/default/files/files/Sustainability%20Goals%20Oct%2001(1).pdf",http://ehs.mit.edu/site/sites/default/files/files/Sustainability%20Goals%20Oct%2001(1).pdf,--
McMaster University,2016-02-19,2016-02-19 09:37:40,naeemsh@mcmaster.ca,2.0,Pursuing,True,True,"McMaster requires all vendors to complete a Sustainable Procurement Checklist, the environmental impact of the purchase is considered along with any other criteria. ",http://www.mcmaster.ca/bms/policy/purchase/p500.pdf,--
Miami University,2016-03-02,2016-03-02 14:18:02,kliney@miamioh.edu,2.0,Pursuing,True,True,"Capital construction projects for state of Ohio public universities are guided by the Ohio Facilities Construction Commission, which calls for life cycle cost analyses as part of architecture and engineering (A/E) agreements.  See Exhibit B, A/E Scope of Services, at the URL below for General Contracting, Multiple Prime, CM at Risk, CM Advisor and Design-Build.",http://ofcc.ohio.gov/Documents/AgreementsandStandardRequirements.aspx,--
Michigan State University,2016-02-16,2016-02-16 09:19:31,erhardt7@msu.edu,2.0,Pursuing,True,True,"Excerpt from MSU Purchasing Policies and Procedures Manual:  21. Environmentally Sustainable Procurement-as stewards for the university, the buyer has an obligation to consider all aspects of a procurement decision.  Total Cost of Ownership analyses are to be used as an evaluative tool in measuring the total impact of a procurement decision, particularly those of high impact or high dollar volume.  While not an exhaustive listing, the following are considerations for buy decisions as determined applicable by the buyer:
A. Product factors such as recycled, remanufactured or re-used content in products.
B. When procuring equipment considering all aspects of the use of the equipment including the cost of the equipment, the operating expenses including electricity, steam, water, supplies factored over the useful life of the equipment.
C. Procuring environmentally certified products such as Energy Star, Forest Stewardship Council certified, etc. 
D. Disposal costs of goods and equipment or waste produced through utilization.
E. Alternative service delivery options such as remote diagnostics.
F. Modifications to packaging to reduce downstream waste.
G. Consideration of the reduction of multiple product use when replaced by a single product and the cost implications of such a decision.
H. Teleconference options as compared to face to face meetings requiring air and/or vehicle travel.
I. Locally produced/locally grown reducing transportation costs and impacts. 
J. Shipment consolidation to reduce environmental impact and cost to the university community.",--,--
Middlebury College,2016-03-25,2016-03-25 14:03:51,jmbyrne@middlebury.edu,2.0,Pursuing,--,--,,--,--
Mills College,2016-02-29,2016-02-29 23:53:58,ngaetjens@mills.edu,2.0,Not Pursuing,--,--,--,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:18,neapple@mtholyoke.edu,2.0,Not Pursuing,--,--,--,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:28:14,kprocyk@muhlenberg.edu,2.0,In Progress,--,--,--,--,--
Naropa University,2016-02-29,2016-02-29 17:16:56,acook@naropa.edu,2.0,Not Pursuing,--,--,--,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:54,lindsay_batchelor@ncsu.edu,2.0,Pursuing,True,True,"NC State purchasing decisions are guided by total cost of ownership and total life cycle cost. Any purchase by NC State will improve the environmental performance of its supply chain with consideration given to toxicity, recycled content, energy and water efficiency, rapidly renewable resources, and local production and manufacturing. Capital investment decisions utilize life cycle costing.

The decision process for construction and remodeling also includes energy life cycle costing analyses. 
",http://sustainability.ncsu.edu/wp-content/uploads/2014/07/Sustainability-SOP.pdf,--
Northern Arizona University,2016-02-23,2016-02-23 18:52:16,Ellen.Vaughan@nau.edu,2.0,Not Pursuing,--,--,--,--,--
Oberlin College,2016-03-21,2016-03-21 16:09:57,bflynn@oberlin.edu,2.0,Pursuing,True,--,"Facilities, Planning, and Construction (FP&C) aims to integrate life cycle cost analysis into projects as evidenced in the newest policy document linked below.

Life Cycle Cost Analysis (LCCA)
a. Key products and systems are identified early in the design process that will be
included in the LCCA
b. These components are evaluated to determine which options will be included in a
project to maximize long-term value for the College
c. The LCCA considers:
i. Initial cost
ii. Operational costs including resource consumption
iii. Maintenance costs
iv. Replacement costs
v. Inflation and time value of money ",http://new.oberlin.edu/office/environmental-sustainability/progress/130603.Sustainability.Subcommittee.pdf,--
Ohio University,2016-03-23,2016-03-23 07:58:50,goetze@ohio.edu,2.0,In Progress,--,--,--,--,"At this time, the university does not employ Life Cycle Cost Analysis.  This is an opportunity for the future which may require additional staffing and/or financial resources."
Onondaga Community College,2016-02-26,2016-02-26 16:34:09,vormwals@sunyocc.edu,2.0,Not Pursuing,--,--,--,--,--
Oregon State University,2016-03-30,2016-03-30 14:51:26,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--
Pennsylvania State University,2016-03-21,2016-03-21 11:48:57,mme2@psu.edu,2.0,In Progress,--,--,--,--,--
Pittsburg State University,2016-03-24,2016-03-24 14:48:49,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:39:00,warren_biggins@pitzer.edu,2.0,Pursuing,--,--,,--,--
Plymouth State University,2016-02-29,2016-02-29 11:42:44,bweisenhauer@plymouth.edu,2.0,Pursuing,--,--,,--,--
