Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution produce the following outreach materials and/or publications that foster ...,Does the institution have a central sustainability website that consolidates information about the ...,A brief description of the central sustainability website,The website URL for the central sustainability website,Does the institution have a sustainability newsletter?,A brief description of the sustainability newsletter,The website URL for the sustainability newsletter,"Does the institution have social media platforms (e.g. Facebook, Twitter, interactive blogs) that ...",A brief description of the social media platforms that focus specifically on campus sustainability,The website URL of the primary social media platform that focuses on sustainability,Does the institution have a vehicle to publish and disseminate student research on sustainability?,A brief description of the vehicle to publish and disseminate student research on sustainability,The website URL for the vehicle to publish and disseminate student research on sustainability,Does the institution have building signage that highlights green building features?,A brief description of building signage that highlights green building features ,The website URL for building signage that highlights green building features ,Does the institution have food service area signage and/or brochures that include information about ...,A brief description of food service area signage and/or brochures that include information about ...,The website URL for food service area signage and/or brochures that include information about ...,Does the institution have signage on the grounds about sustainable grounds-keeping and/or ...,A brief description of signage on the grounds about sustainable groundskeeping and/or landscaping ...,The website URL for signage on the grounds about sustainable groundskeeping and/or landscaping ...,Does the institution have a sustainability walking map or tour?,A brief description of the sustainability walking map or tour,The website URL of the sustainability walking map or tour,Does the institution have a guide for commuters about how to use alternative methods of ...,A brief description of the guide for commuters about how to use alternative methods of ...,The website URL for the guide for commuters about how to use alternative methods of transportation,Does the institution produce navigation and educational tools for bicyclists and pedestrians? ,A brief description of the navigation and educational tools for bicyclists and pedestrians,The website URL for navigation and educational tools for bicyclists and pedestrians,Does the institution have a guide for green living and incorporating sustainability into the ...,A brief description of the guide for green living and incorporating sustainability into the ...,The website URL for the guide for green living and incorporating sustainability into the ...,Does the institution have regular coverage of sustainability in the main student newspaper (either ...,"A brief description of regular coverage of sustainability in the main student newspaper, either ...","The website URL for regular coverage of sustainability in the main student newspaper, either ...",Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of another sustainability publication or outreach material not covered above ...,The website URL for this material (1st material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (2nd material),The website URL for this material (2nd material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (3rd material),The website URL for this material (3rd material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (4th material),The website URL for this material (4th material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (5th material),The website URL for this material (5th material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (6th material),The website URL for this material (6th material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (7th material),The website URL for this material (7th material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (8th material),The website URL for this material (8th material),Public Notes
Harvard University,2016-02-29,2016-02-29 16:59:09,colin_durrant@harvard.edu,2.0,Pursuing,**,True,"The Office for Sustainability manages the Sustainability @ Harvard website, Twitter, YouTube, Instagram, and Facebook accounts which aggregate and curate news, tips, case studies, tools and resources on energy, environment and sustainability across Harvard's 12 Schools and central administrative departments. ",http://www.green.harvard.edu/,True,"1. The Office for Sustainability sends out a monthly email newsletter that includes news and events, updates and green tips. View the archives at:
http://us7.campaign-archive2.com/home/?u=91b1877540f9a306212f5ab2c&id=e881688224

2. The Harvard Center for the Environment also  produces an Environment @Harvard newsletter twice a year: http://environment.harvard.edu/news/current-issue

In addition the FAS Green Program and other School-based programs sends out monthly program updates/newsletters to their community which includes Harvard College.",http://us7.campaign-archive2.com/home/?u=91b1877540f9a306212f5ab2c&id=e881688224,True,"The Office for Sustainability reaches over 28,000 followers via its social media platforms. OFS manages the Sustainability @ Harvard Twitter, YouTube, Instagram and Facebook accounts which aggregate and curate news, tips, case studies, tools and resources on energy, environment and sustainability across Harvard's 12 Schools and central administrative departments.

twitter.com/greenharvard
instagram.com/greenhard
facebook.com/greenharvard
youtube.com/greenisthenewcrimson",https://twitter.com/GreenHarvard,True,"The Harvard Center for the Environment operates the website http://www.environment.harvard.edu to distribute information about student research. 

In addition Harvard School websites and the official newspaper, the Harvard Gazette, and regularly post stories and articles about students' environmental research:
http://news.harvard.edu/gazette/section/science-n-health/environment/
",http://environment.harvard.edu/,True,"Educational signage and video screens throughout Harvard's LEED and green building projects describe green features.
",http://green.harvard.edu/theresource/,True,"Harvard Dining and the Food Literacy project posts education signage, events, and resources about sustainably produced and local, organic food choices in dining halls.

There is a Food App on the general Harvard Mobile App that allows you to look up the nutritional value of the food in the dining halls.  
",http://www.dining.harvard.edu/food-literacy-project,True,"Harvard Landscaping posts signage on Harvard grounds about the use of pesticide/herbicide free 100% organic landscaping.
",http://www.energyandfacilities.harvard.edu/facilities-services/landscape-maintenance,True,Two sustainability features are included in Harvard's official mobile tour. Sustainability campus tours are offered throughout the year to undergraduates and other community members. ,http://www.harvard.edu/visitors/mobile-tour,True,Harvard's CommuterChoice program distributes commuting choices guides at new employee orientation and regularly distributes the guides which also include a walking guide. New employee orientation every Monday details commuting options for all new Harvard employees. Freshman orientation packets outline transportation options for incoming students. Staff attend undergraduate and graduate student orientations & registrations throughout the year,http://www.commuterchoice.harvard.edu/,True,Harvard's CommuterChoice program distributes commuting choices guides at new employee orientation and regularly distributes the guides which also include a walking guide. New employee orientation every Monday details commuting options for all new Harvard employees. Freshman orientation packets outline transportation options for incoming students. Staff attend undergraduate and graduate student orientations & registrations throughout the year,http://www.transportation.harvard.edu/commuterchoice/bike,True,"Harvard's Schools and Harvard University Housing provides brochure and online guides and information to students about green living and how to take sustainable actions in their dorm room/housing. 
",http://green.harvard.edu/programs/green-living,True,The Crimson newspaper dedicates two students reporter to sustainability and regularly posts stories. ,http://www.thecrimson.com/tag/Environment/,True,"The Office for Sustainability publishes online case studies, posters, and how to's with tips and guides on how to live and work sustainably",http://green.harvard.edu/action/tools-resources,True,The Green Labs program has developed an online green labs guide which provides research with green tips for their labs.,http://green.harvard.edu/labs,True,"The Harvard Sustainability Impact Report is Harvard's first ever university-wide sustainability report.  The report, available only online, was launched in 2012. The Report was developed to:
- Provide a baseline for future reporting and benchmarking by collecting and displaying sustainability performance data across our University. 
- Display the breadth and depth of our community’s commitment to sustainability in order to educate and hopefully inspire others inside and outside Harvard.
- Encourage an open and honest conversation about the challenges we face in implementing Harvard’s sustainability goals so we can identify the solutions that will help us move forward.
",http://report.green.harvard.edu/,True,The Green Office Program includes fact sheets and resources guides on its website for employees and the community to download and use while making their workspace more sustainable.,http://green.harvard.edu/green-office,True,Harvard posts publicly-available case studies for all of its LEED Certified projects online on our Green Building Resource website.,http://green.harvard.edu/theresource,True,Harvard Office for Sustainability partnered with Center for Health and the Global Environment and Strategic Procurement to create a Healthy Furniture Toolkit and Buyer's Guide to provide community with tools and resources for purchasing furniture free of chemical flame retardants.,http://green.harvard.edu/sites/green.harvard.edu/files/Chemical%20Flame%20Retardant-Free%20Toolkit%20and%20Buyer%E2%80%99s%20Guide.pdf,--,,--,--,,--,--
Haverford College,2016-03-02,2016-03-02 12:02:16,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:55,sustainability@hws.edu,2.0,Pursuing,**,True,"The HWS Sustainability website is overseen by the Office of Sustainability and managed by the Office of Communications. The site features a range of important content, including student resources, student sustainability grants, significant documents/sustainability notices, recent news, links and additional information.",http://www.hws.edu/about/green,True,"The Finger Lakes Institute (FLI) publishes a monthly electronic newsletter. The newsletter includes columns dedicated to HWS sustainability initiatives, community development center concepts, environmental education, Finger Lakes invasive species, and food systems. The FLI newsletter has readership throughout the Finger Lakes region, and HWS students, faculty and staff can also subscribe to receive it free of charge.

The Office of Sustainability recently published a five-year update on progress, which includes the HWS sustainability mission, sustainability strategic goals, notable milestones, notable campus guests/lecturers, and significant achievements. ",https://flihappenings.wordpress.com/,True,"Both the Office of Sustainability and Finger Lakes Institute are active on Facebook and Twitter. Facebook and Twitter are used to post campus sustainability initiatives, programs, events, while also informing followers of local, regional, and global sustainability programs/events.",https://www.facebook.com/SustainabilityAtHws,True,"Research is disseminated through the Finger Lakes Institute, Environmental Studies program, and Office of Sustainability websites. Specifically, the Finger Lakes Institute monthly e-newsletter is used as a platform to disseminate student, faculty and staff research on sustainability.",https://flihappenings.wordpress.com/,True,"To uphold the Colleges' commitment to sustainability, design and construction teams have ensured that the newly constructed, state-of-the-art Gearan Center for the Performing Arts achieves LEED Silver Certification or better. The Gearan Center officially opened in January 2016. The building will include signage throughout to highlight the different sustainability features of a LEED facility.

The Lucid Design Group building dashboard is permanently located in one of the largest residential halls on campus. The dashboard displays real-time electricity and natural gas usage for five campus buildings. HWS also has a mobile dashboard that is used for events and programs throughout campus. 

The Finger Lakes Institute (FLI) offers signage about building awards, Tree Campus USA plaque, and HWS sustainability awards. In addition, there is a walking tour and guide sheet of the FLI building that highlights many of the sustainability features of the building including the geothermal heating system, low VOC furnishings and finishes, rain garden, and adaptive re-use of an 1890s-built building. 

Additionally, during Orientation, Food Week, Earth Week, and for other sustainability-related events and programs throughout the year, posters and signs are hung around campus reminding students, faculty, and staff about sustainability behaviors on campus. ",http://buildingdashboard.net/hws/#/hws/,True,"Signage is located in the Colleges’ various dining services locations and includes information about the source of the food, healthy choices, local products, and any qualities associated with growing practices (organic, fair trade, etc.). In Saga, the main dining hall, one board is dedicated to sustainability efforts of dining services.",https://hwsdining.sodexomyway.com/planet/local.html,True,"To uphold the Colleges’ commitment to sustainability, design and construction teams have ensured that the newly constructed, state-of-the-art Gearan Center for the Performing Arts achieves LEED Silver Certification or better. The Gearan Center officially opened in January 2016. The building will include signage throughout to highlight the different sustainability features of a LEED facility.
There are several other locations on campus, such as the Finger Lakes Institute and the HWS Houghton House grounds, which have public educational displays that explain sustainable landscaping and rain garden applications.",--,True,"Hobart and William Smith Colleges have been designated an Arbor Day Tree Campus USA campus. The Colleges have a “Heritage of Trees” walking tour that highlights the wide variety of campus trees. There are more than 1,500 established trees on campus from 42 genera and 73 species. Of note, there is a red oak that is more than 200 years old, a 150-year-old Austrian pine, more than 100-year-old beech trees and a very rare osage orange tree. Self-guided campus tree tours are available through the Office of Advancement or visitors can print out our Map of Unusual Trees. Approximately 28 campus trees have been tagged with a label so visitors can more easily identify them.",http://www.hws.edu/about/trees.aspx,True,"The Colleges have a variety of alternative transportation options available (e.g. bike share program, Zipcar, shuttle service, etc.). These programs are coordinated between the Office of Sustainability and Division of Student Affairs. All alternative methods of transportation are identified and explained on the Office of Sustainability website. Information about alternative transportation options is also made available during the Green Room and Green Office Certifications. There is signage that marks Zipcar parking.",http://www.hws.edu/about/green/campus_sustainability.aspx,--,,--,True,"The Green Room Certification, coordinated by the Office of Sustainability and Environmental Representatives (EcoReps), outlines how to live a sustainable lifestyle while at HWS. Additionally, sustainable living tips are given out to all incoming first years during Orientation. Posters are hung up and sustainability guides are made available. ",http://www.hws.edu/about/green/take_action.aspx,True,"Sustainability coverage appears in The Herald student newspaper as well as regularly in the Office of Communications’ Daily Update, which publishes articles on a daily basis on the various events and news around campus. A student worker in the Office of Communications is appointed to help the Office of Sustainability manage communications materials. Captioned photos representing sustainability initiatives (e.g. competitions, sustainable lunch during Orientation, environmental cleanup initiatives) are regularly featured in the Colleges’ “This Week in Photos,” a prominent and popular feature of the website.",https://www.facebook.com/theheraldnewspaper/,True,The Finger Lakes Institute manages communications/publications regarding both regional and campus sustainability activity in a monthly community newsletter.,http://www.hws.edu/fli/news.aspx,True,"The Pulteney Street Survey, the official alumni and alumnae magazine of the Colleges, frequently carries information about the sustainability efforts and successes taking place at HWS. For instance, the summer 2013 issue was dedicated to the sustainability topic, “water.” From faculty members who are experts on hydrofracking to alumni who have dedicated their careers to finding global water solutions, the Colleges presented an interwoven portrait of alums, parents and students with water at the nexus.",http://www.hws.edu/alumni/pssurvey/pssurvey.aspx,True,The Colleges have a weekly e-newsletter sent to all alums and parents that frequently includes stories on the Colleges’ sustainability work.,--,--,,--,--,,--,--,,--,--,,--,--,,--,"Many materials are produced in hardcopy and/or online formats (e.g. comprehensive alternative energy handout is given to all students in hardcopy form and handed out with Student Handbook, while trolley schedules, for example, are available online)."
Indiana State University,2016-03-29,2016-03-29 10:18:51,caroline.savage@indstate.edu,2.0,Pursuing,**,True,The Institute for Community Sustainability at Indiana State University has developed a webpage that consolidates sustainability efforts on campus and in the community.  This webpage has sections for campus and community efforts and is our main portal for information about our programs.  We also maintain a media page that links to all of the articles about sustainability programs that we work on and we have over 160 news articles on our efforts in the past two years.,http://unboundedpossibilities.com/institute-for-community-sustainability.aspx,True,"We have a sustainability e-newsletter with a listserv of 1500 people separated into multiple groups such as: ISU students, community members, and ISU faculty ",--,True,The primary social media platform used specifically for campus sustainability sharing is the Institute for Community Sustainability (ICS) Facebook page. News articles related to sustainability are shared. Information on campus involvements are shared. ICS events and activities are shared.    ,https://www.facebook.com/Institute-for-Community-Sustainability-182132491882009/,True,"Sycamore Scholars is a tool that is managed by the ISU Cunningham Memorial Library that acts to publish, disseminate, and archive student research.  We submit the data and final reports from our sustainability classes to this database and have students access that data to build on previous research.",http://scholars.indstate.edu/,True,"Our building signage is somewhat limited, but we just recently had our first LEED Silver building certified on campus and that building has signage that educates about its green features. ",--,True,Sodexo provides local and organic food in a limited number of its venues and is available for catering.  They include signage at Generations restaurant that talks about the local and organic food with some good detailed information about the sourcing of those food options.  This information is also available through Sodexo catering on campus for individual events.,--,True,"We hope to expand all campus grounds signage in the near future. For the time being we have limited existing signage on campus for tree species on campus and for ash trees that are being affected by Emerald Ash Borer.  Grounds maintenance conducted an awareness program by putting purple ribbons on all 400 ash trees on campus that included explanation about this invasive species and its effects on the trees. We plan to work on more signage for our green roof, organic treatment of grounds, and sustainable ice removal practices.  We currently have all 3,500 trees on campus located with a GPS and entered into a database with species, diameter, and health indicators.  This data is used on a regular basis in research projects on campus. ",http://unboundedpossibilities.com/institute-for-community-sustainability/campus/grounds.aspx,True,"We conduct multiple sustainability walking tours of campus each semester that take from 1-3 hours depending upon the time that each group has available.  These tours are usually associated with Campus Sustainability Day, sustainability conferences that we hold on campus, and for community groups. We have held these tours for as many as 50 people at one time. We include stops on the tour that include the Recycling Center, our state-of-the-art national gas boiler facility, multiple LEED buildings, focus on our Tree Campus USA, highlights from our Indiana Wildlife Federation Gold Certification, Enterprise Car Share program, Green Roof, and Wind Turbine. ",http://unboundedpossibilities.com/institute-for-community-sustainability/campus.aspx,True,"ISU has a multi-model parking garage located on campus that includes the city bus system. Information is provided online for alternative methods of transportation and all ISU faculty, staff, and students have fee access to the city bus system through their campus IDs.",http://www.indstate.edu/parking/busservice.htm,True,"ISU offers a bicycle cooperative, repair and pump stations for bicyclists, as well as maps available listing available bike racks and repair stations. Information about the ISU bicycle share is available as the program is being developed. ",http://unboundedpossibilities.com/institute-for-community-sustainability/campus/transportation.aspx,--,,--,--,,--,True,We have good relationships with the ISU Foundation have completed a 2 minute promotional video. Our College of Arts and Science and our Center for Community Engagement both have regular publications and we submit monthly updates to these venues as well.  ,http://www.youtube.com/watch?v=1_g78c9UbSo,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:43:59,brownwm@indiana.edu,2.0,Pursuing,**,True,"The Office of Sustainability's website features current events and information related to sustainability initiatives, programs, and opportunities both on and off campus. The website has links to resources, various sustainability topics, upcoming events, and intern work and research.",http://sustain.indiana.edu/,True,"The Catalyst newsletter was first published in 2010 by the Office of Sustainability. The monthly digital newsletter highlights current projects and accomplishments relating to sustainability, and includes news articles, past and upcoming events, features on individual student interns/projects, and a note from the sustainability director.",http://sustain.indiana.edu/news-events/catalyst-index.php,True,"IU Office of Sustainability has a Facebook page (www.facebook.com/iusustain) and Twitter account (@IUSustain). IU's primary student blog, We Are IU, has a section devoted to sustainability (www.weareiu.com/blog/sustainability). Older blog posts can be found at iusustain.wordpress.com. The Student Sustainability Council (https://www.facebook.com/iubssc/) and the IU Energy Challenge (https://www.facebook.com/IU-Energy-Challenge-299964567292/?fref=ts) also have their own social media presence.",--,True,"The Sustainability Internship Symposia feature the research and program development projects of IU Bloomington's sustainability interns. The event typically features three sustainability internship presentations, a poster session featuring work from each of the 16 to 18 interns, and lunch featuring local food. There is no cost to attend.

Symposia are held twice annually - once in April, and once in August, and have expanded to include research posters created by recipients of the Sustainability Research Development Grants, in addition to those of sustainability interns.",http://sustain.indiana.edu/programs/internship-program-in-sustainability/internship-final-reports.php,True,The Union Street Center (Cedar Hall) has a large sign detailing the green building features of the building designed (which was designed to LEED Silver standards). The Indiana Memorial Union also features signage about ongoing efforts to improve sustainability in operations and maintenance of the existing building.,--,--,,--,--,,--,True,"IU Bloomington is a beautiful, pedestrian-friendly campus, enticing many visitors, students, and employees to enjoy the scenery on foot. What's more, commuting to and around campus by foot is a healthy, reliable, and free form of transportation. The self-guided campus walking tour features six major areas of the town. This highlights the natural beauty of the Bloomington campus while describing important ecosystem functions occurring in various areas.  

Indiana University also provides walking distance times to/from certain locations, local walking events, a Gmaps pedometer, and Bloomington walking trails.",http://www.indiana.edu/~spea/pubs/woodland.pdf,True,"The alternative transportation section of Parking Operations at Indiana University lists bicycling, walking, public transportation, Hoosier Commuter Club, carpool, vanpool, telecommuting, Zipcar, Zimride as alternatives.",http://parking.indiana.edu/parking_operations/alt_transportation.aspx,True,"The bicycling at IU page has a number of resources for those wishing to travel by bicycle, such as information on where to park bikes, places to buy and repair bikes, how to register your bike with IU, Indiana bicycle laws, and much more.   

The walking at IU page lists walking resources including a Bloomington Parks and Recreation trail guide, other walking trails guides, a self-guided campus walking tour map, local walking events, and estimates of the amount of time it will take to walk between various campus locations. Resources available at http://parking.indiana.edu/parking_operations/alt_walking.aspx.",http://www.parking.indiana.edu/parking_operations/alt_bicycling.aspx,True,"The Office of Sustainability has a sustainable students guide through their website. Features include information about energy usage, environmental quality, alternative transportation, recycling, water conservation, sustainable food, green cleaning, educational opportunities, and getting involved.",http://www.indiana.edu/~sustain/overview/docs/iub-green-guide.pdf,--,"Although the Indiana Daily Student (IDS) does not have a regular columnist or reporter assigned to topics regarding sustainability, the paper publishes articles with a sustainability theme quite regularly.",http://idsnews.com/,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,"
"
Juniata College,2016-03-23,2016-03-23 08:10:01,yelnosr@juniata.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:44,mknowle1@kent.edu,2.0,Pursuing,**,True,"Kent State's sustainability webpages include information such as what sustainability efforts are happening on campus, student organizations, local organizations, events, and academic programs, as well as basic information on recycling and bike sharing, ",http://www.kent.edu/sustainability,True,"Sustainability News includes sustainability news, events, internships, job postings, and other information of interest and is sent monthly to the sustainability listserv.",http://www.kent.edu/sustainability,True,"There is a  facebook Account for the Sustainability Office (https://www.facebook.com/KentStateSusty) and a twitter Account for the Sustainability office  (https://twitter.com/KentStateSusty)

There is a Facebook Page for RecycleMania (facebook.com/RecycleManiaatKentState), a Facebook Page for our energy competition, Do It In the Dark at Kent State (DoItInTheDarkAtKentState), Do It In the Dark At Kent State Twitter (@DoItInTheDarkKS), a Twitter account for sustainability in the residence halls @SustainableKSU, and a Twitter account for the Sustainability Office, @KentStateSusty.",https://www.facebook.com/KentStateSusty,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--
Knox College,2016-03-23,2016-03-23 08:31:28,sustainability@knox.edu,2.0,Pursuing,**,True,"Knox College created a sustainability website in 2008 and has continuously updated it to reflect the priorities and projects of the institution.
",http://www.knox.edu/sustainability,--,,--,True,"The Office of Sustainability maintains a Facebook page, as well as a Twitter feed;  https://www.facebook.com/SustainabilityAtKnoxCollege and  https://twitter.com/SustainableKnox",https://www.facebook.com/SustainabilityAtKnoxCollege,--,,--,--,,--,True,"Food coming from the Knox Farm is identified with labeling in campus dining venues.  
Signage in the cafeteria and other eating venues explain the importance of reusable to-go containers, composting, and the use of local ingredients.",--,--,,--,True,"At alumni reunions and friends & family events, walking tours of the Knox Farm and sustainability features of the school are offered.  On request, this tour can be replicated.  Student guides leading prospective students around the campus regularly point out sustainability features, as well. ",--,True,"The Sustainability website has a resource page for information on sustainable transportation options including local bus service, car pooling, bike sharing, Amtrak, walking, and cycling.",https://www.knox.edu/about-knox/our-values/sustainability/resources-for-the-knox-community,--,,--,--,,--,True,"A ""sustainability corner"" feature of the Knox Student newspaper regularly updates the campus on sustainability issues and progress on campus.  ",--,True,"The campus annual report on sustainability is a yearly update for students, staff, alumni, and friends of the College focusing on progress, plans, and initiatives relating to sustainability at Knox College.",https://www.knox.edu/Documents/PDFs/AnnualCampusSustainabilityReport2014-15.pdf,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--
Lehigh University,2016-02-29,2016-02-29 00:26:27,sustainability@lehigh.edu,2.0,Pursuing,**,True,"The Sustainability at Lehigh website features sustainability initiatives and efforts across the university. The website highlights the Campus Sustainability Plan, information about sustainability groups on campus, news articles covering sustainability topics, and progress and achievements in the sustainability field. ",http://sustainability.cc.lehigh.edu/,--,n/a,--,True,"The Office of Sustainability and the Lehigh Eco-Reps program utilize Facebook, Twitter and Instagram. Facebook is the primary social media platform. ",https://www.facebook.com/LehighSustainability,True,"Student research on sustainability is published and disseminated on the STEPS/EI Summer Research/Fellowship Symposium Website.

Additionally, there are a few conferences each year where Lehigh students have the opportunity to publicize and disseminate their research on sustainability. For example, this year, Lehigh University hosted the Lehigh Valley Association of Independent Colleges Conference.  At this conference, Lehigh students shared their research through posters and presentations.  ",https://ei.cas2.lehigh.edu/content/steps-researchinternship-symposium,--,n/a ,--,True,"Point of Sale Identification
Nutritional Analysis
Local, Organic, Fair Trade Identification
",http://www.lehighdining.com/‎,--,n/a,--,True,Lehigh's Sustainability Tour is an interactive Web GIS tour that illustrates Lehigh University's efforts towards sustainability. ,http://gisweb.cc.lehigh.edu/sustainability/,True,"Lehigh University has a guide to alternative transportation methods from its annual Car Free Day.  This guide includes information on biking, carpooling, public transportation, and walking/running.  Additionally, Lehigh Transportation Services has a bus routes website.  Lehigh also participates in Enterprise Car Share, which includes a website with the locations, rates & fees, how it works, and opportunities.",https://sustainability.lehigh.edu/car-free-day-2015,--,n/a,--,True,Live Lehigh Manual.  The Lehigh Living publication is distributed electronically to all students residing on campus.  It contains a great deal of useful information regarding living on campus.  It also contains a section (p. 11)  addresses our sustainability programs and provides tips on how to live a greener life while a resident at Lehigh.,--,--,n/a,--,True,"The Office of Sustainability posts sustainable living tips on its website.  These include: 

Energy Conservation: Tips on office & lab behavior, heating & cooling, computers, and personal habits.

Sustainable Laundry: Tips on how to help you save energy while doing laundry.

Transportation: Tips on how to save money on gas and how to adjust the way you commute and drive.

Water Conservation: Tips on how to reduce the amount of water you use.",http://sustainability.lehigh.edu/sustainable-living-tips,True,"Lehigh has recycling and trash posters on the web as well as a guide to what can and cannot be recycled at Lehigh to help educate faculty, staff, and students on what is considered recycling and what is considered trash.",https://sustainability.lehigh.edu/recycle,--,n/a,--,--,n/a,--,--,n/a,--,--,n/a,--,--,n/a,--,--,n/a,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:14,advorak@lclark.edu,2.0,Pursuing,**,True,LC has a sustainability website under our About Us page of our Home webpage. This page provides the primary content for our academic sustainability programs with links and brief descriptions to other components of sustainability on campus. ,http://www.lclark.edu/about/sustainability/,--,,--,True,Sustainability Council Facebook page,http://facebook.com/Lcsustainabilitycouncil,True,"Student research is disseminated through various departments websites and semi-annual poster sessions, conferences",http://www.lclark.edu/about/sustainability/,True,"Yes, our green buildings on campus included signage describing the features of the building during construction and occupancy. ",--,True,"Our dining halls display information on sustainability issues associated with our food service; permanent fixtures on the wall, table tents, a website and brochure. ",https://www.lclark.edu/offices/facilities/sustainability/natural_resources/food/,True,"Yes, signs regarding bee cultivation and native plant projects.",https://www.lclark.edu/offices/facilities/grounds/,True,Sustainability features are included on our primary walking tour map. Regular sustainability features walking tours are provided.,--,True,"The Parking and Transportation website includes links to various modes of alternative transportation including bike, shuttle, transit, walking, carpool, and rent-a-car service. Of these links several include guide maps and/or trip advisory services.",http://www.lclark.edu/offices/transportation_and_parking/transportation_options/,True,A wayfinding application is available for pedestrians demonstrating walking paths through campus,--,True,A green guide for living was developed for our newest residence hall on campus.,--,True,"There is a regular article in the student paper, the PioLog, called 'Sustainability is Sexy'. There are also regularly event-based or special topic coverage of sustainability on campus. ",--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--
